time,Atlanta,pts.away,score,pts.home,Toronto
10:13.0,,,28-29,,Personal foul by C. Miles (drawn by T. Dorsey)
10:00.0,J. Collins makes 2-pt shot from 1 ft (assist by T. Waller-Prince),2,30-29,,
9:43.0,,,30-29,,D. Wright misses 3-pt shot from 25 ft
9:41.0,Defensive rebound by D. Schroder,,30-29,,
9:35.0,D. Schroder misses 2-pt shot from 4 ft (block by F. VanVleet),,30-29,,
9:35.0,,,30-29,,Defensive rebound by Team
9:26.0,,,30-31,2,D. Wright makes 2-pt shot from 1 ft (assist by F. VanVleet)
9:04.0,T. Waller-Prince misses 3-pt shot from 22 ft,,30-31,,
9:01.0,,,30-31,,Defensive rebound by F. VanVleet
8:56.0,,,30-31,,F. VanVleet misses 2-pt shot from 1 ft
8:51.0,,,30-31,,Offensive rebound by J. Poeltl
8:51.0,,,30-31,,J. Poeltl misses 2-pt shot at rim
8:51.0,Defensive rebound by T. Dorsey,,30-31,,
8:51.0,,,30-31,,Shooting block foul by C. Miles (drawn by T. Dorsey)
8:51.0,T. Dorsey misses free throw 1 of 2,,30-31,,
8:51.0,Offensive rebound by Team,,30-31,,
8:51.0,D. Dedmon enters the game for T. Waller-Prince,,30-31,,
8:51.0,T. Dorsey makes free throw 2 of 2,1,31-31,,
8:35.0,,,31-31,,P. Siakam misses 2-pt shot from 9 ft (block by D. Dedmon)
8:32.0,,,31-31,,Offensive rebound by C. Miles
8:31.0,,,31-34,3,C. Miles makes 3-pt shot from 25 ft
8:19.0,,,31-34,,Personal foul by J. Poeltl (drawn by D. Schroder)
8:19.0,T. Waller-Prince enters the game for T. Dorsey,,31-34,,
8:11.0,D. Schroder misses 2-pt shot from 6 ft,,31-34,,
8:08.0,,,31-34,,Defensive rebound by J. Poeltl
8:05.0,,,31-34,,Turnover by D. Wright (lost ball; steal by K. Bazemore)
7:55.0,J. Collins makes 2-pt shot from 4 ft,2,33-34,,
7:35.0,,,33-34,,P. Siakam misses 2-pt shot from 15 ft
7:32.0,Defensive rebound by K. Bazemore,,33-34,,
7:25.0,Turnover by K. Bazemore (lost ball; steal by D. Wright),,33-34,,
7:25.0,Personal foul by K. Bazemore (drawn by J. Poeltl),,33-34,,
7:14.0,,,33-34,,F. VanVleet misses 3-pt shot from 26 ft
7:12.0,,,33-34,,Offensive rebound by J. Poeltl
7:12.0,,,33-34,,J. Poeltl misses 2-pt shot at rim
7:12.0,Defensive rebound by Team,,33-34,,
6:52.0,J. Collins misses 2-pt shot from 1 ft (block by J. Poeltl),,33-34,,
6:49.0,,,33-34,,Defensive rebound by C. Miles
6:48.0,,,33-36,2,P. Siakam makes 2-pt shot from 1 ft (assist by C. Miles)
6:48.0,Violation by T. Waller-Prince (def goaltending),,33-36,,
6:29.0,J. Collins misses 2-pt shot from 2 ft,,33-36,,
6:28.0,Offensive rebound by D. Dedmon,,33-36,,
6:28.0,D. Dedmon makes 2-pt shot at rim,2,35-36,,
6:28.0,,,35-36,,Toronto full timeout
6:28.0,,,35-36,,J. Valanciunas enters the game for C. Miles
6:28.0,,,35-36,,S. Ibaka enters the game for J. Poeltl
6:28.0,,,35-36,,K. Lowry enters the game for P. Siakam
6:09.0,,,35-36,,K. Lowry misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by T. Waller-Prince,,35-36,,
5:51.0,T. Waller-Prince makes 3-pt shot from 23 ft (assist by J. Collins),3,38-36,,
5:35.0,,,38-38,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by F. VanVleet)
5:26.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder),3,41-38,,
5:07.0,,,41-38,,S. Ibaka misses 2-pt shot from 20 ft
5:05.0,Defensive rebound by J. Collins,,41-38,,
5:00.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,44-38,,
4:45.0,,,44-38,,J. Valanciunas misses 2-pt shot from 5 ft (block by T. Waller-Prince)
