time,Chicago,pts.away,score,pts.home,Brooklyn
7:57.0,,,4-11,,Defensive rebound by R. Hollis-Jefferson
7:53.0,,,4-11,,Turnover by R. Hollis-Jefferson (bad pass; steal by C. Payne)
7:47.0,Offensive foul by C. Felicio (drawn by R. Hollis-Jefferson),,4-11,,
7:47.0,Turnover by C. Felicio (offensive foul),,4-11,,
7:47.0,B. Portis enters the game for C. Felicio,,4-11,,
7:38.0,,,4-13,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Russell)
7:38.0,Chicago full timeout,,4-13,,
7:21.0,Turnover by C. Payne (bad pass),,4-13,,
7:21.0,Loose ball foul by J. Holiday (drawn by A. Crabbe),,4-13,,
7:11.0,,,4-13,,Turnover by R. Hollis-Jefferson (bad pass)
7:04.0,J. Holiday makes 3-pt shot from 24 ft (assist by B. Portis),3,7-13,,
6:53.0,Personal foul by C. Payne (drawn by D. Russell),,7-13,,
6:49.0,,,7-13,,Turnover by J. Allen (traveling)
6:41.0,C. Payne makes 2-pt shot from 1 ft,2,9-13,,
6:21.0,,,9-16,3,A. Crabbe makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
6:07.0,J. Holiday makes 2-pt shot from 20 ft (assist by B. Portis),2,11-16,,
5:59.0,,,11-16,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by L. Markkanen)
5:56.0,Defensive rebound by B. Portis,,11-16,,
5:50.0,L. Markkanen makes 2-pt shot at rim (assist by J. Holiday),2,13-16,,
5:34.0,,,13-19,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell)
5:26.0,Turnover by D. Nwaba (bad pass; steal by D. Russell),,13-19,,
5:24.0,,,13-19,,Turnover by D. Russell (lost ball; steal by C. Payne)
5:18.0,J. Holiday makes 3-pt shot from 23 ft (assist by C. Payne),3,16-19,,
5:17.0,,,16-19,,Brooklyn full timeout
5:17.0,,,16-19,,N. Stauskas enters the game for S. Dinwiddie
5:17.0,,,16-19,,Q. Acy enters the game for R. Hollis-Jefferson
5:00.0,,,16-19,,D. Russell misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by C. Payne,,16-19,,
4:54.0,J. Holiday makes 2-pt shot from 1 ft (assist by C. Payne),2,18-19,,
4:33.0,,,18-19,,D. Russell misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by J. Holiday,,18-19,,
4:11.0,D. Nwaba misses 2-pt shot from 1 ft,,18-19,,
4:09.0,Offensive rebound by B. Portis,,18-19,,
4:09.0,B. Portis misses 2-pt shot from 2 ft,,18-19,,
4:08.0,Offensive rebound by D. Nwaba,,18-19,,
4:02.0,D. Nwaba misses 2-pt shot from 7 ft,,18-19,,
3:59.0,Offensive rebound by D. Nwaba,,18-19,,
3:52.0,J. Holiday misses 3-pt shot from 24 ft,,18-19,,
3:52.0,,,18-19,,Defensive rebound by Q. Acy
3:44.0,Personal foul by D. Nwaba (drawn by N. Stauskas),,18-19,,
3:44.0,,,18-19,,D. Cunningham enters the game for J. Allen
3:44.0,J. Grant enters the game for J. Holiday,,18-19,,
3:44.0,S. Kilpatrick enters the game for D. Nwaba,,18-19,,
3:44.0,O. Asik enters the game for L. Markkanen,,18-19,,
3:36.0,,,18-22,3,A. Crabbe makes 3-pt shot from 24 ft (assist by N. Stauskas)
3:22.0,J. Grant misses 3-pt shot from 24 ft,,18-22,,
3:22.0,,,18-22,,Defensive rebound by A. Crabbe
3:11.0,,,18-22,,A. Crabbe misses 3-pt shot from 26 ft
3:09.0,Defensive rebound by J. Grant,,18-22,,
2:53.0,B. Portis misses 2-pt shot from 7 ft,,18-22,,
2:49.0,,,18-22,,Defensive rebound by Q. Acy
2:39.0,,,18-25,3,D. Cunningham makes 3-pt shot from 22 ft (assist by D. Russell)
2:12.0,Turnover by J. Grant (bad pass; steal by D. Russell),,18-25,,
2:08.0,,,18-27,2,D. Russell makes 2-pt shot at rim
2:08.0,Chicago full timeout,,18-27,,
2:08.0,,,18-27,,S. Dinwiddie enters the game for D. Russell
2:08.0,,,18-27,,M. Doyle enters the game for A. Crabbe
2:08.0,R. Arcidiacono enters the game for C. Payne,,18-27,,
1:58.0,S. Kilpatrick misses 2-pt shot from 12 ft (block by M. Doyle),,18-27,,
1:54.0,,,18-27,,Defensive rebound by D. Cunningham
1:51.0,,,18-27,,N. Stauskas misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by B. Portis,,18-27,,
1:35.0,B. Portis makes 2-pt shot from 5 ft,2,20-27,,
1:20.0,,,20-27,,S. Dinwiddie misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by R. Arcidiacono,,20-27,,
1:09.0,J. Grant misses 2-pt shot from 14 ft,,20-27,,
1:08.0,Offensive rebound by Team,,20-27,,
1:08.0,,,20-27,,Loose ball foul by Q. Acy (drawn by O. Asik)
1:02.0,Turnover by J. Grant (bad pass; steal by D. Cunningham),,20-27,,
0:57.0,,,20-27,,N. Stauskas misses 3-pt shot from 24 ft
0:54.0,,,20-27,,Offensive rebound by D. Cunningham
0:54.0,,,20-27,,D. Cunningham misses 2-pt shot at rim
0:54.0,,,20-27,,Offensive rebound by M. Doyle
0:53.0,,,20-29,2,M. Doyle makes 2-pt shot from 2 ft
0:41.0,B. Portis makes 2-pt shot from 6 ft,2,22-29,,
0:30.0,,,22-29,,Turnover by S. Dinwiddie (bad pass; steal by S. Kilpatrick)
0:30.0,,,22-29,,Personal foul by M. Doyle (drawn by S. Kilpatrick)
0:30.0,S. Kilpatrick makes free throw 1 of 2,1,23-29,,
0:30.0,S. Kilpatrick makes free throw 2 of 2,1,24-29,,
0:11.0,,,24-29,,Offensive charge foul by S. Dinwiddie (drawn by B. Portis)
0:11.0,,,24-29,,Turnover by S. Dinwiddie (offensive foul)
0:05.0,R. Arcidiacono makes 2-pt shot from 16 ft,2,26-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,R. Arcidiacono makes 2-pt shot from 20 ft,2,28-29,,
11:30.0,,,28-29,,D. Cunningham misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by B. Portis,,28-29,,
11:13.0,Turnover by B. Portis (traveling),,28-29,,
10:57.0,,,28-29,,Shooting foul by R. Arcidiacono (drawn by S. Dinwiddie)
10:57.0,,,28-30,1,S. Dinwiddie makes free throw 1 of 2
10:57.0,,,28-30,,S. Dinwiddie misses free throw 2 of 2
10:55.0,Defensive rebound by B. Portis,,28-30,,
10:33.0,J. Grant misses 2-pt shot from 22 ft,,28-30,,
10:31.0,Offensive rebound by Team,,28-30,,
10:31.0,,,28-30,,Loose ball foul by Q. Acy (drawn by B. Portis)
10:31.0,,,28-30,,R. Hollis-Jefferson enters the game for N. Stauskas
10:17.0,S. Kilpatrick misses 2-pt shot from 19 ft,,28-30,,
10:14.0,,,28-30,,Defensive rebound by Q. Acy
9:56.0,,,28-30,,Q. Acy misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by O. Asik,,28-30,,
9:49.0,Turnover by S. Kilpatrick (traveling),,28-30,,
9:40.0,Shooting block foul by J. Grant (drawn by S. Dinwiddie),,28-30,,
9:40.0,,,28-31,1,S. Dinwiddie makes free throw 1 of 2
9:40.0,,,28-32,1,S. Dinwiddie makes free throw 2 of 2
9:33.0,,,28-32,,Personal foul by M. Doyle (drawn by S. Kilpatrick)
9:25.0,Turnover by J. Grant (bad pass),,28-32,,
9:12.0,,,28-32,,Q. Acy misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by S. Kilpatrick,,28-32,,
9:02.0,B. Portis makes 2-pt shot from 19 ft (assist by S. Kilpatrick),2,30-32,,
8:48.0,,,30-32,,Offensive foul by R. Hollis-Jefferson (drawn by S. Kilpatrick)
8:48.0,,,30-32,,Turnover by R. Hollis-Jefferson (offensive foul)
8:39.0,R. Arcidiacono makes 3-pt shot from 24 ft,3,33-32,,
8:22.0,,,33-34,2,R. Hollis-Jefferson makes 2-pt shot from 13 ft (assist by S. Dinwiddie)
8:14.0,Turnover by O. Asik (out of bounds lost ball),,33-34,,
8:14.0,,,33-34,,D. Russell enters the game for M. Doyle
8:14.0,L. Markkanen enters the game for O. Asik,,33-34,,
8:14.0,C. Felicio enters the game for B. Portis,,33-34,,
7:50.0,,,33-36,2,S. Dinwiddie makes 2-pt shot at rim
7:36.0,C. Felicio makes 2-pt shot from 1 ft (assist by R. Arcidiacono),2,35-36,,
7:19.0,,,35-39,3,D. Russell makes 3-pt shot from 27 ft (assist by D. Cunningham)
7:02.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,37-39,,
6:48.0,,,37-42,3,S. Dinwiddie makes 3-pt shot from 24 ft
6:35.0,J. Grant makes 2-pt shot at rim (assist by R. Arcidiacono),2,39-42,,
6:27.0,,,39-42,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
6:26.0,Defensive rebound by Team,,39-42,,
6:26.0,Chicago full timeout,,39-42,,
6:26.0,,,39-42,,J. Allen enters the game for Q. Acy
6:26.0,,,39-42,,A. Crabbe enters the game for D. Cunningham
6:26.0,C. Payne enters the game for S. Kilpatrick,,39-42,,
6:26.0,J. Holiday enters the game for J. Grant,,39-42,,
6:26.0,D. Nwaba enters the game for R. Arcidiacono,,39-42,,
6:12.0,C. Felicio misses 2-pt shot from 1 ft (block by J. Allen),,39-42,,
6:08.0,,,39-42,,Defensive rebound by D. Russell
5:55.0,,,39-45,3,S. Dinwiddie makes 3-pt shot from 25 ft (assist by D. Russell)
5:42.0,Offensive foul by C. Payne (drawn by R. Hollis-Jefferson),,39-45,,
5:42.0,Turnover by C. Payne (offensive foul),,39-45,,
5:29.0,,,39-45,,D. Russell misses 2-pt shot from 2 ft
5:26.0,Defensive rebound by L. Markkanen,,39-45,,
5:14.0,L. Markkanen misses 3-pt shot from 25 ft,,39-45,,
5:11.0,,,39-45,,Defensive rebound by S. Dinwiddie
5:08.0,,,39-45,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by J. Holiday,,39-45,,
4:53.0,D. Nwaba makes 3-pt shot from 24 ft (assist by C. Felicio),3,42-45,,
4:35.0,,,42-47,2,J. Allen makes 2-pt shot from 1 ft (assist by A. Crabbe)
4:29.0,C. Felicio makes 2-pt shot from 1 ft (assist by C. Payne),2,44-47,,
4:03.0,,,44-47,,S. Dinwiddie misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by J. Holiday,,44-47,,
3:59.0,D. Nwaba makes 2-pt shot at rim (assist by J. Holiday),2,46-47,,
3:54.0,,,46-47,,Shooting foul by D. Nwaba (drawn by S. Dinwiddie)
3:54.0,,,46-48,1,S. Dinwiddie makes free throw 1 of 2
3:54.0,,,46-49,1,S. Dinwiddie makes free throw 2 of 2
3:44.0,Shooting foul by R. Hollis-Jefferson (drawn by L. Markkanen),,46-49,,
3:44.0,L. Markkanen misses free throw 1 of 2,,46-49,,
3:44.0,Offensive rebound by Team,,46-49,,
3:44.0,,,46-49,,N. Stauskas enters the game for S. Dinwiddie
3:44.0,L. Markkanen misses free throw 2 of 2,,46-49,,
3:42.0,,,46-49,,Defensive rebound by A. Crabbe
3:29.0,,,46-49,,Turnover by R. Hollis-Jefferson (bad pass)
3:12.0,C. Felicio makes 2-pt shot from 1 ft (assist by J. Holiday),2,48-49,,
2:46.0,,,48-51,2,D. Russell makes 2-pt shot from 1 ft
2:37.0,C. Payne makes 2-pt shot from 21 ft,2,50-51,,
2:20.0,,,50-53,2,A. Crabbe makes 2-pt shot from 2 ft (assist by D. Russell)
2:05.0,J. Holiday misses 3-pt shot from 24 ft,,50-53,,
2:02.0,,,50-53,,Defensive rebound by D. Russell
1:57.0,Violation by D. Nwaba (kicked ball),,50-53,,
1:57.0,Chicago full timeout,,50-53,,
1:42.0,,,50-55,2,D. Russell makes 2-pt shot from 15 ft (assist by N. Stauskas)
1:33.0,C. Felicio makes 2-pt shot from 1 ft (assist by C. Payne),2,52-55,,
1:26.0,,,52-55,,Shooting foul by J. Holiday (drawn by A. Crabbe)
1:26.0,Technical foul by J. Holiday,,52-55,,
1:26.0,,,52-56,1,A. Crabbe makes technical free throw
1:26.0,,,52-57,1,A. Crabbe makes free throw 1 of 3
1:26.0,,,52-58,1,A. Crabbe makes free throw 2 of 3
1:26.0,,,52-59,1,A. Crabbe makes free throw 3 of 3
1:09.0,C. Payne misses 2-pt shot from 6 ft,,52-59,,
1:06.0,,,52-59,,Defensive rebound by J. Allen
0:58.0,,,52-62,3,A. Crabbe makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
0:49.0,J. Holiday makes 2-pt shot from 2 ft (assist by D. Nwaba),2,54-62,,
0:49.0,Shooting foul by J. Allen (drawn by J. Holiday),,54-62,,
0:49.0,J. Holiday makes free throw 1 of 1,1,55-62,,
0:49.0,,,55-62,,D. Cunningham enters the game for R. Hollis-Jefferson
0:42.0,,,55-62,,D. Russell misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by C. Felicio,,55-62,,
0:29.0,C. Felicio misses 3-pt shot from 24 ft,,55-62,,
0:27.0,Offensive rebound by L. Markkanen,,55-62,,
0:26.0,L. Markkanen misses 2-pt shot from 2 ft,,55-62,,
0:24.0,,,55-62,,Defensive rebound by D. Russell
0:05.0,,,55-62,,D. Russell misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by L. Markkanen,,55-62,,
0:00.0,L. Markkanen misses 3-pt shot from 46 ft,,55-62,,
0:00.0,Offensive rebound by Team,,55-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by C. Felicio (traveling),,55-62,,
11:31.0,,,55-62,,Turnover by S. Dinwiddie (bad pass)
11:16.0,L. Markkanen misses 2-pt shot from 16 ft,,55-62,,
11:12.0,,,55-62,,Defensive rebound by J. Allen
10:54.0,,,55-62,,D. Russell misses 3-pt shot from 26 ft
10:52.0,Defensive rebound by L. Markkanen,,55-62,,
10:43.0,C. Payne misses 2-pt shot from 14 ft,,55-62,,
10:40.0,,,55-62,,Defensive rebound by D. Russell
10:35.0,,,55-64,2,J. Allen makes 2-pt shot at rim (assist by A. Crabbe)
10:10.0,J. Holiday misses 2-pt shot from 17 ft,,55-64,,
10:07.0,,,55-64,,Defensive rebound by D. Russell
9:49.0,,,55-64,,Turnover by D. Russell (out of bounds lost ball)
9:37.0,L. Markkanen makes 3-pt shot from 24 ft (assist by C. Payne),3,58-64,,
9:20.0,,,58-64,,Turnover by D. Russell (bad pass; steal by L. Markkanen)
9:16.0,C. Payne misses 3-pt shot from 25 ft,,58-64,,
9:13.0,,,58-64,,Defensive rebound by J. Allen
9:03.0,,,58-67,3,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
8:48.0,C. Payne makes 3-pt shot from 27 ft (assist by L. Markkanen),3,61-67,,
8:48.0,,,61-67,,Brooklyn full timeout
8:35.0,Personal foul by C. Payne (drawn by D. Russell),,61-67,,
8:28.0,,,61-67,,Turnover by S. Dinwiddie (bad pass; steal by L. Markkanen)
8:25.0,D. Nwaba misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,61-67,,
8:24.0,Offensive rebound by Team,,61-67,,
8:12.0,Turnover by C. Payne (bad pass; steal by J. Allen),,61-67,,
8:10.0,,,61-67,,Offensive foul by D. Russell (drawn by C. Payne)
8:10.0,,,61-67,,Turnover by D. Russell (offensive foul)
8:01.0,L. Markkanen misses 2-pt shot from 13 ft,,61-67,,
7:59.0,,,61-67,,Defensive rebound by A. Crabbe
7:48.0,,,61-69,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
7:38.0,L. Markkanen misses 2-pt shot from 5 ft (block by R. Hollis-Jefferson),,61-69,,
7:38.0,,,61-69,,Defensive rebound by Team
7:23.0,,,61-72,3,D. Russell makes 3-pt shot from 23 ft (assist by A. Crabbe)
7:09.0,L. Markkanen misses 2-pt shot from 4 ft,,61-72,,
7:09.0,Offensive rebound by C. Felicio,,61-72,,
6:58.0,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday),3,64-72,,
6:47.0,,,64-72,,J. Allen misses 2-pt shot from 2 ft
6:47.0,Defensive rebound by C. Payne,,64-72,,
6:36.0,C. Payne makes 3-pt shot from 25 ft,3,67-72,,
6:24.0,,,67-74,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell)
6:09.0,L. Markkanen misses 2-pt shot from 18 ft,,67-74,,
6:06.0,Offensive rebound by D. Nwaba,,67-74,,
6:00.0,J. Holiday misses 3-pt shot from 22 ft,,67-74,,
5:57.0,,,67-74,,Defensive rebound by A. Crabbe
5:54.0,,,67-74,,D. Russell misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by C. Felicio,,67-74,,
5:46.0,C. Payne makes 3-pt shot from 25 ft,3,70-74,,
5:30.0,,,70-74,,D. Russell misses 2-pt shot from 13 ft
5:28.0,Defensive rebound by C. Felicio,,70-74,,
5:18.0,L. Markkanen misses 3-pt shot from 25 ft,,70-74,,
5:14.0,,,70-74,,Defensive rebound by S. Dinwiddie
4:56.0,,,70-74,,D. Russell misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by L. Markkanen,,70-74,,
4:48.0,Turnover by L. Markkanen (out of bounds lost ball),,70-74,,
4:48.0,,,70-74,,Brooklyn full timeout
4:48.0,,,70-74,,N. Stauskas enters the game for J. Allen
4:48.0,,,70-74,,Q. Acy enters the game for S. Dinwiddie
4:48.0,,,70-74,,D. Cunningham enters the game for R. Hollis-Jefferson
4:48.0,B. Portis enters the game for C. Felicio,,70-74,,
4:48.0,S. Kilpatrick enters the game for J. Holiday,,70-74,,
4:32.0,,,70-77,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Russell)
4:16.0,L. Markkanen misses 2-pt shot from 3 ft (block by D. Cunningham),,70-77,,
4:16.0,Offensive rebound by L. Markkanen,,70-77,,
4:16.0,Shooting foul by N. Stauskas (drawn by L. Markkanen),,70-77,,
4:16.0,L. Markkanen makes free throw 1 of 2,1,71-77,,
4:16.0,R. Arcidiacono enters the game for C. Payne,,71-77,,
4:16.0,L. Markkanen makes free throw 2 of 2,1,72-77,,
3:53.0,,,72-79,2,D. Russell makes 2-pt shot from 1 ft
3:34.0,S. Kilpatrick misses 2-pt shot from 1 ft,,72-79,,
3:34.0,Offensive rebound by D. Nwaba,,72-79,,
3:30.0,D. Nwaba makes 2-pt shot at rim,2,74-79,,
3:21.0,,,74-79,,D. Cunningham misses 2-pt shot from 1 ft (block by B. Portis)
3:18.0,Defensive rebound by D. Nwaba,,74-79,,
3:15.0,D. Nwaba makes 2-pt shot from 2 ft,2,76-79,,
3:03.0,,,76-79,,N. Stauskas misses 2-pt shot from 5 ft
3:00.0,,,76-79,,Offensive rebound by D. Cunningham
2:59.0,,,76-81,2,N. Stauskas makes 2-pt shot from 1 ft (assist by D. Cunningham)
2:35.0,R. Arcidiacono misses 3-pt shot from 22 ft,,76-81,,
2:33.0,,,76-81,,Defensive rebound by Team
2:33.0,,,76-81,,S. Dinwiddie enters the game for D. Russell
2:33.0,,,76-81,,M. Doyle enters the game for A. Crabbe
2:33.0,O. Asik enters the game for D. Nwaba,,76-81,,
2:33.0,J. Grant enters the game for L. Markkanen,,76-81,,
2:08.0,,,76-81,,Turnover by Team (shot clock)
2:01.0,S. Kilpatrick misses 2-pt shot from 6 ft,,76-81,,
1:58.0,,,76-81,,Defensive rebound by D. Cunningham
1:37.0,,,76-84,3,Q. Acy makes 3-pt shot from 22 ft (assist by S. Dinwiddie)
1:27.0,,,76-84,,Personal foul by M. Doyle (drawn by S. Kilpatrick)
1:17.0,B. Portis makes 2-pt shot from 1 ft (assist by J. Grant),2,78-84,,
0:54.0,,,78-86,2,D. Cunningham makes 2-pt shot from 8 ft (assist by N. Stauskas)
0:38.0,B. Portis makes 2-pt shot from 9 ft,2,80-86,,
0:28.0,,,80-86,,S. Dinwiddie misses 3-pt shot from 26 ft
0:25.0,Defensive rebound by B. Portis,,80-86,,
0:05.0,S. Kilpatrick makes 3-pt shot from 26 ft (assist by R. Arcidiacono),3,83-86,,
0:00.0,,,83-86,,S. Dinwiddie misses 3-pt shot from 33 ft
0:00.0,Defensive rebound by O. Asik,,83-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-86,,Turnover by D. Cunningham (bad pass)
11:31.0,Turnover by B. Portis (lost ball; steal by Q. Acy),,83-86,,
11:21.0,,,83-86,,N. Stauskas misses 2-pt shot from 4 ft (block by J. Grant)
11:18.0,,,83-86,,Offensive rebound by Q. Acy
11:16.0,,,83-86,,N. Stauskas misses 3-pt shot from 23 ft
11:12.0,,,83-86,,Offensive rebound by D. Cunningham
10:54.0,,,83-88,2,S. Dinwiddie makes 2-pt shot from 3 ft
10:40.0,B. Portis makes 2-pt shot from 18 ft (assist by J. Grant),2,85-88,,
10:17.0,,,85-88,,D. Cunningham misses 2-pt shot from 1 ft (block by B. Portis)
10:13.0,Defensive rebound by R. Arcidiacono,,85-88,,
9:56.0,J. Grant misses 2-pt shot from 7 ft (block by N. Stauskas),,85-88,,
9:53.0,,,85-88,,Defensive rebound by M. Doyle
9:50.0,,,85-90,2,Q. Acy makes 2-pt shot at rim (assist by S. Dinwiddie)
9:43.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,87-90,,
9:29.0,Personal foul by J. Grant (drawn by S. Dinwiddie),,87-90,,
9:16.0,,,87-93,3,M. Doyle makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
8:54.0,S. Kilpatrick makes 3-pt shot from 22 ft (assist by J. Grant),3,90-93,,
8:41.0,,,90-93,,S. Dinwiddie misses 2-pt shot from 6 ft
8:41.0,,,90-93,,Offensive rebound by Team
8:41.0,Loose ball foul by B. Portis (drawn by S. Dinwiddie),,90-93,,
8:33.0,,,90-93,,D. Cunningham misses 2-pt shot from 5 ft
8:30.0,Defensive rebound by B. Portis,,90-93,,
8:06.0,Turnover by B. Portis (lost ball; steal by Q. Acy),,90-93,,
8:01.0,,,90-93,,N. Stauskas misses 2-pt shot from 1 ft (block by O. Asik)
7:58.0,,,90-93,,Offensive rebound by N. Stauskas
7:57.0,,,90-96,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by N. Stauskas)
7:57.0,Chicago full timeout,,90-96,,
7:57.0,,,90-96,,D. Russell enters the game for N. Stauskas
7:57.0,,,90-96,,R. Hollis-Jefferson enters the game for Q. Acy
7:57.0,,,90-96,,A. Crabbe enters the game for S. Dinwiddie
7:57.0,C. Felicio enters the game for O. Asik,,90-96,,
7:46.0,R. Arcidiacono makes 2-pt shot from 9 ft,2,92-96,,
7:24.0,,,92-99,3,M. Doyle makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
7:12.0,,,92-99,,Violation by D. Cunningham (def goaltending)
7:12.0,B. Portis makes 2-pt shot from 2 ft,2,94-99,,
6:57.0,,,94-99,,Turnover by D. Russell (bad pass)
6:46.0,C. Felicio misses 2-pt shot from 2 ft,,94-99,,
6:45.0,,,94-99,,Defensive rebound by D. Russell
6:38.0,,,94-102,3,D. Russell makes 3-pt shot from 25 ft (assist by A. Crabbe)
6:20.0,,,94-102,,Personal foul by M. Doyle (drawn by S. Kilpatrick)
6:20.0,,,94-102,,J. Allen enters the game for D. Cunningham
6:20.0,D. Nwaba enters the game for B. Portis,,94-102,,
6:11.0,S. Kilpatrick makes 2-pt shot from 11 ft,2,96-102,,
5:54.0,,,96-102,,Turnover by A. Crabbe (bad pass; steal by C. Felicio)
5:51.0,D. Nwaba makes 2-pt shot at rim (assist by C. Felicio),2,98-102,,
5:33.0,,,98-102,,R. Hollis-Jefferson misses 2-pt shot from 2 ft (block by S. Kilpatrick)
5:32.0,Defensive rebound by S. Kilpatrick,,98-102,,
5:26.0,S. Kilpatrick misses 2-pt shot from 2 ft (block by J. Allen),,98-102,,
5:24.0,,,98-102,,Defensive rebound by R. Hollis-Jefferson
5:24.0,Personal foul by D. Nwaba (drawn by R. Hollis-Jefferson),,98-102,,
5:24.0,,,98-102,,S. Dinwiddie enters the game for M. Doyle
5:18.0,,,98-104,2,A. Crabbe makes 2-pt shot from 1 ft (assist by D. Russell)
5:04.0,Shooting foul by A. Crabbe (drawn by J. Grant),,98-104,,
5:04.0,J. Grant makes free throw 1 of 2,1,99-104,,
5:04.0,J. Grant makes free throw 2 of 2,1,100-104,,
4:48.0,,,100-106,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by D. Russell)
4:31.0,Offensive foul by C. Felicio (drawn by S. Dinwiddie),,100-106,,
4:31.0,Turnover by C. Felicio (offensive foul),,100-106,,
4:20.0,,,100-106,,D. Russell misses 3-pt shot from 24 ft
4:18.0,Defensive rebound by J. Grant,,100-106,,
4:14.0,S. Kilpatrick makes 2-pt shot from 1 ft (assist by J. Grant),2,102-106,,
4:14.0,,,102-106,,Brooklyn full timeout
3:59.0,,,102-106,,A. Crabbe misses 3-pt shot from 24 ft
3:57.0,Defensive rebound by S. Kilpatrick,,102-106,,
