time,Boston,pts.away,score,pts.home,Orlando
6:12.0,,,35-28,,Defensive rebound by N. Vucevic
5:58.0,,,35-30,2,N. Vucevic makes 2-pt shot from 16 ft
5:29.0,K. Irving misses 3-pt shot from 24 ft,,35-30,,
5:26.0,,,35-30,,Defensive rebound by A. Gordon
5:19.0,,,35-30,,A. Gordon misses 3-pt shot from 25 ft
5:16.0,Defensive rebound by J. Tatum,,35-30,,
5:10.0,Turnover by K. Irving (bad pass; steal by N. Vucevic),,35-30,,
5:09.0,Personal foul by K. Irving (drawn by E. Fournier),,35-30,,
5:09.0,A. Horford enters the game for A. Baynes,,35-30,,
4:58.0,,,35-30,,J. Simmons misses 2-pt shot from 8 ft
4:55.0,Defensive rebound by A. Horford,,35-30,,
4:42.0,Shooting foul by J. Simmons (drawn by M. Morris),,35-30,,
4:42.0,M. Morris makes free throw 1 of 2,1,36-30,,
4:42.0,,,36-30,,S. Mack enters the game for J. Simmons
4:42.0,J. Brown enters the game for J. Tatum,,36-30,,
4:42.0,M. Morris makes free throw 2 of 2,1,37-30,,
4:26.0,,,37-30,,N. Vucevic misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by T. Rozier,,37-30,,
4:16.0,T. Rozier makes 2-pt shot from 21 ft,2,39-30,,
4:16.0,,,39-30,,Orlando full timeout
4:16.0,,,39-30,,T. Ross enters the game for J. Isaac
4:16.0,J. Tatum enters the game for M. Morris,,39-30,,
4:03.0,,,39-30,,A. Gordon misses 2-pt shot from 17 ft
3:59.0,Defensive rebound by T. Rozier,,39-30,,
3:45.0,K. Irving makes 2-pt shot from 5 ft,2,41-30,,
3:28.0,,,41-30,,Turnover by E. Fournier (bad pass; steal by J. Tatum)
3:23.0,J. Tatum misses 2-pt shot from 1 ft,,41-30,,
3:20.0,Offensive rebound by T. Rozier,,41-30,,
3:19.0,J. Brown makes 2-pt shot from 15 ft (assist by T. Rozier),2,43-30,,
2:56.0,,,43-30,,T. Ross misses 2-pt shot from 3 ft
2:53.0,Defensive rebound by A. Horford,,43-30,,
2:51.0,K. Irving misses 3-pt shot from 25 ft,,43-30,,
2:51.0,Offensive rebound by J. Brown,,43-30,,
2:47.0,J. Brown misses 2-pt shot from 3 ft,,43-30,,
2:47.0,,,43-30,,Defensive rebound by Team
2:34.0,,,43-33,3,A. Gordon makes 3-pt shot from 25 ft (assist by S. Mack)
2:09.0,T. Rozier misses 2-pt shot from 2 ft,,43-33,,
2:07.0,,,43-33,,Defensive rebound by A. Gordon
2:03.0,,,43-33,,S. Mack misses 3-pt shot from 25 ft
1:59.0,,,43-33,,Offensive rebound by E. Fournier
1:58.0,,,43-33,,E. Fournier misses 2-pt shot from 11 ft
1:58.0,Defensive rebound by A. Horford,,43-33,,
1:49.0,Offensive foul by J. Brown (drawn by S. Mack),,43-33,,
1:49.0,Turnover by J. Brown (offensive foul),,43-33,,
1:49.0,M. Smart enters the game for T. Rozier,,43-33,,
1:37.0,,,43-35,2,A. Gordon makes 2-pt shot from 3 ft (assist by N. Vucevic)
1:37.0,,,43-35,,Shooting foul by A. Horford (drawn by A. Gordon)
1:37.0,,,43-36,1,A. Gordon makes free throw 1 of 1
1:24.0,K. Irving makes 2-pt shot from 2 ft,2,45-36,,
1:05.0,,,45-36,,Shooting foul by A. Horford (drawn by A. Gordon)
1:05.0,,,45-37,1,A. Gordon makes free throw 1 of 2
1:05.0,,,45-38,1,A. Gordon makes free throw 2 of 2
1:04.0,,,45-38,,E. Fournier misses 2-pt shot from 3 ft
