time,Memphis,pts.away,score,pts.home,Indiana
6:51.0,,,11-8,,Turnover by V. Oladipo (lost ball; steal by M. Gasol)
6:44.0,M. Gasol misses 2-pt shot from 10 ft,,11-8,,
6:42.0,,,11-8,,Defensive rebound by M. Turner
6:26.0,,,11-8,,Shooting foul by D. Brooks (drawn by M. Turner)
6:26.0,,,11-8,,Indiana full timeout
6:26.0,I. Rabb enters the game for J. Martin,,11-8,,
6:26.0,,,11-9,1,M. Turner makes free throw 1 of 2
6:26.0,,,11-10,1,M. Turner makes free throw 2 of 2
6:06.0,M. Gasol makes 2-pt shot from 7 ft,2,13-10,,
5:48.0,,,13-10,,B. Bogdanovic misses 3-pt shot from 28 ft
5:46.0,Defensive rebound by A. Harrison,,13-10,,
5:38.0,Shooting foul by M. Turner (drawn by A. Harrison),,13-10,,
5:38.0,A. Harrison makes free throw 1 of 2,1,14-10,,
5:38.0,A. Harrison makes free throw 2 of 2,1,15-10,,
5:26.0,,,15-12,2,M. Turner makes 2-pt shot from 7 ft (assist by V. Oladipo)
5:11.0,D. Brooks misses 3-pt shot from 27 ft,,15-12,,
5:08.0,Offensive rebound by Team,,15-12,,
5:08.0,W. Selden enters the game for A. Harrison,,15-12,,
4:57.0,D. Brooks misses 2-pt shot from 5 ft,,15-12,,
4:55.0,,,15-12,,Defensive rebound by M. Turner
4:52.0,,,15-15,3,B. Bogdanovic makes 3-pt shot from 25 ft
4:34.0,M. Gasol misses 2-pt shot from 17 ft,,15-15,,
4:32.0,,,15-15,,Defensive rebound by M. Turner
4:23.0,,,15-15,,Turnover by V. Oladipo (bad pass; steal by B. McLemore)
4:17.0,Turnover by B. McLemore (lost ball; steal by D. Collison),,15-15,,
4:14.0,,,15-17,2,D. Collison makes 2-pt shot at rim
4:06.0,Memphis full timeout,,15-17,,
4:06.0,,,15-17,,D. Sabonis enters the game for T. Young
4:06.0,,,15-17,,C. Joseph enters the game for B. Bogdanovic
4:06.0,M. Henry enters the game for D. Brooks,,15-17,,
4:01.0,Turnover by W. Selden (bad pass; steal by D. Sabonis),,15-17,,
3:46.0,,,15-17,,V. Oladipo misses 3-pt shot from 27 ft
3:43.0,Defensive rebound by W. Selden,,15-17,,
3:27.0,I. Rabb misses 2-pt shot from 1 ft,,15-17,,
3:26.0,,,15-17,,Defensive rebound by D. Sabonis
3:12.0,,,15-17,,Turnover by D. Sabonis (bad pass; steal by M. Henry)
2:58.0,Turnover by B. McLemore (traveling),,15-17,,
2:47.0,,,15-17,,V. Oladipo misses 2-pt shot from 12 ft
2:44.0,Defensive rebound by M. Gasol,,15-17,,
2:33.0,M. Gasol makes 2-pt shot from 9 ft,2,17-17,,
2:24.0,,,17-17,,C. Joseph misses 3-pt shot from 22 ft
2:22.0,Defensive rebound by M. Gasol,,17-17,,
2:08.0,Turnover by W. Selden (bad pass; steal by V. Oladipo),,17-17,,
1:56.0,Personal block foul by W. Selden (drawn by D. Collison),,17-17,,
1:56.0,,,17-18,1,D. Collison makes free throw 1 of 2
1:56.0,,,17-18,,L. Stephenson enters the game for V. Oladipo
1:56.0,,,17-18,,T. Leaf enters the game for M. Turner
1:56.0,J. Martin enters the game for M. Gasol,,17-18,,
1:56.0,,,17-19,1,D. Collison makes free throw 2 of 2
1:41.0,W. Selden makes 2-pt shot from 1 ft,2,19-19,,
1:25.0,,,19-19,,T. Leaf misses 3-pt shot from 27 ft
1:22.0,Defensive rebound by B. McLemore,,19-19,,
1:17.0,B. McLemore makes 2-pt shot from 21 ft,2,21-19,,
1:01.0,Personal foul by M. Henry (drawn by D. Sabonis),,21-19,,
1:01.0,,,21-20,1,D. Sabonis makes free throw 1 of 2
1:01.0,,,21-20,,J. Young enters the game for D. Collison
1:01.0,,,21-21,1,D. Sabonis makes free throw 2 of 2
0:47.0,B. McLemore misses 2-pt shot from 1 ft,,21-21,,
0:46.0,Offensive rebound by I. Rabb,,21-21,,
0:46.0,I. Rabb makes 2-pt shot from 2 ft,2,23-21,,
0:31.0,,,23-21,,L. Stephenson misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by B. McLemore,,23-21,,
0:13.0,Shooting foul by J. Young (drawn by W. Selden),,23-21,,
0:13.0,W. Selden makes free throw 1 of 2,1,24-21,,
0:13.0,A. Harrison enters the game for I. Rabb,,24-21,,
0:13.0,W. Selden makes free throw 2 of 2,1,25-21,,
0:01.0,,,25-21,,C. Joseph misses 2-pt shot from 9 ft (block by W. Selden)
0:01.0,Defensive rebound by M. Henry,,25-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,25-24,3,L. Stephenson makes 3-pt shot from 27 ft (assist by C. Joseph)
11:27.0,M. Henry makes 3-pt shot from 28 ft (assist by W. Selden),3,28-24,,
11:07.0,,,28-27,3,T. Leaf makes 3-pt shot from 23 ft (assist by L. Stephenson)
10:51.0,Turnover by W. Selden (bad pass),,28-27,,
10:51.0,A. Harrison enters the game for B. McLemore,,28-27,,
10:39.0,Personal foul by W. Selden (drawn by D. Sabonis),,28-27,,
10:39.0,D. Brooks enters the game for W. Selden,,28-27,,
10:24.0,,,28-27,,C. Joseph misses 3-pt shot from 27 ft
10:21.0,Defensive rebound by A. Harrison,,28-27,,
10:16.0,Turnover by J. Martin (lost ball; steal by C. Joseph),,28-27,,
10:01.0,,,28-27,,Shooting foul by A. Harrison (drawn by L. Stephenson)
10:01.0,,,28-27,,L. Stephenson misses free throw 1 of 2
10:01.0,,,28-27,,Offensive rebound by Team
10:01.0,,,28-28,1,L. Stephenson makes free throw 2 of 2
9:41.0,D. Brooks misses 2-pt shot from 18 ft,,28-28,,
9:36.0,Offensive rebound by J. Martin,,28-28,,
9:28.0,J. Martin makes 2-pt shot from 15 ft (assist by A. Harrison),2,30-28,,
9:08.0,,,30-28,,L. Stephenson misses 2-pt shot from 6 ft
9:04.0,Defensive rebound by A. Harrison,,30-28,,
9:00.0,,,30-28,,T. Young enters the game for J. Young
9:00.0,,,30-28,,B. Bogdanovic enters the game for T. Leaf
8:52.0,A. Harrison makes 2-pt shot from 16 ft,2,32-28,,
8:34.0,,,32-30,2,D. Sabonis makes 2-pt shot at rim (assist by L. Stephenson)
8:34.0,,,32-30,,Shooting foul by D. Brooks (drawn by D. Sabonis)
8:34.0,,,32-30,,D. Sabonis misses free throw 1 of 1
8:32.0,Defensive rebound by I. Rabb,,32-30,,
8:20.0,M. Henry makes 3-pt shot from 26 ft (assist by D. Brooks),3,35-30,,
7:57.0,,,35-32,2,L. Stephenson makes 2-pt shot at rim (assist by D. Sabonis)
7:45.0,A. Harrison misses 2-pt shot from 17 ft,,35-32,,
7:43.0,,,35-32,,Defensive rebound by L. Stephenson
7:40.0,Violation by D. Brooks (kicked ball),,35-32,,
7:33.0,,,35-34,2,T. Young makes 2-pt shot at rim (assist by D. Sabonis)
7:13.0,D. Brooks misses 2-pt shot from 18 ft,,35-34,,
7:10.0,,,35-34,,Defensive rebound by B. Bogdanovic
7:09.0,Personal block foul by A. Harrison (drawn by B. Bogdanovic),,35-34,,
7:09.0,,,35-34,,V. Oladipo enters the game for L. Stephenson
7:09.0,M. Gasol enters the game for A. Harrison,,35-34,,
7:09.0,W. Selden enters the game for I. Rabb,,35-34,,
7:04.0,,,35-36,2,C. Joseph makes 2-pt shot from 13 ft
6:51.0,,,35-36,,Personal foul by V. Oladipo (drawn by W. Selden)
6:51.0,,,35-36,,Indiana full timeout
6:35.0,D. Brooks makes 2-pt shot from 1 ft,2,37-36,,
6:12.0,,,37-38,2,T. Young makes 2-pt shot from 17 ft
5:50.0,W. Selden makes 3-pt shot from 25 ft (assist by M. Gasol),3,40-38,,
5:37.0,Personal foul by M. Gasol (drawn by T. Young),,40-38,,
5:37.0,,,40-38,,T. Young misses free throw 1 of 2
5:37.0,,,40-38,,Offensive rebound by Team
5:37.0,,,40-38,,D. Collison enters the game for C. Joseph
5:37.0,,,40-38,,M. Turner enters the game for D. Sabonis
5:37.0,I. Rabb enters the game for W. Selden,,40-38,,
5:37.0,,,40-38,,T. Young misses free throw 2 of 2
5:35.0,Defensive rebound by I. Rabb,,40-38,,
5:23.0,J. Martin misses 2-pt shot from 1 ft,,40-38,,
5:21.0,Offensive rebound by I. Rabb,,40-38,,
5:21.0,I. Rabb makes 2-pt shot at rim,2,42-38,,
5:11.0,,,42-41,3,M. Turner makes 3-pt shot from 27 ft (assist by V. Oladipo)
4:48.0,M. Gasol misses 2-pt shot from 8 ft,,42-41,,
4:45.0,Offensive rebound by J. Martin,,42-41,,
4:43.0,J. Martin makes 2-pt shot from 1 ft,2,44-41,,
4:36.0,,,44-43,2,V. Oladipo makes 2-pt shot from 1 ft
4:27.0,J. Martin misses 2-pt shot from 15 ft,,44-43,,
4:24.0,,,44-43,,Defensive rebound by B. Bogdanovic
4:14.0,,,44-45,2,V. Oladipo makes 2-pt shot from 20 ft
4:02.0,M. Gasol makes 3-pt shot from 26 ft (assist by D. Brooks),3,47-45,,
3:34.0,,,47-47,2,B. Bogdanovic makes 2-pt shot at rim
3:28.0,I. Rabb makes 2-pt shot from 1 ft (assist by M. Gasol),2,49-47,,
3:06.0,,,49-47,,D. Collison misses 2-pt shot from 5 ft
3:02.0,,,49-47,,Offensive rebound by D. Collison
2:59.0,,,49-47,,V. Oladipo misses 3-pt shot from 26 ft
2:56.0,,,49-47,,Offensive rebound by B. Bogdanovic
2:44.0,,,49-49,2,T. Young makes 2-pt shot at rim (assist by V. Oladipo)
2:43.0,Memphis full timeout,,49-49,,
2:34.0,D. Brooks misses 3-pt shot from 26 ft,,49-49,,
2:32.0,Offensive rebound by D. Brooks,,49-49,,
2:30.0,M. Henry misses 3-pt shot from 27 ft,,49-49,,
2:25.0,,,49-49,,Defensive rebound by M. Turner
2:14.0,,,49-49,,B. Bogdanovic misses 2-pt shot from 18 ft
2:12.0,Defensive rebound by Team,,49-49,,
2:00.0,M. Gasol makes 2-pt shot from 18 ft (assist by I. Rabb),2,51-49,,
1:41.0,,,51-49,,V. Oladipo misses 2-pt shot from 16 ft
1:39.0,Defensive rebound by M. Gasol,,51-49,,
1:25.0,Turnover by I. Rabb (bad pass; steal by T. Young),,51-49,,
1:20.0,,,51-49,,Offensive charge foul by T. Young (drawn by J. Martin)
1:20.0,,,51-49,,Turnover by T. Young (offensive foul)
1:05.0,Turnover by M. Gasol (lost ball; steal by D. Collison),,51-49,,
1:02.0,,,51-51,2,M. Turner makes 2-pt shot from 1 ft (assist by D. Collison)
0:42.0,D. Brooks makes 2-pt shot from 1 ft,2,53-51,,
0:37.0,,,53-53,2,B. Bogdanovic makes 2-pt shot from 1 ft
0:30.0,J. Martin misses 2-pt shot from 16 ft,,53-53,,
0:27.0,,,53-53,,Defensive rebound by Team
0:06.0,,,53-55,2,V. Oladipo makes 2-pt shot from 1 ft
0:00.0,D. Brooks misses 3-pt shot from 32 ft,,53-55,,
0:00.0,Offensive rebound by Team,,53-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,53-55,,T. Young misses 2-pt shot from 19 ft
11:33.0,Defensive rebound by D. Brooks,,53-55,,
11:21.0,M. Gasol makes 3-pt shot from 25 ft (assist by J. Martin),3,56-55,,
11:04.0,,,56-58,3,D. Collison makes 3-pt shot from 24 ft (assist by T. Young)
10:38.0,A. Harrison misses 3-pt shot from 27 ft,,56-58,,
10:35.0,,,56-58,,Defensive rebound by V. Oladipo
10:22.0,,,56-61,3,V. Oladipo makes 3-pt shot from 27 ft (assist by T. Young)
9:56.0,Turnover by A. Harrison (bad pass; steal by D. Collison),,56-61,,
9:52.0,,,56-64,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison)
9:50.0,Memphis full timeout,,56-64,,
9:37.0,Shooting foul by M. Turner (drawn by A. Harrison),,56-64,,
9:37.0,A. Harrison makes free throw 1 of 2,1,57-64,,
9:37.0,A. Harrison makes free throw 2 of 2,1,58-64,,
9:23.0,,,58-64,,Turnover by D. Collison (bad pass; steal by D. Brooks)
9:19.0,D. Brooks makes 2-pt shot at rim,2,60-64,,
8:55.0,,,60-64,,B. Bogdanovic misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by D. Brooks,,60-64,,
8:44.0,Turnover by A. Harrison (bad pass; steal by B. Bogdanovic),,60-64,,
8:38.0,,,60-64,,Turnover by V. Oladipo (bad pass)
8:22.0,D. Brooks misses 2-pt shot from 2 ft (block by M. Turner),,60-64,,
8:20.0,Offensive rebound by M. Gasol,,60-64,,
8:18.0,M. Gasol makes 2-pt shot at rim,2,62-64,,
7:58.0,,,62-66,2,T. Young makes 2-pt shot from 3 ft
7:49.0,,,62-66,,Personal foul by D. Collison (drawn by A. Harrison)
7:49.0,B. McLemore enters the game for W. Selden,,62-66,,
7:36.0,Turnover by A. Harrison (bad pass; steal by M. Turner),,62-66,,
7:31.0,,,62-69,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by T. Young)
7:04.0,B. McLemore makes 2-pt shot from 19 ft (assist by A. Harrison),2,64-69,,
6:51.0,,,64-69,,V. Oladipo misses 3-pt shot from 27 ft
6:48.0,Defensive rebound by A. Harrison,,64-69,,
6:33.0,M. Gasol misses 2-pt shot from 12 ft,,64-69,,
6:31.0,,,64-69,,Defensive rebound by M. Turner
6:31.0,Personal foul by J. Martin (drawn by M. Turner),,64-69,,
6:31.0,W. Selden enters the game for A. Harrison,,64-69,,
6:22.0,,,64-69,,Shooting foul by W. Selden (drawn by D. Collison)
6:22.0,,,64-70,1,D. Collison makes free throw 1 of 2
6:22.0,,,64-71,1,D. Collison makes free throw 2 of 2
6:06.0,,,64-71,,Personal foul by B. Bogdanovic (drawn by B. McLemore)
6:06.0,I. Rabb enters the game for J. Martin,,64-71,,
5:59.0,W. Selden makes 2-pt shot from 1 ft (assist by M. Gasol),2,66-71,,
5:35.0,,,66-71,,M. Turner misses 2-pt shot from 20 ft
5:31.0,Defensive rebound by D. Brooks,,66-71,,
5:27.0,B. McLemore misses 3-pt shot from 27 ft,,66-71,,
5:22.0,,,66-71,,Defensive rebound by D. Collison
5:21.0,,,66-73,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by V. Oladipo)
5:05.0,M. Henry enters the game for D. Brooks,,66-73,,
4:54.0,W. Selden makes 3-pt shot from 26 ft (assist by M. Henry),3,69-73,,
4:35.0,,,69-75,2,T. Young makes 2-pt shot from 1 ft (assist by V. Oladipo)
4:10.0,Shooting foul by T. Young (drawn by M. Gasol),,69-75,,
4:10.0,M. Gasol makes free throw 1 of 2,1,70-75,,
4:10.0,M. Gasol makes free throw 2 of 2,1,71-75,,
3:59.0,,,71-75,,Shooting foul by I. Rabb (drawn by M. Turner)
3:59.0,,,71-75,,M. Turner misses free throw 1 of 2
3:59.0,,,71-75,,Offensive rebound by Team
3:59.0,,,71-75,,C. Joseph enters the game for T. Young
3:59.0,,,71-75,,D. Sabonis enters the game for B. Bogdanovic
3:59.0,,,71-75,,M. Turner misses free throw 2 of 2
3:55.0,Defensive rebound by M. Henry,,71-75,,
3:35.0,W. Selden misses 3-pt shot from 29 ft,,71-75,,
3:32.0,,,71-75,,Defensive rebound by D. Sabonis
3:28.0,,,71-75,,D. Collison misses 3-pt shot from 23 ft
3:24.0,,,71-75,,Offensive rebound by D. Sabonis
3:13.0,A. Harrison enters the game for M. Henry,,71-75,,
3:07.0,,,71-77,2,D. Collison makes 2-pt shot at rim
2:52.0,M. Gasol makes 3-pt shot from 28 ft (assist by A. Harrison),3,74-77,,
2:40.0,,,74-79,2,V. Oladipo makes 2-pt shot from 16 ft
2:28.0,A. Harrison misses 2-pt shot from 12 ft,,74-79,,
2:27.0,Offensive rebound by I. Rabb,,74-79,,
2:27.0,,,74-79,,Personal foul by M. Turner (drawn by I. Rabb)
2:27.0,,,74-79,,Indiana full timeout
2:27.0,D. Brooks enters the game for W. Selden,,74-79,,
2:27.0,B. Wright enters the game for M. Gasol,,74-79,,
2:27.0,I. Rabb misses free throw 1 of 2,,74-79,,
2:27.0,Offensive rebound by Team,,74-79,,
2:27.0,I. Rabb makes free throw 2 of 2,1,75-79,,
2:15.0,,,75-79,,V. Oladipo misses 2-pt shot from 20 ft
2:12.0,,,75-79,,Offensive rebound by D. Sabonis
2:06.0,,,75-79,,Turnover by V. Oladipo (bad pass; steal by D. Brooks)
2:01.0,B. McLemore misses 3-pt shot from 27 ft,,75-79,,
1:58.0,,,75-79,,Defensive rebound by V. Oladipo
1:41.0,,,75-79,,M. Turner misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by I. Rabb,,75-79,,
1:29.0,A. Harrison misses 2-pt shot from 1 ft,,75-79,,
1:28.0,Offensive rebound by I. Rabb,,75-79,,
1:28.0,I. Rabb misses 2-pt shot at rim,,75-79,,
1:28.0,,,75-79,,Defensive rebound by D. Sabonis
1:28.0,Personal foul by B. McLemore (drawn by D. Sabonis),,75-79,,
1:28.0,,,75-79,,L. Stephenson enters the game for V. Oladipo
1:13.0,,,75-79,,D. Collison misses 3-pt shot from 27 ft
1:09.0,Defensive rebound by B. McLemore,,75-79,,
1:03.0,Turnover by B. McLemore (lost ball; steal by C. Joseph),,75-79,,
1:01.0,,,75-81,2,C. Joseph makes 2-pt shot at rim (assist by D. Collison)
0:43.0,D. Brooks misses 2-pt shot from 3 ft (block by M. Turner),,75-81,,
0:41.0,Offensive rebound by I. Rabb,,75-81,,
0:41.0,Turnover by I. Rabb (lost ball; steal by D. Sabonis),,75-81,,
0:18.0,,,75-84,3,L. Stephenson makes 3-pt shot from 26 ft (assist by D. Collison)
0:00.0,Turnover by A. Harrison (lost ball; steal by M. Turner),,75-84,,
0:00.0,,,75-84,,D. Collison misses 3-pt shot from 53 ft
0:00.0,,,75-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Shooting foul by D. Sabonis (drawn by B. Wright),,75-84,,
11:42.0,B. Wright misses free throw 1 of 2,,75-84,,
11:42.0,Offensive rebound by Team,,75-84,,
11:42.0,B. Wright misses free throw 2 of 2,,75-84,,
11:39.0,Offensive rebound by J. Martin,,75-84,,
11:28.0,B. Wright makes 2-pt shot from 1 ft (assist by A. Harrison),2,77-84,,
11:11.0,,,77-84,,Offensive foul by D. Sabonis (drawn by D. Brooks)
11:11.0,,,77-84,,Turnover by D. Sabonis (offensive foul)
10:59.0,A. Harrison makes 2-pt shot at rim,2,79-84,,
10:59.0,Shooting foul by D. Sabonis (drawn by A. Harrison),,79-84,,
10:59.0,,,79-84,,T. Young enters the game for D. Collison
10:59.0,A. Harrison makes free throw 1 of 1,1,80-84,,
10:40.0,,,80-86,2,D. Sabonis makes 2-pt shot from 10 ft (assist by T. Young)
10:19.0,D. Brooks misses 3-pt shot from 27 ft,,80-86,,
10:16.0,Offensive rebound by Team,,80-86,,
10:02.0,A. Harrison makes 2-pt shot at rim,2,82-86,,
9:50.0,,,82-86,,Shooting foul by M. Henry (drawn by B. Bogdanovic)
9:50.0,,,82-86,,B. Bogdanovic misses free throw 1 of 3
9:50.0,,,82-86,,Offensive rebound by Team
9:50.0,,,82-86,,B. Bogdanovic misses free throw 2 of 3
9:50.0,,,82-86,,Offensive rebound by Team
9:50.0,W. Selden enters the game for M. Henry,,82-86,,
9:50.0,,,82-87,1,B. Bogdanovic makes free throw 3 of 3
9:37.0,W. Selden makes 3-pt shot from 25 ft (assist by A. Harrison),3,85-87,,
9:19.0,,,85-89,2,L. Stephenson makes 2-pt shot at rim
8:55.0,J. Martin misses 2-pt shot from 6 ft,,85-89,,
8:53.0,,,85-89,,Defensive rebound by L. Stephenson
8:47.0,,,85-91,2,D. Sabonis makes 2-pt shot from 1 ft (assist by T. Young)
8:46.0,Memphis full timeout,,85-91,,
8:46.0,M. Henry enters the game for J. Martin,,85-91,,
8:46.0,M. Gasol enters the game for A. Harrison,,85-91,,
8:28.0,B. Wright makes 2-pt shot at rim (assist by M. Gasol),2,87-91,,
8:06.0,,,87-93,2,L. Stephenson makes 2-pt shot from 1 ft
7:47.0,D. Brooks makes 2-pt shot from 7 ft,2,89-93,,
7:28.0,,,89-93,,D. Sabonis misses 2-pt shot from 6 ft
7:25.0,,,89-93,,Offensive rebound by D. Sabonis
7:24.0,,,89-95,2,D. Sabonis makes 2-pt shot from 5 ft
7:09.0,W. Selden misses 3-pt shot from 25 ft,,89-95,,
7:05.0,,,89-95,,Defensive rebound by L. Stephenson
7:01.0,,,89-95,,L. Stephenson misses 2-pt shot from 1 ft
6:59.0,Defensive rebound by M. Gasol,,89-95,,
6:53.0,Shooting foul by B. Bogdanovic (drawn by B. Wright),,89-95,,
6:53.0,B. Wright makes free throw 1 of 2,1,90-95,,
6:53.0,,,90-95,,V. Oladipo enters the game for B. Bogdanovic
6:53.0,B. Wright misses free throw 2 of 2,,90-95,,
6:51.0,,,90-95,,Defensive rebound by C. Joseph
6:30.0,,,90-95,,Turnover by L. Stephenson (lost ball; steal by D. Brooks)
6:26.0,D. Brooks misses 2-pt shot from 2 ft,,90-95,,
6:23.0,Offensive rebound by W. Selden,,90-95,,
6:10.0,W. Selden makes 3-pt shot from 23 ft,3,93-95,,
5:55.0,Personal foul by W. Selden (drawn by V. Oladipo),,93-95,,
5:44.0,,,93-95,,Turnover by C. Joseph (bad pass; steal by B. Wright)
5:25.0,W. Selden misses 3-pt shot from 27 ft,,93-95,,
5:22.0,,,93-95,,Defensive rebound by D. Sabonis
5:18.0,,,93-95,,Indiana full timeout
5:18.0,,,93-95,,D. Collison enters the game for L. Stephenson
5:18.0,,,93-95,,B. Bogdanovic enters the game for C. Joseph
5:18.0,,,93-95,,M. Turner enters the game for D. Sabonis
5:18.0,A. Harrison enters the game for M. Henry,,93-95,,
5:06.0,Jump ball: V. Oladipo vs. D. Brooks (D. Collison gains possession),,,,Jump ball: V. Oladipo vs. D. Brooks (D. Collison gains possession)
5:01.0,,,93-95,,D. Collison misses 2-pt shot from 15 ft
4:56.0,Defensive rebound by B. Wright,,93-95,,
4:47.0,Turnover by A. Harrison (bad pass; steal by B. Bogdanovic),,93-95,,
4:44.0,,,93-97,2,B. Bogdanovic makes 2-pt shot from 1 ft
4:21.0,Turnover by A. Harrison (bad pass; steal by B. Bogdanovic),,93-97,,
4:09.0,Shooting block foul by A. Harrison (drawn by V. Oladipo),,93-97,,
4:09.0,,,93-98,1,V. Oladipo makes free throw 1 of 2
4:09.0,J. Martin enters the game for A. Harrison,,93-98,,
4:09.0,,,93-99,1,V. Oladipo makes free throw 2 of 2
3:54.0,M. Gasol makes 2-pt shot from 14 ft,2,95-99,,
3:36.0,,,95-99,,B. Bogdanovic misses 3-pt shot from 27 ft
3:33.0,Defensive rebound by W. Selden,,95-99,,
3:24.0,W. Selden misses 2-pt shot from 1 ft,,95-99,,
3:22.0,,,95-99,,Defensive rebound by B. Bogdanovic
3:17.0,,,95-99,,D. Collison misses 3-pt shot from 26 ft
3:16.0,,,95-99,,Offensive rebound by M. Turner
3:16.0,,,95-99,,Shooting foul by J. Martin (drawn by M. Turner)
3:16.0,,,95-99,,M. Turner misses free throw 1 of 2
3:16.0,,,95-99,,Offensive rebound by Team
3:16.0,,,95-100,1,M. Turner makes free throw 2 of 2
2:57.0,B. Wright misses 2-pt shot from 10 ft,,95-100,,
2:53.0,Offensive rebound by J. Martin,,95-100,,
2:51.0,W. Selden makes 3-pt shot from 22 ft (assist by J. Martin),3,98-100,,
2:25.0,,,98-100,,B. Bogdanovic misses 3-pt shot from 23 ft
2:18.0,Defensive rebound by D. Brooks,,98-100,,
2:06.0,Memphis full timeout,,98-100,,
1:57.0,W. Selden makes 3-pt shot from 28 ft (assist by M. Gasol),3,101-100,,
1:40.0,,,101-100,,V. Oladipo misses 3-pt shot from 26 ft
1:36.0,Defensive rebound by M. Gasol,,101-100,,
1:14.0,D. Brooks misses 2-pt shot from 16 ft,,101-100,,
1:11.0,,,101-100,,Defensive rebound by M. Turner
0:55.0,,,101-100,,Offensive charge foul by V. Oladipo (drawn by D. Brooks)
0:55.0,,,101-100,,Turnover by V. Oladipo (offensive foul)
0:55.0,A. Harrison enters the game for B. Wright,,101-100,,
0:36.0,D. Brooks misses 2-pt shot from 9 ft,,101-100,,
0:34.0,,,101-100,,Defensive rebound by M. Turner
0:34.0,Personal foul by J. Martin (drawn by M. Turner),,101-100,,
0:34.0,,,101-101,1,M. Turner makes free throw 1 of 2
0:34.0,,,101-101,,C. Joseph enters the game for D. Collison
0:34.0,,,101-102,1,M. Turner makes free throw 2 of 2
0:22.0,,,101-102,,Personal foul by V. Oladipo (drawn by A. Harrison)
0:15.0,M. Gasol misses 2-pt shot from 10 ft,,101-102,,
0:11.0,Offensive rebound by W. Selden,,101-102,,
