time,LA Clippers,pts.away,score,pts.home,Milwaukee
0:01.0,,,64-57,,E. Bledsoe misses free throw 2 of 2
0:01.0,Defensive rebound by D. Jordan,,64-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Teodosic makes 3-pt shot from 26 ft (assist by D. Jordan),3,67-57,,
11:20.0,,,67-57,,K. Middleton misses 2-pt shot from 3 ft
11:16.0,,,67-57,,Offensive rebound by J. Henson
11:16.0,,,67-59,2,J. Henson makes 2-pt shot at rim
10:54.0,W. Johnson misses 3-pt shot from 27 ft,,67-59,,
10:49.0,,,67-59,,Defensive rebound by J. Henson
10:42.0,,,67-59,,Turnover by K. Middleton (bad pass; steal by M. Teodosic)
10:37.0,W. Johnson misses 2-pt shot from 3 ft,,67-59,,
10:32.0,Offensive rebound by W. Johnson,,67-59,,
10:32.0,W. Johnson misses 2-pt shot at rim,,67-59,,
10:31.0,,,67-59,,Defensive rebound by J. Parker
10:29.0,,,67-59,,Turnover by J. Parker (bad pass; steal by T. Harris)
10:14.0,,,67-59,,Violation by J. Terry (kicked ball)
10:05.0,,,67-59,,Personal foul by K. Middleton (drawn by D. Jordan)
9:57.0,T. Harris misses 2-pt shot from 2 ft,,67-59,,
9:54.0,Offensive rebound by T. Harris,,67-59,,
9:53.0,T. Harris misses 2-pt shot from 1 ft,,67-59,,
9:53.0,,,67-59,,Defensive rebound by J. Henson
9:40.0,,,67-59,,E. Bledsoe misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by D. Jordan,,67-59,,
9:18.0,M. Teodosic misses 2-pt shot from 18 ft,,67-59,,
9:14.0,,,67-59,,Defensive rebound by J. Parker
9:02.0,,,67-61,2,J. Parker makes 2-pt shot from 3 ft (assist by J. Henson)
8:44.0,Turnover by D. Jordan (lost ball; steal by E. Bledsoe),,67-61,,
8:42.0,Personal foul by D. Jordan (drawn by E. Bledsoe),,67-61,,
8:42.0,,,67-62,1,E. Bledsoe makes clear path free throw 1 of 2
8:42.0,,,67-63,1,E. Bledsoe makes clear path free throw 2 of 2
8:33.0,,,67-65,2,J. Henson makes 2-pt shot at rim (assist by J. Parker)
8:18.0,M. Teodosic misses 2-pt shot from 18 ft,,67-65,,
8:14.0,,,67-65,,Defensive rebound by J. Parker
8:09.0,,,67-65,,J. Parker misses 2-pt shot from 1 ft
8:09.0,,,67-65,,Offensive rebound by J. Parker
8:02.0,,,67-65,,J. Parker misses 2-pt shot at rim
8:01.0,Defensive rebound by T. Harris,,67-65,,
7:53.0,A. Rivers makes 2-pt shot from 15 ft,2,69-65,,
7:36.0,,,69-65,,K. Middleton misses 2-pt shot from 15 ft
7:34.0,Defensive rebound by D. Jordan,,69-65,,
7:20.0,T. Harris makes 3-pt shot from 23 ft (assist by M. Teodosic),3,72-65,,
7:20.0,,,72-65,,Milwaukee full timeout
7:20.0,L. Williams enters the game for M. Teodosic,,72-65,,
7:01.0,,,72-67,2,J. Parker makes 2-pt shot from 12 ft
6:39.0,A. Rivers makes 2-pt shot at rim,2,74-67,,
6:26.0,,,74-67,,E. Bledsoe misses 2-pt shot from 4 ft
6:23.0,,,74-67,,Offensive rebound by Team
6:22.0,Violation by W. Johnson (kicked ball),,74-67,,
6:12.0,Jump ball: J. Parker vs. T. Harris (L. Williams gains possession),,,,Jump ball: J. Parker vs. T. Harris (L. Williams gains possession)
6:12.0,,,74-67,,Turnover by J. Parker (turnover; steal by T. Harris)
5:53.0,A. Rivers makes 3-pt shot from 28 ft,3,77-67,,
5:33.0,,,77-67,,J. Terry misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by W. Johnson,,77-67,,
