time,Denver,pts.away,score,pts.home,LA Lakers
0:52.0,E. Mudiay misses 2-pt shot from 2 ft (block by L. Ball),,44-66,,
0:49.0,,,44-66,,Defensive rebound by L. Ball
0:49.0,,,44-68,2,J. Hart makes 2-pt shot from 2 ft (assist by L. Ball)
0:39.0,Turnover by W. Barton (turnover),,44-68,,
0:26.0,,,44-68,,K. Caldwell-Pope misses 2-pt shot from 15 ft
0:25.0,Defensive rebound by Team,,44-68,,
0:25.0,,,44-68,,Loose ball foul by A. Bogut (drawn by M. Plumlee)
0:25.0,M. Plumlee makes free throw 1 of 2,1,45-68,,
0:25.0,,,45-68,,K. Kuzma enters the game for A. Bogut
0:25.0,M. Plumlee makes free throw 2 of 2,1,46-68,,
0:08.0,,,46-70,2,L. Ball makes 2-pt shot from 1 ft
0:01.0,W. Chandler makes 2-pt shot from 7 ft,2,48-70,,
0:00.0,,,48-70,,L. Ball misses 3-pt shot from 79 ft
0:00.0,,,48-70,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,J. Murray misses 2-pt shot from 18 ft,,48-70,,
11:47.0,Offensive rebound by Team,,48-70,,
11:47.0,,,48-70,,Loose ball foul by B. Lopez (drawn by M. Plumlee)
11:38.0,W. Chandler makes 3-pt shot from 26 ft (assist by M. Plumlee),3,51-70,,
11:15.0,,,51-70,,Turnover by B. Lopez (bad pass; steal by W. Chandler)
11:09.0,W. Chandler makes 3-pt shot from 25 ft,3,54-70,,
11:08.0,,,54-70,,LA Lakers full timeout
10:46.0,,,54-72,2,B. Lopez makes 2-pt shot from 8 ft (assist by L. Ball)
10:34.0,Offensive charge foul by W. Chandler (drawn by K. Kuzma),,54-72,,
10:34.0,Turnover by W. Chandler (offensive foul),,54-72,,
10:28.0,Personal foul by M. Plumlee (drawn by B. Lopez),,54-72,,
10:28.0,Turnover by M. Plumlee (turnover),,54-72,,
10:24.0,,,54-74,2,B. Lopez makes 2-pt shot from 2 ft (assist by B. Ingram)
10:04.0,M. Plumlee makes 2-pt shot from 7 ft,2,56-74,,
9:47.0,,,56-76,2,K. Kuzma makes 2-pt shot from 9 ft (assist by B. Lopez)
9:35.0,W. Barton makes 3-pt shot from 26 ft,3,59-76,,
9:23.0,,,59-76,,B. Lopez misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by G. Harris,,59-76,,
9:10.0,Shooting foul by L. Ball (drawn by J. Murray),,59-76,,
9:10.0,J. Murray makes free throw 1 of 2,1,60-76,,
9:10.0,J. Murray makes free throw 2 of 2,1,61-76,,
9:01.0,,,61-78,2,B. Ingram makes 2-pt shot from 21 ft (assist by L. Ball)
8:43.0,Turnover by J. Murray (lost ball; steal by K. Kuzma),,61-78,,
8:39.0,,,61-78,,Offensive charge foul by B. Ingram (drawn by M. Plumlee)
8:39.0,,,61-78,,Turnover by B. Ingram (offensive foul)
8:33.0,J. Murray misses 2-pt shot from 20 ft,,61-78,,
8:32.0,,,61-78,,Defensive rebound by K. Kuzma
8:32.0,Loose ball foul by M. Plumlee (drawn by K. Kuzma),,61-78,,
8:17.0,,,61-78,,B. Ingram misses 2-pt shot from 2 ft
8:17.0,Defensive rebound by Team,,61-78,,
8:05.0,G. Harris misses 2-pt shot from 18 ft,,61-78,,
7:59.0,,,61-78,,Defensive rebound by B. Ingram
7:51.0,,,61-81,3,B. Lopez makes 3-pt shot from 26 ft (assist by B. Ingram)
7:31.0,W. Chandler misses 3-pt shot from 25 ft,,61-81,,
7:27.0,Offensive rebound by W. Barton,,61-81,,
7:25.0,W. Barton makes 2-pt shot from 1 ft,2,63-81,,
7:07.0,,,63-81,,L. Ball misses 2-pt shot from 3 ft (block by J. Murray)
7:01.0,,,63-81,,Offensive rebound by K. Caldwell-Pope
6:58.0,,,63-83,2,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by B. Ingram)
6:58.0,Denver full timeout,,63-83,,
6:58.0,E. Mudiay enters the game for J. Murray,,63-83,,
6:50.0,G. Harris makes 3-pt shot from 26 ft (assist by E. Mudiay),3,66-83,,
6:33.0,,,66-86,3,K. Caldwell-Pope makes 3-pt shot from 27 ft
6:19.0,E. Mudiay misses 2-pt shot from 9 ft,,66-86,,
6:15.0,Offensive rebound by M. Plumlee,,66-86,,
6:10.0,M. Plumlee misses 2-pt shot from 1 ft,,66-86,,
6:06.0,Offensive rebound by G. Harris,,66-86,,
6:02.0,G. Harris makes 3-pt shot from 25 ft,3,69-86,,
5:50.0,,,69-86,,Turnover by K. Kuzma (offensive goaltending)
5:38.0,G. Harris misses 2-pt shot from 19 ft,,69-86,,
5:36.0,,,69-86,,Defensive rebound by L. Ball
5:18.0,,,69-88,2,K. Caldwell-Pope makes 2-pt shot from 20 ft
5:04.0,W. Barton misses 3-pt shot from 27 ft,,69-88,,
5:00.0,,,69-88,,Defensive rebound by L. Ball
4:53.0,,,69-88,,B. Lopez misses 2-pt shot from 3 ft (block by G. Harris)
4:53.0,,,69-88,,Offensive rebound by Team
4:53.0,,,69-88,,J. Randle enters the game for K. Kuzma
4:53.0,K. Faried enters the game for M. Plumlee,,69-88,,
4:45.0,,,69-88,,B. Ingram misses 3-pt shot from 23 ft
4:42.0,Defensive rebound by W. Chandler,,69-88,,
4:29.0,E. Mudiay misses 2-pt shot from 6 ft (block by L. Ball),,69-88,,
4:25.0,,,69-88,,Defensive rebound by L. Ball
4:22.0,,,69-90,2,J. Randle makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
4:06.0,W. Barton misses 2-pt shot from 2 ft (block by B. Lopez),,69-90,,
4:02.0,,,69-90,,Defensive rebound by L. Ball
4:01.0,,,69-92,2,B. Ingram makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
4:01.0,Denver full timeout,,69-92,,
4:01.0,,,69-92,,J. Clarkson enters the game for L. Ball
4:01.0,J. Hernangomez enters the game for W. Barton,,69-92,,
4:01.0,T. Lyles enters the game for W. Chandler,,69-92,,
3:44.0,G. Harris makes 2-pt shot from 4 ft (assist by E. Mudiay),2,71-92,,
3:26.0,,,71-92,,K. Caldwell-Pope misses 3-pt shot from 26 ft
3:23.0,Defensive rebound by T. Lyles,,71-92,,
3:17.0,,,71-92,,Personal foul by B. Lopez (drawn by J. Hernangomez)
3:17.0,,,71-92,,C. Brewer enters the game for B. Lopez
3:09.0,T. Lyles makes 3-pt shot from 25 ft (assist by E. Mudiay),3,74-92,,
2:46.0,,,74-94,2,J. Clarkson makes 2-pt shot from 19 ft
