time,Golden State,pts.away,score,pts.home,Utah
11:23.0,,,85-105,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
11:09.0,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green),2,87-105,,
10:43.0,,,87-105,,A. Burks misses 3-pt shot from 22 ft
10:41.0,Defensive rebound by K. Thompson,,87-105,,
10:27.0,D. Green misses 3-pt shot from 28 ft,,87-105,,
10:24.0,,,87-105,,Defensive rebound by A. Burks
10:13.0,,,87-107,2,D. Favors makes 2-pt shot from 13 ft (assist by R. Rubio)
10:00.0,S. Livingston misses 2-pt shot from 13 ft,,87-107,,
9:58.0,,,87-107,,Defensive rebound by D. Favors
9:53.0,,,87-107,,Turnover by R. Rubio (lost ball; steal by A. Iguodala)
9:53.0,,,87-107,,Personal foul by A. Burks (drawn by A. Iguodala)
9:53.0,,,87-107,,D. Mitchell enters the game for R. Rubio
9:53.0,N. Young enters the game for A. Iguodala,,87-107,,
9:41.0,Turnover by S. Livingston (out of bounds lost ball),,87-107,,
9:26.0,,,87-107,,D. Mitchell misses 2-pt shot from 4 ft
9:24.0,Defensive rebound by D. West,,87-107,,
9:17.0,,,87-107,,Personal foul by A. Burks (drawn by K. Thompson)
9:15.0,K. Thompson makes 2-pt shot from 20 ft (assist by S. Livingston),2,89-107,,
8:47.0,,,89-107,,D. Mitchell misses 2-pt shot from 6 ft
8:44.0,,,89-107,,Offensive rebound by D. Favors
8:42.0,,,89-109,2,D. Favors makes 2-pt shot from 2 ft
8:35.0,S. Livingston misses 2-pt shot from 9 ft,,89-109,,
8:32.0,,,89-109,,Defensive rebound by D. Favors
8:19.0,,,89-109,,J. Johnson misses 2-pt shot from 20 ft
8:15.0,Defensive rebound by S. Livingston,,89-109,,
8:10.0,S. Livingston misses 2-pt shot from 5 ft (block by J. Johnson),,89-109,,
8:09.0,,,89-109,,Defensive rebound by J. Johnson
8:06.0,Personal foul by D. West (drawn by J. Johnson),,89-109,,
8:06.0,,,89-109,,R. Rubio enters the game for D. Mitchell
8:01.0,,,89-109,,A. Burks misses 3-pt shot from 25 ft
7:59.0,,,89-109,,Offensive rebound by R. Rubio
7:57.0,,,89-112,3,J. Johnson makes 3-pt shot from 29 ft (assist by R. Rubio)
7:33.0,Turnover by D. Green (bad pass; steal by J. Johnson),,89-112,,
7:26.0,,,89-112,,Turnover by J. Johnson (bad pass; steal by D. West)
7:22.0,K. Thompson misses 2-pt shot from 14 ft,,89-112,,
7:20.0,,,89-112,,Defensive rebound by D. Favors
7:03.0,,,89-112,,Turnover by J. Johnson (lost ball; steal by S. Livingston)
7:00.0,Shooting foul by R. O'Neale (drawn by N. Young),,89-112,,
7:00.0,N. Young makes free throw 1 of 2,1,90-112,,
7:00.0,,,90-112,,J. Ingles enters the game for R. O'Neale
7:00.0,N. Young misses free throw 2 of 2,,90-112,,
6:57.0,,,90-112,,Defensive rebound by D. Favors
6:45.0,Personal foul by N. Young (drawn by J. Ingles),,90-112,,
6:45.0,,,90-112,,Utah full timeout
6:45.0,,,90-112,,D. Mitchell enters the game for A. Burks
6:45.0,,,90-112,,R. Gobert enters the game for D. Favors
6:45.0,P. McCaw enters the game for K. Thompson,,90-112,,
6:45.0,J. McGee enters the game for D. Green,,90-112,,
6:45.0,O. Casspi enters the game for S. Livingston,,90-112,,
6:35.0,Personal foul by O. Casspi (drawn by R. Gobert),,90-112,,
6:24.0,,,90-115,3,R. Rubio makes 3-pt shot from 23 ft (assist by J. Johnson)
6:05.0,Golden State full timeout,,90-115,,
6:00.0,J. McGee makes 2-pt shot from 6 ft (assist by D. West),2,92-115,,
5:42.0,,,92-117,2,D. Mitchell makes 2-pt shot from 20 ft (assist by R. Gobert)
5:32.0,J. McGee makes 2-pt shot from 10 ft (assist by P. McCaw),2,94-117,,
5:11.0,,,94-119,2,R. Rubio makes 2-pt shot from 7 ft
5:00.0,P. McCaw misses 3-pt shot from 25 ft,,94-119,,
4:57.0,,,94-119,,Defensive rebound by D. Mitchell
4:54.0,,,94-121,2,D. Mitchell makes 2-pt shot from 1 ft
4:54.0,Violation by J. McGee (def goaltending),,94-121,,
4:36.0,Turnover by D. West (bad pass; steal by D. Mitchell),,94-121,,
4:30.0,,,94-121,,R. Gobert misses 2-pt shot from 2 ft (block by N. Young)
4:25.0,Defensive rebound by N. Young,,94-121,,
4:23.0,Turnover by D. West (bad pass; steal by D. Mitchell),,94-121,,
4:18.0,,,94-121,,J. Johnson misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by D. West,,94-121,,
4:10.0,,,94-121,,Personal foul by R. Gobert (drawn by J. McGee)
4:10.0,,,94-121,,J. Jerebko enters the game for J. Ingles
4:10.0,,,94-121,,R. O'Neale enters the game for J. Johnson
4:10.0,,,94-121,,E. Udoh enters the game for R. Gobert
