time,Orlando,pts.away,score,pts.home,Cleveland
5:17.0,,,12-23,3,K. Love makes 3-pt shot from 25 ft (assist by J. Smith)
4:54.0,E. Fournier misses 3-pt shot from 31 ft,,12-23,,
4:51.0,Offensive rebound by E. Payton,,12-23,,
4:46.0,Turnover by E. Payton (bad pass; steal by K. Love),,12-23,,
4:38.0,,,12-26,3,J. Crowder makes 3-pt shot from 23 ft (assist by K. Love)
4:36.0,Orlando full timeout,,12-26,,
4:24.0,Turnover by J. Simmons (lost ball; steal by I. Thomas),,12-26,,
4:20.0,,,12-26,,I. Thomas misses 2-pt shot at rim (block by J. Simmons)
4:20.0,,,12-26,,Offensive rebound by Team
4:20.0,M. Hezonja enters the game for B. Biyombo,,12-26,,
4:20.0,M. Speights enters the game for E. Payton,,12-26,,
4:20.0,D. Augustin enters the game for J. Simmons,,12-26,,
4:14.0,,,12-26,,I. Thomas misses 3-pt shot from 25 ft
4:11.0,Defensive rebound by M. Hezonja,,12-26,,
4:04.0,Turnover by A. Gordon (offensive goaltending),,12-26,,
3:56.0,Personal foul by M. Hezonja (drawn by J. Crowder),,12-26,,
3:46.0,,,12-26,,K. Love misses 3-pt shot from 22 ft
3:44.0,Defensive rebound by E. Fournier,,12-26,,
3:38.0,A. Gordon makes 2-pt shot at rim (assist by D. Augustin),2,14-26,,
3:22.0,,,14-26,,I. Thomas misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by E. Fournier,,14-26,,
3:01.0,M. Speights misses 3-pt shot from 23 ft,,14-26,,
2:57.0,,,14-26,,Defensive rebound by K. Love
2:40.0,,,14-28,2,L. James makes 2-pt shot from 1 ft (assist by J. Smith)
2:40.0,,,14-28,,Shooting foul by M. Speights (drawn by L. James)
2:40.0,,,14-28,,T. Thompson enters the game for K. Love
2:40.0,,,14-28,,D. Wade enters the game for I. Thomas
2:40.0,,,14-28,,J. Green enters the game for J. Smith
2:40.0,,,14-28,,K. Korver enters the game for J. Crowder
2:40.0,,,14-28,,L. James misses free throw 1 of 1
2:38.0,Defensive rebound by A. Gordon,,14-28,,
2:32.0,,,14-28,,Personal foul by K. Korver (drawn by E. Fournier)
2:32.0,E. Fournier makes free throw 1 of 2,1,15-28,,
2:32.0,E. Fournier makes free throw 2 of 2,1,16-28,,
2:12.0,,,16-28,,D. Wade misses 2-pt shot at rim
2:09.0,,,16-28,,Offensive rebound by J. Green
2:04.0,,,16-30,2,D. Wade makes 2-pt shot from 1 ft (assist by L. James)
1:50.0,A. Gordon misses 2-pt shot from 1 ft,,16-30,,
1:50.0,Offensive rebound by A. Gordon,,16-30,,
1:40.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Gordon),3,19-30,,
1:25.0,,,19-30,,K. Korver misses 3-pt shot from 26 ft
1:25.0,,,19-30,,Offensive rebound by Team
1:25.0,Loose ball foul by M. Speights (drawn by T. Thompson),,19-30,,
1:19.0,,,19-32,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Korver)
1:01.0,Shooting foul by D. Wade (drawn by D. Augustin),,19-32,,
1:01.0,D. Augustin misses free throw 1 of 2,,19-32,,
1:01.0,Offensive rebound by Team,,19-32,,
1:01.0,D. Augustin makes free throw 2 of 2,1,20-32,,
0:53.0,,,20-32,,Offensive charge foul by D. Wade (drawn by M. Speights)
0:53.0,,,20-32,,Turnover by D. Wade (offensive foul)
0:39.0,M. Hezonja misses 2-pt shot from 11 ft,,20-32,,
0:37.0,,,20-32,,Defensive rebound by J. Green
0:33.0,,,20-34,2,T. Thompson makes 2-pt shot from 8 ft (assist by L. James)
0:15.0,A. Gordon misses 2-pt shot at rim (block by T. Thompson),,20-34,,
0:12.0,,,20-34,,Defensive rebound by J. Green
0:02.0,,,20-36,2,L. James makes 2-pt shot from 1 ft
0:00.0,Turnover by A. Gordon (bad pass; steal by J. Green),,20-36,,
0:00.0,,,20-36,,J. Green misses 3-pt shot from 65 ft
0:00.0,,,20-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,20-36,,T. Thompson misses 2-pt shot from 3 ft
11:40.0,,,20-36,,Offensive rebound by D. Wade
11:39.0,,,20-38,2,D. Wade makes 2-pt shot from 1 ft
11:17.0,M. Hezonja makes 2-pt shot from 2 ft (assist by M. Speights),2,22-38,,
11:07.0,,,22-38,,Turnover by D. Wade (bad pass)
10:40.0,S. Mack makes 2-pt shot at rim,2,24-38,,
10:30.0,,,24-38,,Shooting foul by D. Augustin (drawn by D. Rose)
10:30.0,,,24-39,1,D. Rose makes free throw 1 of 2
10:30.0,K. Birch enters the game for M. Speights,,24-39,,
10:30.0,,,24-40,1,D. Rose makes free throw 2 of 2
10:14.0,M. Hezonja misses 3-pt shot from 24 ft,,24-40,,
10:10.0,Offensive rebound by D. Augustin,,24-40,,
10:01.0,S. Mack makes 2-pt shot at rim (assist by W. Iwundu),2,26-40,,
9:47.0,,,26-40,,Turnover by D. Rose (bad pass; steal by M. Hezonja)
9:32.0,Turnover by M. Hezonja (lost ball; steal by T. Thompson),,26-40,,
9:30.0,,,26-40,,Shooting foul by S. Mack (drawn by J. Green)
9:30.0,,,26-41,1,J. Green makes free throw 1 of 2
9:30.0,,,26-42,1,J. Green makes free throw 2 of 2
9:20.0,D. Augustin misses 2-pt shot from 1 ft,,26-42,,
9:17.0,,,26-42,,Defensive rebound by J. Green
9:10.0,,,26-42,,D. Wade misses 2-pt shot from 11 ft (block by S. Mack)
9:07.0,,,26-42,,Offensive rebound by Team
9:04.0,,,26-44,2,D. Wade makes 2-pt shot from 1 ft (assist by K. Korver)
8:42.0,M. Hezonja makes 2-pt shot from 14 ft,2,28-44,,
8:26.0,,,28-46,2,D. Rose makes 2-pt shot at rim (assist by K. Korver)
8:12.0,M. Hezonja misses 2-pt shot from 1 ft,,28-46,,
8:09.0,,,28-46,,Defensive rebound by K. Korver
8:08.0,,,28-46,,Turnover by K. Korver (bad pass; steal by D. Augustin)
8:08.0,Shooting foul by T. Thompson (drawn by M. Hezonja),,28-46,,
8:08.0,M. Hezonja makes free throw 1 of 2,1,29-46,,
8:08.0,M. Hezonja makes free throw 2 of 2,1,30-46,,
7:58.0,,,30-48,2,D. Wade makes 2-pt shot at rim (assist by K. Korver)
7:58.0,Orlando full timeout,,30-48,,
7:58.0,J. Simmons enters the game for W. Iwundu,,30-48,,
7:45.0,J. Simmons makes 2-pt shot from 7 ft (assist by K. Birch),2,32-48,,
7:24.0,,,32-48,,Turnover by K. Korver (traveling)
7:10.0,J. Simmons misses 3-pt shot from 23 ft,,32-48,,
7:05.0,Offensive rebound by K. Birch,,32-48,,
6:59.0,M. Hezonja misses 3-pt shot from 22 ft,,32-48,,
6:56.0,,,32-48,,Defensive rebound by T. Thompson
6:48.0,,,32-51,3,D. Wade makes 3-pt shot from 25 ft (assist by J. Green)
6:32.0,K. Birch makes 2-pt shot from 10 ft (assist by D. Augustin),2,34-51,,
6:14.0,,,34-54,3,K. Korver makes 3-pt shot from 26 ft (assist by D. Rose)
6:03.0,D. Augustin misses 2-pt shot from 15 ft,,34-54,,
6:01.0,Offensive rebound by K. Birch,,34-54,,
5:58.0,S. Mack makes 2-pt shot from 1 ft (assist by K. Birch),2,36-54,,
5:47.0,,,36-54,,D. Rose misses 2-pt shot from 9 ft
5:44.0,,,36-54,,Offensive rebound by T. Thompson
5:37.0,,,36-54,,D. Wade misses 2-pt shot from 4 ft (block by K. Birch)
5:34.0,,,36-54,,Offensive rebound by T. Thompson
5:32.0,,,36-56,2,T. Thompson makes 2-pt shot from 2 ft
5:18.0,Turnover by D. Augustin (traveling),,36-56,,
5:18.0,,,36-56,,I. Thomas enters the game for D. Rose
5:18.0,,,36-56,,J. Crowder enters the game for D. Wade
5:18.0,,,36-56,,K. Love enters the game for T. Thompson
5:18.0,,,36-56,,L. James enters the game for K. Korver
5:18.0,,,36-56,,J. Smith enters the game for J. Green
5:18.0,A. Gordon enters the game for S. Mack,,36-56,,
5:18.0,E. Fournier enters the game for M. Hezonja,,36-56,,
5:18.0,E. Payton enters the game for D. Augustin,,36-56,,
5:07.0,,,36-56,,Turnover by L. James (bad pass)
4:43.0,E. Fournier misses 2-pt shot from 21 ft,,36-56,,
4:40.0,,,36-56,,Defensive rebound by K. Love
4:29.0,,,36-56,,Turnover by J. Smith (bad pass; steal by A. Gordon)
4:24.0,E. Fournier makes 2-pt shot at rim,2,38-56,,
4:00.0,,,38-56,,J. Smith misses 2-pt shot from 9 ft
3:58.0,Defensive rebound by E. Fournier,,38-56,,
3:51.0,J. Simmons makes 2-pt shot at rim,2,40-56,,
3:39.0,Personal foul by J. Simmons (drawn by J. Smith),,40-56,,
3:28.0,,,40-56,,J. Smith misses 3-pt shot from 23 ft
3:24.0,,,40-56,,Offensive rebound by J. Crowder
3:17.0,,,40-59,3,J. Crowder makes 3-pt shot from 23 ft (assist by J. Smith)
2:59.0,A. Gordon misses 3-pt shot from 26 ft,,40-59,,
2:56.0,,,40-59,,Defensive rebound by J. Smith
2:48.0,,,40-59,,Shooting foul by E. Fournier (drawn by K. Love)
2:48.0,,,40-59,,Cleveland full timeout
2:48.0,,,40-63,1,K. Love makes free throw 1 of 2
2:48.0,,,40-63,1,K. Love makes free throw 2 of 2
2:34.0,B. Biyombo enters the game for K. Birch,,40-63,,
2:29.0,E. Fournier misses 2-pt shot from 3 ft,,40-63,,
2:27.0,,,40-63,,Defensive rebound by K. Love
2:21.0,,,40-61,2,L. James makes 2-pt shot at rim
2:21.0,,,40-61,,Shooting foul by A. Gordon (drawn by L. James)
2:21.0,,,40-61,,L. James misses free throw 1 of 1
2:17.0,Defensive rebound by A. Gordon,,40-61,,
2:11.0,A. Gordon makes 2-pt shot from 1 ft (assist by J. Simmons),2,42-63,,
1:50.0,,,42-63,,K. Love misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by J. Simmons,,42-63,,
1:29.0,E. Payton makes 2-pt shot at rim (assist by J. Simmons),2,44-63,,
1:19.0,Personal foul by B. Biyombo (drawn by K. Love),,44-63,,
1:19.0,,,44-64,1,K. Love makes free throw 1 of 2
1:19.0,,,44-64,,J. Green enters the game for J. Smith
1:19.0,M. Hezonja enters the game for A. Gordon,,44-64,,
1:19.0,,,44-65,1,K. Love makes free throw 2 of 2
1:05.0,E. Payton misses 2-pt shot from 6 ft,,44-65,,
1:03.0,Offensive rebound by Team,,44-65,,
0:55.0,E. Fournier misses 2-pt shot from 13 ft,,44-65,,
0:53.0,,,44-65,,Defensive rebound by I. Thomas
0:50.0,,,44-65,,Turnover by L. James (bad pass)
0:45.0,E. Payton misses 2-pt shot at rim,,44-65,,
0:45.0,Offensive rebound by E. Fournier,,44-65,,
0:45.0,E. Fournier makes 2-pt shot at rim,2,46-65,,
0:45.0,Shooting foul by K. Love (drawn by E. Fournier),,46-65,,
0:45.0,E. Fournier makes free throw 1 of 1,1,47-65,,
0:38.0,,,47-65,,L. James misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by E. Fournier,,47-65,,
0:25.0,Turnover by M. Hezonja (bad pass; steal by L. James),,47-65,,
0:02.0,,,47-67,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
0:01.0,,,47-67,,T. Thompson enters the game for K. Love
0:00.0,M. Hezonja misses 3-pt shot from 36 ft,,47-67,,
0:00.0,Offensive rebound by Team,,47-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,47-67,,L. James misses 3-pt shot from 25 ft
11:43.0,,,47-67,,Offensive rebound by J. Smith
11:30.0,,,47-67,,Turnover by L. James (bad pass; steal by M. Hezonja)
11:10.0,E. Fournier makes 3-pt shot from 22 ft (assist by E. Payton),3,50-67,,
10:53.0,Personal foul by M. Hezonja (drawn by K. Love),,50-67,,
10:53.0,A. Gordon enters the game for M. Hezonja,,50-67,,
10:44.0,,,50-67,,J. Crowder misses 2-pt shot from 18 ft
10:41.0,Defensive rebound by A. Gordon,,50-67,,
10:35.0,B. Biyombo misses 2-pt shot from 1 ft,,50-67,,
10:32.0,,,50-67,,Defensive rebound by K. Love
10:27.0,,,50-67,,I. Thomas misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by B. Biyombo,,50-67,,
10:22.0,Offensive charge foul by E. Fournier (drawn by K. Love),,50-67,,
10:22.0,Turnover by E. Fournier (offensive foul),,50-67,,
10:09.0,,,50-69,2,K. Love makes 2-pt shot from 19 ft (assist by I. Thomas)
9:57.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,52-69,,
9:43.0,,,52-69,,Shooting foul by E. Fournier (drawn by K. Love)
9:43.0,,,52-70,1,K. Love makes free throw 1 of 2
9:43.0,,,52-70,,K. Love misses free throw 2 of 2
9:41.0,Defensive rebound by B. Biyombo,,52-70,,
9:19.0,Turnover by Team (shot clock),,52-70,,
8:49.0,,,52-70,,Turnover by I. Thomas (lost ball; steal by J. Simmons)
8:45.0,E. Payton makes 2-pt shot at rim,2,54-70,,
8:40.0,Jump ball: I. Thomas vs. E. Payton (J. Smith gains possession),,,,Jump ball: I. Thomas vs. E. Payton (J. Smith gains possession)
8:35.0,,,54-70,,Turnover by K. Love (step out of bounds)
8:21.0,J. Simmons makes 2-pt shot from 11 ft (assist by E. Payton),2,56-70,,
8:03.0,,,56-70,,J. Smith misses 3-pt shot from 23 ft
8:01.0,Defensive rebound by B. Biyombo,,56-70,,
7:56.0,Turnover by E. Payton (lost ball; steal by I. Thomas),,56-70,,
7:56.0,Personal foul by E. Fournier (drawn by I. Thomas),,56-70,,
7:56.0,M. Hezonja enters the game for E. Fournier,,56-70,,
7:45.0,,,56-70,,I. Thomas misses 3-pt shot from 26 ft (block by B. Biyombo)
7:40.0,,,56-70,,Offensive rebound by I. Thomas
7:39.0,,,56-72,2,I. Thomas makes 2-pt shot from 1 ft
7:16.0,A. Gordon misses 2-pt shot from 10 ft,,56-72,,
7:13.0,,,56-72,,Defensive rebound by K. Love
7:08.0,,,56-72,,L. James misses 2-pt shot at rim (block by B. Biyombo)
7:02.0,,,56-72,,Offensive rebound by J. Crowder
7:01.0,,,56-74,2,J. Crowder makes 2-pt shot at rim
6:52.0,E. Payton makes 2-pt shot from 9 ft,2,58-74,,
6:35.0,,,58-74,,Turnover by L. James (bad pass; steal by E. Payton)
6:35.0,,,58-74,,Personal foul by J. Crowder (drawn by E. Payton)
6:35.0,,,58-74,,Cleveland full timeout
6:22.0,J. Simmons misses 2-pt shot at rim,,58-74,,
6:20.0,,,58-74,,Defensive rebound by L. James
6:17.0,,,58-74,,K. Love misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by A. Gordon,,58-74,,
6:07.0,M. Hezonja makes 2-pt shot at rim (assist by E. Payton),2,60-74,,
5:49.0,,,60-74,,Shooting foul by E. Payton (drawn by I. Thomas)
5:49.0,,,60-75,1,I. Thomas makes free throw 1 of 3
5:49.0,,,60-76,1,I. Thomas makes free throw 2 of 3
5:49.0,,,60-77,1,I. Thomas makes free throw 3 of 3
5:34.0,J. Simmons makes 2-pt shot from 18 ft,2,62-77,,
5:25.0,,,62-77,,Turnover by J. Crowder (bad pass; steal by J. Simmons)
5:25.0,,,62-77,,Personal foul by J. Smith (drawn by J. Simmons)
5:10.0,A. Gordon makes 3-pt shot from 26 ft (assist by J. Simmons),3,65-77,,
4:47.0,,,65-77,,J. Smith misses 3-pt shot from 24 ft
4:45.0,,,65-77,,Offensive rebound by L. James
4:43.0,,,65-79,2,L. James makes 2-pt shot at rim
4:24.0,A. Gordon makes 3-pt shot from 24 ft (assist by J. Simmons),3,68-79,,
4:14.0,,,68-79,,I. Thomas misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by Team,,68-79,,
4:14.0,,,68-79,,Loose ball foul by J. Crowder (drawn by M. Hezonja)
4:05.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,70-79,,
4:05.0,,,70-79,,Cleveland full timeout
4:05.0,,,70-79,,J. Green enters the game for I. Thomas
4:05.0,,,70-79,,D. Wade enters the game for J. Crowder
3:48.0,,,70-79,,L. James misses 2-pt shot from 13 ft
3:46.0,Defensive rebound by B. Biyombo,,70-79,,
3:27.0,A. Gordon misses 3-pt shot from 26 ft,,70-79,,
3:24.0,,,70-79,,Defensive rebound by L. James
3:19.0,,,70-79,,L. James misses 3-pt shot from 24 ft
3:17.0,Defensive rebound by A. Gordon,,70-79,,
3:14.0,,,70-79,,Violation by J. Green (kicked ball)
3:04.0,M. Hezonja makes 2-pt shot from 20 ft (assist by E. Payton),2,72-79,,
2:51.0,,,72-79,,J. Smith misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by M. Hezonja,,72-79,,
2:35.0,E. Payton misses 2-pt shot from 9 ft,,72-79,,
2:32.0,Offensive rebound by E. Payton,,72-79,,
2:30.0,E. Payton makes 2-pt shot from 1 ft,2,74-79,,
2:11.0,,,74-79,,Shooting foul by B. Biyombo (drawn by L. James)
2:11.0,,,74-79,,L. James misses free throw 1 of 2
2:11.0,,,74-79,,Offensive rebound by Team
2:11.0,,,74-79,,T. Thompson enters the game for K. Love
2:11.0,,,74-79,,K. Korver enters the game for J. Smith
2:11.0,K. Birch enters the game for B. Biyombo,,74-79,,
2:11.0,,,74-80,1,L. James makes free throw 2 of 2
1:56.0,Shooting foul by T. Thompson (drawn by J. Simmons),,74-80,,
1:56.0,J. Simmons makes free throw 1 of 2,1,75-80,,
1:56.0,,,75-80,,D. Rose enters the game for L. James
1:56.0,J. Simmons makes free throw 2 of 2,1,76-80,,
1:45.0,,,76-80,,D. Wade misses 2-pt shot from 9 ft
1:42.0,Defensive rebound by E. Payton,,76-80,,
1:39.0,Turnover by J. Simmons (turnover),,76-80,,
1:17.0,,,76-80,,J. Green misses 2-pt shot from 11 ft
1:11.0,Defensive rebound by J. Simmons,,76-80,,
1:09.0,J. Simmons makes 2-pt shot from 1 ft,2,78-80,,
1:09.0,,,78-80,,Cleveland full timeout
1:00.0,,,78-80,,Turnover by D. Wade (bad pass)
0:49.0,Shooting foul by D. Wade (drawn by J. Simmons),,78-80,,
0:49.0,J. Simmons makes free throw 1 of 2,1,79-80,,
0:49.0,J. Simmons makes free throw 2 of 2,1,80-80,,
0:36.0,,,80-82,2,D. Rose makes 2-pt shot at rim
0:27.0,A. Gordon misses 3-pt shot from 26 ft,,80-82,,
0:25.0,,,80-82,,Defensive rebound by J. Green
0:22.0,,,80-84,2,J. Green makes 2-pt shot from 4 ft
0:02.0,J. Simmons misses 2-pt shot from 5 ft (block by D. Wade),,80-84,,
0:02.0,Offensive rebound by Team,,80-84,,
0:00.0,E. Payton misses 2-pt shot from 16 ft (block by D. Rose),,80-84,,
0:00.0,Offensive rebound by Team,,80-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Turnover by D. Augustin (bad pass; steal by J. Green),,80-84,,
11:35.0,,,80-84,,D. Rose misses 3-pt shot from 24 ft
11:33.0,,,80-84,,Offensive rebound by T. Thompson
11:24.0,,,80-86,2,J. Green makes 2-pt shot at rim (assist by D. Wade)
11:07.0,Turnover by S. Mack (bad pass),,80-86,,
10:53.0,,,80-88,2,J. Green makes 2-pt shot from 1 ft
10:53.0,Orlando full timeout,,80-88,,
10:37.0,M. Hezonja misses 3-pt shot from 25 ft,,80-88,,
10:34.0,,,80-88,,Defensive rebound by D. Rose
10:21.0,,,80-88,,D. Rose misses 2-pt shot from 7 ft
10:19.0,,,80-88,,Offensive rebound by T. Thompson
10:17.0,,,80-88,,T. Thompson misses 2-pt shot from 1 ft
10:17.0,,,80-88,,Offensive rebound by D. Rose
10:17.0,,,80-88,,Shooting foul by M. Hezonja (drawn by D. Rose)
10:17.0,,,80-89,1,D. Rose makes free throw 1 of 2
10:17.0,,,80-89,,D. Rose misses free throw 2 of 2
10:14.0,Defensive rebound by S. Mack,,80-89,,
9:56.0,M. Hezonja makes 2-pt shot from 1 ft (assist by E. Fournier),2,82-89,,
9:44.0,,,82-89,,D. Wade misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by K. Birch,,82-89,,
9:40.0,,,82-89,,Personal foul by J. Green (drawn by S. Mack)
9:29.0,E. Fournier misses 2-pt shot from 1 ft (block by J. Green),,82-89,,
9:26.0,Offensive rebound by S. Mack,,82-89,,
9:24.0,S. Mack makes 2-pt shot from 11 ft,2,84-89,,
9:02.0,,,84-91,2,J. Green makes 2-pt shot from 17 ft
8:56.0,,,84-91,,Personal foul by J. Green (drawn by S. Mack)
8:56.0,A. Gordon enters the game for M. Hezonja,,84-91,,
8:43.0,E. Fournier misses 2-pt shot from 3 ft,,84-91,,
8:40.0,,,84-91,,Defensive rebound by J. Green
8:33.0,,,84-91,,D. Wade misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by K. Birch,,84-91,,
8:21.0,,,84-91,,Personal foul by D. Wade (drawn by A. Gordon)
8:13.0,A. Gordon misses 3-pt shot from 22 ft,,84-91,,
8:10.0,,,84-91,,Defensive rebound by D. Rose
8:07.0,,,84-93,2,D. Rose makes 2-pt shot from 1 ft
7:54.0,K. Birch makes 2-pt shot from 12 ft (assist by D. Augustin),2,86-93,,
7:44.0,,,86-93,,Turnover by D. Rose (bad pass; steal by A. Gordon)
7:41.0,A. Gordon makes 2-pt shot from 1 ft,2,88-93,,
7:41.0,,,88-93,,Cleveland full timeout
7:41.0,J. Simmons enters the game for S. Mack,,88-93,,
7:25.0,,,88-93,,J. Green misses 2-pt shot from 4 ft
7:25.0,Defensive rebound by Team,,88-93,,
7:25.0,,,88-93,,Loose ball foul by J. Green (drawn by K. Birch)
7:25.0,,,88-93,,I. Thomas enters the game for D. Rose
7:25.0,,,88-93,,L. James enters the game for D. Wade
7:07.0,D. Augustin misses 2-pt shot from 21 ft,,88-93,,
7:04.0,,,88-93,,Defensive rebound by L. James
7:02.0,,,88-93,,I. Thomas misses 3-pt shot from 23 ft
6:59.0,,,88-93,,Offensive rebound by T. Thompson
6:47.0,,,88-93,,Technical foul by T. Thompson (drawn by E. Fournier)
6:47.0,,,88-93,,Turnover by T. Thompson (turnover)
6:47.0,E. Fournier misses flagrant free throw 1 of 2,,88-93,,
6:47.0,Offensive rebound by Team,,88-93,,
6:47.0,E. Fournier makes flagrant free throw 2 of 2,1,89-93,,
6:47.0,,,89-93,,K. Love enters the game for T. Thompson
6:47.0,,,89-93,,J. Smith enters the game for K. Korver
6:25.0,K. Birch misses 2-pt shot from 9 ft,,89-93,,
6:20.0,Offensive rebound by A. Gordon,,89-93,,
6:20.0,A. Gordon makes 2-pt shot at rim,2,91-93,,
6:12.0,,,91-95,2,L. James makes 2-pt shot from 11 ft (assist by I. Thomas)
5:46.0,J. Simmons misses 3-pt shot from 25 ft,,91-95,,
5:42.0,,,91-95,,Defensive rebound by K. Love
5:31.0,,,91-98,3,I. Thomas makes 3-pt shot from 25 ft
5:30.0,Orlando full timeout,,91-98,,
5:30.0,E. Payton enters the game for D. Augustin,,91-98,,
5:30.0,B. Biyombo enters the game for K. Birch,,91-98,,
5:03.0,E. Payton makes 2-pt shot from 17 ft (assist by E. Fournier),2,93-98,,
4:47.0,,,93-100,2,I. Thomas makes 2-pt shot from 15 ft
4:36.0,,,93-100,,Personal foul by K. Love (drawn by J. Simmons)
4:36.0,J. Simmons makes free throw 1 of 2,1,94-100,,
4:36.0,J. Simmons makes free throw 2 of 2,1,95-100,,
4:22.0,,,95-100,,J. Green misses 2-pt shot from 14 ft
