time,Brooklyn,pts.away,score,pts.home,Charlotte
4:47.0,Shooting foul by J. Lamb (drawn by J. Allen),,40-44,,
4:47.0,J. Allen misses free throw 1 of 2,,40-44,,
4:47.0,Offensive rebound by Team,,40-44,,
4:47.0,,,40-44,,M. Kidd-Gilchrist enters the game for J. Lamb
4:47.0,J. Harris enters the game for D. Russell,,40-44,,
4:47.0,J. Allen makes free throw 2 of 2,1,41-44,,
4:29.0,,,41-46,2,N. Batum makes 2-pt shot from 16 ft (assist by M. Williams)
4:08.0,J. Allen misses 2-pt shot from 3 ft,,41-46,,
4:06.0,,,41-46,,Defensive rebound by M. Kidd-Gilchrist
3:59.0,,,41-46,,M. Kidd-Gilchrist misses 2-pt shot from 7 ft
3:57.0,,,41-46,,Offensive rebound by D. Howard
3:56.0,,,41-46,,D. Howard misses 2-pt shot at rim
3:54.0,Defensive rebound by S. Dinwiddie,,41-46,,
3:46.0,Turnover by J. Allen (bad pass),,41-46,,
3:40.0,Personal foul by A. Crabbe (drawn by N. Batum),,41-46,,
3:33.0,,,41-46,,Offensive foul by M. Williams (drawn by S. Dinwiddie)
3:33.0,,,41-46,,Turnover by M. Williams (offensive foul)
3:21.0,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie),2,43-46,,
3:10.0,Personal foul by S. Dinwiddie (drawn by M. Williams),,43-46,,
2:57.0,,,43-46,,K. Walker misses 2-pt shot from 18 ft
2:55.0,,,43-46,,Offensive rebound by Team
2:55.0,,,43-46,,Turnover by Team (shot clock)
2:40.0,S. Dinwiddie makes 2-pt shot from 12 ft (assist by D. Cunningham),2,45-46,,
2:20.0,,,45-48,2,K. Walker makes 2-pt shot from 1 ft (assist by D. Howard)
2:08.0,S. Dinwiddie makes 2-pt shot from 12 ft,2,47-48,,
1:54.0,,,47-50,2,K. Walker makes 2-pt shot from 18 ft
1:42.0,A. Crabbe misses 2-pt shot from 11 ft,,47-50,,
1:37.0,,,47-50,,Defensive rebound by D. Howard
1:30.0,,,47-52,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
1:13.0,J. Harris misses 2-pt shot from 14 ft,,47-52,,
1:10.0,,,47-52,,Defensive rebound by D. Howard
0:59.0,,,47-55,3,M. Williams makes 3-pt shot from 22 ft (assist by N. Batum)
0:46.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by J. Allen),3,50-55,,
0:37.0,Personal foul by S. Dinwiddie (drawn by K. Walker),,50-55,,
0:37.0,Q. Acy enters the game for S. Dinwiddie,,50-55,,
0:37.0,D. Russell enters the game for D. Cunningham,,50-55,,
0:25.0,,,50-55,,Offensive foul by M. Williams (drawn by Q. Acy)
0:25.0,,,50-55,,Turnover by M. Williams (offensive foul)
0:25.0,,,50-55,,F. Kaminsky enters the game for M. Williams
0:02.0,A. Crabbe makes 3-pt shot from 25 ft (assist by J. Harris),3,53-55,,
0:00.0,,,53-55,,K. Walker misses 3-pt shot from 55 ft
0:00.0,,,53-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,A. Crabbe misses 2-pt shot from 12 ft,,53-55,,
11:35.0,,,53-55,,Defensive rebound by D. Howard
11:22.0,,,53-55,,M. Williams misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by J. Allen,,53-55,,
11:08.0,D. Russell makes 2-pt shot from 17 ft,2,55-55,,
10:52.0,,,55-55,,M. Williams misses 2-pt shot from 1 ft (block by J. Allen)
10:49.0,Defensive rebound by J. Allen,,55-55,,
10:46.0,S. Dinwiddie misses 3-pt shot from 25 ft,,55-55,,
10:43.0,,,55-55,,Defensive rebound by D. Howard
10:32.0,,,55-55,,K. Walker misses 2-pt shot from 2 ft
10:27.0,,,55-55,,Offensive rebound by D. Howard
10:27.0,,,55-57,2,D. Howard makes 2-pt shot at rim
10:02.0,S. Dinwiddie misses 3-pt shot from 25 ft,,55-57,,
9:59.0,,,55-57,,Defensive rebound by N. Batum
9:52.0,,,55-57,,M. Williams misses 2-pt shot from 8 ft
9:49.0,,,55-57,,Offensive rebound by M. Kidd-Gilchrist
9:45.0,,,55-57,,Turnover by N. Batum (bad pass; steal by J. Allen)
9:35.0,D. Russell misses 2-pt shot from 10 ft,,55-57,,
9:35.0,,,55-57,,Defensive rebound by D. Howard
9:35.0,Personal foul by D. Carroll (drawn by D. Howard),,55-57,,
9:24.0,,,55-60,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
9:01.0,S. Dinwiddie misses 2-pt shot from 1 ft (block by M. Williams),,55-60,,
9:01.0,Offensive rebound by Team,,55-60,,
8:57.0,Turnover by D. Russell (bad pass; steal by N. Batum),,55-60,,
8:52.0,,,55-60,,K. Walker misses 2-pt shot from 1 ft (block by J. Allen)
8:52.0,,,55-60,,Offensive rebound by Team
8:49.0,,,55-60,,D. Howard misses 2-pt shot from 19 ft
8:45.0,Defensive rebound by D. Russell,,55-60,,
8:28.0,D. Carroll misses 2-pt shot from 7 ft (block by M. Kidd-Gilchrist),,55-60,,
8:22.0,Offensive rebound by D. Carroll,,55-60,,
8:22.0,D. Carroll misses 2-pt shot at rim,,55-60,,
8:22.0,,,55-60,,Defensive rebound by D. Howard
8:22.0,,,55-62,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
