time,Sacramento,pts.away,score,pts.home,Portland
7:14.0,D. Fox misses 2-pt shot from 1 ft,,64-73,,
7:14.0,Offensive rebound by Z. Randolph,,64-73,,
7:14.0,Z. Randolph makes 2-pt shot at rim,2,66-73,,
7:14.0,,,66-73,,Portland full timeout
6:55.0,,,66-75,2,J. Nurkic makes 2-pt shot from 6 ft (assist by C. McCollum)
6:40.0,D. Fox misses 2-pt shot from 10 ft,,66-75,,
6:36.0,,,66-75,,Defensive rebound by M. Harkless
6:27.0,,,66-75,,J. Nurkic misses 2-pt shot from 21 ft
6:25.0,Defensive rebound by J. Jackson,,66-75,,
6:16.0,D. Fox makes 2-pt shot from 19 ft,2,68-75,,
5:59.0,,,68-77,2,C. McCollum makes 2-pt shot from 4 ft (assist by D. Lillard)
5:48.0,Turnover by D. Fox (lost ball; steal by J. Nurkic),,68-77,,
5:41.0,,,68-77,,Turnover by D. Lillard (bad pass; steal by J. Jackson)
5:35.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jackson),2,70-77,,
5:11.0,,,70-79,2,C. McCollum makes 2-pt shot from 17 ft (assist by D. Lillard)
4:47.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,70-79,,
4:45.0,,,70-79,,Defensive rebound by J. Nurkic
4:38.0,,,70-81,2,D. Lillard makes 2-pt shot at rim
4:18.0,J. Jackson makes 3-pt shot from 25 ft (assist by Z. Randolph),3,73-81,,
4:08.0,,,73-81,,Portland full timeout
4:08.0,,,73-81,,S. Napier enters the game for C. McCollum
4:08.0,,,73-81,,E. Davis enters the game for M. Harkless
4:08.0,,,73-81,,E. Turner enters the game for J. Nurkic
4:08.0,S. Labissiere enters the game for Z. Randolph,,73-81,,
4:08.0,B. Hield enters the game for B. Bogdanovic,,73-81,,
3:56.0,,,73-81,,Turnover by S. Napier (lost ball; steal by J. Jackson)
3:36.0,D. Fox misses 2-pt shot from 1 ft,,73-81,,
3:35.0,,,73-81,,Defensive rebound by E. Davis
3:28.0,,,73-84,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
3:10.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,73-84,,
3:07.0,,,73-84,,Defensive rebound by A. Aminu
2:51.0,,,73-84,,Shooting foul by S. Labissiere (drawn by A. Aminu)
2:51.0,,,73-85,1,A. Aminu makes free throw 1 of 2
2:51.0,V. Carter enters the game for J. Jackson,,73-85,,
2:51.0,,,73-85,,A. Aminu misses free throw 2 of 2
2:48.0,Defensive rebound by W. Cauley-Stein,,73-85,,
2:27.0,W. Cauley-Stein makes 2-pt shot from 5 ft,2,75-85,,
2:15.0,,,75-85,,D. Lillard misses 2-pt shot from 1 ft
2:14.0,Defensive rebound by B. Hield,,75-85,,
2:04.0,S. Labissiere misses 2-pt shot from 4 ft,,75-85,,
2:02.0,,,75-85,,Defensive rebound by E. Davis
1:55.0,,,75-85,,A. Aminu misses 3-pt shot from 24 ft
1:52.0,Defensive rebound by Team,,75-85,,
1:52.0,,,75-85,,Loose ball foul by D. Lillard (drawn by V. Carter)
1:52.0,Z. Randolph enters the game for W. Cauley-Stein,,75-85,,
1:52.0,F. Mason enters the game for D. Fox,,75-85,,
1:52.0,,,75-85,,Z. Collins enters the game for A. Aminu
1:32.0,Shooting foul by E. Davis (drawn by Z. Randolph),,75-85,,
1:32.0,Z. Randolph makes free throw 1 of 2,1,76-85,,
1:32.0,Z. Randolph misses free throw 2 of 2,,76-85,,
1:30.0,,,76-85,,Defensive rebound by E. Davis
1:17.0,,,76-88,3,D. Lillard makes 3-pt shot from 24 ft (assist by S. Napier)
0:55.0,V. Carter makes 2-pt shot from 22 ft (assist by F. Mason),2,78-88,,
0:32.0,,,78-88,,Turnover by Team (shot clock)
0:13.0,F. Mason makes 2-pt shot from 3 ft,2,80-88,,
0:01.0,,,80-88,,D. Lillard misses 2-pt shot from 18 ft
0:01.0,,,80-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,80-88,,E. Davis misses 2-pt shot from 1 ft (block by S. Labissiere)
11:41.0,Defensive rebound by V. Carter,,80-88,,
11:29.0,Z. Randolph misses 3-pt shot from 24 ft,,80-88,,
11:26.0,,,80-88,,Defensive rebound by E. Davis
11:16.0,,,80-88,,Z. Collins misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by B. Hield,,80-88,,
11:03.0,B. Hield misses 2-pt shot from 20 ft,,80-88,,
11:02.0,Offensive rebound by Team,,80-88,,
11:02.0,,,80-88,,Loose ball foul by E. Davis (drawn by Z. Randolph)
10:56.0,B. Hield makes 2-pt shot from 20 ft,2,82-88,,
10:31.0,,,82-88,,Turnover by Z. Collins (lost ball; steal by F. Mason)
10:22.0,Turnover by F. Mason (lost ball; steal by S. Napier),,82-88,,
10:18.0,,,82-88,,S. Napier misses 3-pt shot from 23 ft
10:14.0,,,82-88,,Offensive rebound by S. Napier
10:13.0,,,82-90,2,E. Davis makes 2-pt shot from 5 ft (assist by S. Napier)
10:13.0,,,82-90,,Shooting foul by S. Labissiere (drawn by E. Davis)
10:13.0,,,82-91,1,E. Davis makes free throw 1 of 1
9:54.0,B. Hield misses 3-pt shot from 23 ft,,82-91,,
9:52.0,,,82-91,,Defensive rebound by E. Turner
9:47.0,,,82-91,,Shooting foul by F. Mason (drawn by S. Napier)
9:47.0,,,82-92,1,S. Napier makes free throw 1 of 2
9:47.0,,,82-93,1,S. Napier makes free throw 2 of 2
9:26.0,B. Hield misses 2-pt shot from 22 ft,,82-93,,
9:24.0,,,82-93,,Defensive rebound by Z. Collins
9:16.0,,,82-96,3,Z. Collins makes 3-pt shot from 24 ft (assist by S. Napier)
9:15.0,Sacramento full timeout,,82-96,,
9:15.0,B. Bogdanovic enters the game for B. Hield,,82-96,,
8:54.0,,,82-96,,Personal foul by E. Turner (drawn by F. Mason)
8:46.0,V. Carter makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,85-96,,
8:30.0,,,85-96,,C. McCollum misses 2-pt shot from 11 ft
8:26.0,,,85-96,,Offensive rebound by E. Davis
8:26.0,,,85-98,2,E. Davis makes 2-pt shot at rim
8:09.0,Z. Randolph makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,88-98,,
7:50.0,,,88-98,,C. McCollum misses 2-pt shot from 5 ft
7:46.0,,,88-98,,Offensive rebound by E. Davis
7:46.0,,,88-98,,E. Davis misses 2-pt shot at rim
7:46.0,Defensive rebound by Z. Randolph,,88-98,,
7:37.0,Turnover by Z. Randolph (lost ball; steal by E. Davis),,88-98,,
7:32.0,,,88-100,2,S. Napier makes 2-pt shot at rim (assist by E. Davis)
7:19.0,F. Mason misses 2-pt shot from 1 ft,,88-100,,
7:17.0,,,88-100,,Defensive rebound by Team
7:17.0,,,88-100,,D. Lillard enters the game for S. Napier
7:04.0,,,88-102,2,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard)
7:04.0,,,88-102,,Shooting foul by Z. Randolph (drawn by C. McCollum)
7:04.0,D. Fox enters the game for F. Mason,,88-102,,
7:04.0,,,88-103,1,C. McCollum makes free throw 1 of 1
6:54.0,B. Bogdanovic misses 2-pt shot from 10 ft (block by C. McCollum),,88-103,,
6:52.0,,,88-103,,Defensive rebound by E. Davis
6:40.0,,,88-105,2,C. McCollum makes 2-pt shot from 12 ft (assist by E. Turner)
6:37.0,Sacramento full timeout,,88-105,,
6:37.0,W. Cauley-Stein enters the game for V. Carter,,88-105,,
6:37.0,B. Hield enters the game for Z. Randolph,,88-105,,
6:37.0,,,88-105,,M. Harkless enters the game for E. Turner
6:23.0,D. Fox misses 2-pt shot from 21 ft,,88-105,,
6:21.0,,,88-105,,Defensive rebound by E. Davis
6:05.0,,,88-105,,D. Lillard misses 3-pt shot from 28 ft
6:03.0,Defensive rebound by B. Hield,,88-105,,
5:53.0,B. Hield misses 3-pt shot from 24 ft,,88-105,,
5:49.0,,,88-105,,Defensive rebound by E. Davis
5:40.0,,,88-105,,C. McCollum misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by W. Cauley-Stein,,88-105,,
5:35.0,Shooting foul by C. McCollum (drawn by D. Fox),,88-105,,
5:35.0,D. Fox makes free throw 1 of 2,1,89-105,,
5:35.0,,,89-105,,J. Nurkic enters the game for E. Davis
5:35.0,,,89-105,,A. Aminu enters the game for Z. Collins
5:35.0,D. Fox makes free throw 2 of 2,1,90-105,,
5:17.0,,,90-105,,A. Aminu misses 3-pt shot from 25 ft
5:14.0,Defensive rebound by B. Hield,,90-105,,
5:01.0,Turnover by B. Bogdanovic (lost ball; steal by D. Lillard),,90-105,,
4:57.0,,,90-105,,D. Lillard misses 2-pt shot from 2 ft (block by B. Hield)
4:55.0,Defensive rebound by D. Fox,,90-105,,
4:53.0,B. Hield misses 3-pt shot from 25 ft,,90-105,,
4:50.0,,,90-105,,Defensive rebound by Team
4:26.0,,,90-108,3,M. Harkless makes 3-pt shot from 25 ft (assist by A. Aminu)
4:12.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,90-108,,
4:09.0,,,90-108,,Defensive rebound by A. Aminu
3:49.0,,,90-108,,D. Lillard misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by S. Labissiere,,90-108,,
3:36.0,,,90-108,,Personal foul by C. McCollum (drawn by D. Fox)
3:27.0,B. Bogdanovic misses 3-pt shot from 25 ft,,90-108,,
3:24.0,Offensive rebound by Team,,90-108,,
3:18.0,Turnover by D. Fox (bad pass; steal by J. Nurkic),,90-108,,
3:10.0,,,90-108,,Turnover by M. Harkless (bad pass; steal by W. Cauley-Stein)
3:05.0,D. Fox makes 2-pt shot from 9 ft,2,92-108,,
2:45.0,,,92-110,2,D. Lillard makes 2-pt shot from 1 ft (assist by J. Nurkic)
2:35.0,W. Cauley-Stein makes 2-pt shot from 22 ft (assist by D. Fox),2,94-110,,
2:34.0,,,94-110,,Portland full timeout
2:34.0,,,94-110,,M. Leonard enters the game for D. Lillard
2:34.0,,,94-110,,C. Swanigan enters the game for C. McCollum
2:34.0,,,94-110,,J. Layman enters the game for M. Harkless
2:34.0,,,94-110,,S. Napier enters the game for J. Nurkic
2:34.0,,,94-110,,P. Connaughton enters the game for A. Aminu
2:21.0,,,94-113,3,S. Napier makes 3-pt shot from 24 ft (assist by J. Layman)
1:59.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Fox),3,97-113,,
