time,Milwaukee,pts.away,score,pts.home,Charlotte
10:22.0,,,26-26,,T. Graham misses 3-pt shot from 23 ft
10:20.0,Defensive rebound by K. Middleton,,26-26,,
10:16.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by K. Middleton),2,28-26,,
9:57.0,,,28-26,,Turnover by J. O'Bryant (out of bounds lost ball)
9:57.0,,,28-26,,M. Monk enters the game for J. O'Bryant
9:30.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,30-26,,
9:17.0,,,30-26,,M. Monk misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by M. Dellavedova,,30-26,,
9:03.0,M. Brogdon makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,32-26,,
8:57.0,,,32-26,,Charlotte full timeout
8:37.0,,,32-26,,T. Graham misses 2-pt shot from 10 ft
8:35.0,Defensive rebound by S. Kilpatrick,,32-26,,
8:24.0,M. Dellavedova misses 2-pt shot from 11 ft,,32-26,,
8:21.0,,,32-26,,Defensive rebound by M. Carter-Williams
8:12.0,,,32-28,2,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky)
8:12.0,,,32-28,,Shooting foul by D. Wilson (drawn by J. Lamb)
8:12.0,,,32-28,,M. Kidd-Gilchrist enters the game for T. Graham
8:12.0,,,32-28,,N. Batum enters the game for M. Monk
8:12.0,,,32-29,1,J. Lamb makes free throw 1 of 1
8:01.0,S. Kilpatrick misses 3-pt shot from 26 ft,,32-29,,
7:58.0,,,32-29,,Defensive rebound by N. Batum
7:49.0,Personal foul by M. Dellavedova (drawn by M. Kidd-Gilchrist),,32-29,,
7:49.0,T. Snell enters the game for M. Brogdon,,32-29,,
7:49.0,E. Bledsoe enters the game for K. Middleton,,32-29,,
7:40.0,,,32-31,2,F. Kaminsky makes 2-pt shot from 8 ft
7:28.0,,,32-31,,Personal foul by M. Carter-Williams (drawn by E. Bledsoe)
7:28.0,,,32-31,,K. Walker enters the game for M. Carter-Williams
7:24.0,M. Dellavedova makes 2-pt shot from 22 ft (assist by D. Wilson),2,34-31,,
7:08.0,Def 3 sec tech foul by T. Snell,,34-31,,
7:08.0,,,34-32,1,K. Walker makes technical free throw
6:57.0,,,34-35,3,K. Walker makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist)
6:45.0,E. Bledsoe misses 2-pt shot from 8 ft (block by M. Kidd-Gilchrist),,34-35,,
6:45.0,Offensive rebound by Team,,34-35,,
6:38.0,Jump ball: M. Kidd-Gilchrist vs. E. Bledsoe (S. Kilpatrick gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. E. Bledsoe (S. Kilpatrick gains possession)
6:32.0,S. Kilpatrick makes 2-pt shot at rim,2,36-35,,
6:15.0,,,36-37,2,F. Kaminsky makes 2-pt shot from 1 ft
5:54.0,E. Bledsoe makes 2-pt shot from 5 ft (assist by S. Kilpatrick),2,38-37,,
5:43.0,,,38-39,2,J. Lamb makes 2-pt shot from 18 ft (assist by K. Walker)
5:35.0,,,38-39,,Personal foul by M. Kidd-Gilchrist (drawn by E. Bledsoe)
5:35.0,,,38-39,,D. Howard enters the game for F. Kaminsky
5:35.0,J. Henson enters the game for D. Wilson,,38-39,,
5:32.0,T. Snell makes 2-pt shot from 17 ft (assist by J. Henson),2,40-39,,
5:14.0,,,40-39,,Turnover by M. Kidd-Gilchrist (out of bounds lost ball)
5:10.0,Offensive foul by T. Snell (drawn by M. Kidd-Gilchrist),,40-39,,
5:10.0,Turnover by T. Snell (offensive foul),,40-39,,
5:10.0,,,40-39,,M. Williams enters the game for J. Lamb
4:51.0,,,40-39,,N. Batum misses 2-pt shot from 14 ft
4:49.0,Defensive rebound by T. Snell,,40-39,,
4:43.0,S. Kilpatrick misses 3-pt shot from 24 ft,,40-39,,
4:39.0,,,40-39,,Defensive rebound by N. Batum
4:36.0,,,40-39,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by T. Snell)
4:31.0,Defensive rebound by S. Kilpatrick,,40-39,,
4:28.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,43-39,,
4:19.0,,,43-39,,Offensive charge foul by M. Kidd-Gilchrist (drawn by M. Dellavedova)
4:19.0,,,43-39,,Turnover by M. Kidd-Gilchrist (offensive foul)
4:19.0,K. Middleton enters the game for M. Dellavedova,,43-39,,
4:01.0,E. Bledsoe misses 3-pt shot from 26 ft,,43-39,,
3:58.0,,,43-39,,Defensive rebound by D. Howard
3:51.0,,,43-39,,Shooting foul by S. Kilpatrick (drawn by M. Kidd-Gilchrist)
3:51.0,,,43-39,,M. Kidd-Gilchrist misses free throw 1 of 2
3:51.0,,,43-39,,Offensive rebound by Team
3:51.0,,,43-40,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:40.0,,,43-40,,Def 3 sec tech foul by M. Kidd-Gilchrist
3:40.0,K. Middleton makes technical free throw,1,44-40,,
3:40.0,M. Brogdon enters the game for S. Kilpatrick,,44-40,,
3:39.0,,,44-40,,T. Graham enters the game for M. Kidd-Gilchrist
3:32.0,K. Middleton misses 3-pt shot from 26 ft,,44-40,,
3:28.0,,,44-40,,Defensive rebound by D. Howard
3:20.0,,,44-40,,K. Walker misses 2-pt shot from 2 ft
3:20.0,,,44-40,,Offensive rebound by D. Howard
3:17.0,,,44-42,2,D. Howard makes 2-pt shot at rim
3:14.0,E. Bledsoe makes 2-pt shot from 18 ft,2,46-42,,
2:59.0,,,46-42,,D. Howard misses 2-pt shot from 2 ft
2:59.0,Defensive rebound by J. Henson,,46-42,,
2:54.0,M. Brogdon misses 2-pt shot from 6 ft (block by N. Batum),,46-42,,
2:54.0,Offensive rebound by Team,,46-42,,
2:54.0,Milwaukee full timeout,,46-42,,
2:45.0,J. Henson makes 2-pt shot from 2 ft (assist by T. Snell),2,48-42,,
2:34.0,,,48-44,2,N. Batum makes 2-pt shot from 13 ft (assist by K. Walker)
2:19.0,K. Middleton misses 3-pt shot from 24 ft,,48-44,,
2:15.0,,,48-44,,Defensive rebound by M. Williams
2:08.0,,,48-47,3,T. Graham makes 3-pt shot from 22 ft (assist by K. Walker)
1:59.0,Turnover by E. Bledsoe (out of bounds lost ball),,48-47,,
1:48.0,,,48-49,2,N. Batum makes 2-pt shot from 14 ft (assist by K. Walker)
1:29.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by K. Middleton),3,51-49,,
1:18.0,Personal foul by K. Middleton (drawn by N. Batum),,51-49,,
1:06.0,Personal foul by T. Snell (drawn by N. Batum),,51-49,,
1:06.0,,,51-50,1,N. Batum makes free throw 1 of 3
1:06.0,,,51-50,,J. O'Bryant enters the game for D. Howard
1:06.0,,,51-51,1,N. Batum makes free throw 2 of 2
0:42.0,J. Henson makes 2-pt shot at rim (assist by M. Brogdon),2,53-51,,
0:31.0,,,53-53,2,K. Walker makes 2-pt shot from 1 ft
0:18.0,Shooting foul by J. O'Bryant (drawn by E. Bledsoe),,53-53,,
0:18.0,E. Bledsoe misses free throw 1 of 2,,53-53,,
0:18.0,Offensive rebound by Team,,53-53,,
0:18.0,E. Bledsoe makes free throw 2 of 2,1,54-53,,
0:01.0,,,54-53,,N. Batum misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by J. Henson,,54-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,J. Henson makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,56-53,,
11:20.0,,,56-53,,Shooting foul by M. Dellavedova (drawn by D. Howard)
11:20.0,,,56-53,,D. Howard misses free throw 1 of 2
11:20.0,,,56-53,,Offensive rebound by Team
11:20.0,,,56-54,1,D. Howard makes free throw 2 of 2
11:07.0,J. Henson makes 2-pt shot from 19 ft (assist by M. Dellavedova),2,58-54,,
10:51.0,,,58-54,,N. Batum misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by Team,,58-54,,
10:40.0,Shooting foul by D. Howard (drawn by T. Snell),,58-54,,
10:40.0,T. Snell makes free throw 1 of 2,1,59-54,,
10:40.0,T. Snell makes free throw 2 of 2,1,60-54,,
10:29.0,,,60-54,,K. Walker misses 3-pt shot from 25 ft
10:26.0,,,60-54,,Offensive rebound by D. Howard
10:24.0,,,60-54,,K. Walker misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by E. Bledsoe,,60-54,,
10:17.0,T. Snell makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,63-54,,
9:53.0,,,63-54,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
9:51.0,,,63-54,,Offensive rebound by M. Williams
9:47.0,,,63-54,,Shooting foul by J. Henson (drawn by D. Howard)
9:47.0,,,63-55,1,D. Howard makes free throw 1 of 2
9:47.0,,,63-55,,D. Howard misses free throw 2 of 2
9:44.0,Defensive rebound by E. Bledsoe,,63-55,,
9:34.0,K. Middleton misses 3-pt shot from 22 ft,,63-55,,
9:30.0,,,63-55,,Defensive rebound by D. Howard
9:18.0,,,63-55,,K. Walker misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by K. Middleton,,63-55,,
9:10.0,K. Middleton makes 2-pt shot from 8 ft,2,65-55,,
9:10.0,,,65-55,,Charlotte full timeout
8:56.0,,,65-55,,M. Williams misses 3-pt shot from 26 ft
8:56.0,,,65-55,,Offensive rebound by Team
8:56.0,Loose ball foul by J. Henson (drawn by D. Howard),,65-55,,
8:52.0,Violation by M. Dellavedova (kicked ball),,65-55,,
8:48.0,,,65-55,,Offensive foul by D. Howard (drawn by E. Bledsoe)
8:48.0,,,65-55,,Turnover by D. Howard (offensive foul)
8:36.0,,,65-55,,Personal foul by M. Kidd-Gilchrist (drawn by K. Middleton)
8:33.0,,,65-55,,Personal foul by K. Walker (drawn by E. Bledsoe)
8:22.0,E. Bledsoe misses 3-pt shot from 22 ft,,65-55,,
8:18.0,Offensive rebound by M. Dellavedova,,65-55,,
8:16.0,K. Middleton makes 3-pt shot from 25 ft (assist by T. Snell),3,68-55,,
7:56.0,,,68-55,,Turnover by M. Williams (step out of bounds)
7:48.0,K. Middleton makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,71-55,,
7:29.0,Personal foul by K. Middleton (drawn by D. Howard),,71-55,,
7:29.0,,,71-55,,T. Graham enters the game for M. Kidd-Gilchrist
7:16.0,,,71-55,,N. Batum misses 3-pt shot from 28 ft
7:14.0,,,71-55,,Offensive rebound by Team
7:08.0,,,71-55,,Turnover by T. Graham (bad pass; steal by K. Middleton)
7:03.0,M. Dellavedova makes 2-pt shot from 18 ft (assist by K. Middleton),2,73-55,,
6:42.0,,,73-55,,Turnover by N. Batum (bad pass)
6:32.0,E. Bledsoe misses 3-pt shot from 27 ft (block by K. Walker),,73-55,,
6:27.0,,,73-55,,Defensive rebound by D. Howard
6:09.0,,,73-57,2,D. Howard makes 2-pt shot from 2 ft
5:51.0,J. Henson makes 2-pt shot from 7 ft (assist by T. Snell),2,75-57,,
5:34.0,,,75-59,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
5:11.0,K. Middleton misses 3-pt shot from 25 ft,,75-59,,
5:06.0,,,75-59,,Defensive rebound by T. Graham
5:01.0,,,75-61,2,N. Batum makes 2-pt shot from 16 ft
5:00.0,Milwaukee full timeout,,75-61,,
5:00.0,,,75-61,,F. Kaminsky enters the game for M. Williams
5:00.0,M. Brogdon enters the game for M. Dellavedova,,75-61,,
4:42.0,J. Henson misses 2-pt shot from 8 ft,,75-61,,
4:40.0,,,75-61,,Defensive rebound by D. Howard
4:22.0,,,75-63,2,N. Batum makes 2-pt shot from 11 ft
4:01.0,J. Henson makes 2-pt shot from 4 ft (assist by E. Bledsoe),2,77-63,,
3:46.0,,,77-66,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by N. Batum)
3:29.0,K. Middleton makes 2-pt shot from 14 ft (assist by M. Brogdon),2,79-66,,
3:15.0,,,79-69,3,T. Graham makes 3-pt shot from 23 ft (assist by D. Howard)
2:53.0,E. Bledsoe misses 2-pt shot from 7 ft (block by D. Howard),,79-69,,
2:53.0,Offensive rebound by Team,,79-69,,
2:53.0,Offensive foul by K. Middleton (drawn by K. Walker),,79-69,,
2:53.0,Turnover by K. Middleton (offensive foul),,79-69,,
2:53.0,T. Maker enters the game for J. Henson,,79-69,,
2:35.0,,,79-72,3,T. Graham makes 3-pt shot from 23 ft (assist by K. Walker)
2:12.0,T. Snell misses 3-pt shot from 24 ft,,79-72,,
2:10.0,,,79-72,,Defensive rebound by T. Graham
1:56.0,,,79-74,2,T. Graham makes 2-pt shot from 1 ft (assist by D. Howard)
1:56.0,Milwaukee full timeout,,79-74,,
1:56.0,,,79-74,,J. Lamb enters the game for N. Batum
1:56.0,D. Liggins enters the game for E. Bledsoe,,79-74,,
1:45.0,M. Brogdon misses 2-pt shot from 19 ft,,79-74,,
1:42.0,,,79-74,,Defensive rebound by D. Howard
1:33.0,,,79-76,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
1:20.0,M. Brogdon makes 2-pt shot from 12 ft,2,81-76,,
0:59.0,,,81-76,,Shooting foul by T. Maker (drawn by D. Howard)
0:59.0,,,81-77,1,D. Howard makes free throw 1 of 2
0:59.0,,,81-77,,M. Carter-Williams enters the game for K. Walker
0:59.0,S. Kilpatrick enters the game for T. Snell,,81-77,,
0:59.0,,,81-78,1,D. Howard makes free throw 2 of 2
0:51.0,,,81-78,,Personal foul by M. Carter-Williams (drawn by M. Brogdon)
0:48.0,Shooting foul by T. Graham (drawn by K. Middleton),,81-78,,
0:48.0,K. Middleton makes free throw 1 of 2,1,82-78,,
0:48.0,K. Middleton makes free throw 2 of 2,1,83-78,,
0:35.0,,,83-80,2,J. Lamb makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
0:35.0,,,83-80,,Shooting foul by D. Liggins (drawn by J. Lamb)
0:35.0,,,83-81,1,J. Lamb makes free throw 1 of 1
0:23.0,K. Middleton makes 2-pt shot from 17 ft,2,85-81,,
0:01.0,,,85-81,,J. Lamb misses 3-pt shot from 29 ft
0:01.0,,,85-81,,Offensive rebound by D. Howard
0:00.0,,,85-81,,D. Howard misses 2-pt shot from 2 ft
0:00.0,,,85-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,85-83,2,F. Kaminsky makes 2-pt shot from 1 ft
11:30.0,S. Kilpatrick misses 3-pt shot from 26 ft,,85-83,,
11:26.0,,,85-83,,Defensive rebound by F. Kaminsky
11:10.0,,,85-83,,J. O'Bryant misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by S. Kilpatrick,,85-83,,
11:00.0,K. Middleton makes 2-pt shot from 9 ft,2,87-83,,
10:38.0,,,87-83,,F. Kaminsky misses 2-pt shot from 11 ft
10:33.0,Defensive rebound by S. Kilpatrick,,87-83,,
10:30.0,S. Kilpatrick makes 2-pt shot from 1 ft,2,89-83,,
10:15.0,Personal foul by M. Brogdon (drawn by M. Carter-Williams),,89-83,,
10:05.0,,,89-85,2,J. Lamb makes 2-pt shot from 13 ft
10:05.0,,,89-85,,Shooting foul by D. Liggins (drawn by J. Lamb)
10:05.0,,,89-86,1,J. Lamb makes free throw 1 of 1
9:44.0,,,89-86,,Personal foul by J. O'Bryant (drawn by K. Middleton)
9:37.0,Shooting foul by T. Graham (drawn by K. Middleton),,89-86,,
9:37.0,K. Middleton makes free throw 1 of 2,1,90-86,,
9:37.0,K. Middleton makes free throw 2 of 2,1,91-86,,
9:21.0,,,91-86,,Shooting foul by S. Kilpatrick (drawn by J. O'Bryant)
9:21.0,,,91-87,1,J. O'Bryant makes free throw 1 of 2
9:21.0,,,91-88,1,J. O'Bryant makes free throw 2 of 2
9:03.0,K. Middleton misses 2-pt shot from 12 ft,,91-88,,
9:01.0,,,91-88,,Defensive rebound by J. O'Bryant
8:50.0,,,91-88,,M. Carter-Williams misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by D. Liggins,,91-88,,
8:35.0,T. Maker makes 2-pt shot from 4 ft (assist by K. Middleton),2,93-88,,
8:18.0,,,93-88,,T. Graham misses 2-pt shot from 13 ft
8:14.0,Defensive rebound by T. Maker,,93-88,,
8:01.0,M. Brogdon misses 2-pt shot from 2 ft,,93-88,,
7:59.0,,,93-88,,Defensive rebound by J. O'Bryant
7:54.0,Personal foul by D. Liggins (drawn by J. Lamb),,93-88,,
7:54.0,,,93-88,,M. Kidd-Gilchrist enters the game for T. Graham
7:50.0,,,93-88,,Shooting foul by D. Liggins (drawn by J. Lamb)
7:50.0,,,93-89,1,J. Lamb makes free throw 1 of 2
7:50.0,,,93-89,,N. Batum enters the game for J. O'Bryant
7:50.0,E. Bledsoe enters the game for D. Liggins,,93-89,,
7:50.0,,,93-90,1,J. Lamb makes free throw 2 of 2
7:28.0,M. Brogdon makes 2-pt shot from 2 ft,2,95-90,,
7:13.0,,,95-93,3,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lamb)
6:57.0,T. Maker misses 2-pt shot from 2 ft,,95-93,,
6:55.0,,,95-93,,Defensive rebound by M. Carter-Williams
6:43.0,,,95-93,,F. Kaminsky misses 3-pt shot from 27 ft
6:41.0,Defensive rebound by E. Bledsoe,,95-93,,
6:41.0,Milwaukee full timeout,,95-93,,
6:41.0,,,95-93,,K. Walker enters the game for M. Carter-Williams
6:41.0,J. Henson enters the game for T. Maker,,95-93,,
6:41.0,T. Snell enters the game for S. Kilpatrick,,95-93,,
6:27.0,J. Henson misses 2-pt shot from 6 ft (block by N. Batum),,95-93,,
6:27.0,Offensive rebound by Team,,95-93,,
6:23.0,Jump ball: N. Batum vs. J. Henson (M. Brogdon gains possession),,,,Jump ball: N. Batum vs. J. Henson (M. Brogdon gains possession)
6:20.0,Turnover by M. Brogdon (turnover),,95-93,,
6:20.0,Loose ball foul by M. Brogdon (drawn by K. Walker),,95-93,,
6:20.0,,,95-93,,K. Walker misses free throw 1 of 2
6:20.0,,,95-93,,Offensive rebound by Team
6:20.0,,,95-94,1,K. Walker makes free throw 2 of 2
6:08.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Henson),,95-94,,
6:08.0,J. Henson misses free throw 1 of 2,,95-94,,
6:08.0,Offensive rebound by Team,,95-94,,
6:08.0,J. Henson misses free throw 2 of 2,,95-94,,
6:05.0,,,95-94,,Defensive rebound by F. Kaminsky
5:45.0,,,95-94,,K. Walker misses 2-pt shot from 18 ft
5:42.0,Defensive rebound by E. Bledsoe,,95-94,,
5:35.0,Turnover by E. Bledsoe (bad pass; steal by F. Kaminsky),,95-94,,
5:32.0,,,95-94,,Shooting foul by M. Brogdon (drawn by K. Walker)
5:32.0,,,95-94,,K. Walker misses free throw 1 of 2
5:32.0,,,95-94,,Offensive rebound by Team
5:32.0,,,95-94,,D. Howard enters the game for F. Kaminsky
5:32.0,,,95-94,,K. Walker misses free throw 2 of 2
5:29.0,Defensive rebound by K. Middleton,,95-94,,
5:20.0,Offensive foul by E. Bledsoe (drawn by K. Walker),,95-94,,
5:20.0,Turnover by E. Bledsoe (offensive foul),,95-94,,
5:09.0,,,95-94,,Turnover by K. Walker (traveling)
4:58.0,K. Middleton makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,97-94,,
4:36.0,,,97-96,2,D. Howard makes 2-pt shot from 3 ft
4:36.0,,,97-96,,Shooting foul by E. Bledsoe (drawn by D. Howard)
4:36.0,,,97-97,1,D. Howard makes free throw 1 of 1
