time,Cleveland,pts.away,score,pts.home,New Orleans
0:07.0,J. Green makes 2-pt shot from 1 ft (assist by D. Wade),2,22-33,,
0:00.0,,,22-33,,Shooting foul by K. Korver (drawn by A. Davis)
0:00.0,,,22-34,1,A. Davis makes free throw 1 of 2
0:00.0,,,22-35,1,A. Davis makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Crowder makes 3-pt shot from 23 ft (assist by D. Wade),3,25-35,,
11:16.0,,,25-35,,Shooting foul by C. Frye (drawn by D. Cousins)
11:16.0,,,25-36,1,D. Cousins makes free throw 1 of 2
11:16.0,,,25-37,1,D. Cousins makes free throw 2 of 2
11:03.0,D. Wade makes 2-pt shot from 8 ft,2,27-37,,
10:39.0,,,27-40,3,E. Moore makes 3-pt shot from 24 ft (assist by I. Clark)
10:21.0,J. Crowder misses 3-pt shot from 26 ft,,27-40,,
10:15.0,,,27-40,,Defensive rebound by D. Cousins
10:08.0,,,27-40,,Turnover by J. Nelson (bad pass; steal by C. Frye)
10:06.0,J. Green misses 2-pt shot at rim,,27-40,,
10:06.0,,,27-40,,Defensive rebound by D. Cousins
9:55.0,J. Green misses 3-pt shot from 23 ft,,27-40,,
9:49.0,,,27-40,,Defensive rebound by I. Clark
9:46.0,,,27-40,,Personal foul by J. Smith (drawn by C. Frye)
9:46.0,,,27-40,,T. Allen enters the game for J. Smith
9:31.0,K. Korver makes 2-pt shot from 18 ft (assist by D. Wade),2,29-40,,
9:21.0,,,29-40,,Turnover by T. Allen (traveling)
9:05.0,C. Frye misses 3-pt shot from 26 ft,,29-40,,
9:00.0,,,29-40,,Defensive rebound by D. Cousins
8:40.0,,,29-40,,Turnover by E. Moore (traveling)
8:32.0,D. Wade makes 2-pt shot from 5 ft,2,31-40,,
8:32.0,Shooting foul by D. Cousins (drawn by D. Wade),,31-40,,
8:32.0,D. Wade misses free throw 1 of 1,,31-40,,
8:29.0,,,31-40,,Defensive rebound by E. Moore
8:16.0,,,31-40,,E. Moore misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by J. Green,,31-40,,
8:06.0,D. Wade makes 2-pt shot from 8 ft,2,33-40,,
8:01.0,,,33-40,,New Orleans full timeout
8:01.0,,,33-40,,A. Davis enters the game for J. Nelson
8:01.0,,,33-40,,J. Holiday enters the game for T. Allen
7:56.0,Personal foul by J. Green (drawn by D. Cousins),,33-40,,
7:44.0,,,33-40,,I. Clark misses 2-pt shot from 12 ft
7:39.0,Defensive rebound by C. Frye,,33-40,,
7:36.0,D. Wade makes 2-pt shot at rim,2,35-40,,
7:18.0,,,35-42,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cousins)
7:05.0,C. Frye misses 3-pt shot from 26 ft,,35-42,,
6:59.0,,,35-42,,Defensive rebound by A. Davis
6:48.0,,,35-44,2,E. Moore makes 2-pt shot from 3 ft (assist by D. Cousins)
6:47.0,Cleveland full timeout,,35-44,,
6:47.0,,,35-44,,D. Cunningham enters the game for D. Cousins
6:47.0,L. James enters the game for C. Frye,,35-44,,
6:47.0,K. Love enters the game for J. Green,,35-44,,
6:42.0,Turnover by L. James (bad pass),,35-44,,
6:25.0,,,35-44,,A. Davis misses 2-pt shot from 5 ft
6:14.0,,,35-44,,Offensive rebound by A. Davis
6:14.0,,,35-46,2,A. Davis makes 2-pt shot at rim
6:07.0,D. Wade makes 2-pt shot from 9 ft,2,37-46,,
5:54.0,,,37-46,,Shooting foul by K. Korver (drawn by A. Davis)
5:54.0,,,37-47,1,A. Davis makes free throw 1 of 2
5:54.0,J. Smith enters the game for J. Crowder,,37-47,,
5:54.0,,,37-48,1,A. Davis makes free throw 2 of 2
5:54.0,T. Thompson enters the game for K. Korver,,37-48,,
5:42.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,39-48,,
5:26.0,,,39-48,,A. Davis misses 2-pt shot from 6 ft
5:17.0,Defensive rebound by T. Thompson,,39-48,,
5:15.0,K. Love misses 2-pt shot from 4 ft (block by A. Davis),,39-48,,
5:08.0,,,39-48,,Defensive rebound by I. Clark
5:01.0,,,39-48,,A. Davis misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by J. Smith,,39-48,,
4:51.0,K. Love makes 2-pt shot from 4 ft (assist by J. Smith),2,41-48,,
4:34.0,,,41-51,3,J. Holiday makes 3-pt shot from 26 ft (assist by E. Moore)
4:18.0,K. Love misses 3-pt shot from 23 ft,,41-51,,
4:16.0,Offensive rebound by J. Smith,,41-51,,
4:16.0,,,41-51,,Personal foul by E. Moore (drawn by J. Smith)
4:16.0,,,41-51,,D. Cousins enters the game for E. Moore
4:16.0,K. Korver enters the game for D. Wade,,41-51,,
3:49.0,,,41-53,2,J. Holiday makes 2-pt shot from 1 ft
3:31.0,T. Thompson misses 2-pt shot from 5 ft (block by A. Davis),,41-53,,
3:21.0,,,41-53,,Defensive rebound by D. Cousins
3:19.0,,,41-55,2,J. Holiday makes 2-pt shot from 2 ft (assist by I. Clark)
3:02.0,Shooting foul by A. Davis (drawn by T. Thompson),,41-55,,
3:02.0,T. Thompson makes free throw 1 of 2,1,42-55,,
3:02.0,T. Thompson misses free throw 2 of 2,,42-55,,
2:58.0,,,42-55,,Defensive rebound by A. Davis
2:52.0,,,42-57,2,D. Cousins makes 2-pt shot from 3 ft (assist by J. Holiday)
2:40.0,K. Korver makes 3-pt shot from 26 ft (assist by L. James),3,45-57,,
2:25.0,,,45-57,,I. Clark misses 2-pt shot from 7 ft (block by K. Korver)
2:23.0,Defensive rebound by T. Thompson,,45-57,,
2:23.0,Offensive charge foul by L. James (drawn by A. Davis),,45-57,,
2:23.0,Turnover by L. James (offensive foul),,45-57,,
2:17.0,,,45-60,3,I. Clark makes 3-pt shot from 28 ft (assist by D. Cousins)
1:57.0,Shooting foul by I. Clark (drawn by K. Love),,45-60,,
1:57.0,K. Love makes free throw 1 of 2,1,46-60,,
1:57.0,D. Wade enters the game for K. Korver,,46-60,,
1:57.0,K. Love makes free throw 2 of 2,1,47-60,,
1:47.0,,,47-60,,Turnover by D. Cousins (bad pass; steal by K. Love)
1:40.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,49-60,,
1:17.0,,,49-60,,I. Clark misses 3-pt shot from 28 ft
1:13.0,Defensive rebound by K. Love,,49-60,,
1:09.0,Turnover by L. James (lost ball; steal by D. Cousins),,49-60,,
1:03.0,,,49-62,2,D. Cousins makes 2-pt shot from 3 ft (assist by D. Cunningham)
1:03.0,Shooting foul by D. Cunningham (drawn by L. James),,49-62,,
0:52.0,L. James makes free throw 2 of 2,1,50-62,,
0:52.0,L. James misses free throw 1 of 2,,50-62,,
0:52.0,Offensive rebound by Team,,50-62,,
0:52.0,,,50-62,,E. Moore enters the game for D. Cunningham
0:41.0,,,50-62,,A. Davis misses 2-pt shot from 14 ft
0:34.0,Defensive rebound by K. Love,,50-62,,
0:28.0,D. Wade misses 2-pt shot from 20 ft,,50-62,,
0:24.0,,,50-62,,Defensive rebound by J. Holiday
0:24.0,,,50-65,3,E. Moore makes 3-pt shot from 26 ft (assist by J. Holiday)
0:24.0,Cleveland full timeout,,50-65,,
0:24.0,,,50-65,,J. Smith enters the game for D. Cousins
0:24.0,,,50-65,,T. Allen enters the game for A. Davis
0:24.0,K. Korver enters the game for T. Thompson,,50-65,,
0:01.0,Shooting foul by T. Allen (drawn by K. Love),,50-65,,
0:01.0,K. Love makes free throw 1 of 2,1,51-65,,
0:01.0,J. Green enters the game for L. James,,51-65,,
0:01.0,K. Love makes free throw 2 of 2,1,52-65,,
0:00.0,,,52-65,,T. Allen misses 3-pt shot from 53 ft
0:00.0,Defensive rebound by Team,,52-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,J. Smith misses 3-pt shot from 29 ft,,52-65,,
11:42.0,,,52-65,,Defensive rebound by A. Davis
11:32.0,,,52-65,,E. Moore misses 2-pt shot from 16 ft
11:28.0,Defensive rebound by K. Love,,52-65,,
11:09.0,T. Thompson misses 2-pt shot from 15 ft,,52-65,,
11:02.0,,,52-65,,Defensive rebound by D. Cousins
10:58.0,,,52-65,,D. Cousins misses 3-pt shot from 27 ft
10:50.0,Defensive rebound by L. James,,52-65,,
10:48.0,L. James makes 3-pt shot from 27 ft (assist by K. Love),3,55-65,,
10:23.0,,,55-65,,A. Davis misses 3-pt shot from 27 ft
10:18.0,Defensive rebound by I. Shumpert,,55-65,,
10:12.0,J. Smith misses 2-pt shot from 2 ft,,55-65,,
10:11.0,Offensive rebound by T. Thompson,,55-65,,
9:55.0,T. Thompson makes 2-pt shot from 1 ft,2,57-65,,
9:52.0,Personal foul by T. Thompson (drawn by A. Davis),,57-65,,
9:37.0,,,57-65,,D. Cousins misses 2-pt shot from 21 ft
9:33.0,Defensive rebound by K. Love,,57-65,,
9:22.0,K. Love misses 2-pt shot from 7 ft,,57-65,,
9:18.0,,,57-65,,Defensive rebound by D. Cousins
9:17.0,,,57-65,,New Orleans full timeout
8:58.0,,,57-65,,J. Holiday misses 3-pt shot from 23 ft
8:55.0,Defensive rebound by L. James,,57-65,,
8:48.0,K. Love makes 3-pt shot from 23 ft (assist by J. Smith),3,60-65,,
8:33.0,,,60-67,2,A. Davis makes 2-pt shot from 2 ft (assist by J. Holiday)
8:12.0,J. Smith makes 3-pt shot from 27 ft (assist by L. James),3,63-67,,
7:56.0,,,63-69,2,D. Cousins makes 2-pt shot from 3 ft
7:31.0,L. James makes 2-pt shot from 14 ft,2,65-69,,
7:17.0,,,65-72,3,D. Cousins makes 3-pt shot from 27 ft (assist by J. Holiday)
6:45.0,L. James makes 2-pt shot from 20 ft,2,67-72,,
6:26.0,,,67-72,,A. Davis misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by L. James,,67-72,,
6:15.0,J. Smith misses 3-pt shot from 22 ft,,67-72,,
6:08.0,Offensive rebound by K. Love,,67-72,,
6:06.0,K. Love makes 3-pt shot from 24 ft,3,70-72,,
5:59.0,,,70-72,,D. Cousins misses 3-pt shot from 27 ft
5:55.0,Defensive rebound by K. Love,,70-72,,
5:52.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,73-72,,
5:51.0,,,73-72,,New Orleans full timeout
5:40.0,,,73-74,2,D. Cousins makes 2-pt shot from 5 ft (assist by A. Davis)
5:40.0,,,73-74,,Shooting foul by T. Thompson (drawn by D. Cousins)
5:40.0,,,73-75,1,D. Cousins makes free throw 1 of 1
5:22.0,K. Love makes 2-pt shot from 5 ft,2,75-75,,
5:12.0,,,75-77,2,J. Holiday makes 2-pt shot from 3 ft
4:58.0,Turnover by J. Smith (lost ball; steal by D. Cousins),,75-77,,
4:43.0,,,75-77,,E. Moore misses 3-pt shot from 25 ft
4:37.0,,,75-77,,Offensive rebound by A. Davis
4:36.0,,,75-79,2,A. Davis makes 2-pt shot from 5 ft
4:27.0,Turnover by K. Love (bad pass; steal by D. Cousins),,75-79,,
4:27.0,Personal foul by J. Smith (drawn by A. Davis),,75-79,,
4:15.0,,,75-79,,D. Cousins misses 3-pt shot from 28 ft
4:13.0,Defensive rebound by Team,,75-79,,
4:13.0,,,75-79,,Loose ball foul by A. Davis (drawn by K. Love)
4:13.0,,,75-79,,J. Nelson enters the game for E. Moore
4:13.0,J. Crowder enters the game for K. Love,,75-79,,
4:01.0,I. Shumpert misses 3-pt shot from 27 ft,,75-79,,
3:55.0,,,75-79,,Defensive rebound by J. Nelson
3:35.0,,,75-81,2,D. Cousins makes 2-pt shot from 9 ft
3:10.0,J. Crowder misses 3-pt shot from 23 ft,,75-81,,
3:06.0,,,75-81,,Defensive rebound by D. Cousins
3:00.0,,,75-84,3,J. Holiday makes 3-pt shot from 27 ft (assist by D. Cousins)
3:00.0,Cleveland full timeout,,75-84,,
3:00.0,,,75-84,,C. Diallo enters the game for D. Cousins
3:00.0,C. Frye enters the game for I. Shumpert,,75-84,,
3:00.0,K. Korver enters the game for J. Smith,,75-84,,
3:00.0,D. Wade enters the game for T. Thompson,,75-84,,
2:48.0,L. James misses 3-pt shot from 26 ft,,75-84,,
2:42.0,,,75-84,,Defensive rebound by D. Cunningham
2:39.0,Personal foul by L. James (drawn by A. Davis),,75-84,,
2:30.0,,,75-84,,A. Davis misses 2-pt shot from 17 ft
2:23.0,Defensive rebound by C. Frye,,75-84,,
2:09.0,K. Korver makes 3-pt shot from 23 ft (assist by J. Crowder),3,78-84,,
1:49.0,,,78-84,,J. Holiday misses 2-pt shot from 11 ft
1:45.0,Jump ball: A. Davis vs. K. Korver (D. Cunningham gains possession),,,,Jump ball: A. Davis vs. K. Korver (D. Cunningham gains possession)
1:45.0,,,78-84,,Offensive rebound by A. Davis
1:38.0,,,78-84,,J. Holiday misses 2-pt shot from 6 ft
1:38.0,,,78-84,,Offensive rebound by D. Cunningham
1:38.0,,,78-84,,Shooting foul by C. Frye (drawn by D. Cunningham)
1:38.0,,,78-84,,D. Cunningham misses free throw 1 of 2
1:38.0,,,78-84,,Offensive rebound by Team
1:38.0,,,78-84,,D. Cousins enters the game for A. Davis
1:38.0,,,78-84,,D. Cunningham misses free throw 2 of 2
1:38.0,,,78-84,,Offensive rebound by D. Cousins
1:26.0,,,78-84,,Turnover by J. Holiday (bad pass; steal by D. Wade)
1:23.0,Turnover by D. Wade (bad pass; steal by D. Cunningham),,78-84,,
1:15.0,,,78-84,,J. Nelson misses 3-pt shot from 28 ft
1:14.0,,,78-84,,Offensive rebound by Team
1:05.0,,,78-84,,D. Cousins misses 3-pt shot from 28 ft
0:58.0,,,78-84,,Offensive rebound by D. Cunningham
0:57.0,,,78-86,2,D. Cousins makes 2-pt shot from 4 ft (assist by J. Nelson)
0:49.0,D. Wade makes 3-pt shot from 27 ft (assist by L. James),3,81-86,,
0:33.0,,,81-86,,Turnover by J. Nelson (bad pass; steal by K. Korver)
0:27.0,L. James makes 2-pt shot from 2 ft (assist by J. Crowder),2,83-86,,
0:06.0,,,83-88,2,D. Cousins makes 2-pt shot from 4 ft
0:06.0,,,83-88,,Shooting foul by D. Wade (drawn by D. Cousins)
0:06.0,,,83-88,,T. Allen enters the game for C. Diallo
0:06.0,,,83-89,1,D. Cousins makes free throw 1 of 1
0:00.0,J. Crowder misses 3-pt shot from 29 ft,,83-89,,
0:00.0,,,83-89,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,83-91,2,E. Moore makes 2-pt shot from 7 ft (assist by D. Cousins)
11:28.0,J. Green makes 2-pt shot from 2 ft (assist by D. Wade),2,85-91,,
11:14.0,,,85-91,,Shooting foul by D. Wade (drawn by A. Davis)
11:14.0,,,85-92,1,A. Davis makes free throw 1 of 2
11:14.0,,,85-93,1,A. Davis makes free throw 2 of 2
11:08.0,C. Frye misses 3-pt shot from 24 ft,,85-93,,
11:01.0,,,85-93,,Defensive rebound by A. Davis
10:54.0,K. Love enters the game for C. Frye,,85-93,,
10:44.0,,,85-95,2,A. Davis makes 2-pt shot from 11 ft (assist by J. Nelson)
10:28.0,Shooting foul by D. Cousins (drawn by K. Love),,85-95,,
10:28.0,K. Love makes free throw 1 of 2,1,86-95,,
10:28.0,K. Love makes free throw 2 of 2,1,87-95,,
10:12.0,,,87-98,3,A. Davis makes 3-pt shot from 23 ft (assist by I. Clark)
9:56.0,K. Korver misses 3-pt shot from 28 ft,,87-98,,
9:52.0,,,87-98,,Defensive rebound by D. Cousins
9:47.0,,,87-98,,D. Cousins misses 2-pt shot from 1 ft
9:46.0,,,87-98,,Offensive rebound by A. Davis
9:46.0,,,87-100,2,A. Davis makes 2-pt shot at rim
9:30.0,D. Wade makes 2-pt shot from 4 ft,2,89-100,,
9:20.0,,,89-103,3,A. Davis makes 3-pt shot from 28 ft (assist by E. Moore)
9:09.0,,,89-103,,Personal foul by A. Davis (drawn by D. Wade)
9:03.0,Shooting foul by J. Nelson (drawn by J. Crowder),,89-103,,
9:03.0,J. Crowder misses free throw 1 of 2,,89-103,,
9:03.0,Offensive rebound by Team,,89-103,,
9:03.0,J. Crowder misses free throw 2 of 2,,89-103,,
8:59.0,,,89-103,,Defensive rebound by D. Cousins
8:43.0,,,89-105,2,E. Moore makes 2-pt shot from 8 ft
8:39.0,Cleveland full timeout,,89-105,,
8:39.0,,,89-105,,J. Holiday enters the game for D. Cousins
8:24.0,D. Wade misses 2-pt shot from 7 ft,,89-105,,
8:20.0,,,89-105,,Defensive rebound by A. Davis
8:14.0,,,89-105,,Turnover by J. Nelson (bad pass; steal by J. Crowder)
8:12.0,Turnover by J. Crowder (bad pass),,89-105,,
7:53.0,,,89-105,,A. Davis misses 2-pt shot from 10 ft
7:49.0,Defensive rebound by J. Crowder,,89-105,,
7:38.0,J. Green misses 2-pt shot from 9 ft,,89-105,,
7:32.0,,,89-105,,Defensive rebound by A. Davis
7:25.0,,,89-108,3,J. Holiday makes 3-pt shot from 25 ft (assist by J. Nelson)
7:06.0,J. Crowder makes 2-pt shot from 2 ft (assist by J. Green),2,91-108,,
6:56.0,Personal foul by K. Korver (drawn by A. Davis),,91-108,,
6:56.0,C. Frye enters the game for K. Love,,91-108,,
6:45.0,,,91-108,,A. Davis misses 3-pt shot from 27 ft
6:40.0,Defensive rebound by J. Green,,91-108,,
6:37.0,Turnover by J. Green (lost ball; steal by J. Nelson),,91-108,,
6:32.0,,,91-110,2,E. Moore makes 2-pt shot from 3 ft (assist by J. Nelson)
6:20.0,Turnover by D. Wade (bad pass; steal by J. Holiday),,91-110,,
6:14.0,,,91-110,,Turnover by I. Clark (lost ball; steal by J. Crowder)
6:04.0,D. Wade misses 3-pt shot from 24 ft,,91-110,,
5:54.0,,,91-110,,Defensive rebound by J. Nelson
5:45.0,,,91-110,,Turnover by J. Nelson (bad pass; steal by C. Frye)
5:36.0,J. Green makes 2-pt shot from 4 ft,2,93-110,,
5:36.0,Shooting foul by A. Davis (drawn by J. Green),,93-110,,
5:36.0,,,93-110,,D. Cousins enters the game for J. Nelson
5:36.0,,,93-110,,D. Cunningham enters the game for A. Davis
5:36.0,J. Calderon enters the game for D. Wade,,93-110,,
5:36.0,C. Osman enters the game for J. Crowder,,93-110,,
5:36.0,J. Green makes free throw 1 of 1,1,94-110,,
5:32.0,Personal foul by C. Frye (drawn by D. Cousins),,94-110,,
5:32.0,A. Zizic enters the game for K. Korver,,94-110,,
5:25.0,,,94-112,2,J. Holiday makes 2-pt shot from 6 ft
5:12.0,A. Zizic misses 2-pt shot from 4 ft,,94-112,,
5:06.0,,,94-112,,Defensive rebound by D. Cousins
4:54.0,,,94-112,,J. Holiday misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by J. Green,,94-112,,
4:44.0,Turnover by J. Green (turnover),,94-112,,
4:32.0,,,94-114,2,J. Holiday makes 2-pt shot from 7 ft (assist by D. Cousins)
4:14.0,J. Green misses 3-pt shot from 27 ft,,94-114,,
4:08.0,,,94-114,,Defensive rebound by D. Cousins
4:04.0,,,94-116,2,D. Cousins makes 2-pt shot from 7 ft
4:04.0,,,94-116,,Shooting foul by A. Zizic (drawn by D. Cousins)
4:04.0,,,94-116,,D. Miller enters the game for D. Cunningham
4:04.0,,,94-117,1,D. Cousins makes free throw 1 of 1
4:04.0,I. Shumpert enters the game for J. Green,,94-117,,
3:56.0,,,94-117,,J. Smith enters the game for D. Cousins
3:47.0,J. Calderon misses 2-pt shot from 15 ft,,94-117,,
3:43.0,,,94-117,,Defensive rebound by J. Holiday
3:40.0,,,94-117,,D. Miller misses 3-pt shot from 22 ft
3:33.0,Defensive rebound by J. Calderon,,94-117,,
3:27.0,C. Frye misses 2-pt shot from 22 ft,,94-117,,
3:26.0,Offensive rebound by Team,,94-117,,
3:26.0,,,94-117,,T. Allen enters the game for J. Holiday
3:24.0,Turnover by I. Shumpert (bad pass; steal by D. Miller),,94-117,,
3:13.0,,,94-117,,I. Clark misses 3-pt shot from 29 ft
3:10.0,Defensive rebound by A. Zizic,,94-117,,
2:56.0,Shooting foul by E. Moore (drawn by C. Frye),,94-117,,
2:56.0,,,94-117,,J. Jones enters the game for I. Clark
2:56.0,,,94-117,,C. Cooke enters the game for E. Moore
2:56.0,C. Frye makes free throw 1 of 2,1,95-117,,
2:56.0,C. Frye makes free throw 2 of 2,1,96-117,,
2:47.0,,,96-117,,C. Cooke misses 3-pt shot from 26 ft
2:43.0,Defensive rebound by C. Osman,,96-117,,
2:36.0,C. Osman makes 2-pt shot from 8 ft,2,98-117,,
2:18.0,,,98-117,,C. Cooke misses 3-pt shot from 22 ft
2:16.0,,,98-117,,Offensive rebound by Team
2:08.0,,,98-117,,D. Miller misses 3-pt shot from 26 ft
2:08.0,,,98-117,,Offensive rebound by Team
