time,Houston,pts.away,score,pts.home,Utah
4:38.0,Offensive foul by P. Tucker (drawn by R. O'Neale),,29-42,,
4:38.0,Turnover by P. Tucker (offensive foul),,29-42,,
4:38.0,N. Hilario enters the game for G. Green,,29-42,,
4:38.0,C. Paul enters the game for T. Black,,29-42,,
4:30.0,,,29-44,2,D. Mitchell makes 2-pt shot at rim
4:07.0,T. Ariza misses 3-pt shot from 23 ft,,29-44,,
4:06.0,,,29-44,,Defensive rebound by Team
3:47.0,,,29-44,,Turnover by R. O'Neale (bad pass)
3:46.0,L. Mbah a Moute enters the game for T. Ariza,,29-44,,
3:46.0,,,29-44,,J. Crowder enters the game for D. Favors
3:40.0,J. Harden makes 2-pt shot from 1 ft,2,31-44,,
3:40.0,Shooting foul by R. O'Neale (drawn by J. Harden),,31-44,,
3:40.0,J. Harden makes free throw 1 of 1,1,32-44,,
3:24.0,,,32-44,,J. Crowder misses 2-pt shot from 14 ft
3:22.0,Defensive rebound by J. Harden,,32-44,,
3:03.0,Turnover by J. Harden (out of bounds lost ball),,32-44,,
2:52.0,,,32-44,,Turnover by D. Mitchell (lost ball; steal by N. Hilario)
2:50.0,Shooting foul by D. Mitchell (drawn by J. Harden),,32-44,,
2:50.0,,,32-44,,Utah full timeout
2:50.0,J. Harden misses free throw 1 of 2,,32-44,,
2:50.0,Offensive rebound by Team,,32-44,,
2:50.0,J. Harden makes free throw 2 of 2,1,33-44,,
2:35.0,,,33-44,,Turnover by J. Ingles (bad pass; steal by P. Tucker)
2:23.0,P. Tucker misses 3-pt shot from 25 ft,,33-44,,
2:20.0,,,33-44,,Defensive rebound by R. Gobert
2:06.0,,,33-44,,J. Ingles misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by J. Harden,,33-44,,
1:58.0,,,33-44,,Personal foul by D. Mitchell (drawn by C. Paul)
1:58.0,C. Paul makes free throw 1 of 2,1,34-44,,
1:58.0,,,34-44,,A. Burks enters the game for D. Mitchell
1:58.0,J. Johnson enters the game for P. Tucker,,34-44,,
1:58.0,C. Paul makes free throw 2 of 2,1,35-44,,
1:40.0,,,35-44,,J. Crowder misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by L. Mbah a Moute,,35-44,,
1:27.0,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden),2,37-44,,
1:08.0,,,37-44,,Turnover by J. Ingles (bad pass; steal by C. Paul)
1:03.0,N. Hilario misses 2-pt shot from 1 ft,,37-44,,
1:01.0,,,37-44,,Defensive rebound by R. O'Neale
0:57.0,,,37-44,,Turnover by A. Burks (bad pass)
0:43.0,Turnover by J. Harden (out of bounds lost ball),,37-44,,
0:32.0,,,37-44,,Turnover by J. Crowder (bad pass; steal by N. Hilario)
0:29.0,,,37-44,,Personal foul by J. Crowder (drawn by C. Paul)
0:29.0,C. Paul makes free throw 1 of 2,1,38-44,,
0:29.0,C. Paul makes free throw 2 of 2,1,39-44,,
0:14.0,Personal foul by J. Johnson (drawn by J. Crowder),,39-44,,
0:14.0,,,39-44,,D. Mitchell enters the game for A. Burks
0:04.0,,,39-44,,D. Mitchell misses 3-pt shot from 25 ft
0:04.0,,,39-44,,Offensive rebound by J. Crowder
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,39-47,3,R. Rubio makes 3-pt shot from 25 ft (assist by J. Ingles)
11:19.0,T. Black misses 2-pt shot from 5 ft,,39-47,,
11:17.0,Offensive rebound by T. Black,,39-47,,
11:07.0,C. Paul misses 3-pt shot from 25 ft,,39-47,,
11:04.0,Offensive rebound by C. Paul,,39-47,,
11:02.0,C. Paul misses 2-pt shot from 5 ft (block by R. Gobert),,39-47,,
11:00.0,Offensive rebound by Team,,39-47,,
10:51.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,42-47,,
10:28.0,,,42-49,2,R. Rubio makes 2-pt shot from 3 ft
10:16.0,P. Tucker misses 3-pt shot from 25 ft,,42-49,,
10:12.0,Offensive rebound by T. Black,,42-49,,
10:05.0,C. Paul makes 2-pt shot from 11 ft,2,44-49,,
9:50.0,Personal foul by T. Black (drawn by R. Gobert),,44-49,,
9:36.0,,,44-49,,D. Mitchell misses 2-pt shot from 4 ft
9:34.0,Defensive rebound by J. Harden,,44-49,,
9:27.0,J. Harden makes 2-pt shot from 1 ft,2,46-49,,
9:08.0,,,46-49,,R. Rubio misses 2-pt shot from 5 ft
9:06.0,,,46-49,,Offensive rebound by R. Gobert
9:04.0,,,46-49,,J. Ingles misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by T. Ariza,,46-49,,
8:56.0,,,46-49,,Personal foul by J. Ingles (drawn by J. Harden)
8:41.0,C. Paul makes 2-pt shot from 9 ft,2,48-49,,
8:27.0,,,48-49,,Shooting foul by T. Black (drawn by J. Ingles)
8:27.0,,,48-49,,J. Ingles misses free throw 1 of 2
8:27.0,,,48-49,,Offensive rebound by Team
8:27.0,,,48-50,1,J. Ingles makes free throw 2 of 2
8:14.0,Turnover by T. Black (traveling),,48-50,,
7:59.0,,,48-52,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
7:59.0,,,48-52,,Shooting foul by T. Ariza (drawn by R. Gobert)
7:59.0,,,48-53,1,R. Gobert makes free throw 1 of 1
7:46.0,J. Harden makes 3-pt shot from 27 ft,3,51-53,,
7:21.0,,,51-53,,Turnover by R. Rubio (bad pass; steal by T. Black)
7:19.0,,,51-53,,Personal foul by R. Rubio (drawn by C. Paul)
7:10.0,J. Harden misses 3-pt shot from 26 ft,,51-53,,
7:08.0,,,51-53,,Defensive rebound by Team
6:56.0,,,51-55,2,R. Rubio makes 2-pt shot from 2 ft
6:39.0,T. Black misses 2-pt shot from 3 ft,,51-55,,
6:37.0,,,51-55,,Defensive rebound by D. Favors
6:22.0,,,51-57,2,D. Favors makes 2-pt shot from 3 ft (assist by R. Rubio)
6:22.0,Houston full timeout,,51-57,,
6:22.0,,,51-57,,J. Crowder enters the game for R. Rubio
6:22.0,L. Mbah a Moute enters the game for C. Paul,,51-57,,
6:22.0,N. Hilario enters the game for P. Tucker,,51-57,,
6:22.0,J. Johnson enters the game for T. Black,,51-57,,
6:08.0,J. Harden makes 2-pt shot from 2 ft (assist by N. Hilario),2,53-57,,
5:54.0,,,53-57,,J. Crowder misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by J. Harden,,53-57,,
5:47.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Johnson),3,56-57,,
5:28.0,,,56-57,,D. Mitchell misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by J. Johnson,,56-57,,
5:19.0,T. Ariza makes 3-pt shot from 25 ft,3,59-57,,
5:17.0,,,59-57,,Utah full timeout
5:17.0,,,59-57,,J. Jerebko enters the game for D. Favors
5:11.0,,,59-57,,Shooting foul by N. Hilario (drawn by R. Gobert)
5:11.0,,,59-58,1,R. Gobert makes free throw 1 of 2
5:11.0,,,59-59,1,R. Gobert makes free throw 2 of 2
4:53.0,J. Johnson misses 3-pt shot from 23 ft,,59-59,,
4:50.0,,,59-59,,Defensive rebound by J. Ingles
4:47.0,,,59-59,,Turnover by J. Ingles (bad pass; steal by J. Harden)
4:43.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden),2,61-59,,
4:28.0,,,61-59,,R. Gobert misses 2-pt shot from 6 ft
4:26.0,Defensive rebound by N. Hilario,,61-59,,
4:15.0,N. Hilario misses 2-pt shot from 5 ft (block by J. Crowder),,61-59,,
4:12.0,,,61-59,,Defensive rebound by J. Ingles
4:09.0,,,61-61,2,D. Mitchell makes 2-pt shot from 2 ft
3:50.0,T. Ariza misses 3-pt shot from 25 ft,,61-61,,
3:48.0,Offensive rebound by N. Hilario,,61-61,,
3:43.0,J. Johnson misses 2-pt shot from 13 ft,,61-61,,
3:40.0,,,61-61,,Defensive rebound by J. Jerebko
3:23.0,,,61-61,,Turnover by D. Mitchell (bad pass; steal by J. Harden)
3:19.0,Shooting foul by R. Gobert (drawn by J. Harden),,61-61,,
3:19.0,J. Harden makes free throw 1 of 2,1,62-61,,
3:19.0,,,62-61,,D. Favors enters the game for J. Ingles
3:19.0,,,62-61,,R. O'Neale enters the game for R. Gobert
3:19.0,G. Green enters the game for T. Ariza,,62-61,,
3:19.0,J. Harden makes free throw 2 of 2,1,63-61,,
3:06.0,,,63-61,,R. O'Neale misses 3-pt shot from 24 ft
3:02.0,,,63-61,,Offensive rebound by D. Favors
2:57.0,,,63-61,,J. Jerebko misses 3-pt shot from 25 ft
2:54.0,,,63-61,,Offensive rebound by D. Mitchell
2:52.0,,,63-61,,Turnover by D. Mitchell (bad pass; steal by G. Green)
2:34.0,J. Harden makes 2-pt shot from 2 ft,2,65-61,,
2:09.0,,,65-61,,J. Crowder misses 3-pt shot from 32 ft
2:07.0,Defensive rebound by J. Harden,,65-61,,
1:53.0,J. Harden misses 2-pt shot from 4 ft,,65-61,,
1:50.0,,,65-61,,Defensive rebound by J. Jerebko
1:44.0,,,65-61,,J. Crowder misses 3-pt shot from 22 ft
1:40.0,Defensive rebound by J. Harden,,65-61,,
1:33.0,Houston full timeout,,65-61,,
1:33.0,,,65-61,,R. Rubio enters the game for J. Jerebko
1:33.0,,,65-61,,A. Burks enters the game for D. Mitchell
1:33.0,C. Paul enters the game for J. Harden,,65-61,,
1:21.0,C. Paul misses 2-pt shot from 19 ft,,65-61,,
1:19.0,,,65-61,,Defensive rebound by R. Rubio
1:19.0,Personal foul by C. Paul (drawn by R. Rubio),,65-61,,
1:19.0,,,65-62,1,R. Rubio makes free throw 1 of 2
1:19.0,,,65-63,1,R. Rubio makes free throw 2 of 2
1:11.0,G. Green misses 3-pt shot from 26 ft,,65-63,,
1:07.0,,,65-63,,Defensive rebound by A. Burks
0:55.0,,,65-63,,Shooting foul by N. Hilario (drawn by J. Crowder)
0:55.0,,,65-63,,J. Crowder misses free throw 1 of 2
0:55.0,,,65-63,,Offensive rebound by Team
0:55.0,,,65-63,,J. Crowder misses free throw 2 of 2
0:54.0,Defensive rebound by J. Johnson,,65-63,,
0:34.0,J. Johnson makes 2-pt shot from 6 ft,2,67-63,,
0:20.0,,,67-63,,R. Rubio misses 2-pt shot from 3 ft
0:18.0,Defensive rebound by N. Hilario,,67-63,,
0:05.0,N. Hilario makes 2-pt shot from 2 ft (assist by C. Paul),2,69-63,,
0:05.0,Shooting foul by R. O'Neale (drawn by N. Hilario),,69-63,,
0:05.0,N. Hilario makes free throw 1 of 1,1,70-63,,
0:00.0,,,70-63,,A. Burks misses 2-pt shot from 21 ft (block by L. Mbah a Moute)
0:00.0,,,70-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by N. Hilario (bad pass),,70-63,,
11:40.0,Personal foul by N. Hilario (drawn by D. Favors),,70-63,,
11:40.0,P. Tucker enters the game for N. Hilario,,70-63,,
11:31.0,,,70-63,,Turnover by R. O'Neale (out of bounds lost ball)
11:13.0,J. Johnson makes 2-pt shot from 10 ft,2,72-63,,
11:01.0,,,72-65,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Rubio)
10:35.0,Turnover by G. Green (bad pass; steal by R. Rubio),,72-65,,
10:22.0,,,72-65,,Turnover by R. O'Neale (bad pass; steal by L. Mbah a Moute)
10:10.0,G. Green makes 3-pt shot from 25 ft,3,75-65,,
9:50.0,,,75-65,,A. Burks misses 2-pt shot from 6 ft
9:48.0,Defensive rebound by P. Tucker,,75-65,,
9:35.0,P. Tucker misses 3-pt shot from 25 ft,,75-65,,
9:33.0,,,75-65,,Defensive rebound by J. Jerebko
9:26.0,,,75-65,,J. Jerebko misses 2-pt shot from 4 ft
9:23.0,Defensive rebound by P. Tucker,,75-65,,
9:18.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Johnson),2,77-65,,
9:18.0,,,77-65,,Utah full timeout
9:18.0,,,77-65,,D. Mitchell enters the game for A. Burks
9:18.0,,,77-65,,R. Gobert enters the game for D. Favors
9:13.0,,,77-65,,Shooting foul by L. Mbah a Moute (drawn by R. Rubio)
9:13.0,,,77-66,1,R. Rubio makes free throw 1 of 2
9:13.0,,,77-67,1,R. Rubio makes free throw 2 of 2
8:54.0,Turnover by J. Johnson (bad pass; steal by R. Gobert),,77-67,,
8:54.0,Personal foul by G. Green (drawn by R. O'Neale),,77-67,,
8:54.0,,,77-67,,J. Ingles enters the game for R. Rubio
8:54.0,,,77-67,,J. Crowder enters the game for R. O'Neale
8:54.0,T. Ariza enters the game for P. Tucker,,77-67,,
8:40.0,,,77-69,2,D. Mitchell makes 2-pt shot from 8 ft
8:22.0,T. Ariza misses 2-pt shot from 5 ft,,77-69,,
8:20.0,Offensive rebound by Team,,77-69,,
8:15.0,,,77-69,,Loose ball foul by J. Jerebko (drawn by L. Mbah a Moute)
8:08.0,C. Paul makes 2-pt shot from 10 ft,2,79-69,,
7:55.0,,,79-69,,D. Mitchell misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by G. Green,,79-69,,
7:48.0,C. Paul misses 2-pt shot from 15 ft,,79-69,,
7:44.0,,,79-69,,Defensive rebound by J. Crowder
7:35.0,,,79-71,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Crowder)
7:22.0,T. Ariza misses 3-pt shot from 25 ft,,79-71,,
7:18.0,,,79-71,,Defensive rebound by J. Crowder
7:06.0,Personal foul by C. Paul (drawn by D. Mitchell),,79-71,,
7:06.0,,,79-71,,R. O'Neale enters the game for J. Jerebko
7:06.0,J. Harden enters the game for G. Green,,79-71,,
7:00.0,,,79-74,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Mitchell)
6:41.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul),2,81-74,,
6:21.0,,,81-74,,J. Crowder misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by C. Paul,,81-74,,
6:08.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by C. Paul),3,84-74,,
6:06.0,,,84-74,,Utah full timeout
6:06.0,,,84-74,,R. Rubio enters the game for R. O'Neale
6:06.0,N. Hilario enters the game for C. Paul,,84-74,,
6:06.0,P. Tucker enters the game for L. Mbah a Moute,,84-74,,
5:57.0,Personal foul by N. Hilario (drawn by J. Ingles),,84-74,,
5:57.0,,,84-75,1,J. Ingles makes free throw 1 of 2
5:57.0,,,84-76,1,J. Ingles makes free throw 2 of 2
5:34.0,N. Hilario misses 2-pt shot from 3 ft,,84-76,,
5:33.0,Offensive rebound by N. Hilario,,84-76,,
5:31.0,Turnover by N. Hilario (bad pass; steal by D. Mitchell),,84-76,,
5:29.0,,,84-76,,Turnover by D. Mitchell (bad pass; steal by N. Hilario)
5:25.0,T. Ariza misses 2-pt shot from 4 ft,,84-76,,
5:23.0,Offensive rebound by T. Ariza,,84-76,,
5:23.0,T. Ariza misses 2-pt shot from 5 ft,,84-76,,
5:23.0,,,84-76,,Defensive rebound by J. Ingles
5:23.0,Personal foul by T. Ariza (drawn by R. Gobert),,84-76,,
5:23.0,,,84-76,,R. Gobert misses free throw 1 of 2
5:23.0,,,84-76,,Offensive rebound by Team
5:23.0,,,84-76,,R. Gobert misses free throw 2 of 2
5:20.0,Defensive rebound by J. Harden,,84-76,,
5:02.0,Turnover by J. Harden (bad pass),,84-76,,
4:50.0,,,84-76,,R. Rubio misses 2-pt shot from 2 ft
4:48.0,Defensive rebound by J. Johnson,,84-76,,
4:34.0,T. Ariza misses 2-pt shot from 5 ft (block by R. Gobert),,84-76,,
4:31.0,,,84-76,,Defensive rebound by R. Gobert
4:30.0,,,84-76,,Turnover by R. Gobert (bad pass; steal by J. Harden)
4:27.0,T. Ariza misses 3-pt shot from 26 ft,,84-76,,
4:24.0,,,84-76,,Defensive rebound by J. Crowder
4:19.0,,,84-76,,R. Rubio misses 2-pt shot from 18 ft
4:18.0,,,84-76,,J. Crowder misses 2-pt shot from 2 ft
4:18.0,,,84-76,,Offensive rebound by Team
4:18.0,,,84-76,,Offensive rebound by J. Crowder
4:15.0,,,84-76,,Shooting foul by P. Tucker (drawn by J. Crowder)
4:15.0,,,84-77,1,J. Crowder makes free throw 1 of 2
4:15.0,C. Paul enters the game for N. Hilario,,84-77,,
4:15.0,,,84-78,1,J. Crowder makes free throw 2 of 2
3:52.0,C. Paul misses 2-pt shot from 12 ft,,84-78,,
3:50.0,,,84-78,,Defensive rebound by R. Gobert
3:50.0,L. Mbah a Moute enters the game for P. Tucker,,84-78,,
3:41.0,,,84-78,,D. Mitchell misses 3-pt shot from 26 ft
3:39.0,Defensive rebound by C. Paul,,84-78,,
3:22.0,L. Mbah a Moute makes 3-pt shot from 26 ft (assist by J. Harden),3,87-78,,
2:55.0,,,87-80,2,D. Mitchell makes 2-pt shot from 22 ft
