time,LA Lakers,pts.away,score,pts.home,Boston
6:31.0,J. Randle makes 2-pt shot from 4 ft,2,30-48,,
6:12.0,,,30-50,2,K. Irving makes 2-pt shot from 1 ft
6:05.0,L. Ball makes 2-pt shot from 3 ft,2,32-50,,
5:49.0,,,32-50,,K. Irving misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by J. Clarkson,,32-50,,
5:43.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Clarkson),3,35-50,,
5:43.0,Shooting foul by K. Irving (drawn by K. Caldwell-Pope),,35-50,,
5:43.0,,,35-50,,Boston full timeout
5:43.0,,,35-50,,J. Brown enters the game for J. Tatum
5:43.0,,,35-50,,D. Theis enters the game for M. Morris
5:43.0,B. Ingram enters the game for J. Clarkson,,35-50,,
5:43.0,K. Caldwell-Pope makes free throw 1 of 1,1,36-50,,
5:22.0,,,36-52,2,T. Rozier makes 2-pt shot from 3 ft
5:07.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by L. Ball),3,39-52,,
4:50.0,,,39-52,,Turnover by D. Theis (lost ball; steal by J. Randle)
4:45.0,J. Randle makes 2-pt shot from 1 ft,2,41-52,,
4:36.0,,,41-52,,Turnover by S. Ojeleye (traveling)
4:20.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,41-52,,
4:18.0,,,41-52,,Defensive rebound by J. Brown
4:05.0,,,41-52,,Shooting foul by K. Caldwell-Pope (drawn by J. Brown)
4:05.0,,,41-53,1,J. Brown makes free throw 1 of 2
4:05.0,,,41-53,,M. Smart enters the game for S. Ojeleye
4:05.0,,,41-53,,J. Brown misses free throw 2 of 2
4:02.0,Defensive rebound by K. Caldwell-Pope,,41-53,,
3:55.0,L. Ball misses 2-pt shot from 3 ft (block by M. Smart),,41-53,,
3:52.0,,,41-53,,Defensive rebound by K. Irving
3:49.0,,,41-53,,T. Rozier misses 3-pt shot from 23 ft
3:45.0,Defensive rebound by K. Kuzma,,41-53,,
3:44.0,Offensive charge foul by K. Kuzma (drawn by K. Irving),,41-53,,
3:44.0,Turnover by K. Kuzma (offensive foul),,41-53,,
3:44.0,,,41-53,,A. Baynes enters the game for D. Theis
3:25.0,Personal foul by B. Ingram (drawn by A. Baynes),,41-53,,
3:25.0,,,41-53,,A. Baynes misses free throw 1 of 2
3:25.0,,,41-53,,Offensive rebound by Team
3:25.0,,,41-54,1,A. Baynes makes free throw 2 of 2
3:05.0,B. Ingram misses 2-pt shot from 3 ft,,41-54,,
3:02.0,,,41-54,,Defensive rebound by M. Smart
2:57.0,,,41-54,,J. Brown misses 2-pt shot from 6 ft (block by L. Ball)
2:53.0,Defensive rebound by J. Randle,,41-54,,
2:53.0,Shooting foul by M. Smart (drawn by J. Randle),,41-54,,
2:53.0,LA Lakers full timeout,,41-54,,
2:53.0,J. Randle makes free throw 1 of 2,1,42-54,,
2:53.0,J. Randle makes free throw 2 of 2,1,43-54,,
2:42.0,,,43-54,,K. Irving misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by J. Randle,,43-54,,
2:19.0,B. Ingram makes 2-pt shot from 8 ft,2,45-54,,
2:03.0,,,45-56,2,A. Baynes makes 2-pt shot at rim (assist by M. Smart)
1:48.0,K. Kuzma makes 2-pt shot from 3 ft (assist by L. Ball),2,47-56,,
1:30.0,,,47-56,,J. Brown misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by Team,,47-56,,
1:29.0,,,47-56,,Loose ball foul by A. Baynes (drawn by B. Ingram)
1:29.0,B. Ingram misses free throw 1 of 2,,47-56,,
1:29.0,Offensive rebound by Team,,47-56,,
1:29.0,,,47-56,,M. Morris enters the game for T. Rozier
