time,Minnesota,pts.away,score,pts.home,Chicago
3:38.0,J. Teague misses 2-pt shot from 2 ft (block by R. Lopez),,20-20,,
3:35.0,Offensive rebound by T. Gibson,,20-20,,
3:34.0,T. Gibson makes 2-pt shot at rim,2,22-20,,
3:19.0,,,22-20,,Turnover by Z. LaVine (bad pass; steal by T. Gibson)
3:09.0,G. Dieng misses 2-pt shot from 20 ft,,22-20,,
3:06.0,,,22-20,,Defensive rebound by Z. LaVine
3:03.0,,,22-20,,Z. LaVine misses 2-pt shot from 2 ft (block by G. Dieng)
3:01.0,,,22-20,,Offensive rebound by L. Markkanen
3:00.0,,,22-22,2,L. Markkanen makes 2-pt shot from 3 ft
2:46.0,J. Teague makes 2-pt shot from 3 ft,2,24-22,,
2:35.0,,,24-22,,J. Grant misses 3-pt shot from 24 ft
2:35.0,Defensive rebound by G. Dieng,,24-22,,
2:24.0,Turnover by J. Teague (bad pass),,24-22,,
2:24.0,Minnesota full timeout,,24-22,,
2:24.0,,,24-22,,D. Valentine enters the game for J. Grant
2:24.0,,,24-22,,B. Portis enters the game for Z. LaVine
2:24.0,,,24-22,,R. Arcidiacono enters the game for L. Markkanen
2:24.0,T. Jones enters the game for J. Teague,,24-22,,
2:24.0,J. Crawford enters the game for J. Butler,,24-22,,
2:14.0,,,24-22,,J. Holiday misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by G. Dieng,,24-22,,
2:01.0,A. Wiggins misses 3-pt shot from 26 ft,,24-22,,
2:01.0,,,24-22,,Defensive rebound by R. Arcidiacono
1:54.0,,,24-22,,D. Valentine misses 2-pt shot from 21 ft
1:54.0,Defensive rebound by G. Dieng,,24-22,,
1:43.0,,,24-22,,Personal foul by D. Valentine (drawn by J. Crawford)
1:32.0,T. Jones makes 3-pt shot from 25 ft (assist by J. Crawford),3,27-22,,
1:11.0,,,27-24,2,R. Lopez makes 2-pt shot from 16 ft (assist by J. Holiday)
0:58.0,Turnover by A. Wiggins (traveling),,27-24,,
0:48.0,,,27-27,3,R. Arcidiacono makes 3-pt shot from 23 ft (assist by J. Holiday)
0:39.0,G. Dieng misses 2-pt shot from 20 ft,,27-27,,
0:36.0,,,27-27,,Defensive rebound by D. Valentine
0:31.0,,,27-29,2,R. Lopez makes 2-pt shot from 3 ft (assist by D. Valentine)
0:31.0,,,27-29,,Shooting foul by G. Dieng (drawn by R. Lopez)
0:31.0,,,27-30,1,R. Lopez makes free throw 1 of 1
0:16.0,J. Crawford misses 3-pt shot from 25 ft,,27-30,,
0:11.0,,,27-30,,Defensive rebound by B. Portis
0:00.0,,,27-30,,R. Lopez misses 3-pt shot from 25 ft
0:00.0,,,27-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by A. Wiggins (bad pass; steal by B. Portis),,27-30,,
11:37.0,,,27-32,2,B. Portis makes 2-pt shot from 2 ft (assist by D. Nwaba)
11:21.0,T. Jones misses 3-pt shot from 26 ft,,27-32,,
11:19.0,Offensive rebound by G. Dieng,,27-32,,
11:11.0,J. Crawford misses 2-pt shot from 12 ft (block by D. Nwaba),,27-32,,
11:08.0,,,27-32,,Defensive rebound by D. Nwaba
11:00.0,,,27-32,,P. Zipser misses 3-pt shot from 22 ft
11:00.0,Defensive rebound by A. Wiggins,,27-32,,
10:50.0,A. Wiggins makes 2-pt shot from 12 ft,2,29-32,,
10:43.0,,,29-32,,Turnover by R. Arcidiacono (bad pass; steal by J. Crawford)
10:35.0,N. Bjelica makes 3-pt shot from 23 ft (assist by T. Jones),3,32-32,,
10:14.0,,,32-32,,Turnover by B. Portis (lost ball; steal by J. Crawford)
10:11.0,Offensive charge foul by T. Jones (drawn by R. Arcidiacono),,32-32,,
10:11.0,Turnover by T. Jones (offensive foul),,32-32,,
10:11.0,K. Towns enters the game for G. Dieng,,32-32,,
10:11.0,J. Butler enters the game for A. Wiggins,,32-32,,
10:01.0,,,32-35,3,P. Zipser makes 3-pt shot from 24 ft (assist by D. Valentine)
9:44.0,J. Crawford makes 2-pt shot from 21 ft,2,34-35,,
9:30.0,Violation by K. Towns (kicked ball),,34-35,,
9:19.0,,,34-35,,Turnover by D. Valentine (bad pass; steal by J. Butler)
9:17.0,Turnover by T. Jones (bad pass; steal by R. Arcidiacono),,34-35,,
9:09.0,,,34-37,2,D. Valentine makes 2-pt shot from 13 ft
8:57.0,J. Butler misses 2-pt shot from 14 ft,,34-37,,
8:57.0,Offensive rebound by N. Bjelica,,34-37,,
8:55.0,Shooting foul by P. Zipser (drawn by N. Bjelica),,34-37,,
8:55.0,N. Bjelica makes free throw 1 of 2,1,35-37,,
8:55.0,N. Bjelica makes free throw 2 of 2,1,36-37,,
8:44.0,,,36-37,,D. Valentine misses 2-pt shot from 13 ft
8:40.0,Defensive rebound by K. Towns,,36-37,,
8:31.0,K. Towns misses 2-pt shot from 1 ft,,36-37,,
8:23.0,Offensive rebound by N. Bjelica,,36-37,,
8:23.0,N. Bjelica makes 2-pt shot at rim,2,38-37,,
8:21.0,,,38-37,,P. Zipser misses 2-pt shot from 4 ft
8:17.0,Defensive rebound by J. Butler,,38-37,,
8:10.0,J. Crawford misses 2-pt shot from 19 ft,,38-37,,
8:09.0,Offensive rebound by Team,,38-37,,
8:09.0,,,38-37,,Loose ball foul by P. Zipser (drawn by N. Bjelica)
8:01.0,J. Crawford makes 3-pt shot from 24 ft (assist by J. Butler),3,41-37,,
8:00.0,,,41-37,,Chicago full timeout
8:00.0,,,41-37,,L. Markkanen enters the game for P. Zipser
7:45.0,,,41-37,,D. Nwaba misses 2-pt shot from 9 ft
7:42.0,Defensive rebound by K. Towns,,41-37,,
7:27.0,J. Butler makes 2-pt shot from 16 ft,2,43-37,,
7:15.0,Personal foul by N. Bjelica (drawn by L. Markkanen),,43-37,,
7:15.0,,,43-37,,J. Grant enters the game for R. Arcidiacono
7:03.0,,,43-40,3,B. Portis makes 3-pt shot from 25 ft (assist by D. Nwaba)
6:42.0,J. Crawford misses 3-pt shot from 25 ft,,43-40,,
6:40.0,Offensive rebound by Team,,43-40,,
6:40.0,,,43-40,,Z. LaVine enters the game for D. Nwaba
6:30.0,J. Butler makes 2-pt shot from 4 ft,2,45-40,,
6:15.0,,,45-40,,L. Markkanen misses 2-pt shot from 5 ft
6:12.0,Defensive rebound by N. Bjelica,,45-40,,
6:03.0,N. Bjelica misses 3-pt shot from 27 ft,,45-40,,
6:00.0,,,45-40,,Defensive rebound by J. Grant
5:54.0,,,45-40,,J. Grant misses 2-pt shot from 12 ft
5:51.0,Defensive rebound by K. Towns,,45-40,,
5:41.0,Turnover by J. Butler (turnover),,45-40,,
5:41.0,,,45-40,,J. Holiday enters the game for D. Valentine
5:27.0,,,45-40,,B. Portis misses 2-pt shot from 18 ft
5:24.0,Defensive rebound by T. Jones,,45-40,,
5:19.0,T. Jones makes 2-pt shot from 2 ft,2,47-40,,
5:09.0,,,47-40,,J. Holiday misses 2-pt shot from 22 ft
5:09.0,Defensive rebound by Team,,47-40,,
5:08.0,J. Teague enters the game for T. Jones,,47-40,,
4:52.0,J. Butler makes 3-pt shot from 23 ft (assist by J. Crawford),3,50-40,,
4:51.0,,,50-40,,Chicago full timeout
4:51.0,,,50-40,,R. Lopez enters the game for B. Portis
4:51.0,A. Wiggins enters the game for J. Crawford,,50-40,,
4:37.0,,,50-40,,J. Holiday misses 3-pt shot from 23 ft
4:35.0,,,50-40,,Offensive rebound by Team
4:27.0,,,50-40,,Shooting foul by J. Teague (drawn by J. Grant)
4:27.0,,,50-41,1,J. Grant makes free throw 1 of 2
4:27.0,,,50-42,1,J. Grant makes free throw 2 of 2
4:17.0,,,50-42,,Def 3 sec tech foul by Z. LaVine
4:17.0,J. Butler misses technical free throw,,50-42,,
4:17.0,Offensive rebound by Team,,50-42,,
4:05.0,J. Teague misses 2-pt shot from 11 ft,,50-42,,
4:02.0,,,50-42,,Defensive rebound by L. Markkanen
3:56.0,,,50-44,2,Z. LaVine makes 2-pt shot from 20 ft
3:43.0,Shooting foul by R. Lopez (drawn by K. Towns),,50-44,,
3:43.0,K. Towns makes free throw 1 of 2,1,51-44,,
3:43.0,T. Gibson enters the game for N. Bjelica,,51-44,,
3:43.0,K. Towns makes free throw 2 of 2,1,52-44,,
3:22.0,Personal foul by A. Wiggins (drawn by L. Markkanen),,52-44,,
3:07.0,,,52-46,2,Z. LaVine makes 2-pt shot from 15 ft
2:54.0,K. Towns makes 2-pt shot from 9 ft (assist by J. Teague),2,54-46,,
2:39.0,,,54-48,2,R. Lopez makes 2-pt shot from 1 ft (assist by J. Grant)
2:12.0,J. Teague makes 2-pt shot from 7 ft,2,56-48,,
1:56.0,,,56-48,,Z. LaVine misses 2-pt shot from 2 ft
1:56.0,,,56-48,,Offensive rebound by Z. LaVine
1:56.0,,,56-48,,Shooting foul by A. Wiggins (drawn by Z. LaVine)
1:56.0,,,56-49,1,Z. LaVine makes free throw 1 of 2
1:56.0,,,56-50,1,Z. LaVine makes free throw 2 of 2
1:33.0,T. Gibson makes 2-pt shot from 1 ft (assist by K. Towns),2,58-50,,
1:27.0,,,58-50,,Z. LaVine misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by J. Butler,,58-50,,
1:19.0,A. Wiggins makes 2-pt shot at rim (assist by J. Butler),2,60-50,,
0:55.0,,,60-52,2,R. Lopez makes 2-pt shot from 2 ft
0:47.0,Shooting foul by J. Holiday (drawn by J. Butler),,60-52,,
0:47.0,J. Butler makes free throw 1 of 2,1,61-52,,
0:47.0,G. Dieng enters the game for K. Towns,,61-52,,
0:47.0,J. Butler makes free throw 2 of 2,1,62-52,,
0:33.0,,,62-55,3,J. Holiday makes 3-pt shot from 24 ft (assist by J. Grant)
0:12.0,J. Butler makes 2-pt shot from 1 ft,2,64-55,,
0:05.0,Personal foul by G. Dieng (drawn by R. Lopez),,64-55,,
0:05.0,,,64-55,,R. Lopez misses free throw 1 of 2
0:05.0,,,64-55,,Offensive rebound by Team
0:05.0,,,64-55,,D. Nwaba enters the game for L. Markkanen
0:05.0,K. Towns enters the game for G. Dieng,,64-55,,
0:05.0,,,64-56,1,R. Lopez makes free throw 2 of 2
0:01.0,J. Butler makes 3-pt shot from 26 ft (assist by K. Towns),3,67-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Butler makes 3-pt shot from 24 ft (assist by J. Teague),3,70-56,,
11:28.0,,,70-56,,Turnover by L. Markkanen (bad pass; steal by J. Butler)
11:17.0,J. Teague makes 3-pt shot from 25 ft,3,73-56,,
10:57.0,,,73-56,,Turnover by R. Lopez (lost ball; steal by J. Teague)
10:51.0,Turnover by J. Teague (bad pass; steal by Z. LaVine),,73-56,,
10:43.0,,,73-56,,Shooting foul by T. Gibson (drawn by Z. LaVine)
10:43.0,,,73-57,1,Z. LaVine makes free throw 1 of 2
10:43.0,,,73-58,1,Z. LaVine makes free throw 2 of 2
10:30.0,Turnover by A. Wiggins (out of bounds lost ball),,73-58,,
10:15.0,,,73-58,,Shooting foul by T. Gibson (drawn by J. Holiday)
10:15.0,,,73-59,1,J. Holiday makes free throw 1 of 2
10:15.0,,,73-60,1,J. Holiday makes free throw 2 of 2
10:01.0,Shooting foul by J. Grant (drawn by K. Towns),,73-60,,
10:01.0,K. Towns misses free throw 1 of 2,,73-60,,
10:01.0,Offensive rebound by Team,,73-60,,
10:01.0,K. Towns makes free throw 2 of 2,1,74-60,,
9:47.0,,,74-60,,Shooting foul by A. Wiggins (drawn by J. Holiday)
9:47.0,,,74-60,,J. Holiday misses free throw 1 of 3
9:47.0,,,74-60,,Offensive rebound by Team
9:47.0,,,74-61,1,J. Holiday makes free throw 2 of 3
9:47.0,,,74-62,1,J. Holiday makes free throw 3 of 3
9:37.0,J. Butler makes 2-pt shot from 17 ft,2,76-62,,
9:37.0,Shooting foul by Z. LaVine (drawn by J. Butler),,76-62,,
9:37.0,J. Butler misses free throw 1 of 1,,76-62,,
9:33.0,,,76-62,,Defensive rebound by L. Markkanen
9:16.0,,,76-64,2,Z. LaVine makes 2-pt shot from 2 ft
9:04.0,A. Wiggins makes 2-pt shot from 6 ft (assist by J. Teague),2,78-64,,
8:39.0,,,78-64,,J. Holiday misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by A. Wiggins,,78-64,,
8:25.0,T. Gibson misses 2-pt shot from 2 ft,,78-64,,
8:23.0,,,78-64,,Defensive rebound by L. Markkanen
8:17.0,,,78-66,2,J. Grant makes 2-pt shot from 1 ft (assist by L. Markkanen)
8:11.0,Minnesota full timeout,,78-66,,
7:51.0,Turnover by Team (shot clock),,78-66,,
7:39.0,,,78-66,,Z. LaVine misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by T. Gibson,,78-66,,
7:25.0,T. Gibson misses 2-pt shot from 3 ft,,78-66,,
7:23.0,,,78-66,,Defensive rebound by J. Holiday
7:19.0,,,78-69,3,L. Markkanen makes 3-pt shot from 24 ft (assist by J. Holiday)
7:03.0,K. Towns misses 2-pt shot from 18 ft,,78-69,,
7:01.0,,,78-69,,Defensive rebound by J. Grant
6:58.0,Personal foul by J. Teague (drawn by J. Grant),,78-69,,
6:52.0,,,78-71,2,Z. LaVine makes 2-pt shot from 2 ft (assist by J. Grant)
6:43.0,Turnover by A. Wiggins (traveling),,78-71,,
6:31.0,,,78-73,2,J. Grant makes 2-pt shot from 20 ft
6:19.0,J. Teague misses 2-pt shot from 1 ft,,78-73,,
6:17.0,,,78-73,,Defensive rebound by R. Lopez
6:07.0,,,78-75,2,L. Markkanen makes 2-pt shot from 1 ft (assist by J. Grant)
6:07.0,Minnesota full timeout,,78-75,,
5:51.0,T. Gibson misses 2-pt shot from 12 ft,,78-75,,
5:49.0,,,78-75,,Defensive rebound by J. Holiday
5:26.0,,,78-77,2,Z. LaVine makes 2-pt shot from 21 ft
5:06.0,A. Wiggins misses 2-pt shot from 14 ft,,78-77,,
5:04.0,,,78-77,,Defensive rebound by J. Holiday
4:49.0,,,78-77,,Z. LaVine misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by K. Towns,,78-77,,
4:42.0,J. Butler misses 2-pt shot from 12 ft,,78-77,,
4:42.0,Offensive rebound by T. Gibson,,78-77,,
4:38.0,T. Gibson makes 2-pt shot from 3 ft,2,80-77,,
4:21.0,,,80-79,2,R. Lopez makes 2-pt shot from 18 ft (assist by J. Grant)
4:06.0,Turnover by J. Teague (bad pass; steal by J. Holiday),,80-79,,
3:59.0,Personal foul by J. Teague (drawn by R. Lopez),,80-79,,
3:59.0,,,80-80,1,R. Lopez makes free throw 1 of 2
3:59.0,,,80-80,,D. Valentine enters the game for Z. LaVine
3:59.0,G. Dieng enters the game for J. Teague,,80-80,,
3:59.0,N. Bjelica enters the game for K. Towns,,80-80,,
3:59.0,T. Jones enters the game for T. Gibson,,80-80,,
3:59.0,,,80-80,,R. Lopez misses free throw 2 of 2
3:55.0,Defensive rebound by N. Bjelica,,80-80,,
3:42.0,G. Dieng misses 2-pt shot from 19 ft,,80-80,,
3:37.0,,,80-80,,Defensive rebound by R. Lopez
3:27.0,,,80-80,,Shooting foul by G. Dieng (drawn by R. Lopez)
3:27.0,,,80-80,,R. Lopez misses free throw 1 of 2
3:27.0,,,80-80,,Offensive rebound by Team
3:27.0,,,80-80,,R. Lopez misses free throw 2 of 2
3:21.0,Defensive rebound by A. Wiggins,,80-80,,
3:06.0,J. Butler misses 2-pt shot from 2 ft,,80-80,,
2:59.0,Offensive rebound by G. Dieng,,80-80,,
2:59.0,G. Dieng makes 2-pt shot at rim,2,82-80,,
2:57.0,,,82-80,,Turnover by R. Lopez (traveling)
2:57.0,J. Crawford enters the game for J. Butler,,82-80,,
2:45.0,A. Wiggins misses 2-pt shot from 12 ft,,82-80,,
2:43.0,,,82-80,,Defensive rebound by J. Grant
2:34.0,,,82-83,3,J. Holiday makes 3-pt shot from 25 ft (assist by J. Grant)
2:18.0,J. Crawford misses 2-pt shot from 2 ft,,82-83,,
2:16.0,,,82-83,,Defensive rebound by J. Holiday
2:07.0,,,82-83,,D. Valentine misses 3-pt shot from 23 ft
2:01.0,,,82-83,,Offensive rebound by J. Grant
1:54.0,,,82-83,,D. Valentine misses 3-pt shot from 28 ft
1:50.0,Defensive rebound by T. Jones,,82-83,,
1:40.0,A. Wiggins misses 2-pt shot from 11 ft,,82-83,,
1:38.0,,,82-83,,Defensive rebound by D. Valentine
1:30.0,,,82-85,2,L. Markkanen makes 2-pt shot from 5 ft
1:14.0,Shooting foul by R. Lopez (drawn by G. Dieng),,82-85,,
1:14.0,G. Dieng misses free throw 1 of 2,,82-85,,
1:14.0,Offensive rebound by Team,,82-85,,
1:14.0,,,82-85,,B. Portis enters the game for J. Grant
1:14.0,,,82-85,,P. Zipser enters the game for L. Markkanen
1:14.0,,,82-85,,Z. LaVine enters the game for R. Lopez
1:14.0,G. Dieng misses free throw 2 of 2,,82-85,,
1:11.0,,,82-85,,Defensive rebound by B. Portis
1:01.0,,,82-87,2,Z. LaVine makes 2-pt shot from 1 ft
1:01.0,Violation by G. Dieng (def goaltending),,82-87,,
0:38.0,T. Jones makes 2-pt shot from 5 ft,2,84-87,,
0:30.0,,,84-87,,Z. LaVine misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by G. Dieng,,84-87,,
0:06.0,A. Wiggins makes 2-pt shot from 15 ft (assist by N. Bjelica),2,86-87,,
0:00.0,,,86-87,,Z. LaVine misses 2-pt shot from 2 ft
0:00.0,,,86-87,,Offensive rebound by D. Valentine
0:00.0,,,86-89,2,D. Valentine makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,86-89,,D. Valentine misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by N. Bjelica,,86-89,,
11:32.0,K. Towns makes 2-pt shot from 2 ft,2,88-89,,
11:32.0,Shooting foul by B. Portis (drawn by K. Towns),,88-89,,
11:32.0,K. Towns makes free throw 1 of 1,1,89-89,,
11:23.0,,,89-89,,Turnover by D. Valentine (bad pass)
11:12.0,Shooting foul by D. Valentine (drawn by J. Butler),,89-89,,
11:12.0,J. Butler makes free throw 1 of 2,1,90-89,,
11:12.0,J. Butler makes free throw 2 of 2,1,91-89,,
10:47.0,,,91-89,,D. Valentine misses 2-pt shot from 7 ft
10:45.0,Defensive rebound by J. Butler,,91-89,,
10:34.0,J. Butler makes 2-pt shot from 16 ft,2,93-89,,
10:34.0,Shooting foul by R. Arcidiacono (drawn by J. Butler),,93-89,,
10:34.0,,,93-89,,J. Grant enters the game for R. Arcidiacono
10:34.0,J. Butler makes free throw 1 of 1,1,94-89,,
10:17.0,,,94-89,,D. Valentine misses 2-pt shot from 9 ft
10:14.0,Defensive rebound by K. Towns,,94-89,,
10:08.0,J. Butler misses 3-pt shot from 26 ft,,94-89,,
10:05.0,,,94-89,,Defensive rebound by D. Nwaba
9:49.0,,,94-89,,J. Grant misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by T. Jones,,94-89,,
9:39.0,,,94-89,,Personal foul by P. Zipser (drawn by J. Crawford)
9:25.0,J. Butler misses 3-pt shot from 26 ft,,94-89,,
9:22.0,Offensive rebound by K. Towns,,94-89,,
9:16.0,T. Jones misses 2-pt shot from 3 ft (block by P. Zipser),,94-89,,
9:13.0,,,94-89,,Defensive rebound by J. Grant
9:13.0,,,94-89,,Shooting foul by K. Towns (drawn by J. Grant)
9:13.0,,,94-90,1,J. Grant makes free throw 1 of 2
9:13.0,,,94-90,,J. Grant misses free throw 2 of 2
9:11.0,Defensive rebound by K. Towns,,94-90,,
8:53.0,Turnover by N. Bjelica (bad pass),,94-90,,
8:43.0,,,94-90,,D. Valentine misses 2-pt shot from 20 ft
8:41.0,,,94-90,,Offensive rebound by B. Portis
8:40.0,,,94-92,2,B. Portis makes 2-pt shot from 2 ft
8:36.0,,,94-93,1,D. Valentine makes technical free throw
8:22.0,,,94-93,,Personal foul by D. Nwaba (drawn by J. Butler)
8:22.0,J. Butler makes free throw 1 of 2,1,95-93,,
8:22.0,J. Butler makes free throw 2 of 2,1,96-93,,
8:09.0,,,96-93,,B. Portis misses 2-pt shot from 5 ft
8:07.0,Defensive rebound by N. Bjelica,,96-93,,
7:56.0,J. Butler misses 2-pt shot from 18 ft,,96-93,,
7:53.0,,,96-93,,Defensive rebound by D. Valentine
7:47.0,,,96-93,,B. Portis misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by T. Jones,,96-93,,
7:35.0,Shooting foul by B. Portis (drawn by K. Towns),,96-93,,
7:35.0,K. Towns makes free throw 1 of 2,1,97-93,,
7:35.0,,,97-93,,Z. LaVine enters the game for P. Zipser
7:35.0,,,97-93,,L. Markkanen enters the game for D. Valentine
7:35.0,K. Towns makes free throw 2 of 2,1,98-93,,
7:21.0,,,98-93,,Shooting foul by K. Towns (drawn by B. Portis)
7:21.0,,,98-94,1,B. Portis makes free throw 1 of 2
7:21.0,,,98-95,1,B. Portis makes free throw 2 of 2
7:01.0,J. Crawford makes 3-pt shot from 23 ft (assist by T. Jones),3,101-95,,
7:00.0,,,101-95,,Chicago full timeout
6:49.0,Personal foul by N. Bjelica (drawn by L. Markkanen),,101-95,,
6:35.0,,,101-97,2,B. Portis makes 2-pt shot from 13 ft (assist by D. Nwaba)
6:21.0,K. Towns makes 2-pt shot at rim (assist by T. Jones),2,103-97,,
6:07.0,,,103-99,2,Z. LaVine makes 2-pt shot from 1 ft
5:54.0,,,103-99,,Personal foul by B. Portis (drawn by K. Towns)
5:54.0,K. Towns makes free throw 1 of 2,1,104-99,,
5:54.0,,,104-99,,J. Holiday enters the game for D. Nwaba
5:54.0,A. Wiggins enters the game for J. Crawford,,104-99,,
5:54.0,K. Towns makes free throw 2 of 2,1,105-99,,
5:40.0,,,105-101,2,Z. LaVine makes 2-pt shot from 4 ft
5:26.0,N. Bjelica misses 3-pt shot from 25 ft,,105-101,,
5:26.0,Offensive rebound by K. Towns,,105-101,,
5:20.0,K. Towns misses 2-pt shot from 1 ft (block by B. Portis),,105-101,,
5:20.0,,,105-101,,Defensive rebound by J. Grant
5:14.0,,,105-101,,J. Holiday misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by N. Bjelica,,105-101,,
4:54.0,J. Butler misses 2-pt shot from 2 ft,,105-101,,
4:54.0,Offensive rebound by J. Butler,,105-101,,
4:52.0,J. Butler misses 2-pt shot from 2 ft,,105-101,,
4:52.0,,,105-101,,Defensive rebound by J. Holiday
4:44.0,,,105-103,2,J. Holiday makes 2-pt shot from 16 ft (assist by J. Grant)
4:41.0,Minnesota full timeout,,105-103,,
4:21.0,Turnover by A. Wiggins (lost ball; steal by Z. LaVine),,105-103,,
4:21.0,Personal foul by A. Wiggins (drawn by Z. LaVine),,105-103,,
4:01.0,,,105-103,,J. Grant misses 2-pt shot from 19 ft
3:55.0,Defensive rebound by N. Bjelica,,105-103,,
3:40.0,,,105-103,,Personal foul by J. Holiday (drawn by J. Butler)
3:40.0,J. Butler makes free throw 1 of 2,1,106-103,,
3:40.0,J. Butler makes free throw 2 of 2,1,107-103,,
3:30.0,,,107-103,,Shooting foul by N. Bjelica (drawn by Z. LaVine)
3:30.0,,,107-103,,Z. LaVine misses free throw 1 of 2
3:30.0,,,107-103,,Offensive rebound by Team
3:30.0,,,107-104,1,Z. LaVine makes free throw 2 of 2
