time,Orlando,pts.away,score,pts.home,Charlotte
8:00.0,,,6-7,,Defensive rebound by D. Howard
7:47.0,,,6-9,2,J. Lamb makes 2-pt shot from 16 ft
7:33.0,E. Fournier misses 2-pt shot at rim,,6-9,,
7:27.0,Offensive rebound by N. Vucevic,,6-9,,
7:27.0,N. Vucevic makes 2-pt shot at rim,2,8-9,,
7:18.0,,,8-11,2,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker)
7:01.0,N. Vucevic makes 2-pt shot from 7 ft (assist by T. Ross),2,10-11,,
6:47.0,,,10-11,,Turnover by J. Lamb (bad pass; steal by A. Gordon)
6:42.0,T. Ross makes 2-pt shot from 1 ft (assist by A. Gordon),2,12-11,,
6:21.0,,,12-14,3,J. Lamb makes 3-pt shot from 30 ft (assist by K. Walker)
6:05.0,T. Ross misses 2-pt shot from 19 ft,,12-14,,
5:58.0,Offensive rebound by A. Gordon,,12-14,,
5:58.0,A. Gordon makes 2-pt shot at rim,2,14-14,,
5:48.0,,,14-14,,K. Walker misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by N. Vucevic,,14-14,,
5:33.0,Turnover by T. Ross (bad pass),,14-14,,
5:33.0,,,14-14,,Charlotte full timeout
5:33.0,,,14-14,,D. Bacon enters the game for M. Kidd-Gilchrist
5:33.0,J. Simmons enters the game for T. Ross,,14-14,,
5:24.0,,,14-14,,J. Lamb misses 2-pt shot from 14 ft
5:19.0,,,14-14,,Offensive rebound by K. Walker
5:18.0,,,14-16,2,K. Walker makes 2-pt shot from 10 ft
4:56.0,A. Gordon misses 2-pt shot from 3 ft (block by K. Walker),,14-16,,
4:53.0,,,14-16,,Defensive rebound by K. Walker
4:47.0,,,14-19,3,M. Williams makes 3-pt shot from 22 ft (assist by D. Howard)
4:35.0,Turnover by J. Simmons (bad pass; steal by D. Bacon),,14-19,,
4:32.0,,,14-21,2,J. Lamb makes 2-pt shot at rim
4:32.0,Orlando full timeout,,14-21,,
4:32.0,,,14-21,,T. Graham enters the game for M. Williams
4:13.0,A. Gordon misses 3-pt shot from 23 ft,,14-21,,
4:09.0,,,14-21,,Defensive rebound by D. Bacon
4:01.0,,,14-23,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Lamb)
3:45.0,A. Gordon misses 2-pt shot from 10 ft,,14-23,,
3:42.0,,,14-23,,Defensive rebound by J. Lamb
3:35.0,,,14-23,,J. Lamb misses 2-pt shot from 1 ft
3:35.0,Defensive rebound by N. Vucevic,,14-23,,
3:25.0,,,14-23,,Personal foul by K. Walker (drawn by E. Fournier)
3:19.0,E. Fournier misses 2-pt shot from 2 ft,,14-23,,
3:19.0,,,14-23,,Defensive rebound by K. Walker
3:12.0,,,14-23,,D. Bacon misses 3-pt shot from 24 ft
3:12.0,Defensive rebound by J. Simmons,,14-23,,
3:07.0,J. Simmons makes 2-pt shot from 3 ft,2,16-23,,
3:07.0,Shooting foul by T. Graham (drawn by J. Simmons),,16-23,,
3:07.0,,,16-23,,C. Zeller enters the game for D. Howard
3:07.0,,,16-23,,M. Monk enters the game for K. Walker
3:07.0,B. Biyombo enters the game for N. Vucevic,,16-23,,
3:07.0,S. Mack enters the game for D. Augustin,,16-23,,
3:07.0,J. Simmons misses free throw 1 of 1,,16-23,,
3:05.0,,,16-23,,Defensive rebound by C. Zeller
2:55.0,Personal foul by J. Simmons (drawn by J. Lamb),,16-23,,
2:50.0,,,16-25,2,M. Monk makes 2-pt shot from 21 ft
2:33.0,J. Simmons makes 3-pt shot from 25 ft (assist by E. Fournier),3,19-25,,
2:20.0,,,19-25,,M. Monk misses 2-pt shot from 14 ft
2:17.0,Defensive rebound by E. Fournier,,19-25,,
2:07.0,J. Simmons misses 2-pt shot from 15 ft,,19-25,,
2:02.0,Offensive rebound by B. Biyombo,,19-25,,
2:02.0,B. Biyombo misses 2-pt shot at rim,,19-25,,
2:01.0,,,19-25,,Defensive rebound by D. Bacon
1:56.0,,,19-25,,M. Monk misses 3-pt shot from 26 ft
1:54.0,Defensive rebound by J. Simmons,,19-25,,
1:47.0,J. Simmons misses 2-pt shot from 1 ft (block by C. Zeller),,19-25,,
1:43.0,,,19-25,,Defensive rebound by J. Lamb
1:40.0,,,19-25,,Turnover by J. Lamb (bad pass; steal by J. Simmons)
1:30.0,E. Fournier misses 3-pt shot from 27 ft,,19-25,,
1:26.0,,,19-25,,Defensive rebound by M. Monk
1:22.0,,,19-27,2,D. Bacon makes 2-pt shot from 16 ft
1:08.0,E. Fournier makes 2-pt shot from 2 ft (assist by S. Mack),2,21-27,,
1:08.0,Shooting foul by C. Zeller (drawn by E. Fournier),,21-27,,
1:08.0,,,21-27,,J. O'Bryant enters the game for J. Lamb
1:08.0,M. Hezonja enters the game for A. Gordon,,21-27,,
1:08.0,E. Fournier makes free throw 1 of 1,1,22-27,,
0:53.0,,,22-27,,T. Graham misses 2-pt shot from 1 ft
0:48.0,,,22-27,,Offensive rebound by T. Graham
0:48.0,,,22-27,,T. Graham misses 2-pt shot at rim
0:48.0,,,22-27,,Offensive rebound by T. Graham
0:47.0,,,22-27,,T. Graham misses 2-pt shot at rim
0:46.0,Defensive rebound by M. Hezonja,,22-27,,
0:43.0,E. Fournier makes 2-pt shot from 17 ft,2,24-27,,
0:29.0,,,24-27,,M. Monk misses 3-pt shot from 25 ft
0:26.0,Defensive rebound by E. Fournier,,24-27,,
0:18.0,M. Hezonja misses 3-pt shot from 25 ft,,24-27,,
0:14.0,,,24-27,,Defensive rebound by D. Bacon
0:05.0,Personal foul by S. Mack (drawn by M. Monk),,24-27,,
0:00.0,,,24-27,,M. Monk misses 2-pt shot from 22 ft
0:00.0,,,24-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,Turnover by B. Biyombo (bad pass; steal by T. Graham),,24-27,,
11:35.0,,,24-27,,D. Bacon misses 2-pt shot from 19 ft
11:30.0,Defensive rebound by T. Ross,,24-27,,
11:25.0,S. Mack makes 3-pt shot from 25 ft,3,27-27,,
11:02.0,,,27-30,3,J. O'Bryant makes 3-pt shot from 26 ft (assist by C. Zeller)
10:50.0,S. Mack makes 2-pt shot from 18 ft,2,29-30,,
10:39.0,,,29-30,,Charlotte full timeout
10:28.0,,,29-32,2,J. O'Bryant makes 2-pt shot from 5 ft (assist by M. Monk)
10:13.0,M. Hezonja misses 2-pt shot from 1 ft,,29-32,,
10:10.0,,,29-32,,Defensive rebound by C. Zeller
10:03.0,,,29-34,2,C. Zeller makes 2-pt shot from 2 ft (assist by M. Monk)
9:53.0,,,29-34,,Personal foul by T. Graham (drawn by B. Biyombo)
9:40.0,J. Simmons misses 3-pt shot from 24 ft,,29-34,,
9:36.0,Offensive rebound by M. Hezonja,,29-34,,
9:35.0,T. Ross makes 3-pt shot from 24 ft (assist by M. Hezonja),3,32-34,,
9:15.0,,,32-34,,J. O'Bryant misses 2-pt shot from 9 ft
9:12.0,Defensive rebound by B. Biyombo,,32-34,,
9:04.0,T. Ross misses 3-pt shot from 24 ft,,32-34,,
9:01.0,,,32-34,,Defensive rebound by T. Graham
8:52.0,,,32-34,,Turnover by M. Monk (bad pass; steal by J. Simmons)
8:52.0,,,32-34,,Personal foul by J. O'Bryant (drawn by J. Simmons)
8:52.0,,,32-34,,K. Walker enters the game for J. O'Bryant
8:43.0,T. Ross makes 2-pt shot from 19 ft (assist by S. Mack),2,34-34,,
8:31.0,,,34-36,2,K. Walker makes 2-pt shot from 1 ft
8:05.0,Shooting foul by K. Walker (drawn by S. Mack),,34-36,,
8:05.0,S. Mack makes free throw 1 of 3,1,35-36,,
8:05.0,S. Mack makes free throw 2 of 3,1,36-36,,
8:05.0,S. Mack makes free throw 3 of 3,1,37-36,,
7:43.0,,,37-38,2,K. Walker makes 2-pt shot from 22 ft (assist by T. Graham)
7:26.0,M. Hezonja misses 3-pt shot from 22 ft,,37-38,,
7:24.0,,,37-38,,Defensive rebound by D. Bacon
7:15.0,,,37-40,2,K. Walker makes 2-pt shot from 1 ft
7:06.0,S. Mack misses 2-pt shot from 13 ft,,37-40,,
7:03.0,,,37-40,,Defensive rebound by C. Zeller
6:53.0,,,37-42,2,K. Walker makes 2-pt shot from 2 ft
6:53.0,Orlando full timeout,,37-42,,
6:53.0,,,37-42,,D. Howard enters the game for C. Zeller
6:53.0,D. Augustin enters the game for S. Mack,,37-42,,
6:53.0,A. Gordon enters the game for M. Hezonja,,37-42,,
6:42.0,T. Ross misses 2-pt shot from 17 ft,,37-42,,
6:38.0,,,37-42,,Defensive rebound by T. Graham
6:33.0,,,37-42,,K. Walker misses 2-pt shot from 2 ft (block by B. Biyombo)
6:33.0,,,37-42,,Offensive rebound by Team
6:33.0,N. Vucevic enters the game for B. Biyombo,,37-42,,
6:26.0,,,37-42,,D. Bacon misses 2-pt shot from 18 ft
6:20.0,,,37-42,,Offensive rebound by D. Howard
6:20.0,,,37-42,,D. Howard misses 2-pt shot at rim
6:18.0,Defensive rebound by T. Ross,,37-42,,
6:12.0,N. Vucevic makes 2-pt shot from 15 ft (assist by A. Gordon),2,39-42,,
5:55.0,,,39-44,2,K. Walker makes 2-pt shot from 1 ft (assist by D. Howard)
5:55.0,,,39-44,,Shooting foul by N. Vucevic (drawn by K. Walker)
5:55.0,E. Fournier enters the game for J. Simmons,,39-44,,
5:55.0,,,39-45,1,K. Walker makes free throw 1 of 1
5:46.0,D. Augustin misses 2-pt shot from 2 ft,,39-45,,
5:46.0,Offensive rebound by A. Gordon,,39-45,,
5:42.0,,,39-45,,Personal foul by D. Bacon (drawn by E. Fournier)
5:32.0,D. Augustin misses 3-pt shot from 25 ft,,39-45,,
5:29.0,,,39-45,,Defensive rebound by D. Bacon
5:22.0,,,39-45,,M. Monk misses 2-pt shot from 2 ft (block by A. Gordon)
5:22.0,,,39-45,,Offensive rebound by Team
5:18.0,,,39-47,2,T. Graham makes 2-pt shot from 2 ft (assist by M. Monk)
4:58.0,A. Gordon misses 2-pt shot from 16 ft,,39-47,,
4:53.0,Offensive rebound by N. Vucevic,,39-47,,
4:51.0,N. Vucevic misses 2-pt shot from 19 ft,,39-47,,
4:51.0,,,39-47,,Defensive rebound by D. Bacon
4:42.0,,,39-49,2,D. Howard makes 2-pt shot from 2 ft (assist by K. Walker)
4:30.0,E. Fournier misses 2-pt shot from 2 ft (block by M. Monk),,39-49,,
4:30.0,,,39-49,,Defensive rebound by K. Walker
4:24.0,,,39-49,,K. Walker misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by N. Vucevic,,39-49,,
4:18.0,D. Augustin misses 2-pt shot from 1 ft,,39-49,,
4:16.0,Offensive rebound by E. Fournier,,39-49,,
4:12.0,N. Vucevic misses 3-pt shot from 24 ft,,39-49,,
4:08.0,,,39-49,,Defensive rebound by K. Walker
4:00.0,,,39-49,,Turnover by K. Walker (bad pass; steal by A. Gordon)
3:53.0,Offensive charge foul by A. Gordon (drawn by T. Graham),,39-49,,
3:53.0,Turnover by A. Gordon (offensive foul),,39-49,,
3:53.0,,,39-49,,M. Williams enters the game for D. Bacon
3:53.0,,,39-49,,M. Kidd-Gilchrist enters the game for T. Graham
3:53.0,J. Simmons enters the game for T. Ross,,39-49,,
3:41.0,,,39-49,,K. Walker misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by N. Vucevic,,39-49,,
3:35.0,A. Gordon makes 3-pt shot from 25 ft (assist by N. Vucevic),3,42-49,,
3:24.0,,,42-51,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
3:24.0,Orlando full timeout,,42-51,,
3:24.0,,,42-51,,J. Lamb enters the game for M. Monk
2:59.0,D. Augustin misses 3-pt shot from 25 ft,,42-51,,
2:56.0,,,42-51,,Defensive rebound by M. Williams
2:49.0,,,42-53,2,D. Howard makes 2-pt shot at rim (assist by J. Lamb)
2:31.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,44-53,,
2:05.0,,,44-55,2,M. Kidd-Gilchrist makes 2-pt shot from 9 ft (assist by M. Williams)
1:49.0,J. Simmons misses 2-pt shot from 8 ft (block by D. Howard),,44-55,,
1:46.0,,,44-55,,Defensive rebound by M. Williams
1:46.0,,,44-55,,Shooting foul by E. Fournier (drawn by M. Kidd-Gilchrist)
1:46.0,,,44-55,,M. Kidd-Gilchrist misses free throw 1 of 2
1:46.0,,,44-55,,Offensive rebound by Team
1:46.0,,,44-55,,M. Monk enters the game for K. Walker
1:46.0,,,44-56,1,M. Kidd-Gilchrist makes free throw 2 of 2
1:33.0,N. Vucevic misses 3-pt shot from 25 ft,,44-56,,
1:30.0,,,44-56,,Defensive rebound by J. Lamb
1:21.0,,,44-58,2,J. Lamb makes 2-pt shot from 6 ft
1:07.0,,,44-58,,Personal foul by M. Kidd-Gilchrist (drawn by E. Fournier)
1:07.0,E. Fournier makes free throw 1 of 2,1,45-58,,
1:07.0,B. Biyombo enters the game for N. Vucevic,,45-58,,
1:07.0,E. Fournier makes free throw 2 of 2,1,46-58,,
0:46.0,,,46-60,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Williams)
0:46.0,,,46-60,,Shooting foul by B. Biyombo (drawn by D. Howard)
0:46.0,,,46-61,1,D. Howard makes free throw 1 of 1
0:28.0,J. Simmons makes 3-pt shot from 23 ft (assist by D. Augustin),3,49-61,,
0:09.0,,,49-61,,Turnover by M. Monk (lost ball; steal by B. Biyombo)
0:05.0,D. Augustin misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,49-61,,
0:05.0,Offensive rebound by Team,,49-61,,
0:02.0,A. Gordon misses 2-pt shot from 13 ft,,49-61,,
0:02.0,,,49-61,,Defensive rebound by M. Williams
0:00.0,,,49-61,,M. Monk misses 3-pt shot from 31 ft
0:00.0,,,49-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,N. Vucevic misses 2-pt shot from 10 ft,,49-61,,
11:39.0,,,49-61,,Defensive rebound by J. Lamb
11:31.0,,,49-63,2,K. Walker makes 2-pt shot from 9 ft
11:09.0,N. Vucevic makes 3-pt shot from 29 ft (assist by D. Augustin),3,52-63,,
10:49.0,,,52-63,,Turnover by D. Howard (lost ball; steal by N. Vucevic)
10:37.0,Shooting foul by D. Howard (drawn by N. Vucevic),,52-63,,
10:37.0,N. Vucevic makes free throw 1 of 2,1,53-63,,
10:37.0,N. Vucevic misses free throw 2 of 2,,53-63,,
10:34.0,,,53-63,,Defensive rebound by M. Williams
10:21.0,,,53-63,,M. Williams misses 3-pt shot from 24 ft
10:18.0,Defensive rebound by N. Vucevic,,53-63,,
10:14.0,T. Ross makes 2-pt shot from 3 ft,2,55-63,,
10:14.0,Shooting foul by J. Lamb (drawn by T. Ross),,55-63,,
10:14.0,T. Ross misses free throw 1 of 1,,55-63,,
10:12.0,,,55-63,,Defensive rebound by M. Williams
9:58.0,,,55-63,,Shooting foul by N. Vucevic (drawn by D. Howard)
9:58.0,,,55-64,1,D. Howard makes free throw 1 of 2
9:58.0,,,55-64,,D. Howard misses free throw 2 of 2
9:56.0,Defensive rebound by A. Gordon,,55-64,,
9:46.0,N. Vucevic makes 2-pt shot from 2 ft (assist by A. Gordon),2,57-64,,
9:32.0,,,57-66,2,K. Walker makes 2-pt shot from 16 ft
9:21.0,A. Gordon makes 2-pt shot from 2 ft (assist by D. Augustin),2,59-66,,
9:21.0,,,59-66,,Charlotte full timeout
9:12.0,,,59-68,2,M. Williams makes 2-pt shot from 18 ft (assist by J. Lamb)
8:54.0,A. Gordon misses 2-pt shot from 12 ft,,59-68,,
8:54.0,,,59-68,,Defensive rebound by D. Howard
8:45.0,,,59-68,,Turnover by D. Howard (traveling)
8:28.0,Shooting foul by M. Williams (drawn by E. Fournier),,59-68,,
8:28.0,E. Fournier makes free throw 1 of 2,1,60-68,,
8:28.0,E. Fournier makes free throw 2 of 2,1,61-68,,
8:22.0,Personal foul by D. Augustin (drawn by J. Lamb),,61-68,,
8:13.0,,,61-70,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
8:02.0,N. Vucevic misses 3-pt shot from 28 ft,,61-70,,
7:59.0,,,61-70,,Defensive rebound by M. Williams
7:43.0,,,61-72,2,J. Lamb makes 2-pt shot from 9 ft
7:30.0,A. Gordon makes 3-pt shot from 24 ft (assist by E. Fournier),3,64-72,,
7:14.0,,,64-74,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
6:56.0,D. Augustin misses 3-pt shot from 26 ft,,64-74,,
6:54.0,,,64-74,,Defensive rebound by M. Kidd-Gilchrist
6:50.0,,,64-76,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
6:50.0,Orlando full timeout,,64-76,,
6:38.0,Turnover by T. Ross (bad pass; steal by K. Walker),,64-76,,
6:32.0,,,64-78,2,K. Walker makes 2-pt shot at rim (assist by J. Lamb)
6:23.0,T. Ross makes 2-pt shot from 2 ft (assist by N. Vucevic),2,66-78,,
6:08.0,,,66-80,2,D. Howard makes 2-pt shot at rim (assist by K. Walker)
6:00.0,Shooting foul by D. Howard (drawn by T. Ross),,66-80,,
6:00.0,T. Ross makes free throw 1 of 2,1,67-80,,
6:00.0,,,67-80,,D. Bacon enters the game for M. Kidd-Gilchrist
6:00.0,T. Ross makes free throw 2 of 2,1,68-80,,
5:47.0,,,68-82,2,K. Walker makes 2-pt shot from 6 ft
5:35.0,A. Gordon makes 2-pt shot from 14 ft (assist by D. Augustin),2,70-82,,
5:11.0,,,70-82,,D. Bacon misses 3-pt shot from 24 ft
5:05.0,,,70-82,,Offensive rebound by D. Howard
5:05.0,,,70-84,2,D. Howard makes 2-pt shot at rim
4:56.0,T. Ross misses 2-pt shot from 19 ft,,70-84,,
4:54.0,,,70-84,,Defensive rebound by M. Williams
4:49.0,Personal foul by A. Gordon (drawn by K. Walker),,70-84,,
4:49.0,,,70-84,,T. Graham enters the game for M. Williams
4:49.0,J. Simmons enters the game for T. Ross,,70-84,,
4:33.0,,,70-86,2,J. Lamb makes 2-pt shot from 12 ft (assist by T. Graham)
4:29.0,Offensive charge foul by A. Gordon (drawn by T. Graham),,70-86,,
4:29.0,Turnover by A. Gordon (offensive foul),,70-86,,
4:29.0,S. Mack enters the game for D. Augustin,,70-86,,
4:17.0,,,70-86,,J. Lamb misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by A. Gordon,,70-86,,
4:07.0,E. Fournier makes 2-pt shot from 16 ft (assist by A. Gordon),2,72-86,,
3:47.0,,,72-88,2,K. Walker makes 2-pt shot from 2 ft (assist by T. Graham)
3:29.0,N. Vucevic misses 2-pt shot from 13 ft,,72-88,,
3:29.0,Offensive rebound by Team,,72-88,,
3:29.0,,,72-88,,Loose ball foul by D. Bacon (drawn by A. Gordon)
3:29.0,A. Gordon makes free throw 1 of 2,1,73-88,,
3:29.0,,,73-88,,M. Monk enters the game for K. Walker
3:29.0,A. Gordon misses free throw 2 of 2,,73-88,,
3:26.0,,,73-88,,Defensive rebound by D. Bacon
3:12.0,,,73-88,,Turnover by J. Lamb (lost ball; steal by J. Simmons)
3:12.0,,,73-88,,Personal foul by J. Lamb (drawn by J. Simmons)
3:12.0,,,73-88,,C. Zeller enters the game for D. Howard
3:12.0,J. Simmons makes free throw 1 of 2,1,74-88,,
3:12.0,J. Simmons makes free throw 2 of 2,1,75-88,,
2:58.0,,,75-88,,D. Bacon misses 2-pt shot from 12 ft (block by J. Simmons)
2:54.0,Defensive rebound by N. Vucevic,,75-88,,
2:48.0,Turnover by N. Vucevic (bad pass; steal by J. Lamb),,75-88,,
2:42.0,,,75-88,,Offensive foul by C. Zeller (drawn by J. Simmons)
2:42.0,,,75-88,,Turnover by C. Zeller (offensive foul)
2:30.0,E. Fournier makes 3-pt shot from 29 ft (assist by S. Mack),3,78-88,,
2:10.0,,,78-88,,J. Lamb misses 2-pt shot from 3 ft
2:08.0,Defensive rebound by J. Simmons,,78-88,,
2:05.0,N. Vucevic misses 3-pt shot from 28 ft,,78-88,,
2:05.0,,,78-88,,Defensive rebound by D. Bacon
1:57.0,,,78-91,3,J. Lamb makes 3-pt shot from 26 ft (assist by D. Bacon)
1:45.0,J. Simmons makes 2-pt shot from 17 ft,2,80-91,,
1:33.0,,,80-91,,Offensive foul by C. Zeller (drawn by J. Simmons)
1:33.0,,,80-91,,Turnover by C. Zeller (offensive foul)
1:33.0,B. Biyombo enters the game for A. Gordon,,80-91,,
1:33.0,M. Hezonja enters the game for N. Vucevic,,80-91,,
1:24.0,Offensive foul by E. Fournier (drawn by D. Bacon),,80-91,,
1:24.0,Turnover by E. Fournier (offensive foul),,80-91,,
1:00.0,,,80-91,,J. Lamb misses 2-pt shot from 5 ft
1:00.0,,,80-91,,Offensive rebound by Team
1:00.0,Loose ball foul by B. Biyombo (drawn by J. Lamb),,80-91,,
0:48.0,,,80-91,,C. Zeller misses 2-pt shot from 2 ft
0:46.0,,,80-91,,Offensive rebound by T. Graham
0:46.0,,,80-91,,T. Graham misses 2-pt shot from 1 ft
0:39.0,,,80-91,,Offensive rebound by T. Graham
0:39.0,,,80-93,2,T. Graham makes 2-pt shot at rim
0:31.0,E. Fournier makes 3-pt shot from 29 ft (assist by M. Hezonja),3,83-93,,
0:10.0,,,83-93,,Turnover by M. Monk (bad pass; steal by S. Mack)
0:07.0,J. Simmons makes 2-pt shot from 3 ft (assist by S. Mack),2,85-93,,
0:07.0,Shooting foul by J. Lamb (drawn by J. Simmons),,85-93,,
0:07.0,J. Simmons makes free throw 1 of 1,1,86-93,,
0:00.0,,,86-93,,J. Lamb misses 2-pt shot from 2 ft
0:00.0,,,86-93,,Offensive rebound by C. Zeller
0:00.0,,,86-93,,C. Zeller misses 2-pt shot at rim
0:00.0,,,86-93,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,86-93,,C. Zeller misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by B. Biyombo,,86-93,,
11:31.0,M. Hezonja makes 2-pt shot from 2 ft,2,88-93,,
11:17.0,,,88-93,,M. Monk misses 2-pt shot from 15 ft
11:17.0,Defensive rebound by B. Biyombo,,88-93,,
11:01.0,T. Ross misses 3-pt shot from 27 ft,,88-93,,
11:01.0,Offensive rebound by Team,,88-93,,
11:01.0,,,88-93,,Personal foul by C. Zeller (drawn by B. Biyombo)
11:01.0,,,88-93,,K. Walker enters the game for M. Monk
10:53.0,J. Simmons makes 2-pt shot from 6 ft,2,90-93,,
10:29.0,,,90-93,,T. Graham misses 2-pt shot from 1 ft
10:29.0,,,90-93,,Offensive rebound by C. Zeller
10:24.0,,,90-95,2,C. Zeller makes 2-pt shot at rim
10:16.0,S. Mack misses 2-pt shot from 20 ft,,90-95,,
10:15.0,Offensive rebound by Team,,90-95,,
10:15.0,,,90-95,,Loose ball foul by D. Bacon (drawn by B. Biyombo)
10:06.0,T. Ross misses 2-pt shot from 8 ft,,90-95,,
10:03.0,,,90-95,,Defensive rebound by T. Graham
10:01.0,,,90-95,,Offensive charge foul by K. Walker (drawn by S. Mack)
10:01.0,,,90-95,,Turnover by K. Walker (offensive foul)
9:47.0,J. Simmons misses 2-pt shot from 19 ft,,90-95,,
9:44.0,,,90-95,,Defensive rebound by M. Williams
9:37.0,Personal foul by M. Hezonja (drawn by M. Williams),,90-95,,
9:27.0,,,90-95,,Turnover by K. Walker (out of bounds lost ball)
9:11.0,J. Simmons misses 2-pt shot from 9 ft,,90-95,,
9:07.0,,,90-95,,Defensive rebound by M. Williams
9:02.0,,,90-95,,T. Graham misses 2-pt shot from 11 ft
9:01.0,Defensive rebound by M. Hezonja,,90-95,,
8:52.0,B. Biyombo misses 2-pt shot from 8 ft,,90-95,,
8:52.0,Offensive rebound by T. Ross,,90-95,,
8:47.0,B. Biyombo makes 2-pt shot from 2 ft (assist by T. Ross),2,92-95,,
8:30.0,,,92-98,3,K. Walker makes 3-pt shot from 24 ft
8:14.0,T. Ross misses 2-pt shot from 18 ft,,92-98,,
8:11.0,Offensive rebound by S. Mack,,92-98,,
8:09.0,S. Mack makes 2-pt shot from 2 ft,2,94-98,,
7:57.0,,,94-100,2,K. Walker makes 2-pt shot from 2 ft
7:57.0,,,94-100,,Shooting foul by B. Biyombo (drawn by K. Walker)
7:57.0,,,94-100,,D. Howard enters the game for T. Graham
7:57.0,A. Gordon enters the game for S. Mack,,94-100,,
7:57.0,N. Vucevic enters the game for M. Hezonja,,94-100,,
7:57.0,E. Fournier enters the game for B. Biyombo,,94-100,,
7:57.0,,,94-101,1,K. Walker makes free throw 1 of 1
7:44.0,Turnover by T. Ross (bad pass),,94-101,,
7:33.0,,,94-103,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
7:33.0,Orlando full timeout,,94-103,,
7:10.0,N. Vucevic misses 2-pt shot from 2 ft,,94-103,,
7:08.0,,,94-103,,Defensive rebound by M. Williams
