time,Miami,pts.away,score,pts.home,San Antonio
5:21.0,G. Dragic misses 2-pt shot from 1 ft (block by D. Green),,46-47,,
5:18.0,,,46-47,,Defensive rebound by M. Ginobili
5:02.0,,,46-47,,D. Green misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by K. Olynyk,,46-47,,
4:55.0,Offensive foul by J. Johnson (drawn by M. Ginobili),,46-47,,
4:55.0,Turnover by J. Johnson (offensive foul),,46-47,,
4:55.0,,,46-47,,B. Forbes enters the game for T. Parker
4:55.0,,,46-47,,P. Mills enters the game for D. Green
4:55.0,J. Richardson enters the game for W. Ellington,,46-47,,
4:55.0,D. Waiters enters the game for G. Dragic,,46-47,,
4:36.0,,,46-47,,Shooting foul by J. Richardson (drawn by L. Aldridge)
4:36.0,,,46-48,1,L. Aldridge makes free throw 1 of 2
4:36.0,,,46-49,1,L. Aldridge makes free throw 2 of 2
4:15.0,J. Richardson makes 3-pt shot from 24 ft (assist by D. Waiters),3,49-49,,
3:55.0,,,49-49,,L. Aldridge misses 2-pt shot from 8 ft
3:53.0,,,49-49,,Offensive rebound by D. Bertans
3:52.0,,,49-49,,D. Bertans misses 3-pt shot from 25 ft
3:52.0,,,49-49,,Offensive rebound by Team
3:52.0,Personal foul by J. Johnson (drawn by L. Aldridge),,49-49,,
3:52.0,B. Adebayo enters the game for J. Johnson,,49-49,,
3:41.0,,,49-52,2,B. Forbes makes 3-pt shot from 25 ft (assist by P. Mills)
3:18.0,B. Adebayo makes 2-pt shot from 1 ft (assist by J. Richardson),2,51-52,,
3:00.0,,,51-54,2,B. Forbes makes 2-pt shot from 7 ft (assist by D. Bertans)
3:00.0,,,51-54,,Shooting foul by D. Waiters (drawn by B. Forbes)
3:00.0,,,51-54,,B. Forbes misses free throw 1 of 1
2:59.0,Defensive rebound by Team,,51-54,,
2:50.0,T. Johnson misses 3-pt shot from 25 ft,,51-54,,
2:45.0,Offensive rebound by B. Adebayo,,51-54,,
2:31.0,D. Waiters makes 3-pt shot from 25 ft (assist by K. Olynyk),3,54-54,,
2:15.0,G. Dragic enters the game for T. Johnson,,54-54,,
2:08.0,,,54-54,,Shooting foul by B. Adebayo (drawn by M. Ginobili)
2:08.0,,,54-55,1,M. Ginobili makes free throw 1 of 3
2:08.0,,,54-56,1,M. Ginobili makes free throw 2 of 3
2:08.0,,,54-56,,R. Gay enters the game for D. Bertans
2:08.0,,,54-57,1,M. Ginobili makes free throw 3 of 3
1:46.0,B. Adebayo makes 2-pt shot from 7 ft (assist by G. Dragic),2,56-57,,
1:36.0,J. Winslow enters the game for K. Olynyk,,56-57,,
1:36.0,Jump ball: L. Aldridge vs. B. Adebayo (R. Gay gains possession),,,,Jump ball: L. Aldridge vs. B. Adebayo (R. Gay gains possession)
1:23.0,,,56-57,,P. Mills misses 3-pt shot from 26 ft
1:20.0,,,56-57,,Offensive rebound by L. Aldridge
1:09.0,,,56-57,,B. Forbes misses 2-pt shot from 14 ft
1:09.0,Defensive rebound by J. Winslow,,56-57,,
0:51.0,G. Dragic makes 2-pt shot from 7 ft,2,58-57,,
0:32.0,,,58-57,,R. Gay misses 2-pt shot from 5 ft
0:32.0,Defensive rebound by Team,,58-57,,
0:12.0,D. Waiters misses 2-pt shot from 1 ft (block by L. Aldridge),,58-57,,
0:12.0,Offensive rebound by Team,,58-57,,
0:10.0,J. Winslow misses 2-pt shot from 22 ft,,58-57,,
0:06.0,,,58-57,,Defensive rebound by B. Forbes
0:00.0,,,58-57,,R. Gay misses 3-pt shot from 25 ft
0:00.0,,,58-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,58-57,,L. Aldridge misses 2-pt shot from 13 ft
11:38.0,,,58-57,,Offensive rebound by Team
11:38.0,Personal foul by J. Johnson (drawn by R. Gay),,58-57,,
11:38.0,J. Winslow enters the game for J. Johnson,,58-57,,
11:22.0,,,58-57,,B. Forbes misses 2-pt shot from 2 ft
11:20.0,Defensive rebound by K. Olynyk,,58-57,,
11:10.0,J. Richardson makes 3-pt shot from 23 ft (assist by J. Winslow),3,61-57,,
10:50.0,,,61-57,,R. Gay misses 2-pt shot from 22 ft
10:47.0,Defensive rebound by G. Dragic,,61-57,,
10:45.0,J. Winslow misses 2-pt shot from 1 ft (block by D. Green),,61-57,,
10:45.0,,,61-57,,Defensive rebound by T. Parker
10:26.0,,,61-59,2,D. Green makes 2-pt shot from 9 ft (assist by B. Forbes)
10:06.0,G. Dragic misses 2-pt shot from 1 ft,,61-59,,
10:04.0,,,61-59,,Defensive rebound by B. Forbes
9:46.0,,,61-59,,T. Parker misses 2-pt shot from 7 ft
9:42.0,,,61-59,,Offensive rebound by L. Aldridge
9:42.0,,,61-61,2,L. Aldridge makes 2-pt shot at rim
9:27.0,J. Winslow misses 3-pt shot from 22 ft,,61-61,,
9:22.0,,,61-61,,Defensive rebound by T. Parker
9:13.0,,,61-63,2,R. Gay makes 2-pt shot from 10 ft (assist by T. Parker)
8:59.0,G. Dragic misses 2-pt shot from 5 ft (block by T. Parker),,61-63,,
8:59.0,,,61-63,,Defensive rebound by Team
8:45.0,,,61-66,3,B. Forbes makes 3-pt shot from 24 ft (assist by T. Parker)
8:26.0,J. Winslow misses 2-pt shot from 2 ft,,61-66,,
8:21.0,Offensive rebound by J. Winslow,,61-66,,
8:21.0,J. Winslow makes 2-pt shot at rim,2,63-66,,
8:07.0,,,63-66,,T. Parker misses 2-pt shot from 16 ft
8:00.0,,,63-66,,Offensive rebound by R. Gay
8:00.0,,,63-66,,R. Gay misses 2-pt shot at rim
8:00.0,Defensive rebound by K. Olynyk,,63-66,,
7:53.0,Turnover by G. Dragic (turnover),,63-66,,
7:36.0,,,63-68,2,D. Green makes 2-pt shot from 1 ft
7:26.0,D. Waiters makes 3-pt shot from 25 ft,3,66-68,,
7:03.0,,,66-68,,Offensive foul by L. Aldridge (drawn by J. Richardson)
7:03.0,,,66-68,,Turnover by L. Aldridge (offensive foul)
7:03.0,,,66-68,,P. Mills enters the game for T. Parker
6:41.0,J. Winslow misses 3-pt shot from 22 ft,,66-68,,
6:39.0,,,66-68,,Defensive rebound by P. Mills
6:35.0,,,66-71,3,B. Forbes makes 3-pt shot from 25 ft (assist by P. Mills)
6:18.0,Offensive charge foul by J. Richardson (drawn by P. Mills),,66-71,,
6:18.0,Turnover by J. Richardson (offensive foul),,66-71,,
6:18.0,,,66-71,,San Antonio full timeout
6:18.0,,,66-71,,M. Ginobili enters the game for D. Green
5:55.0,,,66-71,,L. Aldridge misses 2-pt shot from 13 ft
5:53.0,Defensive rebound by K. Olynyk,,66-71,,
5:46.0,Turnover by D. Waiters (bad pass),,66-71,,
5:34.0,,,66-71,,Shooting foul by D. Waiters (drawn by M. Ginobili)
5:34.0,,,66-72,1,M. Ginobili makes free throw 1 of 2
5:34.0,,,66-72,,D. Bertans enters the game for R. Gay
5:34.0,T. Johnson enters the game for G. Dragic,,66-72,,
5:34.0,,,66-73,1,M. Ginobili makes free throw 2 of 2
5:17.0,,,66-73,,Personal block foul by D. Bertans (drawn by J. Winslow)
5:13.0,D. Waiters makes 3-pt shot from 24 ft (assist by K. Olynyk),3,69-73,,
4:49.0,,,69-73,,P. Mills misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by Team,,69-73,,
4:29.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Winslow),3,72-73,,
4:09.0,,,72-73,,L. Aldridge misses 2-pt shot at rim
4:05.0,Defensive rebound by K. Olynyk,,72-73,,
3:57.0,K. Olynyk makes 3-pt shot from 25 ft (assist by D. Waiters),3,75-73,,
3:42.0,,,75-76,3,B. Forbes makes 3-pt shot from 24 ft (assist by P. Mills)
3:22.0,,,75-76,,Personal block foul by D. Bertans (drawn by D. Waiters)
3:22.0,,,75-76,,D. Green enters the game for B. Forbes
3:19.0,D. Waiters misses 2-pt shot from 20 ft,,75-76,,
3:17.0,,,75-76,,Defensive rebound by D. Bertans
3:11.0,,,75-79,3,P. Mills makes 3-pt shot from 25 ft
3:09.0,Miami full timeout,,75-79,,
3:09.0,,,75-79,,P. Gasol enters the game for L. Aldridge
2:52.0,T. Johnson makes 3-pt shot from 25 ft (assist by K. Olynyk),3,78-79,,
2:41.0,,,78-79,,Turnover by M. Ginobili (bad pass)
2:41.0,W. Ellington enters the game for J. Richardson,,78-79,,
2:17.0,Turnover by Team (shot clock),,78-79,,
2:03.0,,,78-81,2,D. Bertans makes 2-pt shot from 1 ft
1:43.0,Turnover by K. Olynyk (bad pass; steal by D. Green),,78-81,,
1:37.0,,,78-81,,D. Bertans misses 3-pt shot from 23 ft
1:35.0,,,78-81,,Offensive rebound by P. Mills
1:32.0,,,78-81,,M. Ginobili misses 3-pt shot from 25 ft
1:32.0,,,78-81,,Offensive rebound by Team
1:32.0,Loose ball foul by K. Olynyk (drawn by P. Gasol),,78-81,,
1:32.0,B. Adebayo enters the game for K. Olynyk,,78-81,,
1:21.0,,,78-81,,Turnover by M. Ginobili (bad pass; steal by T. Johnson)
1:20.0,Shooting foul by P. Mills (drawn by T. Johnson),,78-81,,
1:20.0,T. Johnson makes free throw 1 of 2,1,79-81,,
1:20.0,,,79-81,,R. Gay enters the game for D. Bertans
1:20.0,G. Dragic enters the game for D. Waiters,,79-81,,
1:20.0,T. Johnson misses free throw 2 of 2,,79-81,,
1:15.0,Offensive rebound by B. Adebayo,,79-81,,
1:12.0,J. Winslow misses 3-pt shot from 23 ft,,79-81,,
1:07.0,,,79-81,,Defensive rebound by P. Mills
0:44.0,,,79-83,2,P. Gasol makes 2-pt shot from 1 ft
0:25.0,T. Johnson makes 3-pt shot from 25 ft,3,82-83,,
0:02.0,,,82-86,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Mills)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Adebayo makes 2-pt shot at rim (assist by T. Johnson),2,84-86,,
11:32.0,,,84-88,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Green)
11:09.0,Turnover by T. Johnson (lost ball; steal by D. Green),,84-88,,
10:59.0,,,84-90,2,P. Gasol makes 2-pt shot from 1 ft (assist by R. Gay)
10:46.0,G. Dragic misses 2-pt shot from 16 ft,,84-90,,
10:42.0,,,84-90,,Defensive rebound by P. Gasol
10:32.0,,,84-93,3,P. Mills makes 3-pt shot from 23 ft (assist by R. Gay)
10:31.0,Miami full timeout,,84-93,,
10:31.0,,,84-93,,T. Parker enters the game for P. Mills
10:31.0,,,84-93,,B. Forbes enters the game for M. Ginobili
10:12.0,J. Johnson misses 2-pt shot from 1 ft (block by P. Gasol),,84-93,,
10:09.0,,,84-93,,Defensive rebound by P. Gasol
9:55.0,,,84-93,,R. Gay misses 2-pt shot from 1 ft
9:55.0,Defensive rebound by G. Dragic,,84-93,,
9:48.0,Shooting foul by P. Gasol (drawn by T. Johnson),,84-93,,
9:48.0,T. Johnson misses free throw 1 of 2,,84-93,,
9:48.0,Offensive rebound by Team,,84-93,,
9:48.0,T. Johnson makes free throw 2 of 2,1,85-93,,
9:32.0,,,85-93,,Offensive foul by B. Forbes (drawn by T. Johnson)
9:32.0,,,85-93,,Turnover by B. Forbes (offensive foul)
9:23.0,G. Dragic makes 2-pt shot from 16 ft,2,87-93,,
9:00.0,,,87-95,2,T. Parker makes 2-pt shot from 10 ft (assist by P. Gasol)
8:48.0,W. Ellington misses 3-pt shot from 24 ft,,87-95,,
8:48.0,,,87-95,,Defensive rebound by B. Forbes
8:38.0,,,87-97,2,R. Gay makes 2-pt shot from 2 ft
8:21.0,J. Johnson misses 2-pt shot from 1 ft (block by D. Green),,87-97,,
8:21.0,,,87-97,,Defensive rebound by D. Green
8:18.0,Shooting block foul by T. Johnson (drawn by R. Gay),,87-97,,
8:18.0,,,87-98,1,R. Gay makes free throw 1 of 2
8:18.0,K. Olynyk enters the game for B. Adebayo,,87-98,,
8:18.0,,,87-98,,R. Gay misses free throw 2 of 2
8:15.0,Defensive rebound by W. Ellington,,87-98,,
8:13.0,Miami full timeout,,87-98,,
8:13.0,J. Richardson enters the game for T. Johnson,,87-98,,
8:05.0,J. Richardson makes 2-pt shot from 1 ft (assist by J. Johnson),2,89-98,,
7:43.0,,,89-100,2,T. Parker makes 2-pt shot from 19 ft (assist by P. Gasol)
7:29.0,Turnover by J. Johnson (bad pass),,89-100,,
7:13.0,,,89-102,2,T. Parker makes 2-pt shot at rim
6:59.0,Turnover by J. Richardson (bad pass; steal by R. Gay),,89-102,,
6:58.0,,,89-102,,Shooting foul by J. Richardson (drawn by R. Gay)
6:58.0,,,89-103,1,R. Gay makes free throw 1 of 2
6:58.0,,,89-103,,P. Mills enters the game for T. Parker
6:58.0,,,89-103,,L. Aldridge enters the game for P. Gasol
6:58.0,D. Waiters enters the game for G. Dragic,,89-103,,
6:58.0,,,89-104,1,R. Gay makes free throw 2 of 2
6:45.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson),3,92-104,,
6:22.0,,,92-107,3,D. Green makes 3-pt shot from 22 ft (assist by B. Forbes)
6:04.0,Shooting foul by D. Green (drawn by D. Waiters),,92-107,,
6:04.0,D. Waiters makes free throw 1 of 2,1,93-107,,
6:04.0,,,93-107,,M. Ginobili enters the game for D. Green
6:04.0,T. Johnson enters the game for W. Ellington,,93-107,,
6:04.0,D. Waiters makes free throw 2 of 2,1,94-107,,
5:44.0,,,94-107,,L. Aldridge misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by K. Olynyk,,94-107,,
5:31.0,D. Waiters misses 3-pt shot from 23 ft,,94-107,,
5:31.0,,,94-107,,Defensive rebound by R. Gay
5:13.0,,,94-109,2,R. Gay makes 2-pt shot at rim (assist by M. Ginobili)
4:55.0,D. Waiters makes 2-pt shot at rim,2,96-109,,
4:38.0,,,96-109,,P. Mills misses 3-pt shot from 25 ft
4:36.0,Defensive rebound by T. Johnson,,96-109,,
4:28.0,,,96-109,,Personal foul by P. Mills (drawn by K. Olynyk)
4:28.0,,,96-109,,D. Bertans enters the game for R. Gay
4:19.0,J. Richardson makes 2-pt shot from 12 ft,2,98-109,,
4:19.0,,,98-109,,San Antonio full timeout
3:56.0,,,98-109,,Turnover by M. Ginobili (bad pass; steal by K. Olynyk)
3:48.0,Turnover by K. Olynyk (bad pass),,98-109,,
3:37.0,,,98-109,,M. Ginobili misses 2-pt shot at rim (block by K. Olynyk)
3:37.0,,,98-109,,Offensive rebound by Team
3:34.0,,,98-109,,M. Ginobili misses 2-pt shot from 14 ft
3:32.0,Defensive rebound by T. Johnson,,98-109,,
3:24.0,Shooting foul by L. Aldridge (drawn by J. Richardson),,98-109,,
3:24.0,J. Richardson makes free throw 1 of 2,1,99-109,,
3:24.0,J. Richardson makes free throw 2 of 2,1,100-109,,
3:11.0,,,100-109,,M. Ginobili misses 2-pt shot from 11 ft
3:09.0,Defensive rebound by J. Johnson,,100-109,,
3:03.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,103-109,,
3:02.0,,,103-109,,San Antonio full timeout
3:02.0,,,103-109,,D. Green enters the game for D. Bertans
3:02.0,,,103-109,,R. Gay enters the game for B. Forbes
2:48.0,,,103-111,2,P. Mills makes 2-pt shot from 16 ft
2:35.0,T. Johnson misses 3-pt shot from 25 ft,,103-111,,
2:32.0,,,103-111,,Defensive rebound by M. Ginobili
2:20.0,,,103-111,,P. Mills misses 2-pt shot at rim
2:14.0,,,103-111,,Offensive rebound by L. Aldridge
2:14.0,,,103-113,2,L. Aldridge makes 2-pt shot at rim
2:03.0,J. Richardson misses 3-pt shot from 25 ft,,103-113,,
1:56.0,,,103-113,,Defensive rebound by R. Gay
1:46.0,,,103-113,,Shooting foul by K. Olynyk (drawn by L. Aldridge)
1:46.0,,,103-114,1,L. Aldridge makes free throw 1 of 2
1:46.0,,,103-115,1,L. Aldridge makes free throw 2 of 2
1:34.0,D. Waiters makes 2-pt shot from 17 ft,2,105-115,,
1:21.0,,,105-117,2,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Mills)
1:10.0,Turnover by D. Waiters (lost ball; steal by R. Gay),,105-117,,
1:01.0,,,105-117,,Turnover by R. Gay (bad pass; steal by K. Olynyk)
1:01.0,,,105-117,,Violation by R. Gay (kicked ball)
1:01.0,,,105-117,,D. Murray enters the game for P. Mills
1:01.0,,,105-117,,B. Forbes enters the game for L. Aldridge
1:01.0,,,105-117,,B. Paul enters the game for M. Ginobili
1:01.0,,,105-117,,D. Bertans enters the game for D. Green
0:55.0,Turnover by J. Johnson (bad pass; steal by R. Gay),,105-117,,
0:39.0,,,105-117,,R. Gay misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by J. Richardson,,105-117,,
0:26.0,D. Waiters misses 3-pt shot from 27 ft,,105-117,,
0:22.0,,,105-117,,Defensive rebound by R. Gay
