time,Utah,pts.away,score,pts.home,Portland
1:52.0,J. Crowder makes 3-pt shot from 25 ft (assist by D. Exum),3,19-25,,
1:29.0,,,19-25,,D. Lillard misses 2-pt shot from 1 ft (block by D. Favors)
1:27.0,,,19-25,,Offensive rebound by E. Davis
1:25.0,,,19-25,,E. Davis misses 2-pt shot from 5 ft (block by D. Favors)
1:25.0,,,19-25,,Offensive rebound by W. Baldwin
1:11.0,,,19-25,,W. Baldwin misses 2-pt shot from 10 ft
1:11.0,,,19-25,,Offensive rebound by Team
1:10.0,Loose ball foul by R. O'Neale (drawn by E. Davis),,19-25,,
1:10.0,J. Jerebko enters the game for D. Mitchell,,19-25,,
0:54.0,,,19-28,3,P. Connaughton makes 3-pt shot from 27 ft (assist by Z. Collins)
0:38.0,D. Favors misses 2-pt shot from 5 ft,,19-28,,
0:37.0,,,19-28,,Defensive rebound by P. Connaughton
0:32.0,,,19-28,,D. Lillard misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by R. O'Neale,,19-28,,
0:23.0,R. O'Neale misses 2-pt shot from 11 ft,,19-28,,
0:22.0,Offensive rebound by D. Favors,,19-28,,
0:22.0,D. Favors makes 2-pt shot at rim,2,21-28,,
0:00.0,,,21-28,,P. Connaughton misses 3-pt shot from 22 ft (block by J. Jerebko)
0:00.0,,,21-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Jerebko misses 2-pt shot from 5 ft,,21-28,,
11:44.0,,,21-28,,Defensive rebound by C. McCollum
11:31.0,,,21-31,3,C. McCollum makes 3-pt shot from 26 ft (assist by P. Connaughton)
11:09.0,D. Favors misses 3-pt shot from 23 ft,,21-31,,
11:06.0,,,21-31,,Defensive rebound by Z. Collins
10:55.0,,,21-33,2,C. McCollum makes 2-pt shot from 14 ft
10:40.0,,,21-33,,Personal foul by P. Connaughton (drawn by J. Ingles)
10:40.0,R. O'Neale enters the game for J. Jerebko,,21-33,,
10:29.0,D. Exum makes 2-pt shot from 1 ft,2,23-33,,
10:07.0,,,23-33,,C. McCollum misses 3-pt shot from 26 ft
10:05.0,Defensive rebound by J. Crowder,,23-33,,
9:56.0,Turnover by J. Ingles (bad pass; steal by Z. Collins),,23-33,,
9:53.0,Personal foul by J. Ingles (drawn by C. McCollum),,23-33,,
9:45.0,Personal foul by R. O'Neale (drawn by C. McCollum),,23-33,,
9:40.0,Violation by D. Favors (kicked ball),,23-33,,
9:32.0,,,23-33,,S. Napier misses 2-pt shot from 20 ft
9:29.0,Defensive rebound by R. O'Neale,,23-33,,
9:22.0,R. O'Neale misses 2-pt shot from 1 ft,,23-33,,
9:20.0,,,23-33,,Defensive rebound by S. Napier
9:04.0,,,23-33,,C. McCollum misses 2-pt shot from 9 ft
9:04.0,Defensive rebound by Team,,23-33,,
9:04.0,,,23-33,,Loose ball foul by E. Davis (drawn by R. O'Neale)
9:04.0,R. Gobert enters the game for J. Crowder,,23-33,,
8:48.0,R. Gobert misses 2-pt shot from 2 ft,,23-33,,
8:46.0,,,23-33,,Defensive rebound by E. Davis
8:31.0,,,23-33,,C. McCollum misses 2-pt shot from 17 ft
8:28.0,Defensive rebound by R. O'Neale,,23-33,,
8:22.0,D. Exum misses 2-pt shot from 3 ft,,23-33,,
8:20.0,,,23-33,,Defensive rebound by E. Davis
8:15.0,,,23-35,2,S. Napier makes 2-pt shot from 1 ft (assist by C. McCollum)
8:15.0,Utah full timeout,,23-35,,
8:15.0,,,23-35,,E. Turner enters the game for P. Connaughton
8:15.0,R. Rubio enters the game for D. Exum,,23-35,,
8:04.0,J. Ingles misses 2-pt shot from 10 ft,,23-35,,
7:58.0,Offensive rebound by J. Ingles,,23-35,,
7:55.0,Jump ball: C. McCollum vs. J. Ingles (R. Gobert gains possession),,,,Jump ball: C. McCollum vs. J. Ingles (R. Gobert gains possession)
7:44.0,R. Rubio makes 2-pt shot from 17 ft,2,25-35,,
7:30.0,,,25-35,,Offensive foul by Z. Collins (drawn by R. O'Neale)
7:30.0,,,25-35,,Turnover by Z. Collins (offensive foul)
7:30.0,D. Mitchell enters the game for J. Ingles,,25-35,,
7:16.0,R. Rubio misses 2-pt shot from 19 ft,,25-35,,
7:14.0,,,25-35,,Defensive rebound by Team
6:55.0,,,25-37,2,E. Turner makes 2-pt shot from 14 ft
6:36.0,R. Rubio makes 2-pt shot from 1 ft,2,27-37,,
6:23.0,,,27-39,2,C. McCollum makes 2-pt shot at rim
6:05.0,R. Rubio misses 2-pt shot from 12 ft,,27-39,,
6:02.0,Offensive rebound by R. Gobert,,27-39,,
6:00.0,D. Mitchell misses 2-pt shot from 2 ft (block by Z. Collins),,27-39,,
6:00.0,Offensive rebound by Team,,27-39,,
6:00.0,,,27-39,,J. Nurkic enters the game for E. Davis
6:00.0,,,27-39,,A. Aminu enters the game for Z. Collins
6:00.0,J. Crowder enters the game for D. Favors,,27-39,,
5:56.0,R. O'Neale misses 2-pt shot from 11 ft,,27-39,,
5:53.0,,,27-39,,Defensive rebound by A. Aminu
5:48.0,,,27-39,,Shooting foul by R. Rubio (drawn by S. Napier)
5:48.0,,,27-40,1,S. Napier makes free throw 1 of 2
5:48.0,,,27-40,,D. Lillard enters the game for C. McCollum
5:48.0,,,27-41,1,S. Napier makes free throw 2 of 2
5:34.0,R. Gobert misses 2-pt shot from 12 ft (block by J. Nurkic),,27-41,,
5:34.0,,,27-41,,Defensive rebound by E. Turner
5:27.0,,,27-41,,Turnover by E. Turner (lost ball; steal by D. Mitchell)
5:26.0,,,27-41,,Personal foul by S. Napier (drawn by R. Rubio)
5:16.0,D. Mitchell misses 3-pt shot from 22 ft,,27-41,,
5:11.0,Offensive rebound by J. Crowder,,27-41,,
5:08.0,R. Rubio misses 2-pt shot from 13 ft,,27-41,,
5:08.0,,,27-41,,Defensive rebound by A. Aminu
4:57.0,,,27-41,,J. Nurkic misses 2-pt shot from 1 ft (block by R. Gobert)
4:57.0,,,27-41,,Offensive rebound by S. Napier
4:50.0,,,27-41,,S. Napier misses 3-pt shot from 26 ft
4:48.0,Defensive rebound by J. Crowder,,27-41,,
4:46.0,Shooting foul by A. Aminu (drawn by R. Gobert),,27-41,,
4:46.0,R. Gobert makes free throw 1 of 2,1,28-41,,
4:46.0,,,28-41,,W. Baldwin enters the game for S. Napier
4:46.0,R. Gobert misses free throw 2 of 2,,28-41,,
4:45.0,,,28-41,,Defensive rebound by Team
4:36.0,Personal foul by R. Rubio (drawn by A. Aminu),,28-41,,
4:28.0,,,28-41,,Turnover by J. Nurkic (traveling)
4:20.0,R. Rubio makes 2-pt shot from 1 ft,2,30-41,,
4:08.0,,,30-41,,J. Nurkic misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by R. Gobert,,30-41,,
3:59.0,R. O'Neale makes 3-pt shot from 23 ft (assist by R. Rubio),3,33-41,,
3:57.0,,,33-41,,Portland full timeout
3:44.0,,,33-41,,D. Lillard misses 2-pt shot from 13 ft
3:42.0,Defensive rebound by R. O'Neale,,33-41,,
3:39.0,Turnover by R. Rubio (bad pass),,33-41,,
3:29.0,,,33-44,3,D. Lillard makes 3-pt shot from 26 ft (assist by E. Turner)
3:11.0,Turnover by J. Crowder (lost ball; steal by E. Turner),,33-44,,
3:02.0,,,33-44,,A. Aminu misses 3-pt shot from 25 ft
2:59.0,Defensive rebound by J. Crowder,,33-44,,
2:49.0,D. Mitchell makes 2-pt shot at rim,2,35-44,,
2:32.0,,,35-44,,E. Turner misses 2-pt shot from 16 ft
2:29.0,Defensive rebound by R. Rubio,,35-44,,
2:24.0,J. Crowder misses 2-pt shot from 22 ft,,35-44,,
2:22.0,,,35-44,,Defensive rebound by A. Aminu
2:11.0,,,35-46,2,D. Lillard makes 2-pt shot from 14 ft
1:54.0,D. Mitchell misses 2-pt shot from 5 ft,,35-46,,
1:52.0,,,35-46,,Defensive rebound by A. Aminu
1:49.0,,,35-48,2,W. Baldwin makes 2-pt shot from 1 ft
1:49.0,,,35-48,,Shooting foul by R. Rubio (drawn by W. Baldwin)
1:49.0,J. Ingles enters the game for R. Rubio,,35-48,,
1:49.0,,,35-49,1,W. Baldwin makes free throw 1 of 1
1:29.0,J. Crowder makes 2-pt shot from 1 ft (assist by D. Mitchell),2,37-49,,
1:05.0,,,37-49,,Shooting foul by D. Mitchell (drawn by D. Lillard)
1:05.0,,,37-50,1,D. Lillard makes free throw 1 of 2
1:05.0,,,37-50,,C. McCollum enters the game for W. Baldwin
1:05.0,,,37-51,1,D. Lillard makes free throw 2 of 2
0:55.0,D. Mitchell misses 3-pt shot from 25 ft,,37-51,,
0:53.0,,,37-51,,Defensive rebound by J. Nurkic
0:35.0,,,37-53,2,D. Lillard makes 2-pt shot from 9 ft
0:31.0,D. Mitchell makes 2-pt shot at rim,2,39-53,,
0:31.0,Shooting foul by E. Turner (drawn by D. Mitchell),,39-53,,
0:31.0,D. Mitchell misses free throw 1 of 1,,39-53,,
0:31.0,,,39-53,,Defensive rebound by J. Nurkic
0:10.0,,,39-55,2,D. Lillard makes 2-pt shot from 19 ft
0:00.0,D. Mitchell makes 2-pt shot from 1 ft,2,41-55,,
0:00.0,,,41-55,,Turnover by J. Nurkic (bad pass; steal by J. Crowder)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by D. Mitchell (lost ball; steal by E. Turner),,41-55,,
11:35.0,,,41-57,2,C. McCollum makes 2-pt shot from 11 ft
11:22.0,,,41-57,,Def 3 sec tech foul by J. Nurkic
11:22.0,R. Rubio makes technical free throw,1,42-57,,
11:18.0,,,42-57,,Personal foul by C. McCollum (drawn by R. Gobert)
11:12.0,Turnover by R. Rubio (bad pass; steal by A. Aminu),,42-57,,
11:07.0,,,42-59,2,A. Aminu makes 2-pt shot from 1 ft
10:49.0,J. Ingles misses 2-pt shot from 6 ft,,42-59,,
10:44.0,Offensive rebound by R. Gobert,,42-59,,
10:44.0,R. Gobert misses 2-pt shot at rim,,42-59,,
10:43.0,,,42-59,,Defensive rebound by E. Turner
10:37.0,,,42-59,,C. McCollum misses 2-pt shot from 4 ft
10:37.0,,,42-59,,Offensive rebound by Team
10:37.0,Loose ball foul by R. Gobert (drawn by J. Nurkic),,42-59,,
10:31.0,,,42-59,,D. Lillard misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by R. Gobert,,42-59,,
10:20.0,D. Mitchell misses 2-pt shot from 18 ft,,42-59,,
10:16.0,,,42-59,,Defensive rebound by E. Turner
10:09.0,,,42-61,2,D. Lillard makes 2-pt shot at rim
9:57.0,R. Rubio makes 2-pt shot from 12 ft,2,44-61,,
9:43.0,,,44-61,,E. Turner misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by D. Favors,,44-61,,
9:31.0,Turnover by R. Rubio (bad pass; steal by E. Turner),,44-61,,
9:30.0,Personal foul by D. Mitchell (drawn by E. Turner),,44-61,,
9:15.0,,,44-61,,J. Nurkic misses 2-pt shot from 3 ft
9:13.0,Defensive rebound by D. Mitchell,,44-61,,
9:06.0,,,44-61,,Violation by J. Nurkic (kicked ball)
9:01.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell),2,46-61,,
8:48.0,,,46-61,,D. Lillard misses 2-pt shot from 14 ft
8:45.0,Defensive rebound by D. Favors,,46-61,,
8:37.0,D. Mitchell misses 2-pt shot from 2 ft (block by J. Nurkic),,46-61,,
8:34.0,Offensive rebound by R. Gobert,,46-61,,
8:32.0,R. Gobert makes 2-pt shot from 1 ft,2,48-61,,
8:19.0,,,48-61,,A. Aminu misses 2-pt shot from 15 ft
8:16.0,Defensive rebound by D. Mitchell,,48-61,,
8:09.0,D. Mitchell misses 2-pt shot from 10 ft,,48-61,,
8:07.0,,,48-61,,Defensive rebound by J. Nurkic
7:55.0,,,48-63,2,J. Nurkic makes 2-pt shot from 2 ft (assist by C. McCollum)
7:38.0,Turnover by J. Ingles (out of bounds lost ball),,48-63,,
7:38.0,,,48-63,,Portland full timeout
7:38.0,R. O'Neale enters the game for J. Ingles,,48-63,,
7:38.0,J. Crowder enters the game for D. Favors,,48-63,,
7:23.0,,,48-63,,J. Nurkic misses 2-pt shot from 7 ft
7:21.0,Defensive rebound by R. O'Neale,,48-63,,
7:10.0,,,48-63,,Personal foul by E. Turner (drawn by R. Gobert)
6:58.0,D. Mitchell misses 3-pt shot from 26 ft,,48-63,,
6:55.0,Offensive rebound by R. Gobert,,48-63,,
6:50.0,Shooting foul by J. Nurkic (drawn by R. Rubio),,48-63,,
6:50.0,R. Rubio makes free throw 1 of 2,1,49-63,,
6:50.0,R. Rubio makes free throw 2 of 2,1,50-63,,
6:36.0,,,50-65,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
6:14.0,R. Rubio misses 2-pt shot from 17 ft,,50-65,,
6:12.0,,,50-65,,Defensive rebound by A. Aminu
6:04.0,,,50-65,,C. McCollum misses 2-pt shot from 18 ft
6:01.0,Defensive rebound by R. Rubio,,50-65,,
5:55.0,R. Rubio misses 2-pt shot from 1 ft (block by A. Aminu),,50-65,,
5:52.0,,,50-65,,Defensive rebound by J. Nurkic
5:43.0,,,50-65,,Shooting foul by J. Crowder (drawn by J. Nurkic)
5:43.0,,,50-65,,J. Nurkic misses free throw 1 of 2
5:43.0,,,50-65,,Offensive rebound by Team
5:43.0,,,50-65,,W. Baldwin enters the game for E. Turner
5:43.0,D. Exum enters the game for D. Mitchell,,50-65,,
5:43.0,,,50-65,,J. Nurkic misses free throw 2 of 2
5:40.0,Defensive rebound by R. Gobert,,50-65,,
5:30.0,J. Crowder misses 2-pt shot from 12 ft,,50-65,,
5:27.0,,,50-65,,Defensive rebound by A. Aminu
5:20.0,,,50-65,,D. Lillard misses 3-pt shot from 25 ft
5:18.0,,,50-65,,Offensive rebound by J. Nurkic
5:16.0,,,50-65,,J. Nurkic misses 2-pt shot from 6 ft (block by J. Crowder)
5:16.0,,,50-65,,Offensive rebound by C. McCollum
5:13.0,,,50-67,2,C. McCollum makes 2-pt shot from 1 ft
5:13.0,Utah full timeout,,50-67,,
5:00.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,52-67,,
4:44.0,,,52-70,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
4:34.0,,,52-70,,Personal foul by W. Baldwin (drawn by R. Rubio)
4:34.0,R. Neto enters the game for R. Rubio,,52-70,,
4:27.0,J. Crowder makes 3-pt shot from 25 ft (assist by R. Gobert),3,55-70,,
4:15.0,,,55-70,,Shooting foul by R. O'Neale (drawn by D. Lillard)
4:15.0,,,55-71,1,D. Lillard makes free throw 1 of 2
4:15.0,,,55-71,,Z. Collins enters the game for A. Aminu
4:15.0,,,55-71,,E. Davis enters the game for J. Nurkic
4:15.0,D. Favors enters the game for R. Gobert,,55-71,,
4:15.0,,,55-72,1,D. Lillard makes free throw 2 of 2
3:56.0,,,55-72,,Personal foul by W. Baldwin (drawn by D. Exum)
3:56.0,D. Exum makes free throw 1 of 2,1,56-72,,
3:56.0,,,56-72,,P. Connaughton enters the game for C. McCollum
3:56.0,D. Exum makes free throw 2 of 2,1,57-72,,
3:41.0,,,57-74,2,E. Davis makes 2-pt shot from 1 ft (assist by D. Lillard)
3:22.0,J. Crowder misses 3-pt shot from 26 ft,,57-74,,
3:19.0,,,57-74,,Defensive rebound by Z. Collins
3:12.0,,,57-74,,D. Lillard misses 2-pt shot from 3 ft
3:08.0,Defensive rebound by D. Favors,,57-74,,
2:59.0,D. Exum misses 3-pt shot from 25 ft,,57-74,,
2:57.0,,,57-74,,Defensive rebound by E. Davis
2:43.0,,,57-74,,Turnover by E. Davis (bad pass; steal by R. Neto)
2:43.0,,,57-74,,Personal foul by Z. Collins (drawn by R. Neto)
2:43.0,R. Neto misses free throw 1 of 2,,57-74,,
2:43.0,Offensive rebound by Team,,57-74,,
2:43.0,,,57-74,,S. Napier enters the game for W. Baldwin
2:43.0,R. Neto misses free throw 2 of 2,,57-74,,
2:41.0,,,57-74,,Defensive rebound by Z. Collins
2:24.0,,,57-74,,D. Lillard misses 2-pt shot from 2 ft (block by D. Favors)
2:20.0,Defensive rebound by R. Neto,,57-74,,
2:18.0,J. Crowder misses 2-pt shot from 1 ft,,57-74,,
2:16.0,,,57-74,,Defensive rebound by E. Davis
2:06.0,,,57-74,,E. Davis misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by J. Crowder,,57-74,,
1:54.0,J. Crowder makes 2-pt shot at rim (assist by R. O'Neale),2,59-74,,
1:31.0,,,59-76,2,P. Connaughton makes 2-pt shot at rim (assist by D. Lillard)
1:18.0,R. Neto misses 3-pt shot from 25 ft,,59-76,,
1:14.0,,,59-76,,Defensive rebound by E. Davis
0:58.0,,,59-76,,S. Napier misses 2-pt shot from 12 ft
0:56.0,,,59-76,,Offensive rebound by E. Davis
0:37.0,,,59-78,2,D. Lillard makes 2-pt shot from 6 ft
0:27.0,J. Crowder misses 2-pt shot from 18 ft,,59-78,,
0:24.0,,,59-78,,Defensive rebound by S. Napier
0:03.0,,,59-80,2,D. Lillard makes 2-pt shot from 3 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,59-82,2,S. Napier makes 2-pt shot from 1 ft
11:22.0,D. Exum makes 2-pt shot from 1 ft,2,61-82,,
11:04.0,,,61-85,3,S. Napier makes 3-pt shot from 25 ft (assist by C. McCollum)
10:51.0,D. Favors makes 2-pt shot from 19 ft (assist by D. Exum),2,63-85,,
10:24.0,,,63-85,,Z. Collins misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by D. Mitchell,,63-85,,
10:07.0,D. Exum misses 2-pt shot from 7 ft,,63-85,,
10:05.0,Offensive rebound by D. Favors,,63-85,,
10:05.0,Shooting foul by P. Connaughton (drawn by D. Favors),,63-85,,
10:05.0,D. Favors makes free throw 1 of 2,1,64-85,,
10:05.0,D. Favors makes free throw 2 of 2,1,65-85,,
9:49.0,,,65-85,,Offensive foul by E. Davis (drawn by D. Favors)
9:49.0,,,65-85,,Turnover by E. Davis (offensive foul)
9:39.0,D. Favors misses 2-pt shot from 1 ft (block by E. Davis),,65-85,,
9:36.0,,,65-85,,Defensive rebound by Z. Collins
9:25.0,,,65-85,,C. McCollum misses 2-pt shot from 11 ft
9:23.0,Defensive rebound by D. Mitchell,,65-85,,
9:19.0,,,65-85,,Personal foul by P. Connaughton (drawn by D. Mitchell)
9:19.0,R. Neto enters the game for D. Exum,,65-85,,
9:19.0,R. Gobert enters the game for D. Favors,,65-85,,
9:13.0,D. Mitchell misses 2-pt shot from 2 ft,,65-85,,
9:11.0,,,65-85,,Defensive rebound by E. Davis
8:59.0,,,65-85,,S. Napier misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by R. Gobert,,65-85,,
8:49.0,R. Gobert misses 2-pt shot from 9 ft,,65-85,,
8:48.0,Offensive rebound by Team,,65-85,,
8:48.0,,,65-85,,J. Nurkic enters the game for E. Davis
8:48.0,,,65-85,,A. Aminu enters the game for Z. Collins
8:42.0,D. Mitchell makes 3-pt shot from 26 ft (assist by J. Ingles),3,68-85,,
8:17.0,,,68-85,,C. McCollum misses 2-pt shot from 12 ft
8:14.0,Defensive rebound by J. Jerebko,,68-85,,
8:06.0,J. Jerebko makes 3-pt shot from 25 ft (assist by R. Neto),3,71-85,,
8:04.0,,,71-85,,Portland full timeout
8:04.0,,,71-85,,E. Turner enters the game for P. Connaughton
8:04.0,,,71-85,,D. Lillard enters the game for S. Napier
7:47.0,,,71-85,,Turnover by J. Nurkic (turnover)
7:47.0,,,71-85,,Violation by J. Nurkic (kicked ball)
7:39.0,D. Mitchell makes 2-pt shot from 4 ft (assist by R. Neto),2,73-85,,
7:39.0,Shooting foul by E. Turner (drawn by D. Mitchell),,73-85,,
7:39.0,D. Mitchell makes free throw 1 of 1,1,74-85,,
7:26.0,,,74-87,2,D. Lillard makes 2-pt shot from 12 ft
7:14.0,D. Mitchell misses 2-pt shot from 15 ft,,74-87,,
7:09.0,Offensive rebound by R. Gobert,,74-87,,
7:00.0,R. Gobert misses 2-pt shot from 7 ft,,74-87,,
6:56.0,Offensive rebound by J. Jerebko,,74-87,,
6:56.0,J. Jerebko makes 2-pt shot at rim,2,76-87,,
6:45.0,,,76-87,,D. Lillard misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by J. Ingles,,76-87,,
6:35.0,R. Gobert misses 2-pt shot from 3 ft (block by J. Nurkic),,76-87,,
6:32.0,,,76-87,,Defensive rebound by D. Lillard
6:17.0,,,76-89,2,D. Lillard makes 2-pt shot from 18 ft
6:05.0,,,76-89,,Personal foul by C. McCollum (drawn by J. Ingles)
6:05.0,R. Rubio enters the game for R. Neto,,76-89,,
5:59.0,D. Mitchell misses 3-pt shot from 26 ft,,76-89,,
5:56.0,,,76-89,,Defensive rebound by C. McCollum
5:41.0,,,76-91,2,D. Lillard makes 2-pt shot from 19 ft
5:25.0,D. Mitchell makes 2-pt shot from 1 ft (assist by R. Rubio),2,78-91,,
5:08.0,,,78-93,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
