time,Philadelphia,pts.away,score,pts.home,New Orleans
6:48.0,Personal foul by R. Holmes (drawn by D. Cousins),,14-11,,
6:42.0,,,14-11,,J. Holiday misses 2-pt shot from 1 ft
6:40.0,,,14-11,,Offensive rebound by A. Davis
6:40.0,,,14-11,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Davis)
6:40.0,,,14-12,1,A. Davis makes free throw 1 of 2
6:40.0,,,14-13,1,A. Davis makes free throw 2 of 2
6:18.0,R. Holmes misses 3-pt shot from 24 ft,,14-13,,
6:16.0,,,14-13,,Turnover by D. Cousins (bad pass)
6:16.0,F. Korkmaz enters the game for T. Luwawu-Cabarrot,,14-13,,
6:15.0,,,14-13,,Defensive rebound by D. Cousins
6:00.0,T. Booker misses 3-pt shot from 24 ft,,14-13,,
5:56.0,Offensive rebound by B. Simmons,,14-13,,
5:51.0,B. Simmons makes 2-pt shot from 8 ft,2,16-13,,
5:30.0,,,16-15,2,E. Moore makes 2-pt shot from 20 ft (assist by R. Rondo)
5:10.0,T. Booker misses 2-pt shot from 5 ft,,16-15,,
5:04.0,Offensive rebound by R. Holmes,,16-15,,
5:03.0,R. Holmes misses 2-pt shot from 2 ft,,16-15,,
5:03.0,,,16-15,,Defensive rebound by D. Cousins
5:01.0,,,16-15,,Shooting foul by R. Holmes (drawn by D. Cousins)
5:01.0,A. Johnson enters the game for R. Holmes,,16-15,,
5:01.0,,,16-15,,T. Allen enters the game for J. Holiday
5:01.0,,,16-15,,D. Miller enters the game for A. Davis
5:01.0,,,16-16,1,D. Cousins makes free throw 1 of 2
5:01.0,A. Johnson makes 2-pt shot from 2 ft,2,18-16,,
5:01.0,,,18-16,,D. Cousins misses free throw 2 of 2
4:48.0,Defensive rebound by A. Johnson,,18-16,,
4:48.0,Shooting foul by D. Cousins (drawn by A. Johnson),,18-16,,
4:48.0,A. Johnson makes free throw 1 of 1,1,19-16,,
4:29.0,,,19-18,2,D. Cousins makes 2-pt shot from 7 ft
4:03.0,A. Johnson misses 2-pt shot from 3 ft,,19-18,,
4:03.0,,,19-18,,Defensive rebound by R. Rondo
3:56.0,,,19-18,,D. Miller misses 3-pt shot from 27 ft
3:56.0,Defensive rebound by Team,,19-18,,
3:55.0,Philadelphia full timeout,,19-18,,
3:45.0,,,19-18,,Personal foul by T. Allen (drawn by B. Simmons)
3:45.0,J. Redick enters the game for B. Simmons,,19-18,,
3:45.0,,,19-18,,D. Cunningham enters the game for T. Allen
3:38.0,Turnover by J. Redick (bad pass),,19-18,,
3:27.0,,,19-18,,Shooting foul by J. Bayless (drawn by R. Rondo)
3:27.0,,,19-19,1,R. Rondo makes free throw 1 of 2
3:27.0,,,19-20,1,R. Rondo makes free throw 2 of 2
3:07.0,Turnover by J. Bayless (lost ball; steal by R. Rondo),,19-20,,
3:03.0,,,19-22,2,R. Rondo makes 2-pt shot from 1 ft (assist by E. Moore)
2:41.0,J. Redick makes 3-pt shot from 28 ft,3,22-22,,
2:30.0,,,22-22,,Shooting foul by A. Johnson (drawn by D. Cousins)
2:30.0,,,22-23,1,D. Cousins makes free throw 1 of 2
2:30.0,,,22-23,,J. Holiday enters the game for R. Rondo
2:30.0,,,22-23,,I. Clark enters the game for E. Moore
2:30.0,,,22-23,,D. Cousins misses free throw 2 of 2
2:28.0,Defensive rebound by T. Booker,,22-23,,
2:20.0,J. Redick misses 3-pt shot from 26 ft,,22-23,,
2:16.0,,,22-23,,Defensive rebound by D. Cousins
1:56.0,,,22-25,2,D. Miller makes 2-pt shot from 13 ft
1:34.0,T. Booker makes 2-pt shot from 6 ft,2,24-25,,
1:18.0,Personal foul by T. Booker (drawn by J. Holiday),,24-25,,
1:18.0,,,24-26,1,J. Holiday makes free throw 1 of 2
1:18.0,,,24-26,,A. Davis enters the game for D. Cousins
1:18.0,,,24-27,1,J. Holiday makes free throw 2 of 2
1:05.0,J. Bayless misses 3-pt shot from 24 ft,,24-27,,
1:02.0,,,24-27,,Defensive rebound by J. Holiday
0:59.0,,,24-27,,J. Holiday misses 2-pt shot from 7 ft (block by T. Booker)
0:59.0,,,24-27,,Offensive rebound by Team
0:50.0,,,24-29,2,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday)
0:40.0,J. Redick makes 2-pt shot from 18 ft (assist by A. Johnson),2,26-29,,
0:28.0,,,26-32,3,D. Miller makes 3-pt shot from 23 ft (assist by A. Davis)
0:06.0,J. Redick misses 3-pt shot from 26 ft,,26-32,,
0:02.0,Offensive rebound by F. Korkmaz,,26-32,,
0:00.0,F. Korkmaz misses 2-pt shot from 12 ft,,26-32,,
0:00.0,,,26-32,,Defensive rebound by A. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Saric makes 2-pt shot from 2 ft (assist by J. Redick),2,28-32,,
11:46.0,,,28-32,,Violation by A. Davis (def goaltending)
11:31.0,,,28-32,,D. Miller misses 2-pt shot from 11 ft
11:25.0,,,28-32,,Offensive rebound by D. Miller
11:20.0,,,28-32,,A. Davis misses 2-pt shot from 13 ft
11:17.0,Defensive rebound by D. Saric,,28-32,,
11:09.0,J. Bayless misses 3-pt shot from 25 ft,,28-32,,
11:05.0,,,28-32,,Defensive rebound by A. Davis
10:54.0,,,28-32,,I. Clark misses 2-pt shot from 19 ft
10:54.0,Defensive rebound by D. Saric,,28-32,,
10:38.0,J. Bayless misses 3-pt shot from 25 ft,,28-32,,
10:38.0,,,28-32,,Defensive rebound by D. Miller
10:34.0,,,28-32,,Turnover by J. Holiday (bad pass)
10:20.0,F. Korkmaz makes 3-pt shot from 26 ft (assist by D. Saric),3,31-32,,
10:02.0,,,31-34,2,J. Holiday makes 2-pt shot from 16 ft
9:46.0,A. Johnson makes 3-pt shot from 26 ft (assist by J. Redick),3,34-34,,
9:29.0,,,34-36,2,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Davis)
9:20.0,Turnover by A. Johnson (traveling),,34-36,,
9:20.0,B. Simmons enters the game for J. Bayless,,34-36,,
9:10.0,,,34-36,,J. Holiday misses 2-pt shot from 2 ft
9:10.0,Defensive rebound by Team,,34-36,,
9:01.0,B. Simmons makes 2-pt shot from 2 ft,2,36-36,,
8:44.0,,,36-36,,I. Clark misses 2-pt shot from 6 ft
8:44.0,,,36-36,,Offensive rebound by D. Cunningham
8:44.0,Loose ball foul by F. Korkmaz (drawn by D. Cunningham),,36-36,,
8:44.0,R. Holmes enters the game for A. Johnson,,36-36,,
8:35.0,,,36-36,,Turnover by J. Holiday (bad pass)
8:20.0,B. Simmons misses 2-pt shot from 3 ft,,36-36,,
8:18.0,Offensive rebound by R. Holmes,,36-36,,
8:16.0,R. Holmes misses 2-pt shot from 13 ft,,36-36,,
8:16.0,,,36-36,,Defensive rebound by D. Cunningham
8:04.0,,,36-39,3,D. Cunningham makes 3-pt shot from 22 ft (assist by J. Holiday)
7:50.0,F. Korkmaz misses 3-pt shot from 28 ft,,36-39,,
7:50.0,,,36-39,,Defensive rebound by Team
7:49.0,T. Luwawu-Cabarrot enters the game for F. Korkmaz,,36-39,,
7:32.0,,,36-39,,A. Davis misses 2-pt shot from 3 ft
7:32.0,Defensive rebound by D. Saric,,36-39,,
7:24.0,R. Holmes misses 2-pt shot from 3 ft,,36-39,,
7:24.0,,,36-39,,Defensive rebound by D. Cunningham
7:13.0,,,36-39,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Davis)
7:13.0,,,36-39,,A. Davis misses free throw 1 of 2
7:13.0,,,36-39,,Offensive rebound by Team
7:13.0,,,36-39,,D. Cousins enters the game for J. Holiday
7:13.0,,,36-39,,R. Rondo enters the game for D. Miller
7:13.0,,,36-39,,E. Moore enters the game for D. Cunningham
7:13.0,,,36-40,1,A. Davis makes free throw 2 of 2
7:00.0,D. Saric makes 3-pt shot from 23 ft (assist by B. Simmons),3,39-40,,
6:36.0,,,39-40,,D. Cousins misses 2-pt shot from 2 ft
6:33.0,Defensive rebound by D. Saric,,39-40,,
6:29.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by B. Simmons),2,41-40,,
6:21.0,,,41-43,3,I. Clark makes 3-pt shot from 24 ft (assist by R. Rondo)
6:10.0,B. Simmons makes 2-pt shot at rim,2,43-43,,
6:10.0,,,43-43,,New Orleans full timeout
5:58.0,,,43-43,,A. Davis misses 2-pt shot from 1 ft
5:56.0,Defensive rebound by J. Redick,,43-43,,
5:54.0,Turnover by B. Simmons (bad pass; steal by D. Cousins),,43-43,,
5:50.0,,,43-45,2,A. Davis makes 2-pt shot at rim (assist by D. Cousins)
5:31.0,R. Holmes makes 2-pt shot from 2 ft (assist by B. Simmons),2,45-45,,
5:20.0,,,45-48,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
5:01.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft,,45-48,,
4:55.0,Offensive rebound by R. Holmes,,45-48,,
4:55.0,R. Holmes makes 2-pt shot at rim,2,47-48,,
4:51.0,,,47-48,,Shooting foul by D. Saric (drawn by A. Davis)
4:51.0,,,47-48,,A. Davis misses free throw 1 of 2
4:51.0,,,47-48,,Offensive rebound by Team
4:51.0,J. Bayless enters the game for D. Saric,,47-48,,
4:51.0,T. Booker enters the game for J. Redick,,47-48,,
4:51.0,,,47-48,,J. Holiday enters the game for I. Clark
4:51.0,,,47-49,1,A. Davis makes free throw 2 of 2
4:31.0,R. Holmes makes 2-pt shot at rim (assist by B. Simmons),2,49-49,,
4:01.0,,,49-51,2,D. Cousins makes 2-pt shot from 21 ft
3:51.0,Turnover by B. Simmons (bad pass; steal by J. Holiday),,49-51,,
3:47.0,,,49-53,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
3:47.0,Philadelphia full timeout,,49-53,,
3:22.0,T. Luwawu-Cabarrot misses 2-pt shot from 19 ft,,49-53,,
3:15.0,Offensive rebound by R. Holmes,,49-53,,
3:15.0,R. Holmes makes 2-pt shot at rim,2,51-53,,
2:57.0,,,51-55,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
2:42.0,J. Bayless misses 2-pt shot from 20 ft,,51-55,,
2:42.0,Offensive rebound by T. Booker,,51-55,,
2:33.0,J. Bayless misses 2-pt shot from 18 ft,,51-55,,
2:33.0,,,51-55,,Defensive rebound by E. Moore
2:25.0,Personal foul by T. Booker (drawn by A. Davis),,51-55,,
2:25.0,J. Redick enters the game for J. Bayless,,51-55,,
2:14.0,,,51-55,,E. Moore misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by T. Booker,,51-55,,
2:07.0,,,51-55,,Shooting block foul by A. Davis (drawn by T. Booker)
2:07.0,T. Booker makes free throw 1 of 2,1,52-55,,
2:07.0,T. Booker makes free throw 2 of 2,1,53-55,,
1:48.0,,,53-57,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
1:48.0,,,53-57,,Shooting foul by J. Redick (drawn by D. Cousins)
1:48.0,,,53-58,1,D. Cousins makes free throw 1 of 1
1:34.0,J. Redick misses 3-pt shot from 25 ft,,53-58,,
1:30.0,Offensive rebound by B. Simmons,,53-58,,
1:22.0,T. Booker makes 2-pt shot from 5 ft (assist by B. Simmons),2,55-58,,
1:11.0,,,55-61,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
0:59.0,R. Holmes misses 2-pt shot from 9 ft,,55-61,,
0:57.0,,,55-61,,Defensive rebound by D. Cousins
0:51.0,,,55-61,,Offensive charge foul by D. Cousins (drawn by T. Booker)
0:51.0,,,55-61,,Turnover by D. Cousins (offensive foul)
0:51.0,,,55-61,,D. Cunningham enters the game for D. Cousins
0:35.0,B. Simmons misses 2-pt shot from 8 ft (block by A. Davis),,55-61,,
0:34.0,Offensive rebound by Team,,55-61,,
0:30.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft (block by A. Davis),,55-61,,
0:30.0,,,55-61,,Defensive rebound by R. Rondo
0:23.0,,,55-63,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
0:05.0,Turnover by B. Simmons (lost ball; steal by R. Rondo),,55-63,,
0:01.0,,,55-66,3,E. Moore makes 3-pt shot from 24 ft (assist by R. Rondo)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Johnson makes 2-pt shot from 2 ft (assist by J. Redick),2,57-66,,
11:26.0,,,57-66,,Shooting foul by A. Johnson (drawn by D. Cousins)
11:26.0,,,57-67,1,D. Cousins makes free throw 1 of 2
11:26.0,,,57-68,1,D. Cousins makes free throw 2 of 2
11:15.0,D. Saric misses 2-pt shot from 7 ft (block by A. Davis),,57-68,,
11:11.0,Offensive rebound by A. Johnson,,57-68,,
11:09.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,57-68,,
11:09.0,Offensive rebound by D. Saric,,57-68,,
11:07.0,Shooting foul by A. Davis (drawn by A. Johnson),,57-68,,
11:07.0,A. Johnson makes free throw 1 of 2,1,58-68,,
11:07.0,A. Johnson makes free throw 2 of 2,1,59-68,,
10:55.0,Personal foul by B. Simmons (drawn by A. Davis),,59-68,,
10:49.0,,,59-68,,Turnover by R. Rondo (bad pass; steal by A. Johnson)
10:41.0,A. Johnson makes 2-pt shot from 5 ft (assist by D. Saric),2,61-68,,
10:31.0,,,61-68,,Turnover by A. Davis (traveling)
10:22.0,,,61-68,,Personal foul by D. Cousins (drawn by J. Redick)
10:15.0,J. Redick makes 2-pt shot from 20 ft (assist by A. Johnson),2,63-68,,
10:02.0,,,63-70,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
9:42.0,D. Saric misses 2-pt shot from 3 ft,,63-70,,
9:37.0,Offensive rebound by A. Johnson,,63-70,,
9:37.0,A. Johnson makes 2-pt shot at rim,2,65-70,,
9:28.0,,,65-70,,Turnover by R. Rondo (bad pass)
9:23.0,B. Simmons makes 2-pt shot from 2 ft,2,67-70,,
9:23.0,Shooting foul by A. Davis (drawn by B. Simmons),,67-70,,
9:23.0,B. Simmons makes free throw 1 of 1,1,68-70,,
9:17.0,,,68-70,,New Orleans full timeout
9:07.0,,,68-70,,E. Moore misses 2-pt shot from 9 ft
9:00.0,,,68-70,,Offensive rebound by E. Moore
9:00.0,,,68-70,,E. Moore misses 2-pt shot at rim
8:57.0,Defensive rebound by D. Saric,,68-70,,
8:57.0,J. Redick misses 3-pt shot from 27 ft,,68-70,,
8:53.0,Offensive rebound by D. Saric,,68-70,,
8:50.0,J. Redick makes 3-pt shot from 31 ft (assist by D. Saric),3,71-70,,
8:39.0,,,71-72,2,J. Holiday makes 2-pt shot from 16 ft
8:21.0,D. Saric misses 2-pt shot from 2 ft (block by J. Holiday),,71-72,,
8:21.0,Offensive rebound by D. Saric,,71-72,,
8:14.0,D. Saric misses 2-pt shot from 2 ft (block by J. Holiday),,71-72,,
8:14.0,,,71-72,,Defensive rebound by J. Holiday
8:11.0,,,71-74,2,E. Moore makes 2-pt shot from 1 ft (assist by J. Holiday)
7:55.0,J. Redick misses 2-pt shot from 10 ft,,71-74,,
7:54.0,,,71-74,,Defensive rebound by D. Cousins
7:54.0,Personal foul by B. Simmons (drawn by R. Rondo),,71-74,,
7:40.0,,,71-74,,J. Holiday misses 2-pt shot from 15 ft
7:38.0,Defensive rebound by J. Redick,,71-74,,
7:26.0,Shooting foul by E. Moore (drawn by J. Redick),,71-74,,
7:26.0,J. Redick makes free throw 1 of 2,1,72-74,,
7:26.0,J. Redick makes free throw 2 of 2,1,73-74,,
7:25.0,Personal foul by A. Johnson (drawn by R. Rondo),,73-74,,
7:25.0,R. Holmes enters the game for A. Johnson,,73-74,,
7:09.0,,,73-77,3,R. Rondo makes 3-pt shot from 23 ft
6:57.0,Turnover by T. Luwawu-Cabarrot (step out of bounds),,73-77,,
6:57.0,J. Bayless enters the game for J. Redick,,73-77,,
6:44.0,,,73-77,,J. Holiday misses 3-pt shot from 22 ft
6:44.0,Defensive rebound by Team,,73-77,,
6:34.0,D. Saric makes 3-pt shot from 25 ft (assist by T. Luwawu-Cabarrot),3,76-77,,
6:18.0,,,76-77,,D. Cousins misses 2-pt shot from 4 ft (block by R. Holmes)
6:16.0,Defensive rebound by R. Holmes,,76-77,,
6:07.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,76-77,,
6:07.0,Offensive rebound by R. Holmes,,76-77,,
6:03.0,R. Holmes makes 2-pt shot from 4 ft,2,78-77,,
5:54.0,,,78-79,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
5:54.0,,,78-79,,Shooting foul by D. Saric (drawn by A. Davis)
5:54.0,F. Korkmaz enters the game for T. Luwawu-Cabarrot,,78-79,,
5:54.0,,,78-80,1,A. Davis makes free throw 1 of 1
5:43.0,Shooting foul by D. Cousins (drawn by B. Simmons),,78-80,,
5:43.0,B. Simmons misses free throw 1 of 2,,78-80,,
5:43.0,Offensive rebound by Team,,78-80,,
5:43.0,,,78-80,,D. Cunningham enters the game for D. Cousins
5:43.0,B. Simmons makes free throw 2 of 2,1,79-80,,
5:27.0,,,79-80,,A. Davis misses 2-pt shot from 1 ft
5:25.0,Defensive rebound by F. Korkmaz,,79-80,,
5:18.0,D. Saric misses 2-pt shot from 1 ft,,79-80,,
5:15.0,,,79-80,,Defensive rebound by A. Davis
5:11.0,,,79-80,,A. Davis misses 2-pt shot from 1 ft (block by R. Holmes)
5:11.0,,,79-80,,Offensive rebound by Team
5:11.0,,,79-80,,D. Miller enters the game for J. Holiday
5:11.0,T. Booker enters the game for D. Saric,,79-80,,
5:04.0,,,79-80,,D. Cunningham misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by R. Holmes,,79-80,,
4:54.0,Turnover by B. Simmons (bad pass; steal by R. Rondo),,79-80,,
4:40.0,,,79-80,,A. Davis misses 2-pt shot from 6 ft
4:38.0,Defensive rebound by B. Simmons,,79-80,,
4:35.0,T. Booker makes 2-pt shot from 4 ft (assist by B. Simmons),2,81-80,,
4:35.0,Shooting foul by D. Cunningham (drawn by T. Booker),,81-80,,
4:35.0,T. Booker makes free throw 1 of 1,1,82-80,,
4:20.0,,,82-80,,A. Davis misses 2-pt shot from 16 ft
4:20.0,Defensive rebound by T. Booker,,82-80,,
4:06.0,Loose ball foul by R. Holmes (drawn by D. Cunningham),,82-80,,
4:06.0,,,82-80,,D. Cunningham misses free throw 1 of 2
4:06.0,,,82-80,,Offensive rebound by Team
4:06.0,,,82-81,1,D. Cunningham makes free throw 2 of 2
4:05.0,T. Booker misses 2-pt shot from 7 ft,,82-81,,
4:05.0,,,82-81,,Defensive rebound by D. Cunningham
3:51.0,F. Korkmaz misses 3-pt shot from 25 ft,,82-81,,
3:47.0,Offensive rebound by T. Booker,,82-81,,
3:45.0,T. Booker makes 2-pt shot from 2 ft,2,84-81,,
3:29.0,,,84-81,,Turnover by A. Davis (lost ball; steal by J. Bayless)
3:25.0,Turnover by T. Booker (bad pass),,84-81,,
3:18.0,,,84-81,,Turnover by R. Rondo (bad pass; steal by R. Holmes)
3:15.0,B. Simmons misses 2-pt shot from 2 ft,,84-81,,
3:15.0,Offensive rebound by T. Booker,,84-81,,
3:15.0,Shooting foul by D. Cunningham (drawn by T. Booker),,84-81,,
3:15.0,,,84-81,,New Orleans full timeout
3:15.0,,,84-81,,O. Asik enters the game for R. Rondo
3:15.0,,,84-81,,I. Clark enters the game for A. Davis
3:15.0,,,84-81,,J. Holiday enters the game for E. Moore
3:15.0,J. Redick enters the game for B. Simmons,,84-81,,
3:15.0,T. Booker makes free throw 1 of 2,1,85-81,,
3:15.0,T. Booker makes free throw 2 of 2,1,86-81,,
3:00.0,,,86-83,2,J. Holiday makes 2-pt shot from 14 ft
2:47.0,Shooting foul by I. Clark (drawn by J. Redick),,86-83,,
2:47.0,J. Redick makes free throw 1 of 2,1,87-83,,
2:47.0,J. Redick makes free throw 2 of 2,1,88-83,,
2:26.0,,,88-83,,Turnover by J. Holiday (lost ball; steal by J. Bayless)
2:23.0,F. Korkmaz makes 2-pt shot from 1 ft (assist by R. Holmes),2,90-83,,
2:11.0,,,90-83,,Turnover by J. Holiday (bad pass; steal by T. Booker)
2:09.0,Turnover by T. Booker (lost ball; steal by D. Cunningham),,90-83,,
2:06.0,,,90-83,,Shooting foul by R. Holmes (drawn by D. Cunningham)
2:06.0,,,90-83,,D. Cunningham misses free throw 1 of 2
2:06.0,,,90-83,,Offensive rebound by Team
2:06.0,,,90-84,1,D. Cunningham makes free throw 2 of 2
2:06.0,Philadelphia full timeout,,90-84,,
1:56.0,Turnover by F. Korkmaz (traveling),,90-84,,
1:48.0,Personal foul by J. Bayless (drawn by J. Holiday),,90-84,,
1:48.0,,,90-85,1,J. Holiday makes free throw 1 of 2
1:48.0,,,90-85,,J. Holiday misses free throw 2 of 2
1:45.0,Defensive rebound by F. Korkmaz,,90-85,,
1:33.0,R. Holmes makes 2-pt shot at rim (assist by F. Korkmaz),2,92-85,,
1:17.0,,,92-85,,I. Clark misses 3-pt shot from 28 ft
1:14.0,Defensive rebound by R. Holmes,,92-85,,
1:04.0,J. Bayless misses 3-pt shot from 26 ft,,92-85,,
1:03.0,Offensive rebound by T. Booker,,92-85,,
1:03.0,T. Booker misses 2-pt shot from 2 ft,,92-85,,
1:03.0,Offensive rebound by T. Booker,,92-85,,
1:03.0,Shooting foul by I. Clark (drawn by T. Booker),,92-85,,
1:03.0,T. Booker makes free throw 1 of 2,1,93-85,,
1:03.0,T. Booker misses free throw 2 of 2,,93-85,,
1:00.0,,,93-85,,Defensive rebound by O. Asik
0:53.0,Personal foul by F. Korkmaz (drawn by J. Holiday),,93-85,,
0:53.0,,,93-86,1,J. Holiday makes free throw 1 of 2
0:53.0,,,93-87,1,J. Holiday makes free throw 2 of 2
0:35.0,F. Korkmaz misses 3-pt shot from 28 ft,,93-87,,
0:32.0,,,93-87,,Defensive rebound by Team
0:25.0,,,93-87,,Turnover by J. Holiday (bad pass)
0:05.0,J. Redick makes 2-pt shot from 22 ft (assist by J. Bayless),2,95-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,95-89,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
11:30.0,D. Saric misses 3-pt shot from 26 ft,,95-89,,
11:28.0,Offensive rebound by A. Johnson,,95-89,,
11:27.0,A. Johnson misses 2-pt shot from 6 ft,,95-89,,
11:27.0,,,95-89,,Defensive rebound by D. Cousins
11:21.0,Personal foul by F. Korkmaz (drawn by A. Davis),,95-89,,
11:16.0,,,95-92,3,E. Moore makes 3-pt shot from 22 ft (assist by R. Rondo)
10:57.0,J. Bayless makes 3-pt shot from 23 ft (assist by A. Johnson),3,98-92,,
10:40.0,,,98-94,2,D. Cousins makes 2-pt shot from 2 ft
10:30.0,J. Redick makes 2-pt shot from 21 ft (assist by A. Johnson),2,100-94,,
10:09.0,,,100-96,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Cousins)
9:58.0,,,100-96,,Personal foul by E. Moore (drawn by J. Redick)
9:47.0,Shooting foul by E. Moore (drawn by J. Redick),,100-96,,
9:47.0,J. Redick makes free throw 1 of 3,1,101-96,,
9:47.0,J. Redick makes free throw 2 of 3,1,102-96,,
9:47.0,J. Redick makes free throw 3 of 3,1,103-96,,
9:41.0,,,103-98,2,R. Rondo makes 2-pt shot from 2 ft
9:41.0,Violation by F. Korkmaz (def goaltending),,103-98,,
9:33.0,,,103-98,,Personal foul by D. Cousins (drawn by A. Johnson)
9:33.0,,,103-98,,D. Cunningham enters the game for D. Cousins
9:33.0,B. Simmons enters the game for J. Bayless,,103-98,,
9:29.0,Turnover by J. Redick (bad pass; steal by R. Rondo),,103-98,,
9:16.0,,,103-101,3,J. Holiday makes 3-pt shot from 24 ft
8:49.0,D. Saric misses 2-pt shot from 17 ft,,103-101,,
8:47.0,,,103-101,,Defensive rebound by A. Davis
8:33.0,,,103-103,2,J. Holiday makes 2-pt shot from 1 ft (assist by D. Cunningham)
8:33.0,Philadelphia full timeout,,103-103,,
