time,Oklahoma City,pts.away,score,pts.home,Philadelphia
5:46.0,Turnover by P. George (bad pass; steal by A. Johnson),,16-12,,
5:40.0,,,16-12,,R. Covington misses 3-pt shot from 22 ft
5:38.0,Defensive rebound by A. Roberson,,16-12,,
5:16.0,C. Anthony makes 2-pt shot from 7 ft,2,18-12,,
5:02.0,,,18-12,,Offensive foul by A. Johnson (drawn by S. Adams)
5:02.0,,,18-12,,Turnover by A. Johnson (offensive foul)
5:02.0,A. Abrines enters the game for S. Adams,,18-12,,
5:02.0,J. Grant enters the game for A. Roberson,,18-12,,
4:53.0,Oklahoma City full timeout,,18-12,,
4:46.0,Turnover by J. Grant (lost ball; steal by R. Covington),,18-12,,
4:40.0,,,18-12,,Turnover by A. Johnson (lost ball; steal by J. Grant)
4:36.0,,,18-12,,Personal foul by B. Simmons (drawn by J. Grant)
4:27.0,A. Abrines misses 2-pt shot from 20 ft,,18-12,,
4:24.0,,,18-12,,Defensive rebound by A. Johnson
4:15.0,,,18-12,,B. Simmons misses 2-pt shot from 7 ft
4:13.0,Defensive rebound by A. Abrines,,18-12,,
4:05.0,Turnover by J. Grant (lost ball; steal by R. Covington),,18-12,,
3:58.0,,,18-14,2,T. Booker makes 2-pt shot from 2 ft (assist by R. Covington)
3:45.0,R. Westbrook makes 2-pt shot from 13 ft,2,20-14,,
3:40.0,Personal foul by P. George (drawn by B. Simmons),,20-14,,
3:40.0,,,20-14,,T. McConnell enters the game for A. Johnson
3:40.0,,,20-14,,J. Embiid enters the game for B. Simmons
3:40.0,S. Adams enters the game for C. Anthony,,20-14,,
3:40.0,J. Huestis enters the game for P. George,,20-14,,
3:24.0,,,20-14,,J. Embiid misses 2-pt shot from 11 ft
3:20.0,Defensive rebound by R. Westbrook,,20-14,,
3:13.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,22-14,,
3:00.0,,,22-14,,R. Covington misses 3-pt shot from 24 ft
2:57.0,,,22-14,,Offensive rebound by T. Booker
2:55.0,,,22-17,3,J. Bayless makes 3-pt shot from 26 ft (assist by T. McConnell)
2:40.0,A. Abrines misses 3-pt shot from 25 ft,,22-17,,
2:38.0,,,22-17,,Defensive rebound by R. Covington
2:28.0,,,22-17,,T. Booker misses 2-pt shot from 3 ft
2:28.0,,,22-17,,Offensive rebound by Team
2:28.0,Loose ball foul by R. Westbrook (drawn by T. McConnell),,22-17,,
2:28.0,,,22-17,,D. Saric enters the game for J. Bayless
2:28.0,,,22-17,,J. Redick enters the game for R. Covington
2:19.0,,,22-17,,Shooting foul by J. Huestis (drawn by J. Embiid)
2:19.0,,,22-18,1,J. Embiid makes free throw 2 of 2
2:19.0,,,22-19,1,J. Embiid makes free throw 1 of 2
2:07.0,J. Grant makes 3-pt shot from 22 ft (assist by R. Westbrook),3,25-19,,
1:49.0,,,25-21,2,T. Booker makes 2-pt shot from 8 ft (assist by T. McConnell)
1:40.0,R. Westbrook misses 2-pt shot from 9 ft,,25-21,,
1:36.0,,,25-21,,Defensive rebound by J. Redick
1:26.0,,,25-21,,J. Redick misses 3-pt shot from 26 ft
1:26.0,Defensive rebound by R. Westbrook,,25-21,,
1:21.0,Turnover by R. Westbrook (lost ball; steal by T. McConnell),,25-21,,
1:16.0,,,25-21,,J. Redick misses 3-pt shot from 27 ft
1:13.0,Defensive rebound by R. Westbrook,,25-21,,
1:08.0,Turnover by R. Westbrook (bad pass; steal by D. Saric),,25-21,,
1:01.0,,,25-23,2,J. Embiid makes 2-pt shot from 16 ft (assist by J. Redick)
0:40.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,25-23,,
0:40.0,R. Westbrook misses free throw 1 of 2,,25-23,,
0:40.0,Offensive rebound by Team,,25-23,,
0:40.0,R. Westbrook misses free throw 2 of 2,,25-23,,
0:37.0,,,25-23,,Defensive rebound by D. Saric
0:28.0,,,25-23,,T. McConnell misses 2-pt shot from 3 ft
0:26.0,Defensive rebound by R. Westbrook,,25-23,,
0:05.0,A. Abrines makes 3-pt shot from 25 ft (assist by J. Grant),3,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-25,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Embiid)
11:24.0,A. Abrines misses 3-pt shot from 27 ft,,28-25,,
11:20.0,,,28-25,,Defensive rebound by D. Saric
11:11.0,,,28-27,2,B. Simmons makes 2-pt shot from 1 ft
10:50.0,J. Huestis makes 2-pt shot at rim (assist by R. Felton),2,30-27,,
10:50.0,Shooting foul by J. Embiid (drawn by J. Huestis),,30-27,,
10:50.0,P. George enters the game for A. Abrines,,30-27,,
10:50.0,J. Huestis misses free throw 1 of 1,,30-27,,
10:48.0,Offensive rebound by S. Adams,,30-27,,
10:48.0,Turnover by S. Adams (step out of bounds),,30-27,,
10:35.0,,,30-27,,J. Embiid misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by J. Huestis,,30-27,,
10:20.0,R. Felton makes 3-pt shot from 26 ft,3,33-27,,
10:05.0,,,33-27,,Turnover by D. Saric (turnover)
9:51.0,P. George misses 2-pt shot from 14 ft,,33-27,,
9:49.0,,,33-27,,Defensive rebound by D. Saric
9:45.0,,,33-30,3,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric)
9:28.0,Turnover by R. Felton (bad pass),,33-30,,
9:17.0,Personal foul by P. George,,33-30,,
9:17.0,Technical foul by P. George,,33-30,,
9:17.0,,,33-31,1,T. McConnell makes technical free throw
9:17.0,T. Ferguson enters the game for P. George,,33-31,,
9:07.0,,,33-31,,Turnover by J. Embiid (out of bounds lost ball)
8:54.0,,,33-31,,Personal foul by T. McConnell (drawn by P. Patterson)
8:54.0,,,33-31,,J. Redick enters the game for T. McConnell
8:54.0,,,33-31,,A. Johnson enters the game for J. Embiid
8:54.0,C. Anthony enters the game for S. Adams,,33-31,,
8:41.0,C. Anthony makes 2-pt shot from 11 ft,2,35-31,,
8:23.0,,,35-31,,D. Saric misses 2-pt shot from 16 ft
8:22.0,Defensive rebound by Team,,35-31,,
8:22.0,,,35-31,,Loose ball foul by R. Covington
8:22.0,,,35-31,,Technical foul by R. Covington
8:22.0,C. Anthony makes technical free throw,1,36-31,,
8:09.0,P. Patterson makes 2-pt shot from 3 ft (assist by R. Felton),2,38-31,,
7:52.0,,,38-31,,R. Covington misses 3-pt shot from 26 ft
7:49.0,Defensive rebound by T. Ferguson,,38-31,,
7:43.0,C. Anthony makes 2-pt shot from 15 ft,2,40-31,,
7:42.0,,,40-31,,Philadelphia full timeout
7:42.0,,,40-31,,T. Booker enters the game for R. Covington
7:42.0,,,40-31,,J. Bayless enters the game for D. Saric
7:32.0,,,40-33,2,J. Redick makes 2-pt shot from 18 ft (assist by A. Johnson)
7:13.0,R. Felton makes 3-pt shot from 24 ft (assist by P. Patterson),3,43-33,,
7:02.0,,,43-33,,J. Redick misses 2-pt shot from 21 ft
6:59.0,Defensive rebound by R. Felton,,43-33,,
6:54.0,T. Ferguson makes 2-pt shot from 1 ft (assist by C. Anthony),2,45-33,,
6:44.0,R. Westbrook enters the game for T. Ferguson,,45-33,,
6:30.0,,,45-33,,J. Bayless misses 2-pt shot from 6 ft (block by J. Huestis)
6:26.0,Defensive rebound by C. Anthony,,45-33,,
6:20.0,R. Felton makes 3-pt shot from 23 ft (assist by R. Westbrook),3,48-33,,
6:18.0,,,48-33,,Philadelphia full timeout
6:02.0,,,48-33,,J. Bayless misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by J. Huestis,,48-33,,
5:48.0,J. Huestis makes 2-pt shot at rim (assist by R. Westbrook),2,50-33,,
5:36.0,,,50-36,3,J. Bayless makes 3-pt shot from 23 ft (assist by B. Simmons)
5:18.0,P. Patterson misses 2-pt shot from 11 ft,,50-36,,
5:17.0,,,50-36,,Defensive rebound by B. Simmons
5:09.0,,,50-39,3,J. Redick makes 3-pt shot from 22 ft (assist by B. Simmons)
5:01.0,Oklahoma City full timeout,,50-39,,
5:01.0,S. Adams enters the game for P. Patterson,,50-39,,
5:01.0,,,50-39,,J. Embiid enters the game for J. Bayless
5:01.0,,,50-39,,R. Covington enters the game for A. Johnson
4:41.0,R. Westbrook misses 2-pt shot from 19 ft,,50-39,,
4:39.0,,,50-39,,Defensive rebound by R. Covington
4:25.0,,,50-42,3,J. Redick makes 3-pt shot from 26 ft (assist by J. Embiid)
4:07.0,R. Westbrook misses 2-pt shot from 4 ft,,50-42,,
4:07.0,Offensive rebound by S. Adams,,50-42,,
4:06.0,S. Adams misses 2-pt shot from 2 ft,,50-42,,
4:06.0,Offensive rebound by S. Adams,,50-42,,
4:03.0,S. Adams misses 2-pt shot at rim,,50-42,,
4:03.0,,,50-42,,Defensive rebound by Team
4:03.0,A. Roberson enters the game for R. Felton,,50-42,,
4:03.0,,,50-42,,D. Saric enters the game for T. Booker
3:50.0,,,50-42,,D. Saric misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by R. Westbrook,,50-42,,
3:39.0,Turnover by R. Westbrook (lost ball; steal by B. Simmons),,50-42,,
3:25.0,,,50-42,,J. Embiid misses 2-pt shot from 5 ft
3:25.0,Defensive rebound by Team,,50-42,,
3:13.0,R. Westbrook misses 2-pt shot from 14 ft,,50-42,,
3:13.0,,,50-42,,Defensive rebound by J. Embiid
3:01.0,,,50-44,2,J. Embiid makes 2-pt shot at rim (assist by B. Simmons)
2:39.0,A. Roberson misses 2-pt shot from 1 ft,,50-44,,
2:31.0,,,50-44,,Defensive rebound by R. Covington
2:24.0,,,50-44,,R. Covington misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by S. Adams,,50-44,,
2:13.0,C. Anthony misses 3-pt shot from 25 ft,,50-44,,
2:13.0,Offensive rebound by Team,,50-44,,
2:12.0,,,50-44,,T. McConnell enters the game for B. Simmons
1:49.0,A. Roberson misses 3-pt shot from 23 ft,,50-44,,
1:45.0,,,50-44,,Defensive rebound by R. Covington
1:43.0,,,50-44,,J. Redick misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by R. Westbrook,,50-44,,
1:32.0,C. Anthony makes 3-pt shot from 26 ft (assist by R. Westbrook),3,53-44,,
1:24.0,,,53-44,,R. Covington misses 3-pt shot from 26 ft
1:24.0,Defensive rebound by Team,,53-44,,
1:24.0,,,53-44,,R. Holmes enters the game for J. Embiid
1:14.0,C. Anthony misses 2-pt shot from 18 ft,,53-44,,
1:14.0,,,53-44,,Defensive rebound by T. McConnell
1:06.0,,,53-44,,D. Saric misses 3-pt shot from 26 ft
1:06.0,Defensive rebound by C. Anthony,,53-44,,
0:59.0,Shooting foul by J. Redick (drawn by R. Westbrook),,53-44,,
0:59.0,R. Westbrook makes free throw 1 of 2,1,54-44,,
0:59.0,R. Westbrook makes free throw 2 of 2,1,55-44,,
0:41.0,,,55-44,,R. Covington misses 3-pt shot from 26 ft
0:41.0,,,55-44,,Offensive rebound by R. Holmes
0:36.0,,,55-46,2,R. Holmes makes 2-pt shot from 10 ft
0:31.0,Turnover by R. Westbrook (lost ball; steal by R. Covington),,55-46,,
0:25.0,,,55-46,,Turnover by T. McConnell (bad pass)
0:25.0,,,55-46,,B. Simmons enters the game for T. McConnell
0:08.0,Turnover by R. Westbrook (out of bounds lost ball),,55-46,,
0:08.0,Technical foul by R. Westbrook,,55-46,,
0:08.0,,,55-47,1,J. Redick makes technical free throw
0:08.0,,,55-47,,J. Embiid enters the game for R. Holmes
0:00.0,,,55-47,,R. Covington misses 2-pt shot from 17 ft
0:00.0,,,55-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Personal foul by A. Roberson (drawn by J. Redick),,55-47,,
11:49.0,,,55-47,,R. Covington misses 2-pt shot at rim
11:46.0,Defensive rebound by C. Anthony,,55-47,,
11:36.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,57-47,,
11:14.0,,,57-47,,J. Embiid misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by R. Westbrook,,57-47,,
10:59.0,P. George misses 2-pt shot from 14 ft,,57-47,,
10:56.0,Offensive rebound by S. Adams,,57-47,,
10:53.0,Turnover by C. Anthony (lost ball; steal by B. Simmons),,57-47,,
10:39.0,,,57-49,2,J. Redick makes 2-pt shot from 21 ft
10:28.0,P. George misses 2-pt shot from 20 ft,,57-49,,
10:24.0,,,57-49,,Defensive rebound by J. Embiid
10:13.0,,,57-49,,J. Embiid misses 2-pt shot from 12 ft
10:09.0,,,57-49,,Offensive rebound by D. Saric
10:09.0,,,57-49,,D. Saric misses 2-pt shot from 1 ft (block by A. Roberson)
10:09.0,Defensive rebound by A. Roberson,,57-49,,
10:04.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,59-49,,
10:04.0,,,59-49,,Personal foul by R. Covington (drawn by S. Adams)
10:04.0,,,59-49,,Turnover by R. Covington (turnover)
10:04.0,S. Adams makes free throw 1 of 1,1,60-49,,
9:39.0,,,60-49,,B. Simmons misses 2-pt shot from 19 ft
9:39.0,,,60-49,,Offensive rebound by Team
9:39.0,,,60-49,,Turnover by Team (shot clock)
9:32.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,62-49,,
9:32.0,,,62-49,,Philadelphia full timeout
9:17.0,,,62-51,2,D. Saric makes 2-pt shot from 1 ft (assist by J. Redick)
8:56.0,R. Westbrook misses 2-pt shot from 19 ft,,62-51,,
8:53.0,,,62-51,,Defensive rebound by R. Covington
8:41.0,,,62-54,3,R. Covington makes 3-pt shot from 28 ft (assist by J. Redick)
8:25.0,P. George misses 3-pt shot from 28 ft,,62-54,,
8:23.0,Offensive rebound by C. Anthony,,62-54,,
8:21.0,C. Anthony makes 2-pt shot from 22 ft,2,64-54,,
8:08.0,,,64-56,2,B. Simmons makes 2-pt shot at rim
7:52.0,R. Westbrook misses 2-pt shot from 19 ft,,64-56,,
7:52.0,,,64-56,,Defensive rebound by R. Covington
7:46.0,,,64-56,,Turnover by B. Simmons (bad pass; steal by S. Adams)
7:45.0,,,64-56,,Personal foul by B. Simmons (drawn by S. Adams)
7:45.0,,,64-56,,J. Bayless enters the game for J. Redick
7:45.0,A. Abrines enters the game for A. Roberson,,64-56,,
7:32.0,Shooting foul by R. Covington (drawn by P. George),,64-56,,
7:32.0,P. George misses free throw 1 of 2,,64-56,,
7:32.0,Offensive rebound by Team,,64-56,,
7:32.0,P. George makes free throw 2 of 2,1,65-56,,
7:17.0,,,65-58,2,J. Embiid makes 2-pt shot from 13 ft
6:59.0,,,65-58,,Personal foul by B. Simmons (drawn by R. Westbrook)
6:59.0,,,65-58,,T. Booker enters the game for D. Saric
6:59.0,,,65-58,,R. Holmes enters the game for J. Embiid
6:51.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams),2,67-58,,
6:30.0,,,67-58,,Turnover by R. Covington (lost ball; steal by P. George)
6:24.0,A. Abrines misses 3-pt shot from 23 ft,,67-58,,
6:22.0,,,67-58,,Defensive rebound by R. Holmes
6:10.0,,,67-58,,R. Covington misses 3-pt shot from 28 ft
6:06.0,Defensive rebound by A. Abrines,,67-58,,
5:56.0,C. Anthony makes 2-pt shot from 22 ft,2,69-58,,
5:39.0,,,69-58,,R. Covington misses 3-pt shot from 23 ft
5:37.0,Defensive rebound by A. Abrines,,69-58,,
5:31.0,C. Anthony misses 3-pt shot from 28 ft,,69-58,,
5:28.0,,,69-58,,Defensive rebound by B. Simmons
5:25.0,,,69-60,2,T. Booker makes 2-pt shot at rim (assist by B. Simmons)
5:25.0,Oklahoma City full timeout,,69-60,,
5:25.0,J. Grant enters the game for S. Adams,,69-60,,
5:08.0,P. George makes 2-pt shot from 1 ft,2,71-60,,
4:47.0,,,71-62,2,R. Holmes makes 2-pt shot at rim (assist by J. Bayless)
4:34.0,Turnover by A. Abrines (bad pass; steal by R. Holmes),,71-62,,
4:28.0,,,71-62,,R. Covington misses 3-pt shot from 26 ft
4:25.0,,,71-62,,Offensive rebound by T. Booker
4:23.0,,,71-62,,J. Bayless misses 3-pt shot from 26 ft
4:23.0,,,71-62,,Offensive rebound by R. Holmes
4:18.0,,,71-65,3,J. Bayless makes 3-pt shot from 22 ft (assist by B. Simmons)
4:11.0,,,71-65,,Personal foul by J. Bayless (drawn by R. Westbrook)
4:11.0,,,71-65,,D. Saric enters the game for T. Booker
4:11.0,R. Westbrook misses free throw 1 of 2,,71-65,,
4:11.0,Offensive rebound by Team,,71-65,,
4:11.0,R. Westbrook misses free throw 2 of 2,,71-65,,
4:09.0,,,71-65,,Defensive rebound by B. Simmons
3:52.0,,,71-65,,D. Saric misses 3-pt shot from 24 ft
3:50.0,,,71-65,,Offensive rebound by B. Simmons
3:43.0,,,71-68,3,D. Saric makes 3-pt shot from 22 ft (assist by R. Covington)
3:27.0,,,71-68,,J. Embiid enters the game for J. Bayless
3:27.0,,,71-68,,J. Redick enters the game for R. Holmes
3:27.0,S. Adams enters the game for C. Anthony,,71-68,,
3:22.0,R. Westbrook makes 3-pt shot from 27 ft,3,74-68,,
3:07.0,,,74-68,,R. Covington misses 2-pt shot from 2 ft
3:05.0,Defensive rebound by S. Adams,,74-68,,
3:03.0,Shooting foul by B. Simmons (drawn by P. George),,74-68,,
3:03.0,P. George makes free throw 1 of 2,1,75-68,,
3:03.0,,,75-68,,J. Bayless enters the game for B. Simmons
3:03.0,,,75-68,,T. McConnell enters the game for R. Covington
3:03.0,P. George makes free throw 2 of 2,1,76-68,,
2:49.0,,,76-68,,Shooting foul by J. Grant (drawn by J. Embiid)
2:49.0,,,76-69,1,J. Embiid makes free throw 1 of 2
2:49.0,R. Felton enters the game for R. Westbrook,,76-69,,
2:49.0,,,76-70,1,J. Embiid makes free throw 2 of 2
2:34.0,A. Abrines misses 3-pt shot from 24 ft,,76-70,,
2:30.0,Offensive rebound by S. Adams,,76-70,,
2:18.0,P. George misses 3-pt shot from 26 ft,,76-70,,
2:15.0,Offensive rebound by S. Adams,,76-70,,
2:04.0,P. George misses 2-pt shot from 14 ft,,76-70,,
2:01.0,,,76-70,,Defensive rebound by J. Embiid
1:46.0,,,76-70,,J. Redick misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by Team,,76-70,,
1:24.0,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton),2,78-70,,
1:10.0,Personal foul by R. Felton (drawn by D. Saric),,78-70,,
1:04.0,Personal foul by S. Adams (drawn by J. Embiid),,78-70,,
1:04.0,,,78-71,1,J. Embiid makes free throw 1 of 2
1:04.0,,,78-72,1,J. Embiid makes free throw 2 of 2
0:55.0,R. Felton misses 2-pt shot from 20 ft,,78-72,,
0:52.0,,,78-72,,Defensive rebound by D. Saric
0:46.0,,,78-75,3,J. Bayless makes 3-pt shot from 27 ft (assist by T. McConnell)
0:31.0,P. George makes 3-pt shot from 26 ft (assist by J. Grant),3,81-75,,
0:20.0,,,81-75,,R. Covington enters the game for D. Saric
0:20.0,,,81-75,,Shooting foul by S. Adams (drawn by J. Embiid)
0:20.0,,,81-76,1,J. Embiid makes free throw 1 of 2
0:20.0,,,81-77,1,J. Embiid makes free throw 2 of 2
0:05.0,P. George misses 2-pt shot from 21 ft,,81-77,,
0:02.0,Offensive rebound by A. Abrines,,81-77,,
0:01.0,J. Grant misses 3-pt shot from 26 ft,,81-77,,
0:00.0,Offensive rebound by Team,,81-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Huestis makes 3-pt shot from 24 ft (assist by S. Adams),3,84-77,,
11:22.0,,,84-77,,Turnover by R. Holmes (bad pass)
11:11.0,P. Patterson misses 3-pt shot from 25 ft,,84-77,,
11:07.0,,,84-77,,Defensive rebound by R. Holmes
10:46.0,,,84-77,,Shooting foul by A. Abrines (drawn by J. Bayless)
10:46.0,,,84-78,1,J. Bayless makes free throw 1 of 3
10:46.0,,,84-78,,J. Bayless misses free throw 2 of 3
10:46.0,,,84-78,,Offensive rebound by Team
10:46.0,,,84-79,1,J. Bayless makes free throw 3 of 3
10:33.0,R. Felton misses 2-pt shot from 14 ft,,84-79,,
10:30.0,Offensive rebound by R. Felton,,84-79,,
10:06.0,S. Adams misses 2-pt shot from 12 ft,,84-79,,
10:04.0,,,84-79,,Defensive rebound by J. Embiid
9:55.0,,,84-79,,J. Embiid misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by J. Huestis,,84-79,,
9:45.0,R. Felton misses 2-pt shot from 3 ft,,84-79,,
9:39.0,Offensive rebound by S. Adams,,84-79,,
9:39.0,S. Adams misses 2-pt shot at rim,,84-79,,
9:39.0,,,84-79,,Defensive rebound by J. Embiid
9:38.0,,,84-79,,J. Redick misses 3-pt shot from 27 ft
9:38.0,Defensive rebound by S. Adams,,84-79,,
9:17.0,Turnover by A. Abrines (bad pass; steal by T. McConnell),,84-79,,
9:13.0,,,84-79,,T. McConnell misses 2-pt shot from 3 ft (block by R. Felton)
9:13.0,,,84-79,,Offensive rebound by T. McConnell
9:13.0,,,84-79,,Turnover by T. McConnell (step out of bounds)
9:13.0,,,84-79,,D. Saric enters the game for J. Embiid
9:13.0,R. Westbrook enters the game for A. Abrines,,84-79,,
9:03.0,Turnover by R. Felton (palming),,84-79,,
9:03.0,,,84-79,,B. Simmons enters the game for T. McConnell
9:03.0,J. Grant enters the game for S. Adams,,84-79,,
8:49.0,,,84-81,2,D. Saric makes 2-pt shot from 7 ft (assist by B. Simmons)
8:31.0,R. Westbrook misses 2-pt shot from 2 ft,,84-81,,
8:28.0,,,84-81,,Defensive rebound by R. Holmes
8:24.0,,,84-81,,J. Redick misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by J. Huestis,,84-81,,
8:15.0,Turnover by P. Patterson (step out of bounds),,84-81,,
8:15.0,,,84-81,,T. McConnell enters the game for J. Redick
8:07.0,,,84-81,,B. Simmons misses 2-pt shot from 1 ft
8:07.0,Defensive rebound by Team,,84-81,,
8:07.0,,,84-81,,Loose ball foul by R. Holmes (drawn by R. Westbrook)
8:07.0,P. George enters the game for J. Huestis,,84-81,,
7:53.0,Shooting foul by D. Saric (drawn by J. Grant),,84-81,,
7:46.0,R. Felton makes 3-pt shot from 26 ft (assist by P. Patterson),3,87-81,,
7:24.0,,,87-81,,B. Simmons misses 2-pt shot from 2 ft
7:22.0,Defensive rebound by P. Patterson,,87-81,,
7:18.0,P. George makes 3-pt shot from 28 ft (assist by R. Westbrook),3,90-81,,
7:16.0,,,90-81,,Philadelphia full timeout
7:16.0,,,90-81,,J. Redick enters the game for T. McConnell
7:03.0,,,90-83,2,B. Simmons makes 2-pt shot at rim (assist by R. Holmes)
6:46.0,P. George misses 3-pt shot from 26 ft,,90-83,,
6:42.0,,,90-83,,Defensive rebound by R. Holmes
6:27.0,,,90-83,,Turnover by J. Bayless (bad pass)
6:27.0,,,90-83,,J. Embiid enters the game for R. Holmes
6:27.0,C. Anthony enters the game for J. Grant,,90-83,,
6:27.0,S. Adams enters the game for P. Patterson,,90-83,,
6:07.0,P. George makes 2-pt shot from 8 ft,2,92-83,,
5:41.0,,,92-83,,Turnover by J. Embiid (lost ball; steal by R. Westbrook)
5:35.0,R. Felton makes 2-pt shot from 2 ft (assist by R. Westbrook),2,94-83,,
5:28.0,,,94-83,,Philadelphia full timeout
5:28.0,,,94-83,,R. Covington enters the game for J. Bayless
5:23.0,,,94-85,2,B. Simmons makes 2-pt shot at rim
5:02.0,R. Westbrook misses 2-pt shot at rim,,94-85,,
5:00.0,Offensive rebound by R. Westbrook,,94-85,,
4:47.0,R. Felton misses 3-pt shot from 27 ft,,94-85,,
4:44.0,,,94-85,,Defensive rebound by R. Covington
4:36.0,,,94-85,,R. Covington misses 3-pt shot from 27 ft
4:33.0,Defensive rebound by S. Adams,,94-85,,
4:12.0,R. Felton misses 2-pt shot from 18 ft,,94-85,,
4:07.0,Offensive rebound by C. Anthony,,94-85,,
3:56.0,R. Westbrook misses 2-pt shot from 19 ft,,94-85,,
3:53.0,,,94-85,,Defensive rebound by Team
3:53.0,A. Roberson enters the game for R. Felton,,94-85,,
3:40.0,,,94-85,,Turnover by J. Embiid (bad pass; steal by R. Westbrook)
3:34.0,Oklahoma City full timeout,,94-85,,
3:23.0,P. George misses 2-pt shot from 20 ft,,94-85,,
3:22.0,,,94-85,,Defensive rebound by Team
3:03.0,,,94-85,,Shooting foul by S. Adams (drawn by J. Embiid)
3:03.0,,,94-86,1,J. Embiid makes free throw 1 of 2
