time,Washington,pts.away,score,pts.home,Oklahoma City
10:23.0,,,22-29,2,J. Grant makes 2-pt shot from 2 ft (assist by R. Felton)
10:22.0,Washington full timeout,,22-29,,
10:22.0,J. Smith enters the game for B. Beal,,22-29,,
10:22.0,O. Porter enters the game for M. Morris,,22-29,,
10:04.0,Turnover by T. Satoransky (bad pass),,22-29,,
9:49.0,,,22-32,3,T. Ferguson makes 3-pt shot from 24 ft (assist by J. Grant)
9:31.0,M. Scott misses 2-pt shot from 8 ft,,22-32,,
9:31.0,,,22-32,,Defensive rebound by P. Patterson
9:20.0,,,22-32,,R. Felton misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by J. Smith,,22-32,,
9:14.0,M. Scott misses 2-pt shot at rim (block by J. Grant),,22-32,,
9:11.0,Jump ball: J. Grant vs. M. Scott (J. Huestis gains possession),,,,Jump ball: J. Grant vs. M. Scott (J. Huestis gains possession)
9:11.0,,,22-32,,Offensive rebound by Team
8:56.0,,,22-32,,T. Ferguson misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by J. Smith,,22-32,,
8:34.0,Turnover by T. Satoransky (bad pass; steal by J. Huestis),,22-32,,
8:31.0,,,22-32,,Shooting foul by J. Smith (drawn by J. Grant)
8:31.0,,,22-33,1,J. Grant makes free throw 1 of 2
8:31.0,,,22-33,,R. Westbrook enters the game for R. Felton
8:31.0,,,22-33,,A. Roberson enters the game for T. Ferguson
8:31.0,J. Wall enters the game for T. Satoransky,,22-33,,
8:31.0,,,22-34,1,J. Grant makes free throw 2 of 2
8:17.0,J. Smith misses 2-pt shot from 2 ft (block by J. Grant),,22-34,,
8:14.0,,,22-34,,Defensive rebound by P. Patterson
8:10.0,,,22-34,,J. Huestis misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by M. Scott,,22-34,,
7:58.0,,,22-34,,Personal foul by J. Huestis (drawn by J. Wall)
7:55.0,Turnover by J. Smith (bad pass; steal by R. Westbrook),,22-34,,
7:52.0,,,22-36,2,R. Westbrook makes 2-pt shot from 2 ft
7:52.0,Washington full timeout,,22-36,,
7:52.0,M. Morris enters the game for J. Smith,,22-36,,
7:52.0,B. Beal enters the game for M. Scott,,22-36,,
7:41.0,M. Morris misses 2-pt shot from 3 ft (block by J. Huestis),,22-36,,
7:38.0,,,22-36,,Defensive rebound by P. Patterson
7:35.0,,,22-36,,Shooting foul by J. Wall (drawn by R. Westbrook)
7:35.0,,,22-37,1,R. Westbrook makes free throw 1 of 2
7:35.0,,,22-38,1,R. Westbrook makes free throw 2 of 2
7:14.0,B. Beal makes 2-pt shot from 1 ft (assist by O. Porter),2,24-38,,
7:14.0,Shooting foul by A. Roberson (drawn by B. Beal),,24-38,,
7:14.0,,,24-38,,C. Anthony enters the game for J. Grant
7:14.0,,,24-38,,S. Adams enters the game for P. Patterson
7:14.0,B. Beal makes free throw 1 of 1,1,25-38,,
7:04.0,,,25-40,2,R. Westbrook makes 2-pt shot from 16 ft
6:49.0,O. Porter misses 2-pt shot from 18 ft,,25-40,,
6:46.0,,,25-40,,Defensive rebound by R. Westbrook
6:41.0,Personal foul by K. Oubre (drawn by S. Adams),,25-40,,
6:41.0,,,25-40,,P. George enters the game for J. Huestis
6:35.0,,,25-40,,R. Westbrook misses 2-pt shot from 19 ft
6:31.0,Defensive rebound by K. Oubre,,25-40,,
6:20.0,K. Oubre misses 3-pt shot from 22 ft,,25-40,,
6:18.0,,,25-40,,Defensive rebound by C. Anthony
6:18.0,Personal foul by K. Oubre (drawn by C. Anthony),,25-40,,
6:18.0,,,25-40,,T. Ferguson enters the game for A. Roberson
6:04.0,,,25-40,,C. Anthony misses 2-pt shot from 12 ft
6:01.0,,,25-40,,Offensive rebound by S. Adams
6:00.0,,,25-42,2,S. Adams makes 2-pt shot at rim
5:45.0,Shooting foul by S. Adams (drawn by M. Morris),,25-42,,
5:45.0,M. Morris makes free throw 1 of 2,1,26-42,,
5:45.0,M. Gortat enters the game for K. Oubre,,26-42,,
5:45.0,M. Morris makes free throw 2 of 2,1,27-42,,
5:33.0,,,27-42,,R. Westbrook misses 2-pt shot from 20 ft
5:31.0,Defensive rebound by B. Beal,,27-42,,
5:22.0,O. Porter misses 3-pt shot from 23 ft,,27-42,,
5:19.0,Offensive rebound by M. Morris,,27-42,,
5:02.0,J. Wall misses 2-pt shot from 13 ft,,27-42,,
5:02.0,,,27-42,,Defensive rebound by R. Westbrook
4:54.0,,,27-42,,Turnover by P. George (lost ball; steal by B. Beal)
4:53.0,,,27-42,,Personal take foul by S. Adams (drawn by B. Beal)
4:37.0,M. Gortat misses 2-pt shot from 6 ft,,27-42,,
4:35.0,,,27-42,,Defensive rebound by S. Adams
4:28.0,,,27-45,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:13.0,B. Beal makes 2-pt shot from 1 ft,2,29-45,,
4:13.0,Shooting foul by T. Ferguson (drawn by B. Beal),,29-45,,
4:13.0,,,29-45,,Oklahoma City full timeout
4:13.0,B. Beal makes free throw 1 of 1,1,30-45,,
3:58.0,,,30-47,2,R. Westbrook makes 2-pt shot from 1 ft
3:37.0,Turnover by M. Gortat (offensive goaltending),,30-47,,
3:19.0,,,30-47,,Shooting foul by M. Gortat (drawn by C. Anthony)
3:19.0,,,30-48,1,C. Anthony makes free throw 1 of 2
3:19.0,,,30-49,1,C. Anthony makes free throw 2 of 2
3:08.0,J. Wall makes 2-pt shot from 1 ft,2,32-49,,
2:53.0,,,32-49,,P. George misses 3-pt shot from 27 ft
2:49.0,,,32-49,,Offensive rebound by S. Adams
2:49.0,,,32-49,,S. Adams misses 2-pt shot at rim
2:47.0,Defensive rebound by O. Porter,,32-49,,
2:35.0,B. Beal misses 3-pt shot from 22 ft,,32-49,,
2:35.0,Offensive rebound by B. Beal,,32-49,,
2:30.0,M. Morris makes 2-pt shot at rim (assist by B. Beal),2,34-49,,
2:14.0,,,34-49,,C. Anthony misses 2-pt shot from 2 ft (block by M. Morris)
2:13.0,,,34-49,,Offensive rebound by S. Adams
2:13.0,,,34-49,,Shooting foul by M. Morris (drawn by P. George)
2:13.0,,,34-50,1,S. Adams makes free throw 1 of 2
2:13.0,,,34-50,,A. Roberson enters the game for T. Ferguson
2:13.0,,,34-50,,S. Adams misses free throw 2 of 2
2:11.0,,,34-50,,Offensive rebound by S. Adams
2:02.0,,,34-50,,Turnover by P. George (bad pass; steal by O. Porter)
1:53.0,Shooting foul by R. Westbrook (drawn by O. Porter),,34-50,,
1:53.0,O. Porter makes free throw 1 of 2,1,35-50,,
1:53.0,O. Porter misses free throw 2 of 2,,35-50,,
1:51.0,Offensive rebound by Team,,35-50,,
1:30.0,J. Wall misses 3-pt shot from 24 ft,,35-50,,
1:28.0,,,35-50,,Defensive rebound by A. Roberson
1:18.0,,,35-52,2,R. Westbrook makes 2-pt shot from 11 ft
1:11.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,38-52,,
0:59.0,,,38-54,2,R. Westbrook makes 2-pt shot from 1 ft
0:43.0,Turnover by M. Morris (lost ball; steal by A. Roberson),,38-54,,
0:37.0,,,38-54,,P. George misses 3-pt shot from 23 ft
0:31.0,Defensive rebound by O. Porter,,38-54,,
0:29.0,B. Beal makes 2-pt shot from 13 ft,2,40-54,,
0:11.0,,,40-54,,Turnover by R. Westbrook (bad pass; steal by O. Porter)
0:00.0,M. Morris misses 3-pt shot from 25 ft,,40-54,,
0:00.0,Offensive rebound by Team,,40-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,O. Porter misses 3-pt shot from 25 ft,,40-54,,
11:38.0,,,40-54,,Defensive rebound by C. Anthony
11:36.0,,,40-54,,Turnover by R. Westbrook (lost ball; steal by B. Beal)
11:36.0,,,40-54,,Personal foul by R. Westbrook (drawn by B. Beal)
11:25.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,43-54,,
11:04.0,,,43-54,,C. Anthony misses 2-pt shot from 16 ft
11:02.0,,,43-54,,Offensive rebound by A. Roberson
10:53.0,,,43-56,2,P. George makes 2-pt shot from 12 ft (assist by R. Westbrook)
10:42.0,Turnover by J. Wall (bad pass; steal by A. Roberson),,43-56,,
10:42.0,Personal take foul by O. Porter (drawn by R. Westbrook),,43-56,,
10:22.0,,,43-56,,P. George misses 2-pt shot from 5 ft
10:19.0,Defensive rebound by M. Morris,,43-56,,
10:11.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,46-56,,
10:01.0,,,46-56,,P. George misses 3-pt shot from 23 ft
10:01.0,,,46-56,,Offensive rebound by Team
10:01.0,Loose ball foul by M. Gortat (drawn by S. Adams),,46-56,,
9:54.0,,,46-56,,Shooting foul by M. Morris (drawn by C. Anthony)
9:54.0,,,46-57,1,C. Anthony makes free throw 1 of 2
9:54.0,,,46-58,1,C. Anthony makes free throw 2 of 2
9:46.0,Turnover by M. Gortat (bad pass; steal by A. Roberson),,46-58,,
9:40.0,,,46-60,2,A. Roberson makes 2-pt shot from 2 ft
9:20.0,Turnover by M. Morris (bad pass; steal by R. Westbrook),,46-60,,
9:18.0,,,46-60,,Shooting foul by J. Wall (drawn by R. Westbrook)
9:18.0,,,46-60,,R. Westbrook misses free throw 1 of 2
9:18.0,,,46-60,,Offensive rebound by Team
9:18.0,,,46-61,1,R. Westbrook makes free throw 2 of 2
9:07.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,48-61,,
8:56.0,,,48-61,,R. Westbrook misses 2-pt shot from 16 ft
8:54.0,Defensive rebound by M. Morris,,48-61,,
8:48.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,51-61,,
8:47.0,,,51-61,,Oklahoma City full timeout
8:34.0,,,51-61,,Turnover by P. George (bad pass)
8:20.0,Shooting foul by R. Westbrook (drawn by J. Wall),,51-61,,
8:20.0,J. Wall makes free throw 1 of 2,1,52-61,,
8:20.0,J. Wall makes free throw 2 of 2,1,53-61,,
8:05.0,,,53-61,,C. Anthony misses 3-pt shot from 22 ft
8:02.0,Defensive rebound by J. Wall,,53-61,,
7:50.0,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat),2,55-61,,
7:36.0,,,55-61,,R. Westbrook misses 2-pt shot from 22 ft
7:33.0,Defensive rebound by M. Morris,,55-61,,
7:25.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,57-61,,
7:14.0,,,57-61,,Shooting foul by O. Porter (drawn by P. George)
7:14.0,,,57-62,1,P. George makes free throw 1 of 2
7:14.0,,,57-63,1,P. George makes free throw 2 of 2
6:59.0,J. Wall makes 2-pt shot from 15 ft,2,59-63,,
6:43.0,,,59-65,2,R. Westbrook makes 2-pt shot from 11 ft
6:27.0,B. Beal misses 3-pt shot from 24 ft,,59-65,,
6:24.0,,,59-65,,Defensive rebound by R. Westbrook
6:21.0,,,59-65,,Shooting foul by M. Gortat (drawn by R. Westbrook)
6:21.0,,,59-65,,R. Westbrook misses free throw 1 of 2
6:21.0,,,59-65,,Offensive rebound by Team
6:21.0,,,59-66,1,R. Westbrook makes free throw 2 of 2
6:08.0,Turnover by B. Beal (bad pass; steal by P. George),,59-66,,
6:05.0,,,59-68,2,R. Westbrook makes 2-pt shot at rim (assist by P. George)
5:40.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,62-68,,
5:26.0,,,62-68,,P. George misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by M. Morris,,62-68,,
5:13.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,65-68,,
4:59.0,,,65-68,,Turnover by R. Westbrook (bad pass; steal by J. Wall)
4:59.0,,,65-68,,Loose ball foul by A. Roberson (drawn by O. Porter)
4:59.0,,,65-68,,T. Ferguson enters the game for A. Roberson
4:43.0,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall),2,67-68,,
4:32.0,,,67-68,,R. Westbrook misses 2-pt shot from 9 ft
4:29.0,,,67-68,,Offensive rebound by Team
4:26.0,Loose ball foul by M. Gortat (drawn by S. Adams),,67-68,,
4:26.0,,,67-68,,Technical foul by S. Adams
4:26.0,B. Beal makes technical free throw,1,68-68,,
4:26.0,,,68-69,1,S. Adams makes free throw 1 of 2
4:26.0,I. Mahinmi enters the game for M. Gortat,,68-69,,
4:26.0,,,68-69,,Turnover by C. Anthony (turnover)
4:14.0,J. Wall misses 2-pt shot from 14 ft,,68-69,,
4:11.0,,,68-69,,Defensive rebound by P. George
4:09.0,Violation by O. Porter (kicked ball),,68-69,,
4:09.0,K. Oubre enters the game for O. Porter,,68-69,,
3:58.0,,,68-69,,P. George misses 2-pt shot from 14 ft
3:55.0,Defensive rebound by B. Beal,,68-69,,
3:36.0,J. Wall misses 2-pt shot from 20 ft,,68-69,,
3:32.0,Offensive rebound by I. Mahinmi,,68-69,,
3:27.0,Turnover by J. Wall (bad pass; steal by P. George),,68-69,,
3:21.0,,,68-71,2,R. Westbrook makes 2-pt shot at rim
3:06.0,K. Oubre misses 3-pt shot from 22 ft,,68-71,,
3:03.0,,,68-71,,Defensive rebound by C. Anthony
2:57.0,,,68-74,3,C. Anthony makes 3-pt shot from 25 ft
2:43.0,M. Morris makes 2-pt shot from 9 ft (assist by B. Beal),2,70-74,,
2:30.0,Personal foul by K. Oubre (drawn by P. George),,70-74,,
2:30.0,Washington full timeout,,70-74,,
2:30.0,,,70-74,,J. Grant enters the game for R. Westbrook
2:30.0,,,70-74,,R. Felton enters the game for S. Adams
2:30.0,M. Scott enters the game for J. Wall,,70-74,,
2:30.0,T. Satoransky enters the game for M. Morris,,70-74,,
2:30.0,,,70-75,1,P. George makes free throw 1 of 2
2:30.0,,,70-76,1,P. George makes free throw 2 of 2
2:13.0,T. Satoransky misses 2-pt shot from 20 ft,,70-76,,
2:11.0,Offensive rebound by B. Beal,,70-76,,
2:09.0,B. Beal makes 2-pt shot from 10 ft,2,72-76,,
1:46.0,,,72-79,3,R. Felton makes 3-pt shot from 25 ft
1:30.0,Turnover by I. Mahinmi (bad pass),,72-79,,
1:30.0,,,72-79,,P. Patterson enters the game for C. Anthony
1:19.0,,,72-82,3,R. Felton makes 3-pt shot from 26 ft
0:58.0,B. Beal misses 2-pt shot from 20 ft,,72-82,,
0:56.0,,,72-82,,Defensive rebound by P. Patterson
0:45.0,,,72-82,,Turnover by P. George (traveling)
0:32.0,B. Beal misses 2-pt shot from 1 ft,,72-82,,
0:32.0,Offensive rebound by I. Mahinmi,,72-82,,
0:32.0,I. Mahinmi makes 2-pt shot at rim,2,74-82,,
0:21.0,,,74-82,,P. George misses 3-pt shot from 26 ft
0:18.0,Defensive rebound by M. Scott,,74-82,,
0:08.0,,,74-82,,Personal take foul by R. Felton (drawn by T. Satoransky)
0:00.0,B. Beal misses 3-pt shot from 25 ft,,74-82,,
0:00.0,Offensive rebound by Team,,74-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,74-84,2,J. Grant makes 2-pt shot from 1 ft (assist by R. Felton)
11:28.0,K. Oubre makes 2-pt shot from 2 ft (assist by I. Mahinmi),2,76-84,,
11:12.0,,,76-84,,R. Felton misses 3-pt shot from 25 ft
11:09.0,Defensive rebound by B. Beal,,76-84,,
11:00.0,T. Satoransky makes 2-pt shot from 1 ft (assist by B. Beal),2,78-84,,
10:42.0,,,78-84,,Turnover by R. Felton (out of bounds lost ball)
10:23.0,B. Beal makes 2-pt shot at rim,2,80-84,,
10:07.0,,,80-84,,T. Ferguson misses 3-pt shot from 23 ft
10:04.0,Defensive rebound by K. Oubre,,80-84,,
9:57.0,M. Scott misses 2-pt shot from 8 ft,,80-84,,
9:57.0,,,80-84,,Defensive rebound by R. Felton
9:42.0,,,80-87,3,T. Ferguson makes 3-pt shot from 25 ft (assist by P. Patterson)
9:20.0,B. Beal misses 2-pt shot from 16 ft (block by P. Patterson),,80-87,,
9:16.0,,,80-87,,Defensive rebound by J. Grant
9:12.0,Personal foul by I. Mahinmi (drawn by J. Grant),,80-87,,
9:12.0,,,80-87,,R. Westbrook enters the game for T. Ferguson
9:12.0,,,80-87,,A. Roberson enters the game for J. Huestis
9:12.0,O. Porter enters the game for I. Mahinmi,,80-87,,
9:07.0,,,80-87,,Shooting foul by B. Beal (drawn by J. Grant)
9:07.0,,,80-88,1,J. Grant makes free throw 1 of 2
9:07.0,J. Wall enters the game for T. Satoransky,,80-88,,
9:07.0,,,80-88,,J. Grant misses free throw 2 of 2
9:07.0,Defensive rebound by Team,,80-88,,
8:55.0,K. Oubre misses 2-pt shot from 2 ft,,80-88,,
8:51.0,Offensive rebound by K. Oubre,,80-88,,
8:51.0,K. Oubre makes 2-pt shot at rim,2,82-88,,
8:39.0,,,82-88,,J. Grant misses 3-pt shot from 22 ft
8:39.0,Defensive rebound by B. Beal,,82-88,,
8:23.0,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal),3,85-88,,
8:22.0,,,85-88,,Oklahoma City full timeout
8:22.0,,,85-88,,S. Adams enters the game for J. Grant
8:08.0,,,85-90,2,R. Westbrook makes 2-pt shot from 20 ft
8:06.0,Personal foul by M. Scott (drawn by S. Adams),,85-90,,
8:06.0,Turnover by M. Scott (turnover),,85-90,,
7:58.0,,,85-92,2,R. Westbrook makes 2-pt shot at rim
7:57.0,Washington full timeout,,85-92,,
7:57.0,M. Gortat enters the game for M. Scott,,85-92,,
7:49.0,Turnover by J. Wall (bad pass; steal by S. Adams),,85-92,,
7:47.0,,,85-92,,Shooting foul by B. Beal (drawn by A. Roberson)
7:47.0,,,85-93,1,A. Roberson makes free throw 1 of 2
7:47.0,,,85-93,,A. Roberson misses free throw 2 of 2
7:43.0,,,85-93,,Offensive rebound by R. Felton
7:33.0,,,85-93,,R. Westbrook misses 2-pt shot from 15 ft
7:33.0,,,85-93,,Offensive rebound by Team
7:33.0,Loose ball foul by M. Gortat (drawn by S. Adams),,85-93,,
7:20.0,,,85-95,2,P. Patterson makes 2-pt shot from 4 ft (assist by A. Roberson)
7:06.0,B. Beal makes 3-pt shot from 22 ft (assist by J. Wall),3,88-95,,
7:06.0,Shooting foul by A. Roberson (drawn by B. Beal),,88-95,,
7:06.0,,,88-95,,P. George enters the game for R. Felton
7:06.0,,,88-95,,T. Ferguson enters the game for A. Roberson
7:06.0,B. Beal makes free throw 1 of 1,1,89-95,,
6:55.0,,,89-97,2,R. Westbrook makes 2-pt shot at rim
6:45.0,Turnover by B. Beal (lost ball; steal by P. George),,89-97,,
6:41.0,,,89-99,2,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George)
6:41.0,Washington full timeout,,89-99,,
6:41.0,,,89-99,,C. Anthony enters the game for P. Patterson
6:41.0,M. Morris enters the game for M. Gortat,,89-99,,
6:26.0,O. Porter misses 3-pt shot from 21 ft,,89-99,,
6:23.0,,,89-99,,Defensive rebound by R. Westbrook
6:18.0,,,89-101,2,P. George makes 2-pt shot at rim (assist by R. Westbrook)
6:06.0,B. Beal makes 3-pt shot from 24 ft,3,92-101,,
5:50.0,,,92-103,2,R. Westbrook makes 2-pt shot from 19 ft
5:29.0,M. Morris makes 2-pt shot from 11 ft (assist by B. Beal),2,94-103,,
5:14.0,,,94-103,,Turnover by R. Westbrook (lost ball; steal by J. Wall)
5:10.0,Turnover by J. Wall (bad pass; steal by P. George),,94-103,,
4:59.0,,,94-103,,T. Ferguson misses 3-pt shot from 25 ft
