time,Minnesota,pts.away,score,pts.home,Golden State
7:54.0,Offensive rebound by Team,,8-5,,
7:41.0,K. Towns misses 2-pt shot from 7 ft,,8-5,,
7:38.0,,,8-5,,Defensive rebound by Z. Pachulia
7:35.0,,,8-5,,D. Green misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by A. Wiggins,,8-5,,
7:25.0,A. Wiggins misses 3-pt shot from 25 ft (block by A. Iguodala),,8-5,,
7:19.0,,,8-5,,Defensive rebound by S. Curry
7:18.0,,,8-5,,Turnover by Z. Pachulia (lost ball; steal by A. Wiggins)
7:06.0,A. Wiggins misses 3-pt shot from 22 ft,,8-5,,
7:00.0,,,8-5,,Defensive rebound by Z. Pachulia
6:51.0,,,8-5,,K. Thompson misses 2-pt shot from 13 ft
6:48.0,Defensive rebound by T. Gibson,,8-5,,
6:35.0,J. Butler makes 2-pt shot from 13 ft,2,10-5,,
6:32.0,,,10-5,,Golden State full timeout
6:22.0,,,10-7,2,S. Curry makes 2-pt shot from 11 ft (assist by D. Green)
6:12.0,Turnover by J. Teague (turnover),,10-7,,
5:54.0,,,10-10,3,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Green)
5:41.0,T. Gibson misses 2-pt shot from 16 ft,,10-10,,
5:36.0,Offensive rebound by K. Towns,,10-10,,
5:34.0,K. Towns misses 3-pt shot from 22 ft,,10-10,,
5:27.0,,,10-10,,Defensive rebound by Z. Pachulia
5:25.0,,,10-12,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
5:06.0,A. Wiggins makes 2-pt shot from 1 ft (assist by J. Teague),2,12-12,,
4:51.0,,,12-12,,S. Curry misses 2-pt shot from 19 ft
4:48.0,Defensive rebound by J. Butler,,12-12,,
4:39.0,T. Gibson makes 2-pt shot from 6 ft (assist by K. Towns),2,14-12,,
4:31.0,,,14-12,,Turnover by S. Curry (bad pass; steal by A. Wiggins)
4:19.0,A. Wiggins misses 3-pt shot from 25 ft,,14-12,,
4:15.0,,,14-12,,Defensive rebound by K. Thompson
4:11.0,,,14-12,,Turnover by D. Green (bad pass; steal by J. Teague)
4:03.0,Offensive charge foul by K. Towns (drawn by D. Green),,14-12,,
4:03.0,Turnover by K. Towns (offensive foul),,14-12,,
4:03.0,,,14-12,,J. McGee enters the game for A. Iguodala
4:03.0,,,14-12,,N. Young enters the game for Z. Pachulia
4:03.0,,,14-12,,S. Livingston enters the game for K. Thompson
3:50.0,,,14-12,,S. Curry misses 2-pt shot from 18 ft
3:47.0,Defensive rebound by T. Gibson,,14-12,,
3:45.0,T. Gibson misses 2-pt shot from 3 ft,,14-12,,
3:43.0,Offensive rebound by J. Teague,,14-12,,
3:40.0,A. Wiggins makes 2-pt shot from 7 ft (assist by J. Butler),2,16-12,,
3:26.0,,,16-12,,N. Young misses 3-pt shot from 26 ft
3:21.0,Defensive rebound by K. Towns,,16-12,,
3:19.0,J. Butler misses 2-pt shot from 11 ft,,16-12,,
3:17.0,,,16-12,,Defensive rebound by J. McGee
3:10.0,,,16-12,,S. Curry misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by J. Butler,,16-12,,
3:01.0,Turnover by J. Butler (step out of bounds),,16-12,,
3:01.0,N. Bjelica enters the game for K. Towns,,16-12,,
3:01.0,G. Dieng enters the game for T. Gibson,,16-12,,
2:44.0,,,16-14,2,D. Green makes 2-pt shot from 17 ft
2:36.0,Shooting foul by S. Curry (drawn by J. Teague),,16-14,,
2:36.0,Minnesota full timeout,,16-14,,
2:36.0,J. Teague makes free throw 2 of 2,1,17-14,,
2:36.0,J. Teague makes free throw 1 of 2,1,18-14,,
2:22.0,,,18-14,,N. Young misses 3-pt shot from 27 ft
2:22.0,Defensive rebound by Team,,18-14,,
2:22.0,,,18-14,,O. Casspi enters the game for D. Green
2:22.0,J. Crawford enters the game for J. Butler,,18-14,,
2:00.0,J. Teague misses 2-pt shot from 2 ft (block by O. Casspi),,18-14,,
1:56.0,,,18-14,,Defensive rebound by N. Young
1:54.0,,,18-14,,S. Livingston misses 2-pt shot from 11 ft
1:48.0,Defensive rebound by G. Dieng,,18-14,,
1:42.0,J. Teague misses 2-pt shot from 7 ft,,18-14,,
1:38.0,Offensive rebound by G. Dieng,,18-14,,
1:38.0,G. Dieng misses 2-pt shot from 3 ft (block by O. Casspi),,18-14,,
1:33.0,,,18-14,,Defensive rebound by O. Casspi
1:30.0,,,18-14,,Shooting foul by J. Crawford (drawn by S. Curry)
1:30.0,,,18-15,1,S. Curry makes free throw 1 of 2
1:30.0,,,18-16,1,S. Curry makes free throw 2 of 2
1:19.0,,,18-16,,Personal foul by J. McGee (drawn by G. Dieng)
1:08.0,J. Crawford misses 2-pt shot from 20 ft,,18-16,,
1:05.0,,,18-16,,Defensive rebound by S. Curry
1:03.0,,,18-16,,Turnover by S. Curry (bad pass; steal by N. Bjelica)
0:57.0,G. Dieng misses 2-pt shot from 15 ft,,18-16,,
0:55.0,Offensive rebound by A. Wiggins,,18-16,,
0:53.0,A. Wiggins makes 2-pt shot from 2 ft,2,20-16,,
0:47.0,,,20-16,,J. McGee misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by A. Wiggins,,20-16,,
0:42.0,J. Teague makes 2-pt shot from 3 ft (assist by A. Wiggins),2,22-16,,
0:34.0,,,22-19,3,N. Young makes 3-pt shot from 26 ft (assist by S. Livingston)
0:16.0,Turnover by A. Wiggins (lost ball; steal by N. Young),,22-19,,
0:12.0,,,22-22,3,S. Curry makes 3-pt shot from 25 ft (assist by N. Young)
0:00.0,J. Teague misses 3-pt shot from 30 ft,,22-22,,
0:00.0,Offensive rebound by Team,,22-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,22-24,2,D. West makes 2-pt shot from 11 ft (assist by N. Young)
11:25.0,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford),2,24-24,,
11:06.0,,,24-26,2,D. West makes 2-pt shot from 1 ft (assist by P. McCaw)
10:47.0,J. Crawford misses 3-pt shot from 25 ft,,24-26,,
10:43.0,,,24-26,,Defensive rebound by N. Young
10:34.0,,,24-29,3,K. Thompson makes 3-pt shot from 24 ft (assist by N. Young)
10:07.0,T. Jones makes 2-pt shot from 2 ft,2,26-29,,
9:50.0,,,26-32,3,O. Casspi makes 3-pt shot from 23 ft (assist by K. Thompson)
9:29.0,G. Dieng makes 2-pt shot from 1 ft (assist by J. Crawford),2,28-32,,
9:11.0,,,28-32,,O. Casspi misses 2-pt shot from 3 ft
9:08.0,,,28-32,,Offensive rebound by O. Casspi
9:08.0,,,28-32,,O. Casspi misses 2-pt shot at rim
9:08.0,Defensive rebound by T. Jones,,28-32,,
9:08.0,,,28-32,,Loose ball foul by O. Casspi (drawn by T. Jones)
8:56.0,N. Bjelica misses 3-pt shot from 26 ft (block by D. West),,28-32,,
8:49.0,,,28-32,,Defensive rebound by D. West
8:47.0,,,28-32,,Turnover by D. West (bad pass; steal by T. Jones)
8:43.0,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones),2,30-32,,
8:25.0,,,30-32,,D. West misses 2-pt shot from 17 ft
8:20.0,Defensive rebound by G. Dieng,,30-32,,
8:10.0,T. Jones misses 3-pt shot from 22 ft,,30-32,,
8:06.0,,,30-32,,Defensive rebound by D. West
7:57.0,,,30-34,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. West)
7:49.0,G. Dieng makes 2-pt shot from 11 ft (assist by T. Jones),2,32-34,,
7:37.0,,,32-34,,Turnover by P. McCaw (bad pass; steal by G. Dieng)
7:24.0,N. Bjelica makes 3-pt shot from 24 ft (assist by S. Muhammad),3,35-34,,
7:22.0,,,35-34,,Golden State full timeout
7:22.0,,,35-34,,D. Green enters the game for N. Young
7:22.0,,,35-34,,S. Livingston enters the game for O. Casspi
7:22.0,J. Butler enters the game for N. Bjelica,,35-34,,
7:00.0,,,35-36,2,D. West makes 2-pt shot from 1 ft (assist by S. Livingston)
6:41.0,T. Jones misses 2-pt shot from 18 ft,,35-36,,
6:35.0,,,35-36,,Defensive rebound by D. Green
6:31.0,,,35-36,,K. Thompson misses 3-pt shot from 27 ft
6:30.0,Defensive rebound by Team,,35-36,,
6:17.0,S. Muhammad misses 2-pt shot from 19 ft,,35-36,,
6:13.0,Offensive rebound by G. Dieng,,35-36,,
6:12.0,J. Butler misses 2-pt shot from 11 ft,,35-36,,
6:09.0,,,35-36,,Defensive rebound by D. West
6:08.0,,,35-36,,Turnover by D. West (lost ball; steal by G. Dieng)
6:05.0,J. Crawford misses 3-pt shot from 25 ft,,35-36,,
5:58.0,,,35-36,,Defensive rebound by S. Livingston
5:56.0,,,35-38,2,D. Green makes 2-pt shot from 2 ft (assist by S. Livingston)
5:48.0,Minnesota full timeout,,35-38,,
5:48.0,,,35-38,,K. Looney enters the game for P. McCaw
5:48.0,,,35-38,,S. Curry enters the game for D. West
5:48.0,T. Gibson enters the game for T. Jones,,35-38,,
5:48.0,K. Towns enters the game for G. Dieng,,35-38,,
5:48.0,J. Teague enters the game for S. Muhammad,,35-38,,
5:48.0,,,35-38,,A. Iguodala enters the game for K. Thompson
5:38.0,T. Gibson misses 2-pt shot from 16 ft,,35-38,,
5:35.0,,,35-38,,Defensive rebound by K. Looney
5:30.0,,,35-40,2,S. Livingston makes 2-pt shot from 12 ft
5:11.0,J. Butler misses 2-pt shot from 10 ft,,35-40,,
5:05.0,,,35-40,,Defensive rebound by D. Green
4:48.0,,,35-40,,S. Curry misses 2-pt shot at rim
4:43.0,Defensive rebound by T. Gibson,,35-40,,
4:40.0,Shooting foul by K. Looney (drawn by T. Gibson),,35-40,,
4:40.0,T. Gibson makes free throw 1 of 2,1,36-40,,
4:40.0,A. Wiggins enters the game for J. Crawford,,36-40,,
4:40.0,T. Gibson makes free throw 2 of 2,1,37-40,,
4:26.0,,,37-40,,S. Curry misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by K. Towns,,37-40,,
4:13.0,J. Butler misses 2-pt shot from 3 ft,,37-40,,
4:10.0,,,37-40,,Defensive rebound by D. Green
4:09.0,,,37-40,,Turnover by D. Green (bad pass; steal by A. Wiggins)
4:05.0,J. Teague misses 3-pt shot from 25 ft,,37-40,,
4:01.0,,,37-40,,Defensive rebound by D. Green
3:52.0,,,37-40,,D. Green misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by K. Towns,,37-40,,
3:39.0,J. Butler makes 2-pt shot from 14 ft,2,39-40,,
3:15.0,,,39-42,2,S. Livingston makes 2-pt shot from 9 ft
2:58.0,J. Teague makes 3-pt shot from 25 ft (assist by A. Wiggins),3,42-42,,
2:46.0,,,42-44,2,S. Curry makes 2-pt shot from 22 ft
2:33.0,,,42-44,,Personal foul by K. Looney (drawn by K. Towns)
2:33.0,,,42-44,,K. Thompson enters the game for S. Livingston
2:26.0,T. Gibson makes 2-pt shot from 20 ft (assist by J. Butler),2,44-44,,
2:09.0,,,44-46,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
1:46.0,J. Butler misses 2-pt shot from 22 ft (block by D. Green),,44-46,,
1:41.0,,,44-46,,Defensive rebound by A. Iguodala
1:39.0,,,44-49,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
1:28.0,Shooting foul by D. Green (drawn by T. Gibson),,44-49,,
1:28.0,T. Gibson makes free throw 1 of 2,1,45-49,,
1:28.0,T. Gibson makes free throw 2 of 2,1,46-49,,
1:20.0,,,46-51,2,S. Curry makes 2-pt shot from 14 ft
0:59.0,A. Wiggins misses 2-pt shot from 11 ft,,46-51,,
0:55.0,,,46-51,,Defensive rebound by A. Iguodala
0:50.0,,,46-51,,K. Thompson misses 3-pt shot from 24 ft
0:46.0,,,46-51,,Offensive rebound by Team
0:41.0,,,46-51,,Turnover by D. Green (bad pass; steal by J. Butler)
0:36.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Butler),2,48-51,,
0:32.0,,,48-51,,Turnover by K. Looney (bad pass; steal by K. Towns)
0:18.0,Shooting foul by K. Looney (drawn by K. Towns),,48-51,,
0:18.0,K. Towns makes free throw 1 of 2,1,49-51,,
0:18.0,,,49-51,,O. Casspi enters the game for K. Looney
0:18.0,,,49-51,,N. Young enters the game for A. Iguodala
0:18.0,K. Towns makes free throw 2 of 2,1,50-51,,
0:03.0,,,50-51,,S. Curry misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by K. Towns,,50-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,50-51,,K. Thompson misses 2-pt shot from 18 ft
11:46.0,Defensive rebound by A. Wiggins,,50-51,,
11:34.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,52-51,,
11:34.0,Shooting foul by Z. Pachulia (drawn by K. Towns),,52-51,,
11:34.0,K. Towns makes free throw 1 of 1,1,53-51,,
11:25.0,,,53-51,,Shooting foul by T. Gibson (drawn by D. Green)
11:25.0,,,53-51,,D. Green misses free throw 1 of 2
11:25.0,,,53-51,,Offensive rebound by Team
11:25.0,,,53-52,1,D. Green makes free throw 2 of 2
11:09.0,A. Wiggins misses 2-pt shot from 11 ft (block by S. Curry),,53-52,,
11:08.0,,,53-52,,Defensive rebound by Team
10:51.0,,,53-54,2,S. Curry makes 2-pt shot from 9 ft (assist by A. Iguodala)
10:37.0,A. Wiggins misses 2-pt shot from 20 ft,,53-54,,
10:32.0,,,53-54,,Defensive rebound by S. Curry
10:29.0,,,53-54,,Turnover by D. Green (bad pass; steal by A. Wiggins)
10:20.0,T. Gibson misses 2-pt shot from 18 ft,,53-54,,
10:16.0,,,53-54,,Defensive rebound by K. Thompson
10:09.0,,,53-54,,S. Curry misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by J. Butler,,53-54,,
9:59.0,K. Towns misses 2-pt shot from 16 ft,,53-54,,
9:54.0,,,53-54,,Defensive rebound by S. Curry
9:50.0,,,53-56,2,A. Iguodala makes 2-pt shot from 16 ft (assist by S. Curry)
9:48.0,Minnesota full timeout,,53-56,,
9:24.0,Shooting foul by A. Iguodala (drawn by J. Teague),,53-56,,
9:24.0,J. Teague misses free throw 1 of 2,,53-56,,
9:24.0,Offensive rebound by Team,,53-56,,
9:24.0,J. Teague makes free throw 2 of 2,1,54-56,,
9:13.0,,,54-56,,Shooting foul by T. Gibson (drawn by A. Iguodala)
9:13.0,,,54-57,1,A. Iguodala makes free throw 1 of 2
9:13.0,,,54-58,1,A. Iguodala makes free throw 2 of 2
9:04.0,A. Wiggins misses 2-pt shot from 10 ft,,54-58,,
8:57.0,Offensive rebound by K. Towns,,54-58,,
8:55.0,K. Towns makes 2-pt shot at rim,2,56-58,,
8:49.0,,,56-60,2,S. Curry makes 2-pt shot from 15 ft
8:26.0,T. Gibson misses 3-pt shot from 22 ft,,56-60,,
8:23.0,,,56-60,,Defensive rebound by K. Thompson
8:23.0,,,56-62,2,A. Iguodala makes 2-pt shot from 5 ft
8:23.0,,,56-62,,Shooting foul by A. Wiggins (drawn by A. Iguodala)
8:23.0,,,56-62,,A. Iguodala misses free throw 1 of 1
8:16.0,Defensive rebound by T. Gibson,,56-62,,
8:02.0,A. Wiggins makes 3-pt shot from 26 ft,3,59-62,,
7:50.0,,,59-65,3,K. Thompson makes 3-pt shot from 25 ft (assist by Z. Pachulia)
7:32.0,K. Towns makes 3-pt shot from 27 ft (assist by J. Butler),3,62-65,,
7:16.0,,,62-67,2,K. Thompson makes 2-pt shot from 18 ft (assist by Z. Pachulia)
7:02.0,K. Towns misses 3-pt shot from 26 ft,,62-67,,
6:57.0,,,62-67,,Defensive rebound by Z. Pachulia
6:55.0,,,62-67,,K. Thompson misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by A. Wiggins,,62-67,,
6:46.0,K. Towns makes 2-pt shot from 1 ft (assist by J. Teague),2,64-67,,
6:39.0,,,64-70,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
6:28.0,J. Teague misses 2-pt shot from 9 ft (block by Z. Pachulia),,64-70,,
6:27.0,Offensive rebound by Team,,64-70,,
6:16.0,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague),2,66-70,,
6:07.0,,,66-70,,Turnover by S. Curry (bad pass; steal by J. Butler)
5:55.0,J. Butler misses 2-pt shot from 8 ft,,66-70,,
5:52.0,,,66-70,,Defensive rebound by D. Green
5:50.0,,,66-72,2,K. Thompson makes 2-pt shot from 2 ft
5:50.0,Violation by K. Towns (def goaltending),,66-72,,
5:50.0,,,66-72,,Shooting foul by A. Wiggins (drawn by K. Thompson)
5:50.0,,,66-72,,K. Thompson misses free throw 1 of 1
5:50.0,Defensive rebound by T. Gibson,,66-72,,
5:38.0,Turnover by J. Teague (bad pass; steal by S. Curry),,66-72,,
5:30.0,,,66-72,,S. Curry misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by K. Towns,,66-72,,
5:10.0,J. Teague misses 3-pt shot from 30 ft,,66-72,,
5:09.0,Offensive rebound by Team,,66-72,,
5:09.0,Turnover by Team (shot clock),,66-72,,
5:09.0,,,66-72,,J. McGee enters the game for Z. Pachulia
4:57.0,,,66-72,,Shooting foul by J. Teague (drawn by S. Curry)
4:57.0,,,66-73,1,S. Curry makes free throw 1 of 2
4:57.0,,,66-73,,N. Young enters the game for A. Iguodala
4:57.0,,,66-74,1,S. Curry makes free throw 2 of 2
4:35.0,K. Towns misses 2-pt shot from 14 ft,,66-74,,
4:30.0,,,66-74,,Defensive rebound by S. Curry
4:27.0,,,66-76,2,J. McGee makes 2-pt shot at rim (assist by K. Thompson)
4:27.0,Minnesota full timeout,,66-76,,
4:27.0,G. Dieng enters the game for K. Towns,,66-76,,
4:13.0,A. Wiggins misses 2-pt shot from 13 ft,,66-76,,
4:07.0,,,66-76,,Defensive rebound by S. Curry
4:03.0,,,66-76,,S. Curry misses 2-pt shot from 2 ft
4:00.0,Defensive rebound by G. Dieng,,66-76,,
3:57.0,Turnover by A. Wiggins (lost ball; steal by N. Young),,66-76,,
3:52.0,,,66-79,3,K. Thompson makes 3-pt shot from 27 ft (assist by N. Young)
3:39.0,J. Teague makes 2-pt shot from 15 ft,2,68-79,,
3:17.0,,,68-79,,N. Young misses 3-pt shot from 29 ft
3:14.0,Defensive rebound by T. Gibson,,68-79,,
3:09.0,,,68-79,,Personal foul by S. Curry (drawn by J. Teague)
3:09.0,,,68-79,,S. Livingston enters the game for K. Thompson
3:09.0,N. Bjelica enters the game for J. Butler,,68-79,,
3:09.0,J. Crawford enters the game for T. Gibson,,68-79,,
2:59.0,J. Teague misses 2-pt shot from 6 ft,,68-79,,
2:54.0,,,68-79,,Defensive rebound by J. McGee
2:46.0,,,68-81,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
2:25.0,A. Wiggins makes 2-pt shot from 3 ft,2,70-81,,
2:20.0,,,70-81,,Shooting foul by N. Bjelica (drawn by S. Curry)
2:20.0,,,70-82,1,S. Curry makes free throw 1 of 2
2:20.0,,,70-83,1,S. Curry makes free throw 2 of 2
2:14.0,Turnover by G. Dieng (bad pass; steal by S. Curry),,70-83,,
2:07.0,,,70-86,3,N. Young makes 3-pt shot from 26 ft (assist by S. Curry)
1:50.0,Turnover by G. Dieng (lost ball; steal by N. Young),,70-86,,
1:44.0,,,70-88,2,S. Livingston makes 2-pt shot from 1 ft (assist by D. Green)
1:44.0,Minnesota full timeout,,70-88,,
1:44.0,,,70-88,,O. Casspi enters the game for D. Green
1:32.0,Shooting foul by J. McGee (drawn by A. Wiggins),,70-88,,
1:32.0,A. Wiggins makes free throw 1 of 2,1,71-88,,
1:32.0,A. Wiggins makes free throw 2 of 2,1,72-88,,
1:19.0,,,72-91,3,N. Young makes 3-pt shot from 26 ft (assist by S. Livingston)
1:03.0,J. Crawford misses 2-pt shot from 20 ft,,72-91,,
1:00.0,,,72-91,,Defensive rebound by S. Curry
0:53.0,,,72-91,,Turnover by O. Casspi (bad pass)
0:41.0,,,72-91,,Personal foul by O. Casspi (drawn by J. Teague)
0:41.0,J. Teague makes free throw 1 of 2,1,73-91,,
0:41.0,J. Teague makes free throw 2 of 2,1,74-91,,
0:31.0,,,74-93,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
0:14.0,Turnover by A. Wiggins (lost ball; steal by N. Young),,74-93,,
0:09.0,,,74-95,2,O. Casspi makes 2-pt shot from 1 ft (assist by S. Curry)
0:01.0,J. Crawford makes 2-pt shot from 1 ft,2,76-95,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,76-95,,Personal foul by O. Casspi (drawn by G. Dieng)
11:44.0,S. Muhammad makes 2-pt shot from 2 ft (assist by N. Bjelica),2,78-95,,
11:27.0,,,78-95,,N. Young misses 2-pt shot from 14 ft
11:24.0,Defensive rebound by T. Jones,,78-95,,
11:14.0,J. Crawford makes 2-pt shot from 1 ft,2,80-95,,
11:13.0,,,80-95,,Turnover by S. Livingston (traveling)
11:06.0,G. Dieng misses 2-pt shot from 2 ft (block by O. Casspi),,80-95,,
11:02.0,,,80-95,,Defensive rebound by K. Thompson
10:55.0,,,80-97,2,O. Casspi makes 2-pt shot from 1 ft (assist by D. West)
10:36.0,J. Crawford makes 2-pt shot from 19 ft,2,82-97,,
10:33.0,,,82-97,,Golden State full timeout
10:33.0,,,82-97,,P. McCaw enters the game for N. Young
10:19.0,,,82-97,,Shooting foul by J. Crawford (drawn by D. West)
10:19.0,,,82-98,1,D. West makes free throw 1 of 2
10:19.0,,,82-99,1,D. West makes free throw 2 of 2
10:12.0,Turnover by J. Crawford (bad pass; steal by P. McCaw),,82-99,,
9:56.0,,,82-101,2,P. McCaw makes 2-pt shot at rim
9:44.0,,,82-101,,Personal foul by P. McCaw (drawn by J. Crawford)
9:34.0,N. Bjelica misses 3-pt shot from 32 ft,,82-101,,
9:28.0,,,82-101,,Defensive rebound by D. West
9:24.0,,,82-101,,K. Thompson misses 3-pt shot from 22 ft
9:18.0,Defensive rebound by N. Bjelica,,82-101,,
9:14.0,N. Bjelica misses 2-pt shot from 9 ft,,82-101,,
9:12.0,Offensive rebound by G. Dieng,,82-101,,
9:12.0,G. Dieng makes 2-pt shot at rim,2,84-101,,
9:01.0,,,84-101,,Turnover by K. Thompson (lost ball; steal by T. Jones)
8:55.0,,,84-101,,Personal foul by S. Livingston (drawn by J. Crawford)
8:48.0,J. Crawford misses 3-pt shot from 28 ft,,84-101,,
8:45.0,,,84-101,,Defensive rebound by S. Livingston
8:37.0,,,84-101,,P. McCaw misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by Team,,84-101,,
8:35.0,,,84-101,,Loose ball foul by O. Casspi (drawn by G. Dieng)
8:35.0,J. Butler enters the game for N. Bjelica,,84-101,,
8:13.0,S. Muhammad misses 2-pt shot from 12 ft,,84-101,,
8:11.0,,,84-101,,Defensive rebound by K. Thompson
8:09.0,,,84-103,2,S. Livingston makes 2-pt shot from 15 ft (assist by K. Thompson)
7:48.0,Turnover by J. Crawford (bad pass; steal by O. Casspi),,84-103,,
7:44.0,,,84-105,2,K. Thompson makes 2-pt shot at rim (assist by O. Casspi)
7:41.0,Minnesota full timeout,,84-105,,
7:41.0,J. Teague enters the game for T. Jones,,84-105,,
7:41.0,K. Towns enters the game for G. Dieng,,84-105,,
7:28.0,J. Butler makes 2-pt shot from 7 ft,2,86-105,,
7:04.0,,,86-107,2,D. West makes 2-pt shot from 8 ft
6:47.0,Shooting foul by K. Thompson (drawn by K. Towns),,86-107,,
6:47.0,K. Towns misses free throw 1 of 2,,86-107,,
6:47.0,Offensive rebound by Team,,86-107,,
6:47.0,K. Towns misses free throw 2 of 2,,86-107,,
6:44.0,,,86-107,,Defensive rebound by P. McCaw
6:34.0,,,86-109,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. West)
6:09.0,Shooting foul by O. Casspi (drawn by S. Muhammad),,86-109,,
6:09.0,S. Muhammad misses free throw 1 of 2,,86-109,,
6:09.0,Offensive rebound by Team,,86-109,,
6:09.0,A. Wiggins enters the game for J. Crawford,,86-109,,
6:09.0,S. Muhammad makes free throw 2 of 2,1,87-109,,
5:52.0,,,87-112,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston)
5:31.0,S. Muhammad misses 2-pt shot from 9 ft,,87-112,,
5:30.0,Offensive rebound by K. Towns,,87-112,,
5:30.0,,,87-112,,Personal foul by K. Thompson (drawn by K. Towns)
5:30.0,K. Towns makes free throw 1 of 2,1,88-112,,
5:30.0,,,88-112,,N. Young enters the game for D. West
5:30.0,,,88-112,,K. Looney enters the game for O. Casspi
5:30.0,,,88-112,,J. Bell enters the game for S. Livingston
5:30.0,T. Gibson enters the game for S. Muhammad,,88-112,,
5:30.0,K. Towns makes free throw 2 of 2,1,89-112,,
5:08.0,,,89-112,,K. Thompson misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by T. Gibson,,89-112,,
4:51.0,J. Butler makes 3-pt shot from 25 ft (assist by A. Wiggins),3,92-112,,
4:49.0,,,92-112,,Golden State full timeout
4:30.0,,,92-115,3,P. McCaw makes 3-pt shot from 26 ft (assist by N. Young)
4:18.0,,,92-115,,Personal foul by P. McCaw (drawn by J. Teague)
4:18.0,J. Teague misses free throw 1 of 2,,92-115,,
4:18.0,Offensive rebound by Team,,92-115,,
4:18.0,,,92-115,,O. Casspi enters the game for K. Thompson
4:18.0,J. Teague misses free throw 2 of 2,,92-115,,
