time,Washington,pts.away,score,pts.home,Charlotte
5:22.0,B. Beal makes 2-pt shot from 2 ft,2,18-13,,
5:10.0,,,18-13,,K. Walker misses 3-pt shot from 26 ft
5:07.0,Defensive rebound by M. Gortat,,18-13,,
4:58.0,O. Porter makes 3-pt shot from 26 ft (assist by B. Beal),3,21-13,,
4:45.0,,,21-13,,K. Walker misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by O. Porter,,21-13,,
4:29.0,,,21-13,,Violation by M. Kidd-Gilchrist (kicked ball)
4:16.0,B. Beal misses 3-pt shot from 25 ft,,21-13,,
4:13.0,,,21-13,,Defensive rebound by N. Batum
4:04.0,,,21-13,,M. Kidd-Gilchrist misses 2-pt shot from 5 ft
3:57.0,,,21-13,,Offensive rebound by D. Howard
3:57.0,,,21-15,2,D. Howard makes 2-pt shot at rim
3:50.0,,,21-15,,Personal foul by D. Howard (drawn by J. Wall)
3:50.0,,,21-15,,J. Lamb enters the game for D. Howard
3:50.0,,,21-15,,C. Zeller enters the game for N. Batum
3:50.0,K. Oubre enters the game for O. Porter,,21-15,,
3:50.0,M. Scott enters the game for M. Morris,,21-15,,
3:42.0,B. Beal misses 2-pt shot from 2 ft,,21-15,,
3:39.0,,,21-15,,Defensive rebound by C. Zeller
3:36.0,,,21-15,,Turnover by C. Zeller (bad pass; steal by J. Wall)
3:34.0,J. Wall misses 2-pt shot from 3 ft,,21-15,,
3:31.0,,,21-15,,Defensive rebound by Team
3:23.0,,,21-18,3,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist)
3:06.0,B. Beal misses 2-pt shot from 17 ft,,21-18,,
3:04.0,,,21-18,,Defensive rebound by J. Lamb
2:57.0,,,21-18,,M. Williams misses 3-pt shot from 29 ft
2:55.0,Defensive rebound by K. Oubre,,21-18,,
2:46.0,K. Oubre misses 3-pt shot from 26 ft,,21-18,,
2:42.0,Offensive rebound by M. Gortat,,21-18,,
2:41.0,J. Wall misses 3-pt shot from 26 ft,,21-18,,
2:39.0,Offensive rebound by M. Gortat,,21-18,,
2:36.0,M. Gortat makes 2-pt shot from 9 ft,2,23-18,,
2:20.0,,,23-18,,J. Lamb misses 3-pt shot from 28 ft
2:15.0,Defensive rebound by B. Beal,,23-18,,
2:11.0,J. Wall misses 2-pt shot from 2 ft,,23-18,,
2:08.0,,,23-18,,Defensive rebound by C. Zeller
2:03.0,,,23-18,,J. Lamb misses 2-pt shot from 3 ft
2:03.0,,,23-18,,Offensive rebound by M. Kidd-Gilchrist
1:57.0,,,23-21,3,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist)
1:57.0,Washington full timeout,,23-21,,
1:57.0,,,23-21,,F. Kaminsky enters the game for M. Williams
1:57.0,,,23-21,,D. Bacon enters the game for M. Kidd-Gilchrist
1:57.0,I. Mahinmi enters the game for J. Wall,,23-21,,
1:57.0,T. Frazier enters the game for M. Gortat,,23-21,,
1:43.0,I. Mahinmi misses 2-pt shot from 2 ft,,23-21,,
1:41.0,,,23-21,,Defensive rebound by F. Kaminsky
1:37.0,,,23-21,,Turnover by K. Walker (bad pass)
1:37.0,,,23-21,,M. Carter-Williams enters the game for K. Walker
1:21.0,M. Scott makes 2-pt shot from 1 ft (assist by B. Beal),2,25-21,,
0:59.0,,,25-23,2,D. Bacon makes 2-pt shot from 18 ft (assist by C. Zeller)
0:54.0,,,25-23,,Personal foul by C. Zeller (drawn by T. Frazier)
0:48.0,,,25-23,,Personal foul by M. Carter-Williams (drawn by I. Mahinmi)
0:48.0,I. Mahinmi makes free throw 1 of 2,1,26-23,,
0:48.0,I. Mahinmi misses free throw 2 of 2,,26-23,,
0:47.0,,,26-23,,Defensive rebound by F. Kaminsky
0:37.0,,,26-23,,M. Carter-Williams misses 2-pt shot from 5 ft
0:32.0,,,26-23,,Offensive rebound by C. Zeller
0:32.0,,,26-23,,C. Zeller misses 2-pt shot at rim
0:31.0,Defensive rebound by K. Oubre,,26-23,,
0:22.0,Turnover by T. Frazier (bad pass; steal by M. Carter-Williams),,26-23,,
0:05.0,,,26-23,,Shooting foul by I. Mahinmi (drawn by J. Lamb)
0:05.0,,,26-24,1,J. Lamb makes free throw 1 of 2
0:05.0,,,26-25,1,J. Lamb makes free throw 2 of 2
0:00.0,B. Beal misses 3-pt shot from 24 ft,,26-25,,
0:00.0,Offensive rebound by Team,,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,26-28,3,J. Lamb makes 3-pt shot from 27 ft
11:16.0,,,26-28,,Personal foul by J. Lamb (drawn by K. Oubre)
11:09.0,M. Scott makes 2-pt shot from 11 ft,2,28-28,,
10:55.0,,,28-30,2,F. Kaminsky makes 2-pt shot from 5 ft (assist by J. Lamb)
10:40.0,M. Scott makes 3-pt shot from 26 ft (assist by K. Oubre),3,31-30,,
10:25.0,,,31-30,,C. Zeller misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by M. Scott,,31-30,,
10:19.0,M. Scott misses 3-pt shot from 25 ft,,31-30,,
10:19.0,,,31-30,,Defensive rebound by Team
10:19.0,Loose ball foul by I. Mahinmi (drawn by C. Zeller),,31-30,,
10:07.0,Personal foul by T. Frazier (drawn by M. Carter-Williams),,31-30,,
10:02.0,,,31-32,2,J. Lamb makes 2-pt shot from 19 ft
9:43.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Frazier),2,33-32,,
9:24.0,,,33-32,,Shooting foul by I. Mahinmi (drawn by C. Zeller)
9:24.0,,,33-33,1,C. Zeller makes free throw 1 of 2
9:24.0,,,33-34,1,C. Zeller makes free throw 2 of 2
9:13.0,J. Meeks misses 3-pt shot from 26 ft,,33-34,,
9:13.0,,,33-34,,Defensive rebound by J. Lamb
9:05.0,,,33-37,3,J. Lamb makes 3-pt shot from 26 ft
9:04.0,Washington full timeout,,33-37,,
8:40.0,T. Frazier makes 3-pt shot from 24 ft,3,36-37,,
8:25.0,,,36-39,2,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky)
8:25.0,,,36-39,,Shooting foul by K. Oubre (drawn by J. Lamb)
8:25.0,,,36-40,1,J. Lamb makes free throw 1 of 1
8:09.0,J. Meeks makes 2-pt shot from 9 ft (assist by T. Frazier),2,38-40,,
7:47.0,,,38-40,,F. Kaminsky misses 2-pt shot from 6 ft
7:47.0,Defensive rebound by M. Scott,,38-40,,
7:39.0,J. Meeks makes 2-pt shot from 1 ft,2,40-40,,
7:27.0,Personal foul by K. Oubre (drawn by C. Zeller),,40-40,,
7:27.0,,,40-41,1,C. Zeller makes free throw 1 of 2
7:27.0,,,40-42,1,C. Zeller makes free throw 2 of 2
7:14.0,Turnover by T. Frazier (bad pass; steal by M. Carter-Williams),,40-42,,
7:01.0,,,40-42,,Shooting foul by M. Scott (drawn by M. Carter-Williams)
7:01.0,,,40-42,,M. Carter-Williams misses free throw 1 of 2
7:01.0,,,40-42,,Offensive rebound by Team
7:01.0,,,40-42,,N. Batum enters the game for D. Bacon
7:01.0,,,40-42,,D. Howard enters the game for C. Zeller
7:01.0,M. Gortat enters the game for T. Frazier,,40-42,,
7:01.0,M. Morris enters the game for K. Oubre,,40-42,,
7:01.0,J. Wall enters the game for I. Mahinmi,,40-42,,
7:01.0,B. Beal enters the game for M. Scott,,40-42,,
7:01.0,,,40-43,1,M. Carter-Williams makes free throw 2 of 2
6:38.0,J. Meeks makes 2-pt shot from 13 ft (assist by J. Wall),2,42-43,,
6:24.0,,,42-43,,D. Howard misses 2-pt shot from 6 ft
6:22.0,Defensive rebound by M. Morris,,42-43,,
6:12.0,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall),2,44-43,,
5:59.0,,,44-43,,Offensive foul by F. Kaminsky (drawn by B. Beal)
5:59.0,,,44-43,,Turnover by F. Kaminsky (offensive foul)
5:59.0,,,44-43,,K. Walker enters the game for M. Carter-Williams
5:48.0,J. Meeks makes 2-pt shot from 3 ft (assist by J. Wall),2,46-43,,
5:35.0,,,46-43,,N. Batum misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by M. Morris,,46-43,,
5:25.0,J. Meeks misses 3-pt shot from 25 ft,,46-43,,
5:25.0,,,46-43,,Defensive rebound by Team
5:11.0,,,46-43,,F. Kaminsky misses 3-pt shot from 30 ft
5:11.0,Defensive rebound by B. Beal,,46-43,,
4:59.0,J. Wall misses 2-pt shot from 3 ft (block by J. Lamb),,46-43,,
4:59.0,Offensive rebound by Team,,46-43,,
4:59.0,O. Porter enters the game for J. Meeks,,46-43,,
4:50.0,B. Beal misses 3-pt shot from 26 ft,,46-43,,
4:50.0,,,46-43,,Defensive rebound by D. Howard
4:36.0,,,46-45,2,F. Kaminsky makes 2-pt shot from 5 ft
4:20.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall),2,48-45,,
4:06.0,,,48-47,2,K. Walker makes 2-pt shot from 4 ft
3:56.0,Offensive foul by J. Wall (drawn by K. Walker),,48-47,,
3:56.0,Turnover by J. Wall (offensive foul),,48-47,,
3:56.0,,,48-47,,M. Kidd-Gilchrist enters the game for J. Lamb
3:45.0,,,48-47,,N. Batum misses 2-pt shot from 5 ft
3:43.0,Defensive rebound by M. Gortat,,48-47,,
3:38.0,Shooting foul by N. Batum (drawn by J. Wall),,48-47,,
3:38.0,J. Wall makes free throw 1 of 2,1,49-47,,
3:38.0,,,49-47,,M. Williams enters the game for F. Kaminsky
3:38.0,J. Wall makes free throw 2 of 2,1,50-47,,
3:23.0,,,50-47,,Turnover by D. Howard (traveling)
3:07.0,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat),2,52-47,,
2:45.0,,,52-47,,M. Williams misses 2-pt shot from 12 ft (block by B. Beal)
2:45.0,Defensive rebound by B. Beal,,52-47,,
2:45.0,Turnover by B. Beal (bad pass; steal by M. Williams),,52-47,,
2:33.0,,,52-47,,Shooting foul by M. Morris (drawn by M. Williams)
2:33.0,,,52-47,,Charlotte full timeout
2:33.0,,,52-48,1,M. Williams makes free throw 1 of 2
2:33.0,,,52-49,1,M. Williams makes free throw 2 of 2
2:11.0,M. Morris makes 2-pt shot from 15 ft,2,54-49,,
2:11.0,Shooting foul by M. Williams (drawn by M. Morris),,54-49,,
2:11.0,M. Morris makes free throw 1 of 1,1,55-49,,
1:59.0,,,55-51,2,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by N. Batum)
1:44.0,O. Porter makes 2-pt shot from 15 ft (assist by J. Wall),2,57-51,,
1:28.0,,,57-51,,K. Walker misses 2-pt shot from 11 ft
1:28.0,,,57-51,,Offensive rebound by M. Williams
1:23.0,,,57-51,,Shooting foul by O. Porter (drawn by M. Williams)
1:23.0,,,57-52,1,M. Williams makes free throw 1 of 2
1:23.0,,,57-52,,C. Zeller enters the game for N. Batum
1:23.0,,,57-52,,J. Lamb enters the game for D. Howard
1:23.0,,,57-53,1,M. Williams makes free throw 2 of 2
1:10.0,J. Wall makes 2-pt shot from 11 ft,2,59-53,,
0:47.0,,,59-55,2,K. Walker makes 2-pt shot from 16 ft
0:33.0,B. Beal misses 2-pt shot from 4 ft,,59-55,,
0:31.0,,,59-55,,Defensive rebound by K. Walker
0:17.0,,,59-55,,K. Walker misses 3-pt shot from 28 ft
0:15.0,Defensive rebound by M. Gortat,,59-55,,
0:00.0,J. Wall misses 2-pt shot from 9 ft,,59-55,,
0:00.0,,,59-55,,Defensive rebound by M. Kidd-Gilchrist
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,59-55,,M. Williams misses 3-pt shot from 25 ft
11:49.0,,,59-55,,Offensive rebound by M. Kidd-Gilchrist
11:45.0,,,59-55,,Shooting foul by M. Gortat (drawn by D. Howard)
11:45.0,,,59-55,,D. Howard misses free throw 1 of 2
11:45.0,,,59-55,,Offensive rebound by Team
11:45.0,,,59-56,1,D. Howard makes free throw 2 of 2
11:29.0,J. Wall makes 2-pt shot from 13 ft,2,61-56,,
11:17.0,,,61-56,,Turnover by J. Lamb (bad pass; steal by B. Beal)
11:15.0,,,61-56,,Personal foul by K. Walker (drawn by B. Beal)
11:00.0,O. Porter makes 2-pt shot from 19 ft (assist by M. Gortat),2,63-56,,
10:45.0,,,63-56,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
10:45.0,Defensive rebound by Team,,63-56,,
10:40.0,J. Wall misses 3-pt shot from 28 ft,,63-56,,
10:40.0,,,63-56,,Defensive rebound by M. Williams
10:32.0,,,63-56,,K. Walker misses 2-pt shot from 1 ft
10:32.0,,,63-56,,Offensive rebound by D. Howard
10:32.0,,,63-56,,Shooting foul by O. Porter (drawn by D. Howard)
10:32.0,,,63-56,,Technical foul by K. Walker
10:32.0,B. Beal makes technical free throw,1,64-56,,
10:32.0,,,64-56,,D. Howard misses free throw 1 of 2
10:32.0,,,64-56,,Offensive rebound by Team
10:32.0,,,64-57,1,D. Howard makes free throw 2 of 2
10:23.0,B. Beal misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,64-57,,
10:18.0,,,64-57,,Defensive rebound by D. Howard
10:18.0,Personal foul by M. Morris (drawn by M. Kidd-Gilchrist),,64-57,,
10:13.0,Personal foul by M. Gortat (drawn by D. Howard),,64-57,,
10:06.0,,,64-57,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
10:02.0,Defensive rebound by M. Gortat,,64-57,,
9:53.0,J. Wall makes 2-pt shot from 2 ft,2,66-57,,
9:37.0,,,66-57,,K. Walker misses 2-pt shot at rim
9:37.0,,,66-57,,Offensive rebound by K. Walker
9:37.0,,,66-57,,K. Walker misses 2-pt shot at rim
9:37.0,Defensive rebound by Team,,66-57,,
9:28.0,,,66-57,,Personal foul by M. Kidd-Gilchrist (drawn by B. Beal)
9:21.0,B. Beal makes 2-pt shot from 17 ft,2,68-57,,
9:10.0,,,68-60,3,J. Lamb makes 3-pt shot from 26 ft (assist by K. Walker)
8:52.0,O. Porter misses 2-pt shot from 6 ft,,68-60,,
8:49.0,,,68-60,,Defensive rebound by J. Lamb
8:42.0,,,68-62,2,J. Lamb makes 2-pt shot from 2 ft
8:28.0,M. Morris misses 2-pt shot from 16 ft,,68-62,,
8:25.0,,,68-62,,Defensive rebound by D. Howard
8:20.0,,,68-65,3,K. Walker makes 3-pt shot from 24 ft
8:20.0,Washington full timeout,,68-65,,
8:02.0,M. Gortat makes 2-pt shot from 13 ft (assist by M. Morris),2,70-65,,
7:46.0,,,70-67,2,M. Kidd-Gilchrist makes 2-pt shot at rim
7:29.0,B. Beal misses 2-pt shot from 21 ft,,70-67,,
7:25.0,Offensive rebound by M. Morris,,70-67,,
7:23.0,Turnover by M. Morris (traveling),,70-67,,
7:14.0,,,70-67,,K. Walker misses 3-pt shot from 27 ft
7:11.0,Defensive rebound by O. Porter,,70-67,,
6:51.0,O. Porter misses 3-pt shot from 29 ft,,70-67,,
6:49.0,,,70-67,,Defensive rebound by M. Kidd-Gilchrist
6:49.0,Personal foul by J. Wall (drawn by K. Walker),,70-67,,
6:49.0,,,70-68,1,K. Walker makes free throw 1 of 2
6:49.0,,,70-68,,K. Walker misses free throw 2 of 2
6:47.0,Defensive rebound by M. Gortat,,70-68,,
6:34.0,Turnover by M. Gortat (bad pass; steal by M. Kidd-Gilchrist),,70-68,,
6:16.0,,,70-71,3,K. Walker makes 3-pt shot from 26 ft (assist by J. Lamb)
6:05.0,J. Wall misses 2-pt shot from 16 ft,,70-71,,
6:02.0,,,70-71,,Defensive rebound by D. Howard
5:54.0,,,70-73,2,D. Howard makes 2-pt shot from 6 ft (assist by K. Walker)
5:36.0,M. Morris makes 2-pt shot from 3 ft,2,72-73,,
5:36.0,,,72-73,,Violation by D. Howard (def goaltending)
5:20.0,,,72-75,2,D. Howard makes 2-pt shot from 1 ft
5:05.0,O. Porter misses 2-pt shot from 21 ft,,72-75,,
5:04.0,,,72-75,,Defensive rebound by K. Walker
4:59.0,,,72-75,,Turnover by K. Walker (bad pass; steal by B. Beal)
4:57.0,,,72-75,,Personal foul by J. Lamb (drawn by B. Beal)
4:57.0,B. Beal makes clear path free throw 2 of 2,1,73-75,,
4:57.0,B. Beal makes clear path free throw 1 of 2,1,74-75,,
4:57.0,K. Oubre enters the game for O. Porter,,74-75,,
4:49.0,B. Beal makes 2-pt shot from 15 ft (assist by J. Wall),2,76-75,,
4:35.0,,,76-75,,K. Walker misses 2-pt shot from 3 ft (block by M. Gortat)
4:28.0,,,76-75,,Offensive rebound by D. Howard
4:28.0,,,76-77,2,D. Howard makes 2-pt shot at rim
4:11.0,K. Oubre misses 2-pt shot from 14 ft,,76-77,,
4:07.0,,,76-77,,Defensive rebound by D. Howard
4:01.0,,,76-79,2,D. Howard makes 2-pt shot from 2 ft (assist by M. Williams)
3:37.0,J. Wall makes 2-pt shot from 3 ft,2,78-79,,
3:17.0,,,78-81,2,D. Howard makes 2-pt shot at rim (assist by M. Williams)
2:54.0,K. Oubre misses 2-pt shot from 3 ft,,78-81,,
2:51.0,,,78-81,,Defensive rebound by J. Lamb
2:44.0,,,78-81,,J. Lamb misses 2-pt shot at rim
2:43.0,,,78-81,,Offensive rebound by M. Kidd-Gilchrist
2:43.0,,,78-83,2,M. Kidd-Gilchrist makes 2-pt shot at rim
2:43.0,Washington full timeout,,78-83,,
2:43.0,,,78-83,,M. Carter-Williams enters the game for J. Lamb
2:43.0,M. Scott enters the game for B. Beal,,78-83,,
2:43.0,J. Meeks enters the game for M. Morris,,78-83,,
2:43.0,I. Mahinmi enters the game for M. Gortat,,78-83,,
2:25.0,J. Wall makes 2-pt shot from 13 ft,2,80-83,,
2:11.0,,,80-83,,Shooting foul by K. Oubre (drawn by D. Howard)
2:11.0,,,80-83,,D. Howard misses free throw 1 of 2
2:11.0,,,80-83,,Offensive rebound by Team
2:11.0,,,80-83,,F. Kaminsky enters the game for M. Williams
2:11.0,,,80-83,,D. Bacon enters the game for M. Kidd-Gilchrist
2:11.0,,,80-84,1,D. Howard makes free throw 2 of 2
2:00.0,M. Scott misses 3-pt shot from 26 ft,,80-84,,
2:00.0,Offensive rebound by I. Mahinmi,,80-84,,
1:44.0,Turnover by M. Scott (traveling),,80-84,,
1:34.0,,,80-84,,K. Walker misses 2-pt shot from 5 ft
1:32.0,Defensive rebound by I. Mahinmi,,80-84,,
1:25.0,K. Oubre makes 3-pt shot from 27 ft (assist by J. Meeks),3,83-84,,
1:07.0,,,83-84,,Turnover by M. Carter-Williams (step out of bounds)
0:55.0,Shooting foul by D. Bacon (drawn by J. Wall),,83-84,,
0:55.0,J. Wall makes free throw 1 of 2,1,84-84,,
0:55.0,J. Wall makes free throw 2 of 2,1,85-84,,
0:43.0,,,85-84,,Turnover by D. Bacon (bad pass)
0:30.0,J. Wall misses 2-pt shot from 14 ft,,85-84,,
0:29.0,Offensive rebound by K. Oubre,,85-84,,
0:29.0,K. Oubre makes 2-pt shot at rim,2,87-84,,
0:11.0,,,87-84,,F. Kaminsky misses 2-pt shot from 1 ft
0:08.0,Defensive rebound by K. Oubre,,87-84,,
0:03.0,Shooting foul by K. Walker (drawn by J. Wall),,87-84,,
0:03.0,J. Wall makes free throw 1 of 2,1,88-84,,
0:03.0,J. Wall misses free throw 2 of 2,,88-84,,
0:00.0,,,88-84,,Defensive rebound by D. Bacon
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by J. Lamb (drawn by K. Oubre),,88-84,,
11:48.0,K. Oubre makes free throw 1 of 2,1,89-84,,
11:48.0,K. Oubre makes free throw 2 of 2,1,90-84,,
11:35.0,,,90-84,,Shooting foul by T. Frazier (drawn by M. Carter-Williams)
11:35.0,,,90-85,1,M. Carter-Williams makes free throw 1 of 2
11:35.0,,,90-86,1,M. Carter-Williams makes free throw 2 of 2
11:21.0,K. Oubre misses 3-pt shot from 28 ft,,90-86,,
11:19.0,,,90-86,,Defensive rebound by Team
11:19.0,Loose ball foul by K. Oubre (drawn by J. Lamb),,90-86,,
11:07.0,,,90-89,3,M. Carter-Williams makes 3-pt shot from 24 ft (assist by J. Lamb)
10:53.0,M. Scott makes 3-pt shot from 28 ft (assist by T. Frazier),3,93-89,,
10:30.0,,,93-89,,D. Bacon misses 2-pt shot from 8 ft
10:28.0,Defensive rebound by I. Mahinmi,,93-89,,
10:17.0,J. Meeks misses 3-pt shot from 27 ft,,93-89,,
10:13.0,,,93-89,,Defensive rebound by F. Kaminsky
10:10.0,,,93-89,,Turnover by M. Carter-Williams (palming)
10:00.0,Shooting foul by D. Bacon (drawn by J. Meeks),,93-89,,
10:00.0,J. Meeks misses free throw 1 of 2,,93-89,,
10:00.0,Offensive rebound by Team,,93-89,,
10:00.0,J. Meeks makes free throw 2 of 2,1,94-89,,
9:45.0,,,94-89,,Shooting foul by M. Scott (drawn by F. Kaminsky)
9:45.0,,,94-90,1,F. Kaminsky makes free throw 1 of 2
9:45.0,,,94-91,1,F. Kaminsky makes free throw 2 of 2
9:23.0,J. Meeks misses 3-pt shot from 24 ft,,94-91,,
9:20.0,Offensive rebound by I. Mahinmi,,94-91,,
9:18.0,K. Oubre makes 2-pt shot from 2 ft (assist by I. Mahinmi),2,96-91,,
9:01.0,,,96-91,,J. Lamb misses 3-pt shot from 25 ft
8:58.0,Defensive rebound by T. Frazier,,96-91,,
8:51.0,J. Meeks misses 3-pt shot from 27 ft,,96-91,,
8:49.0,,,96-91,,Defensive rebound by F. Kaminsky
8:37.0,,,96-91,,M. Carter-Williams misses 2-pt shot from 15 ft
8:35.0,Defensive rebound by M. Scott,,96-91,,
8:26.0,,,96-91,,Personal foul by D. Bacon (drawn by K. Oubre)
8:26.0,,,96-91,,M. Kidd-Gilchrist enters the game for D. Bacon
8:20.0,M. Scott makes 3-pt shot from 23 ft (assist by J. Meeks),3,99-91,,
8:08.0,Personal foul by I. Mahinmi (drawn by C. Zeller),,99-91,,
8:02.0,,,99-91,,J. Lamb misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by M. Scott,,99-91,,
7:48.0,Turnover by K. Oubre (bad pass),,99-91,,
7:38.0,Personal foul by M. Scott (drawn by M. Carter-Williams),,99-91,,
7:38.0,,,99-92,1,M. Carter-Williams makes free throw 1 of 2
7:38.0,B. Beal enters the game for J. Meeks,,99-92,,
7:38.0,,,99-93,1,M. Carter-Williams makes free throw 2 of 2
7:21.0,K. Oubre misses 2-pt shot from 8 ft (block by J. Lamb),,99-93,,
7:19.0,,,99-93,,Defensive rebound by Team
7:12.0,,,99-93,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by T. Frazier)
7:12.0,Defensive rebound by T. Frazier,,99-93,,
7:06.0,B. Beal misses 3-pt shot from 28 ft,,99-93,,
7:04.0,,,99-93,,Defensive rebound by Team
7:04.0,,,99-93,,K. Walker enters the game for J. Lamb
7:04.0,J. Wall enters the game for T. Frazier,,99-93,,
6:40.0,,,99-93,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
6:38.0,Defensive rebound by I. Mahinmi,,99-93,,
6:30.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,102-93,,
6:30.0,,,102-93,,Charlotte full timeout
6:30.0,,,102-93,,D. Howard enters the game for C. Zeller
6:13.0,,,102-96,3,M. Carter-Williams makes 3-pt shot from 23 ft (assist by F. Kaminsky)
5:54.0,J. Wall makes 2-pt shot from 7 ft,2,104-96,,
5:38.0,,,104-96,,Turnover by F. Kaminsky (bad pass; steal by I. Mahinmi)
5:25.0,B. Beal misses 3-pt shot from 28 ft,,104-96,,
5:24.0,,,104-96,,Defensive rebound by Team
5:24.0,Loose ball foul by I. Mahinmi (drawn by F. Kaminsky),,104-96,,
5:24.0,,,104-97,1,F. Kaminsky makes free throw 1 of 2
5:24.0,M. Gortat enters the game for I. Mahinmi,,104-97,,
5:24.0,,,104-98,1,F. Kaminsky makes free throw 2 of 2
5:11.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,107-98,,
4:49.0,,,107-98,,Turnover by D. Howard (turnover)
4:47.0,,,107-98,,J. Lamb enters the game for M. Carter-Williams
