time,Miami,pts.away,score,pts.home,Utah
6:48.0,,,5-10,,R. Rubio misses 2-pt shot from 14 ft
6:46.0,Defensive rebound by J. Winslow,,5-10,,
6:44.0,J. Winslow makes 2-pt shot from 5 ft,2,7-10,,
6:44.0,Shooting foul by R. Rubio (drawn by J. Winslow),,7-10,,
6:44.0,,,7-10,,Utah full timeout
6:44.0,,,7-10,,R. Hood enters the game for R. Rubio
6:44.0,K. Olynyk enters the game for H. Whiteside,,7-10,,
6:44.0,J. Winslow makes free throw 1 of 1,1,8-10,,
6:31.0,,,8-12,2,R. Hood makes 2-pt shot from 17 ft (assist by D. Mitchell)
6:12.0,D. Waiters makes 3-pt shot from 26 ft,3,11-12,,
5:56.0,,,11-14,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
5:35.0,T. Johnson enters the game for J. Richardson,,11-14,,
5:33.0,G. Dragic misses 3-pt shot from 24 ft,,11-14,,
5:30.0,,,11-14,,Defensive rebound by D. Mitchell
5:25.0,Personal foul by K. Olynyk (drawn by R. Gobert),,11-14,,
5:25.0,,,11-14,,J. Jerebko enters the game for D. Favors
5:14.0,,,11-14,,Turnover by R. Hood (bad pass)
5:02.0,Turnover by D. Waiters (bad pass; steal by D. Mitchell),,11-14,,
4:42.0,,,11-16,2,J. Ingles makes 2-pt shot from 2 ft
4:35.0,Miami full timeout,,11-16,,
4:35.0,J. Johnson enters the game for J. Winslow,,11-16,,
4:23.0,T. Johnson makes 2-pt shot from 14 ft,2,13-16,,
4:06.0,,,13-16,,R. Hood misses 3-pt shot from 25 ft
4:03.0,Defensive rebound by J. Johnson,,13-16,,
3:59.0,,,13-16,,Personal foul by J. Ingles (drawn by D. Waiters)
3:59.0,,,13-16,,T. Sefolosha enters the game for J. Ingles
3:43.0,G. Dragic misses 2-pt shot from 19 ft,,13-16,,
3:38.0,,,13-16,,Defensive rebound by J. Jerebko
3:31.0,,,13-18,2,R. Gobert makes 2-pt shot from 2 ft
3:17.0,K. Olynyk makes 3-pt shot from 25 ft (assist by G. Dragic),3,16-18,,
2:59.0,,,16-18,,R. Hood misses 2-pt shot from 13 ft
2:56.0,Defensive rebound by G. Dragic,,16-18,,
2:56.0,,,16-18,,Personal foul by R. Hood (drawn by G. Dragic)
2:56.0,,,16-18,,E. Udoh enters the game for R. Gobert
2:56.0,,,16-18,,R. Rubio enters the game for D. Mitchell
2:56.0,W. Ellington enters the game for G. Dragic,,16-18,,
2:41.0,T. Johnson makes 2-pt shot from 1 ft,2,18-18,,
2:22.0,,,18-18,,Turnover by R. Rubio (bad pass; steal by J. Johnson)
2:11.0,D. Waiters makes 2-pt shot from 2 ft,2,20-18,,
1:53.0,,,20-18,,J. Jerebko misses 2-pt shot from 9 ft
1:51.0,Defensive rebound by K. Olynyk,,20-18,,
1:45.0,D. Waiters misses 2-pt shot from 20 ft,,20-18,,
1:45.0,,,20-18,,Defensive rebound by T. Sefolosha
1:32.0,,,20-18,,T. Sefolosha misses 2-pt shot from 7 ft
1:32.0,Defensive rebound by K. Olynyk,,20-18,,
1:24.0,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson),3,23-18,,
1:07.0,,,23-20,2,R. Hood makes 2-pt shot from 18 ft
0:49.0,W. Ellington makes 2-pt shot from 1 ft (assist by K. Olynyk),2,25-20,,
0:36.0,,,25-20,,Turnover by R. Rubio (bad pass)
0:24.0,Turnover by D. Waiters (bad pass),,25-20,,
0:03.0,,,25-22,2,R. Hood makes 2-pt shot from 22 ft
0:00.0,D. Waiters misses 3-pt shot from 43 ft,,25-22,,
0:00.0,Offensive rebound by Team,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,25-22,,Personal foul by E. Udoh (drawn by K. Olynyk)
11:47.0,Offensive foul by K. Olynyk (drawn by A. Burks),,25-22,,
11:47.0,Turnover by K. Olynyk (offensive foul),,25-22,,
11:47.0,H. Whiteside enters the game for K. Olynyk,,25-22,,
11:32.0,,,25-25,3,R. Hood makes 3-pt shot from 26 ft (assist by R. Rubio)
11:17.0,J. Richardson misses 2-pt shot from 3 ft (block by E. Udoh),,25-25,,
11:17.0,Offensive rebound by H. Whiteside,,25-25,,
11:17.0,H. Whiteside makes 2-pt shot from 1 ft,2,27-25,,
11:17.0,Shooting foul by R. Hood (drawn by H. Whiteside),,27-25,,
11:17.0,H. Whiteside misses free throw 1 of 1,,27-25,,
11:15.0,,,27-25,,Defensive rebound by R. Rubio
10:56.0,,,27-27,2,T. Sefolosha makes 2-pt shot from 3 ft
10:27.0,J. Johnson misses 2-pt shot from 5 ft,,27-27,,
10:24.0,,,27-27,,Defensive rebound by A. Burks
10:20.0,,,27-29,2,R. Hood makes 2-pt shot from 10 ft
10:01.0,Turnover by J. Johnson (traveling),,27-29,,
9:48.0,,,27-29,,R. Hood misses 2-pt shot from 19 ft
9:45.0,Defensive rebound by H. Whiteside,,27-29,,
9:33.0,H. Whiteside misses 2-pt shot from 15 ft,,27-29,,
9:30.0,,,27-29,,Defensive rebound by A. Burks
9:22.0,,,27-29,,R. Rubio misses 2-pt shot from 5 ft
9:20.0,Defensive rebound by H. Whiteside,,27-29,,
9:14.0,Turnover by J. Richardson (step out of bounds),,27-29,,
8:53.0,,,27-29,,R. Rubio misses 2-pt shot from 11 ft
8:50.0,Defensive rebound by T. Johnson,,27-29,,
8:41.0,T. Johnson misses 2-pt shot from 7 ft (block by E. Udoh),,27-29,,
8:41.0,Offensive rebound by Team,,27-29,,
8:41.0,,,27-29,,D. Mitchell enters the game for R. Rubio
8:41.0,,,27-29,,R. Gobert enters the game for E. Udoh
8:33.0,J. Johnson misses 3-pt shot from 25 ft,,27-29,,
8:29.0,,,27-29,,Defensive rebound by T. Sefolosha
8:20.0,,,27-29,,Turnover by D. Mitchell (lost ball; steal by J. Johnson)
8:07.0,T. Johnson misses 2-pt shot from 21 ft,,27-29,,
8:05.0,Offensive rebound by H. Whiteside,,27-29,,
8:04.0,H. Whiteside misses 2-pt shot from 7 ft,,27-29,,
8:04.0,,,27-29,,Defensive rebound by R. Gobert
7:51.0,,,27-29,,R. Gobert misses 2-pt shot from 10 ft
7:49.0,Defensive rebound by W. Ellington,,27-29,,
7:31.0,T. Johnson makes 3-pt shot from 26 ft (assist by J. Johnson),3,30-29,,
7:28.0,,,30-29,,Utah full timeout
7:28.0,,,30-29,,D. Favors enters the game for R. Hood
7:28.0,,,30-29,,J. Ingles enters the game for T. Sefolosha
7:14.0,,,30-29,,D. Mitchell misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by J. Richardson,,30-29,,
6:58.0,W. Ellington makes 3-pt shot from 26 ft (assist by T. Johnson),3,33-29,,
6:41.0,,,33-32,3,A. Burks makes 3-pt shot from 24 ft
6:18.0,Turnover by H. Whiteside (lost ball; steal by A. Burks),,33-32,,
6:10.0,,,33-35,3,D. Mitchell makes 3-pt shot from 25 ft
5:48.0,T. Johnson misses 2-pt shot from 3 ft (block by D. Favors),,33-35,,
5:46.0,,,33-35,,Defensive rebound by R. Gobert
5:42.0,,,33-37,2,A. Burks makes 2-pt shot from 2 ft (assist by J. Ingles)
5:32.0,Miami full timeout,,33-37,,
5:32.0,G. Dragic enters the game for T. Johnson,,33-37,,
5:32.0,J. Winslow enters the game for J. Johnson,,33-37,,
5:19.0,Shooting foul by D. Mitchell (drawn by H. Whiteside),,33-37,,
5:19.0,H. Whiteside makes free throw 1 of 2,1,34-37,,
5:19.0,H. Whiteside makes free throw 2 of 2,1,35-37,,
5:03.0,,,35-40,3,A. Burks makes 3-pt shot from 22 ft (assist by J. Ingles)
4:44.0,G. Dragic misses 2-pt shot from 7 ft,,35-40,,
4:42.0,,,35-40,,Defensive rebound by J. Ingles
4:24.0,,,35-43,3,D. Mitchell makes 3-pt shot from 26 ft (assist by A. Burks)
4:07.0,J. Richardson misses 3-pt shot from 26 ft,,35-43,,
4:04.0,,,35-43,,Defensive rebound by D. Favors
3:55.0,,,35-45,2,D. Favors makes 2-pt shot from 15 ft (assist by A. Burks)
3:47.0,Miami full timeout,,35-45,,
3:47.0,,,35-45,,R. Hood enters the game for A. Burks
3:47.0,D. Waiters enters the game for J. Richardson,,35-45,,
3:47.0,K. Olynyk enters the game for W. Ellington,,35-45,,
3:47.0,T. Johnson enters the game for H. Whiteside,,35-45,,
3:32.0,Offensive foul by G. Dragic (drawn by R. Gobert),,35-45,,
3:32.0,Turnover by G. Dragic (offensive foul),,35-45,,
3:17.0,,,35-45,,R. Hood misses 2-pt shot from 4 ft
3:15.0,Defensive rebound by J. Winslow,,35-45,,
3:10.0,J. Winslow misses 2-pt shot from 3 ft,,35-45,,
3:08.0,,,35-45,,Defensive rebound by R. Hood
2:59.0,,,35-45,,R. Gobert misses 2-pt shot from 1 ft
2:56.0,Defensive rebound by T. Johnson,,35-45,,
2:37.0,T. Johnson misses 2-pt shot from 11 ft,,35-45,,
2:35.0,,,35-45,,Defensive rebound by R. Gobert
2:28.0,,,35-45,,D. Favors misses 2-pt shot from 7 ft
2:25.0,Defensive rebound by K. Olynyk,,35-45,,
2:09.0,G. Dragic misses 3-pt shot from 24 ft,,35-45,,
2:04.0,,,35-45,,Defensive rebound by R. Hood
1:50.0,,,35-45,,J. Ingles misses 2-pt shot from 14 ft
1:49.0,Defensive rebound by K. Olynyk,,35-45,,
1:31.0,D. Waiters misses 2-pt shot from 22 ft,,35-45,,
1:27.0,,,35-45,,Defensive rebound by R. Gobert
1:10.0,,,35-45,,D. Mitchell misses 2-pt shot from 16 ft
1:07.0,Defensive rebound by J. Winslow,,35-45,,
1:03.0,T. Johnson misses 3-pt shot from 22 ft,,35-45,,
1:03.0,Offensive rebound by J. Winslow,,35-45,,
1:03.0,Shooting foul by D. Mitchell (drawn by J. Winslow),,35-45,,
1:03.0,J. Winslow misses free throw 1 of 2,,35-45,,
1:03.0,Offensive rebound by Team,,35-45,,
1:03.0,,,35-45,,R. Rubio enters the game for D. Favors
1:03.0,J. Winslow makes free throw 2 of 2,1,36-45,,
0:54.0,,,36-47,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Hood)
0:37.0,Shooting foul by R. Gobert (drawn by K. Olynyk),,36-47,,
0:37.0,K. Olynyk misses free throw 1 of 2,,36-47,,
0:37.0,Offensive rebound by Team,,36-47,,
0:37.0,J. Richardson enters the game for G. Dragic,,36-47,,
0:37.0,K. Olynyk makes free throw 2 of 2,1,37-47,,
0:20.0,,,37-49,2,D. Mitchell makes 2-pt shot from 10 ft
0:20.0,,,37-49,,Shooting foul by J. Richardson (drawn by D. Mitchell)
0:20.0,G. Dragic enters the game for J. Richardson,,37-49,,
0:20.0,J. Richardson enters the game for J. Winslow,,37-49,,
0:20.0,,,37-49,,D. Mitchell misses free throw 1 of 1
0:18.0,Defensive rebound by K. Olynyk,,37-49,,
0:03.0,D. Waiters misses 2-pt shot from 3 ft,,37-49,,
0:01.0,,,37-49,,Defensive rebound by R. Gobert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Waiters misses 2-pt shot from 20 ft,,37-49,,
11:39.0,,,37-49,,Defensive rebound by J. Ingles
11:26.0,,,37-49,,Turnover by R. Rubio (traveling)
11:13.0,G. Dragic makes 2-pt shot from 2 ft,2,39-49,,
10:49.0,,,39-49,,J. Ingles misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by H. Whiteside,,39-49,,
10:46.0,Turnover by H. Whiteside (bad pass; steal by R. Rubio),,39-49,,
10:42.0,,,39-49,,J. Ingles misses 3-pt shot from 25 ft
10:42.0,,,39-49,,Offensive rebound by Team
10:21.0,,,39-49,,R. Gobert misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by J. Winslow,,39-49,,
10:20.0,,,39-49,,Personal foul by J. Ingles (drawn by J. Winslow)
10:09.0,J. Richardson misses 3-pt shot from 25 ft,,39-49,,
10:06.0,Offensive rebound by G. Dragic,,39-49,,
9:47.0,G. Dragic misses 2-pt shot from 15 ft,,39-49,,
9:45.0,H. Whiteside makes 2-pt shot from 1 ft,2,41-49,,
9:45.0,,,41-49,,Utah full timeout
9:44.0,Defensive rebound by H. Whiteside,,41-49,,
9:29.0,,,41-49,,Turnover by J. Ingles (bad pass; steal by H. Whiteside)
9:26.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Richardson),2,43-49,,
9:26.0,Shooting foul by R. Rubio (drawn by G. Dragic),,43-49,,
9:26.0,G. Dragic makes free throw 1 of 1,1,44-49,,
9:13.0,,,44-49,,Turnover by D. Favors (traveling)
9:00.0,,,44-49,,Personal foul by D. Mitchell (drawn by J. Winslow)
8:53.0,Turnover by J. Richardson (bad pass; steal by J. Ingles),,44-49,,
8:53.0,,,44-49,,Turnover by J. Ingles (bad pass; steal by J. Richardson)
8:53.0,J. Richardson makes 2-pt shot from 2 ft,2,46-49,,
8:32.0,,,46-49,,Offensive foul by D. Favors (drawn by J. Winslow)
8:32.0,,,46-49,,Turnover by D. Favors (offensive foul)
8:15.0,Turnover by G. Dragic (bad pass; steal by R. Rubio),,46-49,,
7:58.0,,,46-49,,Turnover by R. Rubio (bad pass; steal by H. Whiteside)
7:49.0,D. Waiters makes 2-pt shot from 2 ft,2,48-49,,
7:36.0,,,48-49,,Offensive foul by D. Favors (drawn by D. Waiters)
7:36.0,,,48-49,,Turnover by D. Favors (offensive foul)
7:36.0,,,48-49,,R. Hood enters the game for R. Rubio
7:22.0,D. Waiters misses 2-pt shot from 3 ft (block by R. Gobert),,48-49,,
7:22.0,Offensive rebound by Team,,48-49,,
7:14.0,J. Winslow misses 2-pt shot from 12 ft,,48-49,,
7:07.0,,,48-49,,Defensive rebound by R. Gobert
7:04.0,,,48-49,,Shooting foul by H. Whiteside (drawn by R. Gobert)
7:04.0,,,48-50,1,R. Gobert makes free throw 1 of 2
7:04.0,,,48-50,,R. Gobert misses free throw 2 of 2
7:02.0,Defensive rebound by H. Whiteside,,48-50,,
6:51.0,Shooting foul by R. Gobert (drawn by D. Waiters),,48-50,,
6:51.0,D. Waiters makes free throw 1 of 2,1,49-50,,
6:51.0,D. Waiters makes free throw 2 of 2,1,50-50,,
6:36.0,,,50-52,2,J. Ingles makes 2-pt shot from 3 ft (assist by D. Favors)
6:24.0,G. Dragic makes 2-pt shot from 11 ft,2,52-52,,
6:05.0,,,52-52,,D. Mitchell misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by H. Whiteside,,52-52,,
5:53.0,D. Waiters misses 2-pt shot from 2 ft,,52-52,,
5:50.0,,,52-52,,Defensive rebound by J. Ingles
5:45.0,,,52-52,,D. Favors misses 2-pt shot from 5 ft (block by J. Winslow)
5:45.0,,,52-52,,Offensive rebound by Team
5:45.0,T. Johnson enters the game for J. Richardson,,52-52,,
5:27.0,,,52-52,,D. Favors misses 2-pt shot from 2 ft (block by T. Johnson)
5:27.0,,,52-52,,Offensive rebound by Team
5:27.0,,,52-52,,Turnover by Team (shot clock)
5:12.0,G. Dragic misses 2-pt shot from 5 ft,,52-52,,
5:11.0,,,52-52,,Defensive rebound by J. Ingles
5:11.0,Personal foul by G. Dragic (drawn by J. Ingles),,52-52,,
4:56.0,,,52-52,,J. Ingles misses 2-pt shot from 12 ft
4:55.0,Defensive rebound by Team,,52-52,,
4:42.0,D. Waiters misses 2-pt shot from 8 ft,,52-52,,
4:36.0,Offensive rebound by H. Whiteside,,52-52,,
4:35.0,H. Whiteside makes 2-pt shot from 1 ft,2,54-52,,
4:20.0,,,54-52,,J. Ingles misses 2-pt shot from 1 ft
4:18.0,Defensive rebound by H. Whiteside,,54-52,,
4:17.0,Turnover by G. Dragic (traveling),,54-52,,
4:17.0,,,54-52,,J. Jerebko enters the game for J. Ingles
4:17.0,,,54-52,,T. Sefolosha enters the game for D. Favors
4:09.0,,,54-52,,D. Mitchell misses 2-pt shot from 8 ft
4:04.0,,,54-52,,Offensive rebound by J. Jerebko
4:00.0,,,54-52,,R. Hood misses 3-pt shot from 25 ft
3:57.0,Defensive rebound by H. Whiteside,,54-52,,
3:53.0,,,54-52,,Personal foul by R. Hood (drawn by T. Johnson)
3:53.0,,,54-52,,E. Udoh enters the game for R. Gobert
3:53.0,,,54-52,,Utah full timeout
3:53.0,J. Johnson enters the game for J. Winslow,,54-52,,
3:53.0,T. Johnson misses free throw 1 of 2,,54-52,,
3:53.0,Offensive rebound by Team,,54-52,,
3:53.0,T. Johnson makes free throw 2 of 2,1,55-52,,
3:43.0,,,55-52,,R. Hood misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by H. Whiteside,,55-52,,
3:23.0,D. Waiters misses 3-pt shot from 26 ft,,55-52,,
3:20.0,,,55-52,,Defensive rebound by J. Jerebko
2:59.0,,,55-52,,J. Jerebko misses 2-pt shot from 7 ft (block by H. Whiteside)
2:54.0,,,55-52,,Offensive rebound by R. Hood
2:53.0,,,55-52,,R. Hood misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by H. Whiteside,,55-52,,
2:42.0,G. Dragic makes 2-pt shot from 2 ft,2,57-52,,
2:19.0,,,57-52,,D. Mitchell misses 3-pt shot from 28 ft
2:17.0,Defensive rebound by H. Whiteside,,57-52,,
2:03.0,D. Waiters misses 2-pt shot from 1 ft,,57-52,,
2:01.0,,,57-52,,Defensive rebound by T. Sefolosha
1:56.0,Personal foul by G. Dragic (drawn by E. Udoh),,57-52,,
1:56.0,,,57-52,,A. Burks enters the game for J. Jerebko
1:56.0,,,57-52,,R. Rubio enters the game for D. Mitchell
1:56.0,J. Richardson enters the game for D. Waiters,,57-52,,
1:48.0,,,57-52,,R. Hood misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by J. Richardson,,57-52,,
1:33.0,Offensive foul by H. Whiteside (drawn by R. Hood),,57-52,,
1:33.0,Turnover by H. Whiteside (offensive foul),,57-52,,
1:13.0,Personal foul by J. Johnson (drawn by R. Rubio),,57-52,,
1:13.0,Turnover by J. Johnson (turnover),,57-52,,
1:13.0,W. Ellington enters the game for G. Dragic,,57-52,,
1:13.0,,,57-54,1,R. Rubio makes free throw 1 of 2
1:13.0,,,57-54,1,R. Rubio makes free throw 2 of 2
1:05.0,Turnover by J. Johnson (lost ball; steal by R. Rubio),,57-54,,
0:59.0,,,57-54,,A. Burks misses 2-pt shot from 1 ft
0:58.0,,,57-54,,Offensive rebound by Team
0:58.0,Loose ball foul by T. Johnson (drawn by E. Udoh),,57-54,,
0:58.0,,,57-55,1,E. Udoh makes free throw 1 of 2
0:58.0,,,57-55,,E. Udoh misses free throw 2 of 2
0:57.0,Defensive rebound by H. Whiteside,,57-55,,
0:47.0,Turnover by J. Richardson (turnover),,57-55,,
0:35.0,,,57-55,,Shooting foul by T. Johnson (drawn by R. Hood)
0:35.0,,,57-56,1,R. Hood makes free throw 1 of 2
0:35.0,,,57-57,1,R. Hood makes free throw 2 of 2
0:17.0,Turnover by J. Johnson (bad pass; steal by R. Hood),,57-57,,
0:01.0,,,57-57,,R. Hood misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Johnson,,57-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,57-57,,R. Hood misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by T. Johnson,,57-57,,
11:29.0,W. Ellington misses 3-pt shot from 25 ft,,57-57,,
11:25.0,,,57-57,,Defensive rebound by A. Burks
11:21.0,,,57-59,2,A. Burks makes 2-pt shot from 6 ft
10:59.0,J. Johnson makes 2-pt shot from 3 ft,2,59-59,,
10:33.0,,,59-59,,Shooting foul by J. Richardson (drawn by R. Hood)
10:33.0,,,59-60,1,R. Hood makes free throw 1 of 2
10:33.0,,,59-61,1,R. Hood makes free throw 2 of 2
10:12.0,,,59-61,,Personal foul by R. Gobert (drawn by K. Olynyk)
10:04.0,K. Olynyk misses 3-pt shot from 24 ft,,59-61,,
10:02.0,,,59-61,,Defensive rebound by A. Burks
9:52.0,,,59-61,,T. Sefolosha misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by J. Johnson,,59-61,,
9:42.0,K. Olynyk misses 3-pt shot from 25 ft,,59-61,,
9:38.0,,,59-61,,Defensive rebound by A. Burks
9:28.0,,,59-61,,R. Rubio misses 2-pt shot from 2 ft (block by T. Johnson)
9:24.0,,,59-61,,Offensive rebound by T. Sefolosha
9:22.0,,,59-63,2,T. Sefolosha makes 2-pt shot from 7 ft
9:08.0,,,59-63,,D. Favors enters the game for T. Sefolosha
9:08.0,G. Dragic enters the game for W. Ellington,,59-63,,
8:55.0,G. Dragic makes 3-pt shot from 25 ft (assist by K. Olynyk),3,62-63,,
8:35.0,,,62-63,,Turnover by R. Gobert (lost ball; steal by K. Olynyk)
8:31.0,G. Dragic makes 2-pt shot from 1 ft,2,64-63,,
8:14.0,,,64-63,,Turnover by A. Burks (bad pass)
8:05.0,,,64-63,,Personal foul by R. Hood (drawn by G. Dragic)
8:05.0,,,64-63,,D. Mitchell enters the game for R. Rubio
8:05.0,,,64-63,,J. Ingles enters the game for R. Gobert
7:56.0,Shooting foul by D. Favors (drawn by G. Dragic),,64-63,,
7:56.0,G. Dragic makes free throw 1 of 2,1,65-63,,
7:56.0,G. Dragic makes free throw 2 of 2,1,66-63,,
7:43.0,,,66-63,,Shooting foul by K. Olynyk (drawn by A. Burks)
7:43.0,,,66-64,1,A. Burks makes free throw 1 of 2
7:43.0,,,66-65,1,A. Burks makes free throw 2 of 2
7:31.0,G. Dragic misses 2-pt shot from 3 ft,,66-65,,
7:28.0,,,66-65,,Defensive rebound by R. Hood
7:17.0,Personal foul by T. Johnson (drawn by D. Favors),,66-65,,
7:04.0,,,66-65,,A. Burks misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by K. Olynyk,,66-65,,
6:33.0,K. Olynyk makes 2-pt shot from 1 ft,2,68-65,,
6:33.0,Shooting foul by D. Favors (drawn by K. Olynyk),,68-65,,
6:33.0,,,68-65,,Utah full timeout
6:33.0,D. Waiters enters the game for T. Johnson,,68-65,,
6:33.0,K. Olynyk makes free throw 1 of 1,1,69-65,,
6:16.0,,,69-65,,Turnover by R. Hood (bad pass; steal by J. Richardson)
6:13.0,Turnover by G. Dragic (traveling),,69-65,,
6:02.0,,,69-65,,D. Mitchell misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by Team,,69-65,,
5:45.0,K. Olynyk misses 3-pt shot from 25 ft,,69-65,,
5:42.0,,,69-65,,Defensive rebound by J. Ingles
5:29.0,,,69-65,,Shooting foul by J. Johnson (drawn by R. Hood)
5:29.0,,,69-66,1,R. Hood makes free throw 1 of 2
5:29.0,,,69-66,,R. Gobert enters the game for D. Favors
5:29.0,H. Whiteside enters the game for G. Dragic,,69-66,,
5:29.0,T. Johnson enters the game for K. Olynyk,,69-66,,
5:29.0,,,69-67,1,R. Hood makes free throw 2 of 2
5:16.0,T. Johnson misses 2-pt shot from 14 ft,,69-67,,
5:13.0,,,69-67,,Defensive rebound by Team
4:58.0,Personal foul by J. Johnson (drawn by R. Hood),,69-67,,
4:58.0,,,69-68,1,R. Hood makes free throw 1 of 2
4:58.0,,,69-69,1,R. Hood makes free throw 2 of 2
4:44.0,D. Waiters makes 2-pt shot from 2 ft,2,71-69,,
4:29.0,,,71-69,,R. Hood misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by D. Waiters,,71-69,,
4:21.0,Turnover by D. Waiters (lost ball; steal by D. Mitchell),,71-69,,
4:12.0,,,71-69,,R. Hood misses 3-pt shot from 24 ft
4:10.0,Defensive rebound by J. Richardson,,71-69,,
4:04.0,Miami full timeout,,71-69,,
4:04.0,G. Dragic enters the game for J. Richardson,,71-69,,
4:04.0,J. Winslow enters the game for J. Johnson,,71-69,,
3:55.0,D. Waiters misses 2-pt shot from 12 ft,,71-69,,
3:53.0,,,71-69,,Defensive rebound by R. Gobert
3:35.0,,,71-69,,Shooting foul by D. Waiters (drawn by R. Gobert)
3:35.0,,,71-70,1,R. Gobert makes free throw 1 of 2
3:35.0,,,71-71,1,R. Gobert makes free throw 2 of 2
3:19.0,G. Dragic misses 2-pt shot from 11 ft (block by R. Hood),,71-71,,
3:15.0,,,71-71,,Defensive rebound by R. Gobert
3:07.0,,,71-71,,A. Burks misses 2-pt shot from 6 ft (block by H. Whiteside)
3:07.0,,,71-71,,Offensive rebound by R. Gobert
3:07.0,,,71-73,2,R. Gobert makes 2-pt shot from 2 ft
3:07.0,,,71-73,,Shooting foul by J. Winslow (drawn by R. Gobert)
3:07.0,Miami full timeout,,71-73,,
3:07.0,J. Richardson enters the game for J. Winslow,,71-73,,
