time,New York,pts.away,score,pts.home,Sacramento
8:09.0,T. Williams misses free throw 2 of 2,,30-34,,
8:03.0,,,30-34,,Defensive rebound by B. Caboclo
7:52.0,,,30-34,,Turnover by D. Fox (bad pass)
7:29.0,I. Hicks makes 2-pt shot from 4 ft (assist by F. Ntilikina),2,32-34,,
7:18.0,,,32-37,3,G. Temple makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
7:02.0,Shooting foul by B. Bogdanovic (drawn by F. Ntilikina),,32-37,,
7:02.0,F. Ntilikina makes free throw 1 of 2,1,33-37,,
7:02.0,,,33-37,,J. Jackson enters the game for G. Temple
7:02.0,T. Hardaway enters the game for T. Williams,,33-37,,
7:02.0,F. Ntilikina makes free throw 2 of 2,1,34-37,,
6:49.0,,,34-37,,D. Fox misses 2-pt shot from 3 ft
6:46.0,Defensive rebound by K. O'Quinn,,34-37,,
6:41.0,Offensive foul by K. O'Quinn (drawn by D. Fox),,34-37,,
6:41.0,Turnover by K. O'Quinn (offensive foul),,34-37,,
6:28.0,,,34-40,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by S. Labissiere)
6:16.0,T. Burke misses 2-pt shot from 18 ft,,34-40,,
6:13.0,,,34-40,,Defensive rebound by S. Labissiere
6:07.0,,,34-43,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by S. Labissiere)
5:56.0,New York full timeout,,34-43,,
5:56.0,,,34-43,,K. Koufos enters the game for S. Labissiere
5:56.0,E. Kanter enters the game for K. O'Quinn,,34-43,,
5:56.0,E. Mudiay enters the game for T. Burke,,34-43,,
5:43.0,T. Hardaway misses 2-pt shot from 16 ft,,34-43,,
5:39.0,,,34-43,,Defensive rebound by K. Koufos
5:25.0,,,34-43,,Turnover by J. Jackson (bad pass; steal by E. Kanter)
5:15.0,I. Hicks makes 2-pt shot from 1 ft (assist by F. Ntilikina),2,36-43,,
5:03.0,,,36-43,,B. Caboclo misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by T. Hardaway,,36-43,,
4:50.0,I. Hicks misses 2-pt shot from 4 ft (block by B. Caboclo),,36-43,,
4:50.0,Offensive rebound by Team,,36-43,,
4:43.0,T. Hardaway makes 2-pt shot from 2 ft (assist by F. Ntilikina),2,38-43,,
4:36.0,,,38-43,,J. Jackson misses 3-pt shot from 24 ft
4:31.0,,,38-43,,Offensive rebound by K. Koufos
4:21.0,,,38-43,,Turnover by K. Koufos (lost ball; steal by E. Kanter)
4:18.0,,,38-43,,Shooting block foul by B. Caboclo (drawn by E. Mudiay)
4:18.0,E. Mudiay misses free throw 1 of 2,,38-43,,
4:18.0,Offensive rebound by Team,,38-43,,
4:18.0,,,38-43,,B. Hield enters the game for B. Caboclo
4:18.0,E. Mudiay misses free throw 2 of 2,,38-43,,
4:11.0,,,38-43,,Defensive rebound by J. Jackson
4:05.0,,,38-43,,B. Hield misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by T. Hardaway,,38-43,,
3:58.0,T. Hardaway misses 2-pt shot from 3 ft,,38-43,,
3:56.0,Offensive rebound by E. Kanter,,38-43,,
3:56.0,E. Kanter makes 2-pt shot at rim,2,40-43,,
3:36.0,,,40-43,,B. Bogdanovic misses 2-pt shot from 16 ft
3:34.0,Defensive rebound by T. Hardaway,,40-43,,
3:31.0,Offensive foul by I. Hicks (drawn by J. Jackson),,40-43,,
3:31.0,Turnover by I. Hicks (offensive foul),,40-43,,
3:18.0,,,40-43,,K. Koufos misses 2-pt shot from 9 ft
3:15.0,Defensive rebound by E. Kanter,,40-43,,
3:01.0,E. Kanter makes 2-pt shot from 9 ft,2,42-43,,
2:47.0,Personal foul by E. Mudiay (drawn by B. Bogdanovic),,42-43,,
2:47.0,,,42-44,1,B. Bogdanovic makes free throw 1 of 2
2:47.0,,,42-45,1,B. Bogdanovic makes free throw 2 of 2
2:30.0,F. Ntilikina makes 2-pt shot from 14 ft,2,44-45,,
2:07.0,,,44-45,,K. Koufos misses 2-pt shot from 5 ft
2:05.0,Defensive rebound by T. Hardaway,,44-45,,
1:58.0,F. Ntilikina misses 2-pt shot from 6 ft,,44-45,,
1:52.0,Offensive rebound by E. Kanter,,44-45,,
1:52.0,E. Kanter makes 2-pt shot at rim,2,46-45,,
1:35.0,,,46-47,2,K. Koufos makes 2-pt shot from 2 ft (assist by B. Bogdanovic)
1:11.0,F. Ntilikina misses 3-pt shot from 23 ft,,46-47,,
1:08.0,,,46-47,,Defensive rebound by B. Hield
1:00.0,,,46-49,2,J. Jackson makes 2-pt shot from 2 ft (assist by K. Koufos)
0:43.0,,,46-49,,Violation by B. Bogdanovic (kicked ball)
0:29.0,I. Hicks misses 2-pt shot from 8 ft,,46-49,,
0:27.0,,,46-49,,Defensive rebound by J. Jackson
0:07.0,,,46-49,,D. Fox misses 2-pt shot from 8 ft
0:05.0,,,46-49,,Offensive rebound by J. Jackson
0:05.0,,,46-51,2,J. Jackson makes 2-pt shot from 3 ft
0:00.0,T. Hardaway misses 3-pt shot from 43 ft,,46-51,,
0:00.0,Offensive rebound by Team,,46-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,M. Beasley misses 2-pt shot from 6 ft,,46-51,,
11:47.0,,,46-51,,Defensive rebound by K. Koufos
11:32.0,,,46-51,,J. Jackson misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by E. Mudiay,,46-51,,
11:20.0,C. Lee misses 2-pt shot from 13 ft,,46-51,,
11:18.0,,,46-51,,Defensive rebound by B. Bogdanovic
11:12.0,,,46-53,2,B. Bogdanovic makes 2-pt shot from 12 ft
10:58.0,E. Mudiay misses 2-pt shot from 11 ft,,46-53,,
10:55.0,Offensive rebound by E. Kanter,,46-53,,
10:53.0,M. Beasley misses 3-pt shot from 24 ft,,46-53,,
10:51.0,,,46-53,,Defensive rebound by K. Koufos
10:43.0,,,46-53,,Offensive charge foul by K. Koufos (drawn by T. Hardaway)
10:43.0,,,46-53,,Turnover by K. Koufos (offensive foul)
10:28.0,C. Lee makes 2-pt shot from 1 ft (assist by E. Kanter),2,48-53,,
10:13.0,,,48-53,,Shooting foul by E. Mudiay (drawn by B. Bogdanovic)
10:13.0,,,48-54,1,B. Bogdanovic makes free throw 1 of 3
10:13.0,,,48-55,1,B. Bogdanovic makes free throw 2 of 3
10:13.0,,,48-56,1,B. Bogdanovic makes free throw 3 of 3
10:05.0,,,48-56,,Personal foul by J. Jackson (drawn by T. Hardaway)
9:51.0,C. Lee makes 3-pt shot from 24 ft (assist by E. Mudiay),3,51-56,,
9:34.0,,,51-59,3,D. Fox makes 3-pt shot from 24 ft (assist by J. Jackson)
9:27.0,T. Hardaway makes 3-pt shot from 23 ft (assist by E. Mudiay),3,54-59,,
9:07.0,,,54-62,3,J. Jackson makes 3-pt shot from 22 ft (assist by D. Fox)
8:53.0,E. Mudiay misses 2-pt shot from 19 ft,,54-62,,
8:48.0,,,54-62,,Defensive rebound by S. Labissiere
8:41.0,,,54-64,2,J. Jackson makes 2-pt shot from 13 ft
8:41.0,,,54-64,,Shooting foul by T. Hardaway (drawn by J. Jackson)
8:41.0,,,54-65,1,J. Jackson makes free throw 1 of 1
8:29.0,Turnover by C. Lee (bad pass),,54-65,,
8:14.0,,,54-65,,D. Fox misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by M. Beasley,,54-65,,
8:01.0,M. Beasley misses 2-pt shot from 7 ft,,54-65,,
7:58.0,,,54-65,,Defensive rebound by D. Fox
7:42.0,,,54-67,2,K. Koufos makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
7:42.0,New York full timeout,,54-67,,
7:42.0,T. Burke enters the game for E. Mudiay,,54-67,,
7:42.0,L. Thomas enters the game for M. Beasley,,54-67,,
7:25.0,Turnover by E. Kanter (turnover),,54-67,,
7:02.0,,,54-67,,J. Jackson misses 3-pt shot from 30 ft
6:57.0,Defensive rebound by C. Lee,,54-67,,
6:42.0,L. Thomas misses 2-pt shot from 19 ft,,54-67,,
6:40.0,Offensive rebound by L. Thomas,,54-67,,
6:39.0,L. Thomas misses 2-pt shot from 7 ft (block by S. Labissiere),,54-67,,
6:38.0,,,54-67,,Defensive rebound by J. Jackson
6:38.0,Personal foul by C. Lee (drawn by D. Fox),,54-67,,
6:38.0,,,54-67,,B. Caboclo enters the game for S. Labissiere
6:27.0,,,54-70,3,D. Fox makes 3-pt shot from 24 ft
6:16.0,Turnover by T. Burke (lost ball; steal by B. Bogdanovic),,54-70,,
6:13.0,,,54-72,2,D. Fox makes 2-pt shot from 1 ft
5:58.0,T. Burke makes 2-pt shot from 10 ft,2,56-72,,
5:43.0,,,56-72,,J. Jackson misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by E. Kanter,,56-72,,
5:39.0,,,56-72,,Personal foul by D. Fox (drawn by T. Hardaway)
