time,LA Lakers,pts.away,score,pts.home,Philadelphia
6:16.0,,,10-11,,Turnover by J. Bayless (lost ball; steal by L. Ball)
6:10.0,L. Ball makes 2-pt shot from 9 ft,2,12-11,,
5:58.0,,,12-13,2,J. Redick makes 2-pt shot from 1 ft (assist by T. McConnell)
5:44.0,B. Lopez makes 3-pt shot from 22 ft (assist by L. Nance),3,15-13,,
5:32.0,,,15-13,,J. Redick misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by L. Ball,,15-13,,
5:23.0,L. Ball misses 3-pt shot from 26 ft,,15-13,,
5:19.0,,,15-13,,Defensive rebound by B. Simmons
5:15.0,,,15-15,2,B. Simmons makes 2-pt shot from 8 ft
5:15.0,,,15-15,,Shooting foul by L. Nance (drawn by B. Simmons)
5:15.0,,,15-15,,T. Luwawu-Cabarrot enters the game for J. Bayless
5:15.0,K. Kuzma enters the game for L. Nance,,15-15,,
5:15.0,,,15-15,,B. Simmons misses free throw 1 of 1
4:57.0,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by L. Ball),2,17-15,,
4:44.0,,,17-15,,A. Johnson misses 2-pt shot from 6 ft (block by L. Ball)
4:39.0,,,17-15,,Offensive rebound by T. Luwawu-Cabarrot
4:39.0,,,17-15,,R. Covington enters the game for B. Simmons
4:39.0,J. Randle enters the game for B. Lopez,,17-15,,
4:36.0,,,17-15,,A. Johnson misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by B. Ingram,,17-15,,
4:28.0,Offensive rebound by L. Ball,,17-15,,
4:28.0,B. Ingram makes 2-pt shot from 1 ft,2,19-15,,
4:28.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Ingram),,19-15,,
4:28.0,B. Ingram makes free throw 1 of 1,1,20-15,,
4:11.0,,,20-17,2,R. Covington makes 2-pt shot at rim (assist by J. Redick)
3:58.0,B. Ingram misses 2-pt shot from 6 ft (block by A. Johnson),,20-17,,
3:56.0,,,20-17,,Defensive rebound by R. Covington
3:52.0,,,20-17,,Turnover by T. McConnell (bad pass; steal by L. Ball)
3:40.0,B. Ingram makes 3-pt shot from 22 ft (assist by L. Ball),3,23-17,,
3:19.0,,,23-17,,J. Redick misses 2-pt shot from 17 ft (block by B. Ingram)
3:18.0,Defensive rebound by J. Randle,,23-17,,
3:11.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by J. Randle),3,26-17,,
3:11.0,,,26-17,,Philadelphia full timeout
3:11.0,,,26-17,,J. Embiid enters the game for A. Johnson
3:11.0,,,26-17,,J. Bayless enters the game for J. Redick
2:52.0,,,26-17,,Turnover by J. Embiid (bad pass)
2:52.0,,,26-17,,B. Simmons enters the game for T. McConnell
2:46.0,J. Randle makes 2-pt shot from 17 ft (assist by B. Ingram),2,28-17,,
2:29.0,,,28-17,,J. Embiid misses 2-pt shot from 10 ft
2:27.0,Defensive rebound by L. Ball,,28-17,,
2:21.0,K. Kuzma misses 2-pt shot from 18 ft,,28-17,,
2:19.0,Offensive rebound by Team,,28-17,,
2:14.0,J. Randle makes 2-pt shot from 1 ft,2,30-17,,
1:55.0,,,30-19,2,J. Embiid makes 2-pt shot from 8 ft
1:36.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,32-19,,
1:13.0,,,32-22,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Embiid)
1:00.0,J. Randle misses 3-pt shot from 26 ft,,32-22,,
0:58.0,,,32-22,,Defensive rebound by J. Embiid
0:51.0,,,32-25,3,J. Bayless makes 3-pt shot from 25 ft (assist by R. Covington)
0:49.0,LA Lakers full timeout,,32-25,,
0:49.0,,,32-25,,R. Holmes enters the game for R. Covington
0:49.0,,,32-25,,T. McConnell enters the game for B. Simmons
0:49.0,C. Brewer enters the game for B. Ingram,,32-25,,
0:37.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,32-25,,
0:33.0,,,32-25,,Defensive rebound by R. Holmes
0:29.0,,,32-25,,J. Embiid misses 3-pt shot from 25 ft
0:25.0,Defensive rebound by K. Caldwell-Pope,,32-25,,
0:06.0,K. Kuzma misses 3-pt shot from 28 ft,,32-25,,
0:02.0,,,32-25,,Defensive rebound by J. Bayless
0:00.0,,,32-25,,R. Holmes misses 3-pt shot from 55 ft
0:00.0,,,32-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-25,,R. Holmes misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by K. Kuzma,,32-25,,
11:30.0,J. Clarkson misses 2-pt shot from 19 ft,,32-25,,
11:28.0,,,32-25,,Defensive rebound by T. Luwawu-Cabarrot
11:24.0,,,32-25,,J. Redick misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by K. Kuzma,,32-25,,
11:15.0,Turnover by K. Kuzma (lost ball; steal by R. Holmes),,32-25,,
11:11.0,,,32-28,3,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell)
10:47.0,J. Clarkson makes 3-pt shot from 22 ft (assist by J. Randle),3,35-28,,
10:34.0,,,35-28,,Shooting foul by A. Bogut (drawn by J. Embiid)
10:34.0,,,35-29,1,J. Embiid makes free throw 1 of 2
10:34.0,,,35-30,1,J. Embiid makes free throw 2 of 2
10:19.0,J. Clarkson makes 2-pt shot from 11 ft (assist by J. Randle),2,37-30,,
10:08.0,,,37-30,,J. Redick misses 3-pt shot from 22 ft
10:04.0,Defensive rebound by J. Randle,,37-30,,
9:58.0,J. Randle misses 2-pt shot from 12 ft,,37-30,,
9:58.0,Offensive rebound by Team,,37-30,,
9:58.0,,,37-30,,Loose ball foul by J. Embiid (drawn by J. Hart)
9:50.0,J. Clarkson makes 3-pt shot from 24 ft (assist by A. Bogut),3,40-30,,
9:38.0,,,40-30,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
9:35.0,Defensive rebound by J. Hart,,40-30,,
9:27.0,Offensive foul by A. Bogut (drawn by T. Luwawu-Cabarrot),,40-30,,
9:27.0,Turnover by A. Bogut (offensive foul),,40-30,,
9:27.0,,,40-30,,B. Simmons enters the game for T. McConnell
9:17.0,,,40-30,,Turnover by J. Redick (bad pass; steal by A. Bogut)
9:14.0,Shooting foul by J. Redick (drawn by J. Hart),,40-30,,
9:14.0,J. Hart makes free throw 1 of 2,1,41-30,,
9:14.0,J. Hart misses free throw 2 of 2,,41-30,,
9:11.0,,,41-30,,Defensive rebound by J. Redick
9:01.0,,,41-32,2,B. Simmons makes 2-pt shot from 7 ft (assist by J. Embiid)
8:44.0,K. Kuzma misses 2-pt shot from 10 ft (block by J. Embiid),,41-32,,
8:42.0,,,41-32,,Defensive rebound by B. Simmons
8:39.0,,,41-34,2,R. Holmes makes 2-pt shot from 1 ft (assist by B. Simmons)
8:20.0,J. Clarkson misses 2-pt shot from 5 ft,,41-34,,
8:14.0,Offensive rebound by A. Bogut,,41-34,,
8:14.0,A. Bogut misses 2-pt shot at rim,,41-34,,
8:12.0,,,41-34,,Defensive rebound by R. Holmes
8:10.0,Personal foul by A. Bogut (drawn by J. Embiid),,41-34,,
8:10.0,,,41-34,,R. Covington enters the game for J. Redick
8:10.0,,,41-34,,J. Bayless enters the game for R. Holmes
8:10.0,B. Lopez enters the game for A. Bogut,,41-34,,
8:02.0,Personal foul by J. Randle (drawn by J. Embiid),,41-34,,
7:57.0,,,41-34,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
7:53.0,Defensive rebound by J. Hart,,41-34,,
7:43.0,B. Lopez makes 2-pt shot from 4 ft,2,43-34,,
7:31.0,,,43-34,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
7:29.0,Defensive rebound by J. Hart,,43-34,,
7:22.0,Turnover by B. Lopez (traveling),,43-34,,
7:22.0,,,43-34,,T. McConnell enters the game for T. Luwawu-Cabarrot
7:10.0,,,43-36,2,B. Simmons makes 2-pt shot from 2 ft
7:10.0,,,43-36,,Shooting foul by B. Lopez (drawn by B. Simmons)
7:10.0,LA Lakers full timeout,,43-36,,
7:10.0,,,43-36,,A. Johnson enters the game for J. Embiid
7:10.0,K. Caldwell-Pope enters the game for J. Hart,,43-36,,
7:10.0,B. Ingram enters the game for J. Randle,,43-36,,
7:10.0,,,43-36,,B. Simmons misses free throw 1 of 1
7:07.0,Defensive rebound by K. Caldwell-Pope,,43-36,,
6:51.0,K. Kuzma misses 2-pt shot from 4 ft (block by A. Johnson),,43-36,,
6:51.0,,,43-36,,Defensive rebound by Team
6:41.0,,,43-36,,B. Simmons misses 2-pt shot from 9 ft
6:39.0,Defensive rebound by J. Clarkson,,43-36,,
6:33.0,,,43-36,,Personal foul by A. Johnson (drawn by B. Ingram)
6:33.0,L. Ball enters the game for K. Kuzma,,43-36,,
6:21.0,Offensive charge foul by J. Clarkson (drawn by J. Bayless),,43-36,,
6:21.0,Turnover by J. Clarkson (offensive foul),,43-36,,
6:16.0,J. Randle enters the game for B. Lopez,,43-36,,
6:06.0,,,43-36,,B. Simmons misses 2-pt shot from 13 ft
6:03.0,Defensive rebound by J. Clarkson,,43-36,,
6:02.0,Shooting foul by T. McConnell (drawn by B. Ingram),,43-36,,
6:02.0,B. Ingram misses free throw 1 of 2,,43-36,,
6:02.0,Offensive rebound by Team,,43-36,,
6:02.0,,,43-36,,R. Holmes enters the game for A. Johnson
6:02.0,B. Ingram misses free throw 2 of 2,,43-36,,
5:59.0,,,43-36,,Defensive rebound by B. Simmons
5:50.0,,,43-36,,T. McConnell misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by L. Ball,,43-36,,
5:45.0,L. Ball makes 2-pt shot from 1 ft,2,45-36,,
5:30.0,,,45-36,,R. Covington misses 2-pt shot from 12 ft (block by L. Ball)
5:27.0,,,45-36,,Offensive rebound by T. McConnell
5:18.0,,,45-36,,J. Bayless misses 2-pt shot from 7 ft
5:14.0,,,45-36,,Offensive rebound by T. McConnell
5:12.0,,,45-36,,B. Simmons misses 2-pt shot from 2 ft
5:12.0,Defensive rebound by Team,,45-36,,
4:54.0,J. Randle misses 2-pt shot from 6 ft,,45-36,,
4:52.0,,,45-36,,Defensive rebound by R. Holmes
4:45.0,,,45-36,,Turnover by J. Bayless (traveling)
4:45.0,,,45-36,,J. Redick enters the game for J. Bayless
4:26.0,B. Ingram misses 2-pt shot from 3 ft (block by B. Simmons),,45-36,,
4:23.0,Offensive rebound by B. Ingram,,45-36,,
4:21.0,Turnover by Team (shot clock),,45-36,,
4:21.0,,,45-36,,J. Embiid enters the game for R. Holmes
4:20.0,J. Clarkson misses 3-pt shot from 22 ft,,45-36,,
4:20.0,Offensive rebound by L. Ball,,45-36,,
4:01.0,,,45-36,,J. Embiid misses 2-pt shot from 12 ft
4:01.0,Defensive rebound by Team,,45-36,,
3:54.0,J. Randle misses 2-pt shot at rim,,45-36,,
3:54.0,Offensive rebound by B. Ingram,,45-36,,
3:54.0,B. Ingram misses 2-pt shot at rim,,45-36,,
3:53.0,Offensive rebound by B. Ingram,,45-36,,
3:52.0,B. Ingram makes 2-pt shot at rim,2,47-36,,
3:32.0,,,47-38,2,J. Embiid makes 2-pt shot from 7 ft (assist by T. McConnell)
3:26.0,Offensive foul by J. Randle (drawn by J. Embiid),,47-38,,
3:26.0,Turnover by J. Randle (offensive foul),,47-38,,
3:26.0,L. Nance enters the game for J. Clarkson,,47-38,,
3:14.0,,,47-38,,B. Simmons misses 2-pt shot from 3 ft
3:11.0,Defensive rebound by B. Ingram,,47-38,,
3:09.0,L. Ball misses 2-pt shot from 3 ft (block by R. Covington),,47-38,,
3:09.0,Offensive rebound by Team,,47-38,,
3:02.0,,,47-38,,Personal foul by J. Redick (drawn by L. Nance)
3:02.0,L. Nance misses free throw 1 of 2,,47-38,,
3:02.0,Offensive rebound by Team,,47-38,,
3:02.0,L. Nance makes free throw 2 of 2,1,48-38,,
2:42.0,,,48-40,2,J. Embiid makes 2-pt shot from 1 ft (assist by B. Simmons)
2:35.0,L. Ball makes 2-pt shot from 1 ft,2,50-40,,
2:32.0,,,50-40,,Philadelphia full timeout
2:18.0,Personal foul by L. Nance (drawn by J. Embiid),,50-40,,
2:18.0,,,50-40,,J. Embiid misses free throw 1 of 2
2:18.0,,,50-40,,Offensive rebound by Team
2:18.0,K. Kuzma enters the game for L. Nance,,50-40,,
2:18.0,,,50-41,1,J. Embiid makes free throw 2 of 2
1:59.0,Shooting foul by J. Redick (drawn by K. Caldwell-Pope),,50-41,,
1:59.0,K. Caldwell-Pope misses free throw 1 of 2,,50-41,,
1:59.0,Offensive rebound by Team,,50-41,,
1:59.0,,,50-41,,J. Bayless enters the game for J. Redick
1:59.0,K. Caldwell-Pope misses free throw 2 of 2,,50-41,,
1:56.0,Offensive rebound by K. Caldwell-Pope,,50-41,,
1:55.0,K. Caldwell-Pope makes 3-pt shot from 27 ft,3,53-41,,
1:43.0,,,53-44,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
1:30.0,J. Randle misses 2-pt shot from 17 ft,,53-44,,
1:27.0,,,53-44,,Defensive rebound by B. Simmons
1:21.0,,,53-47,3,R. Covington makes 3-pt shot from 24 ft (assist by B. Simmons)
1:04.0,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Ball),3,56-47,,
0:47.0,,,56-49,2,J. Embiid makes 2-pt shot from 1 ft
0:37.0,B. Ingram misses 2-pt shot from 8 ft,,56-49,,
0:33.0,,,56-49,,Defensive rebound by J. Bayless
0:20.0,,,56-49,,Turnover by J. Embiid (bad pass; steal by L. Ball)
0:17.0,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by R. Covington),,56-49,,
0:17.0,Offensive rebound by Team,,56-49,,
0:17.0,,,56-49,,R. Holmes enters the game for J. Embiid
0:02.0,Shooting foul by R. Covington (drawn by B. Ingram),,56-49,,
0:02.0,B. Ingram misses free throw 1 of 2,,56-49,,
0:02.0,Offensive rebound by Team,,56-49,,
0:02.0,B. Ingram makes free throw 2 of 2,1,57-49,,
0:00.0,,,57-49,,B. Simmons misses 2-pt shot from 2 ft
0:00.0,,,57-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,57-49,,R. Covington misses 2-pt shot from 20 ft
11:41.0,Defensive rebound by L. Ball,,57-49,,
11:25.0,Turnover by B. Lopez (traveling),,57-49,,
11:05.0,,,57-49,,J. Redick misses 2-pt shot from 19 ft (block by L. Ball)
11:05.0,Defensive rebound by L. Nance,,57-49,,
10:57.0,L. Nance makes 2-pt shot from 1 ft (assist by B. Ingram),2,59-49,,
10:28.0,,,59-51,2,J. Redick makes 2-pt shot from 12 ft (assist by R. Covington)
10:01.0,Shooting foul by B. Simmons (drawn by B. Ingram),,59-51,,
10:01.0,B. Ingram misses free throw 1 of 3,,59-51,,
10:01.0,Offensive rebound by Team,,59-51,,
10:01.0,B. Ingram makes free throw 2 of 3,1,60-51,,
10:01.0,B. Ingram makes free throw 3 of 3,1,61-51,,
9:45.0,,,61-51,,J. Embiid misses 2-pt shot from 14 ft
9:43.0,Defensive rebound by B. Lopez,,61-51,,
9:38.0,B. Ingram misses 2-pt shot from 1 ft (block by J. Embiid),,61-51,,
9:38.0,Offensive rebound by L. Nance,,61-51,,
9:33.0,L. Nance makes 2-pt shot from 1 ft,2,63-51,,
9:25.0,,,63-51,,R. Covington misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by L. Nance,,63-51,,
9:10.0,B. Ingram misses 2-pt shot from 18 ft,,63-51,,
9:10.0,Offensive rebound by Team,,63-51,,
9:10.0,,,63-51,,Loose ball foul by B. Simmons (drawn by L. Nance)
9:08.0,B. Lopez misses 3-pt shot from 27 ft,,63-51,,
9:03.0,,,63-51,,Defensive rebound by R. Covington
8:59.0,,,63-53,2,B. Simmons makes 2-pt shot from 1 ft
8:33.0,B. Ingram misses 2-pt shot from 2 ft (block by J. Embiid),,63-53,,
8:32.0,Offensive rebound by L. Nance,,63-53,,
8:32.0,L. Nance misses 2-pt shot at rim,,63-53,,
8:32.0,,,63-53,,Defensive rebound by J. Embiid
8:19.0,,,63-53,,B. Simmons misses 2-pt shot from 11 ft
8:19.0,Defensive rebound by K. Caldwell-Pope,,63-53,,
8:12.0,B. Lopez misses 3-pt shot from 27 ft,,63-53,,
8:12.0,,,63-53,,Defensive rebound by B. Simmons
8:02.0,,,63-55,2,B. Simmons makes 2-pt shot at rim
7:53.0,L. Nance makes 2-pt shot from 1 ft (assist by L. Ball),2,65-55,,
7:27.0,,,65-55,,J. Bayless misses 3-pt shot from 23 ft
7:24.0,Defensive rebound by B. Lopez,,65-55,,
7:18.0,L. Ball misses 3-pt shot from 26 ft,,65-55,,
7:14.0,,,65-55,,Defensive rebound by J. Embiid
7:02.0,,,65-55,,R. Covington misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by B. Ingram,,65-55,,
6:46.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,65-55,,
6:43.0,Offensive rebound by L. Nance,,65-55,,
6:40.0,B. Lopez misses 3-pt shot from 26 ft,,65-55,,
6:40.0,,,65-55,,Defensive rebound by J. Redick
6:31.0,,,65-55,,J. Redick misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by Team,,65-55,,
6:30.0,,,65-55,,Philadelphia full timeout
6:30.0,,,65-55,,A. Johnson enters the game for R. Covington
6:30.0,,,65-55,,T. McConnell enters the game for J. Embiid
6:08.0,B. Lopez makes 2-pt shot from 13 ft,2,67-55,,
5:59.0,,,67-55,,Turnover by T. McConnell (bad pass; steal by B. Lopez)
5:54.0,L. Ball misses 2-pt shot at rim,,67-55,,
5:51.0,Offensive rebound by L. Ball,,67-55,,
5:51.0,L. Ball makes 2-pt shot at rim,2,69-55,,
5:40.0,,,69-55,,T. Luwawu-Cabarrot enters the game for J. Bayless
5:29.0,,,69-55,,Turnover by J. Redick (bad pass; steal by L. Nance)
5:25.0,L. Nance makes 2-pt shot at rim (assist by B. Ingram),2,71-55,,
5:25.0,,,71-55,,Philadelphia full timeout
5:15.0,,,71-57,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Simmons)
4:55.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,71-57,,
4:51.0,Offensive rebound by B. Lopez,,71-57,,
4:49.0,L. Ball misses 2-pt shot from 14 ft,,71-57,,
4:49.0,,,71-57,,Defensive rebound by A. Johnson
4:35.0,,,71-57,,Turnover by B. Simmons (bad pass; steal by L. Nance)
4:29.0,L. Nance misses 2-pt shot from 1 ft,,71-57,,
4:27.0,,,71-57,,Defensive rebound by B. Simmons
4:06.0,,,71-57,,T. McConnell misses 2-pt shot from 7 ft
4:06.0,,,71-57,,Offensive rebound by T. Luwawu-Cabarrot
4:06.0,,,71-57,,T. Luwawu-Cabarrot misses 2-pt shot at rim
4:06.0,Defensive rebound by Team,,71-57,,
4:06.0,,,71-57,,R. Covington enters the game for T. McConnell
4:06.0,,,71-57,,J. Bayless enters the game for B. Simmons
3:51.0,B. Ingram misses 2-pt shot from 1 ft (block by R. Covington),,71-57,,
3:50.0,Offensive rebound by B. Lopez,,71-57,,
3:50.0,Shooting foul by T. Luwawu-Cabarrot (drawn by B. Lopez),,71-57,,
3:50.0,B. Lopez makes free throw 1 of 2,1,72-57,,
3:50.0,,,72-57,,J. Embiid enters the game for A. Johnson
3:50.0,,,72-57,,B. Simmons enters the game for J. Redick
3:50.0,J. Randle enters the game for L. Nance,,72-57,,
3:50.0,B. Lopez makes free throw 2 of 2,1,73-57,,
3:36.0,,,73-59,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Embiid)
3:25.0,J. Randle misses 2-pt shot from 3 ft (block by R. Covington),,73-59,,
3:23.0,,,73-59,,Defensive rebound by J. Bayless
3:18.0,,,73-59,,Shooting foul by B. Ingram (drawn by R. Covington)
3:18.0,A. Bogut enters the game for B. Lopez,,73-59,,
3:18.0,LA Lakers full timeout,,73-59,,
3:18.0,,,73-59,,R. Holmes enters the game for T. Luwawu-Cabarrot
3:18.0,,,73-60,1,R. Covington makes free throw 1 of 2
3:18.0,,,73-60,,R. Covington misses free throw 2 of 2
3:18.0,Defensive rebound by A. Bogut,,73-60,,
3:01.0,B. Ingram misses 2-pt shot from 6 ft (block by J. Embiid),,73-60,,
2:59.0,,,73-60,,Defensive rebound by R. Covington
2:46.0,,,73-63,3,R. Covington makes 3-pt shot from 29 ft (assist by J. Bayless)
2:20.0,K. Caldwell-Pope misses 2-pt shot from 20 ft,,73-63,,
2:17.0,,,73-63,,Defensive rebound by B. Simmons
2:10.0,,,73-65,2,J. Embiid makes 2-pt shot from 18 ft (assist by B. Simmons)
1:44.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,73-65,,
1:41.0,,,73-65,,Defensive rebound by R. Covington
1:23.0,,,73-67,2,J. Bayless makes 2-pt shot from 13 ft (assist by J. Embiid)
1:06.0,L. Ball makes 2-pt shot from 8 ft,2,75-67,,
0:59.0,,,75-67,,J. Bayless misses 2-pt shot from 2 ft (block by L. Ball)
0:57.0,Defensive rebound by B. Ingram,,75-67,,
0:54.0,Turnover by B. Ingram (bad pass; steal by R. Holmes),,75-67,,
0:44.0,,,75-70,3,J. Bayless makes 3-pt shot from 22 ft (assist by B. Simmons)
0:31.0,J. Randle misses 3-pt shot from 27 ft,,75-70,,
0:28.0,,,75-70,,Defensive rebound by J. Embiid
0:12.0,,,75-70,,Turnover by B. Simmons (bad pass; steal by K. Caldwell-Pope)
0:09.0,K. Caldwell-Pope makes 2-pt shot at rim,2,77-70,,
0:09.0,Shooting foul by J. Embiid (drawn by K. Caldwell-Pope),,77-70,,
0:09.0,J. Hart enters the game for B. Ingram,,77-70,,
0:09.0,K. Caldwell-Pope misses free throw 1 of 1,,77-70,,
0:06.0,,,77-70,,Defensive rebound by B. Simmons
0:04.0,,,77-70,,Turnover by B. Simmons (lost ball; steal by A. Bogut)
0:01.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,77-70,,
0:01.0,Offensive rebound by A. Bogut,,77-70,,
0:01.0,A. Bogut makes 2-pt shot from 18 ft,2,79-70,,
0:00.0,Personal foul by J. Randle (drawn by R. Holmes),,79-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,J. Clarkson makes 3-pt shot from 24 ft (assist by K. Kuzma),3,82-70,,
11:37.0,,,82-70,,Turnover by B. Simmons (bad pass; steal by J. Clarkson)
11:36.0,,,82-70,,Personal foul by J. Bayless (drawn by J. Clarkson)
11:15.0,J. Hart makes 3-pt shot from 24 ft (assist by J. Randle),3,85-70,,
11:01.0,,,85-73,3,J. Embiid makes 3-pt shot from 26 ft (assist by B. Simmons)
10:44.0,J. Randle misses 3-pt shot from 27 ft,,85-73,,
10:41.0,,,85-73,,Defensive rebound by R. Covington
10:28.0,,,85-73,,R. Covington misses 3-pt shot from 26 ft
10:24.0,,,85-73,,Offensive rebound by R. Holmes
10:18.0,Personal foul by K. Kuzma (drawn by J. Embiid),,85-73,,
10:07.0,,,85-76,3,J. Embiid makes 3-pt shot from 27 ft (assist by B. Simmons)
10:05.0,LA Lakers full timeout,,85-76,,
9:45.0,J. Clarkson makes 3-pt shot from 26 ft,3,88-76,,
9:29.0,,,88-76,,Shooting foul by A. Bogut (drawn by J. Embiid)
9:29.0,,,88-77,1,J. Embiid makes free throw 1 of 2
9:29.0,,,88-77,,J. Redick enters the game for R. Covington
9:29.0,,,88-78,1,J. Embiid makes free throw 2 of 2
9:19.0,J. Clarkson misses 3-pt shot from 27 ft,,88-78,,
9:16.0,,,88-78,,Defensive rebound by J. Embiid
9:08.0,,,88-81,3,J. Redick makes 3-pt shot from 26 ft
8:57.0,,,88-81,,Personal foul by J. Bayless (drawn by J. Clarkson)
8:52.0,K. Kuzma misses 3-pt shot from 27 ft,,88-81,,
8:47.0,,,88-81,,Defensive rebound by J. Bayless
8:35.0,,,88-81,,Offensive charge foul by J. Embiid (drawn by A. Bogut)
8:35.0,,,88-81,,Turnover by J. Embiid (offensive foul)
8:28.0,,,88-81,,Personal foul by J. Bayless (drawn by J. Clarkson)
8:13.0,J. Clarkson misses 3-pt shot from 26 ft,,88-81,,
8:09.0,,,88-81,,Defensive rebound by J. Embiid
8:05.0,,,88-83,2,R. Holmes makes 2-pt shot at rim (assist by J. Redick)
7:49.0,,,88-83,,Violation by J. Embiid (kicked ball)
7:49.0,,,88-83,,R. Covington enters the game for J. Bayless
7:49.0,,,88-83,,A. Johnson enters the game for J. Embiid
7:49.0,L. Ball enters the game for J. Hart,,88-83,,
