time,Phoenix,pts.away,score,pts.home,Houston
7:53.0,T. Ulis misses 2-pt shot from 12 ft,,9-3,,
7:51.0,,,9-3,,Defensive rebound by J. Harden
7:45.0,,,9-3,,P. Tucker misses 2-pt shot from 6 ft
7:42.0,Defensive rebound by A. Peters,,9-3,,
7:37.0,J. Jackson misses 2-pt shot from 18 ft (block by J. Harden),,9-3,,
7:35.0,Offensive rebound by J. Jackson,,9-3,,
7:26.0,M. Chriss makes 2-pt shot at rim (assist by A. Peters),2,11-3,,
7:08.0,,,11-6,3,P. Tucker makes 3-pt shot from 22 ft (assist by T. Ariza)
6:54.0,M. Chriss makes 2-pt shot from 15 ft,2,13-6,,
6:47.0,,,13-8,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
6:45.0,Phoenix full timeout,,13-8,,
6:45.0,,,13-8,,L. Mbah a Moute enters the game for G. Green
6:45.0,S. Harrison enters the game for T. Daniels,,13-8,,
6:32.0,J. Jackson makes 2-pt shot from 2 ft (assist by S. Harrison),2,15-8,,
6:16.0,,,15-8,,Shooting foul by J. Jackson (drawn by J. Harden)
6:16.0,,,15-8,,J. Harden misses free throw 1 of 3
6:16.0,,,15-8,,Offensive rebound by Team
6:16.0,,,15-9,1,J. Harden makes free throw 2 of 3
6:16.0,,,15-10,1,J. Harden makes free throw 3 of 3
6:00.0,J. Jackson misses 3-pt shot from 23 ft,,15-10,,
5:58.0,,,15-10,,Defensive rebound by J. Harden
5:52.0,,,15-13,3,P. Tucker makes 3-pt shot from 23 ft (assist by J. Harden)
5:33.0,T. Ulis misses 2-pt shot from 1 ft,,15-13,,
5:30.0,,,15-13,,Defensive rebound by L. Mbah a Moute
5:25.0,,,15-15,2,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by J. Harden)
5:16.0,S. Harrison misses 2-pt shot from 2 ft,,15-15,,
5:16.0,Offensive rebound by S. Harrison,,15-15,,
5:11.0,S. Harrison misses 2-pt shot from 2 ft (block by L. Mbah a Moute),,15-15,,
5:09.0,,,15-15,,Defensive rebound by J. Harden
5:01.0,,,15-15,,C. Capela misses 2-pt shot from 1 ft
5:01.0,,,15-15,,Offensive rebound by C. Capela
4:57.0,,,15-17,2,C. Capela makes 2-pt shot at rim
4:40.0,M. Chriss makes 2-pt shot at rim (assist by T. Ulis),2,17-17,,
4:20.0,,,17-17,,T. Ariza misses 2-pt shot from 1 ft (block by M. Chriss)
4:17.0,Defensive rebound by J. Jackson,,17-17,,
4:15.0,S. Harrison misses 2-pt shot at rim,,17-17,,
4:15.0,Offensive rebound by T. Ulis,,17-17,,
4:08.0,T. Ulis misses 3-pt shot from 22 ft,,17-17,,
4:06.0,,,17-17,,Defensive rebound by L. Mbah a Moute
4:01.0,,,17-17,,Turnover by L. Mbah a Moute (out of bounds lost ball)
4:01.0,,,17-17,,J. Johnson enters the game for T. Ariza
4:01.0,,,17-17,,R. Anderson enters the game for P. Tucker
4:01.0,A. Williams enters the game for M. Chriss,,17-17,,
3:47.0,J. Jackson misses 2-pt shot from 20 ft,,17-17,,
3:45.0,,,17-17,,Defensive rebound by C. Capela
3:40.0,,,17-17,,Turnover by J. Johnson (bad pass; steal by T. Ulis)
3:29.0,S. Harrison misses 3-pt shot from 25 ft,,17-17,,
3:25.0,,,17-17,,Defensive rebound by C. Capela
3:20.0,,,17-17,,Shooting foul by A. Williams (drawn by L. Mbah a Moute)
3:20.0,,,17-18,1,L. Mbah a Moute makes free throw 1 of 2
3:20.0,,,17-18,,L. Mbah a Moute misses free throw 2 of 2
3:20.0,Defensive rebound by A. Williams,,17-18,,
3:08.0,Shooting foul by R. Anderson (drawn by T. Ulis),,17-18,,
3:08.0,T. Ulis makes free throw 1 of 2,1,18-18,,
3:08.0,T. Ulis makes free throw 2 of 2,1,19-18,,
2:53.0,,,19-18,,L. Mbah a Moute misses 3-pt shot from 24 ft
2:51.0,Defensive rebound by Team,,19-18,,
2:51.0,,,19-18,,Houston full timeout
2:51.0,,,19-18,,T. Black enters the game for C. Capela
2:51.0,T. Daniels enters the game for T. Ulis,,19-18,,
2:36.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Williams),3,22-18,,
2:07.0,,,22-18,,J. Harden misses 3-pt shot from 25 ft
2:04.0,,,22-18,,Offensive rebound by R. Anderson
2:01.0,,,22-18,,Turnover by J. Harden (bad pass; steal by A. Williams)
1:45.0,J. Jackson misses 2-pt shot from 15 ft,,22-18,,
1:42.0,,,22-18,,Defensive rebound by T. Black
1:31.0,,,22-20,2,T. Black makes 2-pt shot from 1 ft (assist by J. Harden)
1:07.0,S. Harrison makes 2-pt shot at rim (assist by J. Jackson),2,24-20,,
1:02.0,Personal foul by S. Harrison (drawn by J. Harden),,24-20,,
1:02.0,,,24-20,,J. Harden misses free throw 1 of 2
1:02.0,,,24-20,,Offensive rebound by Team
1:02.0,,,24-21,1,J. Harden makes free throw 2 of 2
0:49.0,Shooting foul by T. Black (drawn by A. Williams),,24-21,,
0:49.0,A. Williams makes free throw 1 of 2,1,25-21,,
0:49.0,,,25-21,,G. Green enters the game for J. Harden
0:49.0,A. Williams misses free throw 2 of 2,,25-21,,
0:49.0,,,25-21,,Defensive rebound by J. Johnson
0:39.0,,,25-21,,J. Johnson misses 2-pt shot from 20 ft
0:37.0,Defensive rebound by A. Peters,,25-21,,
0:31.0,T. Daniels misses 3-pt shot from 25 ft,,25-21,,
0:29.0,,,25-21,,Defensive rebound by T. Black
0:09.0,,,25-21,,Shooting foul by A. Williams (drawn by L. Mbah a Moute)
0:09.0,,,25-22,1,L. Mbah a Moute makes free throw 1 of 2
0:09.0,,,25-22,,L. Mbah a Moute misses free throw 2 of 2
0:09.0,Defensive rebound by A. Williams,,25-22,,
0:00.0,A. Peters misses 3-pt shot from 23 ft,,25-22,,
0:00.0,Offensive rebound by Team,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,A. Williams makes 2-pt shot at rim (assist by S. Harrison),2,27-22,,
11:46.0,Shooting foul by G. Green (drawn by A. Williams),,27-22,,
11:46.0,A. Williams makes free throw 1 of 1,1,28-22,,
11:29.0,,,28-22,,G. Green misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by A. Williams,,28-22,,
11:17.0,A. Williams makes 2-pt shot from 2 ft (assist by S. Harrison),2,30-22,,
11:04.0,,,30-22,,J. Johnson misses 2-pt shot from 5 ft
11:01.0,Defensive rebound by D. House,,30-22,,
10:59.0,Turnover by D. House (bad pass),,30-22,,
10:59.0,,,30-22,,C. Capela enters the game for T. Black
10:49.0,,,30-24,2,J. Johnson makes 2-pt shot from 7 ft
10:23.0,T. Daniels makes 3-pt shot from 23 ft (assist by A. Williams),3,33-24,,
10:08.0,,,33-26,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Johnson)
9:43.0,S. Harrison makes 2-pt shot at rim,2,35-26,,
9:33.0,,,35-29,3,R. Anderson makes 3-pt shot from 27 ft (assist by C. Capela)
9:21.0,Turnover by A. Williams (bad pass),,35-29,,
9:21.0,,,35-29,,P. Tucker enters the game for L. Mbah a Moute
9:21.0,M. Chriss enters the game for A. Williams,,35-29,,
9:08.0,,,35-29,,J. Johnson misses 2-pt shot from 5 ft
9:06.0,,,35-29,,Offensive rebound by J. Johnson
9:05.0,,,35-29,,G. Green misses 3-pt shot from 25 ft
9:02.0,,,35-29,,Offensive rebound by R. Anderson
8:50.0,,,35-29,,R. Anderson misses 2-pt shot from 18 ft
8:49.0,Defensive rebound by M. Chriss,,35-29,,
8:36.0,,,35-29,,Personal foul by C. Capela (drawn by S. Harrison)
8:36.0,,,35-29,,T. Ariza enters the game for G. Green
8:36.0,,,35-29,,J. Harden enters the game for J. Johnson
8:22.0,Turnover by S. Harrison (bad pass; steal by J. Harden),,35-29,,
8:16.0,,,35-31,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
8:04.0,M. Chriss misses 3-pt shot from 25 ft,,35-31,,
8:04.0,,,35-31,,Defensive rebound by P. Tucker
7:48.0,,,35-31,,J. Harden misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by D. House,,35-31,,
7:35.0,S. Harrison makes 2-pt shot at rim,2,37-31,,
7:21.0,,,37-31,,Turnover by J. Harden (bad pass; steal by D. House)
7:12.0,M. Chriss misses 3-pt shot from 23 ft,,37-31,,
7:10.0,,,37-31,,Defensive rebound by J. Harden
7:03.0,,,37-31,,T. Ariza misses 2-pt shot at rim
7:00.0,,,37-31,,Offensive rebound by C. Capela
6:54.0,,,37-34,3,P. Tucker makes 3-pt shot from 23 ft (assist by T. Ariza)
6:38.0,Turnover by M. Chriss (bad pass),,37-34,,
6:38.0,,,37-34,,Houston full timeout
6:38.0,,,37-34,,L. Mbah a Moute enters the game for R. Anderson
6:38.0,T. Ulis enters the game for S. Harrison,,37-34,,
6:38.0,J. Jackson enters the game for T. Daniels,,37-34,,
6:25.0,,,37-34,,T. Ariza misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by D. House,,37-34,,
6:09.0,Turnover by T. Ulis (bad pass; steal by T. Ariza),,37-34,,
5:47.0,,,37-34,,Turnover by C. Capela (bad pass; steal by A. Peters)
5:39.0,D. House makes 3-pt shot from 25 ft (assist by T. Ulis),3,40-34,,
5:24.0,,,40-34,,T. Ariza misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by M. Chriss,,40-34,,
5:14.0,T. Ulis misses 3-pt shot from 25 ft,,40-34,,
5:09.0,Offensive rebound by M. Chriss,,40-34,,
5:09.0,M. Chriss makes 2-pt shot at rim,2,42-34,,
4:59.0,,,42-34,,Turnover by J. Harden (lost ball; steal by J. Jackson)
4:55.0,J. Jackson makes 2-pt shot at rim,2,44-34,,
4:45.0,Personal foul by J. Jackson (drawn by J. Harden),,44-34,,
4:45.0,,,44-34,,G. Green enters the game for C. Capela
4:29.0,,,44-34,,J. Harden misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by M. Chriss,,44-34,,
4:24.0,J. Jackson makes 2-pt shot from 3 ft,2,46-34,,
4:24.0,Shooting foul by P. Tucker (drawn by J. Jackson),,46-34,,
4:24.0,J. Jackson makes free throw 1 of 1,1,47-34,,
4:02.0,,,47-34,,J. Harden misses 3-pt shot from 26 ft
4:00.0,Defensive rebound by D. House,,47-34,,
3:53.0,J. Jackson makes 2-pt shot from 7 ft (assist by T. Ulis),2,49-34,,
3:30.0,,,49-36,2,J. Harden makes 2-pt shot from 1 ft
3:20.0,Turnover by J. Jackson (lost ball; steal by P. Tucker),,49-36,,
3:05.0,,,49-36,,J. Harden misses 3-pt shot from 26 ft
3:03.0,Defensive rebound by D. House,,49-36,,
2:43.0,T. Ulis makes 3-pt shot from 26 ft,3,52-36,,
2:33.0,,,52-39,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
2:31.0,Phoenix full timeout,,52-39,,
2:20.0,J. Jackson misses 2-pt shot at rim,,52-39,,
2:17.0,,,52-39,,Defensive rebound by L. Mbah a Moute
2:15.0,,,52-39,,T. Ariza misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by T. Ulis,,52-39,,
2:03.0,Turnover by T. Ulis (bad pass; steal by T. Ariza),,52-39,,
1:55.0,,,52-39,,P. Tucker misses 3-pt shot from 23 ft
1:53.0,Defensive rebound by M. Chriss,,52-39,,
1:36.0,J. Jackson misses 2-pt shot from 16 ft,,52-39,,
1:33.0,,,52-39,,Defensive rebound by T. Ariza
1:19.0,,,52-39,,Shooting foul by M. Chriss (drawn by J. Harden)
1:19.0,,,52-40,1,J. Harden makes free throw 1 of 2
1:19.0,,,52-40,,J. Harden misses free throw 2 of 2
1:19.0,Defensive rebound by A. Peters,,52-40,,
0:58.0,T. Ulis makes 3-pt shot from 25 ft,3,55-40,,
0:47.0,,,55-40,,G. Green misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by J. Jackson,,55-40,,
0:32.0,M. Chriss misses 3-pt shot from 24 ft,,55-40,,
0:31.0,Offensive rebound by A. Peters,,55-40,,
0:29.0,A. Peters misses 2-pt shot from 1 ft,,55-40,,
0:29.0,Offensive rebound by J. Jackson,,55-40,,
0:29.0,J. Jackson makes 2-pt shot from 1 ft,2,57-40,,
0:29.0,Shooting foul by J. Harden (drawn by J. Jackson),,57-40,,
0:29.0,,,57-40,,C. Capela enters the game for G. Green
0:29.0,J. Jackson misses free throw 1 of 1,,57-40,,
0:29.0,,,57-40,,Defensive rebound by J. Harden
0:05.0,,,57-40,,J. Harden misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by D. House,,57-40,,
0:00.0,D. House misses 3-pt shot from 33 ft,,57-40,,
0:00.0,Offensive rebound by Team,,57-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by J. Jackson (step out of bounds),,57-40,,
11:33.0,,,57-42,2,G. Green makes 2-pt shot from 14 ft (assist by C. Capela)
11:14.0,M. Chriss misses 2-pt shot from 8 ft,,57-42,,
11:12.0,,,57-42,,Defensive rebound by C. Capela
10:50.0,,,57-44,2,J. Harden makes 2-pt shot at rim
10:43.0,D. Bender makes 3-pt shot from 24 ft (assist by T. Ulis),3,60-44,,
10:29.0,,,60-46,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
10:04.0,T. Ulis makes 2-pt shot from 15 ft,2,62-46,,
9:47.0,,,62-48,2,J. Harden makes 2-pt shot from 3 ft
9:36.0,T. Daniels makes 3-pt shot from 26 ft (assist by T. Ulis),3,65-48,,
9:13.0,,,65-48,,J. Harden misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by T. Ulis,,65-48,,
9:03.0,,,65-48,,Personal foul by G. Green (drawn by M. Chriss)
8:56.0,T. Daniels makes 3-pt shot from 26 ft,3,68-48,,
8:41.0,,,68-48,,J. Harden misses 2-pt shot from 7 ft
8:39.0,Defensive rebound by M. Chriss,,68-48,,
8:34.0,Turnover by M. Chriss (bad pass; steal by P. Tucker),,68-48,,
8:32.0,,,68-50,2,P. Tucker makes 2-pt shot at rim
8:21.0,T. Daniels makes 3-pt shot from 24 ft (assist by D. Bender),3,71-50,,
7:57.0,,,71-53,3,G. Green makes 3-pt shot from 25 ft (assist by T. Ariza)
7:48.0,T. Ulis misses 2-pt shot from 16 ft,,71-53,,
7:45.0,,,71-53,,Defensive rebound by T. Ariza
7:40.0,,,71-53,,G. Green misses 3-pt shot from 24 ft
7:38.0,Defensive rebound by T. Ulis,,71-53,,
7:19.0,M. Chriss misses 2-pt shot from 1 ft (block by C. Capela),,71-53,,
7:17.0,,,71-53,,Defensive rebound by J. Harden
7:15.0,,,71-55,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
6:51.0,J. Jackson misses 2-pt shot from 7 ft,,71-55,,
6:50.0,Offensive rebound by M. Chriss,,71-55,,
6:32.0,T. Ulis misses 2-pt shot from 1 ft (block by C. Capela),,71-55,,
6:31.0,,,71-55,,Defensive rebound by Team
6:31.0,,,71-55,,Houston full timeout
6:31.0,,,71-55,,L. Mbah a Moute enters the game for G. Green
6:06.0,,,71-57,2,J. Harden makes 2-pt shot from 16 ft
5:53.0,,,71-57,,Personal foul by C. Capela (drawn by M. Chriss)
5:40.0,M. Chriss makes 2-pt shot from 20 ft (assist by D. Bender),2,73-57,,
5:31.0,,,73-60,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by J. Harden)
5:13.0,Shooting foul by P. Tucker (drawn by D. Bender),,73-60,,
5:13.0,D. Bender makes free throw 1 of 2,1,74-60,,
5:13.0,,,74-60,,J. Johnson enters the game for T. Ariza
5:13.0,,,74-60,,R. Anderson enters the game for P. Tucker
5:13.0,D. Bender makes free throw 2 of 2,1,75-60,,
5:00.0,,,75-60,,Turnover by L. Mbah a Moute (lost ball; steal by M. Chriss)
4:52.0,J. Jackson misses 2-pt shot from 1 ft (block by C. Capela),,75-60,,
4:49.0,,,75-60,,Defensive rebound by J. Harden
4:45.0,,,75-60,,C. Capela misses 2-pt shot at rim
4:42.0,Defensive rebound by M. Chriss,,75-60,,
4:32.0,T. Daniels makes 3-pt shot from 25 ft (assist by T. Ulis),3,78-60,,
4:10.0,,,78-60,,Turnover by J. Harden (bad pass)
4:10.0,A. Williams enters the game for M. Chriss,,78-60,,
3:56.0,T. Daniels misses 3-pt shot from 24 ft,,78-60,,
3:53.0,,,78-60,,Defensive rebound by R. Anderson
3:40.0,,,78-62,2,J. Johnson makes 2-pt shot from 6 ft (assist by R. Anderson)
3:20.0,J. Jackson makes 2-pt shot from 1 ft (assist by T. Ulis),2,80-62,,
3:08.0,,,80-64,2,J. Johnson makes 2-pt shot from 3 ft
3:08.0,,,80-64,,Shooting foul by J. Jackson (drawn by J. Johnson)
3:08.0,,,80-64,,G. Green enters the game for J. Harden
3:08.0,,,80-65,1,J. Johnson makes free throw 1 of 1
2:48.0,D. Bender misses 3-pt shot from 24 ft,,80-65,,
2:45.0,,,80-65,,Defensive rebound by R. Anderson
2:37.0,,,80-65,,G. Green misses 2-pt shot at rim
2:35.0,,,80-65,,Offensive rebound by C. Capela
2:33.0,,,80-65,,C. Capela misses 2-pt shot at rim (block by D. Bender)
2:31.0,,,80-65,,Offensive rebound by C. Capela
2:29.0,,,80-65,,Turnover by J. Johnson (lost ball; steal by J. Jackson)
2:26.0,J. Jackson makes 2-pt shot at rim (assist by T. Ulis),2,82-65,,
2:12.0,Phoenix full timeout,,82-65,,
2:12.0,,,82-65,,T. Black enters the game for C. Capela
2:12.0,S. Harrison enters the game for T. Ulis,,82-65,,
2:12.0,D. House enters the game for T. Daniels,,82-65,,
2:07.0,,,82-65,,Shooting foul by A. Williams (drawn by J. Johnson)
2:07.0,,,82-66,1,J. Johnson makes free throw 1 of 2
2:07.0,,,82-67,1,J. Johnson makes free throw 2 of 2
1:51.0,J. Jackson makes 2-pt shot at rim,2,84-67,,
1:37.0,Def 3 sec tech foul by A. Williams,,84-67,,
1:37.0,,,84-68,1,G. Green makes technical free throw
1:33.0,,,84-71,3,J. Johnson makes 3-pt shot from 25 ft (assist by T. Black)
1:13.0,J. Jackson makes 2-pt shot from 17 ft,2,86-71,,
0:58.0,,,86-71,,Turnover by L. Mbah a Moute (bad pass; steal by S. Harrison)
0:47.0,Turnover by J. Jackson (lost ball; steal by L. Mbah a Moute),,86-71,,
0:42.0,,,86-71,,G. Green misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by J. Jackson,,86-71,,
0:41.0,Turnover by J. Jackson (bad pass),,86-71,,
0:34.0,,,86-73,2,J. Johnson makes 2-pt shot from 4 ft
0:31.0,S. Harrison misses 3-pt shot from 26 ft,,86-73,,
0:27.0,,,86-73,,Defensive rebound by J. Johnson
0:23.0,Personal foul by J. Jackson (drawn by J. Johnson),,86-73,,
0:23.0,A. Peters enters the game for J. Jackson,,86-73,,
0:15.0,,,86-73,,Shooting foul by A. Williams (drawn by J. Johnson)
0:15.0,,,86-74,1,J. Johnson makes free throw 1 of 2
0:15.0,T. Daniels enters the game for S. Harrison,,86-74,,
0:15.0,M. Chriss enters the game for A. Williams,,86-74,,
0:15.0,T. Ulis enters the game for A. Peters,,86-74,,
0:15.0,,,86-75,1,J. Johnson makes free throw 2 of 2
0:02.0,T. Ulis misses 2-pt shot from 21 ft,,86-75,,
0:01.0,,,86-75,,Defensive rebound by T. Black
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,86-75,,J. Johnson misses 2-pt shot from 6 ft (block by D. House)
11:41.0,,,86-75,,Offensive rebound by J. Johnson
11:39.0,,,86-75,,L. Mbah a Moute misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by T. Ulis,,86-75,,
11:23.0,T. Daniels misses 2-pt shot from 19 ft,,86-75,,
11:20.0,,,86-75,,Defensive rebound by J. Johnson
11:11.0,,,86-78,3,G. Green makes 3-pt shot from 23 ft (assist by J. Johnson)
10:48.0,D. House makes 2-pt shot from 8 ft,2,88-78,,
10:32.0,,,88-78,,L. Mbah a Moute misses 2-pt shot from 1 ft
10:30.0,Defensive rebound by A. Williams,,88-78,,
10:10.0,T. Ulis misses 3-pt shot from 25 ft,,88-78,,
10:07.0,,,88-78,,Defensive rebound by R. Anderson
9:59.0,,,88-78,,G. Green misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by T. Daniels,,88-78,,
9:40.0,A. Peters misses 3-pt shot from 25 ft,,88-78,,
9:38.0,Offensive rebound by Team,,88-78,,
9:38.0,,,88-78,,Loose ball foul by G. Green (drawn by A. Williams)
9:38.0,,,88-78,,J. Harden enters the game for G. Green
9:38.0,,,88-78,,T. Ariza enters the game for R. Anderson
9:38.0,,,88-78,,P. Tucker enters the game for L. Mbah a Moute
9:33.0,T. Daniels misses 3-pt shot from 24 ft (block by T. Black),,88-78,,
9:33.0,Offensive rebound by Team,,88-78,,
9:21.0,A. Peters misses 3-pt shot from 23 ft,,88-78,,
9:17.0,,,88-78,,Defensive rebound by P. Tucker
9:08.0,,,88-78,,J. Johnson misses 3-pt shot from 23 ft
9:05.0,Defensive rebound by T. Daniels,,88-78,,
8:48.0,Turnover by T. Ulis (bad pass; steal by T. Black),,88-78,,
8:45.0,Personal foul by T. Ulis (drawn by J. Harden),,88-78,,
8:45.0,S. Harrison enters the game for T. Ulis,,88-78,,
8:39.0,,,88-78,,J. Harden misses 2-pt shot from 4 ft
8:36.0,Defensive rebound by A. Williams,,88-78,,
8:28.0,Shooting foul by P. Tucker (drawn by A. Williams),,88-78,,
8:28.0,A. Williams misses free throw 1 of 2,,88-78,,
8:28.0,Offensive rebound by Team,,88-78,,
8:28.0,,,88-78,,C. Capela enters the game for T. Black
8:28.0,A. Williams makes free throw 2 of 2,1,89-78,,
8:15.0,,,89-81,3,P. Tucker makes 3-pt shot from 26 ft (assist by J. Johnson)
7:52.0,Turnover by A. Williams (bad pass),,89-81,,
7:41.0,,,89-81,,Shooting foul by A. Peters (drawn by J. Harden)
7:41.0,,,89-82,1,J. Harden makes free throw 1 of 2
7:41.0,,,89-83,1,J. Harden makes free throw 2 of 2
7:41.0,Phoenix full timeout,,89-83,,
7:41.0,M. Chriss enters the game for S. Harrison,,89-83,,
7:41.0,J. Jackson enters the game for A. Williams,,89-83,,
7:41.0,T. Ulis enters the game for D. House,,89-83,,
7:22.0,Offensive charge foul by J. Jackson (drawn by P. Tucker),,89-83,,
7:22.0,Turnover by J. Jackson (offensive foul),,89-83,,
6:59.0,,,89-85,2,J. Harden makes 2-pt shot at rim
6:41.0,J. Jackson makes 2-pt shot from 1 ft (assist by T. Ulis),2,91-85,,
6:30.0,,,91-87,2,J. Harden makes 2-pt shot at rim
6:10.0,Turnover by T. Ulis (bad pass; steal by J. Harden),,91-87,,
6:10.0,Personal foul by A. Peters (drawn by J. Harden),,91-87,,
6:10.0,D. Bender enters the game for A. Peters,,91-87,,
6:10.0,D. House enters the game for J. Jackson,,91-87,,
5:48.0,,,91-87,,J. Harden misses 2-pt shot at rim (block by M. Chriss)
5:45.0,Defensive rebound by D. House,,91-87,,
5:25.0,T. Ulis misses 2-pt shot from 10 ft (block by J. Johnson),,91-87,,
5:24.0,Offensive rebound by Team,,91-87,,
5:24.0,Turnover by Team (shot clock),,91-87,,
5:24.0,,,91-87,,G. Green enters the game for J. Johnson
5:09.0,,,91-90,3,P. Tucker makes 3-pt shot from 23 ft (assist by C. Capela)
4:43.0,Offensive foul by M. Chriss (drawn by P. Tucker),,91-90,,
4:43.0,Turnover by M. Chriss (offensive foul),,91-90,,
4:20.0,,,91-90,,J. Harden misses 3-pt shot from 25 ft
4:16.0,Defensive rebound by T. Ulis,,91-90,,
3:54.0,T. Ulis makes 3-pt shot from 27 ft (assist by M. Chriss),3,94-90,,
3:45.0,,,94-90,,T. Ariza misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by M. Chriss,,94-90,,
3:37.0,Phoenix full timeout,,94-90,,
3:37.0,J. Jackson enters the game for D. Bender,,94-90,,
3:24.0,J. Jackson misses 2-pt shot from 20 ft,,94-90,,
3:20.0,Offensive rebound by T. Daniels,,94-90,,
3:04.0,M. Chriss makes 2-pt shot from 2 ft (assist by T. Ulis),2,96-90,,
2:44.0,,,96-93,3,G. Green makes 3-pt shot from 25 ft (assist by J. Harden)
2:16.0,Shooting foul by G. Green (drawn by T. Ulis),,96-93,,
2:16.0,T. Ulis misses free throw 1 of 2,,96-93,,
2:16.0,Offensive rebound by Team,,96-93,,
2:16.0,T. Ulis makes free throw 2 of 2,1,97-93,,
2:04.0,,,97-93,,J. Harden misses 2-pt shot at rim (block by M. Chriss)
2:03.0,Defensive rebound by D. House,,97-93,,
1:59.0,T. Daniels misses 3-pt shot from 27 ft,,97-93,,
1:53.0,,,97-93,,Defensive rebound by T. Ariza
1:51.0,,,97-93,,Shooting foul by T. Ulis (drawn by J. Harden)
1:51.0,,,97-94,1,J. Harden makes free throw 1 of 2
1:51.0,,,97-94,,J. Johnson enters the game for G. Green
1:51.0,,,97-95,1,J. Harden makes free throw 2 of 2
1:38.0,T. Ulis makes 2-pt shot from 16 ft,2,99-95,,
1:26.0,,,99-97,2,J. Harden makes 2-pt shot at rim
1:06.0,T. Daniels makes 2-pt shot from 14 ft (assist by T. Ulis),2,101-97,,
1:04.0,Personal foul by T. Ulis (drawn by J. Harden),,101-97,,
