time,Orlando,pts.away,score,pts.home,San Antonio
7:21.0,Jump ball: D. Green vs. M. Hezonja (J. Isaac gains possession),,,,Jump ball: D. Green vs. M. Hezonja (J. Isaac gains possession)
7:21.0,,,11-11,,Personal foul by D. Murray (drawn by D. Augustin)
7:07.0,Turnover by J. Simmons (bad pass; steal by D. Green),,11-11,,
6:51.0,,,11-13,2,L. Aldridge makes 2-pt shot from 13 ft
6:33.0,N. Vucevic misses 2-pt shot from 19 ft,,11-13,,
6:30.0,,,11-13,,Defensive rebound by K. Anderson
6:18.0,,,11-13,,D. Green misses 2-pt shot from 3 ft
6:16.0,Defensive rebound by N. Vucevic,,11-13,,
6:11.0,J. Simmons misses 2-pt shot at rim (block by D. Green),,11-13,,
6:06.0,Offensive rebound by N. Vucevic,,11-13,,
6:06.0,N. Vucevic makes 2-pt shot at rim,2,13-13,,
6:04.0,Personal foul by J. Simmons (drawn by P. Mills),,13-13,,
6:04.0,,,13-13,,San Antonio full timeout
6:04.0,,,13-13,,T. Parker enters the game for D. Murray
6:04.0,S. Mack enters the game for J. Isaac,,13-13,,
6:04.0,K. Birch enters the game for J. Simmons,,13-13,,
5:58.0,,,13-13,,Turnover by K. Anderson (lost ball; steal by D. Augustin)
5:54.0,D. Augustin misses 2-pt shot from 2 ft (block by D. Green),,13-13,,
5:52.0,,,13-13,,Defensive rebound by Team
5:35.0,,,13-13,,D. Green misses 2-pt shot from 17 ft
5:31.0,Defensive rebound by K. Birch,,13-13,,
5:13.0,N. Vucevic misses 2-pt shot from 9 ft,,13-13,,
5:11.0,,,13-13,,Defensive rebound by K. Anderson
5:02.0,,,13-15,2,L. Aldridge makes 2-pt shot from 1 ft (assist by T. Parker)
4:47.0,D. Augustin misses 2-pt shot from 19 ft,,13-15,,
4:44.0,,,13-15,,Defensive rebound by D. Green
4:35.0,,,13-15,,D. Green misses 3-pt shot from 22 ft
4:32.0,Defensive rebound by M. Hezonja,,13-15,,
4:26.0,M. Hezonja makes 2-pt shot from 5 ft,2,15-15,,
4:12.0,,,15-17,2,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker)
3:50.0,Turnover by D. Augustin (bad pass),,15-17,,
3:50.0,,,15-17,,P. Gasol enters the game for K. Anderson
3:50.0,,,15-17,,M. Ginobili enters the game for D. Green
3:41.0,,,15-17,,Turnover by T. Parker (bad pass; steal by M. Hezonja)
3:33.0,D. Augustin misses 2-pt shot from 9 ft (block by P. Gasol),,15-17,,
3:30.0,,,15-17,,Defensive rebound by M. Ginobili
3:14.0,,,15-17,,P. Gasol misses 2-pt shot from 18 ft
3:10.0,Defensive rebound by M. Hezonja,,15-17,,
2:54.0,K. Birch misses 2-pt shot from 12 ft,,15-17,,
2:52.0,Offensive rebound by N. Vucevic,,15-17,,
2:52.0,N. Vucevic misses 2-pt shot at rim,,15-17,,
2:52.0,Offensive rebound by Team,,15-17,,
2:52.0,Orlando full timeout,,15-17,,
2:52.0,,,15-17,,B. Forbes enters the game for P. Mills
2:37.0,N. Vucevic misses 2-pt shot from 21 ft,,15-17,,
2:37.0,Offensive rebound by Team,,15-17,,
2:37.0,,,15-17,,Loose ball foul by B. Forbes (drawn by K. Birch)
2:28.0,Turnover by D. Augustin (bad pass),,15-17,,
2:14.0,,,15-17,,Shooting foul by K. Birch (drawn by L. Aldridge)
2:14.0,,,15-18,1,L. Aldridge makes free throw 1 of 2
2:14.0,W. Iwundu enters the game for D. Augustin,,15-18,,
2:14.0,,,15-18,,L. Aldridge misses free throw 2 of 2
2:11.0,Defensive rebound by N. Vucevic,,15-18,,
2:01.0,N. Vucevic misses 2-pt shot from 1 ft (block by P. Gasol),,15-18,,
1:58.0,,,15-18,,Defensive rebound by P. Gasol
1:54.0,Personal foul by M. Hezonja (drawn by M. Ginobili),,15-18,,
1:54.0,,,15-18,,R. Gay enters the game for L. Aldridge
1:54.0,B. Biyombo enters the game for M. Hezonja,,15-18,,
1:54.0,R. Purvis enters the game for N. Vucevic,,15-18,,
1:40.0,,,15-20,2,T. Parker makes 2-pt shot from 18 ft (assist by M. Ginobili)
1:15.0,W. Iwundu misses 2-pt shot from 16 ft,,15-20,,
1:12.0,,,15-20,,Defensive rebound by T. Parker
0:56.0,,,15-20,,R. Gay misses 3-pt shot from 23 ft
0:53.0,Defensive rebound by W. Iwundu,,15-20,,
0:40.0,R. Purvis misses 2-pt shot from 17 ft,,15-20,,
0:37.0,,,15-20,,Defensive rebound by R. Gay
0:30.0,,,15-22,2,T. Parker makes 2-pt shot at rim
0:11.0,S. Mack makes 3-pt shot from 25 ft,3,18-22,,
0:01.0,,,18-24,2,P. Gasol makes 2-pt shot from 1 ft (assist by T. Parker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,18-26,2,M. Ginobili makes 2-pt shot at rim (assist by T. Parker)
11:26.0,W. Iwundu misses 2-pt shot from 14 ft,,18-26,,
11:23.0,,,18-26,,Defensive rebound by R. Gay
11:14.0,,,18-28,2,R. Gay makes 2-pt shot from 6 ft (assist by T. Parker)
11:07.0,,,18-28,,Violation by T. Parker (kicked ball)
10:51.0,S. Mack makes 2-pt shot from 6 ft (assist by B. Biyombo),2,20-28,,
10:39.0,,,20-28,,T. Parker misses 2-pt shot from 5 ft
10:37.0,Defensive rebound by B. Biyombo,,20-28,,
10:30.0,S. Mack misses 2-pt shot from 11 ft,,20-28,,
10:28.0,Offensive rebound by B. Biyombo,,20-28,,
10:28.0,Shooting foul by R. Gay (drawn by B. Biyombo),,20-28,,
10:28.0,B. Biyombo makes free throw 1 of 2,1,21-28,,
10:28.0,,,21-28,,D. Murray enters the game for T. Parker
10:28.0,B. Biyombo makes free throw 2 of 2,1,22-28,,
10:12.0,,,22-28,,Shooting foul by W. Iwundu (drawn by R. Gay)
10:12.0,,,22-29,1,R. Gay makes free throw 1 of 2
10:12.0,,,22-30,1,R. Gay makes free throw 2 of 2
10:01.0,Shooting foul by B. Forbes (drawn by R. Purvis),,22-30,,
10:01.0,R. Purvis makes free throw 1 of 2,1,23-30,,
10:01.0,R. Purvis makes free throw 2 of 2,1,24-30,,
9:45.0,,,24-32,2,P. Gasol makes 2-pt shot from 1 ft (assist by B. Forbes)
9:45.0,,,24-32,,Shooting foul by K. Birch (drawn by P. Gasol)
9:45.0,,,24-32,,D. Green enters the game for M. Ginobili
9:45.0,J. Simmons enters the game for K. Birch,,24-32,,
9:45.0,,,24-33,1,P. Gasol makes free throw 1 of 1
9:33.0,Turnover by S. Mack (bad pass; steal by D. Murray),,24-33,,
9:29.0,,,24-33,,B. Forbes misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by J. Simmons,,24-33,,
9:11.0,Offensive charge foul by R. Purvis (drawn by D. Green),,24-33,,
9:11.0,Turnover by R. Purvis (offensive foul),,24-33,,
8:56.0,,,24-33,,R. Gay misses 2-pt shot from 8 ft
8:53.0,Defensive rebound by S. Mack,,24-33,,
8:39.0,S. Mack misses 2-pt shot from 3 ft,,24-33,,
8:38.0,Offensive rebound by Team,,24-33,,
8:38.0,,,24-33,,Loose ball foul by D. Green (drawn by B. Biyombo)
8:38.0,,,24-33,,K. Anderson enters the game for R. Gay
8:26.0,S. Mack makes 2-pt shot from 7 ft,2,26-33,,
8:11.0,,,26-33,,Shooting foul by B. Biyombo (drawn by P. Gasol)
8:11.0,,,26-34,1,P. Gasol makes free throw 1 of 2
8:11.0,,,26-35,1,P. Gasol makes free throw 2 of 2
7:57.0,Turnover by R. Purvis (bad pass; steal by D. Murray),,26-35,,
7:54.0,,,26-37,2,D. Murray makes 2-pt shot at rim
7:53.0,Orlando full timeout,,26-37,,
7:53.0,,,26-37,,P. Mills enters the game for B. Forbes
7:53.0,,,26-37,,L. Aldridge enters the game for P. Gasol
7:53.0,J. Isaac enters the game for W. Iwundu,,26-37,,
7:36.0,J. Simmons misses 3-pt shot from 25 ft,,26-37,,
7:31.0,,,26-37,,Defensive rebound by D. Murray
7:20.0,,,26-37,,L. Aldridge misses 2-pt shot from 8 ft
7:18.0,Defensive rebound by R. Purvis,,26-37,,
7:13.0,J. Isaac makes 3-pt shot from 25 ft (assist by S. Mack),3,29-37,,
6:47.0,,,29-37,,P. Mills misses 2-pt shot from 23 ft
6:46.0,,,29-37,,Offensive rebound by K. Anderson
6:43.0,,,29-40,3,D. Green makes 3-pt shot from 25 ft (assist by P. Mills)
6:21.0,S. Mack misses 3-pt shot from 23 ft,,29-40,,
6:21.0,,,29-40,,Defensive rebound by Team
6:06.0,Personal foul by B. Biyombo (drawn by L. Aldridge),,29-40,,
6:06.0,M. Hezonja enters the game for R. Purvis,,29-40,,
5:58.0,,,29-40,,L. Aldridge misses 2-pt shot from 13 ft
5:53.0,,,29-40,,Offensive rebound by K. Anderson
5:53.0,,,29-42,2,K. Anderson makes 2-pt shot at rim
5:44.0,J. Simmons misses 2-pt shot from 6 ft,,29-42,,
5:40.0,,,29-42,,Defensive rebound by D. Green
5:29.0,,,29-44,2,L. Aldridge makes 2-pt shot at rim
5:29.0,Orlando full timeout,,29-44,,
5:29.0,D. Augustin enters the game for S. Mack,,29-44,,
5:29.0,N. Vucevic enters the game for B. Biyombo,,29-44,,
5:27.0,Turnover by J. Isaac (bad pass; steal by P. Mills),,29-44,,
5:22.0,,,29-47,3,P. Mills makes 3-pt shot from 24 ft (assist by K. Anderson)
5:02.0,M. Hezonja misses 2-pt shot from 20 ft,,29-47,,
4:59.0,,,29-47,,Defensive rebound by K. Anderson
4:45.0,,,29-50,3,D. Green makes 3-pt shot from 22 ft (assist by K. Anderson)
4:29.0,J. Simmons misses 3-pt shot from 23 ft,,29-50,,
4:26.0,,,29-50,,Defensive rebound by K. Anderson
4:17.0,,,29-50,,Shooting foul by J. Isaac (drawn by D. Murray)
4:17.0,,,29-51,1,D. Murray makes free throw 1 of 2
4:17.0,,,29-51,,D. Murray misses free throw 2 of 2
4:14.0,Defensive rebound by N. Vucevic,,29-51,,
4:01.0,J. Isaac misses 3-pt shot from 24 ft,,29-51,,
3:58.0,,,29-51,,Defensive rebound by D. Murray
3:49.0,,,29-51,,P. Mills misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by J. Isaac,,29-51,,
3:37.0,Offensive foul by N. Vucevic (drawn by P. Mills),,29-51,,
3:37.0,Turnover by N. Vucevic (offensive foul),,29-51,,
3:37.0,,,29-51,,T. Parker enters the game for D. Murray
3:27.0,,,29-51,,Shooting foul by J. Isaac (drawn by D. Green)
3:27.0,,,29-52,1,P. Mills makes technical free throw
3:27.0,,,29-53,1,D. Green makes free throw 1 of 2
3:27.0,,,29-54,1,D. Green makes free throw 2 of 2
3:12.0,N. Vucevic makes 2-pt shot from 15 ft (assist by D. Augustin),2,31-54,,
2:56.0,,,31-56,2,L. Aldridge makes 2-pt shot at rim
2:41.0,Turnover by D. Augustin (bad pass),,31-56,,
2:41.0,,,31-56,,M. Ginobili enters the game for D. Green
2:38.0,,,31-56,,San Antonio full timeout
2:38.0,,,31-56,,R. Gay enters the game for K. Anderson
2:24.0,,,31-56,,Turnover by L. Aldridge (turnover)
2:11.0,N. Vucevic makes 2-pt shot from 20 ft (assist by D. Augustin),2,33-56,,
1:57.0,,,33-56,,T. Parker misses 2-pt shot at rim
1:54.0,Defensive rebound by N. Vucevic,,33-56,,
1:36.0,J. Simmons misses 3-pt shot from 22 ft,,33-56,,
1:33.0,,,33-56,,Defensive rebound by L. Aldridge
1:23.0,,,33-59,3,R. Gay makes 3-pt shot from 24 ft (assist by T. Parker)
1:01.0,J. Isaac makes 2-pt shot from 12 ft,2,35-59,,
0:39.0,,,35-59,,R. Gay misses 2-pt shot from 14 ft
0:38.0,,,35-59,,Offensive rebound by L. Aldridge
0:38.0,,,35-59,,Shooting foul by N. Vucevic (drawn by L. Aldridge)
0:38.0,,,35-59,,L. Aldridge misses free throw 1 of 2
0:38.0,,,35-59,,Offensive rebound by Team
0:38.0,,,35-60,1,L. Aldridge makes free throw 2 of 2
0:30.0,N. Vucevic makes 2-pt shot from 8 ft (assist by D. Augustin),2,37-60,,
0:10.0,,,37-60,,M. Ginobili misses 2-pt shot from 6 ft
0:08.0,Defensive rebound by J. Isaac,,37-60,,
0:04.0,Turnover by J. Isaac (lost ball; steal by T. Parker),,37-60,,
0:03.0,Personal foul by J. Isaac (drawn by T. Parker),,37-60,,
0:03.0,,,37-61,1,T. Parker makes free throw 1 of 2
0:03.0,R. Purvis enters the game for J. Isaac,,37-61,,
0:03.0,,,37-62,1,T. Parker makes free throw 2 of 2
0:01.0,,,37-62,,Personal foul by M. Ginobili (drawn by R. Purvis)
0:00.0,J. Simmons misses 3-pt shot from 33 ft,,37-62,,
0:00.0,Offensive rebound by Team,,37-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,37-65,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
11:23.0,N. Vucevic misses 2-pt shot at rim,,37-65,,
11:21.0,,,37-65,,Defensive rebound by D. Green
11:14.0,,,37-65,,Shooting foul by D. Augustin (drawn by P. Mills)
11:14.0,,,37-66,1,P. Mills makes free throw 1 of 2
11:14.0,,,37-67,1,P. Mills makes free throw 2 of 2
11:01.0,Shooting foul by D. Green (drawn by J. Simmons),,37-67,,
11:01.0,J. Simmons makes free throw 1 of 2,1,38-67,,
11:01.0,J. Simmons makes free throw 2 of 2,1,39-67,,
10:39.0,,,39-69,2,L. Aldridge makes 2-pt shot from 14 ft
10:30.0,Turnover by N. Vucevic (bad pass; steal by D. Murray),,39-69,,
10:09.0,,,39-71,2,L. Aldridge makes 2-pt shot from 1 ft (assist by K. Anderson)
9:54.0,N. Vucevic misses 3-pt shot from 26 ft,,39-71,,
9:52.0,,,39-71,,Defensive rebound by L. Aldridge
9:43.0,,,39-73,2,D. Murray makes 2-pt shot from 1 ft
9:23.0,J. Simmons misses 2-pt shot from 1 ft,,39-73,,
9:20.0,,,39-73,,Defensive rebound by P. Mills
9:17.0,,,39-76,3,D. Green makes 3-pt shot from 24 ft (assist by D. Murray)
9:15.0,Orlando full timeout,,39-76,,
8:57.0,D. Augustin makes 3-pt shot from 25 ft (assist by M. Hezonja),3,42-76,,
8:33.0,,,42-76,,L. Aldridge misses 2-pt shot from 10 ft
8:31.0,Defensive rebound by N. Vucevic,,42-76,,
8:21.0,J. Simmons makes 2-pt shot from 1 ft (assist by D. Augustin),2,44-76,,
8:21.0,Shooting foul by D. Green (drawn by J. Simmons),,44-76,,
8:21.0,J. Simmons makes free throw 1 of 1,1,45-76,,
8:10.0,,,45-78,2,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Murray)
7:49.0,N. Vucevic makes 2-pt shot from 12 ft,2,47-78,,
7:34.0,,,47-78,,L. Aldridge misses 2-pt shot from 1 ft
7:34.0,,,47-78,,Offensive rebound by L. Aldridge
7:29.0,,,47-78,,L. Aldridge misses 2-pt shot at rim
7:29.0,Defensive rebound by M. Hezonja,,47-78,,
7:27.0,M. Hezonja misses 2-pt shot from 4 ft,,47-78,,
7:27.0,,,47-78,,Defensive rebound by D. Murray
7:20.0,,,47-80,2,D. Murray makes 2-pt shot from 1 ft (assist by P. Mills)
6:58.0,J. Simmons misses 2-pt shot from 17 ft,,47-80,,
6:54.0,,,47-80,,Defensive rebound by D. Murray
6:49.0,,,47-80,,P. Mills misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by M. Hezonja,,47-80,,
6:37.0,Shooting foul by L. Aldridge (drawn by D. Augustin),,47-80,,
6:37.0,D. Augustin makes free throw 1 of 2,1,48-80,,
6:37.0,D. Augustin makes free throw 2 of 2,1,49-80,,
6:24.0,,,49-80,,D. Green misses 2-pt shot from 21 ft
6:20.0,Defensive rebound by N. Vucevic,,49-80,,
6:11.0,,,49-80,,Personal foul by K. Anderson (drawn by J. Isaac)
6:08.0,N. Vucevic misses 2-pt shot from 22 ft,,49-80,,
6:05.0,,,49-80,,Defensive rebound by D. Murray
5:52.0,,,49-80,,D. Green misses 3-pt shot from 25 ft
5:46.0,,,49-80,,Offensive rebound by D. Murray
5:46.0,,,49-82,2,D. Murray makes 2-pt shot at rim
5:34.0,J. Simmons makes 2-pt shot from 16 ft,2,51-82,,
5:32.0,,,51-82,,San Antonio full timeout
5:32.0,,,51-82,,T. Parker enters the game for D. Green
5:32.0,,,51-82,,M. Ginobili enters the game for D. Murray
5:08.0,,,51-84,2,L. Aldridge makes 2-pt shot from 14 ft
4:52.0,Turnover by J. Isaac (lost ball; steal by K. Anderson),,51-84,,
4:43.0,,,51-84,,L. Aldridge misses 2-pt shot from 2 ft
4:41.0,Defensive rebound by D. Augustin,,51-84,,
4:35.0,Turnover by N. Vucevic (lost ball; steal by K. Anderson),,51-84,,
4:30.0,,,51-84,,T. Parker misses 2-pt shot from 1 ft
4:25.0,,,51-84,,Offensive rebound by L. Aldridge
4:25.0,,,51-86,2,L. Aldridge makes 2-pt shot at rim
4:08.0,Turnover by M. Hezonja (out of bounds lost ball),,51-86,,
4:08.0,,,51-86,,P. Gasol enters the game for K. Anderson
4:08.0,,,51-86,,R. Gay enters the game for L. Aldridge
3:55.0,,,51-86,,P. Mills misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by J. Isaac,,51-86,,
3:45.0,Turnover by N. Vucevic (bad pass; steal by R. Gay),,51-86,,
3:43.0,,,51-86,,Shooting foul by J. Simmons (drawn by R. Gay)
3:43.0,,,51-87,1,R. Gay makes free throw 1 of 2
3:43.0,,,51-87,,B. Forbes enters the game for P. Mills
3:43.0,M. Speights enters the game for N. Vucevic,,51-87,,
3:43.0,A. Afflalo enters the game for J. Simmons,,51-87,,
3:43.0,,,51-88,1,R. Gay makes free throw 2 of 2
3:20.0,J. Isaac misses 2-pt shot from 13 ft,,51-88,,
3:13.0,Offensive rebound by M. Hezonja,,51-88,,
3:13.0,M. Hezonja misses 2-pt shot at rim,,51-88,,
3:13.0,,,51-88,,Defensive rebound by P. Gasol
3:03.0,,,51-90,2,M. Ginobili makes 2-pt shot from 15 ft (assist by P. Gasol)
2:50.0,D. Augustin misses 2-pt shot from 11 ft,,51-90,,
2:47.0,,,51-90,,Defensive rebound by R. Gay
2:39.0,,,51-90,,R. Gay misses 2-pt shot from 11 ft
2:36.0,Defensive rebound by A. Afflalo,,51-90,,
2:31.0,M. Hezonja misses 2-pt shot from 1 ft,,51-90,,
2:29.0,,,51-90,,Defensive rebound by R. Gay
2:16.0,,,51-90,,P. Gasol misses 2-pt shot from 4 ft
2:14.0,Defensive rebound by J. Isaac,,51-90,,
2:07.0,Turnover by M. Hezonja (out of bounds lost ball),,51-90,,
2:07.0,S. Mack enters the game for D. Augustin,,51-90,,
1:50.0,,,51-90,,M. Ginobili misses 2-pt shot from 13 ft
1:47.0,,,51-90,,Offensive rebound by P. Gasol
1:33.0,,,51-90,,P. Gasol misses 2-pt shot from 5 ft
1:31.0,Defensive rebound by Team,,51-90,,
1:31.0,K. Birch enters the game for J. Isaac,,51-90,,
1:17.0,M. Speights misses 3-pt shot from 26 ft,,51-90,,
1:11.0,,,51-90,,Defensive rebound by M. Ginobili
1:05.0,,,51-90,,R. Gay misses 2-pt shot from 2 ft
1:05.0,,,51-90,,Offensive rebound by Team
1:05.0,Loose ball foul by M. Speights (drawn by P. Gasol),,51-90,,
1:01.0,,,51-90,,Shooting foul by M. Speights (drawn by P. Gasol)
1:01.0,,,51-91,1,P. Gasol makes free throw 1 of 2
1:01.0,,,51-92,1,P. Gasol makes free throw 2 of 2
0:46.0,M. Speights makes 3-pt shot from 24 ft (assist by M. Hezonja),3,54-92,,
0:37.0,,,54-94,2,P. Gasol makes 2-pt shot at rim (assist by T. Parker)
0:32.0,S. Mack misses 3-pt shot from 26 ft,,54-94,,
0:28.0,,,54-94,,Defensive rebound by P. Gasol
0:12.0,,,54-96,2,T. Parker makes 2-pt shot from 1 ft
0:06.0,M. Speights makes 3-pt shot from 26 ft (assist by M. Hezonja),3,57-96,,
0:01.0,,,57-96,,M. Ginobili misses 3-pt shot from 26 ft
0:01.0,,,57-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,A. Afflalo makes 3-pt shot from 25 ft (assist by S. Mack),3,60-96,,
11:10.0,,,60-96,,T. Parker misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by M. Speights,,60-96,,
11:05.0,Turnover by W. Iwundu (traveling),,60-96,,
10:48.0,,,60-96,,R. Gay misses 2-pt shot from 7 ft
10:46.0,,,60-96,,Offensive rebound by R. Gay
10:40.0,,,60-96,,T. Parker misses 2-pt shot from 15 ft
10:36.0,Defensive rebound by K. Birch,,60-96,,
10:29.0,S. Mack misses 3-pt shot from 25 ft,,60-96,,
10:29.0,Offensive rebound by Team,,60-96,,
10:29.0,,,60-96,,Loose ball foul by P. Gasol (drawn by M. Speights)
10:22.0,M. Speights misses 3-pt shot from 26 ft,,60-96,,
10:20.0,,,60-96,,Defensive rebound by Team
10:08.0,,,60-99,3,B. Forbes makes 3-pt shot from 25 ft (assist by T. Parker)
9:41.0,Turnover by Team (shot clock),,60-99,,
9:29.0,,,60-101,2,T. Parker makes 2-pt shot from 1 ft (assist by P. Gasol)
9:12.0,A. Afflalo misses 3-pt shot from 26 ft,,60-101,,
9:07.0,Offensive rebound by K. Birch,,60-101,,
9:07.0,K. Birch misses 2-pt shot at rim,,60-101,,
9:07.0,,,60-101,,Defensive rebound by P. Gasol
9:05.0,,,60-101,,San Antonio full timeout
9:05.0,,,60-101,,J. Lauvergne enters the game for T. Parker
9:05.0,,,60-101,,D. Bertans enters the game for P. Gasol
8:59.0,,,60-101,,B. Forbes misses 2-pt shot from 17 ft
8:55.0,Defensive rebound by M. Speights,,60-101,,
8:43.0,Offensive foul by K. Birch (drawn by B. Forbes),,60-101,,
8:43.0,Turnover by K. Birch (offensive foul),,60-101,,
8:27.0,,,60-101,,D. Bertans misses 2-pt shot from 18 ft
8:24.0,Defensive rebound by M. Speights,,60-101,,
8:10.0,K. Birch makes 2-pt shot from 6 ft (assist by S. Mack),2,62-101,,
7:43.0,,,62-101,,J. Lauvergne misses 2-pt shot from 8 ft (block by M. Speights)
7:36.0,,,62-101,,Offensive rebound by J. Lauvergne
7:35.0,,,62-101,,D. Bertans misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by K. Birch,,62-101,,
7:32.0,S. Mack misses 2-pt shot from 1 ft (block by D. Bertans),,62-101,,
7:29.0,,,62-101,,Defensive rebound by R. Gay
7:20.0,,,62-101,,R. Gay misses 3-pt shot from 24 ft
7:20.0,Defensive rebound by W. Iwundu,,62-101,,
7:03.0,K. Birch misses 2-pt shot from 2 ft,,62-101,,
7:00.0,,,62-101,,Defensive rebound by D. Bertans
6:52.0,,,62-101,,Offensive charge foul by R. Gay (drawn by M. Speights)
6:52.0,,,62-101,,Turnover by R. Gay (offensive foul)
6:52.0,R. Purvis enters the game for S. Mack,,62-101,,
6:31.0,R. Purvis misses 3-pt shot from 24 ft,,62-101,,
6:27.0,Offensive rebound by K. Birch,,62-101,,
6:16.0,A. Afflalo makes 2-pt shot from 9 ft,2,64-101,,
5:58.0,,,64-101,,Turnover by R. Gay (bad pass)
5:42.0,A. Afflalo misses 2-pt shot from 13 ft,,64-101,,
5:41.0,,,64-101,,Defensive rebound by B. Forbes
5:22.0,,,64-101,,Turnover by R. Gay (lost ball; steal by W. Iwundu)
5:02.0,M. Speights misses 3-pt shot from 28 ft,,64-101,,
4:58.0,,,64-101,,Defensive rebound by D. Bertans
4:53.0,,,64-101,,San Antonio full timeout
4:53.0,,,64-101,,D. Murray enters the game for R. Gay
4:35.0,,,64-101,,J. Lauvergne misses 2-pt shot from 5 ft (block by M. Speights)
4:34.0,,,64-101,,Offensive rebound by Team
4:34.0,,,64-101,,Turnover by Team (shot clock)
4:13.0,W. Iwundu makes 2-pt shot from 1 ft (assist by M. Speights),2,66-101,,
3:57.0,,,66-101,,Turnover by B. Forbes (lost ball; steal by R. Purvis)
3:47.0,R. Purvis misses 2-pt shot from 8 ft,,66-101,,
3:45.0,,,66-101,,Defensive rebound by J. Lauvergne
3:39.0,,,66-104,3,B. Forbes makes 3-pt shot from 25 ft
3:21.0,K. Birch makes 2-pt shot from 7 ft,2,68-104,,
2:55.0,,,68-104,,J. Lauvergne misses 2-pt shot from 8 ft
2:55.0,Defensive rebound by M. Speights,,68-104,,
2:47.0,W. Iwundu misses 2-pt shot from 15 ft,,68-104,,
2:47.0,,,68-104,,Defensive rebound by J. Lauvergne
2:31.0,,,68-106,2,J. Lauvergne makes 2-pt shot from 8 ft (assist by D. Bertans)
2:14.0,W. Iwundu makes 2-pt shot from 20 ft (assist by A. Afflalo),2,70-106,,
1:57.0,,,70-106,,D. Murray misses 2-pt shot from 14 ft
1:54.0,Defensive rebound by K. Birch,,70-106,,
1:43.0,A. Afflalo makes 2-pt shot from 12 ft,2,72-106,,
1:27.0,,,72-106,,Turnover by B. Paul (step out of bounds)
1:15.0,A. Afflalo misses 2-pt shot from 15 ft,,72-106,,
1:11.0,,,72-106,,Defensive rebound by D. Bertans
1:04.0,,,72-106,,Turnover by D. Bertans (bad pass; steal by K. Birch)
1:00.0,Turnover by R. Purvis (lost ball; steal by B. Forbes),,72-106,,
