time,Chicago,pts.away,score,pts.home,Atlanta
6:56.0,Shooting foul by I. Taylor (drawn by C. Payne),,37-39,,
6:56.0,C. Payne makes free throw 1 of 2,1,38-39,,
6:56.0,C. Payne makes free throw 2 of 2,1,39-39,,
6:48.0,,,39-39,,Turnover by I. Taylor (step out of bounds)
6:37.0,A. Blakeney makes 2-pt shot from 20 ft (assist by N. Vonleh),2,41-39,,
6:35.0,,,41-39,,Atlanta full timeout
6:27.0,,,41-41,2,J. Collins makes 2-pt shot from 1 ft
6:16.0,Z. LaVine makes 2-pt shot from 21 ft (assist by B. Portis),2,43-41,,
5:50.0,,,43-41,,J. Collins misses 2-pt shot from 1 ft (block by N. Vonleh)
5:46.0,Defensive rebound by A. Blakeney,,43-41,,
5:39.0,N. Vonleh misses 2-pt shot from 1 ft (block by J. Collins),,43-41,,
5:37.0,,,43-41,,Defensive rebound by J. Collins
5:28.0,,,43-41,,Turnover by K. Bazemore (bad pass; steal by C. Payne)
5:24.0,A. Blakeney makes 2-pt shot from 1 ft (assist by C. Payne),2,45-41,,
5:24.0,,,45-41,,Atlanta full timeout
5:24.0,,,45-41,,T. Dorsey enters the game for I. Taylor
5:24.0,,,45-41,,J. Magette enters the game for K. Bazemore
5:14.0,,,45-41,,Turnover by J. Magette (lost ball; steal by C. Payne)
5:10.0,C. Payne makes 2-pt shot at rim,2,47-41,,
4:53.0,,,47-41,,J. Magette misses 3-pt shot from 25 ft
4:50.0,Defensive rebound by N. Vonleh,,47-41,,
4:44.0,B. Portis misses 2-pt shot from 1 ft,,47-41,,
4:41.0,,,47-41,,Defensive rebound by T. Dorsey
4:38.0,,,47-41,,T. Dorsey misses 2-pt shot from 19 ft
4:33.0,,,47-41,,Offensive rebound by D. Dedmon
4:32.0,,,47-41,,T. Waller-Prince misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by N. Vonleh,,47-41,,
4:13.0,A. Blakeney makes 2-pt shot from 19 ft,2,49-41,,
3:58.0,Violation by B. Portis (kicked ball),,49-41,,
3:58.0,,,49-41,,M. Plumlee enters the game for D. Dedmon
3:58.0,,,49-41,,M. Muscala enters the game for J. Collins
3:58.0,K. Dunn enters the game for B. Portis,,49-41,,
3:58.0,L. Markkanen enters the game for C. Payne,,49-41,,
3:47.0,,,49-41,,M. Plumlee misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by A. Blakeney,,49-41,,
3:33.0,N. Vonleh misses 2-pt shot at rim (block by M. Plumlee),,49-41,,
3:28.0,,,49-41,,Defensive rebound by M. Muscala
3:24.0,,,49-43,2,T. Dorsey makes 2-pt shot at rim (assist by J. Magette)
3:11.0,K. Dunn misses 2-pt shot from 17 ft,,49-43,,
3:07.0,,,49-43,,Defensive rebound by T. Dorsey
3:01.0,,,49-45,2,T. Dorsey makes 2-pt shot from 22 ft
2:46.0,A. Blakeney misses 3-pt shot from 22 ft,,49-45,,
2:44.0,,,49-45,,Defensive rebound by J. Magette
2:34.0,Personal foul by A. Blakeney (drawn by T. Dorsey),,49-45,,
2:34.0,D. Nwaba enters the game for A. Blakeney,,49-45,,
2:34.0,C. Felicio enters the game for N. Vonleh,,49-45,,
2:22.0,,,49-47,2,T. Waller-Prince makes 2-pt shot from 1 ft
2:10.0,Z. LaVine makes 2-pt shot from 2 ft,2,51-47,,
2:01.0,Personal foul by K. Dunn (drawn by J. Magette),,51-47,,
1:46.0,,,51-50,3,M. Muscala makes 3-pt shot from 23 ft (assist by J. Magette)
1:26.0,Z. LaVine makes 2-pt shot from 16 ft,2,53-50,,
1:14.0,Personal foul by C. Felicio (drawn by T. Waller-Prince),,53-50,,
1:08.0,,,53-50,,M. Muscala misses 3-pt shot from 25 ft
1:04.0,,,53-50,,Offensive rebound by J. Magette
1:01.0,,,53-50,,T. Waller-Prince misses 3-pt shot from 24 ft
0:58.0,Defensive rebound by D. Nwaba,,53-50,,
0:45.0,Z. LaVine misses 3-pt shot from 24 ft,,53-50,,
0:41.0,,,53-50,,Defensive rebound by M. Muscala
0:21.0,Jump ball: M. Muscala vs. L. Markkanen (M. Plumlee gains possession),,,,Jump ball: M. Muscala vs. L. Markkanen (M. Plumlee gains possession)
0:17.0,,,53-50,,Turnover by M. Plumlee (bad pass; steal by L. Markkanen)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Nwaba makes 3-pt shot from 22 ft,3,56-50,,
11:25.0,Personal foul by Z. LaVine (drawn by T. Dorsey),,56-50,,
11:10.0,,,56-50,,Turnover by Team (shot clock)
10:59.0,L. Markkanen misses 2-pt shot from 22 ft,,56-50,,
10:56.0,Offensive rebound by L. Markkanen,,56-50,,
10:51.0,L. Markkanen misses 3-pt shot from 24 ft,,56-50,,
10:47.0,,,56-50,,Defensive rebound by I. Taylor
10:35.0,,,56-52,2,J. Collins makes 2-pt shot from 1 ft
10:13.0,Shooting foul by J. Collins (drawn by D. Nwaba),,56-52,,
10:13.0,D. Nwaba makes free throw 1 of 2,1,57-52,,
10:13.0,D. Nwaba makes free throw 2 of 2,1,58-52,,
10:03.0,,,58-52,,Turnover by D. Dedmon (bad pass)
9:45.0,L. Markkanen makes 3-pt shot from 24 ft (assist by Z. LaVine),3,61-52,,
9:33.0,,,61-54,2,T. Waller-Prince makes 2-pt shot from 15 ft (assist by I. Taylor)
9:33.0,,,61-54,,Shooting foul by D. Nwaba (drawn by T. Waller-Prince)
9:33.0,,,61-55,1,T. Waller-Prince makes free throw 1 of 1
9:20.0,K. Dunn misses 2-pt shot from 3 ft,,61-55,,
9:17.0,Offensive rebound by C. Felicio,,61-55,,
9:15.0,D. Nwaba makes 3-pt shot from 25 ft (assist by C. Felicio),3,64-55,,
9:01.0,,,64-58,3,T. Waller-Prince makes 3-pt shot from 23 ft (assist by I. Taylor)
8:46.0,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Dunn),3,67-58,,
8:30.0,,,67-58,,Turnover by I. Taylor (lost ball; steal by K. Dunn)
8:24.0,L. Markkanen makes 2-pt shot from 2 ft (assist by K. Dunn),2,69-58,,
8:24.0,,,69-58,,Atlanta full timeout
8:03.0,,,69-58,,Shooting foul by D. Nwaba (drawn by J. Collins)
8:03.0,,,69-59,1,J. Collins makes free throw 1 of 2
8:03.0,,,69-60,1,J. Collins makes free throw 2 of 2
7:52.0,D. Nwaba misses 2-pt shot from 3 ft,,69-60,,
7:49.0,,,69-60,,Defensive rebound by D. Dedmon
7:43.0,Personal foul by L. Markkanen (drawn by T. Waller-Prince),,69-60,,
7:38.0,,,69-60,,Shooting foul by D. Nwaba (drawn by J. Collins)
7:38.0,,,69-61,1,J. Collins makes free throw 1 of 2
7:38.0,,,69-62,1,J. Collins makes free throw 2 of 2
7:26.0,Turnover by Z. LaVine (bad pass; steal by T. Waller-Prince),,69-62,,
7:25.0,,,69-62,,Turnover by T. Waller-Prince (bad pass)
7:03.0,Z. LaVine misses 3-pt shot from 25 ft,,69-62,,
6:58.0,,,69-62,,Defensive rebound by D. Dedmon
6:55.0,,,69-64,2,J. Collins makes 2-pt shot at rim (assist by I. Taylor)
6:44.0,L. Markkanen misses 3-pt shot from 26 ft,,69-64,,
6:40.0,,,69-64,,Defensive rebound by T. Waller-Prince
6:32.0,,,69-64,,I. Taylor misses 2-pt shot from 9 ft
6:29.0,Defensive rebound by C. Felicio,,69-64,,
6:21.0,Z. LaVine misses 3-pt shot from 25 ft,,69-64,,
6:17.0,,,69-64,,Defensive rebound by J. Collins
6:09.0,Personal foul by Z. LaVine (drawn by J. Collins),,69-64,,
6:09.0,,,69-65,1,J. Collins makes free throw 1 of 2
6:09.0,,,69-65,,A. White enters the game for T. Dorsey
6:09.0,,,69-65,,J. Collins misses free throw 2 of 2
6:07.0,Defensive rebound by L. Markkanen,,69-65,,
5:55.0,K. Dunn makes 2-pt shot from 16 ft,2,71-65,,
5:42.0,,,71-65,,I. Taylor misses 2-pt shot from 22 ft
5:39.0,Defensive rebound by D. Nwaba,,71-65,,
5:37.0,,,71-65,,Personal foul by I. Taylor (drawn by K. Dunn)
5:37.0,,,71-65,,J. Magette enters the game for I. Taylor
5:37.0,B. Portis enters the game for C. Felicio,,71-65,,
5:37.0,D. Valentine enters the game for Z. LaVine,,71-65,,
5:29.0,K. Dunn misses 2-pt shot from 14 ft,,71-65,,
5:25.0,,,71-65,,Defensive rebound by A. White
5:14.0,,,71-67,2,D. Dedmon makes 2-pt shot from 2 ft (assist by J. Magette)
4:55.0,Shooting foul by A. White (drawn by L. Markkanen),,71-67,,
4:55.0,L. Markkanen makes free throw 1 of 2,1,72-67,,
4:55.0,L. Markkanen makes free throw 2 of 2,1,73-67,,
4:41.0,,,73-67,,Shooting foul by B. Portis (drawn by T. Waller-Prince)
4:41.0,,,73-68,1,T. Waller-Prince makes free throw 1 of 2
4:41.0,,,73-68,,M. Plumlee enters the game for J. Collins
4:41.0,,,73-69,1,T. Waller-Prince makes free throw 2 of 2
4:27.0,K. Dunn makes 3-pt shot from 25 ft (assist by B. Portis),3,76-69,,
4:16.0,,,76-69,,Turnover by T. Waller-Prince (bad pass; steal by D. Nwaba)
4:12.0,L. Markkanen makes 2-pt shot from 1 ft (assist by D. Nwaba),2,78-69,,
3:48.0,,,78-69,,Shooting foul by D. Nwaba (drawn by T. Waller-Prince)
3:48.0,,,78-70,1,T. Waller-Prince makes free throw 1 of 3
3:48.0,,,78-71,1,T. Waller-Prince makes free throw 2 of 3
3:48.0,,,78-71,,M. Muscala enters the game for D. Dedmon
3:48.0,A. Blakeney enters the game for D. Nwaba,,78-71,,
3:48.0,,,78-71,,T. Waller-Prince misses free throw 3 of 3
3:44.0,,,78-71,,Offensive rebound by M. Muscala
3:44.0,,,78-71,,M. Muscala misses 2-pt shot at rim
3:43.0,Defensive rebound by D. Valentine,,78-71,,
3:32.0,K. Dunn misses 2-pt shot from 9 ft,,78-71,,
3:30.0,Offensive rebound by K. Dunn,,78-71,,
3:30.0,Offensive foul by K. Dunn (drawn by J. Magette),,78-71,,
3:30.0,Turnover by K. Dunn (offensive foul),,78-71,,
3:30.0,N. Vonleh enters the game for L. Markkanen,,78-71,,
3:15.0,,,78-73,2,M. Muscala makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
3:15.0,Chicago full timeout,,78-73,,
3:15.0,C. Payne enters the game for K. Dunn,,78-73,,
2:52.0,N. Vonleh makes 2-pt shot from 1 ft (assist by C. Payne),2,80-73,,
2:38.0,,,80-76,3,A. White makes 3-pt shot from 25 ft (assist by J. Magette)
2:27.0,N. Vonleh misses 3-pt shot from 25 ft,,80-76,,
2:24.0,,,80-76,,Defensive rebound by M. Plumlee
2:12.0,,,80-76,,A. White misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by D. Valentine,,80-76,,
2:04.0,C. Payne makes 3-pt shot from 25 ft (assist by D. Valentine),3,83-76,,
1:44.0,,,83-79,3,J. Magette makes 3-pt shot from 23 ft (assist by T. Waller-Prince)
1:38.0,,,83-79,,T. Dorsey enters the game for T. Waller-Prince
1:26.0,D. Valentine makes 3-pt shot from 24 ft (assist by C. Payne),3,86-79,,
1:13.0,,,86-79,,Turnover by M. Plumlee (lost ball; steal by D. Valentine)
1:10.0,Turnover by D. Valentine (bad pass),,86-79,,
0:52.0,,,86-82,3,A. White makes 3-pt shot from 24 ft (assist by J. Magette)
0:52.0,,,86-82,,Shooting foul by A. Blakeney (drawn by A. White)
0:52.0,,,86-83,1,A. White makes free throw 1 of 1
0:41.0,D. Valentine makes 3-pt shot from 25 ft (assist by A. Blakeney),3,89-83,,
0:35.0,Personal foul by B. Portis (drawn by J. Magette),,89-83,,
0:35.0,,,89-84,1,J. Magette makes free throw 1 of 2
0:35.0,,,89-85,1,J. Magette makes free throw 2 of 2
0:28.0,B. Portis misses 2-pt shot from 10 ft,,89-85,,
0:24.0,,,89-85,,Defensive rebound by M. Plumlee
0:08.0,,,89-85,,J. Magette misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by B. Portis,,89-85,,
0:01.0,B. Portis makes 2-pt shot from 1 ft,2,91-85,,
0:00.0,,,91-85,,T. Dorsey misses 3-pt shot from 55 ft
0:00.0,,,91-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,91-88,3,M. Muscala makes 3-pt shot from 24 ft (assist by J. Magette)
11:29.0,B. Portis makes 3-pt shot from 24 ft (assist by D. Valentine),3,94-88,,
11:09.0,,,94-90,2,M. Plumlee makes 2-pt shot from 5 ft (assist by J. Magette)
10:55.0,A. Blakeney misses 2-pt shot from 21 ft,,94-90,,
10:53.0,,,94-90,,Defensive rebound by M. Plumlee
10:41.0,,,94-90,,Turnover by M. Plumlee (bad pass; steal by A. Blakeney)
10:36.0,A. Blakeney makes 2-pt shot from 1 ft,2,96-90,,
10:27.0,,,96-90,,A. White misses 3-pt shot from 25 ft
10:22.0,,,96-90,,Offensive rebound by M. Plumlee
10:22.0,,,96-90,,M. Plumlee misses 2-pt shot from 4 ft
10:18.0,Defensive rebound by N. Vonleh,,96-90,,
10:14.0,N. Vonleh makes 3-pt shot from 24 ft (assist by D. Valentine),3,99-90,,
10:13.0,,,99-90,,Atlanta full timeout
10:13.0,,,99-90,,J. Collins enters the game for A. White
10:13.0,,,99-90,,I. Taylor enters the game for J. Magette
10:13.0,,,99-90,,T. Waller-Prince enters the game for M. Plumlee
10:04.0,Personal foul by B. Portis (drawn by J. Collins),,99-90,,
9:59.0,,,99-90,,T. Waller-Prince misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by D. Valentine,,99-90,,
9:45.0,B. Portis makes 3-pt shot from 25 ft (assist by D. Valentine),3,102-90,,
9:27.0,,,102-92,2,I. Taylor makes 2-pt shot from 8 ft (assist by T. Waller-Prince)
9:08.0,A. Blakeney makes 3-pt shot from 23 ft (assist by B. Portis),3,105-92,,
8:54.0,,,105-95,3,T. Dorsey makes 3-pt shot from 23 ft (assist by I. Taylor)
8:38.0,C. Payne misses 2-pt shot from 11 ft,,105-95,,
8:35.0,,,105-95,,Defensive rebound by J. Collins
8:24.0,,,105-98,3,T. Waller-Prince makes 3-pt shot from 27 ft (assist by I. Taylor)
8:09.0,B. Portis misses 3-pt shot from 25 ft,,105-98,,
8:07.0,,,105-98,,Defensive rebound by Team
8:07.0,,,105-98,,D. Dedmon enters the game for M. Muscala
8:07.0,Z. LaVine enters the game for A. Blakeney,,105-98,,
7:50.0,Def 3 sec tech foul by C. Payne,,105-98,,
7:50.0,,,105-99,1,T. Waller-Prince makes technical free throw
7:39.0,,,105-99,,Turnover by I. Taylor (bad pass; steal by B. Portis)
7:29.0,Z. LaVine makes 3-pt shot from 24 ft (assist by B. Portis),3,108-99,,
7:19.0,Personal foul by Z. LaVine (drawn by T. Waller-Prince),,108-99,,
7:19.0,K. Dunn enters the game for C. Payne,,108-99,,
7:08.0,,,108-99,,J. Collins misses 2-pt shot from 15 ft
7:04.0,,,108-99,,Offensive rebound by D. Dedmon
7:02.0,,,108-99,,Turnover by D. Dedmon (step out of bounds)
7:02.0,,,108-99,,A. White enters the game for T. Dorsey
6:42.0,Z. LaVine misses 2-pt shot from 13 ft,,108-99,,
6:36.0,Offensive rebound by B. Portis,,108-99,,
6:27.0,B. Portis misses 2-pt shot from 15 ft,,108-99,,
6:25.0,,,108-99,,Defensive rebound by J. Collins
6:19.0,,,108-99,,T. Waller-Prince misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by N. Vonleh,,108-99,,
6:08.0,N. Vonleh misses 3-pt shot from 25 ft,,108-99,,
6:04.0,,,108-99,,Defensive rebound by D. Dedmon
6:00.0,L. Markkanen enters the game for N. Vonleh,,108-99,,
5:58.0,,,108-99,,I. Taylor misses 2-pt shot from 19 ft
5:54.0,Defensive rebound by L. Markkanen,,108-99,,
5:46.0,Turnover by D. Valentine (bad pass),,108-99,,
5:34.0,,,108-101,2,I. Taylor makes 2-pt shot from 1 ft
5:12.0,Z. LaVine misses 2-pt shot from 1 ft,,108-101,,
5:07.0,Offensive rebound by B. Portis,,108-101,,
5:07.0,B. Portis makes 2-pt shot at rim,2,110-101,,
4:53.0,,,110-101,,Turnover by J. Collins (lost ball; steal by K. Dunn)
4:43.0,L. Markkanen makes 2-pt shot from 8 ft (assist by Z. LaVine),2,112-101,,
4:42.0,,,112-101,,Atlanta full timeout
4:42.0,,,112-101,,J. Magette enters the game for A. White
4:42.0,,,112-101,,M. Muscala enters the game for J. Collins
4:28.0,,,112-103,2,M. Muscala makes 2-pt shot from 1 ft (assist by T. Waller-Prince)
4:11.0,L. Markkanen makes 2-pt shot from 2 ft (assist by Z. LaVine),2,114-103,,
3:55.0,,,114-105,2,D. Dedmon makes 2-pt shot from 3 ft (assist by T. Waller-Prince)
3:55.0,,,114-105,,Shooting foul by L. Markkanen (drawn by D. Dedmon)
3:55.0,,,114-106,1,D. Dedmon makes free throw 1 of 1
3:39.0,Z. LaVine makes 2-pt shot at rim,2,116-106,,
