time,Indiana,pts.away,score,pts.home,Philadelphia
7:02.0,,,40-36,,Turnover by B. Simmons (bad pass; steal by B. Bogdanovic)
6:51.0,D. Collison misses 2-pt shot from 20 ft,,40-36,,
6:47.0,,,40-36,,Defensive rebound by T. McConnell
6:40.0,,,40-39,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Redick)
6:20.0,D. Sabonis makes 2-pt shot from 11 ft (assist by D. Collison),2,42-39,,
6:12.0,Personal foul by T. Young (drawn by B. Simmons),,42-39,,
6:12.0,,,42-39,,D. Saric enters the game for B. Simmons
5:59.0,,,42-41,2,T. McConnell makes 2-pt shot at rim (assist by D. Saric)
5:40.0,D. Sabonis makes 2-pt shot from 3 ft (assist by V. Oladipo),2,44-41,,
5:31.0,,,44-44,3,J. Redick makes 3-pt shot from 22 ft (assist by T. McConnell)
5:14.0,Shooting foul by A. Johnson (drawn by D. Sabonis),,44-44,,
5:14.0,D. Sabonis misses free throw 1 of 2,,44-44,,
5:14.0,Offensive rebound by Team,,44-44,,
5:14.0,D. Sabonis makes free throw 2 of 2,1,45-44,,
5:03.0,,,45-44,,Shooting foul by B. Bogdanovic (drawn by R. Covington)
5:03.0,,,45-44,,R. Covington misses free throw 1 of 2
5:03.0,,,45-44,,Offensive rebound by Team
5:03.0,C. Joseph enters the game for D. Collison,,45-44,,
5:03.0,,,45-45,1,R. Covington makes free throw 2 of 2
4:50.0,V. Oladipo makes 2-pt shot from 2 ft,2,47-45,,
4:33.0,,,47-48,3,D. Saric makes 3-pt shot from 24 ft (assist by R. Covington)
4:15.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by V. Oladipo),3,50-48,,
4:14.0,,,50-48,,Philadelphia full timeout
4:14.0,,,50-48,,J. Bayless enters the game for A. Johnson
4:14.0,,,50-48,,J. Embiid enters the game for D. Saric
3:56.0,,,50-50,2,J. Redick makes 2-pt shot from 19 ft (assist by J. Bayless)
3:42.0,V. Oladipo makes 2-pt shot from 14 ft (assist by D. Sabonis),2,52-50,,
3:18.0,,,52-50,,Turnover by J. Embiid (bad pass; steal by T. Young)
3:13.0,C. Joseph misses 2-pt shot from 3 ft (block by J. Bayless),,52-50,,
3:11.0,,,52-50,,Defensive rebound by R. Covington
3:09.0,Personal foul by B. Bogdanovic (drawn by T. McConnell),,52-50,,
3:09.0,,,52-51,1,T. McConnell makes free throw 1 of 2
3:09.0,,,52-51,,T. McConnell misses free throw 2 of 2
3:06.0,Defensive rebound by D. Sabonis,,52-51,,
2:56.0,B. Bogdanovic misses 2-pt shot from 17 ft,,52-51,,
2:53.0,,,52-51,,Defensive rebound by T. McConnell
2:44.0,,,52-53,2,J. Embiid makes 2-pt shot from 1 ft (assist by T. McConnell)
2:31.0,T. Young makes 2-pt shot from 7 ft (assist by D. Sabonis),2,54-53,,
2:18.0,,,54-53,,Shooting foul by D. Sabonis (drawn by J. Embiid)
2:18.0,,,54-54,1,J. Embiid makes free throw 1 of 2
2:18.0,,,54-54,,B. Simmons enters the game for T. McConnell
2:18.0,M. Turner enters the game for D. Sabonis,,54-54,,
2:18.0,,,54-54,,J. Embiid misses free throw 2 of 2
2:15.0,Defensive rebound by B. Bogdanovic,,54-54,,
1:58.0,M. Turner makes 3-pt shot from 27 ft (assist by C. Joseph),3,57-54,,
1:45.0,,,57-54,,Offensive foul by J. Embiid (drawn by M. Turner)
1:45.0,,,57-54,,Turnover by J. Embiid (offensive foul)
1:45.0,,,57-54,,A. Johnson enters the game for J. Embiid
1:31.0,V. Oladipo makes 2-pt shot from 2 ft,2,59-54,,
1:13.0,,,59-54,,R. Covington misses 3-pt shot from 27 ft
1:10.0,Defensive rebound by C. Joseph,,59-54,,
1:05.0,B. Bogdanovic misses 3-pt shot from 23 ft,,59-54,,
1:02.0,Offensive rebound by T. Young,,59-54,,
1:00.0,T. Young makes 2-pt shot from 4 ft,2,61-54,,
0:39.0,,,61-54,,J. Redick misses 2-pt shot from 15 ft (block by M. Turner)
0:35.0,Defensive rebound by M. Turner,,61-54,,
0:30.0,V. Oladipo makes 2-pt shot from 16 ft (assist by B. Bogdanovic),2,63-54,,
0:13.0,,,63-56,2,R. Covington makes 2-pt shot from 3 ft (assist by B. Simmons)
0:03.0,,,63-56,,Personal take foul by J. Redick (drawn by V. Oladipo)
0:03.0,,,63-56,,T. Luwawu-Cabarrot enters the game for J. Redick
0:01.0,M. Turner misses 3-pt shot from 35 ft,,63-56,,
0:01.0,Offensive rebound by Team,,63-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,D. Sabonis misses 2-pt shot from 4 ft,,63-56,,
11:45.0,,,63-56,,Defensive rebound by J. Embiid
11:39.0,,,63-56,,Turnover by J. Embiid (bad pass)
11:22.0,T. Young misses 2-pt shot from 8 ft (block by J. Embiid),,63-56,,
11:22.0,Offensive rebound by Team,,63-56,,
11:15.0,V. Oladipo makes 2-pt shot from 19 ft (assist by D. Collison),2,65-56,,
10:59.0,,,65-58,2,J. Embiid makes 2-pt shot from 9 ft
10:59.0,,,65-58,,Shooting foul by T. Young (drawn by J. Embiid)
10:59.0,,,65-59,1,J. Embiid makes free throw 1 of 1
10:45.0,D. Sabonis makes 2-pt shot from 3 ft (assist by T. Young),2,67-59,,
10:32.0,,,67-62,3,J. Redick makes 3-pt shot from 24 ft (assist by J. Embiid)
10:24.0,Offensive foul by D. Sabonis (drawn by J. Embiid),,67-62,,
10:24.0,Turnover by D. Sabonis (offensive foul),,67-62,,
10:13.0,,,67-64,2,D. Saric makes 2-pt shot from 1 ft (assist by R. Covington)
9:53.0,D. Collison misses 2-pt shot from 18 ft,,67-64,,
9:50.0,,,67-64,,Defensive rebound by J. Embiid
9:38.0,,,67-67,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Redick)
9:27.0,T. Young misses 3-pt shot from 26 ft,,67-67,,
9:24.0,,,67-67,,Defensive rebound by R. Covington
9:17.0,Personal foul by D. Sabonis (drawn by J. Embiid),,67-67,,
9:17.0,M. Turner enters the game for D. Sabonis,,67-67,,
9:12.0,,,67-69,2,B. Simmons makes 2-pt shot from 11 ft
8:57.0,Shooting foul by J. Embiid (drawn by B. Bogdanovic),,67-69,,
8:57.0,B. Bogdanovic makes free throw 1 of 2,1,68-69,,
8:57.0,,,68-69,,R. Holmes enters the game for J. Embiid
8:57.0,B. Bogdanovic makes free throw 2 of 2,1,69-69,,
8:42.0,,,69-69,,R. Covington misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by M. Turner,,69-69,,
8:28.0,M. Turner misses 3-pt shot from 26 ft,,69-69,,
8:25.0,,,69-69,,Defensive rebound by D. Saric
8:15.0,,,69-71,2,J. Redick makes 2-pt shot from 19 ft
8:07.0,V. Oladipo makes 2-pt shot from 14 ft,2,71-71,,
7:54.0,,,71-71,,J. Redick misses 2-pt shot from 15 ft
7:54.0,,,71-71,,Offensive rebound by R. Holmes
7:49.0,,,71-73,2,R. Holmes makes 2-pt shot at rim
7:28.0,D. Collison misses 3-pt shot from 26 ft,,71-73,,
7:24.0,Offensive rebound by V. Oladipo,,71-73,,
7:22.0,V. Oladipo makes 3-pt shot from 23 ft,3,74-73,,
7:22.0,,,74-73,,Philadelphia full timeout
7:22.0,,,74-73,,T. McConnell enters the game for D. Saric
7:14.0,,,74-73,,Offensive charge foul by B. Simmons (drawn by T. Young)
7:14.0,,,74-73,,Turnover by B. Simmons (offensive foul)
6:54.0,M. Turner misses 2-pt shot from 11 ft,,74-73,,
6:51.0,,,74-73,,Defensive rebound by R. Covington
6:45.0,,,74-76,3,J. Redick makes 3-pt shot from 25 ft
6:32.0,T. Young misses 2-pt shot from 10 ft,,74-76,,
6:30.0,,,74-76,,Defensive rebound by B. Simmons
6:27.0,,,74-79,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Simmons)
6:09.0,M. Turner misses 2-pt shot from 15 ft,,74-79,,
6:07.0,,,74-79,,Defensive rebound by R. Covington
6:05.0,,,74-79,,Offensive charge foul by B. Simmons (drawn by T. Young)
6:05.0,,,74-79,,Turnover by B. Simmons (offensive foul)
5:47.0,V. Oladipo misses 2-pt shot from 8 ft,,74-79,,
5:41.0,Offensive rebound by M. Turner,,74-79,,
5:39.0,M. Turner misses 2-pt shot from 1 ft,,74-79,,
5:37.0,,,74-79,,Defensive rebound by B. Simmons
5:31.0,,,74-81,2,B. Simmons makes 2-pt shot from 5 ft (assist by J. Redick)
5:31.0,Indiana full timeout,,74-81,,
5:31.0,,,74-81,,J. Bayless enters the game for B. Simmons
5:09.0,Shooting foul by R. Covington (drawn by M. Turner),,74-81,,
5:09.0,M. Turner misses free throw 1 of 2,,74-81,,
5:09.0,Offensive rebound by Team,,74-81,,
5:09.0,M. Turner makes free throw 2 of 2,1,75-81,,
4:54.0,,,75-84,3,R. Covington makes 3-pt shot from 26 ft (assist by J. Redick)
4:34.0,T. Young makes 3-pt shot from 26 ft (assist by V. Oladipo),3,78-84,,
4:22.0,,,78-84,,R. Holmes misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by T. Young,,78-84,,
4:14.0,,,78-84,,B. Simmons enters the game for J. Redick
4:14.0,,,78-84,,T. Luwawu-Cabarrot enters the game for R. Covington
4:14.0,L. Stephenson enters the game for B. Bogdanovic,,78-84,,
3:59.0,Shooting foul by R. Holmes (drawn by V. Oladipo),,78-84,,
3:59.0,V. Oladipo makes free throw 1 of 2,1,79-84,,
3:59.0,V. Oladipo misses free throw 2 of 2,,79-84,,
3:56.0,,,79-84,,Defensive rebound by B. Simmons
3:52.0,,,79-84,,Shooting foul by M. Turner (drawn by B. Simmons)
3:52.0,,,79-85,1,B. Simmons makes free throw 1 of 2
3:52.0,,,79-86,1,B. Simmons makes free throw 2 of 2
3:37.0,D. Collison misses 2-pt shot from 8 ft,,79-86,,
3:34.0,Offensive rebound by T. Young,,79-86,,
3:32.0,V. Oladipo misses 3-pt shot from 27 ft,,79-86,,
3:29.0,,,79-86,,Defensive rebound by B. Simmons
3:25.0,,,79-86,,Turnover by T. McConnell (traveling)
