time,Cleveland,pts.away,score,pts.home,Brooklyn
7:52.0,Offensive foul by T. Thompson (drawn by S. Dinwiddie),,9-2,,
7:52.0,Turnover by T. Thompson (offensive foul),,9-2,,
7:34.0,,,9-2,,C. LeVert misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by L. James,,9-2,,
7:25.0,L. James makes 2-pt shot from 19 ft,2,11-2,,
7:04.0,,,11-4,2,S. Dinwiddie makes 2-pt shot from 5 ft
6:54.0,L. James makes 2-pt shot from 15 ft,2,13-4,,
6:44.0,,,13-4,,S. Dinwiddie misses 3-pt shot from 26 ft
6:40.0,Defensive rebound by T. Thompson,,13-4,,
6:33.0,L. James misses 2-pt shot from 17 ft,,13-4,,
6:29.0,,,13-4,,A. Crabbe enters the game for T. Mozgov
6:29.0,,,13-4,,T. Booker enters the game for C. LeVert
6:28.0,Defensive rebound by K. Love,,13-4,,
6:26.0,Offensive foul by L. James (drawn by D. Carroll),,13-4,,
6:26.0,Turnover by L. James (offensive foul),,13-4,,
6:16.0,,,13-7,2,D. Carroll makes 3-pt shot from 27 ft (assist by T. Booker)
5:59.0,Turnover by J. Crowder (bad pass; steal by D. Carroll),,13-7,,
5:53.0,,,13-10,3,D. Carroll makes 3-pt shot from 25 ft
5:18.0,,,13-12,2,A. Crabbe makes 2-pt shot from 18 ft (assist by T. Booker)
5:00.0,L. James misses 2-pt shot from 10 ft,,13-12,,
4:58.0,,,13-12,,Defensive rebound by D. Carroll
4:54.0,,,13-12,,A. Crabbe misses 3-pt shot from 26 ft
4:51.0,Defensive rebound by K. Love,,13-12,,
4:47.0,L. James misses 2-pt shot from 6 ft (block by R. Hollis-Jefferson),,13-12,,
4:47.0,Offensive rebound by Team,,13-12,,
4:47.0,,,13-12,,Q. Acy enters the game for R. Hollis-Jefferson
4:44.0,J. Crowder makes 2-pt shot from 21 ft (assist by L. James),2,15-12,,
4:23.0,,,15-14,2,D. Carroll makes 2-pt shot from 5 ft
4:07.0,J. Smith misses 3-pt shot from 23 ft,,15-14,,
4:04.0,,,15-14,,Defensive rebound by T. Booker
3:48.0,,,15-16,2,T. Booker makes 2-pt shot from 7 ft
3:47.0,Cleveland full timeout,,15-16,,
3:47.0,J. Green enters the game for K. Love,,15-16,,
3:47.0,J. Calderon enters the game for J. Smith,,15-16,,
3:47.0,I. Shumpert enters the game for L. James,,15-16,,
3:47.0,K. Korver enters the game for J. Crowder,,15-16,,
3:30.0,J. Calderon makes 2-pt shot from 5 ft,2,17-16,,
3:16.0,,,17-16,,A. Crabbe misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by J. Green,,17-16,,
3:07.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Green),3,20-16,,
2:55.0,,,20-16,,D. Carroll misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by J. Green,,20-16,,
2:47.0,J. Green misses 2-pt shot from 6 ft,,20-16,,
2:46.0,,,20-16,,Defensive rebound by Team
2:46.0,,,20-16,,C. LeVert enters the game for S. Dinwiddie
2:46.0,,,20-16,,J. Harris enters the game for D. Carroll
2:39.0,,,20-16,,Shooting foul by K. Korver (drawn by A. Crabbe)
2:39.0,,,20-17,1,A. Crabbe makes free throw 1 of 3
2:39.0,,,20-18,1,A. Crabbe makes free throw 2 of 3
2:39.0,,,20-19,1,A. Crabbe makes free throw 3 of 3
2:19.0,I. Shumpert makes 2-pt shot from 18 ft,2,22-19,,
2:05.0,,,22-21,2,C. LeVert makes 2-pt shot from 2 ft
1:43.0,J. Calderon misses 2-pt shot from 20 ft,,22-21,,
1:37.0,Offensive rebound by T. Thompson,,22-21,,
1:36.0,I. Shumpert misses 3-pt shot from 26 ft,,22-21,,
1:32.0,,,22-21,,Defensive rebound by T. Booker
1:29.0,,,22-24,3,J. Harris makes 3-pt shot from 27 ft (assist by T. Booker)
1:19.0,K. Korver misses 3-pt shot from 26 ft,,22-24,,
1:17.0,,,22-24,,Defensive rebound by Q. Acy
1:07.0,,,22-24,,A. Crabbe misses 3-pt shot from 28 ft
1:07.0,Defensive rebound by J. Green,,22-24,,
1:00.0,,,22-24,,Personal foul by Q. Acy (drawn by J. Green)
0:53.0,Shooting foul by C. LeVert (drawn by T. Thompson),,22-24,,
0:53.0,T. Thompson misses free throw 1 of 2,,22-24,,
0:53.0,Offensive rebound by Team,,22-24,,
0:53.0,T. Thompson makes free throw 2 of 2,1,23-24,,
0:43.0,,,23-24,,Q. Acy misses 3-pt shot from 26 ft
0:40.0,Defensive rebound by I. Shumpert,,23-24,,
0:34.0,J. Green misses 3-pt shot from 28 ft,,23-24,,
0:30.0,,,23-24,,Defensive rebound by A. Crabbe
0:10.0,,,23-26,2,C. LeVert makes 2-pt shot from 3 ft
0:03.0,Turnover by J. Calderon (bad pass),,23-26,,
0:00.0,,,23-26,,J. Harris misses 3-pt shot from 32 ft (block by J. Green)
0:00.0,,,23-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,23-26,,J. Harris misses 2-pt shot from 5 ft (block by L. James)
11:46.0,,,23-26,,Offensive rebound by Team
11:38.0,,,23-26,,Turnover by T. Booker (turnover)
11:26.0,J. Green makes 3-pt shot from 23 ft (assist by J. Calderon),3,26-26,,
11:26.0,Shooting foul by T. Mozgov (drawn by J. Green),,26-26,,
11:26.0,,,26-26,,R. Hollis-Jefferson enters the game for T. Mozgov
11:26.0,J. Green makes free throw 1 of 1,1,27-26,,
11:17.0,,,27-26,,S. Kilpatrick misses 2-pt shot from 20 ft
11:14.0,,,27-26,,Offensive rebound by T. Booker
11:13.0,,,27-26,,J. Harris misses 3-pt shot from 22 ft
11:09.0,Defensive rebound by I. Shumpert,,27-26,,
11:03.0,Turnover by K. Korver (out of bounds lost ball),,27-26,,
10:48.0,,,27-26,,C. LeVert misses 3-pt shot from 24 ft
10:47.0,,,27-26,,Offensive rebound by T. Booker
10:47.0,,,27-26,,Shooting foul by K. Korver (drawn by T. Booker)
10:47.0,,,27-26,,T. Booker misses free throw 1 of 2
10:47.0,,,27-26,,Offensive rebound by Team
10:47.0,,,27-26,,T. Booker misses free throw 2 of 2
10:44.0,Defensive rebound by L. James,,27-26,,
10:31.0,K. Korver misses 3-pt shot from 26 ft,,27-26,,
10:27.0,,,27-26,,Defensive rebound by T. Booker
10:19.0,,,27-26,,J. Harris misses 3-pt shot from 22 ft
10:16.0,Defensive rebound by I. Shumpert,,27-26,,
10:00.0,J. Green misses 2-pt shot from 17 ft,,27-26,,
9:57.0,,,27-26,,Defensive rebound by T. Booker
9:52.0,,,27-26,,R. Hollis-Jefferson misses 2-pt shot from 6 ft (block by J. Green)
9:49.0,,,27-26,,Offensive rebound by T. Booker
9:48.0,,,27-28,2,T. Booker makes 2-pt shot from 1 ft
9:45.0,,,27-28,,Personal foul by C. LeVert (drawn by L. James)
9:36.0,J. Green makes 3-pt shot from 25 ft (assist by L. James),3,30-28,,
9:22.0,,,30-28,,S. Kilpatrick misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by J. Green,,30-28,,
9:13.0,Turnover by L. James (lost ball; steal by S. Kilpatrick),,30-28,,
9:09.0,,,30-28,,S. Kilpatrick misses 2-pt shot from 4 ft (block by L. James)
9:08.0,,,30-28,,Offensive rebound by Team
9:08.0,J. Smith enters the game for J. Calderon,,30-28,,
9:00.0,,,30-31,3,R. Hollis-Jefferson makes 3-pt shot from 25 ft (assist by C. LeVert)
8:38.0,K. Korver makes 2-pt shot from 6 ft (assist by L. James),2,32-31,,
8:20.0,,,32-31,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
8:19.0,,,32-31,,Offensive rebound by Team
8:19.0,,,32-31,,D. Carroll enters the game for T. Booker
8:09.0,,,32-33,2,D. Carroll makes 2-pt shot from 10 ft
7:48.0,I. Shumpert makes 2-pt shot from 7 ft,2,34-33,,
7:37.0,,,34-33,,C. LeVert misses 3-pt shot from 23 ft
7:37.0,,,34-33,,Offensive rebound by D. Carroll
7:30.0,,,34-35,2,S. Kilpatrick makes 2-pt shot from 17 ft (assist by D. Carroll)
7:17.0,J. Green makes 2-pt shot from 2 ft (assist by L. James),2,36-35,,
7:01.0,,,36-37,2,J. Harris makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson)
6:43.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,39-37,,
6:26.0,,,39-37,,S. Kilpatrick misses 3-pt shot from 26 ft
6:24.0,Defensive rebound by K. Korver,,39-37,,
6:20.0,Shooting foul by R. Hollis-Jefferson (drawn by L. James),,39-37,,
6:20.0,,,39-37,,Brooklyn full timeout
6:20.0,,,39-37,,J. Allen enters the game for S. Kilpatrick
6:20.0,,,39-37,,S. Dinwiddie enters the game for J. Harris
6:20.0,K. Love enters the game for J. Green,,39-37,,
6:20.0,L. James misses free throw 1 of 2,,39-37,,
6:20.0,Offensive rebound by Team,,39-37,,
6:20.0,L. James makes free throw 2 of 2,1,40-37,,
6:05.0,,,40-37,,R. Hollis-Jefferson misses 2-pt shot from 15 ft
6:03.0,Defensive rebound by J. Smith,,40-37,,
5:55.0,K. Love misses 2-pt shot from 19 ft,,40-37,,
5:51.0,,,40-37,,Defensive rebound by R. Hollis-Jefferson
5:47.0,,,40-37,,Turnover by R. Hollis-Jefferson (out of bounds lost ball)
5:34.0,K. Korver misses 3-pt shot from 25 ft,,40-37,,
5:33.0,,,40-37,,Defensive rebound by Team
5:33.0,Loose ball foul by K. Love (drawn by S. Dinwiddie),,40-37,,
5:33.0,J. Crowder enters the game for I. Shumpert,,40-37,,
5:15.0,,,40-37,,Shooting foul by J. Smith (drawn by R. Hollis-Jefferson)
5:15.0,,,40-38,1,R. Hollis-Jefferson makes free throw 1 of 2
5:15.0,T. Thompson enters the game for K. Korver,,40-38,,
5:15.0,,,40-39,1,R. Hollis-Jefferson makes free throw 2 of 2
5:06.0,Shooting foul by D. Carroll (drawn by L. James),,40-39,,
5:06.0,L. James makes free throw 1 of 2,1,41-39,,
5:06.0,L. James misses free throw 2 of 2,,41-39,,
5:01.0,,,41-39,,Defensive rebound by J. Allen
4:40.0,,,41-41,2,C. LeVert makes 2-pt shot from 3 ft (assist by J. Allen)
4:25.0,J. Smith misses 2-pt shot from 7 ft,,41-41,,
4:24.0,,,41-41,,Defensive rebound by S. Dinwiddie
4:21.0,,,41-43,2,D. Carroll makes 2-pt shot at rim (assist by C. LeVert)
4:07.0,Turnover by J. Smith (bad pass; steal by S. Dinwiddie),,41-43,,
4:02.0,,,41-43,,D. Carroll misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by K. Love,,41-43,,
3:55.0,,,41-43,,A. Crabbe enters the game for C. LeVert
3:43.0,J. Smith misses 3-pt shot from 26 ft,,41-43,,
3:40.0,,,41-43,,Defensive rebound by S. Dinwiddie
3:34.0,,,41-43,,A. Crabbe misses 3-pt shot from 30 ft
3:30.0,Defensive rebound by J. Crowder,,41-43,,
3:25.0,L. James makes 2-pt shot from 2 ft (assist by J. Crowder),2,43-43,,
3:06.0,,,43-43,,D. Carroll misses 2-pt shot from 7 ft
3:00.0,Defensive rebound by K. Love,,43-43,,
2:53.0,Turnover by L. James (bad pass; steal by J. Allen),,43-43,,
2:52.0,,,43-45,2,D. Carroll makes 2-pt shot from 2 ft (assist by A. Crabbe)
2:52.0,Cleveland full timeout,,43-45,,
2:52.0,K. Korver enters the game for J. Smith,,43-45,,
2:41.0,K. Love makes 2-pt shot from 2 ft (assist by L. James),2,45-45,,
2:27.0,,,45-48,3,S. Dinwiddie makes 3-pt shot from 26 ft
2:11.0,,,45-48,,Personal foul by A. Crabbe (drawn by K. Korver)
2:11.0,K. Korver misses free throw 1 of 2,,45-48,,
2:11.0,Offensive rebound by Team,,45-48,,
2:11.0,K. Korver makes free throw 2 of 2,1,46-48,,
2:03.0,,,46-48,,R. Hollis-Jefferson misses 2-pt shot from 5 ft
2:01.0,Defensive rebound by K. Love,,46-48,,
1:52.0,L. James misses 2-pt shot from 3 ft,,46-48,,
1:49.0,Offensive rebound by T. Thompson,,46-48,,
1:48.0,T. Thompson makes 2-pt shot from 1 ft,2,48-48,,
1:35.0,,,48-50,2,A. Crabbe makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
1:27.0,Shooting foul by D. Carroll (drawn by K. Love),,48-50,,
1:27.0,K. Love makes free throw 1 of 2,1,49-50,,
1:27.0,K. Love makes free throw 2 of 2,1,50-50,,
1:14.0,,,50-50,,Shooting foul by T. Thompson (drawn by R. Hollis-Jefferson)
1:14.0,,,50-51,1,R. Hollis-Jefferson makes free throw 1 of 2
1:14.0,J. Smith enters the game for T. Thompson,,50-51,,
1:14.0,,,50-52,1,R. Hollis-Jefferson makes free throw 2 of 2
1:01.0,Turnover by K. Love (lost ball; steal by D. Carroll),,50-52,,
0:50.0,,,50-52,,D. Carroll misses 2-pt shot from 21 ft
0:48.0,Defensive rebound by Team,,50-52,,
0:35.0,L. James makes 2-pt shot from 3 ft,2,52-52,,
0:29.0,,,52-55,3,S. Dinwiddie makes 3-pt shot from 25 ft
0:11.0,Offensive foul by K. Korver (drawn by S. Dinwiddie),,52-55,,
0:11.0,Turnover by K. Korver (offensive foul),,52-55,,
0:11.0,I. Shumpert enters the game for K. Korver,,52-55,,
0:11.0,,,52-55,,Q. Acy enters the game for J. Allen
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-57,2,R. Hollis-Jefferson makes 2-pt shot from 14 ft
11:28.0,Turnover by L. James (bad pass),,52-57,,
11:16.0,,,52-57,,Turnover by D. Carroll (bad pass; steal by J. Smith)
11:11.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Smith),3,55-57,,
10:49.0,,,55-59,2,R. Hollis-Jefferson makes 2-pt shot from 9 ft
10:35.0,Turnover by K. Love (bad pass; steal by R. Hollis-Jefferson),,55-59,,
10:34.0,,,55-59,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Thompson)
10:21.0,,,55-59,,Personal foul by S. Dinwiddie (drawn by J. Smith)
10:13.0,J. Smith misses 2-pt shot from 5 ft,,55-59,,
10:12.0,Offensive rebound by Team,,55-59,,
9:56.0,J. Smith misses 3-pt shot from 24 ft,,55-59,,
9:53.0,Offensive rebound by L. James,,55-59,,
9:52.0,L. James misses 2-pt shot from 4 ft,,55-59,,
9:52.0,,,55-59,,Defensive rebound by D. Carroll
9:44.0,,,55-59,,S. Dinwiddie misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by L. James,,55-59,,
9:35.0,J. Smith misses 3-pt shot from 23 ft,,55-59,,
9:31.0,,,55-59,,Defensive rebound by S. Dinwiddie
9:28.0,,,55-59,,D. Carroll misses 3-pt shot from 27 ft
9:26.0,,,55-59,,Offensive rebound by T. Mozgov
9:24.0,,,55-59,,C. LeVert misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by T. Thompson,,55-59,,
9:12.0,Turnover by K. Love (bad pass; steal by D. Carroll),,55-59,,
9:06.0,,,55-59,,R. Hollis-Jefferson misses 2-pt shot from 9 ft
9:02.0,,,55-59,,Offensive rebound by R. Hollis-Jefferson
9:00.0,,,55-59,,Shooting foul by J. Smith (drawn by R. Hollis-Jefferson)
9:00.0,,,55-60,1,R. Hollis-Jefferson makes free throw 1 of 2
9:00.0,,,55-61,1,R. Hollis-Jefferson makes free throw 2 of 2
8:46.0,Shooting foul by C. LeVert (drawn by J. Crowder),,55-61,,
8:46.0,J. Crowder misses free throw 1 of 2,,55-61,,
8:46.0,Offensive rebound by Team,,55-61,,
8:46.0,J. Crowder misses free throw 2 of 2,,55-61,,
8:44.0,,,55-61,,Defensive rebound by R. Hollis-Jefferson
8:29.0,,,55-61,,D. Carroll misses 2-pt shot from 6 ft
8:27.0,,,55-61,,Offensive rebound by R. Hollis-Jefferson
8:13.0,,,55-61,,D. Carroll misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by T. Thompson,,55-61,,
8:09.0,L. James makes 2-pt shot from 4 ft,2,57-61,,
8:09.0,,,57-61,,Violation by R. Hollis-Jefferson (def goaltending)
7:52.0,,,57-64,3,R. Hollis-Jefferson makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
7:33.0,K. Love misses 2-pt shot from 7 ft (block by R. Hollis-Jefferson),,57-64,,
7:31.0,Offensive rebound by K. Love,,57-64,,
7:28.0,K. Love misses 3-pt shot from 24 ft,,57-64,,
7:28.0,,,57-64,,Defensive rebound by R. Hollis-Jefferson
7:22.0,,,57-64,,D. Carroll misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by T. Thompson,,57-64,,
7:13.0,,,57-64,,A. Crabbe enters the game for C. LeVert
7:03.0,,,57-64,,Personal foul by D. Carroll (drawn by K. Love)
6:56.0,L. James makes 3-pt shot from 26 ft,3,60-64,,
6:33.0,,,60-67,3,A. Crabbe makes 3-pt shot from 28 ft (assist by S. Dinwiddie)
6:10.0,J. Smith makes 2-pt shot from 20 ft,2,62-67,,
6:10.0,,,62-67,,Brooklyn full timeout
6:10.0,,,62-67,,Q. Acy enters the game for R. Hollis-Jefferson
6:10.0,J. Calderon enters the game for J. Smith,,62-67,,
5:58.0,,,62-67,,A. Crabbe misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by T. Thompson,,62-67,,
5:49.0,Turnover by K. Love (out of bounds lost ball),,62-67,,
5:49.0,J. Green enters the game for T. Thompson,,62-67,,
5:38.0,,,62-67,,Shooting foul by K. Love (drawn by S. Dinwiddie)
5:38.0,,,62-68,1,S. Dinwiddie makes free throw 1 of 2
5:38.0,,,62-68,,T. Booker enters the game for T. Mozgov
5:38.0,K. Korver enters the game for K. Love,,62-68,,
5:38.0,,,62-69,1,S. Dinwiddie makes free throw 2 of 2
5:37.0,,,62-69,,S. Dinwiddie misses 2-pt shot from 11 ft
5:36.0,,,62-69,,Offensive rebound by S. Dinwiddie
5:21.0,J. Green makes 2-pt shot from 8 ft,2,64-69,,
4:53.0,,,64-69,,T. Booker misses 2-pt shot from 10 ft
4:51.0,Defensive rebound by J. Calderon,,64-69,,
4:47.0,,,64-69,,J. Harris enters the game for D. Carroll
4:47.0,C. Frye enters the game for J. Crowder,,64-69,,
4:40.0,C. Frye misses 3-pt shot from 25 ft,,64-69,,
4:37.0,,,64-69,,Defensive rebound by Q. Acy
4:22.0,,,64-72,3,A. Crabbe makes 3-pt shot from 24 ft (assist by T. Booker)
3:57.0,J. Green misses 2-pt shot from 19 ft,,64-72,,
3:55.0,,,64-72,,Defensive rebound by Q. Acy
3:48.0,,,64-75,3,A. Crabbe makes 3-pt shot from 27 ft
3:29.0,,,64-75,,Away from play foul by S. Dinwiddie (drawn by J. Green)
3:29.0,,,64-75,,C. LeVert enters the game for S. Dinwiddie
3:20.0,K. Korver makes 2-pt shot from 5 ft (assist by L. James),2,66-75,,
3:05.0,,,66-75,,A. Crabbe misses 3-pt shot from 26 ft
3:02.0,,,66-75,,Offensive rebound by Q. Acy
3:02.0,,,66-75,,Turnover by Q. Acy (bad pass)
2:48.0,K. Korver makes 2-pt shot from 2 ft (assist by C. Frye),2,68-75,,
2:30.0,,,68-75,,Turnover by C. LeVert (bad pass; steal by K. Korver)
2:25.0,L. James misses 2-pt shot from 6 ft,,68-75,,
2:24.0,Offensive rebound by Team,,68-75,,
2:24.0,Cleveland full timeout,,68-75,,
2:14.0,Turnover by L. James (bad pass),,68-75,,
1:55.0,,,68-78,3,J. Harris makes 3-pt shot from 26 ft (assist by A. Crabbe)
1:39.0,L. James misses 3-pt shot from 26 ft,,68-78,,
1:39.0,,,68-78,,Defensive rebound by Team
1:39.0,I. Shumpert enters the game for L. James,,68-78,,
1:29.0,,,68-80,2,C. LeVert makes 2-pt shot from 20 ft
1:04.0,Shooting foul by T. Booker (drawn by J. Green),,68-80,,
1:04.0,J. Green makes free throw 1 of 3,1,69-80,,
1:04.0,J. Green makes free throw 2 of 3,1,70-80,,
1:04.0,J. Green makes free throw 3 of 3,1,71-80,,
0:51.0,,,71-82,2,T. Booker makes 2-pt shot from 3 ft (assist by A. Crabbe)
0:40.0,Turnover by J. Calderon (lost ball; steal by C. LeVert),,71-82,,
0:38.0,,,71-84,2,C. LeVert makes 2-pt shot from 2 ft
0:20.0,C. Frye makes 2-pt shot from 9 ft,2,73-84,,
0:01.0,,,73-84,,Turnover by C. LeVert (bad pass)
0:00.0,J. Green misses 3-pt shot from 59 ft,,73-84,,
0:00.0,Offensive rebound by Team,,73-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,K. Korver misses 3-pt shot from 25 ft,,73-84,,
11:47.0,,,73-84,,Defensive rebound by S. Kilpatrick
11:39.0,,,73-87,3,Q. Acy makes 3-pt shot from 27 ft (assist by S. Kilpatrick)
11:10.0,J. Calderon makes 3-pt shot from 30 ft,3,76-87,,
10:48.0,,,76-87,,Turnover by C. LeVert (traveling)
10:48.0,L. James enters the game for J. Calderon,,76-87,,
10:40.0,K. Love misses 3-pt shot from 24 ft,,76-87,,
10:38.0,Offensive rebound by K. Love,,76-87,,
10:38.0,,,76-87,,Loose ball foul by J. Harris (drawn by K. Love)
10:29.0,K. Korver makes 3-pt shot from 23 ft (assist by L. James),3,79-87,,
10:14.0,,,79-87,,J. Allen misses 2-pt shot from 5 ft (block by L. James)
10:11.0,Defensive rebound by K. Love,,79-87,,
10:06.0,,,79-87,,Personal foul by C. LeVert (drawn by L. James)
10:06.0,,,79-87,,R. Hollis-Jefferson enters the game for Q. Acy
10:03.0,,,79-87,,Away from play foul by J. Harris (drawn by K. Korver)
9:56.0,K. Korver misses 3-pt shot from 25 ft,,79-87,,
9:53.0,,,79-87,,Defensive rebound by R. Hollis-Jefferson
9:46.0,,,79-87,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
9:44.0,Defensive rebound by L. James,,79-87,,
9:39.0,L. James makes 2-pt shot from 3 ft,2,81-87,,
9:30.0,,,81-90,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
9:02.0,I. Shumpert misses 3-pt shot from 26 ft,,81-90,,
9:00.0,,,81-90,,Defensive rebound by J. Allen
8:49.0,,,81-92,2,J. Allen makes 2-pt shot from 8 ft (assist by C. LeVert)
8:26.0,J. Green makes 2-pt shot from 2 ft (assist by L. James),2,83-92,,
8:10.0,,,83-92,,C. LeVert misses 2-pt shot from 8 ft
8:07.0,Defensive rebound by K. Korver,,83-92,,
7:56.0,I. Shumpert makes 2-pt shot from 3 ft (assist by L. James),2,85-92,,
7:41.0,,,85-92,,S. Kilpatrick misses 3-pt shot from 26 ft
7:40.0,Defensive rebound by Team,,85-92,,
7:40.0,,,85-92,,S. Dinwiddie enters the game for S. Kilpatrick
7:25.0,Turnover by L. James (bad pass; steal by J. Allen),,85-92,,
7:21.0,,,85-92,,J. Harris misses 3-pt shot from 22 ft
7:19.0,Defensive rebound by L. James,,85-92,,
7:13.0,L. James misses 2-pt shot from 7 ft (block by R. Hollis-Jefferson),,85-92,,
7:13.0,Offensive rebound by Team,,85-92,,
7:12.0,,,85-92,,D. Carroll enters the game for J. Harris
7:02.0,K. Korver misses 3-pt shot from 26 ft,,85-92,,
6:59.0,,,85-92,,Defensive rebound by D. Carroll
6:44.0,,,85-92,,J. Allen misses 2-pt shot from 5 ft (block by L. James)
6:43.0,Defensive rebound by J. Green,,85-92,,
6:43.0,,,85-92,,Brooklyn full timeout
6:43.0,,,85-92,,A. Crabbe enters the game for C. LeVert
6:30.0,L. James makes 2-pt shot from 1 ft (assist by J. Green),2,87-92,,
6:19.0,Away from play foul by K. Korver (drawn by A. Crabbe),,87-92,,
6:19.0,J. Smith enters the game for I. Shumpert,,87-92,,
6:13.0,,,87-92,,S. Dinwiddie misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by L. James,,87-92,,
6:03.0,L. James makes 2-pt shot from 4 ft,2,89-92,,
5:53.0,,,89-92,,Turnover by R. Hollis-Jefferson (lost ball; steal by J. Green)
5:51.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Green),,89-92,,
5:51.0,J. Green makes free throw 1 of 2,1,90-92,,
5:51.0,J. Green makes free throw 2 of 2,1,91-92,,
5:39.0,,,91-92,,Brooklyn full timeout
5:33.0,,,91-92,,Turnover by S. Dinwiddie (traveling)
5:12.0,K. Love makes 3-pt shot from 27 ft (assist by J. Green),3,94-92,,
4:54.0,,,94-94,2,S. Dinwiddie makes 2-pt shot from 8 ft
4:31.0,L. James makes 2-pt shot from 3 ft,2,96-94,,
4:22.0,Personal foul by J. Smith (drawn by R. Hollis-Jefferson),,96-94,,
4:22.0,,,96-94,,T. Booker enters the game for J. Allen
4:12.0,,,96-94,,A. Crabbe misses 2-pt shot from 22 ft
4:10.0,Defensive rebound by L. James,,96-94,,
4:04.0,K. Love misses 3-pt shot from 26 ft,,96-94,,
4:02.0,,,96-94,,Defensive rebound by D. Carroll
