time,LA Lakers,pts.away,score,pts.home,Charlotte
5:15.0,Personal foul by L. Nance (drawn by D. Bacon),,18-19,,
5:09.0,,,18-21,2,D. Howard makes 2-pt shot from 3 ft (assist by T. Graham)
4:59.0,,,18-21,,Personal foul by M. Kidd-Gilchrist (drawn by B. Ingram)
4:59.0,,,18-21,,M. Carter-Williams enters the game for M. Kidd-Gilchrist
4:59.0,,,18-21,,M. Monk enters the game for K. Walker
4:48.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,18-21,,
4:45.0,,,18-21,,Defensive rebound by D. Howard
4:37.0,,,18-23,2,D. Howard makes 2-pt shot at rim (assist by M. Monk)
4:31.0,L. Nance makes 2-pt shot at rim (assist by L. Ball),2,20-23,,
4:11.0,,,20-23,,T. Graham misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by L. Ball,,20-23,,
4:05.0,Offensive foul by L. Nance (drawn by M. Carter-Williams),,20-23,,
4:05.0,Turnover by L. Nance (offensive foul),,20-23,,
4:05.0,K. Kuzma enters the game for L. Nance,,20-23,,
4:05.0,J. Randle enters the game for B. Lopez,,20-23,,
3:41.0,,,20-23,,D. Howard misses 2-pt shot from 7 ft
3:40.0,,,20-23,,Offensive rebound by Team
3:40.0,,,20-23,,J. O'Bryant enters the game for D. Howard
3:40.0,J. Clarkson enters the game for K. Caldwell-Pope,,20-23,,
3:36.0,,,20-23,,M. Monk misses 2-pt shot from 7 ft
3:34.0,Defensive rebound by J. Randle,,20-23,,
3:27.0,K. Kuzma makes 2-pt shot from 1 ft,2,22-23,,
3:10.0,,,22-23,,T. Graham misses 3-pt shot from 23 ft
3:08.0,,,22-23,,Offensive rebound by J. O'Bryant
3:06.0,,,22-23,,J. O'Bryant misses 2-pt shot from 2 ft (block by L. Ball)
3:06.0,,,22-23,,Offensive rebound by T. Graham
3:02.0,,,22-25,2,J. O'Bryant makes 2-pt shot from 4 ft (assist by T. Graham)
3:02.0,LA Lakers full timeout,,22-25,,
2:43.0,J. Randle misses 2-pt shot from 6 ft (block by J. O'Bryant),,22-25,,
2:42.0,Offensive rebound by Team,,22-25,,
2:39.0,Turnover by B. Ingram (bad pass; steal by M. Monk),,22-25,,
2:34.0,,,22-27,2,T. Graham makes 2-pt shot from 2 ft (assist by M. Monk)
2:19.0,Offensive charge foul by L. Ball (drawn by J. O'Bryant),,22-27,,
2:19.0,Turnover by L. Ball (offensive foul),,22-27,,
2:19.0,T. Ennis enters the game for L. Ball,,22-27,,
2:09.0,,,22-29,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
1:54.0,B. Ingram makes 2-pt shot at rim,2,24-29,,
1:33.0,,,24-29,,J. O'Bryant misses 2-pt shot from 3 ft
1:29.0,Defensive rebound by J. Clarkson,,24-29,,
1:26.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,26-29,,
1:09.0,,,26-29,,J. O'Bryant misses 3-pt shot from 25 ft
1:06.0,Defensive rebound by J. Clarkson,,26-29,,
1:02.0,T. Ennis misses 3-pt shot from 24 ft,,26-29,,
0:59.0,,,26-29,,Defensive rebound by T. Graham
0:48.0,,,26-29,,M. Monk misses 2-pt shot from 20 ft
0:46.0,Defensive rebound by K. Kuzma,,26-29,,
0:36.0,J. Clarkson makes 2-pt shot from 20 ft,2,28-29,,
0:22.0,,,28-29,,M. Carter-Williams misses 2-pt shot from 2 ft (block by J. Randle)
0:19.0,Defensive rebound by K. Kuzma,,28-29,,
0:02.0,B. Ingram misses 2-pt shot from 3 ft,,28-29,,
0:01.0,,,28-29,,Defensive rebound by J. O'Bryant
0:00.0,,,28-29,,J. O'Bryant misses 3-pt shot from 63 ft
0:00.0,,,28-29,,Offensive rebound by Team
0:00.0,,,28-29,,Technical foul by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,K. Kuzma misses 2-pt shot from 4 ft,,28-29,,
11:45.0,,,28-29,,Defensive rebound by M. Carter-Williams
11:37.0,,,28-29,,Turnover by M. Monk (bad pass; steal by J. Randle)
11:26.0,Offensive charge foul by J. Randle (drawn by J. O'Bryant),,28-29,,
11:26.0,Turnover by J. Randle (offensive foul),,28-29,,
11:07.0,,,28-29,,M. Monk misses 2-pt shot from 1 ft
11:06.0,Defensive rebound by J. Randle,,28-29,,
11:01.0,K. Kuzma misses 2-pt shot from 1 ft,,28-29,,
11:01.0,,,28-29,,Defensive rebound by J. O'Bryant
10:52.0,,,28-29,,J. O'Bryant misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by T. Ennis,,28-29,,
10:44.0,,,28-29,,Personal foul by M. Monk (drawn by T. Ennis)
10:44.0,,,28-29,,M. Williams enters the game for D. Bacon
10:39.0,J. Clarkson misses 3-pt shot from 24 ft,,28-29,,
10:34.0,,,28-29,,Defensive rebound by T. Graham
10:21.0,,,28-29,,J. O'Bryant misses 2-pt shot from 5 ft
10:19.0,Defensive rebound by K. Kuzma,,28-29,,
10:12.0,J. Randle misses 2-pt shot from 7 ft,,28-29,,
10:06.0,Offensive rebound by K. Kuzma,,28-29,,
10:06.0,K. Kuzma makes 2-pt shot at rim,2,30-29,,
9:58.0,Personal foul by T. Ennis (drawn by J. O'Bryant),,30-29,,
9:48.0,Personal foul by T. Ennis (drawn by M. Williams),,30-29,,
9:36.0,,,30-32,3,J. O'Bryant makes 3-pt shot from 26 ft (assist by M. Monk)
9:23.0,K. Kuzma misses 3-pt shot from 26 ft,,30-32,,
9:17.0,,,30-32,,Defensive rebound by J. O'Bryant
9:04.0,,,30-32,,M. Williams misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by J. Randle,,30-32,,
8:59.0,K. Kuzma makes 2-pt shot from 1 ft (assist by J. Clarkson),2,32-32,,
8:40.0,,,32-34,2,M. Carter-Williams makes 2-pt shot from 6 ft
8:23.0,K. Kuzma makes 2-pt shot from 2 ft (assist by J. Clarkson),2,34-34,,
8:09.0,,,34-34,,M. Monk misses 2-pt shot from 21 ft
8:06.0,Defensive rebound by J. Hart,,34-34,,
7:58.0,J. Clarkson makes 2-pt shot from 2 ft,2,36-34,,
7:51.0,,,36-34,,Charlotte full timeout
7:51.0,,,36-34,,K. Walker enters the game for M. Monk
7:51.0,,,36-34,,D. Howard enters the game for J. O'Bryant
7:51.0,,,36-34,,N. Batum enters the game for M. Carter-Williams
7:51.0,K. Caldwell-Pope enters the game for T. Ennis,,36-34,,
7:34.0,,,36-34,,K. Walker misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by J. Hart,,36-34,,
7:29.0,Turnover by J. Hart (bad pass; steal by K. Walker),,36-34,,
7:24.0,,,36-36,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
7:08.0,J. Clarkson makes 2-pt shot from 17 ft (assist by J. Randle),2,38-36,,
6:50.0,,,38-36,,Turnover by K. Walker (bad pass; steal by J. Clarkson)
6:41.0,Turnover by J. Clarkson (bad pass; steal by N. Batum),,38-36,,
6:38.0,,,38-38,2,K. Walker makes 2-pt shot from 1 ft
6:38.0,,,38-38,,Technical foul by K. Walker
6:38.0,J. Clarkson makes technical free throw,1,39-38,,
6:38.0,,,39-38,,M. Kidd-Gilchrist enters the game for M. Williams
6:19.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,39-38,,
6:15.0,,,39-38,,Defensive rebound by D. Howard
6:00.0,,,39-40,2,K. Walker makes 2-pt shot from 1 ft
5:49.0,K. Kuzma misses 3-pt shot from 26 ft,,39-40,,
5:46.0,,,39-40,,Defensive rebound by K. Walker
5:40.0,,,39-40,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
5:38.0,Defensive rebound by J. Clarkson,,39-40,,
5:35.0,J. Hart makes 3-pt shot from 25 ft (assist by J. Clarkson),3,42-40,,
5:13.0,,,42-40,,D. Howard misses 2-pt shot from 6 ft
5:05.0,Defensive rebound by J. Clarkson,,42-40,,
4:56.0,Turnover by J. Clarkson (lost ball; steal by M. Kidd-Gilchrist),,42-40,,
4:50.0,,,42-40,,Turnover by T. Graham (traveling)
4:50.0,L. Nance enters the game for J. Hart,,42-40,,
4:50.0,L. Ball enters the game for J. Clarkson,,42-40,,
4:50.0,B. Ingram enters the game for J. Randle,,42-40,,
4:37.0,,,42-40,,Personal foul by M. Kidd-Gilchrist (drawn by L. Nance)
4:37.0,,,42-40,,M. Williams enters the game for T. Graham
4:37.0,J. Clarkson enters the game for K. Kuzma,,42-40,,
4:26.0,L. Nance misses 2-pt shot from 19 ft,,42-40,,
4:21.0,,,42-40,,Defensive rebound by D. Howard
4:08.0,,,42-40,,Turnover by N. Batum (bad pass; steal by L. Nance)
4:02.0,J. Clarkson misses 3-pt shot from 25 ft,,42-40,,
3:57.0,,,42-40,,Defensive rebound by D. Howard
3:51.0,,,42-43,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
3:32.0,B. Ingram misses 2-pt shot from 3 ft (block by D. Howard),,42-43,,
3:32.0,Offensive rebound by Team,,42-43,,
3:32.0,J. Hart enters the game for J. Clarkson,,42-43,,
3:28.0,L. Nance misses 2-pt shot from 18 ft,,42-43,,
3:25.0,,,42-43,,Defensive rebound by D. Howard
3:14.0,,,42-45,2,N. Batum makes 2-pt shot from 14 ft
3:01.0,L. Nance makes 2-pt shot from 12 ft (assist by L. Ball),2,44-45,,
2:40.0,,,44-45,,K. Walker misses 2-pt shot from 1 ft
2:36.0,,,44-45,,Offensive rebound by D. Howard
2:36.0,,,44-47,2,D. Howard makes 2-pt shot at rim
2:29.0,B. Ingram misses 2-pt shot from 20 ft,,44-47,,
2:26.0,,,44-47,,Defensive rebound by M. Kidd-Gilchrist
2:23.0,,,44-49,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by N. Batum)
2:23.0,,,44-49,,Shooting foul by L. Nance (drawn by M. Kidd-Gilchrist)
2:23.0,LA Lakers full timeout,,44-49,,
2:23.0,B. Lopez enters the game for L. Nance,,44-49,,
2:23.0,K. Kuzma enters the game for J. Hart,,44-49,,
2:23.0,,,44-50,1,M. Kidd-Gilchrist makes free throw 1 of 1
2:07.0,K. Caldwell-Pope makes 2-pt shot from 13 ft,2,46-50,,
1:47.0,,,46-52,2,M. Williams makes 2-pt shot from 6 ft
1:25.0,B. Lopez makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,49-52,,
1:08.0,,,49-55,3,K. Walker makes 3-pt shot from 26 ft (assist by M. Williams)
0:51.0,L. Ball misses 2-pt shot from 2 ft (block by D. Howard),,49-55,,
0:51.0,Offensive rebound by Team,,49-55,,
0:51.0,,,49-55,,D. Bacon enters the game for M. Kidd-Gilchrist
0:47.0,B. Lopez misses 3-pt shot from 24 ft,,49-55,,
0:44.0,,,49-55,,Defensive rebound by D. Bacon
0:38.0,,,49-55,,Shooting foul by B. Ingram (drawn by D. Howard)
0:38.0,,,49-56,1,D. Howard makes free throw 1 of 2
0:38.0,,,49-56,,D. Howard misses free throw 2 of 2
0:36.0,Defensive rebound by K. Kuzma,,49-56,,
0:30.0,L. Ball misses 3-pt shot from 30 ft,,49-56,,
0:26.0,,,49-56,,Defensive rebound by M. Williams
0:08.0,,,49-56,,K. Walker misses 2-pt shot from 19 ft
0:04.0,Defensive rebound by K. Kuzma,,49-56,,
0:00.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by K. Kuzma),3,52-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,B. Lopez misses 2-pt shot from 6 ft,,52-56,,
11:37.0,,,52-56,,Defensive rebound by K. Walker
11:23.0,,,52-58,2,K. Walker makes 2-pt shot from 19 ft
11:11.0,B. Lopez makes 2-pt shot at rim (assist by L. Ball),2,54-58,,
10:50.0,,,54-58,,K. Walker misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by B. Ingram,,54-58,,
10:39.0,B. Ingram makes 2-pt shot from 1 ft,2,56-58,,
10:18.0,,,56-60,2,D. Howard makes 2-pt shot from 1 ft
10:07.0,K. Caldwell-Pope misses 2-pt shot from 16 ft,,56-60,,
10:02.0,,,56-60,,Defensive rebound by M. Williams
9:54.0,,,56-62,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
9:38.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,56-62,,
9:35.0,,,56-62,,Defensive rebound by N. Batum
9:31.0,,,56-62,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by B. Lopez)
9:27.0,Defensive rebound by B. Lopez,,56-62,,
9:27.0,Shooting foul by D. Howard (drawn by B. Ingram),,56-62,,
9:27.0,B. Ingram misses free throw 1 of 2,,56-62,,
9:27.0,Offensive rebound by Team,,56-62,,
9:27.0,B. Ingram makes free throw 2 of 2,1,57-62,,
9:13.0,,,57-62,,Turnover by D. Howard (bad pass; steal by K. Caldwell-Pope)
9:08.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,59-62,,
8:55.0,,,59-62,,N. Batum misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by L. Ball,,59-62,,
8:50.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,59-62,,
8:46.0,,,59-62,,Defensive rebound by D. Howard
8:38.0,,,59-62,,K. Walker misses 2-pt shot from 15 ft
8:34.0,,,59-62,,Offensive rebound by M. Kidd-Gilchrist
8:33.0,,,59-62,,Shooting foul by B. Lopez (drawn by M. Williams)
8:33.0,,,59-62,,M. Williams misses free throw 1 of 2
8:33.0,,,59-62,,Offensive rebound by Team
8:33.0,,,59-63,1,M. Williams makes free throw 2 of 2
8:09.0,B. Ingram misses 2-pt shot from 1 ft,,59-63,,
8:09.0,,,59-63,,Defensive rebound by Team
8:00.0,Personal foul by B. Lopez (drawn by D. Howard),,59-63,,
7:53.0,,,59-63,,M. Williams misses 3-pt shot from 24 ft
7:50.0,Defensive rebound by L. Ball,,59-63,,
7:40.0,L. Nance misses 2-pt shot from 20 ft,,59-63,,
7:37.0,,,59-63,,Defensive rebound by D. Howard
7:21.0,,,59-63,,M. Williams misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by B. Lopez,,59-63,,
7:08.0,B. Lopez makes 3-pt shot from 26 ft (assist by L. Ball),3,62-63,,
6:49.0,,,62-65,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by K. Walker)
6:36.0,B. Ingram misses 3-pt shot from 25 ft,,62-65,,
6:31.0,,,62-65,,Defensive rebound by N. Batum
6:25.0,,,62-65,,Offensive foul by D. Howard (drawn by B. Lopez)
6:25.0,,,62-65,,Turnover by D. Howard (offensive foul)
6:25.0,,,62-65,,Charlotte full timeout
6:25.0,,,62-65,,D. Bacon enters the game for M. Williams
6:25.0,,,62-65,,T. Graham enters the game for N. Batum
6:15.0,L. Nance misses 2-pt shot from 2 ft,,62-65,,
6:12.0,,,62-65,,Defensive rebound by D. Bacon
6:05.0,Personal foul by L. Nance (drawn by D. Howard),,62-65,,
6:05.0,K. Kuzma enters the game for L. Nance,,62-65,,
5:52.0,,,62-65,,K. Walker misses 3-pt shot from 25 ft
5:50.0,,,62-65,,Offensive rebound by D. Howard
5:50.0,,,62-65,,Shooting foul by B. Ingram (drawn by D. Howard)
5:50.0,,,62-66,1,D. Howard makes free throw 1 of 2
5:50.0,,,62-66,,D. Howard misses free throw 2 of 2
5:42.0,Defensive rebound by K. Kuzma,,62-66,,
5:40.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Ball),3,65-66,,
5:16.0,,,65-66,,Turnover by D. Howard (lost ball; steal by B. Lopez)
5:06.0,B. Ingram misses 2-pt shot from 1 ft,,65-66,,
5:03.0,,,65-66,,Defensive rebound by D. Howard
4:48.0,,,65-66,,Turnover by D. Howard (turnover)
4:48.0,,,65-66,,M. Carter-Williams enters the game for M. Kidd-Gilchrist
4:48.0,,,65-66,,M. Monk enters the game for K. Walker
4:35.0,B. Lopez misses 3-pt shot from 26 ft,,65-66,,
4:31.0,,,65-66,,Defensive rebound by M. Monk
4:21.0,,,65-66,,D. Howard misses 2-pt shot from 9 ft
4:19.0,,,65-66,,Offensive rebound by M. Carter-Williams
4:17.0,,,65-66,,D. Bacon misses 2-pt shot from 9 ft
4:12.0,Defensive rebound by B. Lopez,,65-66,,
4:01.0,B. Ingram misses 2-pt shot from 1 ft,,65-66,,
3:59.0,,,65-66,,Defensive rebound by D. Bacon
3:55.0,,,65-69,3,T. Graham makes 3-pt shot from 25 ft (assist by D. Bacon)
3:40.0,B. Ingram makes 2-pt shot from 18 ft,2,67-69,,
3:22.0,,,67-69,,Turnover by M. Carter-Williams (bad pass; steal by B. Ingram)
3:18.0,B. Ingram makes 2-pt shot from 1 ft,2,69-69,,
3:03.0,,,69-69,,T. Graham misses 2-pt shot from 4 ft
3:03.0,Defensive rebound by Team,,69-69,,
3:03.0,,,69-69,,Loose ball foul by D. Howard
3:03.0,,,69-69,,J. O'Bryant enters the game for D. Howard
3:03.0,J. Randle enters the game for B. Lopez,,69-69,,
3:03.0,,,69-69,,Technical foul by D. Howard
3:03.0,J. Clarkson makes technical free throw,1,70-69,,
3:03.0,J. Clarkson enters the game for K. Caldwell-Pope,,70-69,,
2:57.0,,,70-69,,Personal foul by D. Bacon (drawn by K. Kuzma)
2:57.0,LA Lakers full timeout,,70-69,,
2:52.0,,,70-69,,Personal foul by D. Bacon (drawn by B. Ingram)
2:48.0,,,70-69,,Personal foul by D. Bacon (drawn by B. Ingram)
2:48.0,B. Ingram makes free throw 1 of 2,1,71-69,,
2:48.0,B. Ingram makes free throw 2 of 2,1,72-69,,
2:36.0,,,72-69,,M. Monk misses 2-pt shot from 18 ft
2:33.0,Defensive rebound by B. Ingram,,72-69,,
2:31.0,Offensive charge foul by B. Ingram (drawn by T. Graham),,72-69,,
2:31.0,Turnover by B. Ingram (offensive foul),,72-69,,
2:17.0,,,72-71,2,J. O'Bryant makes 2-pt shot from 11 ft (assist by M. Carter-Williams)
2:05.0,J. Randle makes 2-pt shot from 14 ft (assist by L. Ball),2,74-71,,
1:43.0,,,74-71,,J. O'Bryant misses 2-pt shot from 10 ft
1:40.0,Defensive rebound by L. Ball,,74-71,,
1:25.0,Turnover by J. Randle (lost ball; steal by J. O'Bryant),,74-71,,
1:25.0,Personal foul by L. Ball (drawn by M. Carter-Williams),,74-71,,
1:25.0,,,74-72,1,M. Carter-Williams makes free throw 1 of 2
1:25.0,,,74-73,1,M. Carter-Williams makes free throw 2 of 2
1:10.0,Turnover by B. Ingram (lost ball; steal by T. Graham),,74-73,,
1:05.0,,,74-73,,J. O'Bryant misses 2-pt shot from 14 ft
1:01.0,Defensive rebound by K. Kuzma,,74-73,,
0:53.0,J. Clarkson misses 2-pt shot from 19 ft,,74-73,,
0:51.0,Offensive rebound by K. Kuzma,,74-73,,
0:51.0,K. Kuzma makes 2-pt shot from 9 ft,2,76-73,,
0:36.0,,,76-73,,D. Bacon misses 2-pt shot from 18 ft
0:32.0,Defensive rebound by J. Randle,,76-73,,
0:27.0,K. Kuzma misses 3-pt shot from 27 ft,,76-73,,
0:23.0,,,76-73,,Defensive rebound by J. O'Bryant
0:02.0,,,76-73,,Shooting foul by L. Ball (drawn by T. Graham)
0:02.0,,,76-74,1,T. Graham makes free throw 1 of 2
0:02.0,,,76-75,1,T. Graham makes free throw 2 of 2
0:00.0,Turnover by L. Ball (bad pass; steal by D. Bacon),,76-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-77,2,M. Carter-Williams makes 2-pt shot from 18 ft
11:20.0,J. Clarkson misses 2-pt shot from 15 ft,,76-77,,
11:14.0,Offensive rebound by K. Kuzma,,76-77,,
11:12.0,C. Brewer makes 2-pt shot from 1 ft (assist by K. Kuzma),2,78-77,,
10:59.0,Personal foul by C. Brewer (drawn by M. Carter-Williams),,78-77,,
10:46.0,,,78-79,2,M. Monk makes 2-pt shot from 19 ft
10:22.0,J. Hart makes 2-pt shot from 1 ft,2,80-79,,
10:02.0,,,80-79,,T. Graham misses 3-pt shot from 23 ft
9:58.0,Defensive rebound by C. Brewer,,80-79,,
9:54.0,,,80-79,,Personal foul by M. Carter-Williams (drawn by J. Clarkson)
9:46.0,Shooting foul by M. Carter-Williams (drawn by J. Clarkson),,80-79,,
9:46.0,J. Clarkson makes free throw 1 of 2,1,81-79,,
9:46.0,J. Clarkson misses free throw 2 of 2,,81-79,,
9:43.0,,,81-79,,Defensive rebound by J. O'Bryant
9:31.0,,,81-82,3,M. Carter-Williams makes 3-pt shot from 25 ft (assist by T. Graham)
9:17.0,Offensive foul by J. Randle (drawn by M. Carter-Williams),,81-82,,
9:17.0,Turnover by J. Randle (offensive foul),,81-82,,
9:02.0,,,81-84,2,J. O'Bryant makes 2-pt shot from 8 ft
8:42.0,K. Kuzma makes 2-pt shot from 8 ft (assist by J. Clarkson),2,83-84,,
8:24.0,,,83-84,,J. O'Bryant misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by J. Randle,,83-84,,
8:17.0,J. Randle makes 2-pt shot from 1 ft,2,85-84,,
8:02.0,,,85-84,,J. O'Bryant misses 2-pt shot from 2 ft (block by K. Kuzma)
8:00.0,Defensive rebound by J. Clarkson,,85-84,,
8:00.0,,,85-84,,Personal foul by M. Carter-Williams (drawn by K. Kuzma)
8:00.0,,,85-84,,M. Williams enters the game for D. Bacon
7:49.0,Shooting foul by T. Graham (drawn by J. Randle),,85-84,,
7:49.0,J. Randle makes free throw 1 of 2,1,86-84,,
7:49.0,J. Randle misses free throw 2 of 2,,86-84,,
7:46.0,,,86-84,,Defensive rebound by J. O'Bryant
7:37.0,,,86-84,,M. Monk misses 3-pt shot from 25 ft
7:34.0,Defensive rebound by K. Kuzma,,86-84,,
7:20.0,Shooting foul by J. O'Bryant (drawn by J. Clarkson),,86-84,,
7:20.0,J. Clarkson makes free throw 1 of 2,1,87-84,,
7:20.0,J. Clarkson makes free throw 2 of 2,1,88-84,,
7:04.0,,,88-87,3,M. Williams makes 3-pt shot from 25 ft (assist by J. O'Bryant)
6:51.0,,,88-87,,Personal foul by M. Carter-Williams (drawn by J. Clarkson)
6:51.0,,,88-87,,Charlotte full timeout
6:51.0,,,88-87,,D. Howard enters the game for J. O'Bryant
6:51.0,,,88-87,,K. Walker enters the game for M. Carter-Williams
6:51.0,K. Caldwell-Pope enters the game for C. Brewer,,88-87,,
6:51.0,B. Ingram enters the game for J. Hart,,88-87,,
6:51.0,J. Clarkson makes free throw 1 of 2,1,89-87,,
6:51.0,J. Clarkson makes free throw 2 of 2,1,90-87,,
6:31.0,,,90-87,,Turnover by D. Howard (offensive goaltending)
6:20.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Randle),2,92-87,,
6:11.0,,,92-87,,Shooting foul by B. Ingram (drawn by D. Howard)
6:11.0,,,92-87,,D. Howard misses free throw 1 of 2
6:11.0,,,92-87,,Offensive rebound by Team
6:11.0,,,92-87,,D. Bacon enters the game for M. Monk
6:11.0,,,92-87,,M. Kidd-Gilchrist enters the game for T. Graham
6:11.0,,,92-88,1,D. Howard makes free throw 2 of 2
5:59.0,J. Clarkson makes 2-pt shot from 1 ft,2,94-88,,
5:37.0,,,94-88,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
5:31.0,,,94-88,,Offensive rebound by M. Williams
5:31.0,,,94-90,2,M. Williams makes 2-pt shot at rim
5:19.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Randle),3,97-90,,
5:06.0,,,97-90,,K. Walker misses 3-pt shot from 27 ft
5:02.0,Defensive rebound by K. Kuzma,,97-90,,
4:49.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,99-90,,
4:49.0,Shooting foul by M. Williams (drawn by J. Randle),,99-90,,
4:49.0,J. Randle makes free throw 1 of 1,1,100-90,,
