time,Memphis,pts.away,score,pts.home,New Orleans
2:53.0,D. Brooks misses 3-pt shot from 25 ft,,19-26,,
2:53.0,Offensive rebound by Team,,19-26,,
2:53.0,,,19-26,,Loose ball foul by D. Miller (drawn by I. Rabb)
2:53.0,,,19-26,,New Orleans full timeout
2:53.0,,,19-26,,C. Diallo enters the game for R. Rondo
2:41.0,I. Rabb makes 2-pt shot from 14 ft,2,21-26,,
2:21.0,,,21-26,,A. Davis misses 2-pt shot from 7 ft
2:21.0,,,21-26,,Offensive rebound by A. Davis
2:17.0,,,21-28,2,A. Davis makes 2-pt shot from 2 ft
2:01.0,M. Brooks misses 2-pt shot from 11 ft,,21-28,,
2:01.0,,,21-28,,Defensive rebound by S. Hill
1:46.0,Violation by D. Davis (kicked ball),,21-28,,
1:40.0,,,21-31,3,A. Davis makes 3-pt shot from 26 ft (assist by D. Miller)
1:27.0,,,21-31,,Personal foul by C. Diallo (drawn by I. Rabb)
1:12.0,I. Rabb makes 2-pt shot from 14 ft,2,23-31,,
1:00.0,,,23-31,,Turnover by A. Davis (bad pass)
0:36.0,M. Teague misses 2-pt shot from 19 ft,,23-31,,
0:32.0,,,23-31,,Defensive rebound by S. Hill
0:30.0,,,23-31,,Shooting foul by M. Teague (drawn by A. Davis)
0:30.0,,,23-31,,A. Davis misses free throw 1 of 2
0:30.0,,,23-31,,Offensive rebound by Team
0:30.0,,,23-32,1,A. Davis makes free throw 2 of 2
0:08.0,D. Brooks misses 3-pt shot from 24 ft,,23-32,,
0:05.0,,,23-32,,Defensive rebound by I. Clark
0:00.0,,,23-32,,S. Hill misses 3-pt shot from 25 ft
0:00.0,,,23-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,I. Rabb misses 2-pt shot from 11 ft (block by N. Mirotic),,23-32,,
11:43.0,Offensive rebound by Team,,23-32,,
11:41.0,Turnover by M. Teague (out of bounds lost ball),,23-32,,
11:24.0,,,23-34,2,N. Mirotic makes 2-pt shot from 15 ft
11:04.0,M. Brooks makes 3-pt shot from 24 ft,3,26-34,,
10:50.0,,,26-34,,Turnover by N. Mirotic (bad pass; steal by M. Teague)
10:46.0,M. Brooks makes 3-pt shot from 24 ft (assist by M. Teague),3,29-34,,
10:30.0,,,29-34,,D. Miller misses 3-pt shot from 23 ft
10:27.0,,,29-34,,Offensive rebound by N. Mirotic
10:24.0,,,29-34,,S. Hill misses 3-pt shot from 25 ft
10:20.0,Defensive rebound by M. Teague,,29-34,,
10:13.0,M. Brooks misses 3-pt shot from 25 ft,,29-34,,
10:13.0,,,29-34,,Defensive rebound by C. Diallo
10:03.0,,,29-34,,Turnover by S. Hill (lost ball; steal by M. Brooks)
10:01.0,Shooting foul by S. Hill (drawn by M. Brooks),,29-34,,
10:01.0,M. Brooks makes free throw 1 of 2,1,30-34,,
10:01.0,,,30-34,,E. Moore enters the game for I. Clark
10:01.0,,,30-34,,J. Holiday enters the game for S. Hill
10:01.0,K. Simmons enters the game for I. Rabb,,30-34,,
10:01.0,J. Martin enters the game for M. Teague,,30-34,,
10:01.0,M. Brooks makes free throw 2 of 2,1,31-34,,
9:47.0,,,31-36,2,C. Diallo makes 2-pt shot at rim (assist by J. Holiday)
9:31.0,D. Davis makes 2-pt shot from 2 ft (assist by M. Brooks),2,33-36,,
9:13.0,,,33-36,,N. Mirotic misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by K. Simmons,,33-36,,
9:06.0,M. Henry misses 3-pt shot from 26 ft,,33-36,,
9:03.0,,,33-36,,Defensive rebound by C. Diallo
8:57.0,,,33-39,3,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday)
8:44.0,M. Brooks misses 3-pt shot from 26 ft,,33-39,,
8:41.0,,,33-39,,Defensive rebound by N. Mirotic
8:28.0,,,33-42,3,N. Mirotic makes 3-pt shot from 23 ft (assist by C. Diallo)
8:14.0,M. Gasol enters the game for M. Brooks,,33-42,,
8:14.0,B. McLemore enters the game for D. Davis,,33-42,,
8:04.0,K. Simmons misses 2-pt shot from 3 ft (block by E. Moore),,33-42,,
8:04.0,Offensive rebound by Team,,33-42,,
8:04.0,,,33-42,,I. Clark enters the game for C. Diallo
8:04.0,,,33-42,,A. Davis enters the game for D. Miller
8:01.0,Turnover by M. Henry (bad pass; steal by J. Holiday),,33-42,,
7:54.0,,,33-42,,E. Moore misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by J. Martin,,33-42,,
7:50.0,K. Simmons misses 2-pt shot from 22 ft,,33-42,,
7:50.0,Offensive rebound by J. Martin,,33-42,,
7:50.0,Shooting foul by A. Davis (drawn by J. Martin),,33-42,,
7:50.0,J. Martin makes free throw 1 of 2,1,34-42,,
7:50.0,J. Martin misses free throw 2 of 2,,34-42,,
7:48.0,,,34-42,,Defensive rebound by J. Holiday
7:34.0,,,34-42,,I. Clark misses 2-pt shot from 16 ft
7:31.0,Defensive rebound by K. Simmons,,34-42,,
7:29.0,,,34-42,,Personal foul by I. Clark (drawn by K. Simmons)
7:21.0,Turnover by K. Simmons (bad pass; steal by I. Clark),,34-42,,
7:21.0,Personal foul by M. Gasol (drawn by I. Clark),,34-42,,
7:10.0,,,34-44,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
6:47.0,B. McLemore misses 2-pt shot from 2 ft,,34-44,,
6:47.0,Offensive rebound by Team,,34-44,,
6:47.0,,,34-44,,Loose ball foul by E. Moore (drawn by M. Henry)
6:47.0,,,34-44,,New Orleans full timeout
6:47.0,D. Brooks enters the game for M. Henry,,34-44,,
6:36.0,K. Simmons makes 2-pt shot from 2 ft,2,36-44,,
6:19.0,Personal foul by K. Simmons (drawn by J. Holiday),,36-44,,
6:19.0,,,36-44,,C. Diallo enters the game for N. Mirotic
6:06.0,,,36-44,,J. Holiday misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by Team,,36-44,,
6:05.0,,,36-44,,Turnover by Team (shot clock)
5:50.0,Turnover by B. McLemore (bad pass; steal by I. Clark),,36-44,,
5:43.0,,,36-44,,E. Moore misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by J. Martin,,36-44,,
5:30.0,M. Gasol misses 2-pt shot from 9 ft,,36-44,,
5:26.0,,,36-44,,Defensive rebound by A. Davis
5:14.0,Personal foul by J. Martin (drawn by A. Davis),,36-44,,
5:14.0,I. Rabb enters the game for J. Martin,,36-44,,
5:06.0,,,36-44,,A. Davis misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by M. Gasol,,36-44,,
4:54.0,D. Brooks makes 2-pt shot from 2 ft (assist by M. Gasol),2,38-44,,
4:44.0,,,38-46,2,I. Clark makes 2-pt shot from 13 ft
4:25.0,D. Brooks makes 2-pt shot from 11 ft,2,40-46,,
4:14.0,,,40-49,3,E. Moore makes 3-pt shot from 22 ft (assist by J. Holiday)
3:59.0,Turnover by K. Simmons (bad pass; steal by I. Clark),,40-49,,
3:55.0,,,40-49,,I. Clark misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by B. McLemore,,40-49,,
3:49.0,D. Brooks makes 2-pt shot from 1 ft,2,42-49,,
3:49.0,,,42-49,,Violation by A. Davis (def goaltending)
3:49.0,,,42-49,,New Orleans full timeout
3:49.0,,,42-49,,R. Rondo enters the game for I. Clark
3:37.0,,,42-52,3,J. Holiday makes 3-pt shot from 24 ft (assist by R. Rondo)
3:21.0,I. Rabb makes 2-pt shot from 17 ft (assist by D. Brooks),2,44-52,,
3:02.0,,,44-54,2,A. Davis makes 2-pt shot from 6 ft (assist by E. Moore)
2:44.0,M. Brooks enters the game for D. Brooks,,44-54,,
2:39.0,K. Simmons misses 2-pt shot from 2 ft,,44-54,,
2:37.0,Offensive rebound by I. Rabb,,44-54,,
2:37.0,Shooting foul by A. Davis (drawn by I. Rabb),,44-54,,
2:37.0,I. Rabb makes free throw 1 of 2,1,45-54,,
2:37.0,,,45-54,,N. Mirotic enters the game for C. Diallo
2:37.0,I. Rabb makes free throw 2 of 2,1,46-54,,
2:32.0,Personal foul by B. McLemore (drawn by J. Holiday),,46-54,,
2:23.0,,,46-56,2,E. Moore makes 2-pt shot from 3 ft
2:06.0,B. McLemore misses 2-pt shot from 17 ft,,46-56,,
2:05.0,Offensive rebound by Team,,46-56,,
2:05.0,,,46-56,,Technical foul by E. Moore (drawn by B. McLemore)
2:05.0,B. McLemore makes free throw 1 of 1,1,47-56,,
2:01.0,I. Rabb misses 2-pt shot from 2 ft,,47-56,,
1:58.0,,,47-56,,Defensive rebound by A. Davis
1:53.0,,,47-56,,E. Moore misses 2-pt shot from 7 ft
1:53.0,,,47-56,,Offensive rebound by Team
1:44.0,,,47-56,,J. Holiday misses 2-pt shot from 1 ft
1:40.0,,,47-56,,Offensive rebound by A. Davis
1:40.0,,,47-56,,A. Davis misses 2-pt shot at rim
1:38.0,Defensive rebound by B. McLemore,,47-56,,
1:35.0,Turnover by B. McLemore (lost ball; steal by A. Davis),,47-56,,
1:29.0,,,47-56,,J. Holiday misses 2-pt shot from 1 ft
1:22.0,,,47-56,,Offensive rebound by A. Davis
1:22.0,,,47-58,2,A. Davis makes 2-pt shot at rim
1:07.0,B. McLemore makes 3-pt shot from 23 ft (assist by M. Brooks),3,50-58,,
1:00.0,,,50-61,3,E. Moore makes 3-pt shot from 22 ft (assist by R. Rondo)
0:50.0,Offensive charge foul by M. Gasol,,50-61,,
0:50.0,Turnover by M. Gasol (offensive foul),,50-61,,
0:50.0,Technical foul by M. Gasol,,50-61,,
0:50.0,,,50-62,1,A. Davis makes technical free throw
0:50.0,,,50-62,,C. Diallo enters the game for A. Davis
0:39.0,,,50-62,,Offensive foul by C. Diallo (drawn by B. McLemore)
0:39.0,,,50-62,,Turnover by C. Diallo (offensive foul)
0:28.0,M. Brooks makes 3-pt shot from 24 ft,3,53-62,,
0:28.0,Shooting foul by C. Diallo (drawn by M. Brooks),,53-62,,
0:28.0,M. Teague enters the game for M. Gasol,,53-62,,
0:28.0,M. Brooks misses free throw 1 of 1,,53-62,,
0:28.0,,,53-62,,Defensive rebound by C. Diallo
0:12.0,Def 3 sec tech foul by M. Brooks,,53-62,,
0:12.0,,,53-63,1,J. Holiday makes technical free throw
0:01.0,,,53-65,2,E. Moore makes 2-pt shot at rim (assist by R. Rondo)
0:00.0,M. Teague misses 3-pt shot from 63 ft,,53-65,,
0:00.0,Offensive rebound by Team,,53-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,B. McLemore misses 3-pt shot from 21 ft,,53-65,,
11:43.0,,,53-65,,Defensive rebound by A. Davis
11:43.0,,,53-65,,Turnover by A. Davis (out of bounds lost ball)
11:30.0,J. Martin makes 2-pt shot from 18 ft (assist by M. Gasol),2,55-65,,
11:16.0,,,55-65,,Shooting foul by B. McLemore (drawn by A. Davis)
11:16.0,,,55-65,,A. Davis misses free throw 1 of 2
11:16.0,,,55-65,,Offensive rebound by Team
11:16.0,,,55-66,1,A. Davis makes free throw 2 of 2
10:59.0,D. Brooks misses 3-pt shot from 25 ft,,55-66,,
10:55.0,,,55-66,,Defensive rebound by E. Moore
10:49.0,,,55-69,3,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Holiday)
10:24.0,B. McLemore misses 3-pt shot from 26 ft,,55-69,,
10:21.0,,,55-69,,Defensive rebound by R. Rondo
10:10.0,,,55-69,,Shooting foul by J. Martin (drawn by A. Davis)
10:10.0,Memphis full timeout,,55-69,,
10:10.0,I. Rabb enters the game for D. Brooks,,55-69,,
10:10.0,M. Brooks enters the game for J. Martin,,55-69,,
10:10.0,,,55-70,1,A. Davis makes free throw 1 of 2
10:10.0,,,55-71,1,A. Davis makes free throw 2 of 2
9:54.0,Shooting foul by N. Mirotic (drawn by I. Rabb),,55-71,,
9:54.0,I. Rabb makes free throw 1 of 2,1,56-71,,
9:54.0,I. Rabb makes free throw 2 of 2,1,57-71,,
9:41.0,,,57-73,2,N. Mirotic makes 2-pt shot from 14 ft
9:27.0,Turnover by M. Gasol (bad pass; steal by E. Moore),,57-73,,
9:24.0,,,57-75,2,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis)
9:24.0,,,57-75,,Shooting foul by B. McLemore (drawn by E. Moore)
9:24.0,,,57-76,1,E. Moore makes free throw 1 of 1
9:07.0,B. McLemore misses 2-pt shot from 2 ft,,57-76,,
9:06.0,Offensive rebound by B. McLemore,,57-76,,
9:06.0,Shooting foul by N. Mirotic (drawn by B. McLemore),,57-76,,
9:06.0,B. McLemore makes free throw 1 of 2,1,58-76,,
9:06.0,B. McLemore makes free throw 2 of 2,1,59-76,,
8:56.0,,,59-78,2,R. Rondo makes 2-pt shot from 1 ft
8:39.0,B. McLemore misses 2-pt shot from 1 ft,,59-78,,
8:35.0,,,59-78,,Defensive rebound by A. Davis
8:32.0,M. Henry enters the game for B. McLemore,,59-78,,
8:21.0,,,59-80,2,N. Mirotic makes 2-pt shot from 14 ft (assist by R. Rondo)
8:05.0,M. Henry misses 2-pt shot from 1 ft (block by J. Holiday),,59-80,,
8:05.0,Offensive rebound by Team,,59-80,,
8:03.0,M. Gasol misses 3-pt shot from 26 ft,,59-80,,
8:02.0,Offensive rebound by Team,,59-80,,
8:02.0,,,59-80,,Loose ball foul by N. Mirotic (drawn by I. Rabb)
7:55.0,,,59-80,,Personal foul by N. Mirotic (drawn by I. Rabb)
7:55.0,,,59-80,,S. Hill enters the game for N. Mirotic
7:43.0,Turnover by M. Brooks (discontinued dribble),,59-80,,
7:26.0,,,59-80,,E. Moore misses 3-pt shot from 24 ft
7:20.0,,,59-80,,Offensive rebound by R. Rondo
7:15.0,,,59-80,,R. Rondo misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by M. Henry,,59-80,,
7:03.0,I. Rabb misses 2-pt shot from 2 ft,,59-80,,
7:01.0,,,59-80,,Defensive rebound by R. Rondo
6:54.0,,,59-83,3,J. Holiday makes 3-pt shot from 24 ft (assist by S. Hill)
6:54.0,Memphis full timeout,,59-83,,
6:54.0,,,59-83,,D. Miller enters the game for R. Rondo
6:54.0,M. Teague enters the game for K. Simmons,,59-83,,
6:54.0,J. Martin enters the game for M. Gasol,,59-83,,
6:28.0,J. Martin misses 2-pt shot from 12 ft (block by S. Hill),,59-83,,
6:21.0,,,59-83,,Defensive rebound by A. Davis
6:15.0,,,59-83,,J. Holiday misses 2-pt shot from 2 ft
6:15.0,Defensive rebound by I. Rabb,,59-83,,
6:01.0,I. Rabb misses 2-pt shot from 19 ft (block by A. Davis),,59-83,,
5:59.0,Offensive rebound by Team,,59-83,,
5:53.0,M. Brooks makes 2-pt shot from 10 ft,2,61-83,,
5:36.0,,,61-83,,D. Miller misses 3-pt shot from 26 ft
5:32.0,Defensive rebound by M. Henry,,61-83,,
5:17.0,M. Teague misses 2-pt shot from 2 ft,,61-83,,
5:14.0,,,61-83,,Defensive rebound by S. Hill
5:06.0,,,61-83,,Turnover by E. Moore (lost ball; steal by M. Teague)
5:01.0,J. Martin makes 2-pt shot at rim (assist by M. Henry),2,63-83,,
4:48.0,Personal foul by M. Henry (drawn by J. Holiday),,63-83,,
4:48.0,D. Davis enters the game for I. Rabb,,63-83,,
4:41.0,,,63-86,3,E. Moore makes 3-pt shot from 24 ft (assist by J. Holiday)
4:25.0,M. Henry makes 2-pt shot from 15 ft (assist by M. Teague),2,65-86,,
4:18.0,,,65-89,3,E. Moore makes 3-pt shot from 23 ft (assist by D. Miller)
3:52.0,Turnover by M. Brooks (bad pass; steal by A. Davis),,65-89,,
3:51.0,Personal foul by J. Martin (drawn by A. Davis),,65-89,,
3:51.0,,,65-90,1,A. Davis makes free throw 1 of 2
3:51.0,B. McLemore enters the game for J. Martin,,65-90,,
3:51.0,,,65-91,1,A. Davis makes free throw 2 of 2
3:40.0,M. Brooks misses 3-pt shot from 25 ft,,65-91,,
3:38.0,Offensive rebound by Team,,65-91,,
3:38.0,,,65-91,,Loose ball foul by E. Moore (drawn by B. McLemore)
3:38.0,B. McLemore makes free throw 1 of 2,1,66-91,,
3:38.0,,,66-91,,C. Diallo enters the game for A. Davis
3:38.0,,,66-91,,R. Rondo enters the game for E. Moore
3:38.0,B. McLemore misses free throw 2 of 2,,66-91,,
3:35.0,Offensive rebound by D. Davis,,66-91,,
3:33.0,D. Davis misses 2-pt shot from 1 ft,,66-91,,
3:31.0,Offensive rebound by M. Henry,,66-91,,
3:29.0,M. Brooks misses 3-pt shot from 24 ft,,66-91,,
3:27.0,,,66-91,,Defensive rebound by D. Miller
3:25.0,,,66-91,,J. Holiday misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by M. Brooks,,66-91,,
3:10.0,M. Teague misses 3-pt shot from 22 ft,,66-91,,
3:06.0,,,66-91,,Defensive rebound by J. Holiday
2:54.0,,,66-91,,J. Holiday misses 2-pt shot from 2 ft
2:49.0,,,66-91,,Offensive rebound by S. Hill
2:49.0,,,66-91,,S. Hill misses 2-pt shot at rim
2:49.0,,,66-91,,Offensive rebound by S. Hill
2:49.0,,,66-91,,S. Hill misses 2-pt shot at rim
2:49.0,,,66-91,,Offensive rebound by S. Hill
2:49.0,,,66-91,,Turnover by S. Hill (turnover)
2:39.0,M. Teague makes 3-pt shot from 24 ft,3,69-91,,
2:38.0,,,69-91,,New Orleans full timeout
2:20.0,,,69-91,,D. Miller misses 2-pt shot from 21 ft
2:18.0,,,69-91,,Offensive rebound by C. Diallo
2:05.0,,,69-93,2,C. Diallo makes 2-pt shot from 1 ft (assist by R. Rondo)
1:54.0,Turnover by B. McLemore (bad pass; steal by J. Holiday),,69-93,,
1:49.0,,,69-93,,D. Miller misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by M. Teague,,69-93,,
1:39.0,M. Henry misses 3-pt shot from 26 ft,,69-93,,
1:29.0,Offensive rebound by D. Davis,,69-93,,
1:29.0,D. Davis makes 2-pt shot at rim,2,71-93,,
1:23.0,,,71-93,,Turnover by J. Holiday (bad pass; steal by B. McLemore)
1:16.0,B. McLemore misses 3-pt shot from 22 ft,,71-93,,
1:11.0,,,71-93,,Defensive rebound by R. Rondo
0:58.0,,,71-95,2,J. Holiday makes 2-pt shot from 1 ft
0:39.0,Turnover by M. Henry (bad pass; steal by S. Hill),,71-95,,
0:34.0,,,71-95,,D. Miller misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by Team,,71-95,,
0:18.0,M. Brooks makes 2-pt shot from 7 ft,2,73-95,,
0:02.0,,,73-95,,Shooting foul by M. Teague (drawn by J. Holiday)
0:02.0,,,73-96,1,J. Holiday makes free throw 1 of 2
0:02.0,,,73-97,1,J. Holiday makes free throw 2 of 2
0:00.0,M. Henry misses 3-pt shot from 40 ft,,73-97,,
0:00.0,Offensive rebound by Team,,73-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-97,,N. Mirotic misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by D. Davis,,73-97,,
11:23.0,M. Brooks makes 3-pt shot from 25 ft (assist by B. McLemore),3,76-97,,
10:58.0,Personal foul by M. Henry (drawn by N. Mirotic),,76-97,,
10:58.0,I. Rabb enters the game for M. Henry,,76-97,,
10:45.0,,,76-97,,R. Rondo misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by I. Rabb,,76-97,,
10:29.0,D. Davis misses 2-pt shot from 2 ft,,76-97,,
10:23.0,Offensive rebound by I. Rabb,,76-97,,
10:23.0,I. Rabb makes 2-pt shot at rim,2,78-97,,
10:21.0,,,78-97,,Offensive charge foul by S. Hill (drawn by B. McLemore)
10:21.0,,,78-97,,Turnover by S. Hill (offensive foul)
10:07.0,M. Brooks makes 2-pt shot from 8 ft,2,80-97,,
10:07.0,Shooting foul by S. Hill (drawn by M. Brooks),,80-97,,
10:07.0,M. Brooks misses free throw 1 of 1,,80-97,,
10:07.0,,,80-97,,Defensive rebound by N. Mirotic
9:57.0,,,80-97,,Shooting foul by D. Davis (drawn by N. Mirotic)
9:57.0,,,80-98,1,N. Mirotic makes free throw 1 of 2
9:57.0,,,80-98,,A. Davis enters the game for C. Diallo
9:57.0,,,80-98,,E. Moore enters the game for S. Hill
9:57.0,,,80-99,1,N. Mirotic makes free throw 2 of 2
9:37.0,B. McLemore misses 3-pt shot from 24 ft,,80-99,,
9:32.0,Offensive rebound by I. Rabb,,80-99,,
9:32.0,I. Rabb misses 2-pt shot from 1 ft (block by A. Davis),,80-99,,
9:32.0,,,80-99,,Defensive rebound by N. Mirotic
9:19.0,,,80-102,3,E. Moore makes 3-pt shot from 24 ft (assist by R. Rondo)
8:54.0,Turnover by I. Rabb (bad pass; steal by E. Moore),,80-102,,
8:46.0,,,80-104,2,A. Davis makes 2-pt shot from 2 ft (assist by R. Rondo)
8:31.0,Turnover by D. Davis (bad pass; steal by D. Miller),,80-104,,
8:18.0,,,80-104,,D. Miller misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by M. Brooks,,80-104,,
8:00.0,M. Teague misses 2-pt shot from 1 ft,,80-104,,
7:58.0,,,80-104,,Defensive rebound by A. Davis
7:53.0,,,80-106,2,N. Mirotic makes 2-pt shot from 1 ft (assist by R. Rondo)
7:53.0,Memphis full timeout,,80-106,,
7:53.0,J. Martin enters the game for M. Teague,,80-106,,
7:53.0,K. Simmons enters the game for D. Davis,,80-106,,
7:53.0,M. Henry enters the game for B. McLemore,,80-106,,
7:39.0,Turnover by I. Rabb (traveling),,80-106,,
7:27.0,,,80-109,3,D. Miller makes 3-pt shot from 23 ft (assist by E. Moore)
7:11.0,K. Simmons makes 2-pt shot from 20 ft,2,82-109,,
6:55.0,,,82-112,3,D. Miller makes 3-pt shot from 25 ft (assist by A. Davis)
6:31.0,M. Henry misses 3-pt shot from 23 ft,,82-112,,
6:28.0,,,82-112,,Defensive rebound by R. Rondo
6:20.0,,,82-114,2,N. Mirotic makes 2-pt shot from 1 ft (assist by E. Moore)
6:13.0,,,82-114,,Personal foul by R. Rondo (drawn by M. Brooks)
6:13.0,,,82-114,,S. Hill enters the game for A. Davis
6:13.0,,,82-114,,C. Diallo enters the game for E. Moore
6:02.0,M. Brooks makes 3-pt shot from 25 ft,3,85-114,,
5:38.0,,,85-116,2,C. Diallo makes 2-pt shot from 5 ft
5:23.0,I. Rabb misses 2-pt shot from 5 ft,,85-116,,
5:20.0,,,85-116,,Defensive rebound by R. Rondo
