time,Philadelphia,pts.away,score,pts.home,Golden State
6:15.0,Defensive rebound by R. Holmes,,14-12,,
6:07.0,B. Simmons misses 2-pt shot from 12 ft,,14-12,,
6:03.0,,,14-12,,Defensive rebound by S. Curry
5:56.0,,,14-12,,Turnover by S. Curry (bad pass; steal by T. McConnell)
5:50.0,R. Covington misses 2-pt shot from 5 ft (block by D. Green),,14-12,,
5:45.0,Offensive rebound by B. Simmons,,14-12,,
5:43.0,R. Covington misses 3-pt shot from 27 ft,,14-12,,
5:37.0,,,14-12,,Defensive rebound by D. Green
5:35.0,,,14-12,,K. Thompson misses 2-pt shot from 22 ft
5:30.0,Defensive rebound by R. Holmes,,14-12,,
5:28.0,R. Holmes misses 3-pt shot from 25 ft,,14-12,,
5:22.0,,,14-12,,Defensive rebound by D. Green
5:16.0,,,14-12,,Shooting foul by R. Holmes (drawn by S. Curry)
5:16.0,,,14-13,1,S. Curry makes free throw 1 of 2
5:16.0,,,14-13,,J. McGee enters the game for D. Green
5:16.0,,,14-13,,N. Young enters the game for Z. Pachulia
5:16.0,,,14-14,1,S. Curry makes free throw 2 of 2
5:07.0,T. McConnell misses 2-pt shot from 1 ft,,14-14,,
5:01.0,,,14-14,,Defensive rebound by J. McGee
4:59.0,,,14-17,3,K. Durant makes 3-pt shot from 25 ft (assist by K. Thompson)
4:51.0,Shooting foul by N. Young (drawn by R. Covington),,14-17,,
4:51.0,R. Covington misses free throw 1 of 2,,14-17,,
4:51.0,Offensive rebound by Team,,14-17,,
4:51.0,J. Redick enters the game for B. Simmons,,14-17,,
4:51.0,R. Covington makes free throw 2 of 2,1,15-17,,
4:36.0,,,15-20,3,S. Curry makes 3-pt shot from 25 ft
4:27.0,Turnover by T. McConnell (bad pass; steal by K. Thompson),,15-20,,
4:22.0,,,15-20,,K. Thompson misses 2-pt shot from 2 ft
4:14.0,,,15-20,,Offensive rebound by K. Thompson
4:14.0,,,15-22,2,K. Thompson makes 2-pt shot at rim
4:08.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft,2,17-22,,
3:55.0,,,17-22,,J. McGee misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by R. Holmes,,17-22,,
3:53.0,Shooting foul by J. McGee (drawn by R. Holmes),,17-22,,
3:53.0,R. Holmes makes free throw 1 of 2,1,18-22,,
3:53.0,,,18-22,,S. Livingston enters the game for K. Thompson
3:53.0,D. Saric enters the game for R. Covington,,18-22,,
3:53.0,R. Holmes makes free throw 2 of 2,1,19-22,,
3:42.0,,,19-22,,S. Curry misses 2-pt shot from 16 ft
3:40.0,,,19-22,,Offensive rebound by Team
3:40.0,J. Embiid enters the game for R. Holmes,,19-22,,
3:38.0,,,19-22,,Turnover by J. McGee (bad pass; steal by J. Redick)
3:33.0,J. Redick misses 3-pt shot from 26 ft,,19-22,,
3:29.0,Offensive rebound by T. McConnell,,19-22,,
3:23.0,T. McConnell makes 2-pt shot from 8 ft (assist by J. Redick),2,21-22,,
2:59.0,,,21-24,2,J. McGee makes 2-pt shot from 8 ft
2:53.0,Philadelphia full timeout,,21-24,,
2:38.0,Turnover by D. Saric (bad pass; steal by S. Livingston),,21-24,,
2:28.0,Personal foul by J. Embiid (drawn by K. Durant),,21-24,,
2:28.0,,,21-25,1,K. Durant makes free throw 2 of 2
2:28.0,,,21-26,1,K. Durant makes free throw 1 of 2
2:28.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,21-26,,
2:26.0,Turnover by T. McConnell (bad pass; steal by J. McGee),,21-26,,
2:22.0,,,21-28,2,J. McGee makes 2-pt shot at rim
2:02.0,T. McConnell makes 2-pt shot from 3 ft (assist by D. Saric),2,23-28,,
1:48.0,,,23-28,,Turnover by K. Durant (traveling)
1:48.0,,,23-28,,D. Green enters the game for K. Durant
1:48.0,R. Holmes enters the game for J. Embiid,,23-28,,
1:37.0,R. Holmes makes 2-pt shot from 1 ft (assist by J. Redick),2,25-28,,
1:12.0,,,25-30,2,J. McGee makes 2-pt shot from 9 ft
0:50.0,J. Anderson makes 3-pt shot from 24 ft (assist by J. Redick),3,28-30,,
0:41.0,,,28-30,,Shooting foul by J. Anderson (drawn by D. Green)
0:41.0,,,28-31,1,D. Green makes free throw 1 of 2
0:41.0,,,28-31,,J. Bell enters the game for J. McGee
0:41.0,,,28-32,1,D. Green makes free throw 2 of 2
0:30.0,,,28-32,,Personal foul by N. Young (drawn by J. Redick)
0:30.0,,,28-32,,Turnover by N. Young (turnover)
0:19.0,T. McConnell misses 2-pt shot from 2 ft (block by D. Green),,28-32,,
0:15.0,,,28-32,,Defensive rebound by S. Curry
0:04.0,,,28-32,,S. Curry misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by J. Anderson,,28-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Anderson makes 3-pt shot from 25 ft (assist by D. Saric),3,31-32,,
11:23.0,,,31-32,,S. Livingston misses 2-pt shot from 11 ft
11:17.0,Defensive rebound by J. Anderson,,31-32,,
11:13.0,B. Simmons misses 2-pt shot from 13 ft,,31-32,,
11:03.0,Offensive rebound by J. Anderson,,31-32,,
11:03.0,J. Anderson makes 2-pt shot at rim,2,33-32,,
10:54.0,,,33-34,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
10:48.0,,,33-34,,Def 3 sec tech foul by D. West
10:48.0,T. Luwawu-Cabarrot misses technical free throw,,33-34,,
10:48.0,Offensive rebound by Team,,33-34,,
10:41.0,B. Simmons misses 2-pt shot from 12 ft,,33-34,,
10:36.0,,,33-34,,Defensive rebound by S. Livingston
10:30.0,,,33-36,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. West)
10:30.0,,,33-36,,Shooting foul by J. Anderson (drawn by K. Thompson)
10:30.0,,,33-37,1,K. Thompson makes free throw 1 of 1
10:13.0,T. Luwawu-Cabarrot makes 3-pt shot from 26 ft (assist by B. Simmons),3,36-37,,
10:00.0,,,36-37,,K. Thompson misses 2-pt shot from 12 ft
9:55.0,Defensive rebound by B. Simmons,,36-37,,
9:45.0,B. Simmons makes 2-pt shot from 11 ft,2,38-37,,
9:28.0,,,38-37,,Shooting foul by R. Holmes (drawn by D. Green)
9:28.0,,,38-38,1,D. Green makes free throw 1 of 2
9:28.0,J. Embiid enters the game for D. Saric,,38-38,,
9:28.0,T. McConnell enters the game for R. Holmes,,38-38,,
9:28.0,,,38-38,,D. Green misses free throw 2 of 2
9:25.0,Defensive rebound by B. Simmons,,38-38,,
9:15.0,J. Embiid makes 2-pt shot from 3 ft (assist by B. Simmons),2,40-38,,
8:58.0,,,40-41,3,D. Green makes 3-pt shot from 24 ft (assist by S. Livingston)
8:41.0,B. Simmons makes 2-pt shot from 9 ft,2,42-41,,
8:31.0,,,42-41,,Offensive charge foul by S. Livingston (drawn by J. Anderson)
8:31.0,,,42-41,,Turnover by S. Livingston (offensive foul)
8:31.0,R. Covington enters the game for J. Anderson,,42-41,,
8:22.0,Shooting foul by D. West (drawn by B. Simmons),,42-41,,
8:22.0,B. Simmons misses free throw 1 of 2,,42-41,,
8:22.0,Offensive rebound by Team,,42-41,,
8:22.0,B. Simmons makes free throw 2 of 2,1,43-41,,
8:10.0,,,43-41,,K. Thompson misses 2-pt shot from 18 ft
8:06.0,Defensive rebound by T. McConnell,,43-41,,
7:59.0,Turnover by J. Embiid (bad pass; steal by S. Livingston),,43-41,,
7:54.0,,,43-41,,K. Thompson misses 2-pt shot from 2 ft (block by J. Embiid)
7:48.0,Defensive rebound by T. Luwawu-Cabarrot,,43-41,,
7:47.0,T. Luwawu-Cabarrot misses 2-pt shot from 1 ft,,43-41,,
7:43.0,,,43-41,,Defensive rebound by P. McCaw
7:43.0,,,43-41,,Offensive charge foul by D. West (drawn by T. Luwawu-Cabarrot)
7:43.0,,,43-41,,Turnover by D. West (offensive foul)
7:43.0,,,43-41,,K. Durant enters the game for D. West
7:43.0,,,43-41,,K. Looney enters the game for D. Green
7:34.0,Turnover by B. Simmons (traveling),,43-41,,
7:23.0,,,43-43,2,S. Livingston makes 2-pt shot from 11 ft
7:06.0,R. Covington misses 3-pt shot from 25 ft,,43-43,,
7:02.0,,,43-43,,Defensive rebound by K. Durant
6:59.0,,,43-43,,K. Durant misses 2-pt shot from 18 ft
6:52.0,Defensive rebound by J. Embiid,,43-43,,
6:36.0,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell),2,45-43,,
6:35.0,,,45-43,,Golden State full timeout
6:35.0,,,45-43,,S. Curry enters the game for K. Thompson
6:35.0,,,45-43,,O. Casspi enters the game for S. Livingston
6:35.0,J. Redick enters the game for T. Luwawu-Cabarrot,,45-43,,
6:14.0,,,45-43,,Turnover by O. Casspi (bad pass; steal by B. Simmons)
6:10.0,B. Simmons makes 2-pt shot from 1 ft,2,47-43,,
5:53.0,,,47-46,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
5:39.0,J. Embiid misses 2-pt shot from 5 ft (block by K. Durant),,47-46,,
5:39.0,,,47-46,,Defensive rebound by Team
5:36.0,Jump ball: K. Durant vs. J. Embiid (K. Looney gains possession),,,,Jump ball: K. Durant vs. J. Embiid (K. Looney gains possession)
5:36.0,Turnover by J. Embiid (turnover; steal by K. Durant),,47-46,,
5:24.0,,,47-48,2,K. Durant makes 2-pt shot from 18 ft
5:12.0,J. Redick makes 2-pt shot from 22 ft (assist by T. McConnell),2,49-48,,
4:56.0,,,49-50,2,S. Curry makes 2-pt shot from 20 ft
4:47.0,T. McConnell makes 2-pt shot from 2 ft,2,51-50,,
4:38.0,,,51-50,,Shooting foul by T. McConnell (drawn by S. Curry)
4:38.0,,,51-51,1,S. Curry makes free throw 1 of 2
4:38.0,,,51-51,,D. Green enters the game for P. McCaw
4:38.0,D. Saric enters the game for B. Simmons,,51-51,,
4:38.0,,,51-52,1,S. Curry makes free throw 2 of 2
4:24.0,J. Embiid misses 2-pt shot from 13 ft,,51-52,,
4:20.0,,,51-52,,Defensive rebound by O. Casspi
4:15.0,,,51-54,2,K. Durant makes 2-pt shot at rim
4:02.0,J. Redick makes 2-pt shot from 19 ft (assist by J. Embiid),2,53-54,,
3:52.0,,,53-54,,K. Durant misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by Team,,53-54,,
3:52.0,Philadelphia full timeout,,53-54,,
3:42.0,,,53-54,,Personal foul by O. Casspi (drawn by J. Embiid)
3:28.0,J. Embiid misses 2-pt shot from 7 ft,,53-54,,
3:23.0,,,53-54,,Defensive rebound by D. Green
3:06.0,,,53-56,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Green)
2:56.0,,,53-56,,Personal foul by D. Green (drawn by D. Saric)
2:56.0,,,53-56,,K. Thompson enters the game for K. Looney
2:56.0,B. Simmons enters the game for T. McConnell,,53-56,,
2:53.0,J. Redick misses 2-pt shot from 1 ft,,53-56,,
2:46.0,,,53-56,,Defensive rebound by D. Green
2:44.0,,,53-56,,Turnover by D. Green (lost ball; steal by J. Embiid)
2:44.0,J. Embiid misses 2-pt shot at rim,,53-56,,
2:41.0,Offensive rebound by J. Embiid,,53-56,,
2:36.0,J. Embiid makes 2-pt shot from 1 ft,2,55-56,,
2:32.0,,,55-56,,Turnover by S. Curry (bad pass; steal by J. Redick)
2:29.0,R. Covington makes 2-pt shot at rim (assist by J. Redick),2,57-56,,
2:10.0,,,57-56,,K. Durant misses 2-pt shot from 16 ft
2:07.0,Defensive rebound by D. Saric,,57-56,,
2:02.0,D. Saric makes 2-pt shot from 22 ft (assist by B. Simmons),2,59-56,,
1:35.0,,,59-56,,K. Thompson misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by R. Covington,,59-56,,
1:31.0,B. Simmons makes 2-pt shot from 9 ft,2,61-56,,
1:14.0,,,61-56,,S. Curry misses 2-pt shot from 18 ft
1:14.0,,,61-56,,Offensive rebound by K. Durant
1:14.0,,,61-58,2,K. Durant makes 2-pt shot from 6 ft
1:14.0,,,61-58,,Shooting foul by R. Covington (drawn by K. Durant)
1:14.0,R. Holmes enters the game for J. Embiid,,61-58,,
1:14.0,,,61-59,1,K. Durant makes free throw 1 of 1
0:59.0,J. Redick makes 2-pt shot from 19 ft (assist by D. Saric),2,63-59,,
0:59.0,Shooting foul by O. Casspi (drawn by J. Redick),,63-59,,
0:59.0,J. Redick makes free throw 1 of 1,1,64-59,,
0:41.0,,,64-61,2,K. Durant makes 2-pt shot from 8 ft (assist by S. Curry)
0:41.0,,,64-61,,Shooting foul by R. Covington (drawn by K. Durant)
0:41.0,,,64-61,,K. Looney enters the game for O. Casspi
0:41.0,,,64-62,1,K. Durant makes free throw 1 of 1
0:31.0,B. Simmons misses 2-pt shot from 2 ft (block by K. Looney),,64-62,,
0:26.0,,,64-62,,Defensive rebound by K. Looney
0:25.0,,,64-65,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
0:07.0,J. Redick misses 3-pt shot from 26 ft,,64-65,,
0:03.0,Offensive rebound by B. Simmons,,64-65,,
0:00.0,D. Saric misses 3-pt shot from 23 ft,,64-65,,
0:00.0,,,64-65,,Defensive rebound by S. Curry
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,D. Saric misses 2-pt shot from 9 ft,,64-65,,
11:27.0,Offensive rebound by J. Embiid,,64-65,,
11:27.0,J. Embiid makes 2-pt shot at rim,2,66-65,,
11:22.0,,,66-67,2,S. Curry makes 2-pt shot from 17 ft
11:01.0,Turnover by B. Simmons (bad pass; steal by S. Curry),,66-67,,
10:55.0,,,66-69,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Durant)
10:47.0,Turnover by J. Embiid (lost ball; steal by Z. Pachulia),,66-69,,
10:43.0,,,66-69,,K. Durant misses 3-pt shot from 27 ft
10:38.0,Defensive rebound by R. Covington,,66-69,,
10:32.0,B. Simmons misses 2-pt shot from 3 ft (block by D. Green),,66-69,,
10:26.0,Offensive rebound by D. Saric,,66-69,,
10:24.0,D. Saric misses 2-pt shot from 2 ft,,66-69,,
10:21.0,,,66-69,,Defensive rebound by D. Green
10:19.0,,,66-72,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
10:03.0,B. Simmons misses 2-pt shot from 10 ft,,66-72,,
9:55.0,,,66-72,,Defensive rebound by S. Curry
9:55.0,Personal foul by B. Simmons (drawn by S. Curry),,66-72,,
9:48.0,,,66-72,,Turnover by K. Durant (bad pass)
9:29.0,R. Covington misses 3-pt shot from 26 ft,,66-72,,
9:26.0,,,66-72,,Defensive rebound by Z. Pachulia
9:20.0,,,66-72,,K. Durant misses 3-pt shot from 27 ft
9:15.0,Defensive rebound by R. Covington,,66-72,,
9:13.0,J. Redick makes 3-pt shot from 24 ft (assist by R. Covington),3,69-72,,
8:56.0,,,69-72,,Z. Pachulia misses 2-pt shot from 11 ft
8:52.0,Defensive rebound by J. Embiid,,69-72,,
8:45.0,R. Covington misses 3-pt shot from 24 ft,,69-72,,
8:43.0,,,69-72,,Defensive rebound by Team
8:36.0,,,69-72,,S. Curry misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by J. Embiid,,69-72,,
8:20.0,J. Embiid misses 3-pt shot from 24 ft,,69-72,,
8:15.0,,,69-72,,Defensive rebound by Z. Pachulia
8:11.0,,,69-72,,D. Green misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by D. Saric,,69-72,,
8:01.0,D. Saric makes 2-pt shot from 13 ft (assist by B. Simmons),2,71-72,,
7:44.0,T. McConnell enters the game for D. Saric,,71-72,,
7:44.0,R. Holmes enters the game for J. Embiid,,71-72,,
7:43.0,,,71-72,,D. Green misses 3-pt shot from 25 ft
7:43.0,,,71-72,,Offensive rebound by Team
7:40.0,,,71-74,2,K. Durant makes 2-pt shot from 2 ft (assist by S. Curry)
7:29.0,R. Covington makes 3-pt shot from 24 ft (assist by J. Redick),3,74-74,,
7:22.0,,,74-74,,Shooting foul by T. McConnell (drawn by S. Curry)
7:22.0,,,74-75,1,S. Curry makes free throw 1 of 2
7:22.0,,,74-76,1,S. Curry makes free throw 2 of 2
7:01.0,,,74-76,,Personal foul by K. Thompson (drawn by J. Redick)
6:53.0,Shooting foul by Z. Pachulia (drawn by B. Simmons),,74-76,,
6:53.0,,,74-76,,Golden State full timeout
6:53.0,,,74-76,,K. Looney enters the game for Z. Pachulia
6:53.0,T. Luwawu-Cabarrot enters the game for J. Redick,,74-76,,
6:53.0,B. Simmons misses free throw 1 of 2,,74-76,,
6:53.0,Offensive rebound by Team,,74-76,,
6:53.0,B. Simmons misses free throw 2 of 2,,74-76,,
6:50.0,,,74-76,,Defensive rebound by K. Looney
6:37.0,,,74-78,2,K. Looney makes 2-pt shot from 2 ft (assist by S. Curry)
6:29.0,R. Covington misses 2-pt shot from 16 ft,,74-78,,
6:24.0,,,74-78,,Defensive rebound by D. Green
6:21.0,,,74-81,3,K. Thompson makes 3-pt shot from 28 ft (assist by D. Green)
6:01.0,Turnover by B. Simmons (bad pass; steal by K. Durant),,74-81,,
5:44.0,,,74-81,,K. Thompson misses 3-pt shot from 22 ft
5:40.0,Defensive rebound by R. Holmes,,74-81,,
5:37.0,B. Simmons misses 2-pt shot from 16 ft,,74-81,,
5:29.0,,,74-81,,Defensive rebound by D. Green
5:23.0,,,74-81,,K. Durant misses 3-pt shot from 26 ft
5:19.0,Defensive rebound by R. Holmes,,74-81,,
5:11.0,Offensive charge foul by T. Luwawu-Cabarrot (drawn by D. Green),,74-81,,
5:11.0,Turnover by T. Luwawu-Cabarrot (offensive foul),,74-81,,
5:11.0,,,74-81,,N. Young enters the game for D. Green
5:11.0,J. Redick enters the game for B. Simmons,,74-81,,
4:56.0,,,74-83,2,K. Durant makes 2-pt shot from 1 ft
4:56.0,Philadelphia full timeout,,74-83,,
4:46.0,J. Redick makes 2-pt shot from 2 ft (assist by R. Holmes),2,76-83,,
4:36.0,,,76-83,,Offensive charge foul by K. Durant (drawn by J. Redick)
4:36.0,,,76-83,,Turnover by K. Durant (offensive foul)
4:22.0,J. Redick misses 2-pt shot from 9 ft (block by K. Looney),,76-83,,
4:16.0,,,76-83,,Defensive rebound by K. Durant
4:15.0,,,76-86,3,N. Young makes 3-pt shot from 26 ft (assist by S. Curry)
4:01.0,T. McConnell misses 2-pt shot from 9 ft,,76-86,,
4:00.0,Offensive rebound by R. Holmes,,76-86,,
3:50.0,T. McConnell misses 2-pt shot from 2 ft (block by K. Durant),,76-86,,
3:48.0,Offensive rebound by J. Redick,,76-86,,
3:48.0,Turnover by Team (shot clock),,76-86,,
3:48.0,,,76-86,,S. Livingston enters the game for K. Thompson
3:25.0,,,76-88,2,K. Durant makes 2-pt shot from 11 ft
3:07.0,T. Luwawu-Cabarrot makes 2-pt shot from 9 ft (assist by T. McConnell),2,78-88,,
2:55.0,,,78-91,3,S. Curry makes 3-pt shot from 28 ft
2:42.0,T. McConnell misses 2-pt shot from 1 ft (block by K. Looney),,78-91,,
2:37.0,,,78-91,,Defensive rebound by K. Durant
2:36.0,,,78-94,3,N. Young makes 3-pt shot from 24 ft (assist by K. Durant)
2:36.0,J. Embiid enters the game for R. Holmes,,78-94,,
2:22.0,Shooting foul by K. Durant (drawn by J. Embiid),,78-94,,
2:22.0,J. Embiid makes free throw 1 of 2,1,79-94,,
2:22.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,79-94,,
2:22.0,J. Embiid makes free throw 2 of 2,1,80-94,,
2:13.0,,,80-94,,S. Curry misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by Team,,80-94,,
2:12.0,,,80-94,,D. Green enters the game for K. Durant
1:59.0,Turnover by J. Embiid (bad pass; steal by N. Young),,80-94,,
1:55.0,Violation by R. Covington (kicked ball),,80-94,,
1:55.0,D. Saric enters the game for R. Covington,,80-94,,
1:49.0,,,80-96,2,K. Looney makes 2-pt shot from 1 ft (assist by S. Curry)
1:26.0,D. Saric misses 3-pt shot from 23 ft (block by D. Green),,80-96,,
1:20.0,,,80-96,,Defensive rebound by S. Livingston
1:17.0,,,80-96,,S. Curry misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by J. Anderson,,80-96,,
1:08.0,,,80-96,,Personal foul by K. Looney (drawn by J. Embiid)
0:57.0,D. Saric makes 3-pt shot from 26 ft (assist by J. Redick),3,83-96,,
0:36.0,,,83-98,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
0:20.0,Shooting foul by K. Looney (drawn by J. Embiid),,83-98,,
0:20.0,J. Embiid makes free throw 1 of 2,1,84-98,,
0:20.0,,,84-98,,K. Thompson enters the game for K. Looney
0:20.0,,,84-98,,K. Durant enters the game for S. Livingston
0:20.0,J. Embiid makes free throw 2 of 2,1,85-98,,
0:12.0,,,85-101,3,N. Young makes 3-pt shot from 22 ft (assist by K. Thompson)
0:04.0,Turnover by T. McConnell (step out of bounds),,85-101,,
0:00.0,,,85-101,,D. Green misses 2-pt shot from 15 ft
0:00.0,,,85-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,85-104,3,K. Thompson makes 3-pt shot from 22 ft (assist by D. West)
11:22.0,B. Simmons makes 2-pt shot from 12 ft,2,87-104,,
11:01.0,,,87-104,,Turnover by D. West (traveling)
10:46.0,D. Saric misses 2-pt shot from 2 ft (block by D. West),,87-104,,
10:45.0,,,87-104,,Defensive rebound by Team
10:32.0,,,87-104,,Turnover by D. West (bad pass)
10:32.0,Philadelphia full timeout,,87-104,,
10:32.0,J. Redick enters the game for J. Anderson,,87-104,,
10:32.0,R. Covington enters the game for T. Luwawu-Cabarrot,,87-104,,
10:15.0,Turnover by J. Embiid (lost ball; steal by D. Green),,87-104,,
10:07.0,,,87-106,2,D. Green makes 2-pt shot from 1 ft
9:57.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,89-106,,
9:41.0,,,89-108,2,N. Young makes 2-pt shot from 1 ft (assist by D. West)
9:21.0,B. Simmons misses 2-pt shot from 8 ft,,89-108,,
9:17.0,,,89-108,,Defensive rebound by S. Livingston
9:13.0,,,89-111,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Livingston)
9:02.0,Turnover by J. Embiid (bad pass; steal by D. West),,89-111,,
8:58.0,,,89-113,2,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green)
8:43.0,Turnover by B. Simmons (bad pass; steal by N. Young),,89-113,,
8:36.0,,,89-113,,Turnover by D. West (bad pass; steal by D. Saric)
8:28.0,,,89-113,,Personal foul by D. Green (drawn by J. Redick)
8:28.0,R. Holmes enters the game for J. Embiid,,89-113,,
8:21.0,B. Simmons makes 2-pt shot from 9 ft,2,91-113,,
8:03.0,,,91-113,,Shooting foul by R. Holmes (drawn by D. West)
8:03.0,,,91-114,1,D. West makes free throw 1 of 2
8:03.0,,,91-115,1,D. West makes free throw 2 of 2
7:52.0,J. Redick misses 3-pt shot from 24 ft,,91-115,,
7:50.0,,,91-115,,Defensive rebound by Team
7:50.0,,,91-115,,Golden State full timeout
7:50.0,,,91-115,,P. McCaw enters the game for N. Young
7:40.0,,,91-117,2,D. West makes 2-pt shot at rim (assist by D. Green)
7:29.0,Shooting foul by D. Green (drawn by J. Redick),,91-117,,
7:29.0,J. Anderson enters the game for R. Covington,,94-117,,
7:29.0,J. Redick misses free throw 1 of 1,,94-117,,
7:29.0,,,94-117,,Defensive rebound by D. Green
7:28.0,J. Redick makes 3-pt shot from 22 ft (assist by B. Simmons),3,94-117,,
7:24.0,Personal foul by J. Redick (drawn by D. Green),,94-117,,
7:24.0,,,94-117,,O. Casspi enters the game for K. Thompson
7:24.0,,,94-117,,K. Looney enters the game for D. Green
7:24.0,T. McConnell enters the game for J. Redick,,94-117,,
7:24.0,T. Luwawu-Cabarrot enters the game for B. Simmons,,94-117,,
7:13.0,,,94-117,,P. McCaw misses 2-pt shot from 9 ft
7:13.0,Defensive rebound by R. Holmes,,94-117,,
