time,Miami,pts.away,score,pts.home,Dallas
10:25.0,,,27-28,,D. Nowitzki misses 2-pt shot from 13 ft
10:24.0,,,27-28,,Offensive rebound by D. Powell
10:24.0,Personal foul by J. Winslow (drawn by D. Powell),,27-28,,
10:11.0,,,27-28,,Y. Ferrell misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by K. Olynyk,,27-28,,
9:58.0,K. Olynyk misses 3-pt shot from 24 ft,,27-28,,
9:55.0,,,27-28,,Defensive rebound by D. Powell
9:45.0,,,27-28,,Y. Ferrell misses 3-pt shot from 26 ft
9:42.0,,,27-28,,Offensive rebound by D. Powell
9:30.0,,,27-30,2,D. Powell makes 2-pt shot from 19 ft (assist by K. Collinsworth)
9:14.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson),3,30-30,,
8:57.0,Personal foul by J. Winslow (drawn by D. Nowitzki),,30-30,,
8:45.0,,,30-30,,Turnover by K. Collinsworth (lost ball; steal by W. Ellington)
8:29.0,Shooting foul by D. Nowitzki (drawn by K. Olynyk),,30-30,,
8:29.0,K. Olynyk makes free throw 1 of 2,1,31-30,,
8:29.0,K. Olynyk makes free throw 2 of 2,1,32-30,,
8:17.0,,,32-30,,D. Harris misses 2-pt shot from 9 ft (block by J. Winslow)
8:15.0,Defensive rebound by J. Winslow,,32-30,,
8:11.0,Turnover by J. Richardson (bad pass; steal by K. Collinsworth),,32-30,,
7:57.0,,,32-30,,Turnover by Y. Ferrell (bad pass; steal by J. Richardson)
7:57.0,,,32-30,,Personal foul by D. Nowitzki (drawn by J. Richardson)
7:57.0,,,32-30,,D. Smith enters the game for K. Collinsworth
7:48.0,W. Ellington misses 3-pt shot from 27 ft,,32-30,,
7:46.0,,,32-30,,Defensive rebound by D. Powell
7:35.0,,,32-32,2,D. Smith makes 2-pt shot from 1 ft
7:11.0,B. Adebayo misses 2-pt shot from 1 ft,,32-32,,
7:10.0,,,32-32,,Defensive rebound by D. Powell
7:03.0,,,32-32,,Turnover by D. Powell (lost ball; steal by B. Adebayo)
6:50.0,J. Richardson makes 3-pt shot from 24 ft (assist by K. Olynyk),3,35-32,,
6:49.0,,,35-32,,Dallas full timeout
6:49.0,,,35-32,,H. Barnes enters the game for D. Harris
6:49.0,,,35-32,,W. Matthews enters the game for D. Nowitzki
6:49.0,T. Johnson enters the game for J. Richardson,,35-32,,
6:34.0,,,35-32,,Turnover by D. Smith (bad pass)
6:21.0,K. Olynyk misses 3-pt shot from 25 ft,,35-32,,
6:18.0,,,35-32,,Defensive rebound by D. Powell
6:12.0,,,35-35,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Smith)
5:58.0,,,35-35,,Personal foul by D. Powell (drawn by B. Adebayo)
5:58.0,,,35-35,,S. Mejri enters the game for D. Powell
5:58.0,,,35-35,,M. Kleber enters the game for Y. Ferrell
5:58.0,J. Johnson enters the game for W. Ellington,,35-35,,
5:58.0,G. Dragic enters the game for K. Olynyk,,35-35,,
5:58.0,H. Whiteside enters the game for B. Adebayo,,35-35,,
5:50.0,J. Johnson misses 3-pt shot from 25 ft,,35-35,,
5:47.0,,,35-35,,Defensive rebound by H. Barnes
5:41.0,Personal foul by G. Dragic (drawn by D. Smith),,35-35,,
5:35.0,,,35-35,,D. Smith misses 2-pt shot from 19 ft
5:32.0,,,35-35,,Offensive rebound by S. Mejri
5:31.0,,,35-35,,S. Mejri misses 2-pt shot at rim
5:28.0,Defensive rebound by J. Winslow,,35-35,,
5:19.0,J. Winslow misses 2-pt shot from 22 ft,,35-35,,
5:18.0,,,35-35,,Defensive rebound by Team
5:08.0,,,35-35,,H. Barnes misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by H. Whiteside,,35-35,,
4:50.0,T. Johnson misses 2-pt shot from 7 ft,,35-35,,
4:48.0,,,35-35,,Defensive rebound by S. Mejri
4:36.0,,,35-35,,W. Matthews misses 3-pt shot from 27 ft
4:32.0,,,35-35,,Offensive rebound by S. Mejri
4:26.0,,,35-35,,Turnover by D. Smith (lost ball; steal by G. Dragic)
4:18.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Johnson),3,38-35,,
3:54.0,,,38-35,,Turnover by M. Kleber (bad pass; steal by J. Johnson)
3:50.0,Turnover by J. Johnson (bad pass; steal by W. Matthews),,38-35,,
3:32.0,,,38-35,,D. Smith misses 3-pt shot from 25 ft
3:29.0,,,38-35,,Offensive rebound by W. Matthews
3:15.0,,,38-35,,D. Smith misses 2-pt shot from 9 ft
3:13.0,Defensive rebound by G. Dragic,,38-35,,
2:59.0,G. Dragic misses 2-pt shot from 17 ft,,38-35,,
2:56.0,Offensive rebound by H. Whiteside,,38-35,,
2:54.0,Turnover by H. Whiteside (lost ball; steal by S. Mejri),,38-35,,
2:48.0,,,38-35,,H. Barnes misses 2-pt shot from 5 ft
2:48.0,Defensive rebound by Team,,38-35,,
2:48.0,,,38-35,,Loose ball foul by H. Barnes (drawn by H. Whiteside)
2:48.0,Miami full timeout,,38-35,,
2:48.0,J. Richardson enters the game for J. Winslow,,38-35,,
2:48.0,H. Whiteside makes free throw 1 of 2,1,39-35,,
2:48.0,H. Whiteside makes free throw 2 of 2,1,40-35,,
2:30.0,Personal block foul by T. Johnson (drawn by W. Matthews),,40-35,,
2:30.0,,,40-36,1,W. Matthews makes free throw 1 of 2
2:30.0,,,40-37,1,W. Matthews makes free throw 2 of 2
2:20.0,G. Dragic makes 3-pt shot from 24 ft (assist by J. Johnson),3,43-37,,
2:01.0,,,43-37,,H. Barnes misses 2-pt shot from 11 ft
2:01.0,Defensive rebound by H. Whiteside,,43-37,,
1:50.0,G. Dragic misses 2-pt shot from 5 ft,,43-37,,
1:50.0,Offensive rebound by H. Whiteside,,43-37,,
1:50.0,H. Whiteside makes 2-pt shot at rim,2,45-37,,
1:50.0,Shooting foul by S. Mejri (drawn by H. Whiteside),,45-37,,
1:50.0,,,45-37,,D. Nowitzki enters the game for M. Kleber
1:50.0,,,45-37,,Y. Ferrell enters the game for S. Mejri
1:50.0,W. Ellington enters the game for T. Johnson,,45-37,,
1:50.0,H. Whiteside makes free throw 1 of 1,1,46-37,,
1:33.0,,,46-39,2,W. Matthews makes 2-pt shot at rim
1:12.0,J. Johnson makes 2-pt shot from 2 ft (assist by H. Whiteside),2,48-39,,
1:00.0,,,48-41,2,H. Barnes makes 2-pt shot at rim (assist by D. Smith)
0:41.0,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic),3,51-41,,
0:31.0,,,51-41,,D. Smith misses 2-pt shot from 3 ft (block by J. Richardson)
0:31.0,,,51-41,,Offensive rebound by Team
0:28.0,,,51-41,,H. Barnes misses 2-pt shot from 1 ft
0:28.0,,,51-41,,Offensive rebound by D. Smith
0:26.0,Personal block foul by H. Whiteside (drawn by D. Nowitzki),,51-41,,
0:26.0,,,51-42,1,D. Nowitzki makes free throw 1 of 2
0:26.0,,,51-43,1,D. Nowitzki makes free throw 2 of 2
0:07.0,G. Dragic misses 3-pt shot from 24 ft,,51-43,,
0:07.0,,,51-43,,Defensive rebound by D. Nowitzki
0:00.0,,,51-46,3,D. Smith makes 3-pt shot from 26 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,H. Whiteside makes 2-pt shot from 1 ft,2,53-46,,
11:26.0,,,53-48,2,M. Kleber makes 2-pt shot from 1 ft (assist by D. Smith)
11:02.0,T. Johnson makes 3-pt shot from 26 ft (assist by H. Whiteside),3,56-48,,
10:43.0,,,56-48,,W. Matthews misses 2-pt shot from 2 ft
10:41.0,Defensive rebound by H. Whiteside,,56-48,,
10:35.0,Shooting foul by W. Matthews (drawn by T. Johnson),,56-48,,
10:35.0,T. Johnson misses free throw 1 of 2,,56-48,,
10:35.0,Offensive rebound by Team,,56-48,,
10:35.0,Turnover by H. Whiteside (turnover),,56-48,,
10:25.0,,,56-48,,Turnover by W. Matthews (bad pass; steal by T. Johnson)
10:13.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Richardson),2,58-48,,
10:12.0,,,58-48,,Dallas full timeout
10:01.0,,,58-51,3,M. Kleber makes 3-pt shot from 23 ft (assist by W. Matthews)
9:42.0,H. Whiteside makes 2-pt shot from 9 ft (assist by J. Johnson),2,60-51,,
9:21.0,,,60-51,,D. Nowitzki misses 2-pt shot from 10 ft
9:18.0,Defensive rebound by G. Dragic,,60-51,,
8:55.0,H. Whiteside makes 2-pt shot from 6 ft (assist by J. Johnson),2,62-51,,
8:43.0,,,62-53,2,D. Smith makes 2-pt shot at rim
8:28.0,G. Dragic misses 2-pt shot from 12 ft,,62-53,,
8:26.0,,,62-53,,Defensive rebound by W. Matthews
8:08.0,,,62-55,2,M. Kleber makes 2-pt shot from 5 ft (assist by D. Nowitzki)
7:53.0,J. Richardson misses 3-pt shot from 24 ft,,62-55,,
7:50.0,,,62-55,,Defensive rebound by D. Smith
7:49.0,Personal take foul by G. Dragic (drawn by D. Smith),,62-55,,
7:35.0,,,62-55,,M. Kleber misses 2-pt shot from 3 ft (block by J. Richardson)
7:32.0,Defensive rebound by H. Whiteside,,62-55,,
7:32.0,,,62-55,,Personal foul by D. Smith (drawn by J. Richardson)
7:23.0,G. Dragic misses 2-pt shot from 13 ft,,62-55,,
7:21.0,,,62-55,,Defensive rebound by W. Matthews
7:16.0,,,62-55,,D. Nowitzki misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by Team,,62-55,,
7:00.0,H. Whiteside makes 2-pt shot from 10 ft (assist by T. Johnson),2,64-55,,
6:42.0,,,64-55,,D. Smith misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by Team,,64-55,,
6:42.0,,,64-55,,Y. Ferrell enters the game for M. Kleber
6:22.0,H. Whiteside makes 2-pt shot from 3 ft (assist by G. Dragic),2,66-55,,
6:22.0,,,66-55,,Dallas full timeout
6:22.0,,,66-55,,D. Harris enters the game for D. Smith
6:22.0,,,66-55,,S. Mejri enters the game for D. Nowitzki
6:06.0,Personal foul by T. Johnson (drawn by S. Mejri),,66-55,,
5:50.0,,,66-55,,D. Harris misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by T. Johnson,,66-55,,
5:29.0,G. Dragic makes 2-pt shot from 16 ft,2,68-55,,
5:22.0,Personal foul by J. Richardson (drawn by Y. Ferrell),,68-55,,
5:22.0,W. Ellington enters the game for J. Richardson,,68-55,,
5:13.0,,,68-55,,D. Harris misses 2-pt shot from 9 ft
5:08.0,Defensive rebound by H. Whiteside,,68-55,,
4:54.0,W. Ellington makes 3-pt shot from 23 ft (assist by G. Dragic),3,71-55,,
4:35.0,,,71-57,2,Y. Ferrell makes 2-pt shot from 16 ft
4:16.0,Turnover by J. Johnson (bad pass),,71-57,,
4:04.0,,,71-59,2,Y. Ferrell makes 2-pt shot from 15 ft (assist by S. Mejri)
4:02.0,Miami full timeout,,71-59,,
3:38.0,T. Johnson misses 3-pt shot from 24 ft,,71-59,,
3:34.0,,,71-59,,Defensive rebound by S. Mejri
3:30.0,,,71-59,,Y. Ferrell misses 2-pt shot from 1 ft (block by H. Whiteside)
3:27.0,,,71-59,,Offensive rebound by S. Mejri
3:21.0,,,71-61,2,S. Mejri makes 2-pt shot at rim
3:08.0,T. Johnson misses 2-pt shot at rim (block by D. Harris),,71-61,,
3:08.0,Offensive rebound by Team,,71-61,,
3:08.0,J. Winslow enters the game for G. Dragic,,71-61,,
3:08.0,B. Adebayo enters the game for H. Whiteside,,71-61,,
3:07.0,K. Olynyk enters the game for J. Johnson,,71-61,,
3:04.0,W. Ellington misses 3-pt shot from 24 ft,,71-61,,
3:01.0,,,71-61,,Defensive rebound by D. Harris
2:51.0,,,71-61,,W. Matthews misses 3-pt shot from 22 ft
2:49.0,Defensive rebound by K. Olynyk,,71-61,,
2:42.0,K. Olynyk misses 3-pt shot from 26 ft,,71-61,,
2:38.0,Offensive rebound by B. Adebayo,,71-61,,
2:38.0,B. Adebayo makes 2-pt shot at rim,2,73-61,,
2:21.0,,,73-61,,H. Barnes misses 2-pt shot at rim
2:21.0,Defensive rebound by Team,,73-61,,
2:11.0,J. Winslow makes 2-pt shot from 1 ft,2,75-61,,
1:53.0,Personal block foul by T. Johnson (drawn by D. Harris),,75-61,,
1:53.0,,,75-61,,D. Nowitzki enters the game for W. Matthews
1:53.0,,,75-61,,K. Collinsworth enters the game for H. Barnes
1:53.0,,,75-61,,D. Powell enters the game for S. Mejri
1:53.0,J. Richardson enters the game for T. Johnson,,75-61,,
1:47.0,,,75-61,,Y. Ferrell misses 2-pt shot from 22 ft
1:46.0,,,75-61,,Offensive rebound by Team
1:38.0,,,75-61,,Y. Ferrell misses 2-pt shot from 6 ft (block by B. Adebayo)
1:35.0,Defensive rebound by J. Richardson,,75-61,,
1:21.0,J. Richardson misses 2-pt shot from 18 ft,,75-61,,
1:18.0,,,75-61,,Defensive rebound by K. Collinsworth
0:59.0,,,75-61,,D. Nowitzki misses 2-pt shot from 19 ft
0:57.0,,,75-61,,Offensive rebound by D. Nowitzki
0:56.0,,,75-61,,D. Nowitzki misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by B. Adebayo,,75-61,,
0:40.0,Turnover by K. Olynyk (lost ball; steal by D. Nowitzki),,75-61,,
0:35.0,,,75-61,,K. Collinsworth misses 2-pt shot from 2 ft (block by J. Winslow)
0:32.0,,,75-61,,Offensive rebound by Y. Ferrell
0:24.0,,,75-61,,Y. Ferrell misses 2-pt shot from 22 ft
0:21.0,Defensive rebound by W. Ellington,,75-61,,
0:06.0,,,75-61,,Personal take foul by D. Harris (drawn by J. Richardson)
0:06.0,,,75-61,,M. Kleber enters the game for D. Nowitzki
0:00.0,Turnover by J. Richardson (lost ball; steal by D. Powell),,75-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,75-61,,D. Smith misses 2-pt shot from 14 ft (block by J. Richardson)
11:42.0,Defensive rebound by J. Richardson,,75-61,,
11:42.0,,,75-61,,Personal block foul by D. Harris (drawn by J. Richardson)
11:27.0,Turnover by W. Ellington (lost ball; steal by D. Smith),,75-61,,
11:19.0,,,75-61,,Shooting foul by J. Winslow (drawn by D. Smith)
11:19.0,,,75-62,1,D. Smith makes free throw 1 of 2
11:19.0,,,75-63,1,D. Smith makes free throw 2 of 2
11:06.0,J. Richardson misses 3-pt shot from 25 ft,,75-63,,
11:03.0,,,75-63,,Defensive rebound by D. Powell
10:58.0,,,75-63,,D. Harris misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by B. Adebayo,,75-63,,
10:47.0,B. Adebayo misses 2-pt shot from 1 ft,,75-63,,
10:46.0,,,75-63,,Defensive rebound by D. Nowitzki
10:35.0,,,75-63,,D. Smith misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by J. Winslow,,75-63,,
10:24.0,W. Ellington misses 3-pt shot from 24 ft,,75-63,,
10:20.0,Offensive rebound by B. Adebayo,,75-63,,
10:01.0,K. Olynyk makes 2-pt shot from 1 ft (assist by B. Adebayo),2,77-63,,
9:38.0,,,77-63,,D. Smith misses 2-pt shot at rim
9:38.0,Defensive rebound by Team,,77-63,,
9:24.0,Shooting foul by D. Smith (drawn by J. Richardson),,77-63,,
9:24.0,J. Richardson misses free throw 1 of 2,,77-63,,
9:24.0,Offensive rebound by Team,,77-63,,
9:24.0,,,77-63,,K. Collinsworth enters the game for D. Harris
9:24.0,J. Richardson makes free throw 2 of 2,1,78-63,,
9:07.0,,,78-65,2,D. Powell makes 2-pt shot from 20 ft (assist by Y. Ferrell)
8:46.0,K. Olynyk misses 3-pt shot from 25 ft,,78-65,,
8:43.0,,,78-65,,Defensive rebound by K. Collinsworth
8:38.0,,,78-65,,D. Nowitzki misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by K. Olynyk,,78-65,,
8:22.0,J. Winslow misses 3-pt shot from 23 ft,,78-65,,
8:18.0,,,78-65,,Defensive rebound by Y. Ferrell
8:13.0,,,78-68,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by Y. Ferrell)
7:55.0,,,78-68,,Personal foul by K. Collinsworth (drawn by K. Olynyk)
7:43.0,W. Ellington misses 3-pt shot from 23 ft,,78-68,,
7:40.0,Offensive rebound by K. Olynyk,,78-68,,
7:40.0,K. Olynyk makes 2-pt shot at rim,2,80-68,,
7:40.0,,,80-68,,Dallas full timeout
7:25.0,,,80-68,,Y. Ferrell misses 2-pt shot from 21 ft
7:20.0,Defensive rebound by W. Ellington,,80-68,,
7:04.0,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo),3,83-68,,
6:48.0,Personal block foul by J. Winslow (drawn by D. Smith),,83-68,,
6:48.0,,,83-68,,W. Matthews enters the game for K. Collinsworth
6:34.0,,,83-68,,D. Nowitzki misses 2-pt shot from 17 ft
6:31.0,Defensive rebound by W. Ellington,,83-68,,
6:10.0,J. Richardson makes 3-pt shot from 27 ft (assist by B. Adebayo),3,86-68,,
6:07.0,,,86-68,,Dallas full timeout
6:07.0,,,86-68,,H. Barnes enters the game for D. Nowitzki
5:53.0,,,86-68,,W. Matthews misses 2-pt shot at rim
5:53.0,,,86-68,,Offensive rebound by Team
5:51.0,,,86-70,2,H. Barnes makes 2-pt shot from 18 ft (assist by D. Smith)
5:40.0,,,86-70,,Personal foul by D. Smith (drawn by B. Adebayo)
5:29.0,Turnover by B. Adebayo (bad pass; steal by D. Powell),,86-70,,
5:21.0,,,86-73,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith)
5:20.0,Miami full timeout,,86-73,,
4:56.0,Turnover by J. Winslow (bad pass),,86-73,,
4:42.0,,,86-75,2,H. Barnes makes 2-pt shot from 20 ft (assist by D. Smith)
4:22.0,Offensive foul by J. Winslow (drawn by W. Matthews),,86-75,,
4:22.0,Turnover by J. Winslow (offensive foul),,86-75,,
4:22.0,J. Johnson enters the game for K. Olynyk,,86-75,,
4:22.0,G. Dragic enters the game for B. Adebayo,,86-75,,
4:22.0,H. Whiteside enters the game for J. Winslow,,86-75,,
4:13.0,,,86-75,,D. Smith misses 3-pt shot from 25 ft
4:11.0,,,86-75,,Offensive rebound by D. Powell
4:06.0,,,86-77,2,W. Matthews makes 2-pt shot from 9 ft
3:53.0,,,86-77,,Personal foul by D. Powell (drawn by H. Whiteside)
3:53.0,H. Whiteside makes free throw 1 of 2,1,87-77,,
3:53.0,H. Whiteside makes free throw 2 of 2,1,88-77,,
3:40.0,,,88-77,,Shooting foul by W. Ellington (drawn by D. Smith)
3:40.0,,,88-78,1,D. Smith makes free throw 1 of 2
3:40.0,,,88-79,1,D. Smith makes free throw 2 of 2
3:40.0,Miami full timeout,,88-79,,
3:19.0,Turnover by J. Richardson (lost ball; steal by W. Matthews),,88-79,,
3:19.0,Personal foul by J. Richardson (drawn by W. Matthews),,88-79,,
3:07.0,,,88-79,,H. Barnes misses 3-pt shot from 24 ft
3:06.0,,,88-79,,Offensive rebound by Team
3:06.0,Personal foul by G. Dragic (drawn by D. Smith),,88-79,,
3:06.0,,,88-79,,D. Smith misses free throw 1 of 2
3:06.0,,,88-79,,Offensive rebound by Team
3:06.0,T. Johnson enters the game for W. Ellington,,88-79,,
3:06.0,,,88-80,1,D. Smith makes free throw 2 of 2
2:53.0,,,88-80,,Personal foul by W. Matthews (drawn by J. Richardson)
2:53.0,J. Richardson makes free throw 1 of 2,1,89-80,,
2:53.0,J. Richardson misses free throw 2 of 2,,89-80,,
2:51.0,,,89-80,,Defensive rebound by D. Powell
2:40.0,,,89-82,2,D. Smith makes 2-pt shot at rim
2:28.0,,,89-82,,Personal foul by D. Powell (drawn by J. Johnson)
2:28.0,J. Johnson makes free throw 1 of 2,1,90-82,,
2:28.0,J. Johnson makes free throw 2 of 2,1,91-82,,
2:21.0,,,91-82,,Turnover by D. Smith (lost ball; steal by J. Richardson)
2:18.0,Turnover by T. Johnson (bad pass),,91-82,,
