time,Oklahoma City,pts.away,score,pts.home,Charlotte
5:21.0,J. Grant enters the game for T. Ferguson,,20-11,,
5:21.0,P. George makes free throw 2 of 2,1,21-11,,
5:09.0,,,21-11,,Turnover by N. Batum (turnover)
5:09.0,,,21-11,,Loose ball foul by N. Batum (drawn by J. Grant)
4:51.0,S. Adams misses 2-pt shot from 9 ft,,21-11,,
4:49.0,,,21-11,,Defensive rebound by M. Williams
4:41.0,,,21-13,2,K. Walker makes 2-pt shot from 1 ft
4:35.0,R. Westbrook misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,21-13,,
4:34.0,Offensive rebound by Team,,21-13,,
4:34.0,Oklahoma City full timeout,,21-13,,
4:34.0,,,21-13,,F. Kaminsky enters the game for M. Williams
4:30.0,R. Westbrook misses 2-pt shot from 21 ft,,21-13,,
4:30.0,Offensive rebound by P. George,,21-13,,
4:18.0,C. Anthony makes 2-pt shot from 19 ft,2,23-13,,
4:06.0,Personal foul by C. Anthony (drawn by D. Howard),,23-13,,
4:06.0,,,23-13,,D. Howard misses free throw 1 of 2
4:06.0,,,23-13,,Offensive rebound by Team
4:06.0,,,23-13,,D. Howard misses free throw 2 of 2
4:03.0,Defensive rebound by C. Anthony,,23-13,,
3:53.0,Offensive foul by S. Adams (drawn by N. Batum),,23-13,,
3:53.0,Turnover by S. Adams (offensive foul),,23-13,,
3:37.0,,,23-13,,Turnover by F. Kaminsky (bad pass; steal by R. Westbrook)
3:32.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,25-13,,
3:20.0,,,25-16,3,K. Walker makes 3-pt shot from 26 ft
2:58.0,Turnover by R. Westbrook (lost ball; steal by K. Walker),,25-16,,
2:56.0,,,25-16,,Shooting foul by J. Grant (drawn by K. Walker)
2:56.0,,,25-17,1,K. Walker makes free throw 1 of 2
2:56.0,J. Huestis enters the game for C. Anthony,,25-17,,
2:56.0,P. Patterson enters the game for S. Adams,,25-17,,
2:56.0,,,25-18,1,K. Walker makes free throw 2 of 2
2:44.0,Turnover by P. George (lost ball; steal by D. Howard),,25-18,,
2:39.0,,,25-20,2,K. Walker makes 2-pt shot from 1 ft
2:33.0,R. Westbrook makes 2-pt shot from 13 ft,2,27-20,,
2:33.0,Shooting foul by F. Kaminsky (drawn by R. Westbrook),,27-20,,
2:33.0,,,27-20,,J. Lamb enters the game for M. Kidd-Gilchrist
2:33.0,,,27-20,,M. Carter-Williams enters the game for K. Walker
2:33.0,R. Westbrook makes free throw 1 of 1,1,28-20,,
2:14.0,,,28-22,2,D. Howard makes 2-pt shot from 1 ft
2:04.0,R. Westbrook misses 2-pt shot from 1 ft (block by D. Howard),,28-22,,
2:01.0,,,28-22,,Defensive rebound by F. Kaminsky
1:45.0,Personal foul by P. George (drawn by D. Howard),,28-22,,
1:45.0,,,28-22,,D. Howard misses free throw 1 of 2
1:45.0,,,28-22,,Offensive rebound by Team
1:45.0,,,28-22,,T. Graham enters the game for N. Batum
1:45.0,R. Felton enters the game for R. Westbrook,,28-22,,
1:45.0,,,28-23,1,D. Howard makes free throw 2 of 2
1:29.0,P. Patterson misses 3-pt shot from 24 ft,,28-23,,
1:22.0,Offensive rebound by P. George,,28-23,,
1:14.0,P. George misses 2-pt shot from 6 ft (block by M. Carter-Williams),,28-23,,
1:11.0,,,28-23,,Defensive rebound by J. Lamb
1:05.0,,,28-23,,Shooting foul by P. Patterson (drawn by D. Howard)
1:05.0,,,28-24,1,F. Kaminsky makes technical free throw
1:05.0,,,28-25,1,D. Howard makes free throw 1 of 2
1:05.0,,,28-26,1,D. Howard makes free throw 2 of 2
0:56.0,Shooting foul by T. Graham (drawn by P. George),,28-26,,
0:56.0,P. George makes free throw 1 of 2,1,29-26,,
0:56.0,P. George misses free throw 2 of 2,,29-26,,
0:52.0,,,29-26,,Defensive rebound by D. Howard
0:33.0,,,29-26,,J. Lamb misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by R. Felton,,29-26,,
0:29.0,J. Grant makes 2-pt shot at rim (assist by R. Felton),2,31-26,,
0:12.0,,,31-28,2,F. Kaminsky makes 2-pt shot from 6 ft
0:03.0,Turnover by P. George (bad pass),,31-28,,
0:00.0,,,31-28,,M. Carter-Williams misses 3-pt shot from 31 ft
0:00.0,,,31-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,31-30,2,T. Graham makes 2-pt shot from 7 ft (assist by F. Kaminsky)
11:26.0,P. Patterson misses 2-pt shot from 5 ft,,31-30,,
11:23.0,,,31-30,,Defensive rebound by M. Carter-Williams
11:19.0,,,31-32,2,T. Graham makes 2-pt shot from 6 ft (assist by M. Carter-Williams)
11:19.0,,,31-32,,Shooting foul by J. Grant (drawn by T. Graham)
11:19.0,,,31-32,,T. Graham misses free throw 1 of 1
11:00.0,Defensive rebound by J. Grant,,31-32,,
11:00.0,J. Grant makes 2-pt shot from 2 ft (assist by P. Patterson),2,33-32,,
10:46.0,,,33-32,,M. Monk misses 3-pt shot from 22 ft
10:43.0,Defensive rebound by P. Patterson,,33-32,,
10:35.0,R. Felton misses 2-pt shot from 15 ft,,33-32,,
10:32.0,,,33-32,,Defensive rebound by T. Graham
10:25.0,,,33-32,,F. Kaminsky misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by R. Felton,,33-32,,
10:11.0,A. Abrines makes 3-pt shot from 23 ft (assist by J. Grant),3,36-32,,
9:55.0,,,36-34,2,M. Carter-Williams makes 2-pt shot from 2 ft
9:51.0,Oklahoma City full timeout,,36-34,,
9:38.0,A. Abrines misses 2-pt shot from 3 ft,,36-34,,
9:36.0,Offensive rebound by A. Abrines,,36-34,,
9:31.0,R. Felton misses 3-pt shot from 25 ft,,36-34,,
9:27.0,,,36-34,,Defensive rebound by F. Kaminsky
9:12.0,,,36-37,3,M. Monk makes 3-pt shot from 23 ft (assist by F. Kaminsky)
8:45.0,P. Patterson misses 2-pt shot from 8 ft,,36-37,,
8:44.0,Offensive rebound by Team,,36-37,,
8:44.0,R. Westbrook enters the game for J. Huestis,,36-37,,
8:38.0,A. Abrines misses 3-pt shot from 23 ft,,36-37,,
8:36.0,Offensive rebound by A. Abrines,,36-37,,
8:36.0,A. Abrines makes 2-pt shot from 1 ft,2,38-37,,
8:36.0,Shooting foul by T. Graham (drawn by A. Abrines),,38-37,,
8:36.0,A. Abrines makes free throw 1 of 1,1,39-37,,
8:19.0,,,39-39,2,M. Monk makes 2-pt shot from 19 ft
8:02.0,Shooting foul by F. Kaminsky (drawn by P. Patterson),,39-39,,
8:02.0,P. Patterson makes free throw 1 of 2,1,40-39,,
8:02.0,P. Patterson misses free throw 2 of 2,,40-39,,
7:58.0,,,40-39,,Defensive rebound by F. Kaminsky
7:46.0,,,40-39,,M. Monk misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by P. Patterson,,40-39,,
7:30.0,R. Felton misses 2-pt shot from 9 ft (block by J. Lamb),,40-39,,
7:30.0,Offensive rebound by R. Felton,,40-39,,
7:30.0,,,40-39,,Personal foul by M. Monk (drawn by R. Felton)
7:20.0,A. Abrines misses 2-pt shot from 18 ft,,40-39,,
7:18.0,,,40-39,,Defensive rebound by M. Monk
6:59.0,,,40-39,,F. Kaminsky misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by R. Westbrook,,40-39,,
6:49.0,R. Westbrook makes 2-pt shot from 14 ft,2,42-39,,
6:49.0,Shooting foul by M. Monk (drawn by R. Westbrook),,42-39,,
6:49.0,,,42-39,,M. Williams enters the game for M. Monk
6:49.0,,,42-39,,K. Walker enters the game for F. Kaminsky
6:49.0,S. Adams enters the game for J. Grant,,42-39,,
6:49.0,C. Anthony enters the game for P. Patterson,,42-39,,
6:49.0,,,42-39,,D. Howard enters the game for T. Graham
6:49.0,R. Westbrook misses free throw 1 of 1,,42-39,,
6:46.0,,,42-39,,Defensive rebound by D. Howard
6:30.0,,,42-39,,D. Howard misses 2-pt shot from 14 ft
6:26.0,Defensive rebound by C. Anthony,,42-39,,
6:22.0,R. Westbrook makes 2-pt shot from 1 ft,2,44-39,,
6:06.0,,,44-41,2,M. Williams makes 2-pt shot from 13 ft (assist by K. Walker)
5:52.0,C. Anthony misses 3-pt shot from 25 ft,,44-41,,
5:49.0,,,44-41,,Defensive rebound by M. Carter-Williams
5:47.0,,,44-43,2,M. Williams makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
5:47.0,,,44-43,,Shooting foul by A. Abrines (drawn by M. Williams)
5:47.0,,,44-43,,M. Kidd-Gilchrist enters the game for J. Lamb
5:47.0,,,44-43,,N. Batum enters the game for M. Carter-Williams
5:47.0,P. George enters the game for R. Felton,,44-43,,
5:47.0,,,44-44,1,M. Williams makes free throw 1 of 1
5:37.0,A. Abrines misses 2-pt shot from 4 ft (block by D. Howard),,44-44,,
5:34.0,,,44-44,,Defensive rebound by N. Batum
5:20.0,,,44-44,,K. Walker misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by A. Abrines,,44-44,,
5:05.0,S. Adams misses 2-pt shot from 11 ft,,44-44,,
5:02.0,,,44-44,,Defensive rebound by D. Howard
4:56.0,,,44-44,,N. Batum misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by C. Anthony,,44-44,,
4:48.0,C. Anthony misses 3-pt shot from 25 ft,,44-44,,
4:43.0,,,44-44,,Defensive rebound by M. Williams
4:35.0,,,44-44,,K. Walker misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by R. Westbrook,,44-44,,
4:22.0,P. George makes 2-pt shot from 18 ft (assist by S. Adams),2,46-44,,
4:05.0,T. Ferguson enters the game for A. Abrines,,46-44,,
3:56.0,,,46-44,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft (block by S. Adams)
3:56.0,,,46-44,,Offensive rebound by Team
3:56.0,,,46-44,,Turnover by Team (shot clock)
3:34.0,R. Westbrook misses 3-pt shot from 25 ft,,46-44,,
3:30.0,Offensive rebound by S. Adams,,46-44,,
3:30.0,S. Adams misses 2-pt shot from 1 ft (block by D. Howard),,46-44,,
3:30.0,,,46-44,,Defensive rebound by D. Howard
3:23.0,,,46-44,,Shooting foul by P. George (drawn by K. Walker)
3:23.0,,,46-44,,K. Walker misses free throw 1 of 2
3:23.0,,,46-44,,Offensive rebound by Team
3:23.0,,,46-45,1,K. Walker makes free throw 2 of 2
3:08.0,R. Westbrook makes 2-pt shot from 17 ft,2,48-45,,
2:48.0,,,48-47,2,M. Williams makes 2-pt shot from 10 ft
2:42.0,R. Westbrook makes 2-pt shot at rim,2,50-47,,
2:42.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Westbrook),,50-47,,
2:42.0,,,50-47,,Charlotte full timeout
2:42.0,R. Westbrook makes free throw 1 of 1,1,51-47,,
2:26.0,,,51-49,2,D. Howard makes 2-pt shot at rim (assist by M. Williams)
2:07.0,P. George misses 3-pt shot from 24 ft,,51-49,,
2:03.0,Offensive rebound by T. Ferguson,,51-49,,
1:58.0,T. Ferguson misses 3-pt shot from 22 ft,,51-49,,
1:55.0,,,51-49,,Defensive rebound by M. Williams
1:46.0,,,51-51,2,K. Walker makes 2-pt shot from 2 ft
1:30.0,P. George makes 2-pt shot at rim (assist by R. Westbrook),2,53-51,,
1:12.0,,,53-54,3,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum)
0:46.0,R. Westbrook makes 2-pt shot from 20 ft,2,55-54,,
0:30.0,,,55-54,,K. Walker misses 2-pt shot from 2 ft (block by S. Adams)
0:30.0,,,55-54,,Offensive rebound by D. Howard
0:30.0,,,55-56,2,D. Howard makes 2-pt shot at rim
0:30.0,Offensive foul by R. Westbrook (drawn by N. Batum),,55-56,,
0:30.0,Turnover by R. Westbrook (offensive foul),,55-56,,
0:15.0,,,55-59,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
0:01.0,R. Westbrook misses 3-pt shot from 26 ft,,55-59,,
0:01.0,,,55-59,,Defensive rebound by D. Howard
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,55-61,2,D. Howard makes 2-pt shot from 1 ft (assist by M. Williams)
11:34.0,C. Anthony misses 3-pt shot from 25 ft,,55-61,,
11:31.0,,,55-61,,Defensive rebound by D. Howard
11:23.0,,,55-61,,M. Williams misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by Team,,55-61,,
11:07.0,S. Adams misses 2-pt shot from 2 ft,,55-61,,
11:02.0,Offensive rebound by S. Adams,,55-61,,
11:02.0,S. Adams makes 2-pt shot at rim,2,57-61,,
10:50.0,,,57-61,,K. Walker misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by P. George,,57-61,,
10:43.0,Shooting foul by K. Walker (drawn by R. Westbrook),,57-61,,
10:43.0,R. Westbrook makes free throw 1 of 2,1,58-61,,
10:43.0,R. Westbrook misses free throw 2 of 2,,58-61,,
10:38.0,Offensive rebound by R. Westbrook,,58-61,,
10:30.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,60-61,,
10:08.0,,,60-61,,M. Kidd-Gilchrist misses 2-pt shot from 12 ft
10:06.0,Defensive rebound by C. Anthony,,60-61,,
9:54.0,R. Westbrook misses 2-pt shot from 19 ft,,60-61,,
9:50.0,,,60-61,,Defensive rebound by M. Kidd-Gilchrist
9:45.0,,,60-64,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
9:29.0,P. George misses 2-pt shot from 11 ft,,60-64,,
9:26.0,Offensive rebound by S. Adams,,60-64,,
9:24.0,P. George misses 3-pt shot from 25 ft,,60-64,,
9:21.0,,,60-64,,Defensive rebound by Team
9:13.0,,,60-64,,Turnover by K. Walker (bad pass)
8:54.0,R. Westbrook misses 2-pt shot from 13 ft,,60-64,,
8:51.0,,,60-64,,Defensive rebound by M. Williams
8:43.0,,,60-64,,K. Walker misses 2-pt shot from 2 ft
8:41.0,,,60-64,,Offensive rebound by D. Howard
8:39.0,,,60-64,,N. Batum misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by C. Anthony,,60-64,,
8:32.0,C. Anthony makes 2-pt shot from 15 ft,2,62-64,,
8:15.0,,,62-64,,M. Williams misses 3-pt shot from 23 ft
8:12.0,Defensive rebound by C. Anthony,,62-64,,
8:06.0,C. Anthony misses 2-pt shot from 20 ft,,62-64,,
8:03.0,,,62-64,,Defensive rebound by N. Batum
7:58.0,,,62-64,,Turnover by M. Kidd-Gilchrist (lost ball; steal by S. Adams)
7:52.0,Shooting foul by K. Walker (drawn by R. Westbrook),,62-64,,
7:52.0,R. Westbrook makes free throw 1 of 2,1,63-64,,
7:52.0,R. Westbrook makes free throw 2 of 2,1,64-64,,
7:38.0,,,64-66,2,N. Batum makes 2-pt shot from 12 ft
7:18.0,T. Ferguson misses 3-pt shot from 25 ft,,64-66,,
7:16.0,,,64-66,,Defensive rebound by M. Williams
7:09.0,,,64-66,,N. Batum misses 3-pt shot from 24 ft (block by P. George)
7:05.0,Defensive rebound by C. Anthony,,64-66,,
6:57.0,C. Anthony misses 2-pt shot from 8 ft,,64-66,,
6:57.0,Offensive rebound by C. Anthony,,64-66,,
6:57.0,Shooting foul by D. Howard (drawn by C. Anthony),,64-66,,
6:57.0,,,64-66,,Charlotte full timeout
6:57.0,C. Anthony makes free throw 1 of 2,1,65-66,,
6:57.0,C. Anthony misses free throw 2 of 2,,65-66,,
6:52.0,Offensive rebound by P. George,,65-66,,
6:49.0,R. Westbrook misses 2-pt shot from 11 ft,,65-66,,
6:47.0,,,65-66,,Defensive rebound by M. Kidd-Gilchrist
6:37.0,Personal foul by T. Ferguson (drawn by N. Batum),,65-66,,
6:34.0,,,65-66,,Turnover by N. Batum (bad pass)
6:19.0,C. Anthony makes 2-pt shot from 19 ft,2,67-66,,
6:06.0,,,67-66,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
6:06.0,Defensive rebound by R. Westbrook,,67-66,,
5:53.0,C. Anthony misses 2-pt shot from 17 ft,,67-66,,
5:53.0,,,67-66,,Defensive rebound by D. Howard
5:38.0,,,67-66,,K. Walker misses 3-pt shot from 25 ft
5:38.0,Defensive rebound by S. Adams,,67-66,,
5:31.0,C. Anthony misses 3-pt shot from 26 ft,,67-66,,
5:31.0,Offensive rebound by S. Adams,,67-66,,
5:19.0,P. George misses 2-pt shot from 15 ft,,67-66,,
5:16.0,,,67-66,,Defensive rebound by M. Williams
5:14.0,Personal foul by S. Adams (drawn by K. Walker),,67-66,,
5:14.0,,,67-66,,T. Graham enters the game for M. Williams
5:14.0,J. Grant enters the game for T. Ferguson,,67-66,,
5:04.0,,,67-66,,D. Howard misses 2-pt shot from 2 ft (block by S. Adams)
5:03.0,Defensive rebound by S. Adams,,67-66,,
5:02.0,,,67-66,,Personal foul by D. Howard (drawn by S. Adams)
5:02.0,Oklahoma City full timeout,,67-66,,
4:49.0,Turnover by S. Adams (out of bounds lost ball),,67-66,,
4:25.0,,,67-66,,M. Kidd-Gilchrist misses 2-pt shot from 10 ft
4:21.0,Defensive rebound by R. Westbrook,,67-66,,
4:19.0,Turnover by R. Westbrook (bad pass),,67-66,,
3:59.0,,,67-66,,K. Walker misses 2-pt shot from 2 ft (block by R. Westbrook)
3:59.0,,,67-66,,Offensive rebound by Team
3:59.0,,,67-66,,J. Lamb enters the game for M. Kidd-Gilchrist
3:55.0,,,67-66,,N. Batum misses 2-pt shot from 20 ft
3:52.0,Defensive rebound by R. Westbrook,,67-66,,
3:43.0,P. George misses 2-pt shot from 18 ft,,67-66,,
3:39.0,Offensive rebound by S. Adams,,67-66,,
3:36.0,Offensive foul by S. Adams (drawn by T. Graham),,67-66,,
3:36.0,Turnover by S. Adams (offensive foul),,67-66,,
3:22.0,,,67-66,,Turnover by T. Graham (step out of bounds)
3:22.0,,,67-66,,F. Kaminsky enters the game for D. Howard
3:22.0,P. Patterson enters the game for S. Adams,,67-66,,
3:09.0,R. Westbrook misses 2-pt shot from 2 ft,,67-66,,
3:06.0,Offensive rebound by R. Westbrook,,67-66,,
3:05.0,R. Westbrook makes 2-pt shot from 1 ft,2,69-66,,
2:47.0,,,69-68,2,N. Batum makes 2-pt shot from 16 ft
2:31.0,P. Patterson misses 3-pt shot from 25 ft,,69-68,,
2:26.0,,,69-68,,Defensive rebound by T. Graham
2:20.0,,,69-68,,J. Lamb misses 2-pt shot from 2 ft (block by J. Grant)
2:17.0,Defensive rebound by C. Anthony,,69-68,,
2:07.0,C. Anthony misses 2-pt shot from 9 ft,,69-68,,
2:04.0,,,69-68,,Defensive rebound by J. Lamb
1:54.0,,,69-71,3,K. Walker makes 3-pt shot from 25 ft
1:33.0,R. Westbrook misses 3-pt shot from 26 ft,,69-71,,
1:30.0,,,69-71,,Defensive rebound by F. Kaminsky
1:17.0,,,69-71,,K. Walker misses 2-pt shot from 16 ft
1:12.0,,,69-71,,Offensive rebound by F. Kaminsky
1:12.0,,,69-73,2,F. Kaminsky makes 2-pt shot at rim
1:01.0,P. Patterson misses 2-pt shot from 7 ft,,69-73,,
0:59.0,Offensive rebound by P. Patterson,,69-73,,
0:59.0,Shooting foul by T. Graham (drawn by P. Patterson),,69-73,,
0:59.0,P. Patterson makes free throw 1 of 2,1,70-73,,
0:59.0,,,70-73,,M. Carter-Williams enters the game for N. Batum
0:59.0,,,70-73,,M. Monk enters the game for K. Walker
0:59.0,J. Huestis enters the game for R. Westbrook,,70-73,,
0:59.0,R. Felton enters the game for C. Anthony,,70-73,,
0:59.0,P. Patterson makes free throw 2 of 2,1,71-73,,
0:49.0,Personal foul by P. Patterson (drawn by M. Carter-Williams),,71-73,,
0:34.0,,,71-73,,T. Graham misses 2-pt shot from 11 ft
0:31.0,Defensive rebound by P. Patterson,,71-73,,
0:16.0,P. George makes 2-pt shot from 1 ft,2,73-73,,
0:00.0,,,73-76,3,M. Carter-Williams makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,R. Felton misses 2-pt shot from 19 ft,,73-76,,
11:36.0,,,73-76,,Defensive rebound by J. Lamb
11:30.0,,,73-76,,J. Lamb misses 2-pt shot from 1 ft
11:24.0,,,73-76,,Offensive rebound by M. Carter-Williams
11:24.0,,,73-78,2,M. Carter-Williams makes 2-pt shot at rim
11:14.0,J. Huestis makes 3-pt shot from 23 ft (assist by R. Felton),3,76-78,,
10:47.0,,,76-78,,F. Kaminsky misses 2-pt shot from 19 ft
10:44.0,Defensive rebound by P. Patterson,,76-78,,
10:37.0,A. Abrines makes 3-pt shot from 23 ft (assist by R. Felton),3,79-78,,
10:25.0,,,79-80,2,J. Lamb makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
10:25.0,,,79-80,,Shooting foul by J. Huestis (drawn by J. Lamb)
10:25.0,,,79-80,,J. Lamb misses free throw 1 of 1
10:25.0,Defensive rebound by J. Huestis,,79-80,,
10:10.0,P. Patterson makes 3-pt shot from 23 ft (assist by R. Felton),3,82-80,,
9:45.0,,,82-80,,Turnover by M. Carter-Williams (bad pass; steal by J. Huestis)
9:38.0,Shooting foul by F. Kaminsky (drawn by J. Grant),,82-80,,
9:38.0,J. Grant makes free throw 1 of 2,1,83-80,,
9:38.0,J. Grant makes free throw 2 of 2,1,84-80,,
9:25.0,,,84-80,,M. Monk misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by J. Grant,,84-80,,
9:09.0,R. Felton misses 2-pt shot from 2 ft,,84-80,,
9:03.0,Offensive rebound by R. Felton,,84-80,,
9:03.0,R. Felton makes 2-pt shot at rim,2,86-80,,
8:47.0,,,86-80,,J. Lamb misses 2-pt shot from 2 ft (block by J. Huestis)
8:44.0,Defensive rebound by J. Grant,,86-80,,
8:34.0,J. Huestis misses 3-pt shot from 25 ft,,86-80,,
8:31.0,,,86-80,,Defensive rebound by T. Graham
8:22.0,,,86-82,2,J. Lamb makes 2-pt shot from 1 ft (assist by M. Monk)
8:02.0,R. Felton makes 2-pt shot from 1 ft,2,88-82,,
7:42.0,,,88-84,2,J. Lamb makes 2-pt shot from 12 ft
7:18.0,J. Grant makes 3-pt shot from 26 ft (assist by R. Felton),3,91-84,,
6:56.0,,,91-84,,F. Kaminsky misses 3-pt shot from 25 ft
6:52.0,,,91-84,,Offensive rebound by J. Lamb
6:49.0,,,91-84,,J. Lamb misses 2-pt shot from 11 ft
6:46.0,Defensive rebound by J. Huestis,,91-84,,
6:38.0,R. Felton makes 2-pt shot from 15 ft,2,93-84,,
6:35.0,,,93-84,,Charlotte full timeout
6:35.0,,,93-84,,M. Williams enters the game for M. Monk
6:35.0,,,93-84,,K. Walker enters the game for J. Lamb
6:35.0,,,93-84,,M. Kidd-Gilchrist enters the game for M. Carter-Williams
6:35.0,,,93-84,,D. Howard enters the game for T. Graham
6:35.0,,,93-84,,N. Batum enters the game for F. Kaminsky
6:35.0,S. Adams enters the game for J. Grant,,93-84,,
6:35.0,C. Anthony enters the game for J. Huestis,,93-84,,
6:35.0,R. Westbrook enters the game for P. Patterson,,93-84,,
6:20.0,,,93-84,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
6:17.0,Defensive rebound by R. Westbrook,,93-84,,
6:07.0,R. Felton makes 2-pt shot from 10 ft,2,95-84,,
5:42.0,,,95-84,,K. Walker misses 2-pt shot from 3 ft
5:42.0,,,95-84,,Offensive rebound by Team
5:42.0,Loose ball foul by R. Felton (drawn by D. Howard),,95-84,,
5:42.0,P. George enters the game for A. Abrines,,95-84,,
5:36.0,,,95-84,,N. Batum misses 3-pt shot from 22 ft
5:31.0,Defensive rebound by C. Anthony,,95-84,,
5:21.0,R. Felton misses 2-pt shot from 16 ft,,95-84,,
5:16.0,,,95-84,,Defensive rebound by M. Williams
5:13.0,Personal foul by R. Felton (drawn by K. Walker),,95-84,,
