time,Memphis,pts.away,score,pts.home,Dallas
8:34.0,,,5-6,,J. Barea misses 3-pt shot from 26 ft
8:31.0,Defensive rebound by J. Green,,5-6,,
8:21.0,J. Green misses 2-pt shot from 20 ft,,5-6,,
8:17.0,,,5-6,,Defensive rebound by J. Barea
8:09.0,,,5-6,,W. Matthews misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by J. Martin,,5-6,,
7:59.0,K. Simmons misses 2-pt shot from 4 ft,,5-6,,
7:59.0,,,5-6,,Defensive rebound by D. Nowitzki
7:52.0,,,5-6,,D. Nowitzki misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by J. Green,,5-6,,
7:42.0,D. Brooks misses 2-pt shot from 11 ft,,5-6,,
7:42.0,,,5-6,,Defensive rebound by H. Barnes
7:42.0,,,5-6,,Dallas full timeout
7:17.0,,,5-6,,W. Matthews misses 2-pt shot from 6 ft
7:15.0,Defensive rebound by B. McLemore,,5-6,,
7:12.0,Shooting foul by W. Matthews (drawn by B. McLemore),,5-6,,
7:12.0,B. McLemore misses free throw 1 of 2,,5-6,,
7:12.0,Offensive rebound by Team,,5-6,,
7:12.0,,,5-6,,S. Mejri enters the game for D. Nowitzki
7:12.0,,,5-6,,D. Finney-Smith enters the game for D. Powell
7:12.0,,,5-6,,Y. Ferrell enters the game for W. Matthews
7:12.0,B. McLemore makes free throw 2 of 2,1,6-6,,
6:54.0,,,6-8,2,J. Barea makes 2-pt shot from 12 ft
6:39.0,B. McLemore misses 3-pt shot from 25 ft,,6-8,,
6:36.0,,,6-8,,Defensive rebound by J. Barea
6:28.0,,,6-10,2,J. Barea makes 2-pt shot from 21 ft
6:17.0,Turnover by D. Brooks (traveling),,6-10,,
6:17.0,D. Davis enters the game for J. Martin,,6-10,,
6:17.0,X. Rathan-Mayes enters the game for K. Simmons,,6-10,,
5:58.0,,,6-12,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
5:41.0,J. Green misses 2-pt shot from 15 ft,,6-12,,
5:41.0,,,6-12,,Defensive rebound by S. Mejri
5:30.0,,,6-14,2,J. Barea makes 2-pt shot from 20 ft
5:27.0,Memphis full timeout,,6-14,,
5:27.0,,,6-14,,D. McDermott enters the game for J. Barea
5:27.0,J. Martin enters the game for B. McLemore,,6-14,,
5:12.0,J. Green misses 2-pt shot from 8 ft,,6-14,,
5:10.0,,,6-14,,Defensive rebound by S. Mejri
5:01.0,,,6-14,,Turnover by Y. Ferrell (bad pass; steal by J. Green)
4:59.0,Shooting foul by Y. Ferrell (drawn by J. Green),,6-14,,
4:59.0,J. Green makes free throw 1 of 2,1,7-14,,
4:59.0,C. Parsons enters the game for D. Brooks,,7-14,,
4:59.0,J. Green makes free throw 2 of 2,1,8-14,,
4:40.0,,,8-14,,H. Barnes misses 3-pt shot from 26 ft
4:34.0,Defensive rebound by X. Rathan-Mayes,,8-14,,
4:27.0,,,8-14,,Personal foul by D. McDermott (drawn by C. Parsons)
4:27.0,,,8-14,,M. Kleber enters the game for S. Mejri
4:20.0,X. Rathan-Mayes misses 3-pt shot from 25 ft,,8-14,,
4:16.0,,,8-14,,Defensive rebound by D. McDermott
4:08.0,,,8-16,2,D. McDermott makes 2-pt shot from 17 ft
3:45.0,J. Green misses 2-pt shot from 17 ft,,8-16,,
3:43.0,,,8-16,,Defensive rebound by D. McDermott
3:37.0,,,8-18,2,Y. Ferrell makes 2-pt shot from 18 ft
3:21.0,J. Martin misses 2-pt shot from 17 ft,,8-18,,
3:19.0,Offensive rebound by J. Green,,8-18,,
3:18.0,J. Martin makes 2-pt shot from 2 ft (assist by J. Green),2,10-18,,
3:18.0,Shooting foul by D. Finney-Smith (drawn by J. Martin),,10-18,,
3:18.0,K. Simmons enters the game for J. Green,,10-18,,
3:18.0,J. Martin misses free throw 1 of 1,,10-18,,
3:16.0,,,10-18,,Defensive rebound by M. Kleber
3:06.0,,,10-18,,Turnover by M. Kleber (offensive goaltending)
2:50.0,C. Parsons makes 3-pt shot from 26 ft (assist by K. Simmons),3,13-18,,
2:32.0,,,13-20,2,D. McDermott makes 2-pt shot from 21 ft (assist by Y. Ferrell)
2:24.0,Turnover by X. Rathan-Mayes (bad pass),,13-20,,
2:12.0,,,13-23,3,D. McDermott makes 3-pt shot from 25 ft (assist by Y. Ferrell)
1:54.0,J. Martin misses 2-pt shot from 18 ft,,13-23,,
1:52.0,,,13-23,,Defensive rebound by Y. Ferrell
1:41.0,,,13-23,,D. McDermott misses 3-pt shot from 25 ft
1:38.0,,,13-23,,Offensive rebound by D. Finney-Smith
1:37.0,,,13-25,2,D. Finney-Smith makes 2-pt shot from 1 ft
1:24.0,C. Parsons misses 3-pt shot from 27 ft,,13-25,,
1:21.0,Offensive rebound by K. Simmons,,13-25,,
1:13.0,K. Simmons misses 2-pt shot from 5 ft (block by D. Finney-Smith),,13-25,,
1:12.0,,,13-25,,Defensive rebound by H. Barnes
1:00.0,Personal foul by X. Rathan-Mayes (drawn by H. Barnes),,13-25,,
0:52.0,,,13-27,2,M. Kleber makes 2-pt shot from 3 ft (assist by Y. Ferrell)
0:43.0,C. Parsons misses 2-pt shot from 12 ft,,13-27,,
0:41.0,,,13-27,,Defensive rebound by M. Kleber
0:32.0,,,13-27,,Shooting foul by K. Simmons (drawn by Y. Ferrell)
0:32.0,,,13-28,1,Y. Ferrell makes free throw 1 of 2
0:32.0,,,13-29,1,Y. Ferrell makes free throw 2 of 2
0:21.0,J. Martin misses 2-pt shot from 21 ft,,13-29,,
0:19.0,,,13-29,,Defensive rebound by D. McDermott
0:01.0,,,13-29,,Shooting foul by J. Martin (drawn by H. Barnes)
0:01.0,,,13-30,1,H. Barnes makes free throw 1 of 2
0:01.0,,,13-31,1,H. Barnes makes free throw 2 of 2
0:00.0,X. Rathan-Mayes misses 3-pt shot from 41 ft,,13-31,,
0:00.0,Offensive rebound by Team,,13-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Davis misses 2-pt shot from 16 ft,,13-31,,
11:38.0,,,13-31,,Defensive rebound by D. Powell
11:26.0,,,13-31,,W. Matthews misses 2-pt shot from 21 ft
11:23.0,Defensive rebound by B. McLemore,,13-31,,
11:17.0,Turnover by I. Rabb (out of bounds lost ball),,13-31,,
11:08.0,,,13-31,,Shooting foul by K. Simmons (drawn by J. Barea)
11:08.0,,,13-32,1,J. Barea makes free throw 1 of 2
11:08.0,,,13-33,1,J. Barea makes free throw 2 of 2
10:55.0,Turnover by I. Rabb (lost ball; steal by D. Powell),,13-33,,
10:50.0,,,13-33,,Y. Ferrell misses 3-pt shot from 24 ft
10:48.0,Defensive rebound by Team,,13-33,,
10:48.0,,,13-33,,K. Collinsworth enters the game for Y. Ferrell
10:31.0,I. Rabb makes 2-pt shot from 16 ft (assist by C. Parsons),2,15-33,,
10:16.0,,,15-33,,D. Nowitzki misses 3-pt shot from 25 ft
10:13.0,,,15-33,,Offensive rebound by D. Powell
10:07.0,,,15-33,,D. Nowitzki misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by D. Davis,,15-33,,
9:57.0,,,15-33,,Personal foul by K. Collinsworth (drawn by B. McLemore)
9:47.0,Turnover by B. McLemore (bad pass),,15-33,,
9:35.0,,,15-33,,D. Nowitzki misses 2-pt shot from 18 ft
9:33.0,,,15-33,,Offensive rebound by Team
9:33.0,J. Green enters the game for D. Davis,,15-33,,
9:33.0,D. Brooks enters the game for C. Parsons,,15-33,,
9:20.0,,,15-33,,Shooting foul by I. Rabb (drawn by D. Powell)
9:20.0,,,15-34,1,D. Powell makes free throw 1 of 2
9:20.0,,,15-35,1,D. Powell makes free throw 2 of 2
9:10.0,D. Brooks misses 2-pt shot from 20 ft,,15-35,,
9:06.0,,,15-35,,Defensive rebound by D. Powell
8:58.0,,,15-37,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
8:37.0,D. Brooks makes 2-pt shot from 5 ft (assist by J. Green),2,17-37,,
8:25.0,,,17-39,2,J. Barea makes 2-pt shot from 3 ft
8:24.0,Memphis full timeout,,17-39,,
8:24.0,J. Martin enters the game for K. Simmons,,17-39,,
8:24.0,X. Rathan-Mayes enters the game for I. Rabb,,17-39,,
8:11.0,J. Green makes 2-pt shot from 17 ft (assist by B. McLemore),2,19-39,,
7:49.0,,,19-39,,Turnover by J. Barea (bad pass)
7:38.0,J. Green misses 2-pt shot from 19 ft,,19-39,,
7:35.0,,,19-39,,Defensive rebound by K. Collinsworth
7:28.0,,,19-39,,D. Nowitzki misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by B. McLemore,,19-39,,
7:20.0,D. Brooks makes 2-pt shot from 8 ft (assist by B. McLemore),2,21-39,,
7:05.0,,,21-39,,K. Collinsworth misses 2-pt shot from 4 ft
7:03.0,Defensive rebound by J. Green,,21-39,,
6:59.0,D. Brooks misses 3-pt shot from 27 ft,,21-39,,
6:57.0,,,21-39,,Defensive rebound by J. Barea
6:49.0,Personal foul by X. Rathan-Mayes (drawn by D. Nowitzki),,21-39,,
6:49.0,K. Simmons enters the game for D. Brooks,,21-39,,
6:40.0,,,21-39,,Shooting foul by J. Martin (drawn by D. Powell)
6:40.0,,,21-40,1,D. Powell makes free throw 1 of 2
6:40.0,,,21-40,,Y. Ferrell enters the game for J. Barea
6:40.0,,,21-40,,D. Finney-Smith enters the game for K. Collinsworth
6:40.0,,,21-40,,H. Barnes enters the game for D. Nowitzki
6:40.0,,,21-41,1,D. Powell makes free throw 2 of 2
6:23.0,Shooting foul by D. Finney-Smith (drawn by J. Martin),,21-41,,
6:23.0,J. Martin makes free throw 1 of 2,1,22-41,,
6:23.0,,,22-41,,M. Kleber enters the game for D. Powell
6:23.0,J. Martin makes free throw 2 of 2,1,23-41,,
6:03.0,,,23-44,3,D. Finney-Smith makes 3-pt shot from 24 ft (assist by W. Matthews)
5:44.0,Turnover by J. Martin (lost ball; steal by H. Barnes),,23-44,,
5:39.0,,,23-44,,Y. Ferrell misses 2-pt shot from 3 ft (block by B. McLemore)
5:35.0,Defensive rebound by B. McLemore,,23-44,,
5:35.0,J. Martin misses 2-pt shot from 2 ft (block by W. Matthews),,23-44,,
5:34.0,Offensive rebound by Team,,23-44,,
5:33.0,Turnover by K. Simmons (step out of bounds),,23-44,,
5:19.0,,,23-44,,Shooting foul by X. Rathan-Mayes (drawn by W. Matthews)
5:19.0,,,23-44,,W. Matthews misses free throw 1 of 2
5:19.0,,,23-44,,Offensive rebound by Team
5:19.0,D. Brooks enters the game for X. Rathan-Mayes,,23-44,,
5:19.0,,,23-45,1,W. Matthews makes free throw 2 of 2
5:04.0,J. Green makes 2-pt shot from 2 ft,2,25-45,,
4:55.0,,,25-45,,Y. Ferrell misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by J. Martin,,25-45,,
4:43.0,D. Brooks misses 2-pt shot from 17 ft,,25-45,,
4:41.0,,,25-45,,Defensive rebound by H. Barnes
4:35.0,,,25-45,,Shooting foul by J. Green (drawn by H. Barnes)
4:35.0,,,25-46,1,H. Barnes makes free throw 1 of 2
4:35.0,,,25-46,,D. McDermott enters the game for W. Matthews
4:35.0,,,25-46,,H. Barnes misses free throw 2 of 2
4:32.0,Defensive rebound by J. Martin,,25-46,,
4:17.0,J. Green makes 2-pt shot from 6 ft,2,27-46,,
4:17.0,Shooting foul by M. Kleber (drawn by J. Green),,27-46,,
4:17.0,,,27-46,,Dallas full timeout
4:17.0,J. Green makes free throw 1 of 1,1,28-46,,
3:59.0,,,28-46,,Turnover by D. McDermott (lost ball; steal by D. Brooks)
3:42.0,Turnover by J. Green (bad pass; steal by D. Finney-Smith),,28-46,,
3:22.0,,,28-46,,D. Finney-Smith misses 2-pt shot from 22 ft
3:19.0,Defensive rebound by B. McLemore,,28-46,,
2:59.0,J. Green misses 2-pt shot from 16 ft,,28-46,,
2:59.0,,,28-46,,Defensive rebound by H. Barnes
2:50.0,,,28-48,2,H. Barnes makes 2-pt shot from 5 ft
2:50.0,,,28-48,,Shooting foul by J. Martin (drawn by H. Barnes)
2:50.0,,,28-48,,W. Matthews enters the game for D. Finney-Smith
2:50.0,,,28-49,1,H. Barnes makes free throw 1 of 1
2:34.0,K. Simmons makes 2-pt shot from 5 ft (assist by J. Martin),2,30-49,,
2:20.0,,,30-49,,H. Barnes misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by K. Simmons,,30-49,,
2:04.0,D. Brooks misses 2-pt shot from 4 ft (block by D. McDermott),,30-49,,
2:00.0,,,30-49,,Defensive rebound by H. Barnes
1:59.0,,,30-49,,Shooting foul by J. Green (drawn by H. Barnes)
1:59.0,,,30-50,1,H. Barnes makes free throw 1 of 2
1:59.0,,,30-50,,D. Finney-Smith enters the game for D. McDermott
1:59.0,D. Davis enters the game for J. Martin,,30-50,,
1:59.0,,,30-51,1,H. Barnes makes free throw 2 of 2
1:38.0,D. Davis misses 2-pt shot from 8 ft,,30-51,,
1:34.0,,,30-51,,Defensive rebound by M. Kleber
1:30.0,,,30-51,,Shooting foul by B. McLemore (drawn by M. Kleber)
1:30.0,,,30-52,1,M. Kleber makes free throw 1 of 2
1:30.0,,,30-52,,M. Kleber misses free throw 2 of 2
1:28.0,Defensive rebound by B. McLemore,,30-52,,
1:12.0,,,30-52,,Personal foul by H. Barnes (drawn by J. Green)
1:03.0,K. Simmons misses 3-pt shot from 24 ft,,30-52,,
1:01.0,Offensive rebound by D. Brooks,,30-52,,
1:01.0,D. Brooks misses 2-pt shot from 8 ft,,30-52,,
1:00.0,,,30-52,,Defensive rebound by Team
0:58.0,Loose ball foul by J. Green (drawn by H. Barnes),,30-52,,
0:58.0,,,30-53,1,H. Barnes makes free throw 1 of 2
0:58.0,I. Rabb enters the game for J. Green,,30-53,,
0:58.0,,,30-54,1,H. Barnes makes free throw 2 of 2
0:39.0,D. Brooks misses 2-pt shot from 8 ft,,30-54,,
0:37.0,,,30-54,,Defensive rebound by H. Barnes
0:32.0,,,30-54,,D. Finney-Smith misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by D. Brooks,,30-54,,
0:23.0,Turnover by D. Brooks (bad pass; steal by W. Matthews),,30-54,,
0:07.0,,,30-54,,Shooting foul by I. Rabb (drawn by H. Barnes)
0:07.0,,,30-55,1,H. Barnes makes free throw 1 of 2
0:07.0,,,30-56,1,H. Barnes makes free throw 2 of 2
0:00.0,K. Simmons misses 2-pt shot from 6 ft,,30-56,,
0:00.0,,,30-56,,Defensive rebound by M. Kleber
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,J. Martin makes 2-pt shot from 23 ft (assist by C. Parsons),2,32-56,,
11:25.0,,,32-56,,D. Nowitzki misses 3-pt shot from 26 ft
11:22.0,Defensive rebound by D. Brooks,,32-56,,
11:06.0,J. Martin misses 2-pt shot from 18 ft,,32-56,,
11:03.0,,,32-56,,Defensive rebound by J. Barea
10:57.0,,,32-56,,D. Nowitzki misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by D. Brooks,,32-56,,
10:50.0,Shooting foul by W. Matthews (drawn by D. Brooks),,32-56,,
10:50.0,D. Brooks makes free throw 1 of 2,1,33-56,,
10:50.0,D. Brooks makes free throw 2 of 2,1,34-56,,
10:28.0,,,34-59,3,J. Barea makes 3-pt shot from 25 ft (assist by D. Nowitzki)
10:12.0,C. Parsons misses 2-pt shot from 4 ft,,34-59,,
10:09.0,,,34-59,,Defensive rebound by D. Powell
9:51.0,,,34-62,3,W. Matthews makes 3-pt shot from 25 ft
9:35.0,,,34-62,,Personal foul by D. Powell (drawn by J. Green)
9:31.0,J. Green makes 2-pt shot from 1 ft (assist by C. Parsons),2,36-62,,
9:15.0,,,36-64,2,H. Barnes makes 2-pt shot from 8 ft
9:01.0,C. Parsons misses 2-pt shot from 14 ft,,36-64,,
8:57.0,,,36-64,,Defensive rebound by W. Matthews
8:51.0,,,36-64,,W. Matthews misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by D. Brooks,,36-64,,
8:44.0,Shooting foul by D. Nowitzki (drawn by J. Martin),,36-64,,
8:44.0,J. Martin makes free throw 1 of 2,1,37-64,,
8:44.0,J. Martin makes free throw 2 of 2,1,38-64,,
8:26.0,,,38-64,,H. Barnes misses 2-pt shot from 13 ft
8:24.0,Defensive rebound by J. Green,,38-64,,
8:19.0,C. Parsons misses 3-pt shot from 24 ft,,38-64,,
8:15.0,Offensive rebound by D. Brooks,,38-64,,
8:13.0,Turnover by J. Martin (traveling),,38-64,,
8:13.0,,,38-64,,Dallas full timeout
7:54.0,,,38-67,3,J. Barea makes 3-pt shot from 25 ft (assist by W. Matthews)
7:42.0,C. Parsons makes 3-pt shot from 24 ft,3,41-67,,
7:28.0,,,41-69,2,J. Barea makes 2-pt shot from 7 ft
7:20.0,,,41-69,,Personal foul by J. Barea (drawn by C. Parsons)
7:08.0,D. Brooks makes 2-pt shot from 10 ft,2,43-69,,
6:45.0,,,43-69,,Turnover by J. Barea (lost ball; steal by B. McLemore)
6:40.0,D. Brooks makes 2-pt shot at rim (assist by B. McLemore),2,45-69,,
6:22.0,Personal foul by D. Brooks (drawn by H. Barnes),,45-69,,
6:22.0,,,45-69,,D. Finney-Smith enters the game for W. Matthews
6:22.0,,,45-69,,Y. Ferrell enters the game for D. Nowitzki
6:22.0,,,45-69,,M. Kleber enters the game for J. Barea
6:08.0,,,45-69,,M. Kleber misses 3-pt shot from 26 ft
6:05.0,Defensive rebound by C. Parsons,,45-69,,
6:00.0,C. Parsons makes 3-pt shot from 25 ft,3,48-69,,
5:39.0,,,48-71,2,H. Barnes makes 2-pt shot from 7 ft
5:24.0,J. Martin makes 2-pt shot from 2 ft (assist by C. Parsons),2,50-71,,
5:09.0,Personal foul by C. Parsons (drawn by H. Barnes),,50-71,,
5:09.0,,,50-71,,D. McDermott enters the game for D. Powell
4:58.0,,,50-71,,Offensive foul by H. Barnes (drawn by J. Martin)
4:58.0,,,50-71,,Turnover by H. Barnes (offensive foul)
4:47.0,Shooting foul by D. Finney-Smith (drawn by D. Brooks),,50-71,,
4:47.0,D. Brooks makes free throw 1 of 2,1,51-71,,
4:47.0,K. Simmons enters the game for J. Martin,,51-71,,
4:47.0,D. Brooks makes free throw 2 of 2,1,52-71,,
4:32.0,,,52-73,2,H. Barnes makes 2-pt shot from 5 ft
4:13.0,Turnover by D. Brooks (bad pass; steal by M. Kleber),,52-73,,
4:10.0,,,52-73,,Shooting foul by J. Green (drawn by D. Finney-Smith)
4:10.0,,,52-74,1,D. Finney-Smith makes free throw 1 of 2
4:10.0,X. Rathan-Mayes enters the game for C. Parsons,,52-74,,
4:10.0,,,52-75,1,D. Finney-Smith makes free throw 2 of 2
3:50.0,J. Green makes 3-pt shot from 24 ft (assist by D. Brooks),3,55-75,,
3:36.0,,,55-78,3,H. Barnes makes 3-pt shot from 26 ft (assist by Y. Ferrell)
3:24.0,J. Green misses 2-pt shot from 5 ft,,55-78,,
3:19.0,,,55-78,,Defensive rebound by Y. Ferrell
3:13.0,,,55-78,,Y. Ferrell misses 2-pt shot from 21 ft
3:10.0,Defensive rebound by J. Green,,55-78,,
3:01.0,X. Rathan-Mayes makes 2-pt shot from 20 ft,2,57-78,,
2:46.0,,,57-78,,Shooting foul by X. Rathan-Mayes (drawn by M. Kleber)
2:46.0,Memphis full timeout,,57-78,,
2:46.0,D. Davis enters the game for J. Green,,57-78,,
2:46.0,I. Rabb enters the game for B. McLemore,,57-78,,
2:46.0,J. Martin enters the game for X. Rathan-Mayes,,57-78,,
2:46.0,,,57-79,1,M. Kleber makes free throw 1 of 2
2:46.0,,,57-80,1,M. Kleber makes free throw 2 of 2
2:25.0,J. Martin makes 3-pt shot from 26 ft (assist by I. Rabb),3,60-80,,
2:00.0,,,60-82,2,H. Barnes makes 2-pt shot from 10 ft
1:45.0,I. Rabb makes 2-pt shot from 4 ft,2,62-82,,
1:45.0,Shooting foul by D. McDermott (drawn by I. Rabb),,62-82,,
1:45.0,I. Rabb makes free throw 1 of 1,1,63-82,,
1:26.0,,,63-82,,H. Barnes misses 2-pt shot from 8 ft
1:24.0,,,63-82,,Offensive rebound by M. Kleber
1:22.0,,,63-82,,Y. Ferrell misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by I. Rabb,,63-82,,
1:13.0,J. Martin misses 2-pt shot from 11 ft,,63-82,,
1:13.0,,,63-82,,Defensive rebound by D. Finney-Smith
1:05.0,,,63-82,,D. Finney-Smith misses 3-pt shot from 24 ft
1:05.0,,,63-82,,Offensive rebound by D. Finney-Smith
1:01.0,Personal foul by J. Martin (drawn by D. McDermott),,63-82,,
1:01.0,,,63-83,1,D. McDermott makes free throw 1 of 2
1:01.0,,,63-83,,W. Matthews enters the game for D. Finney-Smith
1:01.0,B. McLemore enters the game for J. Martin,,63-83,,
1:01.0,,,63-84,1,D. McDermott makes free throw 2 of 2
0:49.0,D. Brooks misses 2-pt shot from 19 ft,,63-84,,
0:49.0,,,63-84,,Defensive rebound by Team
0:33.0,,,63-84,,D. McDermott misses 2-pt shot from 12 ft
0:33.0,Defensive rebound by D. Davis,,63-84,,
0:22.0,I. Rabb misses 2-pt shot from 8 ft,,63-84,,
0:22.0,,,63-84,,Defensive rebound by M. Kleber
0:05.0,,,63-84,,H. Barnes misses 2-pt shot from 4 ft
0:04.0,,,63-84,,Offensive rebound by M. Kleber
0:01.0,,,63-84,,M. Kleber misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by I. Rabb,,63-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,63-87,3,D. McDermott makes 3-pt shot from 25 ft (assist by Y. Ferrell)
11:30.0,B. McLemore makes 2-pt shot from 18 ft (assist by D. Davis),2,65-87,,
11:08.0,,,65-87,,Y. Ferrell misses 3-pt shot from 22 ft
11:05.0,Defensive rebound by D. Davis,,65-87,,
10:57.0,D. Brooks makes 3-pt shot from 25 ft,3,68-87,,
10:39.0,,,68-89,2,D. Powell makes 2-pt shot from 1 ft (assist by J. Barea)
10:21.0,I. Rabb misses 2-pt shot from 14 ft,,68-89,,
10:19.0,Offensive rebound by I. Rabb,,68-89,,
10:19.0,,,68-89,,Personal foul by W. Matthews (drawn by I. Rabb)
10:07.0,D. Brooks makes 2-pt shot from 4 ft,2,70-89,,
10:07.0,,,70-89,,Violation by D. Powell (def goaltending)
9:51.0,,,70-91,2,D. McDermott makes 2-pt shot from 8 ft (assist by J. Barea)
9:36.0,D. Brooks misses 2-pt shot from 6 ft,,70-91,,
9:36.0,,,70-91,,Defensive rebound by W. Matthews
9:30.0,,,70-93,2,W. Matthews makes 2-pt shot from 19 ft
9:15.0,K. Simmons misses 2-pt shot from 17 ft,,70-93,,
9:13.0,,,70-93,,Defensive rebound by D. Powell
8:52.0,Personal foul by K. Simmons (drawn by W. Matthews),,70-93,,
8:52.0,,,70-93,,K. Collinsworth enters the game for Y. Ferrell
8:52.0,J. Green enters the game for I. Rabb,,70-93,,
8:52.0,J. Martin enters the game for D. Brooks,,70-93,,
8:45.0,,,70-93,,J. Barea misses 2-pt shot from 6 ft
8:43.0,,,70-93,,Offensive rebound by D. Powell
8:41.0,,,70-93,,Turnover by D. Powell (out of bounds lost ball)
8:32.0,B. McLemore makes 2-pt shot from 22 ft (assist by J. Martin),2,72-93,,
8:29.0,,,72-93,,Dallas full timeout
8:29.0,,,72-93,,M. Kleber enters the game for W. Matthews
8:14.0,,,72-93,,D. Powell misses 2-pt shot from 4 ft (block by B. McLemore)
8:13.0,,,72-93,,Offensive rebound by D. Powell
8:11.0,,,72-93,,Shooting foul by B. McLemore (drawn by D. Powell)
8:11.0,,,72-94,1,D. Powell makes free throw 1 of 2
8:11.0,,,72-94,,D. Powell misses free throw 2 of 2
8:08.0,Defensive rebound by D. Davis,,72-94,,
7:52.0,K. Simmons misses 2-pt shot from 17 ft,,72-94,,
7:48.0,,,72-94,,Defensive rebound by D. McDermott
7:30.0,,,72-94,,Offensive foul by J. Barea (drawn by K. Simmons)
7:30.0,,,72-94,,Turnover by J. Barea (offensive foul)
7:20.0,Turnover by B. McLemore (lost ball; steal by K. Collinsworth),,72-94,,
6:58.0,,,72-94,,J. Barea misses 3-pt shot from 25 ft
6:55.0,Defensive rebound by J. Green,,72-94,,
6:47.0,J. Martin misses 3-pt shot from 25 ft,,72-94,,
6:44.0,,,72-94,,Defensive rebound by K. Collinsworth
6:31.0,,,72-96,2,J. Barea makes 2-pt shot from 6 ft
6:23.0,J. Green misses 3-pt shot from 25 ft,,72-96,,
6:20.0,,,72-96,,Defensive rebound by D. McDermott
6:06.0,,,72-96,,Shooting foul by D. Davis (drawn by D. McDermott)
6:06.0,,,72-96,,D. McDermott misses free throw 1 of 2
6:06.0,,,72-96,,Offensive rebound by Team
6:06.0,,,72-96,,Y. Ferrell enters the game for J. Barea
6:06.0,I. Rabb enters the game for J. Green,,72-96,,
6:06.0,X. Rathan-Mayes enters the game for J. Martin,,72-96,,
6:06.0,,,72-97,1,D. McDermott makes free throw 2 of 2
5:51.0,X. Rathan-Mayes misses 3-pt shot from 24 ft,,72-97,,
5:47.0,,,72-97,,Defensive rebound by K. Collinsworth
5:38.0,,,72-97,,K. Collinsworth misses 2-pt shot from 7 ft (block by B. McLemore)
5:37.0,Defensive rebound by I. Rabb,,72-97,,
5:36.0,Turnover by I. Rabb (bad pass; steal by D. Powell),,72-97,,
5:35.0,,,72-97,,Turnover by D. Powell (bad pass; steal by K. Simmons)
5:31.0,D. Davis makes 2-pt shot from 1 ft (assist by K. Simmons),2,74-97,,
