time,Brooklyn,pts.away,score,pts.home,Philadelphia
7:24.0,D. Russell makes 3-pt shot from 23 ft (assist by J. Harris),3,11-13,,
7:08.0,,,11-13,,B. Simmons misses 2-pt shot from 6 ft
7:02.0,Defensive rebound by R. Hollis-Jefferson,,11-13,,
6:55.0,,,11-13,,Personal foul by R. Covington (drawn by J. Allen)
6:55.0,,,11-13,,Philadelphia full timeout
6:55.0,,,11-13,,R. Holmes enters the game for J. Embiid
6:55.0,,,11-13,,J. Anderson enters the game for R. Covington
6:44.0,J. Harris misses 3-pt shot from 25 ft,,11-13,,
6:38.0,Offensive rebound by J. Allen,,11-13,,
6:33.0,Turnover by J. Harris (bad pass; steal by D. Saric),,11-13,,
6:24.0,,,11-13,,R. Holmes misses 2-pt shot from 12 ft
6:21.0,Defensive rebound by R. Hollis-Jefferson,,11-13,,
6:16.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft (block by M. Belinelli),,11-13,,
6:16.0,Offensive rebound by Team,,11-13,,
6:06.0,D. Carroll makes 2-pt shot from 3 ft (assist by D. Russell),2,13-13,,
5:50.0,,,13-13,,J. Anderson misses 2-pt shot from 6 ft (block by D. Russell)
5:50.0,,,13-13,,Offensive rebound by Team
5:50.0,S. Dinwiddie enters the game for J. Harris,,13-13,,
5:50.0,D. Cunningham enters the game for J. Allen,,13-13,,
5:41.0,,,13-13,,Offensive foul by B. Simmons (drawn by D. Carroll)
5:41.0,,,13-13,,Turnover by B. Simmons (offensive foul)
5:31.0,D. Russell makes 3-pt shot from 25 ft (assist by D. Cunningham),3,16-13,,
5:29.0,,,16-13,,Philadelphia full timeout
5:16.0,,,16-13,,Turnover by M. Belinelli (bad pass; steal by D. Russell)
5:03.0,D. Cunningham misses 3-pt shot from 23 ft,,16-13,,
4:58.0,,,16-13,,Defensive rebound by D. Saric
4:54.0,Personal foul by S. Dinwiddie (drawn by B. Simmons),,16-13,,
4:54.0,C. LeVert enters the game for D. Carroll,,16-13,,
4:54.0,Q. Acy enters the game for R. Hollis-Jefferson,,16-13,,
4:44.0,,,16-13,,D. Saric misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by D. Russell,,16-13,,
4:37.0,D. Russell makes 2-pt shot from 17 ft,2,18-13,,
4:28.0,,,18-16,3,J. Anderson makes 3-pt shot from 27 ft (assist by B. Simmons)
4:15.0,D. Russell misses 3-pt shot from 26 ft,,18-16,,
4:14.0,,,18-16,,Defensive rebound by Team
4:14.0,,,18-16,,E. Ilyasova enters the game for D. Saric
4:04.0,,,18-16,,J. Anderson misses 3-pt shot from 23 ft
4:04.0,,,18-16,,Offensive rebound by Team
4:04.0,Loose ball foul by Q. Acy (drawn by E. Ilyasova),,18-16,,
4:04.0,,,18-16,,J. Redick enters the game for M. Belinelli
4:04.0,,,18-16,,T. McConnell enters the game for B. Simmons
3:58.0,,,18-16,,J. Redick misses 2-pt shot from 18 ft
3:55.0,Defensive rebound by D. Russell,,18-16,,
3:47.0,,,18-16,,Def 3 sec tech foul by R. Holmes
3:47.0,S. Dinwiddie makes technical free throw,1,19-16,,
3:42.0,C. LeVert misses 2-pt shot from 18 ft,,19-16,,
3:38.0,Offensive rebound by Q. Acy,,19-16,,
3:27.0,D. Cunningham makes 3-pt shot from 22 ft (assist by S. Dinwiddie),3,22-16,,
3:16.0,,,22-18,2,J. Redick makes 2-pt shot from 2 ft (assist by R. Holmes)
3:02.0,D. Cunningham makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,25-18,,
2:50.0,,,25-21,3,J. Anderson makes 3-pt shot from 25 ft (assist by E. Ilyasova)
2:32.0,D. Russell misses 2-pt shot from 14 ft,,25-21,,
2:29.0,,,25-21,,Defensive rebound by R. Holmes
2:19.0,,,25-24,3,J. Anderson makes 3-pt shot from 25 ft (assist by T. McConnell)
2:17.0,Brooklyn full timeout,,25-24,,
2:17.0,,,25-24,,J. Embiid enters the game for R. Holmes
2:17.0,J. Harris enters the game for D. Russell,,25-24,,
2:02.0,S. Dinwiddie makes 2-pt shot from 2 ft (assist by C. LeVert),2,27-24,,
1:46.0,,,27-26,2,J. Embiid makes 2-pt shot from 18 ft (assist by E. Ilyasova)
1:29.0,Q. Acy misses 3-pt shot from 25 ft,,27-26,,
1:26.0,,,27-26,,Defensive rebound by J. Redick
1:25.0,Personal foul by Q. Acy (drawn by J. Embiid),,27-26,,
1:25.0,,,27-27,1,J. Embiid makes free throw 1 of 2
1:25.0,,,27-28,1,J. Embiid makes free throw 2 of 2
1:05.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,29-28,,
0:52.0,,,29-30,2,J. Redick makes 2-pt shot from 23 ft (assist by E. Ilyasova)
0:41.0,Q. Acy misses 3-pt shot from 25 ft,,29-30,,
0:38.0,,,29-30,,Defensive rebound by J. Anderson
0:31.0,,,29-30,,T. McConnell misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by S. Dinwiddie,,29-30,,
0:15.0,,,29-30,,Technical foul by J. Embiid (drawn by S. Dinwiddie)
0:15.0,S. Dinwiddie makes flagrant free throw 1 of 2,1,30-30,,
0:15.0,,,30-30,,R. Covington enters the game for J. Embiid
0:15.0,S. Dinwiddie misses flagrant free throw 2 of 2,,30-30,,
0:14.0,Offensive rebound by Team,,30-30,,
0:02.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,33-30,,
0:00.0,,,33-30,,T. McConnell misses 3-pt shot from 50 ft
0:00.0,,,33-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,33-33,3,J. Redick makes 3-pt shot from 26 ft (assist by R. Covington)
11:23.0,C. LeVert misses 2-pt shot from 2 ft,,33-33,,
11:21.0,,,33-33,,Defensive rebound by J. Embiid
11:03.0,,,33-33,,J. Embiid misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by D. Carroll,,33-33,,
11:02.0,,,33-33,,Loose ball foul by J. Embiid (drawn by Q. Acy)
10:46.0,Shooting foul by R. Covington (drawn by J. Harris),,33-33,,
10:46.0,J. Harris makes free throw 1 of 2,1,34-33,,
10:46.0,,,34-33,,J. Anderson enters the game for R. Covington
10:46.0,D. Cunningham enters the game for Q. Acy,,34-33,,
10:46.0,J. Harris makes free throw 2 of 2,1,35-33,,
10:33.0,,,35-33,,J. Embiid misses 2-pt shot from 2 ft
10:32.0,,,35-33,,Offensive rebound by J. Embiid
10:29.0,,,35-33,,J. Embiid misses 2-pt shot at rim
10:29.0,Defensive rebound by Team,,35-33,,
10:28.0,Brooklyn full timeout,,35-33,,
10:28.0,J. Okafor enters the game for D. Cunningham,,35-33,,
10:28.0,Jump ball: J. Embiid vs. C. LeVert (D. Carroll gains possession),,,,Jump ball: J. Embiid vs. C. LeVert (D. Carroll gains possession)
10:10.0,J. Okafor misses 2-pt shot from 12 ft,,35-33,,
10:07.0,,,35-33,,Defensive rebound by J. Anderson
9:54.0,,,35-33,,J. Embiid misses 2-pt shot from 7 ft
9:54.0,Defensive rebound by D. Carroll,,35-33,,
9:36.0,D. Carroll misses 2-pt shot from 11 ft,,35-33,,
9:34.0,Offensive rebound by Team,,35-33,,
9:34.0,,,35-33,,D. Saric enters the game for J. Redick
9:34.0,,,35-33,,M. Belinelli enters the game for E. Ilyasova
9:31.0,J. Okafor makes 2-pt shot from 1 ft (assist by J. Harris),2,37-33,,
9:16.0,,,37-33,,D. Saric misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by D. Carroll,,37-33,,
9:08.0,Shooting foul by J. Anderson (drawn by D. Carroll),,37-33,,
9:08.0,D. Carroll misses free throw 1 of 2,,37-33,,
9:08.0,Offensive rebound by Team,,37-33,,
9:08.0,,,37-33,,B. Simmons enters the game for T. McConnell
9:08.0,D. Carroll makes free throw 2 of 2,1,38-33,,
8:49.0,,,38-33,,J. Anderson misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by D. Carroll,,38-33,,
8:43.0,Turnover by D. Carroll (bad pass; steal by J. Anderson),,38-33,,
8:30.0,,,38-33,,J. Embiid misses 3-pt shot from 25 ft
8:26.0,Defensive rebound by C. LeVert,,38-33,,
8:20.0,D. Carroll misses 3-pt shot from 25 ft,,38-33,,
8:18.0,,,38-33,,Defensive rebound by J. Embiid
8:11.0,,,38-33,,M. Belinelli misses 2-pt shot from 3 ft
8:11.0,Defensive rebound by J. Harris,,38-33,,
7:56.0,C. LeVert makes 2-pt shot from 1 ft,2,40-33,,
7:46.0,,,40-33,,J. Embiid misses 3-pt shot from 25 ft
7:44.0,Defensive rebound by J. Harris,,40-33,,
7:27.0,C. LeVert makes 3-pt shot from 25 ft (assist by J. Harris),3,43-33,,
7:25.0,,,43-33,,Philadelphia full timeout
7:25.0,,,43-33,,R. Holmes enters the game for J. Anderson
7:25.0,,,43-33,,T. McConnell enters the game for J. Embiid
7:13.0,,,43-33,,M. Belinelli misses 3-pt shot from 25 ft
7:10.0,,,43-33,,Offensive rebound by B. Simmons
7:08.0,,,43-33,,T. McConnell misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Okafor,,43-33,,
6:44.0,C. LeVert makes 3-pt shot from 25 ft,3,46-33,,
6:34.0,,,46-33,,B. Simmons misses 2-pt shot from 9 ft
6:31.0,Defensive rebound by D. Carroll,,46-33,,
6:22.0,S. Dinwiddie misses 3-pt shot from 25 ft,,46-33,,
6:18.0,,,46-33,,Defensive rebound by D. Saric
6:06.0,,,46-33,,D. Saric misses 2-pt shot from 5 ft
6:04.0,,,46-33,,Offensive rebound by D. Saric
6:03.0,,,46-35,2,D. Saric makes 2-pt shot from 2 ft
5:46.0,J. Okafor makes 2-pt shot from 8 ft,2,48-35,,
5:32.0,,,48-37,2,B. Simmons makes 2-pt shot from 1 ft (assist by T. McConnell)
5:18.0,J. Okafor makes 2-pt shot from 12 ft,2,50-37,,
4:59.0,,,50-39,2,T. McConnell makes 2-pt shot from 13 ft
4:41.0,J. Okafor misses 2-pt shot from 11 ft,,50-39,,
4:39.0,,,50-39,,Defensive rebound by D. Saric
4:33.0,,,50-39,,T. McConnell misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by J. Okafor,,50-39,,
4:10.0,C. LeVert misses 2-pt shot from 3 ft,,50-39,,
4:06.0,Offensive rebound by J. Okafor,,50-39,,
4:06.0,J. Okafor misses 2-pt shot at rim,,50-39,,
4:06.0,Offensive rebound by Team,,50-39,,
4:06.0,,,50-39,,Loose ball foul by R. Holmes (drawn by C. LeVert)
4:06.0,,,50-39,,E. Ilyasova enters the game for R. Holmes
4:06.0,,,50-39,,J. Redick enters the game for T. McConnell
4:06.0,D. Russell enters the game for J. Okafor,,50-39,,
4:06.0,R. Hollis-Jefferson enters the game for S. Dinwiddie,,50-39,,
4:06.0,J. Allen enters the game for C. LeVert,,50-39,,
3:58.0,J. Allen misses 2-pt shot from 7 ft,,50-39,,
3:56.0,,,50-39,,Defensive rebound by E. Ilyasova
3:45.0,,,50-39,,B. Simmons misses 2-pt shot from 8 ft
3:42.0,Defensive rebound by D. Carroll,,50-39,,
3:24.0,D. Carroll misses 2-pt shot from 3 ft,,50-39,,
3:22.0,,,50-39,,Defensive rebound by J. Redick
3:19.0,,,50-41,2,B. Simmons makes 2-pt shot from 2 ft (assist by J. Redick)
3:01.0,J. Allen makes 2-pt shot from 1 ft (assist by R. Hollis-Jefferson),2,52-41,,
2:50.0,,,52-41,,J. Redick misses 2-pt shot from 23 ft
2:48.0,Defensive rebound by D. Carroll,,52-41,,
2:38.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by D. Russell),2,54-41,,
2:23.0,,,54-43,2,E. Ilyasova makes 2-pt shot from 23 ft (assist by M. Belinelli)
2:02.0,R. Hollis-Jefferson makes 2-pt shot from 8 ft (assist by J. Harris),2,56-43,,
1:50.0,,,56-45,2,D. Saric makes 2-pt shot from 20 ft (assist by B. Simmons)
1:29.0,Turnover by D. Russell (step out of bounds),,56-45,,
1:29.0,,,56-45,,J. Embiid enters the game for D. Saric
1:29.0,C. LeVert enters the game for D. Carroll,,56-45,,
1:29.0,S. Dinwiddie enters the game for J. Harris,,56-45,,
1:21.0,,,56-45,,Shooting foul by S. Dinwiddie (drawn by E. Ilyasova)
1:21.0,,,56-46,1,E. Ilyasova makes free throw 1 of 2
1:21.0,,,56-47,1,E. Ilyasova makes free throw 2 of 2
1:12.0,D. Russell misses 3-pt shot from 25 ft,,56-47,,
1:09.0,,,56-47,,Defensive rebound by J. Embiid
1:01.0,,,56-49,2,M. Belinelli makes 2-pt shot from 3 ft (assist by B. Simmons)
0:36.0,C. LeVert makes 2-pt shot from 3 ft (assist by R. Hollis-Jefferson),2,58-49,,
0:31.0,,,58-52,3,M. Belinelli makes 3-pt shot from 26 ft (assist by B. Simmons)
0:10.0,D. Russell misses 2-pt shot from 19 ft,,58-52,,
0:08.0,,,58-52,,Defensive rebound by J. Embiid
0:02.0,,,58-55,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Simmons)
0:00.0,R. Hollis-Jefferson misses 3-pt shot from 43 ft,,58-55,,
0:00.0,Offensive rebound by Team,,58-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,58-55,,J. Embiid misses 2-pt shot from 5 ft (block by J. Allen)
11:40.0,,,58-55,,Offensive rebound by B. Simmons
11:38.0,,,58-55,,B. Simmons misses 2-pt shot from 3 ft
11:38.0,Defensive rebound by D. Russell,,58-55,,
11:31.0,D. Carroll misses 2-pt shot from 20 ft,,58-55,,
11:28.0,,,58-55,,Defensive rebound by B. Simmons
11:26.0,,,58-57,2,B. Simmons makes 2-pt shot from 1 ft
11:26.0,,,58-57,,Shooting foul by J. Harris (drawn by B. Simmons)
11:26.0,,,58-58,1,B. Simmons makes free throw 1 of 1
11:13.0,J. Allen misses 2-pt shot from 4 ft,,58-58,,
11:09.0,Offensive rebound by J. Allen,,58-58,,
11:09.0,J. Allen misses 2-pt shot at rim,,58-58,,
11:08.0,,,58-58,,Defensive rebound by D. Saric
11:07.0,,,58-60,2,B. Simmons makes 2-pt shot from 6 ft
11:07.0,,,58-60,,Shooting foul by R. Hollis-Jefferson (drawn by B. Simmons)
11:07.0,,,58-60,,B. Simmons misses free throw 1 of 1
11:03.0,Defensive rebound by J. Allen,,58-60,,
10:57.0,Turnover by R. Hollis-Jefferson (out of bounds lost ball),,58-60,,
10:45.0,,,58-60,,Turnover by B. Simmons (lost ball; steal by R. Hollis-Jefferson)
10:44.0,,,58-60,,Violation by J. Embiid (kicked ball)
10:33.0,D. Russell misses 2-pt shot from 12 ft,,58-60,,
10:30.0,,,58-60,,Defensive rebound by B. Simmons
10:26.0,,,58-60,,R. Covington misses 3-pt shot from 27 ft
10:23.0,Defensive rebound by R. Hollis-Jefferson,,58-60,,
10:17.0,D. Russell misses 3-pt shot from 25 ft,,58-60,,
10:17.0,Offensive rebound by Team,,58-60,,
10:06.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,58-60,,
10:04.0,,,58-60,,Defensive rebound by J. Embiid
9:52.0,,,58-60,,J. Embiid misses 2-pt shot from 13 ft
9:50.0,Defensive rebound by R. Hollis-Jefferson,,58-60,,
9:34.0,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Saric),,58-60,,
9:30.0,,,58-60,,J. Redick misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by D. Carroll,,58-60,,
9:05.0,D. Carroll makes 3-pt shot from 27 ft,3,61-60,,
9:05.0,,,61-60,,Philadelphia full timeout
8:48.0,,,61-60,,J. Redick misses 2-pt shot from 4 ft
8:43.0,,,61-60,,Offensive rebound by J. Embiid
8:43.0,,,61-60,,J. Embiid misses 2-pt shot at rim
8:43.0,,,61-60,,Offensive rebound by J. Embiid
8:41.0,,,61-60,,Turnover by J. Embiid (lost ball; steal by D. Carroll)
8:29.0,D. Russell misses 2-pt shot from 10 ft,,61-60,,
8:26.0,,,61-60,,Defensive rebound by J. Redick
8:14.0,,,61-63,3,D. Saric makes 3-pt shot from 26 ft (assist by R. Covington)
7:54.0,J. Harris misses 2-pt shot from 4 ft,,61-63,,
7:53.0,Offensive rebound by R. Hollis-Jefferson,,61-63,,
7:53.0,Shooting foul by R. Covington (drawn by R. Hollis-Jefferson),,61-63,,
7:53.0,R. Hollis-Jefferson makes free throw 1 of 2,1,62-63,,
7:53.0,,,62-63,,M. Belinelli enters the game for J. Redick
7:53.0,R. Hollis-Jefferson makes free throw 2 of 2,1,63-63,,
7:34.0,,,63-65,2,B. Simmons makes 2-pt shot from 13 ft
7:11.0,Turnover by J. Harris (bad pass; steal by J. Embiid),,63-65,,
7:00.0,,,63-68,3,J. Embiid makes 3-pt shot from 27 ft (assist by B. Simmons)
7:00.0,,,63-68,,J. Anderson enters the game for R. Covington
7:00.0,Brooklyn full timeout,,63-68,,
6:44.0,Shooting foul by J. Anderson (drawn by R. Hollis-Jefferson),,63-68,,
6:44.0,R. Hollis-Jefferson misses free throw 1 of 2,,63-68,,
6:44.0,Offensive rebound by Team,,63-68,,
6:44.0,,,63-68,,R. Holmes enters the game for J. Embiid
6:44.0,R. Hollis-Jefferson makes free throw 2 of 2,1,64-68,,
6:31.0,,,64-68,,D. Saric misses 2-pt shot from 1 ft (block by J. Allen)
6:28.0,,,64-68,,Offensive rebound by R. Holmes
6:21.0,,,64-70,2,J. Anderson makes 2-pt shot from 14 ft (assist by R. Holmes)
6:09.0,D. Russell misses 2-pt shot from 7 ft,,64-70,,
6:09.0,Offensive rebound by R. Hollis-Jefferson,,64-70,,
6:03.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,66-70,,
5:50.0,,,66-72,2,R. Holmes makes 2-pt shot from 6 ft
5:45.0,D. Carroll makes 2-pt shot from 6 ft (assist by R. Hollis-Jefferson),2,68-72,,
5:36.0,,,68-72,,D. Saric misses 3-pt shot from 24 ft
5:36.0,Defensive rebound by J. Allen,,68-72,,
5:23.0,D. Carroll makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,71-72,,
5:07.0,,,71-74,2,B. Simmons makes 2-pt shot from 14 ft
4:42.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,73-74,,
4:26.0,,,73-74,,D. Saric misses 2-pt shot from 4 ft
4:26.0,Defensive rebound by R. Hollis-Jefferson,,73-74,,
4:20.0,Shooting foul by J. Anderson (drawn by D. Carroll),,73-74,,
4:20.0,D. Carroll misses free throw 1 of 3,,73-74,,
4:20.0,Offensive rebound by Team,,73-74,,
4:20.0,D. Carroll makes free throw 2 of 3,1,74-74,,
4:20.0,,,74-74,,J. Redick enters the game for J. Anderson
4:20.0,,,74-74,,J. Embiid enters the game for D. Saric
4:20.0,,,74-74,,E. Ilyasova enters the game for R. Holmes
4:20.0,J. Okafor enters the game for J. Harris,,74-74,,
4:20.0,S. Dinwiddie enters the game for R. Hollis-Jefferson,,74-74,,
4:20.0,Q. Acy enters the game for J. Allen,,74-74,,
4:20.0,D. Carroll makes free throw 3 of 3,1,75-74,,
4:07.0,,,75-74,,J. Embiid misses 2-pt shot from 3 ft (block by J. Okafor)
4:07.0,,,75-74,,Offensive rebound by J. Embiid
4:07.0,,,75-74,,Shooting foul by J. Okafor (drawn by J. Embiid)
4:07.0,,,75-75,1,J. Embiid makes free throw 1 of 2
4:07.0,C. LeVert enters the game for D. Carroll,,75-75,,
4:07.0,,,75-76,1,J. Embiid makes free throw 2 of 2
3:46.0,S. Dinwiddie misses 2-pt shot from 1 ft,,75-76,,
3:44.0,,,75-76,,Defensive rebound by J. Embiid
3:31.0,,,75-76,,J. Embiid misses 2-pt shot from 3 ft
3:29.0,,,75-76,,Offensive rebound by B. Simmons
3:28.0,,,75-76,,B. Simmons misses 2-pt shot at rim
3:27.0,Defensive rebound by D. Russell,,75-76,,
3:19.0,J. Okafor makes 2-pt shot from 5 ft (assist by D. Russell),2,77-76,,
3:02.0,,,77-78,2,J. Redick makes 2-pt shot from 18 ft (assist by J. Embiid)
2:45.0,D. Russell misses 2-pt shot from 10 ft,,77-78,,
2:42.0,,,77-78,,Defensive rebound by J. Embiid
2:34.0,,,77-78,,J. Embiid misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by D. Russell,,77-78,,
2:13.0,C. LeVert makes 2-pt shot from 9 ft,2,79-78,,
2:01.0,,,79-78,,M. Belinelli misses 2-pt shot from 16 ft
1:56.0,,,79-78,,Offensive rebound by B. Simmons
1:56.0,,,79-80,2,B. Simmons makes 2-pt shot at rim
1:35.0,S. Dinwiddie misses 2-pt shot from 14 ft,,79-80,,
1:27.0,,,79-80,,Defensive rebound by B. Simmons
1:23.0,,,79-82,2,J. Embiid makes 2-pt shot from 20 ft (assist by B. Simmons)
1:07.0,,,79-82,,Personal foul by B. Simmons (drawn by S. Dinwiddie)
1:07.0,,,79-82,,T. McConnell enters the game for B. Simmons
1:07.0,J. Harris enters the game for D. Russell,,79-82,,
0:56.0,J. Okafor makes 2-pt shot from 7 ft (assist by S. Dinwiddie),2,81-82,,
0:37.0,Personal foul by C. LeVert (drawn by J. Redick),,81-82,,
0:34.0,,,81-82,,J. Redick misses 3-pt shot from 26 ft
0:31.0,,,81-82,,Offensive rebound by J. Embiid
0:11.0,Personal foul by J. Okafor (drawn by J. Embiid),,81-82,,
0:11.0,,,81-83,1,J. Embiid makes free throw 1 of 2
0:11.0,,,81-83,,J. Anderson enters the game for E. Ilyasova
0:11.0,D. Carroll enters the game for J. Okafor,,81-83,,
0:11.0,,,81-84,1,J. Embiid makes free throw 2 of 2
0:03.0,Offensive charge foul by C. LeVert (drawn by J. Redick),,81-84,,
0:03.0,Turnover by C. LeVert (offensive foul),,81-84,,
0:00.0,,,81-86,2,J. Embiid makes 2-pt shot from 21 ft (assist by T. McConnell)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,81-86,,Personal foul by J. Embiid (drawn by J. Harris)
11:32.0,S. Dinwiddie makes 2-pt shot at rim (assist by J. Harris),2,83-86,,
11:10.0,,,83-88,2,T. McConnell makes 2-pt shot from 15 ft (assist by J. Embiid)
10:44.0,J. Harris makes 3-pt shot from 26 ft (assist by S. Dinwiddie),3,86-88,,
10:30.0,,,86-88,,J. Embiid misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by S. Dinwiddie,,86-88,,
10:22.0,Shooting foul by J. Embiid (drawn by C. LeVert),,86-88,,
10:22.0,C. LeVert makes free throw 1 of 2,1,87-88,,
10:22.0,C. LeVert makes free throw 2 of 2,1,88-88,,
10:05.0,,,88-91,3,R. Covington makes 3-pt shot from 27 ft (assist by J. Embiid)
10:05.0,,,88-91,,Shooting foul by Q. Acy (drawn by J. Embiid)
10:05.0,,,88-92,1,J. Embiid makes free throw 1 of 1
9:49.0,S. Dinwiddie misses 2-pt shot from 15 ft,,88-92,,
9:47.0,,,88-92,,Defensive rebound by J. Embiid
9:37.0,,,88-92,,J. Embiid misses 2-pt shot from 15 ft (block by J. Okafor)
9:34.0,,,88-92,,Offensive rebound by J. Embiid
9:32.0,,,88-94,2,R. Covington makes 2-pt shot from 5 ft (assist by J. Embiid)
9:08.0,C. LeVert misses 3-pt shot from 26 ft,,88-94,,
9:06.0,,,88-94,,Defensive rebound by Team
9:06.0,Loose ball foul by J. Harris (drawn by E. Ilyasova),,88-94,,
9:06.0,,,88-94,,B. Simmons enters the game for T. McConnell
9:06.0,R. Hollis-Jefferson enters the game for J. Okafor,,88-94,,
8:57.0,,,88-94,,M. Belinelli misses 2-pt shot from 20 ft
8:57.0,Defensive rebound by Team,,88-94,,
8:40.0,Q. Acy makes 3-pt shot from 26 ft (assist by C. LeVert),3,91-94,,
8:22.0,,,91-94,,E. Ilyasova misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by C. LeVert,,91-94,,
8:16.0,C. LeVert misses 2-pt shot from 3 ft (block by J. Embiid),,91-94,,
8:12.0,,,91-94,,Defensive rebound by J. Embiid
8:07.0,Personal foul by C. LeVert (drawn by B. Simmons),,91-94,,
8:07.0,,,91-94,,D. Saric enters the game for J. Embiid
7:58.0,,,91-94,,B. Simmons misses 2-pt shot from 12 ft
7:56.0,Defensive rebound by R. Hollis-Jefferson,,91-94,,
7:45.0,R. Hollis-Jefferson makes 2-pt shot from 9 ft,2,93-94,,
7:34.0,,,93-96,2,E. Ilyasova makes 2-pt shot from 4 ft (assist by B. Simmons)
7:29.0,Brooklyn full timeout,,93-96,,
7:29.0,,,93-96,,J. Redick enters the game for M. Belinelli
7:19.0,J. Harris misses 3-pt shot from 25 ft,,93-96,,
7:14.0,Offensive rebound by S. Dinwiddie,,93-96,,
7:10.0,Turnover by S. Dinwiddie (bad pass; steal by B. Simmons),,93-96,,
6:56.0,,,93-96,,E. Ilyasova misses 2-pt shot from 13 ft
6:51.0,Defensive rebound by C. LeVert,,93-96,,
