time,Dallas,pts.away,score,pts.home,New York
4:28.0,,,16-17,,Offensive foul by E. Kanter (drawn by N. Noel)
4:28.0,,,16-17,,Turnover by E. Kanter (offensive foul)
4:14.0,H. Barnes misses 2-pt shot from 12 ft,,16-17,,
4:11.0,,,16-17,,Defensive rebound by E. Kanter
4:07.0,,,16-19,2,M. Beasley makes 2-pt shot at rim (assist by T. Hardaway)
3:53.0,Y. Ferrell misses 3-pt shot from 25 ft,,16-19,,
3:50.0,,,16-19,,Defensive rebound by E. Kanter
3:39.0,,,16-21,2,M. Beasley makes 2-pt shot at rim
3:37.0,Dallas full timeout,,16-21,,
3:37.0,,,16-21,,K. O'Quinn enters the game for E. Kanter
3:37.0,,,16-21,,F. Ntilikina enters the game for C. Lee
3:37.0,J. Barea enters the game for Y. Ferrell,,16-21,,
3:24.0,,,16-21,,Def 3 sec tech foul by K. O'Quinn
3:24.0,H. Barnes makes technical free throw,1,17-21,,
3:15.0,Shooting foul by K. O'Quinn (drawn by D. Finney-Smith),,17-21,,
3:15.0,D. Finney-Smith makes free throw 1 of 2,1,18-21,,
3:15.0,D. Finney-Smith misses free throw 2 of 2,,18-21,,
3:13.0,,,18-21,,Defensive rebound by K. O'Quinn
3:00.0,,,18-23,2,M. Beasley makes 2-pt shot from 9 ft
2:43.0,D. Smith misses 2-pt shot from 15 ft,,18-23,,
2:36.0,Offensive rebound by D. Finney-Smith,,18-23,,
2:36.0,D. Finney-Smith makes 2-pt shot at rim,2,20-23,,
2:19.0,,,20-25,2,M. Beasley makes 2-pt shot from 20 ft
2:08.0,D. Smith makes 3-pt shot from 25 ft (assist by D. Finney-Smith),3,23-25,,
1:52.0,,,23-25,,F. Ntilikina misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by Team,,23-25,,
1:50.0,,,23-25,,Personal foul by K. O'Quinn (drawn by N. Noel)
1:50.0,,,23-25,,T. Williams enters the game for E. Mudiay
1:50.0,D. Powell enters the game for H. Barnes,,23-25,,
1:50.0,K. Collinsworth enters the game for D. Finney-Smith,,23-25,,
1:50.0,D. Nowitzki enters the game for D. Smith,,23-25,,
1:50.0,D. McDermott enters the game for N. Noel,,23-25,,
1:36.0,D. McDermott makes 3-pt shot from 25 ft (assist by J. Barea),3,26-25,,
1:24.0,,,26-27,2,T. Hardaway makes 2-pt shot from 1 ft (assist by F. Ntilikina)
1:05.0,Turnover by J. Barea (bad pass; steal by K. O'Quinn),,26-27,,
1:00.0,,,26-27,,Turnover by T. Williams (lost ball; steal by K. Collinsworth)
0:58.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by K. Collinsworth),3,29-27,,
0:46.0,,,29-29,2,F. Ntilikina makes 2-pt shot from 22 ft (assist by K. O'Quinn)
0:31.0,J. Barea misses 2-pt shot from 7 ft,,29-29,,
0:29.0,,,29-29,,Defensive rebound by F. Ntilikina
0:11.0,,,29-31,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by F. Ntilikina)
0:02.0,D. Nowitzki misses 3-pt shot from 25 ft,,29-31,,
0:02.0,,,29-31,,Defensive rebound by K. O'Quinn
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. McDermott misses 3-pt shot from 23 ft,,29-31,,
11:39.0,,,29-31,,Defensive rebound by K. O'Quinn
11:29.0,,,29-33,2,M. Beasley makes 2-pt shot from 1 ft (assist by F. Ntilikina)
11:29.0,,,29-33,,Shooting foul by D. McDermott (drawn by M. Beasley)
11:29.0,,,29-34,1,M. Beasley makes free throw 1 of 1
11:22.0,,,29-34,,Personal foul by F. Ntilikina (drawn by D. Nowitzki)
11:10.0,J. Barea misses 3-pt shot from 24 ft,,29-34,,
11:08.0,,,29-34,,Defensive rebound by D. Dotson
10:58.0,,,29-36,2,M. Beasley makes 2-pt shot from 7 ft
10:47.0,Turnover by J. Barea (bad pass; steal by T. Williams),,29-36,,
10:42.0,,,29-38,2,T. Williams makes 2-pt shot from 1 ft (assist by F. Ntilikina)
10:22.0,D. Powell makes 3-pt shot from 23 ft (assist by K. Collinsworth),3,32-38,,
10:09.0,,,32-38,,T. Williams misses 2-pt shot from 13 ft
10:07.0,Defensive rebound by D. Nowitzki,,32-38,,
10:02.0,Shooting foul by D. Dotson (drawn by D. Powell),,32-38,,
10:02.0,D. Powell makes free throw 1 of 2,1,33-38,,
10:02.0,D. Powell makes free throw 2 of 2,1,34-38,,
9:42.0,,,34-40,2,M. Beasley makes 2-pt shot from 3 ft
9:29.0,Turnover by D. Nowitzki (bad pass; steal by K. O'Quinn),,34-40,,
9:24.0,,,34-40,,Turnover by T. Williams (bad pass; steal by K. Collinsworth)
9:18.0,D. McDermott makes 3-pt shot from 23 ft (assist by J. Barea),3,37-40,,
8:58.0,,,37-40,,F. Ntilikina misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by D. Powell,,37-40,,
8:49.0,J. Barea makes 2-pt shot from 17 ft,2,39-40,,
8:42.0,,,39-40,,New York full timeout
8:35.0,,,39-40,,M. Beasley misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by J. Barea,,39-40,,
8:21.0,D. Nowitzki makes 2-pt shot from 22 ft (assist by J. Barea),2,41-40,,
8:02.0,,,41-42,2,M. Beasley makes 2-pt shot from 13 ft
7:41.0,J. Barea makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,43-42,,
7:21.0,,,43-45,3,D. Dotson makes 3-pt shot from 22 ft (assist by T. Williams)
7:03.0,J. Barea misses 2-pt shot from 2 ft,,43-45,,
7:01.0,,,43-45,,Defensive rebound by T. Williams
6:42.0,,,43-47,2,D. Dotson makes 2-pt shot from 20 ft (assist by F. Ntilikina)
6:23.0,D. McDermott makes 2-pt shot from 20 ft (assist by J. Barea),2,45-47,,
6:06.0,,,45-49,2,K. O'Quinn makes 2-pt shot from 9 ft (assist by F. Ntilikina)
5:52.0,Turnover by J. Barea (bad pass; steal by T. Williams),,45-49,,
5:38.0,,,45-51,2,F. Ntilikina makes 2-pt shot from 21 ft
5:37.0,Dallas full timeout,,45-51,,
5:37.0,,,45-51,,E. Kanter enters the game for K. O'Quinn
5:37.0,,,45-51,,E. Mudiay enters the game for F. Ntilikina
5:37.0,D. Smith enters the game for K. Collinsworth,,45-51,,
5:37.0,H. Barnes enters the game for D. Nowitzki,,45-51,,
5:13.0,H. Barnes misses 3-pt shot from 22 ft,,45-51,,
5:12.0,Offensive rebound by D. Powell,,45-51,,
5:12.0,Shooting foul by E. Kanter (drawn by D. Powell),,45-51,,
5:12.0,D. Powell makes free throw 1 of 2,1,46-51,,
5:12.0,D. Powell makes free throw 2 of 2,1,47-51,,
4:57.0,,,47-51,,D. Dotson misses 3-pt shot from 25 ft
4:56.0,Defensive rebound by Team,,47-51,,
4:56.0,J. Warney enters the game for D. Powell,,47-51,,
4:38.0,H. Barnes misses 2-pt shot from 7 ft,,47-51,,
4:33.0,Offensive rebound by J. Warney,,47-51,,
4:33.0,J. Warney makes 2-pt shot at rim,2,49-51,,
4:12.0,,,49-53,2,M. Beasley makes 2-pt shot at rim
3:55.0,D. Smith misses 2-pt shot from 15 ft,,49-53,,
3:52.0,,,49-53,,Defensive rebound by T. Williams
3:43.0,,,49-53,,E. Mudiay misses 3-pt shot from 25 ft
3:41.0,,,49-53,,Offensive rebound by T. Williams
3:41.0,,,49-55,2,T. Williams makes 2-pt shot at rim
3:41.0,Dallas full timeout,,49-55,,
3:41.0,,,49-55,,T. Hardaway enters the game for M. Beasley
3:41.0,,,49-55,,L. Thomas enters the game for D. Dotson
3:41.0,D. Finney-Smith enters the game for J. Barea,,49-55,,
3:41.0,Y. Ferrell enters the game for D. McDermott,,49-55,,
3:27.0,H. Barnes makes 2-pt shot from 2 ft,2,51-55,,
3:04.0,Personal foul by D. Finney-Smith (drawn by E. Kanter),,51-55,,
3:04.0,N. Noel enters the game for J. Warney,,51-55,,
2:56.0,,,51-55,,T. Hardaway misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by N. Noel,,51-55,,
2:36.0,D. Smith misses 3-pt shot from 22 ft,,51-55,,
2:35.0,,,51-55,,Defensive rebound by Team
2:35.0,Loose ball foul by N. Noel (drawn by L. Thomas),,51-55,,
2:20.0,,,51-57,2,E. Mudiay makes 2-pt shot from 1 ft
2:12.0,H. Barnes misses 2-pt shot from 6 ft,,51-57,,
2:10.0,,,51-57,,Defensive rebound by E. Kanter
1:54.0,,,51-57,,E. Mudiay misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by D. Finney-Smith,,51-57,,
1:44.0,Y. Ferrell makes 2-pt shot from 21 ft (assist by H. Barnes),2,53-57,,
1:27.0,,,53-60,3,L. Thomas makes 3-pt shot from 24 ft (assist by E. Mudiay)
1:06.0,Shooting foul by L. Thomas (drawn by H. Barnes),,53-60,,
1:06.0,H. Barnes makes free throw 1 of 2,1,54-60,,
1:06.0,,,54-60,,M. Beasley enters the game for L. Thomas
1:06.0,H. Barnes makes free throw 2 of 2,1,55-60,,
0:47.0,,,55-60,,Turnover by T. Hardaway (step out of bounds)
0:36.0,D. Smith misses 2-pt shot from 14 ft,,55-60,,
0:34.0,Offensive rebound by N. Noel,,55-60,,
0:28.0,H. Barnes makes 2-pt shot from 3 ft,2,57-60,,
0:07.0,,,57-60,,E. Kanter misses 2-pt shot from 8 ft
0:06.0,,,57-60,,Offensive rebound by T. Williams
0:06.0,,,57-60,,T. Williams misses 2-pt shot at rim
0:05.0,Defensive rebound by N. Noel,,57-60,,
0:00.0,D. Smith misses 3-pt shot from 31 ft,,57-60,,
0:00.0,Offensive rebound by Team,,57-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,H. Barnes misses 2-pt shot from 2 ft,,57-60,,
11:37.0,Offensive rebound by H. Barnes,,57-60,,
11:37.0,H. Barnes makes 2-pt shot at rim,2,59-60,,
11:22.0,,,59-60,,L. Thomas misses 2-pt shot from 8 ft
11:19.0,Defensive rebound by D. Nowitzki,,59-60,,
11:14.0,D. Nowitzki misses 3-pt shot from 29 ft,,59-60,,
11:11.0,,,59-60,,Defensive rebound by L. Thomas
11:00.0,,,59-60,,Turnover by C. Lee (bad pass)
10:50.0,D. Finney-Smith misses 3-pt shot from 23 ft,,59-60,,
10:46.0,,,59-60,,Defensive rebound by E. Mudiay
10:37.0,,,59-60,,T. Hardaway misses 2-pt shot from 6 ft
10:35.0,Defensive rebound by D. Finney-Smith,,59-60,,
10:27.0,D. Finney-Smith misses 2-pt shot at rim,,59-60,,
10:27.0,Offensive rebound by D. Finney-Smith,,59-60,,
10:14.0,D. Smith misses 2-pt shot from 22 ft,,59-60,,
10:11.0,,,59-60,,Defensive rebound by E. Kanter
10:01.0,,,59-60,,E. Mudiay misses 2-pt shot from 16 ft
9:57.0,Defensive rebound by D. Nowitzki,,59-60,,
9:44.0,D. Nowitzki misses 3-pt shot from 26 ft,,59-60,,
9:42.0,,,59-60,,Defensive rebound by T. Hardaway
9:34.0,,,59-62,2,T. Hardaway makes 2-pt shot from 1 ft (assist by E. Kanter)
9:16.0,D. Nowitzki misses 2-pt shot from 17 ft,,59-62,,
9:13.0,,,59-62,,Defensive rebound by E. Kanter
9:05.0,,,59-62,,C. Lee misses 3-pt shot from 24 ft
9:01.0,Defensive rebound by D. Nowitzki,,59-62,,
8:55.0,Y. Ferrell misses 3-pt shot from 24 ft,,59-62,,
8:52.0,,,59-62,,Defensive rebound by E. Kanter
8:49.0,,,59-64,2,T. Hardaway makes 2-pt shot from 1 ft (assist by C. Lee)
8:49.0,Dallas full timeout,,59-64,,
8:49.0,K. Collinsworth enters the game for Y. Ferrell,,59-64,,
8:26.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by H. Barnes),3,62-64,,
8:06.0,,,62-64,,Turnover by T. Hardaway (bad pass)
7:58.0,D. Smith makes 2-pt shot at rim,2,64-64,,
7:45.0,,,64-64,,Offensive charge foul by E. Mudiay (drawn by D. Smith)
7:45.0,,,64-64,,Turnover by E. Mudiay (offensive foul)
7:30.0,H. Barnes misses 2-pt shot from 1 ft,,64-64,,
7:26.0,Offensive rebound by H. Barnes,,64-64,,
7:26.0,H. Barnes makes 2-pt shot at rim,2,66-64,,
7:14.0,,,66-64,,L. Thomas misses 3-pt shot from 22 ft
7:09.0,Defensive rebound by D. Finney-Smith,,66-64,,
6:52.0,D. Smith misses 2-pt shot from 3 ft,,66-64,,
6:47.0,Offensive rebound by K. Collinsworth,,66-64,,
6:47.0,D. Nowitzki misses 3-pt shot from 26 ft,,66-64,,
6:43.0,,,66-64,,Defensive rebound by E. Kanter
6:40.0,,,66-64,,Turnover by C. Lee (bad pass; steal by D. Finney-Smith)
6:37.0,Offensive charge foul by D. Finney-Smith (drawn by T. Hardaway),,66-64,,
6:37.0,Turnover by D. Finney-Smith (offensive foul),,66-64,,
6:37.0,N. Noel enters the game for D. Nowitzki,,66-64,,
6:37.0,Y. Ferrell enters the game for K. Collinsworth,,66-64,,
6:24.0,,,66-64,,L. Thomas misses 2-pt shot from 8 ft
6:18.0,Defensive rebound by D. Finney-Smith,,66-64,,
6:13.0,H. Barnes misses 3-pt shot from 26 ft,,66-64,,
6:07.0,,,66-64,,Defensive rebound by E. Kanter
6:05.0,Personal foul by D. Smith (drawn by E. Mudiay),,66-64,,
6:05.0,,,66-64,,M. Beasley enters the game for L. Thomas
5:46.0,,,66-64,,M. Beasley misses 2-pt shot from 19 ft
5:44.0,Defensive rebound by D. Finney-Smith,,66-64,,
5:34.0,N. Noel misses 2-pt shot from 1 ft,,66-64,,
5:32.0,Offensive rebound by D. Finney-Smith,,66-64,,
5:25.0,Turnover by D. Smith (bad pass; steal by E. Mudiay),,66-64,,
5:21.0,,,66-64,,Turnover by E. Mudiay (bad pass; steal by Y. Ferrell)
5:18.0,Y. Ferrell makes 3-pt shot from 26 ft,3,69-64,,
5:16.0,,,69-64,,New York full timeout
5:16.0,,,69-64,,T. Williams enters the game for E. Kanter
5:16.0,,,69-64,,F. Ntilikina enters the game for E. Mudiay
5:16.0,,,69-64,,K. O'Quinn enters the game for C. Lee
5:16.0,D. McDermott enters the game for D. Finney-Smith,,69-64,,
5:07.0,,,69-64,,Offensive charge foul by T. Hardaway (drawn by Y. Ferrell)
5:07.0,,,69-64,,Turnover by T. Hardaway (offensive foul)
4:52.0,H. Barnes makes 2-pt shot from 19 ft (assist by Y. Ferrell),2,71-64,,
4:35.0,,,71-64,,F. Ntilikina misses 2-pt shot from 15 ft
4:31.0,Defensive rebound by H. Barnes,,71-64,,
4:22.0,Y. Ferrell misses 2-pt shot from 9 ft,,71-64,,
4:18.0,,,71-64,,Defensive rebound by T. Williams
4:13.0,,,71-64,,Turnover by T. Williams (bad pass; steal by D. McDermott)
4:09.0,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. Smith),3,74-64,,
3:46.0,,,74-64,,K. O'Quinn misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by N. Noel,,74-64,,
3:33.0,N. Noel misses 2-pt shot from 11 ft,,74-64,,
3:31.0,,,74-64,,Defensive rebound by T. Hardaway
3:15.0,,,74-64,,T. Williams misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by N. Noel,,74-64,,
2:55.0,H. Barnes makes 2-pt shot from 2 ft,2,76-64,,
2:55.0,,,76-64,,New York full timeout
2:55.0,,,76-64,,T. Burke enters the game for T. Williams
2:55.0,J. Barea enters the game for D. Smith,,76-64,,
2:37.0,,,76-64,,F. Ntilikina misses 3-pt shot from 25 ft
2:34.0,,,76-64,,Offensive rebound by K. O'Quinn
2:32.0,,,76-64,,F. Ntilikina misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by J. Barea,,76-64,,
2:24.0,Y. Ferrell makes 2-pt shot from 1 ft (assist by J. Barea),2,78-64,,
2:08.0,,,78-66,2,T. Hardaway makes 2-pt shot from 14 ft
1:52.0,N. Noel misses 2-pt shot from 1 ft,,78-66,,
1:50.0,,,78-66,,Defensive rebound by M. Beasley
1:45.0,,,78-69,3,T. Burke makes 3-pt shot from 23 ft (assist by K. O'Quinn)
1:30.0,J. Barea misses 2-pt shot from 19 ft,,78-69,,
1:29.0,,,78-69,,Defensive rebound by T. Burke
1:19.0,,,78-69,,T. Hardaway misses 2-pt shot from 11 ft
1:16.0,Defensive rebound by D. McDermott,,78-69,,
1:10.0,Turnover by J. Barea (bad pass; steal by T. Burke),,78-69,,
1:08.0,,,78-69,,Offensive foul by T. Burke (drawn by J. Barea)
1:08.0,,,78-69,,Turnover by T. Burke (offensive foul)
1:08.0,J. Warney enters the game for N. Noel,,78-69,,
0:51.0,H. Barnes misses 2-pt shot from 20 ft,,78-69,,
0:49.0,Offensive rebound by Team,,78-69,,
0:49.0,,,78-69,,Loose ball foul by K. O'Quinn (drawn by J. Warney)
0:46.0,J. Barea makes 3-pt shot from 24 ft (assist by H. Barnes),3,81-69,,
0:33.0,Personal foul by Y. Ferrell (drawn by T. Burke),,81-69,,
0:29.0,,,81-72,3,T. Hardaway makes 3-pt shot from 25 ft (assist by K. O'Quinn)
0:10.0,J. Warney makes 2-pt shot from 14 ft (assist by J. Barea),2,83-72,,
0:01.0,,,83-72,,T. Burke misses 2-pt shot from 12 ft
0:01.0,Defensive rebound by Y. Ferrell,,83-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,83-72,,Shooting foul by K. Collinsworth (drawn by T. Hardaway)
11:47.0,,,83-73,1,T. Hardaway makes free throw 1 of 2
11:47.0,,,83-74,1,T. Hardaway makes free throw 2 of 2
11:35.0,J. Warney misses 2-pt shot from 6 ft (block by K. O'Quinn),,83-74,,
11:32.0,,,83-74,,Defensive rebound by F. Ntilikina
11:30.0,,,83-74,,F. Ntilikina misses 2-pt shot from 1 ft
11:24.0,,,83-74,,Offensive rebound by M. Beasley
11:24.0,,,83-74,,M. Beasley misses 2-pt shot at rim
11:24.0,,,83-74,,Offensive rebound by M. Beasley
11:21.0,,,83-74,,T. Hardaway misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by D. Nowitzki,,83-74,,
11:05.0,J. Warney makes 2-pt shot at rim (assist by J. Barea),2,85-74,,
11:05.0,Shooting foul by F. Ntilikina (drawn by J. Warney),,85-74,,
11:05.0,,,85-74,,E. Mudiay enters the game for F. Ntilikina
11:05.0,J. Warney misses free throw 1 of 1,,85-74,,
11:02.0,,,85-74,,Defensive rebound by K. O'Quinn
10:49.0,,,85-74,,Shooting foul by K. Collinsworth (drawn by K. O'Quinn)
10:49.0,,,85-75,1,K. O'Quinn makes free throw 1 of 2
10:49.0,,,85-76,1,K. O'Quinn makes free throw 2 of 2
10:28.0,J. Warney misses 2-pt shot from 13 ft,,85-76,,
10:26.0,,,85-76,,Defensive rebound by K. O'Quinn
10:21.0,,,85-76,,E. Mudiay misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by J. Warney,,85-76,,
10:04.0,J. Warney makes 2-pt shot from 9 ft,2,87-76,,
9:46.0,,,87-76,,K. O'Quinn misses 2-pt shot from 21 ft
9:45.0,Defensive rebound by D. Nowitzki,,87-76,,
9:39.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by K. Collinsworth),3,90-76,,
9:38.0,,,90-76,,New York full timeout
9:19.0,,,90-76,,E. Mudiay misses 2-pt shot from 9 ft
9:18.0,Defensive rebound by J. Warney,,90-76,,
9:07.0,D. McDermott misses 3-pt shot from 25 ft,,90-76,,
9:03.0,,,90-76,,Defensive rebound by T. Burke
8:46.0,,,90-79,3,T. Burke makes 3-pt shot from 26 ft (assist by K. O'Quinn)
8:25.0,J. Barea makes 3-pt shot from 25 ft,3,93-79,,
8:13.0,,,93-82,3,T. Burke makes 3-pt shot from 24 ft
7:53.0,J. Barea makes 2-pt shot from 12 ft,2,95-82,,
7:41.0,,,95-82,,Turnover by K. O'Quinn (bad pass)
7:41.0,,,95-82,,L. Thomas enters the game for E. Mudiay
7:18.0,J. Warney misses 2-pt shot from 10 ft,,95-82,,
7:16.0,,,95-82,,Defensive rebound by M. Beasley
7:07.0,,,95-84,2,K. O'Quinn makes 2-pt shot from 9 ft
6:50.0,D. Nowitzki makes 2-pt shot from 17 ft,2,97-84,,
6:37.0,,,97-86,2,T. Burke makes 2-pt shot from 13 ft
6:17.0,J. Barea misses 3-pt shot from 25 ft,,97-86,,
6:12.0,Offensive rebound by K. Collinsworth,,97-86,,
6:10.0,,,97-86,,T. Williams enters the game for K. O'Quinn
6:10.0,D. Smith enters the game for J. Barea,,97-86,,
6:10.0,Y. Ferrell enters the game for D. McDermott,,97-86,,
6:10.0,H. Barnes enters the game for D. Nowitzki,,97-86,,
6:10.0,D. McDermott misses 3-pt shot from 25 ft,,97-86,,
6:10.0,Offensive rebound by Team,,97-86,,
6:03.0,,,97-86,,Personal foul by T. Hardaway (drawn by Y. Ferrell)
5:48.0,D. Smith misses 2-pt shot from 13 ft,,97-86,,
5:41.0,,,97-86,,Defensive rebound by T. Williams
5:37.0,,,97-88,2,T. Burke makes 2-pt shot from 1 ft
5:37.0,,,97-88,,Shooting foul by K. Collinsworth (drawn by T. Burke)
5:37.0,,,97-89,1,T. Burke makes free throw 1 of 1
5:22.0,H. Barnes misses 2-pt shot from 10 ft,,97-89,,
5:19.0,,,97-89,,Defensive rebound by T. Burke
5:05.0,,,97-91,2,T. Williams makes 2-pt shot from 16 ft (assist by M. Beasley)
5:04.0,Dallas full timeout,,97-91,,
5:04.0,N. Noel enters the game for J. Warney,,97-91,,
4:48.0,Shooting foul by L. Thomas (drawn by H. Barnes),,97-91,,
4:48.0,H. Barnes makes free throw 1 of 2,1,98-91,,
4:48.0,H. Barnes makes free throw 2 of 2,1,99-91,,
4:33.0,,,99-93,2,M. Beasley makes 2-pt shot from 6 ft
4:18.0,Turnover by D. Smith (lost ball; steal by L. Thomas),,99-93,,
4:15.0,,,99-95,2,T. Burke makes 2-pt shot from 1 ft
3:59.0,D. Smith makes 3-pt shot from 25 ft (assist by H. Barnes),3,102-95,,
3:38.0,,,102-95,,T. Burke misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by Team,,102-95,,
3:20.0,Turnover by H. Barnes (out of bounds lost ball),,102-95,,
3:00.0,,,102-95,,T. Hardaway misses 3-pt shot from 25 ft
2:54.0,,,102-95,,Offensive rebound by T. Williams
2:54.0,,,102-95,,T. Williams misses 2-pt shot at rim
2:54.0,Defensive rebound by D. Smith,,102-95,,
2:38.0,H. Barnes makes 2-pt shot from 14 ft,2,104-95,,
2:23.0,,,104-95,,T. Williams misses 3-pt shot from 23 ft
2:20.0,Defensive rebound by N. Noel,,104-95,,
2:01.0,Turnover by H. Barnes (lost ball; steal by L. Thomas),,104-95,,
1:57.0,,,104-95,,Shooting foul by D. Smith (drawn by T. Williams)
1:57.0,,,104-95,,T. Williams misses free throw 1 of 2
1:57.0,,,104-95,,Offensive rebound by Team
1:57.0,,,104-96,1,T. Williams makes free throw 2 of 2
1:37.0,Shooting foul by M. Beasley (drawn by H. Barnes),,104-96,,
1:37.0,H. Barnes makes free throw 1 of 2,1,105-96,,
1:37.0,J. Warney enters the game for N. Noel,,105-96,,
1:37.0,H. Barnes makes free throw 2 of 2,1,106-96,,
1:28.0,,,106-96,,T. Burke misses 2-pt shot from 9 ft
1:26.0,Defensive rebound by K. Collinsworth,,106-96,,
