time,Detroit,pts.away,score,pts.home,New York
6:49.0,Shooting foul by T. Williams (drawn by S. Johnson),,45-39,,
6:49.0,,,45-39,,New York full timeout
6:49.0,S. Johnson makes free throw 1 of 2,1,46-39,,
6:49.0,S. Johnson makes free throw 2 of 2,1,47-39,,
6:30.0,,,47-39,,M. Beasley misses 2-pt shot from 9 ft
6:28.0,Defensive rebound by E. Moreland,,47-39,,
6:21.0,A. Tolliver misses 3-pt shot from 27 ft,,47-39,,
6:19.0,,,47-39,,Defensive rebound by L. Kornet
6:08.0,,,47-39,,Turnover by M. Beasley (bad pass; steal by S. Johnson)
5:55.0,Shooting foul by M. Beasley (drawn by A. Tolliver),,47-39,,
5:55.0,,,47-39,,K. O'Quinn enters the game for E. Mudiay
5:55.0,,,47-39,,T. Hardaway enters the game for L. Kornet
5:55.0,A. Drummond enters the game for E. Moreland,,47-39,,
5:55.0,I. Smith enters the game for R. Jackson,,47-39,,
5:55.0,A. Tolliver makes free throw 1 of 2,1,48-39,,
5:55.0,A. Tolliver misses free throw 2 of 2,,48-39,,
5:53.0,,,48-39,,Defensive rebound by K. O'Quinn
5:39.0,Personal foul by L. Kennard (drawn by M. Beasley),,48-39,,
5:23.0,,,48-41,2,M. Beasley makes 2-pt shot from 7 ft
5:12.0,Turnover by A. Tolliver (lost ball; steal by T. Williams),,48-41,,
5:11.0,,,48-41,,T. Williams misses 2-pt shot from 1 ft (block by A. Tolliver)
5:10.0,,,48-41,,Offensive rebound by Team
5:10.0,,,48-41,,I. Hicks enters the game for M. Beasley
5:04.0,,,48-43,2,I. Hicks makes 2-pt shot from 1 ft (assist by T. Burke)
4:57.0,Detroit full timeout,,48-43,,
4:43.0,L. Kennard misses 2-pt shot from 20 ft,,48-43,,
4:41.0,,,48-43,,Defensive rebound by K. O'Quinn
4:29.0,,,48-46,3,T. Williams makes 3-pt shot from 25 ft (assist by T. Burke)
4:16.0,I. Smith misses 2-pt shot from 1 ft,,48-46,,
4:14.0,,,48-46,,Defensive rebound by K. O'Quinn
4:09.0,,,48-46,,T. Hardaway misses 3-pt shot from 22 ft
4:07.0,Defensive rebound by I. Smith,,48-46,,
3:58.0,A. Drummond misses 2-pt shot from 13 ft (block by K. O'Quinn),,48-46,,
