time,Denver,pts.away,score,pts.home,Memphis
7:06.0,,,14-11,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Chalmers)
6:43.0,J. Murray misses 2-pt shot from 3 ft (block by M. Chalmers),,14-11,,
6:43.0,Offensive rebound by Team,,14-11,,
6:42.0,Shooting foul by M. Chalmers (drawn by P. Millsap),,14-11,,
6:42.0,P. Millsap makes free throw 1 of 2,1,15-11,,
6:42.0,P. Millsap makes free throw 2 of 2,1,16-11,,
6:22.0,,,16-11,,J. Martin misses 2-pt shot at rim
6:20.0,,,16-11,,Offensive rebound by D. Brooks
6:17.0,,,16-13,2,D. Brooks makes 2-pt shot from 5 ft
6:04.0,W. Chandler misses 2-pt shot from 11 ft,,16-13,,
6:02.0,,,16-13,,Defensive rebound by M. Gasol
5:55.0,,,16-13,,M. Gasol misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by J. Murray,,16-13,,
5:50.0,Offensive charge foul by J. Murray (drawn by M. Gasol),,16-13,,
5:50.0,Turnover by J. Murray (offensive foul),,16-13,,
5:50.0,,,16-13,,I. Rabb enters the game for B. McLemore
5:50.0,W. Barton enters the game for P. Millsap,,16-13,,
5:50.0,M. Plumlee enters the game for W. Chandler,,16-13,,
5:31.0,,,16-15,2,J. Martin makes 2-pt shot from 21 ft (assist by I. Rabb)
5:21.0,N. Jokic makes 2-pt shot from 1 ft (assist by M. Plumlee),2,18-15,,
5:21.0,Shooting foul by I. Rabb (drawn by N. Jokic),,18-15,,
5:21.0,N. Jokic makes free throw 1 of 1,1,19-15,,
4:58.0,,,19-15,,Shooting foul by M. Plumlee (drawn by I. Rabb)
4:58.0,,,19-15,,I. Rabb misses free throw 1 of 2
4:58.0,,,19-15,,Offensive rebound by Team
4:58.0,,,19-15,,K. Simmons enters the game for M. Chalmers
4:58.0,,,19-16,1,I. Rabb makes free throw 2 of 2
4:46.0,Shooting foul by K. Simmons (drawn by J. Murray),,19-16,,
4:46.0,J. Murray makes free throw 1 of 2,1,20-16,,
4:46.0,,,20-16,,M. Henry enters the game for J. Martin
4:46.0,J. Murray makes free throw 2 of 2,1,21-16,,
4:27.0,,,21-16,,Turnover by D. Brooks (lost ball; steal by G. Harris)
4:24.0,G. Harris makes 2-pt shot at rim (assist by J. Murray),2,23-16,,
4:11.0,,,23-16,,D. Brooks misses 2-pt shot from 14 ft
4:07.0,,,23-16,,Offensive rebound by I. Rabb
4:07.0,,,23-18,2,I. Rabb makes 2-pt shot at rim
3:52.0,M. Plumlee makes 2-pt shot from 6 ft,2,25-18,,
3:45.0,,,25-20,2,D. Brooks makes 2-pt shot from 1 ft
3:30.0,N. Jokic makes 2-pt shot from 20 ft (assist by J. Murray),2,27-20,,
3:12.0,,,27-20,,B. Johnson enters the game for D. Brooks
3:12.0,,,27-20,,W. Selden enters the game for M. Gasol
3:02.0,,,27-20,,W. Selden misses 2-pt shot from 20 ft
3:00.0,Defensive rebound by W. Barton,,27-20,,
2:55.0,Turnover by W. Barton (lost ball; steal by I. Rabb),,27-20,,
2:40.0,Denver full timeout,,27-20,,
2:40.0,W. Chandler enters the game for G. Harris,,27-20,,
2:40.0,T. Lyles enters the game for N. Jokic,,27-20,,
2:40.0,D. Harris enters the game for J. Murray,,27-20,,
2:36.0,,,27-20,,B. Johnson misses 2-pt shot from 15 ft
2:31.0,,,27-20,,Offensive rebound by M. Henry
2:31.0,,,27-22,2,M. Henry makes 2-pt shot at rim
2:21.0,W. Barton makes 2-pt shot at rim,2,29-22,,
2:06.0,,,29-22,,W. Selden misses 3-pt shot from 23 ft
2:03.0,Defensive rebound by M. Plumlee,,29-22,,
1:58.0,D. Harris misses 2-pt shot from 1 ft,,29-22,,
1:53.0,Offensive rebound by M. Plumlee,,29-22,,
1:53.0,M. Plumlee makes 2-pt shot at rim,2,31-22,,
1:39.0,,,31-24,2,B. Johnson makes 2-pt shot from 15 ft (assist by K. Simmons)
1:25.0,Turnover by W. Barton (bad pass; steal by M. Henry),,31-24,,
1:21.0,,,31-26,2,K. Simmons makes 2-pt shot at rim (assist by I. Rabb)
1:01.0,W. Barton makes 2-pt shot at rim,2,33-26,,
0:51.0,,,33-29,3,M. Henry makes 3-pt shot from 23 ft
0:38.0,T. Lyles makes 2-pt shot from 8 ft,2,35-29,,
0:32.0,,,35-29,,K. Simmons misses 2-pt shot from 4 ft (block by W. Chandler)
0:32.0,,,35-29,,Offensive rebound by Team
0:30.0,,,35-29,,M. Henry misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by M. Plumlee,,35-29,,
0:08.0,D. Harris misses 2-pt shot from 8 ft,,35-29,,
0:05.0,,,35-29,,Defensive rebound by B. Johnson
0:02.0,Personal take foul by M. Plumlee (drawn by W. Selden),,35-29,,
0:02.0,D. Arthur enters the game for M. Plumlee,,35-29,,
0:01.0,,,35-29,,W. Selden misses 3-pt shot from 25 ft (block by T. Lyles)
0:01.0,,,35-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,35-29,,K. Simmons misses 2-pt shot at rim
11:45.0,Defensive rebound by W. Barton,,35-29,,
11:41.0,W. Barton makes 3-pt shot from 26 ft (assist by T. Lyles),3,38-29,,
11:19.0,,,38-29,,Turnover by J. Martin (out of bounds lost ball)
11:08.0,,,38-29,,Personal foul by W. Selden (drawn by W. Chandler)
11:01.0,M. Plumlee makes 2-pt shot at rim (assist by W. Barton),2,40-29,,
10:46.0,,,40-31,2,J. Martin makes 2-pt shot at rim (assist by W. Selden)
10:35.0,Turnover by W. Barton (lost ball; steal by M. Henry),,40-31,,
10:35.0,Personal take foul by D. Harris (drawn by W. Selden),,40-31,,
10:15.0,,,40-34,3,W. Selden makes 3-pt shot from 25 ft
10:13.0,Denver full timeout,,40-34,,
9:55.0,D. Harris makes 2-pt shot at rim (assist by M. Plumlee),2,42-34,,
9:38.0,,,42-34,,W. Selden misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by W. Chandler,,42-34,,
9:27.0,D. Harris makes 3-pt shot from 25 ft (assist by M. Plumlee),3,45-34,,
9:13.0,,,45-34,,Turnover by M. Henry (bad pass; steal by T. Lyles)
9:09.0,,,45-34,,B. McLemore enters the game for M. Henry
9:09.0,,,45-34,,D. Brooks enters the game for W. Selden
9:04.0,Shooting foul by K. Simmons (drawn by D. Harris),,45-34,,
9:04.0,D. Harris makes free throw 1 of 3,1,46-34,,
9:04.0,D. Harris makes free throw 2 of 3,1,47-34,,
9:04.0,D. Harris makes free throw 3 of 3,1,48-34,,
8:44.0,,,48-34,,Shooting foul by D. Harris (drawn by D. Brooks)
8:44.0,,,48-34,,D. Brooks misses free throw 1 of 2
8:44.0,,,48-34,,Offensive rebound by Team
8:44.0,,,48-34,,M. Gasol enters the game for K. Simmons
8:44.0,,,48-34,,M. Chalmers enters the game for B. Johnson
8:44.0,,,48-34,,D. Brooks misses free throw 2 of 2
8:42.0,Defensive rebound by M. Plumlee,,48-34,,
8:33.0,,,48-34,,Personal foul by B. McLemore (drawn by W. Barton)
8:30.0,,,48-34,,Violation by M. Gasol (kicked ball)
8:22.0,Turnover by D. Harris (bad pass),,48-34,,
8:10.0,,,48-34,,M. Gasol misses 2-pt shot from 1 ft
8:08.0,,,48-34,,Offensive rebound by J. Martin
8:08.0,,,48-36,2,J. Martin makes 2-pt shot at rim
7:53.0,Turnover by W. Chandler (bad pass; steal by B. McLemore),,48-36,,
7:48.0,,,48-38,2,J. Martin makes 2-pt shot at rim (assist by B. McLemore)
7:36.0,T. Lyles misses 3-pt shot from 26 ft,,48-38,,
7:32.0,,,48-38,,Defensive rebound by M. Gasol
7:23.0,,,48-40,2,J. Martin makes 2-pt shot from 18 ft
7:06.0,W. Barton makes 2-pt shot from 11 ft,2,50-40,,
6:55.0,,,50-42,2,B. McLemore makes 2-pt shot at rim (assist by M. Gasol)
6:55.0,Denver full timeout,,50-42,,
6:55.0,N. Jokic enters the game for T. Lyles,,50-42,,
6:55.0,J. Murray enters the game for W. Chandler,,50-42,,
6:55.0,P. Millsap enters the game for M. Plumlee,,50-42,,
6:55.0,G. Harris enters the game for D. Harris,,50-42,,
6:45.0,Turnover by N. Jokic (out of bounds lost ball),,50-42,,
6:34.0,,,50-42,,B. McLemore misses 2-pt shot from 19 ft
6:30.0,Defensive rebound by N. Jokic,,50-42,,
6:25.0,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic),3,53-42,,
6:10.0,,,53-42,,Turnover by M. Gasol (lost ball; steal by P. Millsap)
6:05.0,W. Barton misses 3-pt shot from 26 ft,,53-42,,
5:58.0,Offensive rebound by P. Millsap,,53-42,,
5:58.0,P. Millsap makes 2-pt shot at rim,2,55-42,,
5:41.0,,,55-42,,D. Brooks misses 2-pt shot from 1 ft
5:38.0,Defensive rebound by W. Barton,,55-42,,
5:31.0,,,55-42,,Personal foul by J. Martin (drawn by W. Barton)
5:29.0,G. Harris misses 3-pt shot from 25 ft,,55-42,,
5:23.0,,,55-42,,Defensive rebound by J. Martin
5:16.0,,,55-42,,B. McLemore misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by P. Millsap,,55-42,,
5:04.0,P. Millsap makes 3-pt shot from 26 ft (assist by J. Murray),3,58-42,,
5:02.0,,,58-42,,Memphis full timeout
5:02.0,,,58-42,,M. Henry enters the game for B. McLemore
4:48.0,,,58-44,2,J. Martin makes 2-pt shot from 15 ft (assist by M. Gasol)
4:28.0,Turnover by P. Millsap (bad pass; steal by M. Henry),,58-44,,
4:21.0,,,58-44,,D. Brooks misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by J. Murray,,58-44,,
4:08.0,,,58-44,,Personal foul by M. Henry (drawn by N. Jokic)
4:08.0,N. Jokic misses free throw 1 of 2,,58-44,,
4:08.0,Offensive rebound by Team,,58-44,,
4:08.0,,,58-44,,W. Selden enters the game for M. Henry
4:08.0,N. Jokic makes free throw 2 of 2,1,59-44,,
3:54.0,,,59-44,,Turnover by J. Martin (bad pass; steal by P. Millsap)
3:50.0,G. Harris misses 3-pt shot from 25 ft,,59-44,,
3:47.0,,,59-44,,Defensive rebound by M. Gasol
3:31.0,,,59-44,,M. Gasol misses 2-pt shot from 12 ft
3:26.0,,,59-44,,Offensive rebound by J. Martin
3:26.0,,,59-44,,J. Martin misses 2-pt shot at rim
3:26.0,,,59-44,,Offensive rebound by W. Selden
3:20.0,,,59-44,,D. Brooks misses 2-pt shot from 1 ft
3:19.0,,,59-44,,Offensive rebound by D. Brooks
3:18.0,,,59-44,,D. Brooks misses 2-pt shot at rim
3:18.0,,,59-44,,Offensive rebound by J. Martin
3:13.0,,,59-46,2,J. Martin makes 2-pt shot at rim
3:10.0,Turnover by P. Millsap (bad pass; steal by D. Brooks),,59-46,,
2:58.0,,,59-46,,M. Gasol misses 2-pt shot from 1 ft (block by P. Millsap)
2:54.0,Defensive rebound by P. Millsap,,59-46,,
2:40.0,N. Jokic misses 2-pt shot from 2 ft,,59-46,,
2:38.0,,,59-46,,Defensive rebound by W. Selden
2:31.0,Personal foul by G. Harris (drawn by M. Chalmers),,59-46,,
2:31.0,W. Chandler enters the game for W. Barton,,59-46,,
2:31.0,,,59-46,,I. Rabb enters the game for J. Martin
2:16.0,,,59-46,,M. Chalmers misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by N. Jokic,,59-46,,
2:10.0,Offensive foul by J. Murray (drawn by M. Gasol),,59-46,,
2:10.0,Turnover by J. Murray (offensive foul),,59-46,,
1:54.0,,,59-48,2,M. Gasol makes 2-pt shot from 16 ft (assist by W. Selden)
1:37.0,P. Millsap makes 2-pt shot at rim (assist by J. Murray),2,61-48,,
1:22.0,,,61-48,,W. Selden misses 2-pt shot from 9 ft
1:21.0,Defensive rebound by N. Jokic,,61-48,,
1:18.0,J. Murray misses 3-pt shot from 25 ft,,61-48,,
1:13.0,,,61-48,,Defensive rebound by I. Rabb
1:07.0,Personal foul by N. Jokic (drawn by M. Gasol),,61-48,,
1:07.0,W. Barton enters the game for J. Murray,,61-48,,
1:00.0,,,61-48,,Shooting foul by N. Jokic (drawn by D. Brooks)
1:00.0,,,61-49,1,D. Brooks makes free throw 1 of 2
1:00.0,,,61-50,1,D. Brooks makes free throw 2 of 2
0:49.0,Turnover by N. Jokic (lost ball; steal by M. Chalmers),,61-50,,
0:46.0,,,61-52,2,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers)
0:39.0,N. Jokic misses 3-pt shot from 25 ft,,61-52,,
0:37.0,,,61-52,,Defensive rebound by D. Brooks
0:33.0,,,61-52,,Turnover by D. Brooks (out of bounds lost ball)
0:22.0,P. Millsap misses 2-pt shot at rim,,61-52,,
0:20.0,,,61-52,,Defensive rebound by W. Selden
0:06.0,,,61-54,2,M. Chalmers makes 2-pt shot from 16 ft
0:00.0,W. Barton makes 2-pt shot from 22 ft,2,63-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,63-56,2,M. Gasol makes 2-pt shot from 20 ft (assist by D. Brooks)
11:23.0,J. Murray misses 2-pt shot from 5 ft,,63-56,,
11:22.0,Offensive rebound by P. Millsap,,63-56,,
11:22.0,Shooting foul by J. Martin (drawn by P. Millsap),,63-56,,
11:22.0,P. Millsap makes free throw 1 of 2,1,64-56,,
11:22.0,P. Millsap makes free throw 2 of 2,1,65-56,,
11:09.0,,,65-56,,Turnover by J. Martin (lost ball; steal by G. Harris)
10:59.0,P. Millsap misses 2-pt shot from 2 ft (block by M. Chalmers),,65-56,,
10:54.0,,,65-56,,Defensive rebound by D. Brooks
10:53.0,,,65-58,2,J. Martin makes 2-pt shot at rim (assist by D. Brooks)
10:43.0,,,65-58,,Personal foul by J. Martin (drawn by P. Millsap)
10:37.0,,,65-58,,Personal foul by J. Martin (drawn by P. Millsap)
10:37.0,,,65-58,,I. Rabb enters the game for J. Martin
10:28.0,G. Harris makes 2-pt shot from 9 ft,2,67-58,,
10:16.0,,,67-58,,Turnover by M. Chalmers (bad pass; steal by P. Millsap)
10:08.0,Turnover by G. Harris (lost ball; steal by B. McLemore),,67-58,,
9:56.0,Jump ball: M. Gasol vs. N. Jokic,,,,Jump ball: M. Gasol vs. N. Jokic
9:52.0,,,67-58,,B. McLemore misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by N. Jokic,,67-58,,
9:33.0,G. Harris misses 3-pt shot from 23 ft,,67-58,,
9:31.0,,,67-58,,Defensive rebound by B. McLemore
9:17.0,,,67-58,,Turnover by M. Gasol (lost ball; steal by J. Murray)
9:12.0,J. Murray makes 2-pt shot at rim,2,69-58,,
8:49.0,,,69-60,2,B. McLemore makes 2-pt shot at rim (assist by I. Rabb)
8:38.0,J. Murray makes 2-pt shot at rim (assist by N. Jokic),2,71-60,,
8:34.0,Personal foul by J. Murray (drawn by M. Chalmers),,71-60,,
8:20.0,,,71-62,2,I. Rabb makes 2-pt shot from 18 ft
8:06.0,J. Murray makes 3-pt shot from 25 ft,3,74-62,,
7:54.0,,,74-62,,Turnover by M. Gasol (bad pass; steal by P. Millsap)
7:37.0,G. Harris makes 2-pt shot from 8 ft (assist by N. Jokic),2,76-62,,
7:28.0,,,76-65,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Chalmers)
7:04.0,J. Murray misses 2-pt shot from 2 ft (block by B. McLemore),,76-65,,
7:02.0,,,76-65,,Defensive rebound by M. Gasol
6:57.0,,,76-65,,B. McLemore misses 2-pt shot from 2 ft
6:53.0,,,76-65,,Offensive rebound by I. Rabb
6:53.0,,,76-67,2,I. Rabb makes 2-pt shot at rim
6:27.0,W. Chandler misses 3-pt shot from 22 ft,,76-67,,
6:25.0,,,76-67,,Defensive rebound by M. Gasol
6:13.0,,,76-67,,Turnover by M. Gasol (bad pass; steal by N. Jokic)
6:08.0,Offensive charge foul by G. Harris (drawn by M. Chalmers),,76-67,,
6:08.0,Turnover by G. Harris (offensive foul),,76-67,,
6:08.0,,,76-67,,Memphis full timeout
6:08.0,,,76-67,,M. Henry enters the game for B. McLemore
5:49.0,,,76-67,,M. Gasol misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by P. Millsap,,76-67,,
5:28.0,P. Millsap misses 2-pt shot from 11 ft,,76-67,,
5:27.0,,,76-67,,Defensive rebound by M. Gasol
5:23.0,,,76-69,2,D. Brooks makes 2-pt shot from 1 ft (assist by M. Gasol)
5:01.0,P. Millsap makes 2-pt shot at rim,2,78-69,,
4:48.0,,,78-69,,I. Rabb misses 2-pt shot from 4 ft
4:44.0,Defensive rebound by N. Jokic,,78-69,,
4:35.0,G. Harris misses 2-pt shot from 19 ft,,78-69,,
4:34.0,,,78-69,,Defensive rebound by M. Gasol
4:26.0,Personal foul by J. Murray (drawn by M. Chalmers),,78-69,,
4:26.0,,,78-69,,K. Simmons enters the game for M. Chalmers
4:26.0,W. Barton enters the game for P. Millsap,,78-69,,
4:26.0,M. Plumlee enters the game for W. Chandler,,78-69,,
4:26.0,D. Harris enters the game for J. Murray,,78-69,,
4:18.0,,,78-69,,Offensive foul by M. Gasol (drawn by M. Plumlee)
4:18.0,,,78-69,,Turnover by M. Gasol (offensive foul)
4:06.0,G. Harris makes 2-pt shot from 1 ft,2,80-69,,
3:47.0,,,80-71,2,I. Rabb makes 2-pt shot at rim (assist by M. Henry)
3:38.0,Shooting foul by I. Rabb (drawn by M. Plumlee),,80-71,,
3:38.0,M. Plumlee misses free throw 1 of 2,,80-71,,
3:38.0,Offensive rebound by Team,,80-71,,
3:38.0,,,80-71,,B. Johnson enters the game for M. Gasol
3:38.0,M. Plumlee makes free throw 2 of 2,1,81-71,,
3:23.0,,,81-71,,B. Johnson misses 2-pt shot from 18 ft
3:22.0,,,81-71,,Offensive rebound by I. Rabb
3:22.0,,,81-71,,I. Rabb misses 2-pt shot at rim
3:22.0,,,81-71,,Offensive rebound by I. Rabb
3:22.0,Personal foul by N. Jokic (drawn by I. Rabb),,81-71,,
3:22.0,,,81-71,,B. McLemore enters the game for D. Brooks
3:14.0,,,81-71,,Turnover by K. Simmons (lost ball; steal by G. Harris)
3:10.0,G. Harris makes 2-pt shot at rim,2,83-71,,
2:48.0,,,83-71,,K. Simmons misses 2-pt shot from 10 ft
2:45.0,,,83-71,,Offensive rebound by I. Rabb
2:45.0,,,83-71,,I. Rabb misses 2-pt shot at rim
2:43.0,,,83-71,,Offensive rebound by I. Rabb
2:43.0,,,83-71,,I. Rabb misses 2-pt shot at rim
2:43.0,Defensive rebound by G. Harris,,83-71,,
2:39.0,Turnover by G. Harris (bad pass; steal by I. Rabb),,83-71,,
2:33.0,,,83-73,2,B. Johnson makes 2-pt shot from 1 ft (assist by M. Henry)
2:13.0,Shooting foul by B. Johnson (drawn by N. Jokic),,83-73,,
2:13.0,Denver full timeout,,83-73,,
2:13.0,N. Jokic makes free throw 1 of 2,1,84-73,,
2:13.0,N. Jokic makes free throw 2 of 2,1,85-73,,
1:51.0,,,85-73,,M. Henry misses 2-pt shot from 16 ft
1:47.0,,,85-73,,Offensive rebound by K. Simmons
1:44.0,,,85-76,3,B. McLemore makes 3-pt shot from 25 ft (assist by K. Simmons)
1:25.0,G. Harris misses 3-pt shot from 25 ft,,85-76,,
1:21.0,Offensive rebound by Team,,85-76,,
1:21.0,T. Lyles enters the game for N. Jokic,,85-76,,
1:15.0,Turnover by M. Plumlee (bad pass; steal by M. Henry),,85-76,,
1:04.0,,,85-78,2,B. Johnson makes 2-pt shot from 2 ft
1:04.0,Violation by M. Plumlee (def goaltending),,85-78,,
0:51.0,W. Barton makes 2-pt shot from 15 ft,2,87-78,,
0:38.0,,,87-78,,B. McLemore misses 3-pt shot from 25 ft
0:36.0,,,87-78,,Offensive rebound by B. Johnson
0:33.0,,,87-78,,Turnover by B. Johnson (lost ball; steal by D. Harris)
0:29.0,W. Barton misses 2-pt shot from 22 ft,,87-78,,
0:26.0,Offensive rebound by G. Harris,,87-78,,
0:26.0,,,87-78,,Personal foul by M. Henry (drawn by G. Harris)
0:26.0,G. Harris makes free throw 1 of 2,1,88-78,,
0:26.0,G. Harris makes free throw 2 of 2,1,89-78,,
0:08.0,,,89-78,,Turnover by K. Simmons (lost ball; steal by D. Harris)
0:05.0,W. Barton makes 2-pt shot at rim (assist by D. Harris),2,91-78,,
0:04.0,Personal take foul by D. Harris (drawn by K. Simmons),,91-78,,
0:01.0,,,91-80,2,K. Simmons makes 2-pt shot at rim (assist by I. Rabb)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,91-80,,Personal foul by B. Johnson (drawn by M. Plumlee)
11:39.0,W. Barton misses 3-pt shot from 25 ft,,91-80,,
11:33.0,Offensive rebound by W. Barton,,91-80,,
11:26.0,W. Barton makes 2-pt shot at rim (assist by M. Plumlee),2,93-80,,
11:08.0,,,93-80,,Turnover by I. Rabb (bad pass; steal by W. Barton)
11:03.0,T. Lyles misses 2-pt shot at rim,,93-80,,
11:01.0,,,93-80,,Defensive rebound by B. Johnson
10:55.0,,,93-80,,K. Simmons misses 2-pt shot from 8 ft
10:53.0,Defensive rebound by T. Lyles,,93-80,,
10:44.0,M. Plumlee makes 2-pt shot from 1 ft (assist by W. Barton),2,95-80,,
10:24.0,,,95-80,,B. Johnson misses 2-pt shot from 22 ft
10:22.0,Defensive rebound by Team,,95-80,,
10:22.0,,,95-80,,M. Chalmers enters the game for K. Simmons
10:22.0,,,95-80,,M. Gasol enters the game for B. Johnson
10:14.0,D. Harris misses 3-pt shot from 25 ft,,95-80,,
10:11.0,,,95-80,,Defensive rebound by M. Gasol
10:01.0,,,95-80,,J. Martin enters the game for I. Rabb
9:53.0,,,95-83,3,M. Chalmers makes 3-pt shot from 25 ft (assist by M. Gasol)
9:32.0,Turnover by T. Lyles (bad pass; steal by M. Henry),,95-83,,
9:28.0,,,95-83,,M. Chalmers misses 3-pt shot from 26 ft
9:22.0,Defensive rebound by T. Lyles,,95-83,,
9:20.0,Turnover by T. Lyles (lost ball; steal by B. McLemore),,95-83,,
9:15.0,,,95-83,,B. McLemore misses 2-pt shot from 1 ft
9:12.0,,,95-83,,Offensive rebound by J. Martin
8:58.0,,,95-86,3,M. Gasol makes 3-pt shot from 26 ft (assist by M. Chalmers)
8:57.0,Denver full timeout,,95-86,,
8:37.0,Turnover by T. Lyles (bad pass; steal by B. McLemore),,95-86,,
8:27.0,,,95-86,,M. Chalmers misses 2-pt shot from 10 ft
8:23.0,,,95-86,,Offensive rebound by B. McLemore
8:23.0,,,95-88,2,B. McLemore makes 2-pt shot at rim
8:01.0,W. Barton misses 3-pt shot from 25 ft,,95-88,,
8:00.0,,,95-88,,Defensive rebound by M. Henry
7:53.0,,,95-91,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Chalmers)
7:23.0,W. Barton makes 2-pt shot from 11 ft,2,97-91,,
7:11.0,,,97-91,,M. Gasol misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by T. Lyles,,97-91,,
6:54.0,T. Lyles makes 2-pt shot from 12 ft,2,99-91,,
6:36.0,,,99-91,,Shooting foul by M. Plumlee (drawn by M. Gasol)
6:36.0,,,99-92,1,M. Gasol makes free throw 1 of 2
6:36.0,,,99-92,,D. Brooks enters the game for B. McLemore
6:36.0,N. Jokic enters the game for T. Lyles,,99-92,,
6:36.0,P. Millsap enters the game for W. Chandler,,99-92,,
6:36.0,G. Harris enters the game for M. Plumlee,,99-92,,
6:36.0,J. Murray enters the game for D. Harris,,99-92,,
6:36.0,,,99-93,1,M. Gasol makes free throw 2 of 2
6:15.0,,,99-93,,Personal foul by M. Henry (drawn by W. Barton)
6:12.0,,,99-93,,Personal foul by M. Gasol (drawn by N. Jokic)
6:00.0,J. Murray misses 3-pt shot from 25 ft,,99-93,,
5:58.0,Offensive rebound by Team,,99-93,,
5:58.0,Turnover by Team (shot clock),,99-93,,
5:47.0,,,99-93,,M. Gasol misses 3-pt shot from 26 ft
5:46.0,,,99-93,,Offensive rebound by Team
5:46.0,Loose ball foul by W. Barton (drawn by J. Martin),,99-93,,
5:35.0,,,99-93,,M. Chalmers misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by W. Barton,,99-93,,
5:16.0,G. Harris makes 2-pt shot from 20 ft,2,101-93,,
5:06.0,,,101-95,2,M. Gasol makes 2-pt shot at rim (assist by M. Chalmers)
5:06.0,,,101-95,,Shooting foul by P. Millsap (drawn by M. Gasol)
5:06.0,,,101-95,,B. McLemore enters the game for M. Henry
5:06.0,,,101-96,1,M. Gasol makes free throw 1 of 1
4:45.0,N. Jokic misses 2-pt shot from 5 ft,,101-96,,
4:43.0,,,101-96,,Defensive rebound by J. Martin
4:43.0,Personal take foul by N. Jokic (drawn by J. Martin),,101-96,,
4:32.0,,,101-96,,B. McLemore misses 3-pt shot from 26 ft
4:29.0,Defensive rebound by W. Barton,,101-96,,
4:06.0,G. Harris misses 2-pt shot from 14 ft,,101-96,,
4:01.0,,,101-96,,Defensive rebound by J. Martin
3:55.0,,,101-96,,Shooting foul by P. Millsap (drawn by M. Chalmers)
3:55.0,,,101-97,1,M. Chalmers makes free throw 1 of 2
3:55.0,,,101-98,1,M. Chalmers makes free throw 2 of 2
3:41.0,Turnover by N. Jokic (bad pass),,101-98,,
