time,San Antonio,pts.away,score,pts.home,Sacramento
10:48.0,Turnover by K. Anderson (lost ball; steal by G. Temple),,62-49,,
10:44.0,,,62-51,2,B. Hield makes 2-pt shot at rim
10:26.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,64-51,,
10:07.0,,,64-51,,B. Hield misses 3-pt shot from 25 ft
10:03.0,,,64-51,,Offensive rebound by B. Hield
9:50.0,,,64-53,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by G. Hill)
9:37.0,T. Parker misses 2-pt shot from 2 ft (block by B. Hield),,64-53,,
9:32.0,,,64-53,,Defensive rebound by W. Cauley-Stein
9:30.0,,,64-55,2,B. Hield makes 2-pt shot from 1 ft (assist by W. Cauley-Stein)
9:13.0,K. Anderson misses 2-pt shot from 20 ft,,64-55,,
9:09.0,,,64-55,,Defensive rebound by Z. Randolph
8:55.0,,,64-55,,W. Cauley-Stein misses 2-pt shot from 5 ft
8:53.0,Defensive rebound by P. Gasol,,64-55,,
8:41.0,B. Forbes misses 2-pt shot from 8 ft,,64-55,,
8:37.0,Offensive rebound by B. Forbes,,64-55,,
8:32.0,K. Anderson misses 2-pt shot from 21 ft,,64-55,,
8:26.0,,,64-55,,Defensive rebound by B. Hield
8:14.0,,,64-55,,G. Temple misses 2-pt shot from 18 ft
8:11.0,,,64-55,,Offensive rebound by W. Cauley-Stein
8:11.0,,,64-57,2,W. Cauley-Stein makes 2-pt shot at rim
8:11.0,San Antonio full timeout,,64-57,,
7:56.0,T. Parker makes 2-pt shot from 2 ft (assist by B. Forbes),2,66-57,,
7:38.0,,,66-57,,Z. Randolph misses 2-pt shot from 6 ft
7:35.0,Defensive rebound by P. Gasol,,66-57,,
7:26.0,T. Parker misses 2-pt shot from 12 ft,,66-57,,
7:20.0,,,66-57,,Defensive rebound by W. Cauley-Stein
7:13.0,,,66-57,,Turnover by G. Temple (bad pass; steal by B. Forbes)
7:12.0,,,66-57,,Personal foul by B. Hield (drawn by B. Forbes)
7:05.0,L. Aldridge makes 2-pt shot from 6 ft (assist by P. Gasol),2,68-57,,
6:48.0,,,68-57,,W. Cauley-Stein misses 2-pt shot from 17 ft
6:46.0,Defensive rebound by L. Aldridge,,68-57,,
6:31.0,T. Parker misses 2-pt shot from 5 ft,,68-57,,
6:29.0,,,68-57,,Defensive rebound by Z. Randolph
6:21.0,,,68-57,,W. Cauley-Stein misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by P. Gasol,,68-57,,
6:03.0,L. Aldridge misses 2-pt shot from 14 ft,,68-57,,
6:00.0,,,68-57,,Defensive rebound by G. Hill
5:50.0,,,68-59,2,W. Cauley-Stein makes 2-pt shot from 9 ft
5:33.0,P. Gasol misses 2-pt shot from 14 ft,,68-59,,
5:32.0,Offensive rebound by Team,,68-59,,
5:32.0,,,68-59,,Loose ball foul by W. Cauley-Stein (drawn by L. Aldridge)
5:32.0,P. Mills enters the game for P. Gasol,,68-59,,
5:32.0,R. Gay enters the game for T. Parker,,68-59,,
5:32.0,D. Murray enters the game for K. Anderson,,68-59,,
5:32.0,M. Ginobili enters the game for B. Forbes,,68-59,,
5:16.0,L. Aldridge misses 2-pt shot from 12 ft,,68-59,,
5:12.0,,,68-59,,Defensive rebound by B. Hield
5:09.0,,,68-59,,G. Temple misses 3-pt shot from 24 ft
5:05.0,,,68-59,,Offensive rebound by W. Cauley-Stein
5:04.0,,,68-61,2,W. Cauley-Stein makes 2-pt shot from 1 ft
4:48.0,R. Gay misses 3-pt shot from 25 ft,,68-61,,
4:45.0,,,68-61,,Defensive rebound by B. Hield
4:29.0,,,68-61,,Turnover by Z. Randolph (turnover)
4:29.0,,,68-61,,B. Bogdanovic enters the game for W. Cauley-Stein
4:12.0,M. Ginobili makes 2-pt shot from 8 ft (assist by L. Aldridge),2,70-61,,
4:02.0,,,70-63,2,Z. Randolph makes 2-pt shot from 3 ft (assist by G. Temple)
3:40.0,D. Murray makes 2-pt shot from 15 ft,2,72-63,,
3:14.0,,,72-63,,Turnover by G. Hill (bad pass; steal by M. Ginobili)
3:13.0,,,72-63,,Personal foul by B. Bogdanovic (drawn by D. Murray)
3:01.0,M. Ginobili makes 2-pt shot from 3 ft,2,74-63,,
2:43.0,,,74-65,2,G. Hill makes 2-pt shot from 19 ft (assist by Z. Randolph)
2:22.0,P. Mills misses 3-pt shot from 25 ft,,74-65,,
2:20.0,,,74-65,,Defensive rebound by G. Temple
2:15.0,,,74-68,3,B. Hield makes 3-pt shot from 25 ft (assist by G. Temple)
1:55.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Murray),2,76-68,,
1:44.0,,,76-68,,G. Temple misses 3-pt shot from 24 ft
1:41.0,Defensive rebound by M. Ginobili,,76-68,,
1:28.0,M. Ginobili makes 2-pt shot from 2 ft (assist by D. Murray),2,78-68,,
1:07.0,,,78-70,2,Z. Randolph makes 2-pt shot from 2 ft (assist by G. Temple)
0:53.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Murray),2,80-70,,
0:38.0,,,80-73,3,G. Hill makes 3-pt shot from 25 ft (assist by Z. Randolph)
0:28.0,L. Aldridge makes 2-pt shot from 1 ft (assist by R. Gay),2,82-73,,
