time,Orlando,pts.away,score,pts.home,Utah
8:03.0,,,3-9,,Personal foul by D. Mitchell (drawn by J. Simmons)
7:51.0,N. Vucevic makes 2-pt shot from 10 ft (assist by D. Augustin),2,5-9,,
7:21.0,,,5-9,,R. Gobert misses 2-pt shot from 4 ft (block by N. Vucevic)
7:18.0,Defensive rebound by N. Vucevic,,5-9,,
7:14.0,A. Gordon misses 2-pt shot from 3 ft,,5-9,,
7:08.0,Offensive rebound by A. Gordon,,5-9,,
7:08.0,A. Gordon makes 2-pt shot at rim,2,7-9,,
6:58.0,,,7-9,,J. Ingles misses 2-pt shot from 8 ft
6:56.0,Defensive rebound by N. Vucevic,,7-9,,
6:49.0,A. Gordon misses 3-pt shot from 22 ft,,7-9,,
6:47.0,,,7-9,,Defensive rebound by R. Gobert
6:37.0,,,7-9,,J. Ingles misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by J. Simmons,,7-9,,
6:28.0,N. Vucevic makes 3-pt shot from 24 ft (assist by J. Simmons),3,10-9,,
6:24.0,,,10-9,,Utah full timeout
6:24.0,,,10-9,,J. Crowder enters the game for J. Jerebko
6:15.0,Personal foul by N. Vucevic (drawn by R. Rubio),,10-9,,
6:08.0,,,10-11,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
5:48.0,Turnover by N. Vucevic (turnover),,10-11,,
5:33.0,,,10-11,,J. Crowder misses 2-pt shot from 19 ft
5:30.0,,,10-11,,Offensive rebound by R. Gobert
5:23.0,,,10-13,2,R. Rubio makes 2-pt shot from 13 ft
5:09.0,D. Augustin makes 2-pt shot from 9 ft,2,12-13,,
4:49.0,,,12-13,,J. Crowder misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by N. Vucevic,,12-13,,
4:36.0,J. Simmons makes 2-pt shot from 5 ft,2,14-13,,
4:22.0,,,14-15,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
4:12.0,E. Fournier makes 2-pt shot from 2 ft (assist by D. Augustin),2,16-15,,
3:53.0,,,16-17,2,D. Mitchell makes 2-pt shot from 2 ft
3:39.0,D. Augustin makes 3-pt shot from 25 ft,3,19-17,,
3:17.0,,,19-19,2,J. Ingles makes 2-pt shot from 1 ft
2:54.0,E. Fournier makes 3-pt shot from 24 ft (assist by N. Vucevic),3,22-19,,
2:35.0,,,22-22,3,J. Ingles makes 3-pt shot from 25 ft (assist by J. Crowder)
2:22.0,,,22-22,,Personal block foul by R. Rubio (drawn by J. Simmons)
2:22.0,,,22-22,,R. O'Neale enters the game for J. Ingles
2:22.0,,,22-22,,A. Burks enters the game for R. Rubio
2:22.0,,,22-22,,E. Udoh enters the game for R. Gobert
2:22.0,M. Hezonja enters the game for J. Simmons,,22-22,,
2:15.0,Turnover by D. Augustin (lost ball; steal by E. Udoh),,22-22,,
2:10.0,,,22-22,,Turnover by R. O'Neale (bad pass; steal by M. Hezonja)
2:05.0,A. Gordon misses 2-pt shot from 3 ft (block by E. Udoh),,22-22,,
2:05.0,Offensive rebound by Team,,22-22,,
2:05.0,S. Mack enters the game for A. Gordon,,22-22,,
2:05.0,J. Isaac enters the game for N. Vucevic,,22-22,,
2:05.0,B. Biyombo enters the game for D. Augustin,,22-22,,
1:59.0,E. Fournier misses 3-pt shot from 23 ft,,22-22,,
1:57.0,,,22-22,,Defensive rebound by Team
1:39.0,,,22-22,,D. Mitchell misses 2-pt shot from 4 ft (block by J. Isaac)
1:37.0,Defensive rebound by E. Fournier,,22-22,,
1:34.0,M. Hezonja makes 2-pt shot from 2 ft (assist by E. Fournier),2,24-22,,
1:17.0,,,24-22,,J. Crowder misses 3-pt shot from 24 ft
1:15.0,Defensive rebound by B. Biyombo,,24-22,,
1:06.0,J. Isaac misses 2-pt shot from 10 ft,,24-22,,
1:05.0,,,24-22,,Defensive rebound by D. Mitchell
0:59.0,,,24-22,,Turnover by A. Burks (step out of bounds)
0:50.0,E. Fournier misses 3-pt shot from 25 ft,,24-22,,
0:47.0,,,24-22,,Defensive rebound by E. Udoh
0:43.0,,,24-25,3,A. Burks makes 3-pt shot from 25 ft
0:35.0,S. Mack makes 3-pt shot from 27 ft,3,27-25,,
0:17.0,,,27-25,,R. O'Neale misses 3-pt shot from 23 ft
0:15.0,Defensive rebound by Team,,27-25,,
0:15.0,,,27-25,,Loose ball foul by E. Udoh (drawn by B. Biyombo)
0:15.0,W. Iwundu enters the game for E. Fournier,,27-25,,
0:00.0,M. Hezonja makes 2-pt shot from 7 ft,2,29-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,M. Hezonja misses 3-pt shot from 24 ft,,29-25,,
11:45.0,,,29-25,,Defensive rebound by J. Crowder
11:41.0,,,29-25,,Turnover by J. Crowder (lost ball; steal by J. Isaac)
11:35.0,B. Biyombo makes 2-pt shot from 1 ft (assist by S. Mack),2,31-25,,
11:14.0,,,31-25,,E. Udoh misses 2-pt shot from 2 ft (block by J. Isaac)
11:08.0,Defensive rebound by S. Mack,,31-25,,
10:56.0,B. Biyombo misses 2-pt shot from 11 ft,,31-25,,
10:52.0,,,31-25,,Defensive rebound by A. Burks
10:47.0,,,31-25,,A. Burks misses 3-pt shot from 24 ft
10:46.0,,,31-25,,Offensive rebound by A. Burks
10:36.0,,,31-25,,Turnover by R. O'Neale (out of bounds lost ball)
10:23.0,M. Hezonja misses 2-pt shot from 2 ft (block by E. Udoh),,31-25,,
10:19.0,,,31-25,,Defensive rebound by A. Burks
10:19.0,,,31-25,,Offensive charge foul by A. Burks (drawn by J. Isaac)
10:19.0,,,31-25,,Turnover by A. Burks (offensive foul)
10:06.0,B. Biyombo misses 2-pt shot from 7 ft (block by E. Udoh),,31-25,,
10:06.0,Offensive rebound by Team,,31-25,,
10:02.0,S. Mack misses 3-pt shot from 26 ft,,31-25,,
9:59.0,Offensive rebound by J. Isaac,,31-25,,
9:48.0,J. Isaac misses 2-pt shot from 10 ft,,31-25,,
9:46.0,,,31-25,,Defensive rebound by E. Udoh
9:38.0,,,31-25,,J. Crowder misses 2-pt shot from 3 ft
9:38.0,,,31-25,,Offensive rebound by Team
9:26.0,,,31-28,3,R. Neto makes 3-pt shot from 24 ft (assist by R. O'Neale)
9:07.0,W. Iwundu makes 2-pt shot from 1 ft,2,33-28,,
8:58.0,Personal foul by M. Hezonja (drawn by E. Udoh),,33-28,,
8:58.0,,,33-28,,J. Jerebko enters the game for E. Udoh
8:58.0,,,33-28,,R. Gobert enters the game for J. Crowder
8:42.0,,,33-28,,A. Burks misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by B. Biyombo,,33-28,,
8:29.0,J. Isaac misses 3-pt shot from 24 ft,,33-28,,
8:25.0,Offensive rebound by B. Biyombo,,33-28,,
8:25.0,,,33-28,,Personal foul by R. Neto (drawn by B. Biyombo)
8:25.0,Orlando full timeout,,33-28,,
8:25.0,,,33-28,,J. Ingles enters the game for A. Burks
8:17.0,Turnover by M. Hezonja (bad pass),,33-28,,
8:01.0,,,33-30,2,R. O'Neale makes 2-pt shot from 1 ft (assist by J. Ingles)
7:47.0,B. Biyombo misses 2-pt shot from 18 ft,,33-30,,
7:46.0,,,33-30,,Defensive rebound by Team
7:46.0,,,33-30,,R. Rubio enters the game for R. Neto
7:30.0,Violation by B. Biyombo (kicked ball),,33-30,,
7:30.0,,,33-30,,D. Mitchell enters the game for R. O'Neale
7:22.0,,,33-32,2,R. Rubio makes 2-pt shot from 1 ft (assist by J. Ingles)
7:10.0,S. Mack makes 2-pt shot from 5 ft (assist by B. Biyombo),2,35-32,,
7:04.0,,,35-35,3,J. Ingles makes 3-pt shot from 23 ft (assist by R. Rubio)
6:51.0,S. Mack misses 2-pt shot from 13 ft,,35-35,,
6:48.0,Offensive rebound by S. Mack,,35-35,,
6:48.0,Shooting foul by R. Gobert (drawn by S. Mack),,35-35,,
6:48.0,S. Mack makes free throw 1 of 2,1,36-35,,
6:48.0,J. Simmons enters the game for W. Iwundu,,36-35,,
6:48.0,S. Mack makes free throw 2 of 2,1,37-35,,
6:33.0,,,37-35,,J. Jerebko misses 3-pt shot from 23 ft
6:31.0,Defensive rebound by J. Isaac,,37-35,,
6:23.0,B. Biyombo misses 2-pt shot from 6 ft (block by R. Gobert),,37-35,,
6:19.0,Offensive rebound by B. Biyombo,,37-35,,
6:18.0,B. Biyombo makes 2-pt shot from 2 ft,2,39-35,,
6:04.0,,,39-38,3,J. Jerebko makes 3-pt shot from 23 ft (assist by R. Rubio)
5:52.0,Turnover by S. Mack (bad pass; steal by J. Jerebko),,39-38,,
5:52.0,Personal foul by S. Mack (drawn by J. Jerebko),,39-38,,
5:52.0,A. Gordon enters the game for J. Isaac,,39-38,,
5:52.0,N. Vucevic enters the game for B. Biyombo,,39-38,,
5:38.0,,,39-40,2,D. Mitchell makes 2-pt shot from 13 ft
5:20.0,M. Hezonja misses 3-pt shot from 24 ft,,39-40,,
5:18.0,,,39-40,,Defensive rebound by R. Gobert
5:11.0,,,39-40,,R. Rubio misses 3-pt shot from 23 ft
5:01.0,,,39-40,,Offensive rebound by R. Gobert
5:01.0,,,39-42,2,R. Gobert makes 2-pt shot at rim
4:51.0,N. Vucevic misses 2-pt shot from 10 ft,,39-42,,
4:48.0,,,39-42,,Defensive rebound by J. Ingles
4:38.0,,,39-44,2,J. Ingles makes 2-pt shot from 4 ft
4:38.0,Orlando full timeout,,39-44,,
4:38.0,,,39-44,,J. Crowder enters the game for J. Jerebko
4:38.0,D. Augustin enters the game for S. Mack,,39-44,,
4:38.0,E. Fournier enters the game for M. Hezonja,,39-44,,
4:14.0,A. Gordon misses 2-pt shot at rim,,39-44,,
4:12.0,Offensive rebound by A. Gordon,,39-44,,
4:09.0,A. Gordon misses 2-pt shot from 4 ft,,39-44,,
4:08.0,,,39-44,,Defensive rebound by R. Gobert
3:48.0,,,39-47,3,J. Ingles makes 3-pt shot from 27 ft
3:21.0,E. Fournier misses 2-pt shot from 9 ft (block by D. Mitchell),,39-47,,
3:18.0,,,39-47,,Defensive rebound by R. Gobert
3:13.0,,,39-47,,J. Crowder misses 3-pt shot from 22 ft
3:10.0,,,39-47,,Offensive rebound by R. Gobert
3:09.0,Personal foul by J. Simmons (drawn by R. Gobert),,39-47,,
3:04.0,,,39-47,,J. Ingles misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by N. Vucevic,,39-47,,
2:54.0,Turnover by D. Augustin (bad pass),,39-47,,
2:38.0,,,39-47,,J. Crowder misses 3-pt shot from 23 ft
2:36.0,Defensive rebound by D. Augustin,,39-47,,
2:28.0,,,39-47,,Personal foul by R. Gobert (drawn by A. Gordon)
2:14.0,E. Fournier misses 3-pt shot from 24 ft,,39-47,,
2:13.0,Offensive rebound by Team,,39-47,,
2:13.0,,,39-47,,Loose ball foul by J. Ingles (drawn by N. Vucevic)
2:01.0,Shooting foul by R. Rubio (drawn by A. Gordon),,39-47,,
2:01.0,A. Gordon makes free throw 1 of 2,1,40-47,,
2:01.0,,,40-47,,R. O'Neale enters the game for R. Rubio
2:01.0,A. Gordon makes free throw 2 of 2,1,41-47,,
1:50.0,,,41-49,2,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles)
1:36.0,E. Fournier misses 2-pt shot from 9 ft,,41-49,,
1:34.0,,,41-49,,Defensive rebound by R. Gobert
1:18.0,Personal foul by J. Simmons (drawn by J. Crowder),,41-49,,
1:18.0,,,41-49,,Utah full timeout
1:18.0,S. Mack enters the game for J. Simmons,,41-49,,
1:08.0,,,41-51,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
0:51.0,N. Vucevic makes 3-pt shot from 24 ft (assist by D. Augustin),3,44-51,,
0:44.0,,,44-51,,D. Mitchell misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by A. Gordon,,44-51,,
0:37.0,A. Gordon misses 3-pt shot from 24 ft,,44-51,,
0:34.0,,,44-51,,Defensive rebound by R. O'Neale
0:18.0,,,44-54,3,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Ingles)
0:00.0,D. Augustin misses 3-pt shot from 27 ft,,44-54,,
0:00.0,Offensive rebound by Team,,44-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,A. Gordon misses 2-pt shot from 16 ft,,44-54,,
11:40.0,,,44-54,,Defensive rebound by D. Mitchell
11:35.0,,,44-56,2,R. Rubio makes 2-pt shot from 1 ft (assist by D. Mitchell)
11:16.0,J. Isaac misses 2-pt shot from 10 ft,,44-56,,
11:14.0,,,44-56,,Defensive rebound by R. Gobert
10:54.0,Personal foul by E. Fournier (drawn by D. Mitchell),,44-56,,
10:42.0,,,44-58,2,R. Gobert makes 2-pt shot from 14 ft (assist by D. Mitchell)
10:20.0,E. Fournier misses 2-pt shot from 22 ft,,44-58,,
10:18.0,,,44-58,,Defensive rebound by R. Rubio
10:10.0,,,44-58,,R. Rubio misses 2-pt shot from 10 ft
10:07.0,Defensive rebound by A. Gordon,,44-58,,
10:00.0,Turnover by A. Gordon (bad pass; steal by R. Rubio),,44-58,,
9:58.0,,,44-58,,Shooting foul by E. Fournier (drawn by J. Jerebko)
9:58.0,,,44-58,,J. Jerebko misses free throw 1 of 2
9:58.0,,,44-58,,Offensive rebound by Team
9:58.0,,,44-59,1,J. Jerebko makes free throw 2 of 2
9:42.0,A. Gordon misses 3-pt shot from 24 ft,,44-59,,
9:39.0,,,44-59,,Defensive rebound by D. Mitchell
9:29.0,,,44-59,,R. Rubio misses 3-pt shot from 24 ft
9:27.0,,,44-59,,Offensive rebound by J. Jerebko
9:19.0,,,44-59,,Turnover by R. Gobert (out of bounds lost ball)
9:08.0,N. Vucevic makes 2-pt shot from 16 ft (assist by D. Augustin),2,46-59,,
8:54.0,,,46-62,3,J. Jerebko makes 3-pt shot from 23 ft (assist by R. Rubio)
8:42.0,D. Augustin misses 3-pt shot from 25 ft,,46-62,,
8:40.0,,,46-62,,Defensive rebound by J. Jerebko
8:33.0,Personal foul by A. Gordon (drawn by J. Jerebko),,46-62,,
8:26.0,,,46-62,,D. Mitchell misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by A. Gordon,,46-62,,
8:16.0,,,46-62,,Shooting block foul by J. Jerebko (drawn by A. Gordon)
8:16.0,A. Gordon makes free throw 1 of 2,1,47-62,,
8:16.0,A. Gordon makes free throw 2 of 2,1,48-62,,
8:06.0,,,48-62,,Turnover by R. Rubio (bad pass)
7:45.0,N. Vucevic misses 2-pt shot from 16 ft,,48-62,,
7:42.0,,,48-62,,Defensive rebound by J. Ingles
7:34.0,,,48-62,,J. Ingles misses 2-pt shot from 6 ft
7:32.0,Defensive rebound by N. Vucevic,,48-62,,
7:29.0,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier),2,50-62,,
7:13.0,,,50-62,,Shooting foul by A. Gordon (drawn by R. Gobert)
7:13.0,,,50-63,1,R. Gobert makes free throw 1 of 2
7:13.0,,,50-63,,R. Gobert misses free throw 2 of 2
7:09.0,Defensive rebound by N. Vucevic,,50-63,,
6:56.0,D. Augustin makes 2-pt shot from 2 ft (assist by N. Vucevic),2,52-63,,
6:56.0,,,52-63,,Utah full timeout
6:56.0,,,52-63,,J. Crowder enters the game for J. Jerebko
6:40.0,,,52-63,,D. Mitchell misses 2-pt shot from 10 ft
6:37.0,Defensive rebound by J. Isaac,,52-63,,
6:27.0,E. Fournier misses 2-pt shot from 13 ft,,52-63,,
6:27.0,Offensive rebound by Team,,52-63,,
6:27.0,,,52-63,,Loose ball foul by D. Mitchell (drawn by N. Vucevic)
6:10.0,D. Augustin makes 3-pt shot from 25 ft,3,55-63,,
5:52.0,,,55-65,2,D. Mitchell makes 2-pt shot from 13 ft
5:38.0,N. Vucevic misses 2-pt shot from 10 ft,,55-65,,
5:38.0,Offensive rebound by Team,,55-65,,
5:38.0,,,55-65,,Loose ball foul by J. Ingles (drawn by J. Isaac)
5:38.0,,,55-65,,R. O'Neale enters the game for J. Ingles
5:38.0,J. Simmons enters the game for J. Isaac,,55-65,,
5:28.0,Offensive foul by N. Vucevic (drawn by R. Rubio),,55-65,,
5:28.0,Turnover by N. Vucevic (offensive foul),,55-65,,
5:19.0,Personal block foul by A. Gordon (drawn by R. Gobert),,55-65,,
5:19.0,,,55-65,,R. Gobert misses free throw 1 of 2
5:19.0,,,55-65,,Offensive rebound by Team
5:19.0,,,55-65,,R. Gobert misses free throw 2 of 2
5:17.0,Defensive rebound by E. Fournier,,55-65,,
5:04.0,N. Vucevic misses 2-pt shot from 3 ft (block by R. Gobert),,55-65,,
5:04.0,Offensive rebound by Team,,55-65,,
5:01.0,N. Vucevic makes 2-pt shot from 17 ft (assist by A. Gordon),2,57-65,,
4:48.0,,,57-67,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
4:27.0,A. Gordon makes 2-pt shot from 12 ft,2,59-67,,
4:07.0,,,59-69,2,R. Rubio makes 2-pt shot from 18 ft
3:50.0,E. Fournier misses 3-pt shot from 24 ft,,59-69,,
3:48.0,,,59-69,,Defensive rebound by R. Rubio
3:41.0,,,59-71,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Mitchell)
3:41.0,Orlando full timeout,,59-71,,
3:41.0,,,59-71,,J. Ingles enters the game for R. Rubio
3:41.0,S. Mack enters the game for E. Fournier,,59-71,,
3:41.0,M. Hezonja enters the game for D. Augustin,,59-71,,
3:33.0,,,59-71,,Personal foul by J. Crowder (drawn by A. Gordon)
3:27.0,A. Gordon misses 2-pt shot from 11 ft,,59-71,,
3:24.0,,,59-71,,Defensive rebound by R. Gobert
3:10.0,,,59-71,,Shooting foul by J. Simmons (drawn by D. Mitchell)
3:10.0,,,59-71,,D. Mitchell misses free throw 1 of 2
3:10.0,,,59-71,,Offensive rebound by Team
3:10.0,,,59-72,1,D. Mitchell makes free throw 2 of 2
2:50.0,,,59-72,,Personal foul by R. O'Neale (drawn by J. Simmons)
2:50.0,J. Simmons makes free throw 1 of 2,1,60-72,,
2:50.0,,,60-72,,E. Udoh enters the game for R. Gobert
2:50.0,B. Biyombo enters the game for N. Vucevic,,60-72,,
2:50.0,J. Simmons misses free throw 2 of 2,,60-72,,
2:48.0,,,60-72,,Defensive rebound by D. Mitchell
2:29.0,,,60-72,,J. Ingles misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by M. Hezonja,,60-72,,
2:18.0,Shooting foul by E. Udoh (drawn by J. Simmons),,60-72,,
2:18.0,J. Simmons makes free throw 1 of 2,1,61-72,,
2:18.0,,,61-72,,R. Neto enters the game for D. Mitchell
2:18.0,J. Simmons misses free throw 2 of 2,,61-72,,
2:16.0,,,61-72,,Defensive rebound by E. Udoh
1:59.0,,,61-72,,J. Crowder misses 2-pt shot from 3 ft (block by B. Biyombo)
1:58.0,Defensive rebound by Team,,61-72,,
1:47.0,Turnover by S. Mack (bad pass; steal by J. Ingles),,61-72,,
1:40.0,,,61-72,,J. Crowder misses 3-pt shot from 22 ft
1:36.0,Defensive rebound by M. Hezonja,,61-72,,
1:28.0,M. Hezonja makes 3-pt shot from 25 ft,3,64-72,,
1:16.0,,,64-72,,Turnover by J. Crowder (lost ball; steal by S. Mack)
1:13.0,Turnover by S. Mack (out of bounds lost ball),,64-72,,
1:13.0,W. Iwundu enters the game for A. Gordon,,64-72,,
1:00.0,,,64-72,,J. Ingles misses 3-pt shot from 24 ft
0:57.0,Defensive rebound by B. Biyombo,,64-72,,
0:48.0,M. Hezonja makes 3-pt shot from 27 ft (assist by S. Mack),3,67-72,,
0:33.0,,,67-74,2,J. Crowder makes 2-pt shot from 2 ft (assist by J. Ingles)
0:27.0,M. Hezonja misses 3-pt shot from 26 ft,,67-74,,
0:23.0,,,67-74,,Defensive rebound by J. Ingles
0:03.0,,,67-74,,J. Ingles misses 2-pt shot from 5 ft
0:01.0,,,67-74,,Offensive rebound by E. Udoh
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,67-74,,Turnover by E. Udoh (step out of bounds)
11:19.0,S. Mack misses 2-pt shot from 4 ft (block by J. Ingles),,67-74,,
11:19.0,Offensive rebound by Team,,67-74,,
11:19.0,,,67-74,,D. Mitchell enters the game for J. Ingles
11:14.0,J. Simmons misses 3-pt shot from 24 ft,,67-74,,
11:10.0,,,67-74,,Defensive rebound by J. Jerebko
10:58.0,,,67-77,3,J. Jerebko makes 3-pt shot from 24 ft (assist by R. O'Neale)
10:33.0,S. Mack misses 2-pt shot from 9 ft,,67-77,,
10:30.0,,,67-77,,Defensive rebound by R. O'Neale
10:19.0,,,67-77,,Turnover by R. O'Neale (lost ball; steal by M. Hezonja)
10:08.0,B. Biyombo misses 2-pt shot from 12 ft,,67-77,,
10:04.0,,,67-77,,Defensive rebound by E. Udoh
9:56.0,,,67-77,,J. Jerebko misses 3-pt shot from 26 ft
9:52.0,Defensive rebound by M. Hezonja,,67-77,,
9:40.0,M. Hezonja misses 3-pt shot from 26 ft,,67-77,,
9:38.0,,,67-77,,Defensive rebound by D. Mitchell
9:30.0,,,67-77,,R. O'Neale misses 3-pt shot from 22 ft
9:28.0,Defensive rebound by B. Biyombo,,67-77,,
9:19.0,Shooting foul by E. Udoh (drawn by S. Mack),,67-77,,
9:19.0,S. Mack makes free throw 1 of 2,1,68-77,,
9:19.0,,,68-77,,R. Gobert enters the game for R. O'Neale
9:19.0,,,68-77,,J. Ingles enters the game for E. Udoh
9:19.0,S. Mack misses free throw 2 of 2,,68-77,,
9:17.0,,,68-77,,Defensive rebound by R. Gobert
8:59.0,Personal foul by W. Iwundu (drawn by R. Gobert),,68-77,,
8:52.0,,,68-77,,Offensive charge foul by D. Mitchell (drawn by M. Hezonja)
8:52.0,,,68-77,,Turnover by D. Mitchell (offensive foul)
8:38.0,B. Biyombo makes 2-pt shot from 2 ft (assist by J. Simmons),2,70-77,,
8:13.0,,,70-79,2,J. Jerebko makes 2-pt shot from 12 ft
7:49.0,J. Simmons misses 2-pt shot from 18 ft,,70-79,,
7:46.0,,,70-79,,Defensive rebound by J. Ingles
7:32.0,,,70-79,,Offensive foul by R. Gobert (drawn by W. Iwundu)
7:32.0,,,70-79,,Turnover by R. Gobert (offensive foul)
7:32.0,E. Fournier enters the game for B. Biyombo,,70-79,,
7:32.0,N. Vucevic enters the game for W. Iwundu,,70-79,,
7:15.0,N. Vucevic misses 2-pt shot from 15 ft,,70-79,,
7:13.0,,,70-79,,Defensive rebound by J. Ingles
7:03.0,,,70-79,,Shooting foul by J. Simmons (drawn by D. Mitchell)
7:03.0,,,70-80,1,D. Mitchell makes free throw 1 of 2
7:03.0,,,70-80,,D. Mitchell misses free throw 2 of 2
7:00.0,Defensive rebound by N. Vucevic,,70-80,,
6:50.0,E. Fournier makes 3-pt shot from 25 ft (assist by S. Mack),3,73-80,,
6:48.0,,,73-80,,Utah full timeout
6:48.0,,,73-80,,J. Crowder enters the game for R. Rubio
6:31.0,,,73-80,,Shooting foul by N. Vucevic (drawn by R. Gobert)
6:31.0,,,73-81,1,R. Gobert makes free throw 1 of 2
6:31.0,,,73-81,,R. Rubio enters the game for J. Jerebko
6:31.0,,,73-82,1,R. Gobert makes free throw 2 of 2
6:15.0,E. Fournier misses 3-pt shot from 25 ft,,73-82,,
6:13.0,,,73-82,,Defensive rebound by R. Gobert
6:06.0,Personal foul by M. Hezonja (drawn by D. Mitchell),,73-82,,
6:06.0,A. Gordon enters the game for S. Mack,,73-82,,
6:06.0,D. Augustin enters the game for M. Hezonja,,73-82,,
5:57.0,,,73-82,,Shooting foul by N. Vucevic (drawn by J. Crowder)
5:57.0,,,73-83,1,J. Crowder makes free throw 1 of 2
5:57.0,,,73-84,1,J. Crowder makes free throw 2 of 2
5:45.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,75-84,,
5:28.0,,,75-84,,Shooting foul by J. Simmons (drawn by D. Mitchell)
5:28.0,,,75-85,1,D. Mitchell makes free throw 1 of 2
5:28.0,J. Isaac enters the game for J. Simmons,,75-85,,
5:28.0,,,75-86,1,D. Mitchell makes free throw 2 of 2
5:10.0,A. Gordon misses 2-pt shot from 19 ft,,75-86,,
5:07.0,,,75-86,,Defensive rebound by R. Gobert
4:58.0,,,75-86,,Shooting foul by E. Fournier (drawn by D. Mitchell)
4:58.0,,,75-87,1,D. Mitchell makes free throw 1 of 2
4:58.0,,,75-88,1,D. Mitchell makes free throw 2 of 2
4:58.0,Orlando full timeout,,75-88,,
4:36.0,E. Fournier misses 3-pt shot from 25 ft,,75-88,,
4:32.0,,,75-88,,Defensive rebound by J. Ingles
4:19.0,,,75-88,,D. Mitchell misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by N. Vucevic,,75-88,,
4:09.0,N. Vucevic makes 3-pt shot from 25 ft (assist by J. Isaac),3,78-88,,
3:43.0,,,78-90,2,D. Mitchell makes 2-pt shot from 5 ft
3:30.0,J. Isaac misses 3-pt shot from 25 ft,,78-90,,
3:25.0,,,78-90,,Defensive rebound by R. Gobert
3:02.0,,,78-90,,Turnover by R. Rubio (bad pass; steal by J. Isaac)
2:53.0,,,78-90,,Personal foul by R. Rubio (drawn by J. Isaac)
2:45.0,,,78-90,,Personal foul by R. Rubio (drawn by N. Vucevic)
2:43.0,E. Fournier misses 2-pt shot from 14 ft,,78-90,,
2:41.0,,,78-90,,Defensive rebound by R. Rubio
2:19.0,,,78-90,,D. Mitchell misses 3-pt shot from 23 ft
2:19.0,,,78-90,,Offensive rebound by Team
