time,Toronto,pts.away,score,pts.home,Memphis
6:18.0,,,12-17,,J. Ennis enters the game for D. Brooks
6:18.0,J. Poeltl enters the game for S. Ibaka,,12-17,,
6:18.0,P. Siakam enters the game for J. Valanciunas,,12-17,,
6:06.0,,,12-17,,Turnover by M. Chalmers (lost ball; steal by O. Anunoby)
6:02.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,14-17,,
5:44.0,,,14-19,2,M. Gasol makes 2-pt shot from 1 ft
5:33.0,D. DeRozan makes 2-pt shot from 15 ft,2,16-19,,
5:13.0,,,16-22,3,M. Chalmers makes 3-pt shot from 25 ft (assist by M. Gasol)
4:57.0,K. Lowry makes 3-pt shot from 25 ft (assist by D. DeRozan),3,19-22,,
4:40.0,,,19-22,,Turnover by J. Green (traveling)
4:40.0,,,19-22,,B. McLemore enters the game for J. Green
4:26.0,D. DeRozan misses 2-pt shot from 10 ft,,19-22,,
4:22.0,,,19-22,,Defensive rebound by M. Gasol
4:18.0,,,19-22,,Loose ball foul by M. Gasol (drawn by D. DeRozan)
4:18.0,,,19-22,,Turnover by M. Gasol (turnover)
3:54.0,O. Anunoby makes 2-pt shot from 1 ft (assist by K. Lowry),2,21-22,,
3:29.0,,,21-24,2,M. Gasol makes 2-pt shot at rim (assist by J. Ennis)
3:25.0,K. Lowry misses 3-pt shot from 25 ft,,21-24,,
3:24.0,,,21-24,,Defensive rebound by C. Parsons
3:12.0,,,21-24,,B. McLemore misses 2-pt shot from 16 ft
3:08.0,Defensive rebound by D. DeRozan,,21-24,,
3:01.0,Turnover by D. DeRozan (lost ball; steal by J. Ennis),,21-24,,
2:54.0,,,21-24,,Turnover by J. Ennis (bad pass; steal by D. DeRozan)
2:51.0,J. Poeltl misses 2-pt shot at rim,,21-24,,
2:51.0,Offensive rebound by P. Siakam,,21-24,,
2:51.0,P. Siakam makes 2-pt shot at rim,2,23-24,,
2:51.0,,,23-24,,Memphis full timeout
2:51.0,,,23-24,,D. Davis enters the game for M. Gasol
2:51.0,F. VanVleet enters the game for O. Anunoby,,23-24,,
2:51.0,C. Miles enters the game for K. Lowry,,23-24,,
2:38.0,,,23-26,2,C. Parsons makes 2-pt shot from 14 ft
2:16.0,P. Siakam misses 2-pt shot from 5 ft (block by C. Parsons),,23-26,,
2:12.0,Offensive rebound by J. Poeltl,,23-26,,
2:10.0,C. Miles misses 3-pt shot from 25 ft,,23-26,,
2:08.0,,,23-26,,Defensive rebound by M. Chalmers
2:06.0,,,23-29,3,B. McLemore makes 3-pt shot from 26 ft (assist by M. Chalmers)
1:51.0,F. VanVleet misses 2-pt shot from 6 ft,,23-29,,
1:47.0,,,23-29,,Defensive rebound by D. Davis
1:39.0,,,23-31,2,B. McLemore makes 2-pt shot at rim (assist by M. Chalmers)
1:25.0,F. VanVleet misses 3-pt shot from 22 ft,,23-31,,
1:22.0,,,23-31,,Defensive rebound by D. Davis
1:17.0,,,23-33,2,J. Ennis makes 2-pt shot from 1 ft
1:11.0,,,23-33,,Personal foul by M. Chalmers (drawn by F. VanVleet)
1:11.0,Toronto full timeout,,23-33,,
1:11.0,,,23-33,,T. Evans enters the game for M. Chalmers
1:11.0,N. Powell enters the game for D. DeRozan,,23-33,,
0:59.0,C. Miles misses 3-pt shot from 26 ft,,23-33,,
0:59.0,,,23-33,,Defensive rebound by Team
0:51.0,Personal foul by N. Powell (drawn by B. McLemore),,23-33,,
0:39.0,,,23-33,,J. Ennis misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by J. Poeltl,,23-33,,
0:27.0,,,23-33,,Personal foul by T. Evans (drawn by J. Poeltl)
0:27.0,J. Poeltl makes free throw 1 of 2,1,24-33,,
0:27.0,J. Poeltl makes free throw 2 of 2,1,25-33,,
0:09.0,Personal foul by F. VanVleet (drawn by C. Parsons),,25-33,,
0:09.0,,,25-33,,C. Parsons misses free throw 1 of 2
0:09.0,,,25-33,,Offensive rebound by Team
0:09.0,,,25-33,,A. Harrison enters the game for T. Evans
0:09.0,,,25-34,1,C. Parsons makes free throw 2 of 2
0:00.0,J. Poeltl misses 2-pt shot from 8 ft,,25-34,,
0:00.0,Offensive rebound by Team,,25-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-36,2,D. Davis makes 2-pt shot at rim (assist by T. Evans)
11:35.0,F. VanVleet makes 2-pt shot from 1 ft,2,27-36,,
11:23.0,,,27-38,2,B. McLemore makes 2-pt shot from 1 ft (assist by T. Evans)
11:23.0,,,27-38,,Shooting foul by C. Miles (drawn by B. McLemore)
11:23.0,,,27-39,1,B. McLemore makes free throw 1 of 1
11:04.0,P. Siakam misses 3-pt shot from 23 ft,,27-39,,
10:59.0,,,27-39,,Defensive rebound by B. McLemore
10:54.0,,,27-41,2,D. Davis makes 2-pt shot from 13 ft (assist by B. McLemore)
10:43.0,Turnover by F. VanVleet (bad pass; steal by T. Evans),,27-41,,
10:38.0,,,27-43,2,D. Davis makes 2-pt shot at rim (assist by A. Harrison)
10:31.0,Toronto full timeout,,27-43,,
10:31.0,O. Anunoby enters the game for C. Miles,,27-43,,
10:31.0,S. Ibaka enters the game for J. Poeltl,,27-43,,
10:31.0,K. Lowry enters the game for P. Siakam,,27-43,,
10:25.0,Shooting foul by D. Davis (drawn by N. Powell),,27-43,,
10:25.0,N. Powell makes free throw 1 of 2,1,28-43,,
10:25.0,N. Powell makes free throw 2 of 2,1,29-43,,
10:09.0,Personal foul by O. Anunoby (drawn by J. Green),,29-43,,
9:55.0,,,29-43,,Turnover by Team (shot clock)
9:42.0,Shooting foul by T. Evans (drawn by F. VanVleet),,29-43,,
9:42.0,F. VanVleet makes free throw 1 of 2,1,30-43,,
9:42.0,,,30-43,,M. Chalmers enters the game for T. Evans
9:42.0,F. VanVleet misses free throw 2 of 2,,30-43,,
9:40.0,,,30-43,,Defensive rebound by J. Green
9:18.0,,,30-43,,J. Green misses 2-pt shot from 18 ft
9:15.0,Defensive rebound by K. Lowry,,30-43,,
9:10.0,Turnover by N. Powell (lost ball; steal by J. Green),,30-43,,
8:52.0,,,30-43,,J. Green misses 2-pt shot from 1 ft
8:49.0,,,30-43,,Offensive rebound by D. Davis
8:48.0,,,30-43,,D. Davis misses 2-pt shot from 11 ft
8:45.0,Defensive rebound by K. Lowry,,30-43,,
8:43.0,,,30-43,,Personal foul by M. Chalmers (drawn by F. VanVleet)
8:43.0,,,30-43,,M. Gasol enters the game for D. Davis
8:35.0,S. Ibaka misses 2-pt shot from 5 ft (block by J. Green),,30-43,,
8:35.0,,,30-43,,Defensive rebound by Team
8:19.0,,,30-45,2,M. Gasol makes 2-pt shot from 21 ft (assist by A. Harrison)
8:09.0,Turnover by F. VanVleet (lost ball; steal by M. Chalmers),,30-45,,
8:06.0,,,30-45,,Shooting foul by S. Ibaka (drawn by B. McLemore)
8:06.0,,,30-46,1,B. McLemore makes free throw 1 of 2
8:06.0,D. DeRozan enters the game for F. VanVleet,,30-46,,
8:06.0,J. Valanciunas enters the game for N. Powell,,30-46,,
8:06.0,,,30-47,1,B. McLemore makes free throw 2 of 2
7:54.0,K. Lowry misses 3-pt shot from 28 ft,,30-47,,
7:51.0,,,30-47,,Defensive rebound by M. Chalmers
7:47.0,,,30-47,,M. Gasol misses 3-pt shot from 27 ft
7:43.0,Defensive rebound by D. DeRozan,,30-47,,
7:40.0,S. Ibaka makes 3-pt shot from 23 ft (assist by K. Lowry),3,33-47,,
7:26.0,,,33-49,2,A. Harrison makes 2-pt shot from 1 ft
7:17.0,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry),3,36-49,,
6:54.0,,,36-49,,M. Gasol misses 2-pt shot from 17 ft
6:51.0,Defensive rebound by D. DeRozan,,36-49,,
6:45.0,Turnover by D. DeRozan (bad pass; steal by M. Chalmers),,36-49,,
6:42.0,,,36-49,,B. McLemore misses 2-pt shot at rim
6:37.0,,,36-49,,Offensive rebound by M. Chalmers
6:33.0,,,36-49,,Memphis full timeout
6:33.0,,,36-49,,D. Brooks enters the game for B. McLemore
6:17.0,,,36-49,,M. Gasol misses 2-pt shot from 13 ft
6:15.0,,,36-49,,Offensive rebound by J. Green
5:59.0,,,36-49,,A. Harrison misses 2-pt shot from 20 ft
5:56.0,Defensive rebound by J. Valanciunas,,36-49,,
5:51.0,,,36-49,,Personal foul by D. Brooks (drawn by D. DeRozan)
5:51.0,,,36-49,,C. Parsons enters the game for J. Green
5:40.0,D. DeRozan makes 2-pt shot at rim,2,38-49,,
5:40.0,Shooting foul by D. Brooks (drawn by D. DeRozan),,38-49,,
5:40.0,,,38-49,,J. Ennis enters the game for D. Brooks
5:40.0,D. DeRozan makes free throw 1 of 1,1,39-49,,
5:26.0,Def 3 sec tech foul by S. Ibaka,,39-49,,
5:26.0,,,39-50,1,M. Gasol makes technical free throw
5:12.0,,,39-52,2,C. Parsons makes 2-pt shot from 22 ft (assist by A. Harrison)
5:01.0,D. DeRozan misses 2-pt shot from 8 ft,,39-52,,
4:57.0,Offensive rebound by J. Valanciunas,,39-52,,
4:57.0,J. Valanciunas makes 2-pt shot at rim,2,41-52,,
4:42.0,,,41-54,2,C. Parsons makes 2-pt shot from 22 ft (assist by M. Gasol)
4:32.0,Shooting foul by A. Harrison (drawn by D. DeRozan),,41-54,,
4:32.0,D. DeRozan makes free throw 1 of 2,1,42-54,,
4:32.0,D. DeRozan makes free throw 2 of 2,1,43-54,,
4:16.0,,,43-54,,M. Gasol misses 2-pt shot from 3 ft (block by J. Valanciunas)
4:12.0,Defensive rebound by J. Valanciunas,,43-54,,
4:09.0,O. Anunoby makes 3-pt shot from 23 ft (assist by D. DeRozan),3,46-54,,
4:05.0,,,46-54,,Memphis full timeout
3:47.0,,,46-54,,M. Gasol misses 2-pt shot at rim (block by S. Ibaka)
3:40.0,,,46-54,,Offensive rebound by J. Ennis
3:38.0,,,46-54,,Turnover by J. Ennis (bad pass; steal by S. Ibaka)
3:35.0,S. Ibaka makes 2-pt shot from 1 ft,2,48-54,,
3:11.0,,,48-54,,C. Parsons misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by J. Valanciunas,,48-54,,
3:01.0,D. DeRozan makes 2-pt shot from 13 ft,2,50-54,,
2:42.0,Personal foul by J. Valanciunas (drawn by M. Gasol),,50-54,,
2:42.0,,,50-54,,J. Green enters the game for M. Chalmers
2:42.0,J. Poeltl enters the game for J. Valanciunas,,50-54,,
2:36.0,,,50-54,,M. Gasol misses 2-pt shot from 22 ft
2:33.0,Defensive rebound by S. Ibaka,,50-54,,
2:28.0,,,50-54,,Personal foul by J. Ennis (drawn by D. DeRozan)
2:28.0,D. DeRozan makes free throw 1 of 2,1,51-54,,
2:28.0,D. DeRozan makes free throw 2 of 2,1,52-54,,
2:10.0,,,52-57,3,C. Parsons makes 3-pt shot from 25 ft (assist by J. Ennis)
1:59.0,S. Ibaka makes 3-pt shot from 27 ft (assist by D. DeRozan),3,55-57,,
1:40.0,,,55-57,,C. Parsons misses 3-pt shot from 26 ft
1:37.0,,,55-57,,Offensive rebound by A. Harrison
1:23.0,,,55-60,3,J. Ennis makes 3-pt shot from 25 ft (assist by A. Harrison)
1:07.0,K. Lowry misses 2-pt shot from 19 ft,,55-60,,
1:04.0,Offensive rebound by J. Poeltl,,55-60,,
1:02.0,J. Poeltl makes 2-pt shot at rim,2,57-60,,
0:43.0,,,57-60,,A. Harrison misses 3-pt shot from 27 ft
0:40.0,,,57-60,,Offensive rebound by C. Parsons
0:37.0,,,57-62,2,J. Ennis makes 2-pt shot at rim (assist by M. Gasol)
0:32.0,K. Lowry misses 3-pt shot from 31 ft,,57-62,,
0:31.0,,,57-62,,Defensive rebound by Team
0:16.0,,,57-62,,J. Green misses 2-pt shot from 14 ft
0:12.0,Defensive rebound by J. Poeltl,,57-62,,
0:03.0,D. DeRozan misses 2-pt shot from 17 ft,,57-62,,
0:03.0,Offensive rebound by J. Poeltl,,57-62,,
0:02.0,J. Poeltl misses 2-pt shot at rim,,57-62,,
0:01.0,,,57-62,,Defensive rebound by A. Harrison
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,57-64,2,M. Gasol makes 2-pt shot from 13 ft
11:18.0,K. Lowry misses 2-pt shot at rim,,57-64,,
11:16.0,,,57-64,,Defensive rebound by M. Gasol
11:10.0,,,57-64,,T. Evans misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. DeRozan,,57-64,,
10:46.0,S. Ibaka misses 2-pt shot from 10 ft,,57-64,,
10:43.0,,,57-64,,Defensive rebound by Team
10:26.0,,,57-66,2,T. Evans makes 2-pt shot from 1 ft
10:08.0,Turnover by O. Anunoby (bad pass; steal by A. Harrison),,57-66,,
10:04.0,,,57-68,2,A. Harrison makes 2-pt shot from 1 ft
10:04.0,Toronto full timeout,,57-68,,
9:44.0,K. Lowry makes 2-pt shot from 12 ft (assist by S. Ibaka),2,59-68,,
9:20.0,,,59-70,2,M. Gasol makes 2-pt shot from 18 ft (assist by A. Harrison)
9:00.0,O. Anunoby makes 3-pt shot from 26 ft (assist by K. Lowry),3,62-70,,
8:42.0,,,62-70,,T. Evans misses 2-pt shot from 1 ft
8:35.0,,,62-70,,Offensive rebound by J. Green
8:35.0,,,62-72,2,J. Green makes 2-pt shot at rim
8:25.0,Offensive charge foul by D. DeRozan (drawn by J. Green),,62-72,,
8:25.0,Turnover by D. DeRozan (offensive foul),,62-72,,
8:25.0,,,62-72,,M. Chalmers enters the game for A. Harrison
8:13.0,,,62-72,,M. Gasol misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by Team,,62-72,,
8:00.0,D. DeRozan makes 2-pt shot from 13 ft,2,64-72,,
7:47.0,,,64-75,3,T. Evans makes 3-pt shot from 23 ft
7:47.0,,,64-75,,Shooting foul by O. Anunoby (drawn by T. Evans)
7:47.0,,,64-76,1,T. Evans makes free throw 1 of 1
7:31.0,D. DeRozan misses 2-pt shot from 11 ft,,64-76,,
7:29.0,Offensive rebound by J. Valanciunas,,64-76,,
7:29.0,J. Valanciunas misses 2-pt shot at rim,,64-76,,
7:29.0,Offensive rebound by J. Valanciunas,,64-76,,
7:29.0,Shooting foul by D. Brooks (drawn by J. Valanciunas),,64-76,,
7:29.0,J. Valanciunas makes free throw 1 of 2,1,65-76,,
7:29.0,J. Valanciunas makes free throw 2 of 2,1,66-76,,
7:15.0,,,66-78,2,T. Evans makes 2-pt shot from 1 ft
6:59.0,S. Ibaka makes 2-pt shot from 21 ft (assist by D. DeRozan),2,68-78,,
6:37.0,,,68-78,,Turnover by M. Gasol (lost ball; steal by K. Lowry)
6:33.0,K. Lowry makes 3-pt shot from 25 ft,3,71-78,,
6:33.0,,,71-78,,Memphis full timeout
6:33.0,,,71-78,,C. Parsons enters the game for D. Brooks
6:23.0,,,71-78,,Turnover by T. Evans (bad pass; steal by K. Lowry)
6:18.0,O. Anunoby misses 2-pt shot at rim,,71-78,,
6:15.0,Offensive rebound by S. Ibaka,,71-78,,
6:05.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,73-78,,
5:50.0,,,73-81,3,C. Parsons makes 3-pt shot from 23 ft (assist by T. Evans)
5:42.0,K. Lowry makes 3-pt shot from 26 ft,3,76-81,,
5:18.0,,,76-81,,T. Evans misses 2-pt shot from 1 ft
5:18.0,Defensive rebound by J. Valanciunas,,76-81,,
5:12.0,K. Lowry misses 2-pt shot from 10 ft,,76-81,,
5:12.0,,,76-81,,Defensive rebound by Team
5:12.0,Loose ball foul by S. Ibaka (drawn by M. Chalmers),,76-81,,
5:12.0,,,76-81,,B. McLemore enters the game for J. Green
5:12.0,,,76-81,,J. Ennis enters the game for T. Evans
5:00.0,,,76-83,2,M. Chalmers makes 2-pt shot from 3 ft
4:47.0,Shooting foul by J. Ennis (drawn by D. DeRozan),,76-83,,
4:47.0,D. DeRozan makes free throw 1 of 2,1,77-83,,
4:47.0,J. Poeltl enters the game for S. Ibaka,,77-83,,
4:47.0,P. Siakam enters the game for J. Valanciunas,,77-83,,
4:47.0,D. DeRozan makes free throw 2 of 2,1,78-83,,
4:33.0,,,78-83,,Turnover by B. McLemore (out of bounds lost ball)
4:20.0,Shooting foul by M. Gasol (drawn by D. DeRozan),,78-83,,
4:20.0,D. DeRozan makes free throw 1 of 2,1,79-83,,
4:20.0,D. DeRozan makes free throw 2 of 2,1,80-83,,
4:00.0,,,80-83,,Turnover by M. Gasol (lost ball; steal by O. Anunoby)
3:54.0,D. DeRozan misses 3-pt shot from 26 ft,,80-83,,
3:50.0,,,80-83,,Defensive rebound by B. McLemore
3:40.0,,,80-83,,Turnover by M. Chalmers (lost ball; steal by P. Siakam)
3:40.0,,,80-83,,Personal foul by B. McLemore (drawn by P. Siakam)
3:29.0,,,80-83,,Personal foul by M. Chalmers (drawn by K. Lowry)
3:29.0,K. Lowry makes free throw 1 of 2,1,81-83,,
3:29.0,,,81-83,,D. Davis enters the game for M. Gasol
3:29.0,K. Lowry makes free throw 2 of 2,1,82-83,,
3:10.0,,,82-83,,J. Ennis misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by K. Lowry,,82-83,,
3:00.0,Turnover by K. Lowry (bad pass; steal by B. McLemore),,82-83,,
2:58.0,,,82-83,,Shooting foul by D. DeRozan (drawn by B. McLemore)
2:58.0,,,82-83,,B. McLemore misses free throw 1 of 2
2:58.0,,,82-83,,Offensive rebound by Team
2:58.0,F. VanVleet enters the game for O. Anunoby,,82-83,,
2:58.0,N. Powell enters the game for K. Lowry,,82-83,,
2:58.0,,,82-83,,B. McLemore misses free throw 2 of 2
2:55.0,Defensive rebound by P. Siakam,,82-83,,
2:46.0,F. VanVleet makes 3-pt shot from 23 ft (assist by D. DeRozan),3,85-83,,
2:32.0,,,85-85,2,D. Davis makes 2-pt shot at rim (assist by C. Parsons)
2:19.0,D. DeRozan misses 2-pt shot from 17 ft,,85-85,,
2:16.0,,,85-85,,Defensive rebound by Team
2:16.0,,,85-85,,T. Evans enters the game for M. Chalmers
2:03.0,,,85-85,,C. Parsons misses 2-pt shot from 8 ft
2:03.0,,,85-85,,Offensive rebound by Team
2:03.0,Loose ball foul by P. Siakam (drawn by D. Davis),,85-85,,
1:50.0,,,85-85,,B. McLemore misses 3-pt shot from 26 ft
1:48.0,,,85-85,,Offensive rebound by Team
1:48.0,Loose ball foul by J. Poeltl (drawn by D. Davis),,85-85,,
1:48.0,,,85-85,,D. Davis misses free throw 2 of 2
1:48.0,Defensive rebound by J. Poeltl,,85-85,,
1:48.0,,,85-86,1,D. Davis makes free throw 1 of 2
1:34.0,D. DeRozan makes 2-pt shot from 10 ft,2,87-86,,
1:13.0,,,87-88,2,T. Evans makes 2-pt shot from 2 ft
1:01.0,D. DeRozan misses 2-pt shot from 1 ft (block by C. Parsons),,87-88,,
0:58.0,,,87-88,,Defensive rebound by C. Parsons
0:56.0,,,87-88,,Offensive foul by D. Davis (drawn by J. Poeltl)
0:56.0,,,87-88,,Turnover by D. Davis (offensive foul)
0:48.0,N. Powell makes 2-pt shot at rim,2,89-88,,
0:48.0,Shooting foul by B. McLemore (drawn by N. Powell),,89-88,,
0:48.0,N. Powell makes free throw 1 of 1,1,90-88,,
0:34.0,Personal foul by N. Powell (drawn by T. Evans),,90-88,,
0:34.0,,,90-89,1,T. Evans makes free throw 1 of 2
0:34.0,,,90-90,1,T. Evans makes free throw 2 of 2
0:27.0,J. Poeltl makes 2-pt shot at rim (assist by F. VanVleet),2,92-90,,
0:07.0,,,92-93,3,T. Evans makes 3-pt shot from 25 ft
0:02.0,N. Powell misses 3-pt shot from 25 ft,,92-93,,
0:02.0,,,92-93,,Defensive rebound by C. Parsons
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,F. VanVleet makes 3-pt shot from 25 ft (assist by C. Miles),3,95-93,,
11:17.0,,,95-93,,T. Evans misses 3-pt shot from 26 ft
11:13.0,,,95-93,,Offensive rebound by D. Davis
10:59.0,,,95-95,2,T. Evans makes 2-pt shot at rim
10:33.0,C. Miles misses 3-pt shot from 26 ft,,95-95,,
10:31.0,,,95-95,,Defensive rebound by Team
10:19.0,Personal foul by P. Siakam (drawn by D. Davis),,95-95,,
10:19.0,,,95-95,,A. Harrison enters the game for B. McLemore
10:06.0,,,95-97,2,A. Harrison makes 2-pt shot from 10 ft
9:55.0,Shooting foul by J. Green (drawn by N. Powell),,95-97,,
9:55.0,N. Powell makes free throw 1 of 2,1,96-97,,
9:55.0,N. Powell makes free throw 2 of 2,1,97-97,,
9:32.0,,,97-97,,Turnover by T. Evans (lost ball; steal by F. VanVleet)
9:27.0,J. Poeltl makes 2-pt shot at rim (assist by F. VanVleet),2,99-97,,
9:10.0,,,99-97,,J. Green misses 3-pt shot from 25 ft
9:10.0,,,99-97,,Offensive rebound by Team
9:10.0,Loose ball foul by F. VanVleet (drawn by D. Davis),,99-97,,
9:10.0,,,99-97,,M. Gasol enters the game for D. Davis
8:59.0,,,99-97,,D. Brooks misses 2-pt shot from 15 ft
8:55.0,Defensive rebound by N. Powell,,99-97,,
8:52.0,F. VanVleet makes 3-pt shot from 23 ft (assist by N. Powell),3,102-97,,
8:51.0,,,102-97,,Memphis full timeout
8:39.0,,,102-97,,Turnover by J. Green (traveling)
8:15.0,C. Miles misses 3-pt shot from 29 ft,,102-97,,
8:11.0,,,102-97,,Defensive rebound by J. Green
8:05.0,Personal foul by J. Poeltl (drawn by M. Gasol),,102-97,,
8:05.0,K. Lowry enters the game for C. Miles,,102-97,,
7:56.0,,,102-97,,T. Evans misses 2-pt shot at rim
7:52.0,Defensive rebound by J. Poeltl,,102-97,,
7:48.0,F. VanVleet misses 3-pt shot from 22 ft,,102-97,,
7:46.0,Offensive rebound by P. Siakam,,102-97,,
7:46.0,Shooting foul by T. Evans (drawn by P. Siakam),,102-97,,
7:46.0,P. Siakam misses free throw 1 of 2,,102-97,,
7:46.0,Offensive rebound by Team,,102-97,,
7:46.0,,,102-97,,M. Chalmers enters the game for T. Evans
7:46.0,P. Siakam misses free throw 2 of 2,,102-97,,
7:44.0,,,102-97,,Defensive rebound by A. Harrison
7:27.0,,,102-97,,M. Gasol misses 2-pt shot from 6 ft
7:23.0,Defensive rebound by P. Siakam,,102-97,,
7:18.0,P. Siakam makes 2-pt shot at rim (assist by K. Lowry),2,104-97,,
6:57.0,,,104-97,,J. Green misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by F. VanVleet,,104-97,,
6:50.0,P. Siakam makes 2-pt shot from 1 ft (assist by F. VanVleet),2,106-97,,
6:50.0,,,106-97,,Memphis full timeout
6:50.0,,,106-97,,C. Parsons enters the game for D. Brooks
6:31.0,,,106-97,,J. Green misses 3-pt shot from 22 ft
6:28.0,,,106-97,,Offensive rebound by M. Gasol
6:12.0,,,106-97,,J. Green misses 2-pt shot from 1 ft
6:12.0,,,106-97,,Offensive rebound by M. Gasol
6:12.0,,,106-97,,Shooting foul by F. VanVleet (drawn by M. Gasol)
6:12.0,,,106-98,1,M. Gasol makes free throw 1 of 2
6:12.0,,,106-99,1,M. Gasol makes free throw 2 of 2
5:57.0,K. Lowry makes 3-pt shot from 26 ft (assist by N. Powell),3,109-99,,
5:39.0,,,109-99,,C. Parsons misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by K. Lowry,,109-99,,
5:20.0,N. Powell makes 2-pt shot at rim,2,111-99,,
5:04.0,Personal foul by F. VanVleet (drawn by M. Chalmers),,111-99,,
5:04.0,,,111-100,1,M. Chalmers makes free throw 1 of 2
5:04.0,,,111-100,,T. Evans enters the game for A. Harrison
5:04.0,O. Anunoby enters the game for N. Powell,,111-100,,
5:04.0,D. DeRozan enters the game for P. Siakam,,111-100,,
5:04.0,,,111-101,1,M. Chalmers makes free throw 2 of 2
4:47.0,K. Lowry misses 3-pt shot from 24 ft,,111-101,,
4:44.0,,,111-101,,Defensive rebound by M. Chalmers
4:36.0,,,111-103,2,C. Parsons makes 2-pt shot from 1 ft (assist by M. Chalmers)
4:17.0,Turnover by D. DeRozan (bad pass; steal by C. Parsons),,111-103,,
4:13.0,,,111-103,,T. Evans misses 2-pt shot at rim (block by F. VanVleet)
4:08.0,Defensive rebound by D. DeRozan,,111-103,,
4:01.0,Shooting foul by M. Chalmers (drawn by D. DeRozan),,111-103,,
