time,Detroit,pts.away,score,pts.home,Miami
4:54.0,E. Moreland enters the game for B. Marjanovic,,15-17,,
4:44.0,T. Harris makes 2-pt shot from 6 ft,2,17-17,,
4:29.0,,,17-19,2,T. Johnson makes 2-pt shot at rim (assist by G. Dragic)
4:14.0,T. Harris makes 2-pt shot from 11 ft,2,19-19,,
4:03.0,Def 3 sec tech foul by T. Harris,,19-19,,
4:03.0,,,19-19,,W. Ellington misses technical free throw
4:03.0,,,19-19,,Offensive rebound by Team
3:50.0,,,19-22,3,G. Dragic makes 3-pt shot from 22 ft (assist by T. Johnson)
3:28.0,I. Smith makes 2-pt shot at rim,2,21-22,,
3:18.0,,,21-24,2,G. Dragic makes 2-pt shot from 1 ft
3:06.0,Turnover by E. Moreland (lost ball; steal by W. Ellington),,21-24,,
2:59.0,,,21-24,,G. Dragic misses 3-pt shot from 25 ft
2:56.0,,,21-24,,Offensive rebound by J. Johnson
2:52.0,,,21-24,,G. Dragic misses 2-pt shot at rim
2:50.0,Defensive rebound by T. Harris,,21-24,,
2:45.0,Shooting foul by T. Johnson (drawn by T. Harris),,21-24,,
2:45.0,T. Harris makes free throw 1 of 2,1,22-24,,
2:45.0,,,22-24,,D. Walton enters the game for G. Dragic
2:45.0,,,22-24,,J. Richardson enters the game for T. Johnson
2:45.0,D. Buycks enters the game for I. Smith,,22-24,,
2:45.0,T. Harris makes free throw 2 of 2,1,23-24,,
2:29.0,,,23-24,,K. Olynyk misses 2-pt shot from 8 ft
2:27.0,Defensive rebound by Team,,23-24,,
2:27.0,,,23-24,,Loose ball foul by J. Johnson (drawn by T. Harris)
2:27.0,T. Harris makes free throw 1 of 2,1,24-24,,
2:27.0,,,24-24,,B. Adebayo enters the game for K. Olynyk
2:27.0,T. Harris makes free throw 2 of 2,1,25-24,,
2:02.0,,,25-24,,B. Adebayo misses 2-pt shot from 5 ft
1:56.0,,,25-24,,Offensive rebound by B. Adebayo
1:56.0,,,25-24,,B. Adebayo misses 2-pt shot at rim
1:55.0,Defensive rebound by T. Harris,,25-24,,
1:52.0,T. Harris misses 3-pt shot from 25 ft,,25-24,,
1:49.0,,,25-24,,Defensive rebound by B. Adebayo
1:47.0,Personal foul by R. Bullock (drawn by W. Ellington),,25-24,,
1:39.0,,,25-24,,J. Johnson misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by E. Moreland,,25-24,,
1:28.0,D. Buycks makes 2-pt shot from 15 ft,2,27-24,,
1:15.0,,,27-24,,Offensive charge foul by J. Richardson (drawn by T. Harris)
1:15.0,,,27-24,,Turnover by J. Richardson (offensive foul)
1:01.0,E. Moreland misses 2-pt shot from 1 ft,,27-24,,
0:58.0,,,27-24,,Defensive rebound by B. Adebayo
0:54.0,,,27-24,,W. Ellington misses 3-pt shot from 24 ft
0:52.0,Defensive rebound by E. Moreland,,27-24,,
0:40.0,E. Moreland misses 2-pt shot from 7 ft,,27-24,,
0:37.0,,,27-24,,Defensive rebound by W. Ellington
0:32.0,,,27-24,,B. Adebayo misses 2-pt shot from 16 ft
0:31.0,Defensive rebound by Team,,27-24,,
0:16.0,D. Buycks makes 2-pt shot from 20 ft,2,29-24,,
0:03.0,,,29-24,,Turnover by J. Johnson (out of bounds lost ball)
0:00.0,D. Buycks misses 3-pt shot from 25 ft,,29-24,,
0:00.0,Offensive rebound by Team,,29-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Bradley misses 2-pt shot from 19 ft,,29-24,,
11:43.0,Offensive rebound by B. Marjanovic,,29-24,,
11:42.0,B. Marjanovic misses 2-pt shot from 4 ft (block by D. Walton),,29-24,,
11:42.0,,,29-24,,Defensive rebound by D. Walton
11:23.0,,,29-27,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson)
11:09.0,L. Kennard makes 2-pt shot from 19 ft,2,31-27,,
10:54.0,,,31-30,3,J. Richardson makes 3-pt shot from 25 ft (assist by J. Johnson)
10:29.0,D. Buycks makes 2-pt shot from 21 ft (assist by L. Kennard),2,33-30,,
10:00.0,,,33-32,2,W. Ellington makes 2-pt shot from 17 ft
9:47.0,Turnover by A. Tolliver (bad pass; steal by D. Walton),,33-32,,
9:40.0,,,33-32,,W. Ellington misses 3-pt shot from 24 ft
9:38.0,Defensive rebound by B. Marjanovic,,33-32,,
9:29.0,A. Bradley misses 2-pt shot from 19 ft,,33-32,,
9:29.0,,,33-32,,Defensive rebound by J. Johnson
9:23.0,,,33-32,,W. Ellington misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by B. Marjanovic,,33-32,,
9:15.0,,,33-32,,Personal foul by J. Johnson (drawn by D. Buycks)
9:15.0,,,33-32,,G. Dragic enters the game for D. Walton
9:10.0,D. Buycks misses 2-pt shot from 2 ft (block by J. Richardson),,33-32,,
9:02.0,,,33-32,,Defensive rebound by J. Johnson
8:53.0,,,33-32,,J. Johnson misses 2-pt shot from 8 ft (block by B. Marjanovic)
8:44.0,Defensive rebound by D. Buycks,,33-32,,
8:43.0,A. Bradley makes 2-pt shot from 2 ft (assist by D. Buycks),2,35-32,,
8:31.0,,,35-35,3,J. Johnson makes 3-pt shot from 22 ft (assist by G. Dragic)
8:17.0,Turnover by A. Tolliver (bad pass; steal by J. Richardson),,35-35,,
8:16.0,,,35-35,,Turnover by J. Richardson (bad pass)
8:16.0,,,35-35,,K. Olynyk enters the game for J. Johnson
8:16.0,E. Moreland enters the game for B. Marjanovic,,35-35,,
8:04.0,A. Bradley makes 3-pt shot from 26 ft (assist by D. Buycks),3,38-35,,
7:38.0,,,38-38,3,J. Richardson makes 3-pt shot from 28 ft (assist by B. Adebayo)
7:17.0,D. Buycks misses 2-pt shot from 9 ft,,38-38,,
7:12.0,,,38-38,,Defensive rebound by G. Dragic
7:08.0,,,38-41,3,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic)
7:00.0,Detroit full timeout,,38-41,,
7:00.0,,,38-41,,T. Johnson enters the game for W. Ellington
7:00.0,I. Smith enters the game for D. Buycks,,38-41,,
6:51.0,L. Kennard makes 2-pt shot from 18 ft,2,40-41,,
6:35.0,,,40-41,,J. Richardson misses 3-pt shot from 26 ft
6:31.0,,,40-41,,Offensive rebound by K. Olynyk
6:21.0,,,40-41,,Turnover by B. Adebayo (lost ball; steal by I. Smith)
6:04.0,L. Kennard makes 2-pt shot from 17 ft,2,42-41,,
5:42.0,,,42-41,,Turnover by G. Dragic (bad pass; steal by L. Kennard)
5:37.0,A. Bradley misses 3-pt shot from 25 ft,,42-41,,
5:37.0,Offensive rebound by Team,,42-41,,
5:37.0,Loose ball foul by A. Tolliver (drawn by K. Olynyk),,42-41,,
5:37.0,Turnover by A. Tolliver (turnover),,42-41,,
5:37.0,,,42-41,,H. Whiteside enters the game for B. Adebayo
5:37.0,T. Harris enters the game for A. Tolliver,,42-41,,
5:18.0,,,42-43,2,G. Dragic makes 2-pt shot from 1 ft (assist by H. Whiteside)
5:07.0,T. Harris misses 2-pt shot from 18 ft,,42-43,,
5:00.0,,,42-43,,Defensive rebound by H. Whiteside
4:53.0,,,42-43,,Turnover by J. Richardson (bad pass; steal by E. Moreland)
4:42.0,A. Bradley misses 2-pt shot from 1 ft,,42-43,,
4:42.0,Offensive rebound by Team,,42-43,,
4:42.0,,,42-43,,Loose ball foul by T. Johnson (drawn by I. Smith)
4:42.0,,,42-43,,W. Ellington enters the game for J. Richardson
4:42.0,R. Bullock enters the game for L. Kennard,,42-43,,
4:31.0,I. Smith makes 2-pt shot from 11 ft,2,44-43,,
4:12.0,,,44-46,3,G. Dragic makes 3-pt shot from 26 ft (assist by K. Olynyk)
3:58.0,I. Smith misses 2-pt shot from 2 ft,,44-46,,
3:53.0,,,44-46,,Defensive rebound by H. Whiteside
3:51.0,,,44-48,2,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic)
3:38.0,Shooting foul by H. Whiteside (drawn by A. Bradley),,44-48,,
3:38.0,A. Bradley misses free throw 1 of 2,,44-48,,
3:38.0,Offensive rebound by Team,,44-48,,
3:38.0,,,44-48,,J. Johnson enters the game for H. Whiteside
3:38.0,A. Bradley misses free throw 2 of 2,,44-48,,
3:35.0,,,44-48,,Defensive rebound by K. Olynyk
3:30.0,Personal foul by I. Smith (drawn by K. Olynyk),,44-48,,
3:13.0,,,44-48,,G. Dragic misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by T. Harris,,44-48,,
3:13.0,Offensive charge foul by T. Harris (drawn by K. Olynyk),,44-48,,
3:13.0,Turnover by T. Harris (offensive foul),,44-48,,
2:50.0,,,44-48,,G. Dragic misses 2-pt shot from 1 ft (block by I. Smith)
2:44.0,Defensive rebound by E. Moreland,,44-48,,
2:41.0,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith),3,47-48,,
2:36.0,,,47-48,,Miami full timeout
2:28.0,,,47-48,,W. Ellington misses 3-pt shot from 28 ft
2:23.0,Defensive rebound by E. Moreland,,47-48,,
2:06.0,Turnover by E. Moreland (lost ball; steal by W. Ellington),,47-48,,
2:00.0,,,47-50,2,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
1:41.0,T. Harris misses 2-pt shot from 10 ft,,47-50,,
1:37.0,,,47-50,,Defensive rebound by J. Johnson
1:28.0,,,47-52,2,J. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
1:28.0,,,47-52,,Shooting foul by E. Moreland (drawn by J. Johnson)
1:28.0,,,47-52,,J. Richardson enters the game for T. Johnson
1:28.0,A. Tolliver enters the game for E. Moreland,,47-52,,
1:28.0,,,47-53,1,J. Johnson makes free throw 1 of 1
1:09.0,I. Smith misses 2-pt shot from 8 ft,,47-53,,
1:07.0,,,47-53,,Defensive rebound by W. Ellington
1:06.0,,,47-53,,Turnover by G. Dragic (bad pass)
0:56.0,A. Bradley makes 2-pt shot from 17 ft (assist by I. Smith),2,49-53,,
0:42.0,,,49-53,,K. Olynyk misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by I. Smith,,49-53,,
0:30.0,R. Bullock misses 3-pt shot from 23 ft,,49-53,,
0:26.0,,,49-53,,Defensive rebound by K. Olynyk
0:05.0,,,49-56,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson)
0:01.0,A. Bradley makes 3-pt shot from 35 ft,3,52-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Bradley makes 2-pt shot from 7 ft (assist by B. Marjanovic),2,54-56,,
11:24.0,,,54-56,,J. Richardson misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by A. Bradley,,54-56,,
11:12.0,B. Marjanovic makes 2-pt shot from 2 ft (assist by A. Bradley),2,56-56,,
10:58.0,,,56-58,2,H. Whiteside makes 2-pt shot from 15 ft (assist by J. Richardson)
10:39.0,A. Bradley misses 3-pt shot from 24 ft,,56-58,,
10:36.0,,,56-58,,Defensive rebound by K. Olynyk
10:26.0,,,56-58,,H. Whiteside misses 2-pt shot from 6 ft
10:24.0,Defensive rebound by I. Smith,,56-58,,
10:07.0,B. Marjanovic misses 2-pt shot from 9 ft,,56-58,,
10:04.0,,,56-58,,Defensive rebound by K. Olynyk
9:56.0,,,56-60,2,H. Whiteside makes 2-pt shot from 6 ft (assist by G. Dragic)
9:37.0,R. Bullock makes 3-pt shot from 22 ft (assist by T. Harris),3,59-60,,
9:20.0,,,59-60,,H. Whiteside misses 2-pt shot from 19 ft
9:17.0,Defensive rebound by A. Bradley,,59-60,,
9:08.0,I. Smith misses 2-pt shot from 9 ft,,59-60,,
9:05.0,,,59-60,,Defensive rebound by G. Dragic
9:01.0,,,59-60,,Offensive foul by K. Olynyk (drawn by I. Smith)
9:01.0,,,59-60,,Turnover by K. Olynyk (offensive foul)
8:48.0,B. Marjanovic makes 2-pt shot from 1 ft (assist by R. Bullock),2,61-60,,
8:32.0,,,61-62,2,G. Dragic makes 2-pt shot from 1 ft
8:15.0,R. Bullock makes 3-pt shot from 23 ft (assist by B. Marjanovic),3,64-62,,
8:01.0,,,64-62,,Shooting foul by I. Smith (drawn by G. Dragic)
8:01.0,,,64-63,1,G. Dragic makes free throw 1 of 2
8:01.0,,,64-63,,J. Johnson enters the game for H. Whiteside
8:01.0,E. Moreland enters the game for B. Marjanovic,,64-63,,
8:01.0,,,64-64,1,G. Dragic makes free throw 2 of 2
7:47.0,R. Bullock makes 3-pt shot from 26 ft (assist by I. Smith),3,67-64,,
7:31.0,,,67-64,,T. Johnson misses 3-pt shot from 23 ft
7:29.0,,,67-64,,Offensive rebound by K. Olynyk
7:16.0,,,67-66,2,K. Olynyk makes 2-pt shot at rim
6:54.0,Turnover by A. Bradley (out of bounds lost ball),,67-66,,
6:54.0,,,67-66,,Miami full timeout
6:41.0,,,67-69,3,G. Dragic makes 3-pt shot from 26 ft (assist by K. Olynyk)
6:15.0,I. Smith misses 2-pt shot from 19 ft,,67-69,,
6:12.0,,,67-69,,Defensive rebound by T. Johnson
6:02.0,,,67-69,,T. Johnson misses 3-pt shot from 24 ft
6:02.0,,,67-69,,Offensive rebound by Team
6:02.0,Loose ball foul by E. Moreland (drawn by K. Olynyk),,67-69,,
6:02.0,,,67-69,,W. Ellington enters the game for J. Richardson
5:48.0,,,67-71,2,K. Olynyk makes 2-pt shot from 10 ft
5:38.0,,,67-71,,Personal foul by T. Johnson (drawn by E. Moreland)
5:29.0,A. Bradley misses 3-pt shot from 25 ft,,67-71,,
5:27.0,,,67-71,,Defensive rebound by W. Ellington
5:16.0,,,67-74,3,W. Ellington makes 3-pt shot from 25 ft
5:14.0,Detroit full timeout,,67-74,,
5:14.0,L. Kennard enters the game for A. Bradley,,67-74,,
5:00.0,L. Kennard misses 3-pt shot from 24 ft,,67-74,,
4:57.0,,,67-74,,Defensive rebound by W. Ellington
4:46.0,,,67-74,,K. Olynyk misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by I. Smith,,67-74,,
4:36.0,I. Smith misses 2-pt shot from 13 ft,,67-74,,
4:33.0,,,67-74,,Defensive rebound by W. Ellington
4:12.0,,,67-76,2,J. Johnson makes 2-pt shot from 2 ft (assist by G. Dragic)
3:52.0,T. Harris makes 2-pt shot from 2 ft,2,69-76,,
3:52.0,Shooting foul by J. Johnson (drawn by T. Harris),,69-76,,
3:52.0,D. Buycks enters the game for I. Smith,,69-76,,
3:52.0,T. Harris makes free throw 1 of 1,1,70-76,,
3:46.0,Personal foul by D. Buycks (drawn by G. Dragic),,70-76,,
3:37.0,,,70-76,,G. Dragic misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by E. Moreland,,70-76,,
3:21.0,Turnover by D. Buycks (bad pass; steal by J. Johnson),,70-76,,
3:12.0,,,70-76,,W. Ellington misses 3-pt shot from 22 ft
3:09.0,Defensive rebound by L. Kennard,,70-76,,
3:01.0,,,70-76,,Personal foul by G. Dragic (drawn by D. Buycks)
3:01.0,,,70-76,,J. Richardson enters the game for G. Dragic
2:48.0,D. Buycks makes 2-pt shot from 1 ft,2,72-76,,
2:31.0,,,72-78,2,K. Olynyk makes 2-pt shot from 2 ft (assist by W. Ellington)
2:20.0,L. Kennard makes 2-pt shot from 1 ft (assist by T. Harris),2,74-78,,
1:54.0,,,74-78,,Turnover by K. Olynyk (turnover)
1:54.0,,,74-78,,Technical foul by Team
1:54.0,T. Harris misses technical free throw,,74-78,,
1:54.0,Offensive rebound by Team,,74-78,,
1:54.0,,,74-78,,B. Adebayo enters the game for J. Johnson
1:54.0,B. Marjanovic enters the game for E. Moreland,,74-78,,
1:45.0,R. Bullock makes 3-pt shot from 23 ft (assist by D. Buycks),3,77-78,,
1:25.0,,,77-78,,B. Adebayo misses 2-pt shot from 11 ft
1:23.0,Defensive rebound by D. Buycks,,77-78,,
1:15.0,T. Harris makes 2-pt shot from 7 ft (assist by D. Buycks),2,79-78,,
1:02.0,,,79-78,,J. Richardson misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by T. Harris,,79-78,,
0:47.0,D. Buycks misses 2-pt shot from 4 ft,,79-78,,
0:47.0,,,79-78,,Defensive rebound by Team
0:47.0,,,79-78,,G. Dragic enters the game for K. Olynyk
0:30.0,,,79-78,,K. Olynyk enters the game for B. Adebayo
0:30.0,A. Tolliver enters the game for B. Marjanovic,,79-78,,
0:24.0,,,79-81,3,J. Richardson makes 3-pt shot from 25 ft
0:03.0,D. Buycks makes 2-pt shot from 17 ft,2,81-81,,
0:00.0,,,81-81,,G. Dragic misses 2-pt shot from 11 ft
0:00.0,,,81-81,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,81-84,3,J. Richardson makes 3-pt shot from 23 ft (assist by G. Dragic)
11:26.0,A. Bradley misses 2-pt shot from 18 ft,,81-84,,
11:23.0,,,81-84,,Defensive rebound by W. Ellington
11:06.0,,,81-84,,Shooting foul by A. Bradley (drawn by G. Dragic)
11:06.0,,,81-84,,G. Dragic misses free throw 1 of 2
11:06.0,,,81-84,,Offensive rebound by Team
11:06.0,,,81-85,1,G. Dragic makes free throw 2 of 2
10:52.0,,,81-85,,Personal foul by G. Dragic (drawn by D. Buycks)
10:46.0,L. Kennard makes 2-pt shot from 9 ft,2,83-85,,
10:46.0,Shooting foul by W. Ellington (drawn by L. Kennard),,83-85,,
10:46.0,L. Kennard makes free throw 1 of 1,1,84-85,,
10:31.0,,,84-87,2,J. Richardson makes 2-pt shot from 11 ft (assist by G. Dragic)
10:14.0,L. Kennard makes 2-pt shot from 20 ft,2,86-87,,
10:02.0,Technical foul by Team,,86-87,,
10:02.0,,,86-88,1,W. Ellington makes technical free throw
9:50.0,,,86-88,,Miami full timeout
9:46.0,,,86-88,,W. Ellington misses 2-pt shot from 15 ft
9:45.0,,,86-88,,Offensive rebound by H. Whiteside
9:41.0,,,86-90,2,H. Whiteside makes 2-pt shot at rim
9:21.0,D. Buycks makes 2-pt shot at rim (assist by B. Marjanovic),2,88-90,,
9:06.0,,,88-90,,G. Dragic misses 2-pt shot from 10 ft
9:03.0,Defensive rebound by A. Bradley,,88-90,,
8:44.0,B. Marjanovic makes 2-pt shot from 7 ft (assist by L. Kennard),2,90-90,,
8:33.0,,,90-92,2,H. Whiteside makes 2-pt shot from 14 ft (assist by J. Richardson)
8:14.0,A. Tolliver makes 2-pt shot from 1 ft,2,92-92,,
7:55.0,,,92-92,,J. Mickey misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by B. Marjanovic,,92-92,,
7:45.0,D. Buycks misses 2-pt shot from 10 ft,,92-92,,
7:42.0,,,92-92,,Defensive rebound by G. Dragic
7:29.0,,,92-94,2,G. Dragic makes 2-pt shot from 11 ft
7:10.0,A. Bradley misses 2-pt shot from 18 ft,,92-94,,
7:05.0,Offensive rebound by A. Tolliver,,92-94,,
6:54.0,D. Buycks makes 2-pt shot from 17 ft,2,94-94,,
6:39.0,,,94-97,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
6:15.0,A. Bradley misses 2-pt shot from 21 ft,,94-97,,
6:15.0,Offensive rebound by A. Tolliver,,94-97,,
6:15.0,A. Tolliver misses 2-pt shot from 4 ft,,94-97,,
6:15.0,,,94-97,,Defensive rebound by H. Whiteside
6:15.0,Personal foul by B. Marjanovic (drawn by H. Whiteside),,94-97,,
6:15.0,,,94-97,,T. Johnson enters the game for G. Dragic
6:15.0,,,94-97,,K. Olynyk enters the game for H. Whiteside
6:15.0,,,94-97,,J. Johnson enters the game for J. Mickey
6:15.0,I. Smith enters the game for D. Buycks,,94-97,,
6:15.0,T. Harris enters the game for B. Marjanovic,,94-97,,
5:54.0,,,94-97,,Shooting foul by A. Tolliver (drawn by J. Richardson)
5:54.0,,,94-97,,J. Richardson misses free throw 1 of 2
5:54.0,,,94-97,,Offensive rebound by Team
5:54.0,R. Bullock enters the game for L. Kennard,,94-97,,
5:54.0,,,94-98,1,J. Richardson makes free throw 2 of 2
5:41.0,Shooting foul by J. Johnson (drawn by T. Harris),,94-98,,
5:41.0,T. Harris makes free throw 1 of 2,1,95-98,,
5:41.0,T. Harris makes free throw 2 of 2,1,96-98,,
5:29.0,,,96-98,,W. Ellington misses 3-pt shot from 25 ft
5:26.0,Defensive rebound by T. Harris,,96-98,,
5:19.0,A. Bradley misses 3-pt shot from 24 ft,,96-98,,
5:17.0,,,96-98,,Defensive rebound by W. Ellington
5:02.0,,,96-98,,J. Richardson misses 2-pt shot from 10 ft
4:58.0,Defensive rebound by I. Smith,,96-98,,
4:50.0,A. Tolliver misses 3-pt shot from 24 ft,,96-98,,
4:45.0,,,96-98,,Defensive rebound by T. Johnson
4:34.0,,,96-101,3,J. Johnson makes 3-pt shot from 23 ft (assist by J. Richardson)
4:20.0,I. Smith makes 2-pt shot from 7 ft,2,98-101,,
4:02.0,,,98-103,2,K. Olynyk makes 2-pt shot from 5 ft (assist by T. Johnson)
3:44.0,I. Smith misses 2-pt shot from 19 ft,,98-103,,
3:42.0,,,98-103,,Defensive rebound by K. Olynyk
3:21.0,,,98-103,,Turnover by J. Richardson (out of bounds lost ball)
2:58.0,I. Smith misses 2-pt shot from 18 ft,,98-103,,
2:56.0,,,98-103,,Defensive rebound by T. Johnson
2:40.0,,,98-105,2,K. Olynyk makes 2-pt shot from 1 ft
2:40.0,Detroit full timeout,,98-105,,
2:40.0,,,98-105,,G. Dragic enters the game for J. Johnson
2:29.0,A. Tolliver makes 3-pt shot from 23 ft (assist by A. Bradley),3,101-105,,
2:07.0,,,101-105,,W. Ellington misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by T. Harris,,101-105,,
1:57.0,A. Tolliver misses 3-pt shot from 24 ft,,101-105,,
1:56.0,,,101-105,,Defensive rebound by Team
1:37.0,,,101-107,2,G. Dragic makes 2-pt shot from 1 ft
1:29.0,R. Bullock misses 3-pt shot from 29 ft,,101-107,,
1:21.0,Offensive rebound by A. Tolliver,,101-107,,
1:17.0,A. Bradley makes 3-pt shot from 26 ft (assist by A. Tolliver),3,104-107,,
0:56.0,,,104-107,,G. Dragic misses 2-pt shot from 15 ft
0:53.0,,,104-107,,Offensive rebound by K. Olynyk
0:39.0,,,104-109,2,K. Olynyk makes 2-pt shot at rim (assist by G. Dragic)
0:39.0,Detroit full timeout,,104-109,,
0:30.0,A. Bradley misses 3-pt shot from 27 ft,,104-109,,
0:29.0,,,104-109,,Defensive rebound by Team
0:24.0,Personal foul by A. Bradley (drawn by T. Johnson),,104-109,,
0:24.0,,,104-109,,Miami full timeout
0:23.0,Personal foul by T. Harris (drawn by J. Richardson),,104-109,,
0:23.0,,,104-110,1,J. Richardson makes free throw 1 of 2
0:23.0,,,104-111,1,J. Richardson makes free throw 2 of 2
0:15.0,T. Harris misses 3-pt shot from 22 ft,,104-111,,
0:10.0,,,104-111,,Defensive rebound by W. Ellington
