time,Washington,pts.away,score,pts.home,Portland
2:55.0,B. Beal makes 2-pt shot from 1 ft,2,16-18,,
2:32.0,,,16-18,,Turnover by D. Lillard (lost ball; steal by K. Oubre)
2:26.0,B. Beal makes 2-pt shot from 11 ft,2,18-18,,
2:13.0,,,18-18,,Turnover by E. Turner (bad pass; steal by M. Scott)
2:09.0,Turnover by M. Scott (out of bounds lost ball),,18-18,,
2:09.0,T. Satoransky enters the game for T. Frazier,,18-18,,
2:09.0,,,18-18,,C. McCollum enters the game for D. Lillard
1:55.0,,,18-20,2,E. Turner makes 2-pt shot from 10 ft
1:45.0,M. Scott makes 2-pt shot from 18 ft (assist by B. Beal),2,20-20,,
1:34.0,,,20-20,,P. Connaughton misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by M. Scott,,20-20,,
1:16.0,B. Beal misses 3-pt shot from 28 ft,,20-20,,
1:10.0,,,20-20,,Defensive rebound by C. McCollum
1:06.0,,,20-20,,N. Vonleh misses 2-pt shot from 6 ft
1:06.0,,,20-20,,Offensive rebound by Team
1:03.0,,,20-22,2,C. McCollum makes 2-pt shot from 16 ft (assist by E. Turner)
0:49.0,M. Scott makes 2-pt shot from 9 ft,2,22-22,,
0:29.0,,,22-22,,C. McCollum misses 2-pt shot from 16 ft
0:26.0,Defensive rebound by M. Scott,,22-22,,
0:05.0,T. Satoransky makes 2-pt shot from 7 ft,2,24-22,,
0:00.0,,,24-22,,E. Turner misses 2-pt shot from 15 ft
0:00.0,,,24-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,24-22,,C. McCollum misses 2-pt shot from 21 ft
11:36.0,,,24-22,,Offensive rebound by Team
11:36.0,,,24-22,,Turnover by Team (shot clock)
11:22.0,K. Oubre makes 2-pt shot from 1 ft,2,26-22,,
11:02.0,,,26-22,,P. Connaughton misses 3-pt shot from 25 ft
10:59.0,Defensive rebound by I. Mahinmi,,26-22,,
10:37.0,M. Scott makes 2-pt shot from 2 ft (assist by T. Satoransky),2,28-22,,
10:36.0,,,28-22,,Portland full timeout
10:36.0,,,28-22,,S. Napier enters the game for P. Connaughton
10:21.0,,,28-22,,C. McCollum misses 2-pt shot from 16 ft
10:19.0,Defensive rebound by Team,,28-22,,
10:05.0,,,28-22,,Personal foul by N. Vonleh (drawn by I. Mahinmi)
10:05.0,,,28-22,,Personal foul by C. McCollum (drawn by T. Satoransky)
10:05.0,J. Meeks makes free throw 1 of 1,1,29-22,,
9:52.0,T. Satoransky misses 3-pt shot from 26 ft,,29-22,,
9:48.0,,,29-22,,Defensive rebound by C. McCollum
9:40.0,,,29-22,,Turnover by E. Turner (bad pass; steal by I. Mahinmi)
9:32.0,K. Oubre makes 2-pt shot from 16 ft,2,31-22,,
9:11.0,,,31-22,,Turnover by S. Napier (lost ball; steal by I. Mahinmi)
9:01.0,Turnover by K. Oubre (bad pass),,31-22,,
9:01.0,,,31-22,,D. Lillard enters the game for E. Turner
9:01.0,,,31-22,,J. Nurkic enters the game for C. McCollum
9:01.0,,,31-22,,P. Connaughton enters the game for E. Davis
8:40.0,,,31-22,,J. Nurkic misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by M. Scott,,31-22,,
8:36.0,Turnover by J. Meeks (bad pass),,31-22,,
8:20.0,,,31-24,2,N. Vonleh makes 2-pt shot from 17 ft (assist by J. Nurkic)
8:20.0,Away from play foul by I. Mahinmi (drawn by J. Nurkic),,31-24,,
8:20.0,Turnover by I. Mahinmi (turnover),,31-24,,
8:20.0,,,31-24,,A. Aminu enters the game for N. Vonleh
8:20.0,,,31-25,1,J. Nurkic makes free throw 1 of 1
8:07.0,M. Scott makes 2-pt shot from 17 ft,2,33-25,,
7:55.0,Def 3 sec tech foul by M. Scott,,33-25,,
7:55.0,,,33-26,1,D. Lillard makes technical free throw
7:55.0,M. Morris enters the game for M. Scott,,33-26,,
7:41.0,,,33-29,3,A. Aminu makes 3-pt shot from 25 ft (assist by P. Connaughton)
7:25.0,K. Oubre misses 2-pt shot from 10 ft,,33-29,,
7:21.0,Offensive rebound by I. Mahinmi,,33-29,,
7:17.0,M. Morris misses 3-pt shot from 23 ft,,33-29,,
7:17.0,,,33-29,,Defensive rebound by J. Nurkic
7:05.0,Personal foul by M. Morris (drawn by A. Aminu),,33-29,,
7:05.0,B. Beal enters the game for J. Meeks,,33-29,,
6:56.0,,,33-29,,J. Nurkic misses 2-pt shot from 2 ft
6:56.0,,,33-29,,Offensive rebound by Team
6:56.0,Loose ball foul by I. Mahinmi (drawn by J. Nurkic),,33-29,,
6:56.0,,,33-30,1,J. Nurkic makes free throw 2 of 2
6:56.0,,,33-30,,J. Nurkic misses free throw 1 of 2
6:56.0,,,33-30,,Offensive rebound by Team
6:41.0,B. Beal makes 2-pt shot from 16 ft,2,35-30,,
6:32.0,,,35-30,,D. Lillard misses 3-pt shot from 26 ft
6:32.0,,,35-30,,Offensive rebound by P. Connaughton
6:25.0,,,35-30,,P. Connaughton misses 3-pt shot from 22 ft
6:23.0,Defensive rebound by T. Satoransky,,35-30,,
6:18.0,B. Beal makes 2-pt shot from 2 ft,2,37-30,,
5:57.0,,,37-30,,D. Lillard misses 2-pt shot at rim (block by M. Morris)
5:52.0,,,37-30,,Offensive rebound by D. Lillard
5:51.0,,,37-33,3,S. Napier makes 3-pt shot from 25 ft (assist by D. Lillard)
5:49.0,Washington full timeout,,37-33,,
5:49.0,,,37-33,,M. Harkless enters the game for S. Napier
5:49.0,M. Gortat enters the game for I. Mahinmi,,37-33,,
5:35.0,M. Gortat misses 2-pt shot from 11 ft,,37-33,,
5:32.0,,,37-33,,Defensive rebound by D. Lillard
5:26.0,,,37-33,,Turnover by D. Lillard (bad pass; steal by M. Gortat)
5:21.0,K. Oubre makes 3-pt shot from 22 ft (assist by B. Beal),3,40-33,,
5:07.0,,,40-33,,Turnover by P. Connaughton (bad pass; steal by K. Oubre)
5:03.0,K. Oubre makes 2-pt shot from 2 ft (assist by T. Satoransky),2,42-33,,
4:42.0,,,42-33,,Turnover by P. Connaughton (bad pass; steal by K. Oubre)
4:36.0,B. Beal misses 2-pt shot from 18 ft,,42-33,,
4:32.0,,,42-33,,Defensive rebound by D. Lillard
4:26.0,Personal foul by T. Satoransky (drawn by D. Lillard),,42-33,,
4:26.0,,,42-33,,C. McCollum enters the game for P. Connaughton
4:26.0,T. Frazier enters the game for T. Satoransky,,42-33,,
4:20.0,,,42-33,,J. Nurkic misses 2-pt shot from 4 ft (block by M. Morris)
4:17.0,,,42-33,,Offensive rebound by J. Nurkic
4:17.0,Personal foul by M. Gortat (drawn by J. Nurkic),,42-33,,
4:17.0,,,42-34,1,J. Nurkic makes free throw 1 of 2
4:17.0,,,42-35,1,J. Nurkic makes free throw 2 of 2
4:08.0,M. Morris misses 2-pt shot from 1 ft (block by J. Nurkic),,42-35,,
4:01.0,,,42-35,,Defensive rebound by A. Aminu
3:58.0,,,42-35,,Turnover by J. Nurkic (lost ball; steal by M. Gortat)
3:50.0,B. Beal misses 2-pt shot from 17 ft,,42-35,,
3:47.0,,,42-35,,Defensive rebound by D. Lillard
3:38.0,,,42-35,,Offensive charge foul by J. Nurkic (drawn by M. Gortat)
3:38.0,,,42-35,,Turnover by J. Nurkic (offensive foul)
3:38.0,O. Porter enters the game for K. Oubre,,42-35,,
3:22.0,T. Frazier makes 2-pt shot from 19 ft (assist by M. Gortat),2,44-35,,
3:04.0,,,44-37,2,D. Lillard makes 2-pt shot at rim
2:42.0,M. Morris misses 2-pt shot from 1 ft (block by J. Nurkic),,44-37,,
2:41.0,,,44-37,,Defensive rebound by A. Aminu
2:18.0,,,44-37,,Turnover by M. Harkless (bad pass; steal by T. Frazier)
2:00.0,B. Beal misses 2-pt shot from 11 ft,,44-37,,
1:55.0,,,44-37,,Defensive rebound by C. McCollum
1:48.0,,,44-37,,J. Nurkic misses 2-pt shot from 10 ft
1:47.0,Defensive rebound by M. Morris,,44-37,,
1:32.0,M. Morris misses 2-pt shot from 16 ft,,44-37,,
1:28.0,Offensive rebound by O. Porter,,44-37,,
1:19.0,B. Beal makes 3-pt shot from 26 ft (assist by T. Frazier),3,47-37,,
0:59.0,,,47-37,,C. McCollum misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by O. Porter,,47-37,,
0:42.0,B. Beal misses 3-pt shot from 26 ft,,47-37,,
0:39.0,,,47-37,,Defensive rebound by J. Nurkic
0:30.0,,,47-37,,Turnover by D. Lillard (bad pass; steal by T. Frazier)
0:30.0,,,47-37,,Loose ball foul by J. Nurkic (drawn by T. Frazier)
0:30.0,,,47-37,,E. Turner enters the game for C. McCollum
0:30.0,,,47-37,,S. Napier enters the game for M. Harkless
0:17.0,Shooting foul by A. Aminu (drawn by M. Gortat),,47-37,,
0:17.0,M. Gortat makes free throw 1 of 2,1,48-37,,
0:17.0,,,48-37,,C. McCollum enters the game for E. Turner
0:17.0,M. Gortat makes free throw 2 of 2,1,49-37,,
0:01.0,,,49-37,,Turnover by A. Aminu (lost ball; steal by M. Morris)
0:00.0,T. Frazier makes 2-pt shot from 2 ft (assist by M. Morris),2,51-37,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,51-37,,Shooting foul by M. Morris (drawn by E. Turner)
11:40.0,,,51-38,1,E. Turner makes free throw 1 of 2
11:40.0,,,51-38,,E. Turner misses free throw 2 of 2
11:37.0,Defensive rebound by M. Gortat,,51-38,,
11:18.0,M. Morris makes 3-pt shot from 24 ft (assist by M. Gortat),3,54-38,,
10:51.0,,,54-38,,J. Nurkic misses 2-pt shot from 13 ft
10:48.0,Defensive rebound by M. Gortat,,54-38,,
10:29.0,B. Beal makes 2-pt shot from 1 ft,2,56-38,,
10:09.0,,,56-38,,A. Aminu misses 2-pt shot from 9 ft
10:06.0,Defensive rebound by M. Gortat,,56-38,,
9:53.0,T. Frazier misses 2-pt shot from 15 ft,,56-38,,
9:49.0,,,56-38,,Defensive rebound by J. Nurkic
9:44.0,,,56-38,,D. Lillard misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by T. Frazier,,56-38,,
9:31.0,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat),3,59-38,,
9:30.0,,,59-38,,Portland full timeout
9:16.0,,,59-38,,C. McCollum misses 2-pt shot from 8 ft
9:14.0,Defensive rebound by O. Porter,,59-38,,
8:53.0,B. Beal makes 2-pt shot from 19 ft (assist by M. Gortat),2,61-38,,
8:40.0,,,61-40,2,J. Nurkic makes 2-pt shot from 4 ft (assist by D. Lillard)
8:40.0,,,61-40,,Shooting foul by O. Porter (drawn by J. Nurkic)
8:40.0,,,61-40,,J. Nurkic misses free throw 1 of 1
8:38.0,Defensive rebound by O. Porter,,61-40,,
8:19.0,M. Gortat misses 2-pt shot from 8 ft (block by J. Nurkic),,61-40,,
8:16.0,,,61-40,,Defensive rebound by D. Lillard
8:11.0,,,61-40,,D. Lillard misses 2-pt shot from 13 ft
8:11.0,Defensive rebound by Team,,61-40,,
8:11.0,,,61-40,,Loose ball foul by J. Nurkic (drawn by M. Gortat)
7:56.0,T. Frazier misses 2-pt shot from 12 ft,,61-40,,
7:52.0,Offensive rebound by B. Beal,,61-40,,
7:48.0,,,61-40,,Personal foul by D. Lillard (drawn by T. Frazier)
7:41.0,B. Beal misses 2-pt shot from 1 ft,,61-40,,
7:39.0,Offensive rebound by M. Gortat,,61-40,,
7:37.0,Turnover by M. Gortat (lost ball; steal by C. McCollum),,61-40,,
7:33.0,Personal foul by T. Frazier (drawn by C. McCollum),,61-40,,
7:25.0,,,61-43,3,A. Aminu makes 3-pt shot from 27 ft (assist by E. Turner)
7:04.0,M. Morris misses 2-pt shot from 9 ft,,61-43,,
7:01.0,,,61-43,,Defensive rebound by J. Nurkic
6:56.0,,,61-46,3,D. Lillard makes 3-pt shot from 28 ft
6:54.0,Washington full timeout,,61-46,,
6:32.0,B. Beal misses 3-pt shot from 26 ft,,61-46,,
6:29.0,,,61-46,,Defensive rebound by C. McCollum
6:23.0,,,61-48,2,A. Aminu makes 2-pt shot from 1 ft (assist by C. McCollum)
6:07.0,Offensive foul by B. Beal (drawn by C. McCollum),,61-48,,
6:07.0,Turnover by B. Beal (offensive foul),,61-48,,
5:52.0,,,61-48,,A. Aminu misses 3-pt shot from 26 ft
5:48.0,Defensive rebound by B. Beal,,61-48,,
5:41.0,,,61-48,,Personal foul by A. Aminu (drawn by M. Gortat)
5:36.0,O. Porter makes 2-pt shot from 15 ft (assist by M. Gortat),2,63-48,,
5:20.0,,,63-51,3,D. Lillard makes 3-pt shot from 25 ft
5:20.0,,,63-51,,Shooting foul by T. Frazier (drawn by D. Lillard)
5:20.0,,,63-52,1,D. Lillard makes free throw 1 of 1
5:04.0,B. Beal misses 2-pt shot from 13 ft,,63-52,,
5:00.0,,,63-52,,Defensive rebound by J. Nurkic
4:54.0,,,63-52,,D. Lillard misses 3-pt shot from 29 ft
4:52.0,,,63-52,,Offensive rebound by C. McCollum
4:52.0,,,63-52,,Shooting foul by M. Morris (drawn by C. McCollum)
4:52.0,,,63-52,,C. McCollum misses free throw 1 of 2
4:52.0,,,63-52,,Offensive rebound by Team
4:52.0,,,63-53,1,C. McCollum makes free throw 2 of 2
4:38.0,Shooting foul by A. Aminu (drawn by M. Morris),,63-53,,
4:38.0,M. Morris misses free throw 1 of 2,,63-53,,
4:38.0,Offensive rebound by Team,,63-53,,
4:38.0,,,63-53,,M. Leonard enters the game for C. McCollum
4:38.0,,,63-53,,P. Connaughton enters the game for J. Nurkic
4:38.0,M. Morris makes free throw 2 of 2,1,64-53,,
4:26.0,,,64-53,,D. Lillard misses 2-pt shot from 10 ft
4:23.0,Defensive rebound by O. Porter,,64-53,,
4:02.0,M. Morris makes 3-pt shot from 25 ft (assist by T. Frazier),3,67-53,,
3:42.0,,,67-53,,E. Turner misses 2-pt shot from 15 ft
3:39.0,Defensive rebound by O. Porter,,67-53,,
3:28.0,B. Beal makes 2-pt shot from 12 ft,2,69-53,,
3:02.0,,,69-53,,Turnover by E. Turner (lost ball; steal by T. Frazier)
2:57.0,B. Beal makes 3-pt shot from 22 ft (assist by T. Frazier),3,72-53,,
2:56.0,,,72-53,,Portland full timeout
2:56.0,,,72-53,,N. Vonleh enters the game for E. Turner
2:56.0,,,72-53,,C. McCollum enters the game for A. Aminu
2:56.0,K. Oubre enters the game for M. Gortat,,72-53,,
2:43.0,,,72-53,,C. McCollum misses 2-pt shot from 2 ft (block by O. Porter)
2:43.0,,,72-53,,Offensive rebound by Team
2:39.0,Personal foul by T. Frazier (drawn by M. Leonard),,72-53,,
2:39.0,,,72-54,1,M. Leonard makes free throw 1 of 2
2:39.0,T. Satoransky enters the game for T. Frazier,,72-54,,
2:39.0,,,72-55,1,M. Leonard makes free throw 2 of 2
2:27.0,M. Morris misses 2-pt shot from 12 ft,,72-55,,
2:24.0,,,72-55,,Defensive rebound by N. Vonleh
2:17.0,,,72-57,2,D. Lillard makes 2-pt shot from 3 ft
2:04.0,B. Beal makes 2-pt shot from 11 ft (assist by O. Porter),2,74-57,,
2:04.0,Shooting foul by C. McCollum (drawn by B. Beal),,74-57,,
2:04.0,B. Beal makes free throw 1 of 1,1,75-57,,
1:50.0,,,75-57,,M. Leonard misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by O. Porter,,75-57,,
1:36.0,Turnover by M. Morris (traveling),,75-57,,
1:36.0,M. Scott enters the game for M. Morris,,75-57,,
1:22.0,,,75-57,,N. Vonleh misses 2-pt shot from 15 ft
1:18.0,,,75-57,,Offensive rebound by M. Leonard
1:12.0,Def 3 sec tech foul by M. Scott,,75-57,,
1:12.0,,,75-58,1,D. Lillard makes technical free throw
1:12.0,,,75-58,,A. Aminu enters the game for M. Leonard
1:07.0,,,75-61,3,D. Lillard makes 3-pt shot from 30 ft
0:47.0,B. Beal makes 2-pt shot from 21 ft,2,77-61,,
0:36.0,,,77-63,2,D. Lillard makes 2-pt shot from 22 ft
0:19.0,B. Beal makes 2-pt shot from 17 ft,2,79-63,,
0:01.0,,,79-66,3,P. Connaughton makes 3-pt shot from 24 ft (assist by D. Lillard)
0:00.0,K. Oubre misses 3-pt shot from 47 ft,,79-66,,
0:00.0,Offensive rebound by Team,,79-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,B. Beal misses 3-pt shot from 25 ft,,79-66,,
11:37.0,,,79-66,,Defensive rebound by N. Vonleh
11:29.0,,,79-68,2,D. Lillard makes 2-pt shot from 1 ft
11:04.0,O. Porter misses 2-pt shot from 9 ft,,79-68,,
11:01.0,,,79-68,,Defensive rebound by N. Vonleh
10:55.0,,,79-68,,D. Lillard misses 3-pt shot from 29 ft
10:55.0,Defensive rebound by K. Oubre,,79-68,,
10:53.0,,,79-68,,Personal foul by A. Aminu (drawn by K. Oubre)
10:53.0,,,79-68,,J. Nurkic enters the game for N. Vonleh
10:53.0,I. Mahinmi enters the game for O. Porter,,79-68,,
10:44.0,K. Oubre misses 2-pt shot from 18 ft,,79-68,,
10:44.0,,,79-68,,Defensive rebound by D. Lillard
10:34.0,,,79-70,2,C. McCollum makes 2-pt shot from 1 ft
10:11.0,B. Beal makes 2-pt shot from 14 ft,2,81-70,,
9:59.0,,,81-72,2,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard)
9:35.0,T. Satoransky misses 3-pt shot from 25 ft,,81-72,,
9:30.0,Offensive rebound by M. Scott,,81-72,,
9:27.0,B. Beal makes 3-pt shot from 26 ft (assist by M. Scott),3,84-72,,
9:12.0,,,84-72,,A. Aminu misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by T. Satoransky,,84-72,,
9:04.0,,,84-72,,Personal foul by D. Lillard (drawn by B. Beal)
9:04.0,,,84-72,,N. Vonleh enters the game for A. Aminu
8:54.0,B. Beal misses 2-pt shot from 1 ft,,84-72,,
8:52.0,,,84-72,,Defensive rebound by J. Nurkic
8:36.0,,,84-72,,C. McCollum misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by B. Beal,,84-72,,
8:28.0,Shooting foul by J. Nurkic (drawn by I. Mahinmi),,84-72,,
8:28.0,I. Mahinmi makes free throw 1 of 2,1,85-72,,
8:28.0,I. Mahinmi makes free throw 2 of 2,1,86-72,,
8:12.0,,,86-72,,P. Connaughton misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by I. Mahinmi,,86-72,,
8:00.0,B. Beal misses 3-pt shot from 26 ft,,86-72,,
7:56.0,,,86-72,,Defensive rebound by N. Vonleh
7:53.0,Personal foul by I. Mahinmi (drawn by J. Nurkic),,86-72,,
7:53.0,,,86-72,,S. Napier enters the game for P. Connaughton
7:47.0,,,86-72,,C. McCollum misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by M. Scott,,86-72,,
7:29.0,B. Beal makes 2-pt shot from 11 ft,2,88-72,,
7:27.0,,,88-72,,Portland full timeout
7:07.0,,,88-72,,D. Lillard misses 2-pt shot from 5 ft (block by M. Scott)
7:05.0,Defensive rebound by M. Scott,,88-72,,
6:47.0,B. Beal misses 3-pt shot from 24 ft,,88-72,,
6:44.0,Offensive rebound by M. Scott,,88-72,,
6:41.0,M. Scott makes 2-pt shot from 1 ft,2,90-72,,
6:29.0,,,90-74,2,J. Nurkic makes 2-pt shot from 12 ft (assist by D. Lillard)
6:29.0,,,90-74,,Shooting foul by M. Scott (drawn by J. Nurkic)
6:29.0,,,90-74,,J. Nurkic misses free throw 1 of 1
6:28.0,Defensive rebound by T. Satoransky,,90-74,,
6:28.0,,,90-74,,Personal take foul by C. McCollum (drawn by T. Satoransky)
6:28.0,,,90-74,,E. Davis enters the game for N. Vonleh
6:28.0,,,90-74,,A. Aminu enters the game for J. Nurkic
6:15.0,Shooting foul by C. McCollum (drawn by B. Beal),,90-74,,
6:15.0,B. Beal makes free throw 1 of 2,1,91-74,,
6:15.0,,,91-74,,P. Connaughton enters the game for C. McCollum
6:15.0,B. Beal misses free throw 2 of 2,,91-74,,
6:14.0,,,91-74,,Defensive rebound by Team
6:04.0,,,91-76,2,D. Lillard makes 2-pt shot from 1 ft
5:46.0,I. Mahinmi misses 2-pt shot from 18 ft,,91-76,,
5:44.0,Offensive rebound by I. Mahinmi,,91-76,,
5:36.0,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky),3,94-76,,
5:23.0,,,94-76,,D. Lillard misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by T. Satoransky,,94-76,,
5:02.0,T. Satoransky makes 3-pt shot from 22 ft (assist by K. Oubre),3,97-76,,
4:47.0,Personal foul by T. Satoransky (drawn by S. Napier),,97-76,,
4:47.0,,,97-76,,C. McCollum enters the game for S. Napier
4:47.0,O. Porter enters the game for M. Scott,,97-76,,
4:35.0,,,97-78,2,D. Lillard makes 2-pt shot from 22 ft
4:10.0,I. Mahinmi misses 2-pt shot from 1 ft,,97-78,,
4:07.0,,,97-78,,Defensive rebound by C. McCollum
3:57.0,,,97-78,,Turnover by A. Aminu (bad pass; steal by I. Mahinmi)
3:53.0,O. Porter misses 2-pt shot from 2 ft,,97-78,,
3:50.0,,,97-78,,Defensive rebound by D. Lillard
3:43.0,,,97-78,,D. Lillard misses 3-pt shot from 25 ft
3:42.0,,,97-78,,Offensive rebound by Team
3:42.0,Loose ball foul by T. Satoransky (drawn by A. Aminu),,97-78,,
3:34.0,,,97-81,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
3:33.0,Washington full timeout,,97-81,,
3:33.0,,,97-81,,Z. Collins enters the game for E. Davis
3:18.0,Offensive foul by I. Mahinmi (drawn by D. Lillard),,97-81,,
3:18.0,Turnover by I. Mahinmi (offensive foul),,97-81,,
3:14.0,Personal foul by I. Mahinmi (drawn by D. Lillard),,97-81,,
3:14.0,,,97-82,1,D. Lillard makes free throw 1 of 2
3:14.0,M. Morris enters the game for I. Mahinmi,,97-82,,
3:14.0,,,97-83,1,D. Lillard makes free throw 2 of 2
