time,Sacramento,pts.away,score,pts.home,Orlando
1:44.0,Defensive rebound by J. Jackson,,24-25,,
1:31.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,24-25,,
1:31.0,Offensive rebound by Team,,24-25,,
1:31.0,,,24-25,,Loose ball foul by E. Fournier (drawn by J. Jackson)
1:31.0,,,24-25,,M. Hezonja enters the game for A. Gordon
1:31.0,M. Richardson enters the game for V. Carter,,24-25,,
1:17.0,G. Temple makes 2-pt shot from 16 ft (assist by W. Cauley-Stein),2,26-25,,
1:01.0,,,26-25,,Turnover by M. Hezonja (bad pass; steal by B. Hield)
0:59.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,28-25,,
0:48.0,,,28-25,,E. Fournier misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by J. Jackson,,28-25,,
0:36.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,28-25,,
0:36.0,,,28-25,,Defensive rebound by D. Augustin
0:17.0,,,28-27,2,D. Augustin makes 2-pt shot from 1 ft
0:01.0,M. Richardson misses 2-pt shot from 18 ft,,28-27,,
0:01.0,Offensive rebound by Team,,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Violation by B. Hield (kicked ball),,28-27,,
11:36.0,,,28-30,3,W. Iwundu makes 3-pt shot from 22 ft (assist by D. Augustin)
11:13.0,B. Hield makes 2-pt shot from 3 ft,2,30-30,,
11:04.0,,,30-30,,M. Speights misses 3-pt shot from 26 ft
11:01.0,Defensive rebound by M. Richardson,,30-30,,
10:48.0,J. Jackson makes 2-pt shot from 20 ft (assist by S. Labissiere),2,32-30,,
10:35.0,,,32-30,,M. Hezonja misses 3-pt shot from 24 ft
10:34.0,,,32-30,,Offensive rebound by Team
10:26.0,,,32-30,,M. Speights misses 3-pt shot from 25 ft
10:22.0,,,32-30,,Offensive rebound by D. Augustin
10:22.0,,,32-30,,D. Augustin misses 2-pt shot from 2 ft (block by B. Hield)
10:22.0,,,32-30,,Offensive rebound by Team
10:13.0,,,32-30,,Shooting foul by J. Jackson (drawn by S. Mack)
10:13.0,,,32-31,1,S. Mack makes free throw 1 of 2
10:13.0,,,32-32,1,S. Mack makes free throw 2 of 2
9:54.0,Turnover by B. Hield (bad pass; steal by M. Hezonja),,32-32,,
9:53.0,,,32-32,,Shooting foul by M. Richardson (drawn by D. Augustin)
9:53.0,,,32-33,1,D. Augustin makes free throw 1 of 2
9:53.0,,,32-34,1,D. Augustin makes free throw 2 of 2
9:39.0,B. Hield misses 2-pt shot from 15 ft,,32-34,,
9:34.0,,,32-34,,Defensive rebound by S. Mack
9:27.0,,,32-36,2,S. Mack makes 2-pt shot from 2 ft
9:17.0,Turnover by S. Labissiere (lost ball; steal by D. Augustin),,32-36,,
9:10.0,,,32-36,,Turnover by M. Speights (lost ball; steal by B. Hield)
9:05.0,J. Jackson makes 2-pt shot from 1 ft (assist by B. Hield),2,34-36,,
8:41.0,,,34-38,2,M. Hezonja makes 2-pt shot from 3 ft (assist by W. Iwundu)
8:32.0,G. Temple makes 2-pt shot from 18 ft,2,36-38,,
8:26.0,,,36-38,,Orlando full timeout
8:26.0,,,36-38,,K. Birch enters the game for M. Speights
8:26.0,D. Fox enters the game for M. Richardson,,36-38,,
8:04.0,,,36-38,,S. Mack misses 2-pt shot from 5 ft (block by S. Labissiere)
8:01.0,Defensive rebound by S. Labissiere,,36-38,,
7:45.0,Shooting foul by M. Hezonja (drawn by S. Labissiere),,36-38,,
7:45.0,S. Labissiere makes free throw 1 of 2,1,37-38,,
7:45.0,,,37-38,,J. Simmons enters the game for S. Mack
7:45.0,S. Labissiere makes free throw 2 of 2,1,38-38,,
7:36.0,,,38-41,3,D. Augustin makes 3-pt shot from 27 ft (assist by K. Birch)
7:16.0,G. Temple misses 3-pt shot from 23 ft,,38-41,,
7:14.0,,,38-41,,Defensive rebound by J. Simmons
6:52.0,,,38-41,,W. Iwundu misses 2-pt shot from 16 ft
6:47.0,Defensive rebound by B. Hield,,38-41,,
6:42.0,B. Hield misses 3-pt shot from 26 ft,,38-41,,
6:39.0,,,38-41,,Defensive rebound by J. Simmons
6:31.0,,,38-41,,D. Augustin misses 3-pt shot from 27 ft
6:28.0,Defensive rebound by S. Labissiere,,38-41,,
6:20.0,D. Fox makes 2-pt shot from 11 ft,2,40-41,,
6:00.0,,,40-41,,M. Hezonja misses 2-pt shot from 21 ft
5:56.0,Defensive rebound by J. Jackson,,40-41,,
5:51.0,Turnover by J. Jackson (bad pass; steal by M. Hezonja),,40-41,,
5:46.0,Personal foul by D. Fox (drawn by M. Hezonja),,40-41,,
5:46.0,,,40-41,,E. Fournier enters the game for M. Hezonja
5:46.0,,,40-41,,E. Payton enters the game for D. Augustin
5:46.0,,,40-41,,A. Gordon enters the game for W. Iwundu
5:46.0,B. Bogdanovic enters the game for G. Temple,,40-41,,
5:28.0,,,40-41,,J. Simmons misses 3-pt shot from 25 ft
5:25.0,,,40-41,,Offensive rebound by K. Birch
5:24.0,,,40-41,,K. Birch misses 2-pt shot from 1 ft
5:24.0,Defensive rebound by S. Labissiere,,40-41,,
5:17.0,D. Fox misses 2-pt shot from 20 ft,,40-41,,
5:13.0,,,40-41,,Defensive rebound by E. Payton
5:11.0,,,40-43,2,E. Payton makes 2-pt shot from 2 ft
5:11.0,,,40-43,,Shooting foul by B. Hield (drawn by E. Payton)
5:11.0,,,40-43,,B. Biyombo enters the game for K. Birch
5:11.0,W. Cauley-Stein enters the game for S. Labissiere,,40-43,,
5:11.0,,,40-43,,E. Payton misses free throw 1 of 1
5:07.0,Defensive rebound by J. Jackson,,40-43,,
5:03.0,Sacramento full timeout,,40-43,,
5:03.0,G. Temple enters the game for D. Fox,,40-43,,
5:03.0,V. Carter enters the game for J. Jackson,,40-43,,
4:53.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,42-43,,
4:28.0,,,42-45,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
4:19.0,,,42-45,,Personal foul by E. Payton (drawn by V. Carter)
4:11.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by B. Biyombo),,42-45,,
4:07.0,Offensive rebound by B. Hield,,42-45,,
4:04.0,V. Carter misses 3-pt shot from 24 ft,,42-45,,
4:00.0,,,42-45,,Defensive rebound by A. Gordon
3:49.0,,,42-45,,E. Payton misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
3:45.0,Defensive rebound by B. Bogdanovic,,42-45,,
3:38.0,B. Bogdanovic misses 2-pt shot from 2 ft,,42-45,,
3:35.0,Offensive rebound by W. Cauley-Stein,,42-45,,
3:33.0,G. Temple makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,45-45,,
3:13.0,,,45-45,,Offensive charge foul by A. Gordon (drawn by B. Hield)
3:13.0,,,45-45,,Turnover by A. Gordon (offensive foul)
2:55.0,Turnover by B. Bogdanovic (bad pass),,45-45,,
2:43.0,,,45-45,,Turnover by E. Fournier (lost ball; steal by B. Hield)
2:39.0,G. Temple makes 2-pt shot from 1 ft,2,47-45,,
2:39.0,,,47-45,,Orlando full timeout
2:26.0,Personal foul by V. Carter (drawn by E. Fournier),,47-45,,
2:26.0,,,47-46,1,E. Fournier makes free throw 1 of 2
2:26.0,,,47-47,1,E. Fournier makes free throw 2 of 2
2:14.0,B. Hield makes 3-pt shot from 26 ft (assist by V. Carter),3,50-47,,
1:56.0,,,50-49,2,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier)
1:38.0,Turnover by B. Hield (bad pass; steal by A. Gordon),,50-49,,
1:34.0,,,50-51,2,A. Gordon makes 2-pt shot at rim
1:20.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by G. Temple),2,52-51,,
1:04.0,,,52-53,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
0:51.0,,,52-53,,Personal foul by B. Biyombo (drawn by W. Cauley-Stein)
0:51.0,,,52-53,,S. Mack enters the game for J. Simmons
0:42.0,B. Hield misses 2-pt shot from 1 ft,,52-53,,
0:40.0,,,52-53,,Defensive rebound by A. Gordon
0:31.0,,,52-53,,Turnover by A. Gordon (traveling)
0:13.0,Turnover by V. Carter (bad pass),,52-53,,
0:03.0,,,52-53,,A. Gordon misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by B. Hield,,52-53,,
0:00.0,B. Hield misses 3-pt shot from 48 ft,,52-53,,
0:00.0,Offensive rebound by Team,,52-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-53,,Turnover by A. Gordon (step out of bounds)
11:28.0,J. Jackson misses 3-pt shot from 25 ft,,52-53,,
11:25.0,,,52-53,,Defensive rebound by B. Biyombo
11:21.0,,,52-53,,Offensive foul by B. Biyombo (drawn by V. Carter)
11:21.0,,,52-53,,Turnover by B. Biyombo (offensive foul)
11:05.0,G. Temple misses 3-pt shot from 25 ft,,52-53,,
11:02.0,,,52-53,,Defensive rebound by J. Simmons
10:49.0,,,52-55,2,E. Fournier makes 2-pt shot from 10 ft
10:28.0,V. Carter misses 3-pt shot from 25 ft,,52-55,,
10:25.0,,,52-55,,Defensive rebound by A. Gordon
10:16.0,,,52-58,3,J. Simmons makes 3-pt shot from 25 ft (assist by B. Biyombo)
9:54.0,G. Temple makes 2-pt shot from 10 ft,2,54-58,,
9:36.0,,,54-60,2,J. Simmons makes 2-pt shot from 20 ft (assist by B. Biyombo)
9:23.0,W. Cauley-Stein makes 2-pt shot at rim,2,56-60,,
9:05.0,,,56-63,3,A. Gordon makes 3-pt shot from 22 ft (assist by E. Fournier)
8:41.0,V. Carter makes 2-pt shot from 1 ft,2,58-63,,
8:35.0,Personal block foul by G. Temple (drawn by E. Payton),,58-63,,
8:26.0,,,58-63,,E. Fournier misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by B. Bogdanovic,,58-63,,
8:02.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple),2,60-63,,
7:37.0,,,60-63,,A. Gordon misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by W. Cauley-Stein,,60-63,,
7:25.0,B. Bogdanovic makes 2-pt shot from 12 ft,2,62-63,,
7:12.0,,,62-66,3,J. Simmons makes 3-pt shot from 25 ft
6:52.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by V. Carter),2,64-66,,
6:45.0,,,64-68,2,J. Simmons makes 2-pt shot from 2 ft
6:45.0,,,64-68,,Shooting foul by B. Bogdanovic (drawn by J. Simmons)
6:45.0,,,64-68,,Orlando full timeout
6:45.0,S. Labissiere enters the game for W. Cauley-Stein,,64-68,,
6:45.0,,,64-69,1,J. Simmons makes free throw 1 of 1
6:33.0,Turnover by B. Bogdanovic (bad pass; steal by E. Payton),,64-69,,
6:20.0,,,64-69,,B. Biyombo misses 2-pt shot from 12 ft
6:17.0,Defensive rebound by J. Jackson,,64-69,,
5:59.0,V. Carter misses 2-pt shot from 1 ft,,64-69,,
5:56.0,,,64-69,,Defensive rebound by E. Payton
5:50.0,,,64-71,2,E. Payton makes 2-pt shot from 2 ft
5:32.0,Shooting foul by B. Biyombo (drawn by S. Labissiere),,64-71,,
5:32.0,S. Labissiere misses free throw 1 of 2,,64-71,,
5:32.0,Offensive rebound by Team,,64-71,,
5:32.0,,,64-71,,K. Birch enters the game for B. Biyombo
5:32.0,M. Richardson enters the game for B. Bogdanovic,,64-71,,
5:32.0,B. Hield enters the game for V. Carter,,64-71,,
5:32.0,S. Labissiere makes free throw 2 of 2,1,65-71,,
5:23.0,,,65-74,3,E. Payton makes 3-pt shot from 24 ft (assist by E. Fournier)
5:08.0,J. Jackson misses 3-pt shot from 25 ft,,65-74,,
5:05.0,,,65-74,,Defensive rebound by A. Gordon
4:57.0,,,65-74,,J. Simmons misses 2-pt shot from 6 ft (block by S. Labissiere)
4:53.0,Defensive rebound by J. Jackson,,65-74,,
4:44.0,B. Hield makes 3-pt shot from 23 ft (assist by G. Temple),3,68-74,,
4:34.0,Personal foul by B. Hield (drawn by E. Payton),,68-74,,
4:22.0,,,68-76,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
4:11.0,S. Labissiere misses 2-pt shot from 12 ft,,68-76,,
4:06.0,,,68-76,,Defensive rebound by E. Payton
4:03.0,,,68-79,3,J. Simmons makes 3-pt shot from 25 ft (assist by E. Payton)
4:02.0,Sacramento full timeout,,68-79,,
3:50.0,G. Temple misses 3-pt shot from 23 ft,,68-79,,
3:46.0,,,68-79,,Defensive rebound by K. Birch
3:38.0,,,68-79,,Turnover by E. Payton (turnover)
3:38.0,,,68-79,,Loose ball foul by E. Payton (drawn by G. Temple)
3:38.0,W. Cauley-Stein enters the game for J. Jackson,,68-79,,
3:20.0,M. Richardson makes 2-pt shot from 17 ft (assist by W. Cauley-Stein),2,70-79,,
2:55.0,,,70-79,,J. Simmons misses 2-pt shot from 14 ft
2:53.0,,,70-79,,Offensive rebound by K. Birch
2:53.0,,,70-79,,Shooting foul by W. Cauley-Stein (drawn by K. Birch)
2:53.0,,,70-80,1,K. Birch makes free throw 1 of 2
2:53.0,,,70-80,,D. Augustin enters the game for E. Payton
2:53.0,,,70-80,,K. Birch misses free throw 2 of 2
2:50.0,Defensive rebound by S. Labissiere,,70-80,,
2:29.0,B. Hield makes 3-pt shot from 22 ft (assist by S. Labissiere),3,73-80,,
2:15.0,Personal foul by B. Hield (drawn by E. Fournier),,73-80,,
2:15.0,,,73-81,1,E. Fournier makes free throw 1 of 2
2:15.0,,,73-82,1,E. Fournier makes free throw 2 of 2
1:58.0,W. Cauley-Stein misses 2-pt shot from 8 ft,,73-82,,
1:56.0,,,73-82,,Defensive rebound by K. Birch
1:38.0,,,73-82,,J. Simmons misses 3-pt shot from 25 ft (block by S. Labissiere)
1:33.0,Defensive rebound by S. Labissiere,,73-82,,
1:32.0,B. Hield makes 2-pt shot from 2 ft (assist by S. Labissiere),2,75-82,,
1:13.0,,,75-82,,A. Gordon misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by S. Labissiere,,75-82,,
1:07.0,M. Richardson misses 3-pt shot from 24 ft,,75-82,,
1:03.0,Offensive rebound by W. Cauley-Stein,,75-82,,
1:02.0,M. Richardson misses 3-pt shot from 23 ft,,75-82,,
0:57.0,,,75-82,,Defensive rebound by A. Gordon
0:52.0,,,75-82,,Offensive charge foul by A. Gordon (drawn by W. Cauley-Stein)
0:52.0,,,75-82,,Turnover by A. Gordon (offensive foul)
0:52.0,,,75-82,,S. Mack enters the game for A. Gordon
0:52.0,,,75-82,,M. Hezonja enters the game for E. Fournier
0:42.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by G. Temple),2,77-82,,
0:25.0,,,77-82,,M. Hezonja misses 2-pt shot from 2 ft (block by W. Cauley-Stein)
0:25.0,Defensive rebound by Team,,77-82,,
0:25.0,B. Bogdanovic enters the game for S. Labissiere,,77-82,,
0:03.0,B. Bogdanovic misses 3-pt shot from 25 ft,,77-82,,
0:03.0,,,77-82,,Defensive rebound by K. Birch
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Turnover by B. Bogdanovic (bad pass; steal by K. Birch),,77-82,,
11:20.0,,,77-84,2,K. Birch makes 2-pt shot from 9 ft (assist by D. Augustin)
11:00.0,Shooting foul by S. Mack (drawn by W. Cauley-Stein),,77-84,,
11:00.0,W. Cauley-Stein makes free throw 1 of 2,1,78-84,,
11:00.0,W. Cauley-Stein makes free throw 2 of 2,1,79-84,,
10:37.0,,,79-84,,S. Mack misses 3-pt shot from 25 ft
10:34.0,Defensive rebound by W. Cauley-Stein,,79-84,,
10:32.0,B. Hield misses 3-pt shot from 26 ft,,79-84,,
10:27.0,Offensive rebound by M. Richardson,,79-84,,
10:26.0,M. Richardson makes 2-pt shot from 2 ft,2,81-84,,
10:02.0,,,81-84,,K. Birch misses 2-pt shot from 3 ft (block by M. Richardson)
10:02.0,,,81-84,,Offensive rebound by Team
10:00.0,,,81-84,,K. Birch misses 2-pt shot from 12 ft
9:55.0,Defensive rebound by B. Hield,,81-84,,
9:43.0,G. Temple makes 2-pt shot from 18 ft,2,83-84,,
9:43.0,,,83-84,,Orlando full timeout
9:43.0,,,83-84,,E. Payton enters the game for S. Mack
9:43.0,S. Labissiere enters the game for W. Cauley-Stein,,83-84,,
9:31.0,,,83-87,3,D. Augustin makes 3-pt shot from 25 ft
9:12.0,S. Labissiere makes 2-pt shot from 2 ft (assist by B. Hield),2,85-87,,
9:12.0,Shooting foul by K. Birch (drawn by S. Labissiere),,85-87,,
9:12.0,,,85-87,,E. Fournier enters the game for W. Iwundu
9:12.0,S. Labissiere makes free throw 1 of 1,1,86-87,,
8:52.0,,,86-87,,Turnover by D. Augustin (bad pass; steal by M. Richardson)
8:40.0,M. Richardson misses 2-pt shot from 22 ft,,86-87,,
8:37.0,,,86-87,,Defensive rebound by K. Birch
8:34.0,,,86-87,,E. Fournier misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by M. Richardson,,86-87,,
8:16.0,Turnover by G. Temple (lost ball; steal by D. Augustin),,86-87,,
8:14.0,,,86-87,,D. Augustin misses 2-pt shot from 2 ft
8:13.0,,,86-87,,Offensive rebound by E. Payton
8:12.0,,,86-89,2,E. Payton makes 2-pt shot at rim
7:49.0,Offensive charge foul by G. Temple (drawn by D. Augustin),,86-89,,
7:49.0,Turnover by G. Temple (offensive foul),,86-89,,
7:49.0,,,86-89,,A. Gordon enters the game for M. Hezonja
7:49.0,,,86-89,,J. Simmons enters the game for D. Augustin
7:35.0,,,86-89,,E. Fournier misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by B. Hield,,86-89,,
7:26.0,Sacramento full timeout,,86-89,,
7:26.0,,,86-89,,B. Biyombo enters the game for K. Birch
7:26.0,V. Carter enters the game for S. Labissiere,,86-89,,
7:26.0,W. Cauley-Stein enters the game for M. Richardson,,86-89,,
7:18.0,Turnover by W. Cauley-Stein (bad pass; steal by E. Payton),,86-89,,
7:13.0,,,86-91,2,E. Payton makes 2-pt shot from 8 ft (assist by A. Gordon)
6:58.0,G. Temple makes 2-pt shot from 2 ft (assist by V. Carter),2,88-91,,
6:30.0,,,88-91,,E. Fournier misses 2-pt shot from 22 ft
6:28.0,Defensive rebound by W. Cauley-Stein,,88-91,,
6:22.0,G. Temple makes 3-pt shot from 25 ft,3,91-91,,
6:20.0,,,91-91,,Orlando full timeout
6:02.0,,,91-91,,Turnover by B. Biyombo (lost ball; steal by B. Hield)
5:43.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by B. Biyombo),,91-91,,
5:39.0,Offensive rebound by W. Cauley-Stein,,91-91,,
5:38.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,91-91,,
5:36.0,,,91-91,,Defensive rebound by A. Gordon
5:33.0,,,91-93,2,B. Biyombo makes 2-pt shot at rim
5:15.0,G. Temple makes 3-pt shot from 24 ft (assist by V. Carter),3,94-93,,
5:00.0,,,94-93,,E. Fournier misses 3-pt shot from 25 ft
4:57.0,,,94-93,,Offensive rebound by A. Gordon
4:55.0,,,94-93,,Shooting foul by W. Cauley-Stein (drawn by A. Gordon)
4:55.0,,,94-93,,A. Gordon misses free throw 1 of 3
4:55.0,,,94-93,,Offensive rebound by Team
4:55.0,,,94-94,1,A. Gordon makes free throw 2 of 3
4:55.0,J. Jackson enters the game for B. Hield,,94-94,,
4:55.0,,,94-95,1,A. Gordon makes free throw 3 of 3
4:37.0,B. Bogdanovic misses 3-pt shot from 14 ft,,94-95,,
4:35.0,,,94-95,,Defensive rebound by B. Biyombo
4:22.0,,,94-95,,E. Payton misses 2-pt shot from 15 ft
4:18.0,Defensive rebound by V. Carter,,94-95,,
4:04.0,V. Carter misses 3-pt shot from 25 ft,,94-95,,
4:01.0,,,94-95,,Defensive rebound by B. Biyombo
3:58.0,,,94-95,,Shooting foul by B. Bogdanovic (drawn by E. Payton)
3:58.0,,,94-96,1,E. Payton makes free throw 1 of 2
3:58.0,,,94-97,1,E. Payton makes free throw 2 of 2
3:36.0,B. Bogdanovic misses 3-pt shot from 25 ft,,94-97,,
3:34.0,Offensive rebound by Team,,94-97,,
3:24.0,G. Temple makes 2-pt shot from 10 ft,2,96-97,,
3:02.0,,,96-97,,Turnover by J. Simmons (discontinued dribble)
3:02.0,Sacramento full timeout,,96-97,,
2:54.0,,,96-97,,Personal foul by J. Simmons (drawn by B. Bogdanovic)
2:42.0,G. Temple makes 3-pt shot from 25 ft (assist by V. Carter),3,99-97,,
2:24.0,,,99-97,,E. Fournier misses 3-pt shot from 26 ft
2:21.0,Defensive rebound by G. Temple,,99-97,,
2:04.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by B. Biyombo),,99-97,,
2:00.0,Offensive rebound by G. Temple,,99-97,,
