time,Washington,pts.away,score,pts.home,Golden State
7:38.0,K. Oubre makes free throw 1 of 2,1,45-37,,
7:38.0,K. Oubre makes free throw 2 of 2,1,46-37,,
7:18.0,,,46-39,2,K. Thompson makes 2-pt shot from 1 ft (assist by N. Young)
7:09.0,I. Mahinmi makes 2-pt shot from 13 ft (assist by T. Frazier),2,48-39,,
6:57.0,,,48-41,2,D. West makes 2-pt shot from 13 ft (assist by K. Durant)
6:47.0,,,48-41,,Personal foul by N. Young (drawn by J. Meeks)
6:47.0,,,48-41,,Golden State full timeout
6:47.0,,,48-41,,S. Curry enters the game for K. Thompson
6:31.0,T. Frazier misses 2-pt shot from 16 ft (block by N. Young),,48-41,,
6:30.0,Offensive rebound by Team,,48-41,,
6:30.0,Turnover by Team (shot clock),,48-41,,
6:14.0,,,48-43,2,D. West makes 2-pt shot from 10 ft (assist by K. Durant)
5:55.0,,,48-43,,Personal foul by S. Curry (drawn by K. Oubre)
5:55.0,M. Gortat enters the game for T. Frazier,,48-43,,
5:55.0,J. Wall enters the game for J. Meeks,,48-43,,
5:55.0,B. Beal enters the game for I. Mahinmi,,48-43,,
5:42.0,J. Wall misses 2-pt shot from 20 ft,,48-43,,
5:37.0,Offensive rebound by B. Beal,,48-43,,
5:36.0,K. Oubre makes 3-pt shot from 28 ft (assist by B. Beal),3,51-43,,
5:27.0,,,51-43,,Offensive charge foul by D. West (drawn by K. Oubre)
5:27.0,,,51-43,,Turnover by D. West (offensive foul)
5:27.0,O. Porter enters the game for M. Scott,,51-43,,
5:12.0,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter),2,53-43,,
4:59.0,,,53-43,,Turnover by D. West (bad pass; steal by B. Beal)
4:55.0,Turnover by J. Wall (lost ball; steal by P. McCaw),,53-43,,
4:48.0,,,53-43,,N. Young misses 2-pt shot from 17 ft
4:46.0,,,53-43,,Offensive rebound by P. McCaw
4:45.0,,,53-43,,S. Curry misses 3-pt shot from 25 ft
4:41.0,,,53-43,,Offensive rebound by N. Young
4:39.0,,,53-43,,K. Durant misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by K. Oubre,,53-43,,
4:34.0,Turnover by K. Oubre (bad pass; steal by D. West),,53-43,,
4:34.0,,,53-45,2,P. McCaw makes 2-pt shot from 1 ft (assist by S. Curry)
4:21.0,B. Beal misses 2-pt shot from 5 ft (block by P. McCaw),,53-45,,
4:17.0,Offensive rebound by B. Beal,,53-45,,
4:16.0,Turnover by B. Beal (lost ball; steal by S. Curry),,53-45,,
4:13.0,Personal foul by B. Beal (drawn by K. Durant),,53-45,,
4:13.0,,,53-45,,A. Iguodala enters the game for D. West
4:13.0,,,53-45,,D. Green enters the game for N. Young
4:01.0,,,53-45,,S. Curry misses 3-pt shot from 29 ft
3:58.0,Defensive rebound by J. Wall,,53-45,,
3:50.0,O. Porter misses 2-pt shot from 10 ft,,53-45,,
3:45.0,,,53-45,,Defensive rebound by K. Durant
3:36.0,,,53-47,2,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry)
3:35.0,Washington full timeout,,53-47,,
3:35.0,,,53-47,,K. Thompson enters the game for P. McCaw
3:24.0,,,53-47,,Personal foul by K. Thompson (drawn by M. Gortat)
3:24.0,M. Gortat makes free throw 1 of 2,1,54-47,,
3:24.0,M. Gortat makes free throw 2 of 2,1,55-47,,
3:16.0,Violation by O. Porter (kicked ball),,55-47,,
3:07.0,,,55-47,,K. Thompson misses 2-pt shot from 10 ft
3:01.0,Defensive rebound by K. Oubre,,55-47,,
2:46.0,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal),3,58-47,,
2:33.0,,,58-47,,K. Durant misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by O. Porter,,58-47,,
2:23.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,61-47,,
