time,LA Lakers,pts.away,score,pts.home,Phoenix
8:11.0,Offensive rebound by L. Ball,,2-9,,
8:05.0,L. Ball makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope),2,4-9,,
7:52.0,,,4-9,,T. Warren misses 2-pt shot from 1 ft (block by B. Ingram)
7:51.0,,,4-9,,Offensive rebound by T. Warren
7:51.0,,,4-9,,T. Warren misses 2-pt shot from 1 ft
7:51.0,,,4-9,,Offensive rebound by Team
7:51.0,,,4-9,,Shooting foul by B. Ingram (drawn by T. Warren)
7:51.0,,,4-10,1,T. Warren makes free throw 2 of 2
7:51.0,,,4-11,1,T. Warren makes free throw 1 of 2
7:40.0,Shooting foul by T. Chandler (drawn by B. Lopez),,4-11,,
7:40.0,B. Lopez makes free throw 1 of 2,1,5-11,,
7:40.0,B. Lopez makes free throw 2 of 2,1,6-11,,
7:32.0,,,6-11,,D. Booker misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by B. Lopez,,6-11,,
7:22.0,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by B. Ingram),3,9-11,,
7:21.0,,,9-11,,Phoenix full timeout
7:07.0,,,9-11,,T. Warren misses 2-pt shot from 6 ft (block by B. Lopez)
7:04.0,,,9-11,,Offensive rebound by D. Booker
7:01.0,K. Caldwell-Pope misses 2-pt shot at rim (block by M. Chriss),,9-11,,
7:01.0,,,9-11,,Defensive rebound by T. Chandler
6:52.0,,,9-11,,T. Warren misses 2-pt shot from 1 ft
6:52.0,,,9-11,,Offensive rebound by T. Chandler
6:44.0,,,9-13,2,D. Booker makes 2-pt shot from 1 ft
6:38.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,9-13,,
6:38.0,,,9-13,,Defensive rebound by T. Chandler
6:30.0,,,9-15,2,M. Chriss makes 2-pt shot from 1 ft (assist by D. Booker)
6:14.0,B. Ingram misses 2-pt shot from 2 ft (block by T. Warren),,9-15,,
6:12.0,,,9-15,,Defensive rebound by M. Chriss
6:08.0,,,9-15,,M. Chriss misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by L. Ball,,9-15,,
6:02.0,Turnover by L. Ball (bad pass),,9-15,,
5:51.0,,,9-17,2,D. Booker makes 2-pt shot from 16 ft
5:39.0,K. Kuzma makes 2-pt shot from 7 ft,2,11-17,,
5:19.0,,,11-17,,T. Warren misses 2-pt shot from 12 ft
5:17.0,Defensive rebound by B. Lopez,,11-17,,
5:08.0,,,11-17,,Personal foul by T. Ulis (drawn by B. Ingram)
5:08.0,,,11-17,,A. Len enters the game for M. Chriss
5:08.0,,,11-17,,M. James enters the game for T. Chandler
5:08.0,,,11-17,,D. Bender enters the game for T. Ulis
5:08.0,J. Clarkson enters the game for L. Ball,,11-17,,
5:00.0,B. Lopez misses 3-pt shot from 26 ft,,11-17,,
4:56.0,,,11-17,,Defensive rebound by T. Warren
4:36.0,,,11-17,,M. James misses 2-pt shot from 20 ft
4:34.0,Defensive rebound by B. Lopez,,11-17,,
4:29.0,,,11-17,,Personal foul by D. Bender (drawn by K. Kuzma)
4:29.0,A. Bogut enters the game for K. Kuzma,,11-17,,
4:29.0,J. Randle enters the game for B. Lopez,,11-17,,
4:20.0,Shooting foul by D. Bender (drawn by J. Randle),,11-17,,
4:20.0,J. Randle makes free throw 1 of 2,1,12-17,,
4:20.0,J. Randle misses free throw 2 of 2,,12-17,,
4:18.0,,,12-17,,Defensive rebound by D. Bender
4:11.0,Personal foul by J. Clarkson (drawn by A. Len),,12-17,,
4:02.0,,,12-19,2,D. Bender makes 2-pt shot from 6 ft
3:45.0,J. Randle misses 2-pt shot from 2 ft,,12-19,,
3:43.0,,,12-19,,Defensive rebound by A. Len
3:36.0,,,12-19,,A. Len misses 2-pt shot from 7 ft
3:36.0,Defensive rebound by J. Clarkson,,12-19,,
3:30.0,B. Ingram makes 2-pt shot from 2 ft (assist by J. Clarkson),2,14-19,,
3:22.0,,,14-19,,T. Warren misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by J. Randle,,14-19,,
3:08.0,J. Randle makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope),2,16-19,,
2:53.0,,,16-19,,D. Booker misses 2-pt shot from 5 ft
2:51.0,Defensive rebound by K. Caldwell-Pope,,16-19,,
2:44.0,J. Randle misses 2-pt shot from 3 ft,,16-19,,
2:42.0,Offensive rebound by K. Caldwell-Pope,,16-19,,
2:42.0,Turnover by K. Caldwell-Pope (bad pass),,16-19,,
2:42.0,,,16-19,,M. Chriss enters the game for D. Booker
2:42.0,,,16-19,,J. Jackson enters the game for T. Warren
2:42.0,,,16-19,,T. Daniels enters the game for D. Bender
2:32.0,,,16-19,,T. Daniels misses 2-pt shot from 19 ft
2:29.0,Defensive rebound by A. Bogut,,16-19,,
2:20.0,J. Clarkson misses 2-pt shot from 16 ft,,16-19,,
2:17.0,,,16-19,,Defensive rebound by J. Jackson
2:11.0,,,16-19,,J. Jackson misses 2-pt shot from 5 ft (block by A. Bogut)
2:11.0,,,16-19,,Offensive rebound by Team
2:04.0,,,16-19,,T. Daniels misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by A. Bogut,,16-19,,
1:54.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Clarkson),3,19-19,,
1:33.0,,,19-19,,T. Daniels misses 3-pt shot from 27 ft
1:31.0,Defensive rebound by J. Randle,,19-19,,
1:31.0,Turnover by J. Randle (traveling),,19-19,,
1:31.0,V. Blue enters the game for K. Caldwell-Pope,,19-19,,
1:26.0,,,19-19,,Shooting foul by B. Ingram (drawn by A. Len)
1:26.0,,,19-20,1,A. Len makes free throw 1 of 2
1:26.0,C. Brewer enters the game for B. Ingram,,19-20,,
1:26.0,,,19-20,,A. Len misses free throw 2 of 2
1:24.0,Defensive rebound by J. Randle,,19-20,,
1:01.0,Turnover by J. Randle (bad pass; steal by J. Jackson),,19-20,,
0:58.0,,,19-20,,Shooting foul by V. Blue (drawn by J. Jackson)
0:58.0,,,19-20,,J. Jackson misses free throw 1 of 2
0:58.0,,,19-20,,Offensive rebound by Team
0:58.0,,,19-20,,J. Jackson misses free throw 2 of 2
0:56.0,Defensive rebound by A. Bogut,,19-20,,
0:42.0,J. Clarkson makes 2-pt shot from 5 ft,2,21-20,,
0:33.0,,,21-20,,M. James misses 3-pt shot from 27 ft
0:30.0,Defensive rebound by J. Clarkson,,21-20,,
0:25.0,J. Clarkson misses 3-pt shot from 24 ft,,21-20,,
0:23.0,,,21-20,,Defensive rebound by A. Len
0:07.0,,,21-20,,Offensive foul by T. Daniels (drawn by J. Clarkson)
0:07.0,,,21-20,,Turnover by T. Daniels (offensive foul)
0:07.0,K. Kuzma enters the game for A. Bogut,,21-20,,
0:07.0,B. Lopez enters the game for C. Brewer,,21-20,,
0:00.0,K. Kuzma misses 3-pt shot from 25 ft,,21-20,,
0:00.0,,,21-20,,Defensive rebound by M. Chriss
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,21-20,,M. Chriss misses 2-pt shot from 7 ft
11:36.0,Defensive rebound by A. Bogut,,21-20,,
11:18.0,J. Clarkson misses 2-pt shot from 2 ft (block by A. Len),,21-20,,
11:18.0,Offensive rebound by J. Randle,,21-20,,
11:18.0,J. Clarkson makes 2-pt shot from 2 ft,2,23-20,,
11:06.0,,,23-20,,M. James misses 2-pt shot from 19 ft
11:04.0,,,23-20,,Offensive rebound by A. Len
11:00.0,,,23-20,,M. James misses 2-pt shot from 6 ft
10:55.0,Defensive rebound by A. Bogut,,23-20,,
10:49.0,J. Clarkson makes 3-pt shot from 22 ft (assist by V. Blue),3,26-20,,
10:21.0,,,26-20,,Turnover by Team (shot clock)
10:21.0,,,26-20,,T. Ulis enters the game for T. Daniels
10:21.0,,,26-20,,D. Booker enters the game for M. James
10:05.0,L. Ball misses 3-pt shot from 26 ft,,26-20,,
10:02.0,,,26-20,,Defensive rebound by J. Jackson
9:56.0,,,26-20,,J. Jackson misses 2-pt shot from 13 ft
9:54.0,,,26-20,,D. Bender enters the game for M. Chriss
9:54.0,K. Kuzma enters the game for A. Bogut,,26-20,,
9:54.0,,,26-20,,Defensive rebound by Team
9:45.0,,,26-23,3,D. Bender makes 3-pt shot from 24 ft (assist by D. Booker)
9:34.0,J. Clarkson makes 3-pt shot from 24 ft (assist by L. Ball),3,29-23,,
9:27.0,,,29-23,,Turnover by J. Jackson (lost ball; steal by J. Clarkson)
9:20.0,K. Kuzma misses 3-pt shot from 23 ft,,29-23,,
9:18.0,,,29-23,,Defensive rebound by D. Booker
9:01.0,,,29-23,,D. Booker misses 2-pt shot from 8 ft
8:58.0,Defensive rebound by K. Kuzma,,29-23,,
8:56.0,V. Blue misses 2-pt shot at rim,,29-23,,
8:54.0,,,29-23,,Defensive rebound by D. Bender
8:49.0,,,29-26,3,D. Booker makes 3-pt shot from 22 ft (assist by J. Jackson)
8:37.0,J. Randle misses 2-pt shot from 2 ft,,29-26,,
8:35.0,,,29-26,,Defensive rebound by T. Ulis
8:32.0,,,29-26,,Turnover by T. Ulis (bad pass)
8:23.0,J. Clarkson makes 2-pt shot from 1 ft,2,31-26,,
8:09.0,,,31-28,2,D. Booker makes 2-pt shot from 2 ft
8:00.0,Turnover by L. Ball (discontinued dribble),,31-28,,
8:00.0,K. Caldwell-Pope enters the game for V. Blue,,31-28,,
7:42.0,,,31-28,,J. Jackson misses 2-pt shot from 14 ft
7:40.0,,,31-28,,Offensive rebound by D. Bender
7:39.0,,,31-30,2,D. Bender makes 2-pt shot from 1 ft
7:39.0,LA Lakers full timeout,,31-30,,
7:39.0,,,31-30,,T. Warren enters the game for J. Jackson
7:39.0,,,31-30,,T. Chandler enters the game for A. Len
7:30.0,L. Ball misses 2-pt shot from 2 ft,,31-30,,
7:27.0,,,31-30,,Defensive rebound by T. Chandler
7:22.0,,,31-32,2,D. Booker makes 2-pt shot from 4 ft
7:14.0,J. Clarkson misses 3-pt shot from 23 ft,,31-32,,
7:10.0,,,31-32,,Defensive rebound by T. Ulis
7:08.0,,,31-32,,D. Booker misses 3-pt shot from 26 ft
7:05.0,Defensive rebound by K. Caldwell-Pope,,31-32,,
6:46.0,J. Clarkson makes 2-pt shot from 15 ft,2,33-32,,
6:20.0,,,33-35,3,D. Booker makes 3-pt shot from 26 ft
6:05.0,J. Randle misses 2-pt shot from 4 ft,,33-35,,
6:02.0,,,33-35,,Defensive rebound by T. Chandler
5:59.0,,,33-35,,Turnover by D. Booker (lost ball; steal by L. Ball)
5:52.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,33-35,,
5:49.0,Offensive rebound by L. Ball,,33-35,,
5:48.0,Turnover by L. Ball (traveling),,33-35,,
5:48.0,B. Lopez enters the game for J. Clarkson,,33-35,,
5:48.0,B. Ingram enters the game for J. Randle,,33-35,,
5:38.0,,,33-35,,T. Ulis misses 2-pt shot from 18 ft
5:35.0,Defensive rebound by B. Lopez,,33-35,,
5:27.0,B. Ingram misses 2-pt shot from 14 ft,,33-35,,
5:25.0,,,33-35,,Defensive rebound by T. Chandler
5:11.0,,,33-35,,Offensive foul by D. Booker (drawn by K. Caldwell-Pope)
5:11.0,,,33-35,,Turnover by D. Booker (offensive foul)
4:59.0,K. Kuzma misses 2-pt shot from 3 ft,,33-35,,
4:57.0,,,33-35,,Defensive rebound by D. Bender
4:43.0,,,33-37,2,T. Warren makes 2-pt shot from 1 ft
4:27.0,B. Ingram misses 2-pt shot from 9 ft,,33-37,,
4:24.0,,,33-37,,Defensive rebound by T. Chandler
4:15.0,,,33-39,2,T. Warren makes 2-pt shot from 14 ft
4:14.0,LA Lakers full timeout,,33-39,,
3:51.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,33-39,,
3:49.0,,,33-39,,Defensive rebound by D. Bender
3:29.0,,,33-39,,D. Booker misses 2-pt shot from 13 ft
3:27.0,Defensive rebound by B. Lopez,,33-39,,
3:24.0,K. Kuzma misses 2-pt shot from 1 ft,,33-39,,
3:18.0,Offensive rebound by K. Caldwell-Pope,,33-39,,
3:18.0,K. Caldwell-Pope makes 2-pt shot at rim,2,35-39,,
3:09.0,,,35-39,,Offensive foul by D. Bender (drawn by K. Caldwell-Pope)
3:09.0,,,35-39,,Turnover by D. Bender (offensive foul)
3:09.0,,,35-39,,M. Chriss enters the game for D. Bender
2:58.0,K. Kuzma makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,38-39,,
2:37.0,,,38-39,,D. Booker misses 2-pt shot from 11 ft
2:32.0,,,38-39,,Offensive rebound by M. Chriss
2:32.0,,,38-39,,M. Chriss misses 2-pt shot at rim
2:28.0,Defensive rebound by B. Lopez,,38-39,,
2:28.0,L. Ball misses 3-pt shot from 26 ft,,38-39,,
2:24.0,,,38-39,,Defensive rebound by T. Chandler
2:17.0,,,38-39,,Phoenix full timeout
2:17.0,,,38-39,,J. Jackson enters the game for D. Booker
2:05.0,,,38-39,,T. Ulis misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by K. Caldwell-Pope,,38-39,,
1:56.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Jackson),,38-39,,
1:45.0,Violation by B. Lopez (kicked ball),,38-39,,
1:40.0,,,38-39,,Turnover by T. Warren (traveling)
1:32.0,Offensive foul by B. Lopez (drawn by T. Warren),,38-39,,
1:32.0,Turnover by B. Lopez (offensive foul),,38-39,,
1:32.0,,,38-39,,D. Booker enters the game for T. Ulis
1:24.0,,,38-41,2,T. Warren makes 2-pt shot from 19 ft (assist by D. Booker)
1:11.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Ball),3,41-41,,
0:52.0,,,41-41,,J. Jackson misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by B. Ingram,,41-41,,
0:43.0,B. Ingram misses 2-pt shot from 2 ft,,41-41,,
0:41.0,Offensive rebound by B. Lopez,,41-41,,
0:41.0,B. Lopez makes 2-pt shot at rim,2,43-41,,
0:33.0,,,43-41,,Shooting foul by B. Lopez (drawn by D. Booker)
0:33.0,,,43-42,1,D. Booker makes free throw 1 of 2
0:33.0,,,43-42,,D. Booker misses free throw 2 of 2
0:31.0,Defensive rebound by L. Ball,,43-42,,
0:20.0,K. Kuzma misses 2-pt shot from 18 ft,,43-42,,
0:16.0,,,43-42,,Defensive rebound by J. Jackson
0:02.0,,,43-44,2,D. Booker makes 2-pt shot from 7 ft
0:00.0,K. Kuzma misses 3-pt shot from 30 ft,,43-44,,
0:00.0,Offensive rebound by Team,,43-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:53.0,,,43-44,,M. Chriss misses 3-pt shot from 22 ft
11:50.0,Defensive rebound by B. Lopez,,43-44,,
11:34.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,46-44,,
11:11.0,,,46-46,2,T. Chandler makes 2-pt shot from 1 ft (assist by T. Warren)
10:53.0,B. Lopez makes 3-pt shot from 22 ft (assist by L. Ball),3,49-46,,
10:27.0,,,49-46,,Turnover by Team (shot clock)
10:13.0,Shooting foul by D. Booker (drawn by K. Caldwell-Pope),,49-46,,
10:13.0,K. Caldwell-Pope misses free throw 1 of 2,,49-46,,
10:13.0,Offensive rebound by Team,,49-46,,
10:13.0,K. Caldwell-Pope misses free throw 2 of 2,,49-46,,
10:11.0,,,49-46,,Defensive rebound by M. Chriss
10:07.0,,,49-46,,D. Booker misses 3-pt shot from 26 ft
10:04.0,Defensive rebound by L. Ball,,49-46,,
9:59.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,49-46,,
9:55.0,,,49-46,,Defensive rebound by T. Ulis
9:54.0,Personal block foul by B. Ingram (drawn by D. Booker),,49-46,,
9:42.0,,,49-46,,Turnover by D. Booker (traveling)
9:33.0,L. Ball makes 2-pt shot from 2 ft,2,51-46,,
9:23.0,,,51-46,,T. Ulis misses 2-pt shot from 1 ft
9:20.0,,,51-46,,Offensive rebound by T. Chandler
9:20.0,,,51-48,2,T. Chandler makes 2-pt shot at rim
9:15.0,B. Lopez makes 2-pt shot from 8 ft (assist by L. Ball),2,53-48,,
9:02.0,,,53-48,,T. Warren misses 2-pt shot from 21 ft
8:59.0,Defensive rebound by K. Caldwell-Pope,,53-48,,
8:57.0,Turnover by K. Caldwell-Pope (bad pass; steal by T. Ulis),,53-48,,
8:50.0,,,53-50,2,T. Chandler makes 2-pt shot from 1 ft (assist by T. Warren)
8:37.0,Turnover by L. Ball (lost ball; steal by T. Ulis),,53-50,,
8:35.0,,,53-52,2,T. Warren makes 2-pt shot from 2 ft (assist by T. Ulis)
8:35.0,,,53-52,,Shooting foul by B. Lopez (drawn by T. Warren)
8:35.0,,,53-53,1,T. Warren makes free throw 1 of 1
8:27.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,53-53,,
8:24.0,,,53-53,,Defensive rebound by T. Chandler
8:17.0,,,53-53,,T. Ulis misses 2-pt shot from 8 ft
8:14.0,Defensive rebound by K. Caldwell-Pope,,53-53,,
8:06.0,L. Ball misses 2-pt shot from 3 ft,,53-53,,
8:04.0,,,53-53,,Defensive rebound by T. Chandler
7:57.0,,,53-55,2,T. Ulis makes 2-pt shot from 5 ft
7:43.0,,,53-55,,Personal foul by D. Booker
7:43.0,,,53-55,,Technical foul by D. Booker
7:43.0,K. Caldwell-Pope makes technical free throw,1,54-55,,
7:37.0,B. Lopez makes 2-pt shot from 5 ft,2,56-55,,
7:23.0,,,56-55,,T. Warren misses 2-pt shot at rim
7:23.0,,,56-55,,Offensive rebound by D. Booker
7:20.0,,,56-57,2,D. Booker makes 2-pt shot from 2 ft
7:04.0,L. Ball misses 3-pt shot from 28 ft,,56-57,,
7:04.0,,,56-57,,Defensive rebound by T. Warren
6:50.0,,,56-59,2,D. Booker makes 2-pt shot from 10 ft (assist by T. Warren)
6:41.0,,,56-59,,Personal foul by T. Warren (drawn by B. Ingram)
6:41.0,,,56-59,,Phoenix full timeout
6:41.0,,,56-59,,M. James enters the game for T. Chandler
6:41.0,,,56-59,,A. Len enters the game for T. Ulis
6:33.0,,,56-59,,Personal foul by M. James (drawn by K. Kuzma)
6:27.0,B. Ingram misses 2-pt shot from 17 ft,,56-59,,
6:24.0,Offensive rebound by B. Lopez,,56-59,,
6:23.0,B. Lopez makes 2-pt shot from 1 ft,2,58-59,,
6:06.0,,,58-61,2,D. Booker makes 2-pt shot from 17 ft (assist by A. Len)
5:55.0,B. Lopez misses 3-pt shot from 23 ft,,58-61,,
5:54.0,,,58-61,,Defensive rebound by Team
5:54.0,Loose ball foul by L. Ball (drawn by D. Booker),,58-61,,
5:35.0,,,58-63,2,T. Warren makes 2-pt shot from 15 ft (assist by M. Chriss)
5:35.0,,,58-63,,Shooting foul by B. Ingram (drawn by T. Warren)
5:35.0,,,58-64,1,T. Warren makes free throw 1 of 1
5:15.0,L. Ball makes 3-pt shot from 30 ft,3,61-64,,
4:50.0,,,61-64,,Shooting foul by L. Ball (drawn by T. Warren)
4:50.0,,,61-64,,T. Warren misses free throw 1 of 2
4:50.0,,,61-64,,Offensive rebound by Team
4:50.0,,,61-64,,D. Bender enters the game for M. Chriss
4:50.0,C. Brewer enters the game for B. Ingram,,61-64,,
4:50.0,,,61-65,1,T. Warren makes free throw 2 of 2
4:33.0,Turnover by K. Kuzma (bad pass; steal by A. Len),,61-65,,
4:25.0,,,61-65,,D. Bender misses 3-pt shot from 22 ft
4:19.0,Defensive rebound by K. Caldwell-Pope,,61-65,,
4:09.0,C. Brewer makes 2-pt shot at rim (assist by L. Ball),2,63-65,,
4:06.0,Personal block foul by K. Caldwell-Pope (drawn by D. Booker),,63-65,,
4:06.0,,,63-65,,D. Booker misses free throw 1 of 2
4:06.0,,,63-65,,Offensive rebound by Team
4:06.0,,,63-65,,J. Jackson enters the game for T. Warren
4:06.0,A. Bogut enters the game for K. Kuzma,,63-65,,
4:06.0,J. Randle enters the game for B. Lopez,,63-65,,
4:06.0,,,63-66,1,D. Booker makes free throw 2 of 2
3:56.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,63-66,,
3:52.0,,,63-66,,Defensive rebound by A. Len
3:43.0,,,63-66,,Turnover by J. Jackson (bad pass; steal by K. Caldwell-Pope)
3:36.0,C. Brewer makes 2-pt shot at rim,2,65-66,,
3:21.0,,,65-66,,D. Booker misses 2-pt shot from 22 ft
3:19.0,Defensive rebound by J. Randle,,65-66,,
3:16.0,Offensive foul by A. Bogut (drawn by M. James),,65-66,,
3:16.0,Turnover by A. Bogut (offensive foul),,65-66,,
3:08.0,,,65-69,3,M. James makes 3-pt shot from 26 ft
2:53.0,J. Randle misses 2-pt shot from 4 ft,,65-69,,
2:50.0,,,65-69,,Defensive rebound by A. Len
2:47.0,,,65-69,,Turnover by M. James (bad pass)
2:47.0,LA Lakers full timeout,,65-69,,
2:47.0,,,65-69,,T. Daniels enters the game for D. Booker
2:47.0,J. Clarkson enters the game for L. Ball,,65-69,,
2:37.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,65-69,,
2:35.0,,,65-69,,Defensive rebound by J. Jackson
2:30.0,,,65-69,,Turnover by J. Jackson (bad pass; steal by C. Brewer)
2:10.0,J. Clarkson makes 3-pt shot from 25 ft,3,68-69,,
1:47.0,,,68-72,3,D. Bender makes 3-pt shot from 25 ft (assist by M. James)
1:29.0,J. Clarkson misses 2-pt shot from 17 ft,,68-72,,
1:27.0,,,68-72,,Defensive rebound by J. Jackson
1:22.0,,,68-72,,J. Jackson misses 3-pt shot from 25 ft
1:20.0,,,68-72,,Offensive rebound by Team
1:20.0,Loose ball foul by J. Randle (drawn by D. Bender),,68-72,,
1:20.0,,,68-72,,D. Bender misses free throw 1 of 2
1:20.0,,,68-72,,Offensive rebound by Team
1:20.0,,,68-73,1,D. Bender makes free throw 2 of 2
1:03.0,A. Bogut misses 2-pt shot from 8 ft,,68-73,,
1:01.0,J. Randle makes 2-pt shot at rim,2,70-73,,
1:00.0,Offensive rebound by J. Randle,,70-73,,
0:45.0,,,70-73,,A. Len misses 2-pt shot from 3 ft (block by J. Randle)
0:42.0,Defensive rebound by K. Caldwell-Pope,,70-73,,
0:37.0,C. Brewer makes 2-pt shot from 6 ft,2,72-73,,
0:20.0,,,72-73,,A. Len misses 2-pt shot from 3 ft
0:17.0,Defensive rebound by C. Brewer,,72-73,,
0:03.0,J. Clarkson makes 2-pt shot from 2 ft,2,74-73,,
0:00.0,,,74-73,,M. James misses 3-pt shot from 30 ft (block by J. Randle)
0:00.0,,,74-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,J. Clarkson makes 2-pt shot from 19 ft,2,76-73,,
11:27.0,,,76-73,,M. James misses 2-pt shot from 1 ft (block by A. Bogut)
11:27.0,,,76-73,,Offensive rebound by Team
11:23.0,,,76-73,,M. James misses 3-pt shot from 26 ft
11:20.0,,,76-73,,Offensive rebound by A. Len
11:19.0,,,76-73,,A. Len misses 2-pt shot at rim
11:19.0,Defensive rebound by J. Randle,,76-73,,
11:11.0,C. Brewer misses 2-pt shot from 14 ft,,76-73,,
11:10.0,,,76-73,,Defensive rebound by Team
11:10.0,Loose ball foul by C. Brewer (drawn by D. Bender),,76-73,,
10:59.0,,,76-75,2,M. James makes 2-pt shot from 17 ft
10:45.0,J. Randle makes 3-pt shot from 26 ft (assist by J. Clarkson),3,79-75,,
10:33.0,,,79-75,,Turnover by M. James (discontinued dribble)
10:33.0,,,79-75,,T. Warren enters the game for J. Jackson
10:16.0,J. Clarkson misses 3-pt shot from 26 ft,,79-75,,
10:14.0,,,79-75,,Defensive rebound by M. James
10:06.0,,,79-75,,M. James misses 2-pt shot from 6 ft
10:04.0,Defensive rebound by J. Randle,,79-75,,
9:59.0,J. Randle misses 2-pt shot from 2 ft,,79-75,,
9:56.0,,,79-75,,Defensive rebound by T. Warren
9:35.0,Personal block foul by C. Brewer (drawn by T. Warren),,79-75,,
9:35.0,,,79-75,,T. Ulis enters the game for T. Daniels
9:35.0,,,79-75,,D. Booker enters the game for M. James
9:29.0,,,79-77,2,T. Warren makes 2-pt shot from 13 ft
9:10.0,J. Clarkson makes 2-pt shot at rim,2,81-77,,
8:49.0,,,81-79,2,D. Bender makes 2-pt shot from 16 ft
8:42.0,,,81-79,,Personal foul by T. Ulis (drawn by A. Bogut)
8:42.0,B. Ingram enters the game for K. Caldwell-Pope,,81-79,,
8:34.0,Turnover by J. Randle (traveling),,81-79,,
8:23.0,,,81-79,,D. Bender misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by A. Bogut,,81-79,,
8:07.0,,,81-79,,Personal foul by D. Booker (drawn by B. Ingram)
8:07.0,K. Kuzma enters the game for J. Randle,,81-79,,
7:56.0,LA Lakers full timeout,,81-79,,
7:56.0,,,81-79,,T. Chandler enters the game for A. Len
7:52.0,B. Ingram misses 2-pt shot from 18 ft,,81-79,,
7:49.0,,,81-79,,Defensive rebound by T. Chandler
7:35.0,Personal foul by C. Brewer (drawn by T. Chandler),,81-79,,
7:25.0,,,81-81,2,D. Bender makes 2-pt shot at rim
7:02.0,K. Kuzma misses 2-pt shot from 1 ft,,81-81,,
7:00.0,,,81-81,,Defensive rebound by T. Warren
6:51.0,,,81-81,,T. Warren misses 2-pt shot from 5 ft
6:49.0,Defensive rebound by A. Bogut,,81-81,,
6:45.0,,,81-81,,Personal foul by T. Warren (drawn by B. Ingram)
6:45.0,B. Lopez enters the game for A. Bogut,,81-81,,
6:39.0,B. Ingram makes 2-pt shot from 1 ft,2,83-81,,
6:28.0,,,83-81,,T. Ulis misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by B. Ingram,,83-81,,
