time,Milwaukee,pts.away,score,pts.home,Brooklyn
8:32.0,,,88-81,,Personal foul by S. Dinwiddie (drawn by E. Bledsoe)
8:32.0,K. Middleton enters the game for S. Brown,,88-81,,
8:18.0,J. Henson makes 2-pt shot from 19 ft,2,90-81,,
8:00.0,,,90-81,,J. Allen misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by J. Henson,,90-81,,
7:52.0,E. Bledsoe makes 2-pt shot from 17 ft,2,92-81,,
7:52.0,,,92-81,,Brooklyn full timeout
7:38.0,,,92-81,,S. Dinwiddie misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by E. Bledsoe,,92-81,,
7:34.0,Milwaukee full timeout,,92-81,,
7:34.0,,,92-81,,C. LeVert enters the game for J. Harris
7:34.0,S. Brown enters the game for G. Antetokounmpo,,92-81,,
7:21.0,K. Middleton makes 2-pt shot from 15 ft,2,94-81,,
7:07.0,,,94-81,,D. Carroll misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by J. Henson,,94-81,,
6:46.0,E. Bledsoe makes 2-pt shot from 20 ft,2,96-81,,
6:33.0,,,96-81,,A. Crabbe misses 2-pt shot from 3 ft
6:31.0,,,96-81,,Offensive rebound by A. Crabbe
6:19.0,,,96-83,2,C. LeVert makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
6:01.0,K. Middleton makes 2-pt shot from 14 ft,2,98-83,,
5:50.0,,,98-85,2,J. Allen makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
5:30.0,K. Middleton misses 3-pt shot from 22 ft,,98-85,,
5:29.0,,,98-85,,Defensive rebound by Team
5:09.0,,,98-87,2,J. Allen makes 2-pt shot at rim (assist by S. Dinwiddie)
4:54.0,,,98-87,,Personal foul by C. LeVert (drawn by E. Bledsoe)
4:47.0,J. Henson makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,100-87,,
4:31.0,,,100-89,2,A. Crabbe makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
4:13.0,E. Bledsoe makes 3-pt shot from 24 ft,3,103-89,,
4:12.0,,,103-89,,Brooklyn full timeout
4:12.0,,,103-89,,J. Harris enters the game for C. LeVert
3:58.0,,,103-89,,S. Dinwiddie misses 2-pt shot from 7 ft
3:58.0,,,103-89,,Offensive rebound by Team
3:58.0,Loose ball foul by J. Henson (drawn by J. Allen),,103-89,,
