time,Denver,pts.away,score,pts.home,Orlando
8:05.0,G. Harris misses 3-pt shot from 23 ft,,5-8,,
8:01.0,,,5-8,,Defensive rebound by A. Afflalo
7:46.0,,,5-11,3,J. Simmons makes 3-pt shot from 25 ft (assist by N. Vucevic)
7:23.0,Turnover by M. Plumlee (traveling),,5-11,,
7:04.0,Personal foul by M. Plumlee (drawn by J. Simmons),,5-11,,
6:55.0,,,5-11,,N. Vucevic misses 2-pt shot from 18 ft
6:50.0,,,5-11,,Offensive rebound by A. Afflalo
6:42.0,,,5-11,,Turnover by N. Vucevic (bad pass)
6:42.0,,,5-11,,Orlando full timeout
6:29.0,G. Harris misses 2-pt shot from 9 ft,,5-11,,
6:23.0,,,5-11,,Defensive rebound by N. Vucevic
6:15.0,,,5-11,,E. Payton misses 2-pt shot from 18 ft
6:12.0,Defensive rebound by W. Chandler,,5-11,,
6:05.0,J. Murray misses 2-pt shot from 11 ft (block by N. Vucevic),,5-11,,
6:01.0,,,5-11,,Defensive rebound by N. Vucevic
5:53.0,,,5-13,2,N. Vucevic makes 2-pt shot from 12 ft
5:33.0,G. Harris misses 2-pt shot from 22 ft,,5-13,,
5:29.0,,,5-13,,Defensive rebound by N. Vucevic
5:24.0,,,5-13,,N. Vucevic misses 3-pt shot from 25 ft
5:20.0,Defensive rebound by G. Harris,,5-13,,
4:59.0,W. Barton makes 2-pt shot from 3 ft,2,7-13,,
4:50.0,,,7-13,,E. Payton misses 2-pt shot from 11 ft
4:43.0,,,7-13,,Offensive rebound by N. Vucevic
4:43.0,,,7-15,2,N. Vucevic makes 2-pt shot at rim
4:38.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Murray),2,9-15,,
4:20.0,,,9-17,2,J. Simmons makes 2-pt shot from 12 ft
4:19.0,Denver full timeout,,9-17,,
4:19.0,,,9-17,,D. Augustin enters the game for E. Payton
4:19.0,M. Beasley enters the game for G. Harris,,9-17,,
4:02.0,W. Chandler misses 2-pt shot from 11 ft,,9-17,,
3:57.0,,,9-17,,Defensive rebound by N. Vucevic
3:51.0,,,9-17,,N. Vucevic misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by W. Chandler,,9-17,,
3:37.0,J. Murray misses 2-pt shot from 2 ft (block by N. Vucevic),,9-17,,
3:37.0,Offensive rebound by Team,,9-17,,
3:29.0,J. Murray misses 2-pt shot from 20 ft,,9-17,,
3:27.0,Offensive rebound by W. Chandler,,9-17,,
3:23.0,W. Barton makes 3-pt shot from 25 ft (assist by J. Murray),3,12-17,,
3:08.0,,,12-19,2,J. Simmons makes 2-pt shot from 12 ft
2:47.0,M. Plumlee misses 2-pt shot from 3 ft,,12-19,,
2:46.0,,,12-19,,Defensive rebound by D. Augustin
2:46.0,Personal foul by W. Chandler (drawn by D. Augustin),,12-19,,
2:46.0,,,12-19,,W. Iwundu enters the game for A. Afflalo
2:46.0,,,12-19,,B. Biyombo enters the game for N. Vucevic
2:46.0,E. Mudiay enters the game for M. Plumlee,,12-19,,
2:46.0,K. Faried enters the game for J. Murray,,12-19,,
2:34.0,,,12-19,,J. Simmons misses 2-pt shot from 11 ft
2:32.0,,,12-19,,Offensive rebound by Team
2:24.0,,,12-19,,J. Simmons misses 2-pt shot from 16 ft
2:18.0,,,12-19,,Offensive rebound by A. Gordon
2:18.0,,,12-21,2,A. Gordon makes 2-pt shot at rim
2:13.0,W. Barton misses 3-pt shot from 25 ft,,12-21,,
2:09.0,,,12-21,,Defensive rebound by W. Iwundu
2:02.0,,,12-21,,B. Biyombo misses 2-pt shot from 2 ft
1:57.0,Defensive rebound by E. Mudiay,,12-21,,
1:55.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Barton),2,14-21,,
1:37.0,,,14-21,,Turnover by J. Simmons (bad pass)
1:37.0,,,14-21,,M. Speights enters the game for A. Gordon
1:37.0,T. Lyles enters the game for W. Chandler,,14-21,,
1:22.0,T. Lyles misses 2-pt shot from 13 ft,,14-21,,
1:19.0,Offensive rebound by K. Faried,,14-21,,
1:09.0,,,14-21,,Personal foul by M. Speights (drawn by E. Mudiay)
1:04.0,E. Mudiay misses 3-pt shot from 25 ft,,14-21,,
1:01.0,,,14-21,,Defensive rebound by W. Iwundu
0:49.0,Personal foul by W. Barton (drawn by D. Augustin),,14-21,,
0:49.0,,,14-22,1,D. Augustin makes free throw 1 of 2
0:49.0,G. Harris enters the game for W. Barton,,14-22,,
0:49.0,,,14-23,1,D. Augustin makes free throw 2 of 2
0:30.0,Offensive charge foul by G. Harris (drawn by M. Speights),,14-23,,
0:30.0,Turnover by G. Harris (offensive foul),,14-23,,
0:30.0,W. Barton enters the game for G. Harris,,14-23,,
0:17.0,,,14-25,2,J. Simmons makes 2-pt shot from 2 ft
0:00.0,T. Lyles misses 3-pt shot from 27 ft,,14-25,,
0:00.0,Offensive rebound by Team,,14-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,T. Lyles misses 3-pt shot from 26 ft,,14-25,,
11:44.0,,,14-25,,Defensive rebound by B. Biyombo
11:27.0,,,14-27,2,B. Biyombo makes 2-pt shot from 3 ft (assist by M. Speights)
11:13.0,M. Beasley makes 2-pt shot from 15 ft,2,16-27,,
10:56.0,,,16-29,2,D. Augustin makes 2-pt shot from 18 ft (assist by B. Biyombo)
10:43.0,Shooting foul by M. Speights (drawn by T. Lyles),,16-29,,
10:43.0,T. Lyles makes free throw 1 of 2,1,17-29,,
10:43.0,T. Lyles makes free throw 2 of 2,1,18-29,,
10:27.0,,,18-29,,M. Speights misses 2-pt shot from 8 ft
10:23.0,Defensive rebound by T. Lyles,,18-29,,
10:16.0,T. Lyles misses 3-pt shot from 24 ft,,18-29,,
10:13.0,,,18-29,,Defensive rebound by B. Biyombo
10:09.0,,,18-29,,Orlando full timeout
10:08.0,,,18-29,,Turnover by M. Speights (bad pass)
9:45.0,E. Mudiay makes 2-pt shot from 14 ft,2,20-29,,
9:27.0,,,20-29,,D. Augustin misses 3-pt shot from 27 ft
9:24.0,Defensive rebound by K. Faried,,20-29,,
9:13.0,M. Beasley makes 2-pt shot from 20 ft (assist by W. Barton),2,22-29,,
9:00.0,,,22-29,,Shooting foul by E. Mudiay (drawn by B. Biyombo)
9:00.0,,,22-30,1,B. Biyombo makes free throw 1 of 2
9:00.0,,,22-31,1,B. Biyombo makes free throw 2 of 2
8:44.0,E. Mudiay makes 2-pt shot from 3 ft,2,24-31,,
8:24.0,,,24-31,,M. Speights misses 2-pt shot from 15 ft
8:21.0,Defensive rebound by W. Barton,,24-31,,
8:16.0,W. Barton makes 2-pt shot from 4 ft,2,26-31,,
8:03.0,,,26-34,3,E. Payton makes 3-pt shot from 23 ft (assist by M. Speights)
7:51.0,K. Faried makes 2-pt shot from 6 ft (assist by E. Mudiay),2,28-34,,
7:51.0,Shooting foul by W. Iwundu (drawn by K. Faried),,28-34,,
7:51.0,K. Faried makes free throw 1 of 1,1,29-34,,
7:41.0,,,29-34,,M. Speights misses 3-pt shot from 26 ft
7:37.0,Defensive rebound by M. Beasley,,29-34,,
7:32.0,W. Barton misses 2-pt shot from 3 ft (block by B. Biyombo),,29-34,,
7:28.0,,,29-34,,Defensive rebound by W. Iwundu
7:25.0,,,29-34,,D. Augustin misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by M. Beasley,,29-34,,
7:21.0,Turnover by M. Beasley (bad pass),,29-34,,
7:21.0,,,29-34,,A. Gordon enters the game for M. Speights
7:21.0,,,29-34,,N. Vucevic enters the game for B. Biyombo
7:07.0,,,29-34,,Shooting foul by T. Lyles (drawn by A. Gordon)
7:07.0,,,29-34,,A. Gordon misses free throw 1 of 2
7:07.0,,,29-34,,Offensive rebound by Team
7:07.0,,,29-35,1,A. Gordon makes free throw 2 of 2
6:57.0,M. Beasley makes 2-pt shot from 12 ft,2,31-35,,
6:43.0,,,31-35,,E. Payton misses 2-pt shot from 11 ft
6:41.0,Defensive rebound by W. Barton,,31-35,,
6:31.0,T. Lyles misses 2-pt shot from 6 ft,,31-35,,
6:31.0,,,31-35,,Defensive rebound by N. Vucevic
6:26.0,,,31-35,,Turnover by N. Vucevic (bad pass; steal by E. Mudiay)
6:25.0,W. Barton makes 2-pt shot from 1 ft (assist by E. Mudiay),2,33-35,,
6:25.0,,,33-35,,Orlando full timeout
6:25.0,,,33-35,,J. Simmons enters the game for E. Payton
6:25.0,,,33-35,,A. Afflalo enters the game for W. Iwundu
6:10.0,,,33-35,,D. Augustin misses 3-pt shot from 22 ft
6:06.0,Defensive rebound by E. Mudiay,,33-35,,
6:03.0,E. Mudiay misses 2-pt shot from 3 ft,,33-35,,
6:00.0,,,33-35,,Defensive rebound by A. Afflalo
5:57.0,,,33-35,,D. Augustin misses 2-pt shot from 2 ft
5:57.0,Defensive rebound by K. Faried,,33-35,,
5:45.0,E. Mudiay misses 3-pt shot from 24 ft,,33-35,,
5:45.0,,,33-35,,Defensive rebound by Team
5:45.0,Loose ball foul by K. Faried (drawn by J. Simmons),,33-35,,
5:45.0,,,33-35,,E. Payton enters the game for D. Augustin
5:36.0,,,33-37,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
5:36.0,,,33-37,,Shooting foul by K. Faried (drawn by A. Gordon)
5:36.0,,,33-38,1,A. Gordon makes free throw 1 of 1
5:17.0,M. Beasley makes 3-pt shot from 25 ft,3,36-38,,
4:56.0,,,36-40,2,J. Simmons makes 2-pt shot from 6 ft
4:56.0,,,36-40,,Shooting foul by E. Mudiay (drawn by J. Simmons)
4:56.0,,,36-41,1,J. Simmons makes free throw 1 of 1
4:40.0,,,36-41,,Personal foul by J. Simmons (drawn by K. Faried)
4:26.0,E. Mudiay misses 2-pt shot from 19 ft,,36-41,,
4:23.0,Offensive rebound by K. Faried,,36-41,,
4:22.0,K. Faried makes 2-pt shot from 2 ft,2,38-41,,
4:08.0,,,38-41,,A. Afflalo misses 2-pt shot from 20 ft
4:00.0,,,38-41,,Offensive rebound by N. Vucevic
4:00.0,,,38-43,2,N. Vucevic makes 2-pt shot at rim
3:47.0,E. Mudiay makes 2-pt shot from 2 ft,2,40-43,,
3:28.0,,,40-43,,A. Gordon misses 2-pt shot from 9 ft
3:26.0,Defensive rebound by W. Barton,,40-43,,
3:19.0,T. Lyles misses 2-pt shot from 4 ft,,40-43,,
3:17.0,,,40-43,,Defensive rebound by N. Vucevic
3:15.0,,,40-45,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
2:52.0,K. Faried makes 2-pt shot from 21 ft,2,42-45,,
2:29.0,,,42-45,,A. Afflalo misses 2-pt shot from 3 ft
2:26.0,Defensive rebound by K. Faried,,42-45,,
2:22.0,Turnover by K. Faried (bad pass; steal by N. Vucevic),,42-45,,
2:17.0,,,42-45,,N. Vucevic misses 2-pt shot from 5 ft
2:14.0,Defensive rebound by T. Lyles,,42-45,,
2:01.0,M. Beasley misses 3-pt shot from 23 ft,,42-45,,
1:56.0,,,42-45,,Defensive rebound by N. Vucevic
1:46.0,,,42-45,,J. Simmons misses 2-pt shot from 15 ft
1:43.0,Defensive rebound by M. Beasley,,42-45,,
1:39.0,E. Mudiay makes 3-pt shot from 24 ft (assist by M. Beasley),3,45-45,,
1:16.0,,,45-47,2,J. Simmons makes 2-pt shot from 2 ft (assist by N. Vucevic)
0:56.0,W. Barton misses 2-pt shot from 7 ft,,45-47,,
0:54.0,,,45-47,,Defensive rebound by N. Vucevic
0:49.0,,,45-47,,E. Payton misses 2-pt shot from 2 ft
0:47.0,Defensive rebound by E. Mudiay,,45-47,,
0:42.0,K. Faried makes 2-pt shot from 1 ft (assist by W. Barton),2,47-47,,
0:36.0,,,47-47,,Turnover by J. Simmons (lost ball; steal by W. Barton)
0:31.0,W. Barton misses 2-pt shot from 2 ft (block by J. Simmons),,47-47,,
0:31.0,,,47-47,,Defensive rebound by Team
0:31.0,,,47-47,,D. Augustin enters the game for J. Simmons
0:31.0,W. Chandler enters the game for T. Lyles,,47-47,,
0:18.0,,,47-47,,Shooting foul by M. Beasley (drawn by E. Payton)
0:18.0,,,47-47,,E. Payton misses free throw 1 of 2
0:18.0,,,47-47,,Offensive rebound by Team
0:18.0,,,47-47,,W. Iwundu enters the game for D. Augustin
0:18.0,,,47-48,1,E. Payton makes free throw 2 of 2
0:02.0,E. Mudiay makes 2-pt shot from 2 ft,2,49-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,G. Harris makes 2-pt shot from 3 ft (assist by W. Barton),2,51-48,,
11:22.0,,,51-51,3,E. Payton makes 3-pt shot from 24 ft (assist by A. Gordon)
11:06.0,Shooting foul by N. Vucevic (drawn by G. Harris),,51-51,,
11:06.0,G. Harris makes free throw 1 of 2,1,52-51,,
11:06.0,G. Harris makes free throw 2 of 2,1,53-51,,
10:52.0,,,53-53,2,A. Gordon makes 2-pt shot from 14 ft
10:34.0,W. Barton misses 3-pt shot from 25 ft,,53-53,,
10:30.0,,,53-53,,Defensive rebound by A. Gordon
10:23.0,,,53-56,3,N. Vucevic makes 3-pt shot from 25 ft (assist by A. Gordon)
10:04.0,W. Chandler makes 2-pt shot from 2 ft,2,55-56,,
9:53.0,,,55-58,2,A. Afflalo makes 2-pt shot from 2 ft (assist by E. Payton)
9:37.0,W. Chandler makes 2-pt shot from 2 ft,2,57-58,,
9:17.0,,,57-58,,J. Simmons misses 2-pt shot from 5 ft (block by W. Barton)
9:14.0,,,57-58,,Offensive rebound by J. Simmons
9:13.0,,,57-58,,N. Vucevic misses 2-pt shot from 6 ft
9:13.0,Defensive rebound by G. Harris,,57-58,,
9:10.0,J. Murray misses 2-pt shot from 2 ft (block by A. Afflalo),,57-58,,
9:10.0,Offensive rebound by Team,,57-58,,
9:06.0,M. Plumlee makes 2-pt shot from 13 ft (assist by G. Harris),2,59-58,,
8:55.0,,,59-60,2,E. Payton makes 2-pt shot from 2 ft
8:55.0,Violation by M. Plumlee (def goaltending),,59-60,,
8:41.0,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee),2,61-60,,
8:30.0,,,61-60,,N. Vucevic misses 2-pt shot from 19 ft
8:27.0,,,61-60,,Offensive rebound by J. Simmons
8:15.0,,,61-60,,E. Payton misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by J. Murray,,61-60,,
8:03.0,G. Harris makes 2-pt shot from 17 ft,2,63-60,,
7:40.0,,,63-62,2,N. Vucevic makes 2-pt shot from 6 ft
7:27.0,G. Harris makes 2-pt shot from 15 ft,2,65-62,,
7:26.0,,,65-62,,Orlando full timeout
7:06.0,,,65-62,,J. Simmons misses 2-pt shot from 8 ft
7:03.0,Defensive rebound by M. Plumlee,,65-62,,
6:55.0,Turnover by M. Plumlee (turnover),,65-62,,
6:44.0,,,65-62,,Offensive charge foul by J. Simmons (drawn by M. Plumlee)
6:44.0,,,65-62,,Turnover by J. Simmons (offensive foul)
6:34.0,W. Barton makes 2-pt shot from 2 ft,2,67-62,,
6:15.0,Personal foul by W. Chandler (drawn by A. Gordon),,67-62,,
6:01.0,,,67-62,,A. Gordon misses 3-pt shot from 25 ft
6:00.0,,,67-62,,Offensive rebound by Team
6:00.0,,,67-62,,Turnover by Team (shot clock)
5:41.0,M. Plumlee makes 2-pt shot from 3 ft (assist by J. Murray),2,69-62,,
5:21.0,,,69-62,,Turnover by N. Vucevic (bad pass; steal by W. Barton)
5:13.0,W. Barton misses 2-pt shot from 2 ft,,69-62,,
5:10.0,,,69-62,,Defensive rebound by N. Vucevic
5:09.0,,,69-62,,Offensive charge foul by E. Payton (drawn by G. Harris)
5:09.0,,,69-62,,Turnover by E. Payton (offensive foul)
5:09.0,,,69-62,,D. Augustin enters the game for J. Simmons
4:58.0,W. Chandler makes 3-pt shot from 25 ft (assist by W. Barton),3,72-62,,
4:42.0,,,72-64,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
4:36.0,W. Barton makes 2-pt shot from 2 ft,2,74-64,,
4:36.0,Shooting foul by E. Payton (drawn by W. Barton),,74-64,,
4:36.0,,,74-64,,W. Iwundu enters the game for A. Afflalo
4:36.0,E. Mudiay enters the game for J. Murray,,74-64,,
4:36.0,W. Barton makes free throw 1 of 1,1,75-64,,
4:18.0,M. Beasley enters the game for W. Barton,,75-64,,
4:14.0,,,75-64,,N. Vucevic misses 3-pt shot from 26 ft (block by M. Plumlee)
4:09.0,,,75-64,,Offensive rebound by N. Vucevic
4:09.0,,,75-64,,N. Vucevic misses 3-pt shot from 26 ft (block by M. Plumlee)
4:09.0,Defensive rebound by M. Plumlee,,75-64,,
3:49.0,M. Beasley misses 2-pt shot from 12 ft,,75-64,,
3:46.0,,,75-64,,Defensive rebound by N. Vucevic
3:40.0,,,75-64,,B. Biyombo enters the game for N. Vucevic
3:28.0,,,75-64,,Turnover by A. Gordon (bad pass; steal by E. Mudiay)
3:25.0,Turnover by E. Mudiay (bad pass),,75-64,,
3:25.0,K. Faried enters the game for M. Plumlee,,75-64,,
3:13.0,,,75-64,,W. Iwundu misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by G. Harris,,75-64,,
3:04.0,Turnover by G. Harris (lost ball; steal by W. Iwundu),,75-64,,
2:55.0,,,75-67,3,A. Gordon makes 3-pt shot from 23 ft (assist by E. Payton)
2:54.0,Denver full timeout,,75-67,,
2:43.0,,,75-67,,Personal foul by B. Biyombo (drawn by K. Faried)
2:31.0,W. Chandler makes 2-pt shot from 2 ft (assist by M. Beasley),2,77-67,,
2:13.0,,,77-67,,Shooting foul by G. Harris (drawn by A. Gordon)
2:13.0,,,77-68,1,A. Gordon makes free throw 1 of 2
2:13.0,,,77-68,,A. Gordon misses free throw 2 of 2
2:11.0,Defensive rebound by E. Mudiay,,77-68,,
1:57.0,G. Harris misses 3-pt shot from 25 ft,,77-68,,
1:53.0,,,77-68,,Defensive rebound by B. Biyombo
1:42.0,,,77-68,,E. Payton misses 2-pt shot from 18 ft
1:40.0,Defensive rebound by G. Harris,,77-68,,
1:19.0,E. Mudiay misses 2-pt shot from 13 ft,,77-68,,
1:17.0,,,77-68,,Defensive rebound by B. Biyombo
1:11.0,,,77-68,,M. Speights enters the game for A. Gordon
1:11.0,T. Lyles enters the game for W. Chandler,,77-68,,
1:03.0,,,77-68,,Turnover by M. Speights (traveling)
0:52.0,G. Harris misses 2-pt shot from 19 ft,,77-68,,
0:51.0,Offensive rebound by K. Faried,,77-68,,
0:51.0,Shooting foul by B. Biyombo (drawn by K. Faried),,77-68,,
0:51.0,K. Faried makes free throw 1 of 2,1,78-68,,
0:51.0,K. Faried makes free throw 2 of 2,1,79-68,,
0:44.0,Personal foul by M. Beasley (drawn by D. Augustin),,79-68,,
0:31.0,,,79-68,,E. Payton misses 2-pt shot from 19 ft
0:27.0,Defensive rebound by T. Lyles,,79-68,,
0:24.0,Turnover by E. Mudiay (bad pass),,79-68,,
0:05.0,Personal foul by K. Faried (drawn by D. Augustin),,79-68,,
0:05.0,,,79-69,1,D. Augustin makes free throw 1 of 2
0:05.0,,,79-70,1,D. Augustin makes free throw 2 of 2
0:00.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,81-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,81-70,,Shooting foul by W. Barton (drawn by M. Speights)
11:39.0,,,81-71,1,M. Speights makes free throw 1 of 2
11:39.0,,,81-72,1,M. Speights makes free throw 2 of 2
11:26.0,T. Lyles misses 3-pt shot from 25 ft,,81-72,,
11:24.0,,,81-72,,Defensive rebound by J. Simmons
11:10.0,,,81-72,,Offensive foul by D. Augustin (drawn by M. Beasley)
11:10.0,,,81-72,,Turnover by D. Augustin (offensive foul)
10:57.0,T. Lyles misses 2-pt shot from 2 ft,,81-72,,
10:54.0,,,81-72,,Defensive rebound by B. Biyombo
10:35.0,,,81-72,,M. Speights misses 2-pt shot from 3 ft
10:32.0,,,81-72,,Offensive rebound by B. Biyombo
10:32.0,,,81-72,,B. Biyombo misses 2-pt shot from 3 ft (block by W. Barton)
10:32.0,Defensive rebound by K. Faried,,81-72,,
10:26.0,W. Barton makes 2-pt shot from 2 ft,2,83-72,,
10:26.0,,,83-72,,Orlando full timeout
10:26.0,,,83-72,,N. Vucevic enters the game for M. Speights
10:26.0,,,83-72,,M. Hezonja enters the game for B. Biyombo
10:11.0,,,83-72,,Turnover by J. Simmons (lost ball; steal by W. Barton)
10:05.0,M. Beasley misses 2-pt shot from 4 ft (block by N. Vucevic),,83-72,,
10:00.0,,,83-72,,Defensive rebound by S. Mack
9:51.0,,,83-74,2,N. Vucevic makes 2-pt shot from 10 ft (assist by D. Augustin)
9:29.0,Shooting foul by M. Hezonja (drawn by T. Lyles),,83-74,,
9:29.0,T. Lyles misses free throw 1 of 2,,83-74,,
9:29.0,Offensive rebound by Team,,83-74,,
9:29.0,T. Lyles makes free throw 2 of 2,1,84-74,,
9:17.0,,,84-74,,N. Vucevic misses 2-pt shot from 8 ft
9:14.0,Defensive rebound by K. Faried,,84-74,,
9:04.0,E. Mudiay makes 3-pt shot from 25 ft (assist by M. Beasley),3,87-74,,
8:49.0,,,87-74,,J. Simmons misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by T. Lyles,,87-74,,
8:31.0,E. Mudiay makes 2-pt shot from 2 ft,2,89-74,,
8:16.0,Personal block foul by K. Faried (drawn by N. Vucevic),,89-74,,
8:05.0,,,89-76,2,J. Simmons makes 2-pt shot from 2 ft
8:05.0,,,89-76,,Shooting foul by W. Barton (drawn by J. Simmons)
8:05.0,,,89-77,1,J. Simmons makes free throw 1 of 1
7:55.0,K. Faried makes 2-pt shot at rim (assist by T. Lyles),2,91-77,,
7:33.0,,,91-77,,D. Augustin misses 3-pt shot from 28 ft
7:29.0,Defensive rebound by T. Lyles,,91-77,,
7:27.0,,,91-77,,Personal foul by D. Augustin (drawn by K. Faried)
7:19.0,K. Faried misses 2-pt shot from 7 ft,,91-77,,
7:18.0,Offensive rebound by Team,,91-77,,
7:06.0,Turnover by T. Lyles (lost ball; steal by D. Augustin),,91-77,,
7:02.0,,,91-77,,J. Simmons misses 2-pt shot from 2 ft
6:58.0,Defensive rebound by M. Beasley,,91-77,,
6:44.0,M. Beasley makes 3-pt shot from 25 ft (assist by E. Mudiay),3,94-77,,
6:43.0,,,94-77,,Orlando full timeout
6:23.0,,,94-77,,Turnover by S. Mack (bad pass; steal by W. Barton)
6:17.0,M. Beasley misses 3-pt shot from 25 ft,,94-77,,
6:13.0,,,94-77,,Defensive rebound by M. Hezonja
6:10.0,,,94-77,,M. Hezonja misses 2-pt shot from 2 ft (block by K. Faried)
6:09.0,,,94-77,,Offensive rebound by N. Vucevic
6:09.0,,,94-79,2,N. Vucevic makes 2-pt shot at rim
5:45.0,E. Mudiay makes 2-pt shot from 3 ft (assist by T. Lyles),2,96-79,,
5:29.0,,,96-79,,J. Simmons misses 2-pt shot from 3 ft
5:26.0,Defensive rebound by K. Faried,,96-79,,
5:12.0,E. Mudiay misses 2-pt shot from 15 ft,,96-79,,
5:10.0,,,96-79,,Defensive rebound by N. Vucevic
4:58.0,,,96-79,,Turnover by N. Vucevic (lost ball; steal by K. Faried)
4:40.0,Turnover by W. Barton (lost ball; steal by S. Mack),,96-79,,
4:35.0,,,96-81,2,J. Simmons makes 2-pt shot from 1 ft (assist by M. Hezonja)
4:12.0,E. Mudiay misses 2-pt shot from 5 ft (block by N. Vucevic),,96-81,,
4:12.0,Offensive rebound by K. Faried,,96-81,,
4:06.0,K. Faried misses 2-pt shot from 2 ft,,96-81,,
4:06.0,,,96-81,,Defensive rebound by N. Vucevic
3:57.0,,,96-83,2,N. Vucevic makes 2-pt shot from 13 ft (assist by D. Augustin)
3:57.0,Denver full timeout,,96-83,,
3:57.0,G. Harris enters the game for T. Lyles,,96-83,,
3:57.0,W. Chandler enters the game for M. Beasley,,96-83,,
3:46.0,Shooting foul by M. Hezonja (drawn by W. Chandler),,96-83,,
3:46.0,W. Chandler makes free throw 1 of 2,1,97-83,,
3:46.0,W. Chandler makes free throw 2 of 2,1,98-83,,
3:33.0,,,98-85,2,M. Hezonja makes 2-pt shot from 15 ft (assist by S. Mack)
3:13.0,,,98-85,,Personal foul by J. Simmons (drawn by E. Mudiay)
3:05.0,G. Harris makes 2-pt shot from 2 ft,2,100-85,,
3:05.0,,,100-85,,M. Speights enters the game for N. Vucevic
3:05.0,,,100-85,,A. Afflalo enters the game for D. Augustin
3:05.0,,,100-85,,W. Iwundu enters the game for J. Simmons
2:48.0,,,100-87,2,A. Afflalo makes 2-pt shot from 7 ft
2:24.0,G. Harris misses 2-pt shot from 16 ft,,100-87,,
2:19.0,,,100-87,,Defensive rebound by M. Speights
2:03.0,,,100-89,2,W. Iwundu makes 2-pt shot from 19 ft (assist by S. Mack)
2:03.0,,,100-89,,Loose ball foul by M. Speights (drawn by K. Faried)
2:03.0,K. Faried misses free throw 1 of 2,,100-89,,
2:03.0,Offensive rebound by Team,,100-89,,
2:03.0,K. Faried makes free throw 2 of 2,1,101-89,,
