time,Utah,pts.away,score,pts.home,Boston
5:21.0,Turnover by J. Ingles (lost ball; steal by J. Brown),,12-14,,
5:19.0,,,12-16,2,J. Brown makes 2-pt shot at rim
5:08.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,14-16,,
4:49.0,,,14-18,2,K. Irving makes 2-pt shot from 2 ft
4:36.0,Turnover by R. Hood (bad pass; steal by A. Horford),,14-18,,
4:31.0,,,14-18,,Turnover by J. Brown (out of bounds lost ball)
4:07.0,Turnover by Team (shot clock),,14-18,,
4:07.0,,,14-18,,Boston full timeout
4:07.0,A. Burks enters the game for J. Ingles,,14-18,,
3:48.0,,,14-21,3,S. Ojeleye makes 3-pt shot from 23 ft (assist by A. Horford)
3:27.0,Shooting foul by K. Irving (drawn by R. Hood),,14-21,,
3:27.0,R. Hood misses free throw 1 of 2,,14-21,,
3:27.0,Offensive rebound by Team,,14-21,,
3:27.0,J. Johnson enters the game for J. Jerebko,,14-21,,
3:27.0,R. Hood makes free throw 2 of 2,1,15-21,,
3:17.0,,,15-23,2,K. Irving makes 2-pt shot from 18 ft (assist by A. Horford)
3:01.0,R. Hood makes 2-pt shot from 7 ft,2,17-23,,
2:46.0,,,17-23,,K. Irving misses 3-pt shot from 27 ft
2:45.0,Defensive rebound by J. Johnson,,17-23,,
2:36.0,Turnover by J. Johnson (lost ball; steal by A. Horford),,17-23,,
2:35.0,Personal foul by A. Burks (drawn by J. Brown),,17-23,,
2:35.0,,,17-23,,A. Baynes enters the game for A. Horford
2:35.0,R. Rubio enters the game for D. Favors,,17-23,,
2:35.0,E. Udoh enters the game for D. Mitchell,,17-23,,
2:23.0,,,17-25,2,S. Ojeleye makes 2-pt shot from 1 ft (assist by M. Smart)
2:01.0,A. Burks misses 3-pt shot from 24 ft,,17-25,,
2:00.0,,,17-25,,Defensive rebound by Team
2:00.0,,,17-25,,T. Rozier enters the game for K. Irving
1:36.0,,,17-25,,A. Baynes misses 2-pt shot from 8 ft
1:33.0,Defensive rebound by E. Udoh,,17-25,,
1:19.0,R. Hood makes 2-pt shot from 10 ft,2,19-25,,
1:01.0,,,19-25,,T. Rozier misses 3-pt shot from 26 ft
0:59.0,,,19-25,,Offensive rebound by Team
0:59.0,,,19-25,,J. Tatum enters the game for J. Brown
0:59.0,,,19-25,,D. Theis enters the game for A. Baynes
0:52.0,,,19-25,,Shooting foul by R. Hood (drawn by T. Rozier)
0:52.0,,,19-25,,T. Rozier misses free throw 1 of 2
0:52.0,,,19-25,,Offensive rebound by Team
0:52.0,,,19-26,1,T. Rozier makes free throw 2 of 2
0:34.0,A. Burks misses 2-pt shot from 6 ft,,19-26,,
0:31.0,,,19-26,,Defensive rebound by T. Rozier
0:25.0,,,19-26,,G. Yabusele enters the game for D. Theis
0:10.0,,,19-26,,M. Smart misses 3-pt shot from 32 ft
0:09.0,,,19-26,,Offensive rebound by Team
0:09.0,,,19-26,,Turnover by Team (shot clock)
0:04.0,R. Rubio makes 2-pt shot from 2 ft,2,21-26,,
0:00.0,,,21-26,,M. Smart misses 2-pt shot from 2 ft
0:00.0,,,21-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,21-26,,J. Tatum misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by A. Burks,,21-26,,
11:31.0,Turnover by J. Johnson (lost ball; steal by S. Larkin),,21-26,,
11:29.0,Violation by A. Burks (kicked ball),,21-26,,
11:19.0,,,21-26,,T. Rozier misses 2-pt shot from 2 ft (block by R. Hood)
11:17.0,Defensive rebound by R. Hood,,21-26,,
11:11.0,E. Udoh misses 2-pt shot from 1 ft,,21-26,,
11:07.0,,,21-26,,Defensive rebound by G. Yabusele
11:02.0,,,21-26,,M. Smart misses 2-pt shot from 2 ft
11:00.0,Defensive rebound by R. Rubio,,21-26,,
10:51.0,A. Burks makes 2-pt shot from 4 ft (assist by R. Rubio),2,23-26,,
10:29.0,,,23-26,,Shooting foul by R. Rubio (drawn by S. Larkin)
10:29.0,,,23-27,1,S. Larkin makes free throw 1 of 2
10:29.0,,,23-28,1,S. Larkin makes free throw 2 of 2
10:20.0,,,23-28,,Personal foul by S. Larkin (drawn by R. Rubio)
10:20.0,J. Ingles enters the game for R. Rubio,,23-28,,
10:06.0,Shooting foul by J. Tatum (drawn by R. Hood),,23-28,,
10:06.0,R. Hood misses free throw 1 of 2,,23-28,,
10:06.0,Offensive rebound by Team,,23-28,,
10:06.0,R. Hood misses free throw 2 of 2,,23-28,,
10:04.0,,,23-28,,Defensive rebound by J. Tatum
9:44.0,,,23-28,,M. Smart misses 2-pt shot from 9 ft
9:38.0,Defensive rebound by E. Udoh,,23-28,,
9:31.0,R. Hood makes 3-pt shot from 27 ft (assist by J. Ingles),3,26-28,,
9:30.0,,,26-28,,Boston full timeout
9:16.0,,,26-28,,J. Tatum misses 2-pt shot from 15 ft
9:13.0,Defensive rebound by E. Udoh,,26-28,,
8:54.0,J. Johnson misses 2-pt shot from 3 ft,,26-28,,
8:52.0,,,26-28,,Defensive rebound by M. Smart
8:49.0,,,26-28,,M. Smart misses 2-pt shot from 6 ft
8:49.0,Defensive rebound by J. Johnson,,26-28,,
8:27.0,R. Hood misses 2-pt shot from 5 ft,,26-28,,
8:22.0,Offensive rebound by E. Udoh,,26-28,,
8:16.0,Offensive charge foul by A. Burks (drawn by M. Smart),,26-28,,
8:16.0,Turnover by A. Burks (offensive foul),,26-28,,
8:16.0,,,26-28,,K. Irving enters the game for T. Rozier
8:16.0,,,26-28,,A. Baynes enters the game for G. Yabusele
8:16.0,,,26-28,,S. Ojeleye enters the game for M. Smart
8:16.0,D. Mitchell enters the game for R. Hood,,26-28,,
8:16.0,J. Jerebko enters the game for J. Johnson,,26-28,,
8:00.0,,,26-28,,J. Tatum misses 3-pt shot from 27 ft
7:56.0,Defensive rebound by D. Mitchell,,26-28,,
7:51.0,Offensive foul by E. Udoh (drawn by S. Larkin),,26-28,,
7:51.0,Turnover by E. Udoh (offensive foul),,26-28,,
7:36.0,,,26-28,,Turnover by K. Irving (bad pass)
7:27.0,,,26-28,,Personal foul by J. Tatum (drawn by E. Udoh)
7:27.0,,,26-28,,A. Horford enters the game for J. Tatum
7:19.0,D. Mitchell misses 2-pt shot from 10 ft,,26-28,,
7:16.0,,,26-28,,Defensive rebound by K. Irving
7:08.0,Personal foul by A. Burks (drawn by K. Irving),,26-28,,
7:08.0,D. Favors enters the game for A. Burks,,26-28,,
7:08.0,R. Rubio enters the game for E. Udoh,,26-28,,
6:55.0,,,26-28,,K. Irving misses 3-pt shot from 22 ft
6:50.0,Defensive rebound by R. Rubio,,26-28,,
6:44.0,D. Favors makes 2-pt shot from 3 ft (assist by R. Rubio),2,28-28,,
6:27.0,,,28-28,,A. Baynes misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by J. Ingles,,28-28,,
6:13.0,Turnover by J. Ingles (bad pass; steal by S. Ojeleye),,28-28,,
6:07.0,,,28-28,,S. Larkin misses 3-pt shot from 27 ft
6:01.0,,,28-28,,Offensive rebound by A. Horford
6:01.0,,,28-28,,A. Horford misses 2-pt shot from 5 ft
6:00.0,Defensive rebound by J. Jerebko,,28-28,,
5:50.0,D. Mitchell makes 2-pt shot from 2 ft,2,30-28,,
5:43.0,,,30-28,,Shooting foul by D. Mitchell (drawn by K. Irving)
5:43.0,,,30-29,1,K. Irving makes free throw 1 of 2
5:43.0,,,30-29,,J. Brown enters the game for S. Larkin
5:43.0,,,30-29,,M. Smart enters the game for S. Ojeleye
5:43.0,,,30-30,1,K. Irving makes free throw 2 of 2
5:34.0,D. Mitchell makes 2-pt shot from 2 ft,2,32-30,,
5:34.0,Shooting foul by J. Brown (drawn by D. Mitchell),,32-30,,
5:34.0,D. Mitchell makes free throw 1 of 1,1,33-30,,
5:26.0,,,33-30,,K. Irving misses 2-pt shot from 3 ft (block by J. Jerebko)
5:24.0,Defensive rebound by J. Jerebko,,33-30,,
5:19.0,J. Jerebko misses 2-pt shot from 2 ft,,33-30,,
5:19.0,,,33-30,,Defensive rebound by A. Baynes
5:08.0,,,33-30,,K. Irving misses 2-pt shot from 3 ft
5:04.0,Defensive rebound by R. Rubio,,33-30,,
4:57.0,R. Rubio makes 2-pt shot from 17 ft (assist by D. Mitchell),2,35-30,,
4:44.0,,,35-30,,A. Horford misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by J. Ingles,,35-30,,
4:24.0,J. Jerebko misses 3-pt shot from 22 ft,,35-30,,
4:22.0,Offensive rebound by R. Rubio,,35-30,,
4:20.0,J. Ingles misses 3-pt shot from 26 ft,,35-30,,
4:18.0,,,35-30,,Defensive rebound by K. Irving
4:06.0,,,35-32,2,J. Brown makes 2-pt shot from 6 ft (assist by K. Irving)
4:06.0,,,35-32,,Shooting foul by D. Favors (drawn by J. Brown)
4:06.0,,,35-32,,T. Rozier enters the game for A. Baynes
4:06.0,R. Hood enters the game for J. Jerebko,,35-32,,
4:06.0,E. Udoh enters the game for D. Favors,,35-32,,
4:06.0,,,35-32,,J. Brown misses free throw 1 of 1
4:03.0,Defensive rebound by R. Hood,,35-32,,
3:52.0,D. Mitchell makes 2-pt shot from 2 ft,2,37-32,,
3:37.0,,,37-32,,K. Irving misses 2-pt shot from 3 ft
3:32.0,Defensive rebound by E. Udoh,,37-32,,
3:25.0,D. Mitchell misses 2-pt shot at rim,,37-32,,
3:22.0,,,37-32,,Defensive rebound by T. Rozier
3:10.0,,,37-34,2,K. Irving makes 2-pt shot from 9 ft
2:56.0,R. Rubio makes 2-pt shot from 13 ft,2,39-34,,
2:34.0,,,39-34,,Turnover by M. Smart (bad pass; steal by R. Hood)
2:28.0,D. Mitchell misses 3-pt shot from 23 ft,,39-34,,
2:26.0,,,39-34,,Defensive rebound by A. Horford
2:07.0,,,39-36,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Irving)
1:54.0,R. Rubio makes 2-pt shot from 2 ft,2,41-36,,
1:43.0,,,41-36,,A. Horford misses 2-pt shot from 11 ft
1:39.0,Defensive rebound by J. Ingles,,41-36,,
1:33.0,R. Hood misses 2-pt shot from 1 ft (block by J. Brown),,41-36,,
1:28.0,Offensive rebound by R. Hood,,41-36,,
1:28.0,D. Mitchell misses 2-pt shot from 6 ft,,41-36,,
1:28.0,,,41-36,,Defensive rebound by Team
1:28.0,Utah full timeout,,41-36,,
1:08.0,,,41-36,,Turnover by M. Smart (bad pass; steal by R. Rubio)
0:50.0,R. Rubio makes 2-pt shot from 11 ft (assist by D. Mitchell),2,43-36,,
0:37.0,,,43-36,,Turnover by K. Irving (lost ball; steal by E. Udoh)
0:32.0,R. Hood makes 3-pt shot from 26 ft,3,46-36,,
0:18.0,,,46-39,3,K. Irving makes 3-pt shot from 26 ft (assist by A. Horford)
0:03.0,D. Mitchell misses 2-pt shot from 5 ft,,46-39,,
0:03.0,,,46-39,,Defensive rebound by Team
0:00.0,,,46-39,,M. Smart misses 3-pt shot from 28 ft
0:00.0,,,46-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,46-39,,K. Irving misses 2-pt shot from 10 ft
11:38.0,Defensive rebound by R. Rubio,,46-39,,
11:28.0,Turnover by R. Rubio (bad pass; steal by J. Brown),,46-39,,
11:20.0,,,46-41,2,J. Brown makes 2-pt shot from 3 ft
11:01.0,,,46-41,,Personal foul by J. Brown (drawn by D. Mitchell)
10:56.0,J. Jerebko makes 3-pt shot from 22 ft (assist by D. Mitchell),3,49-41,,
10:41.0,,,49-43,2,K. Irving makes 2-pt shot from 2 ft
10:41.0,,,49-43,,Shooting foul by R. Rubio (drawn by K. Irving)
10:41.0,,,49-44,1,K. Irving makes free throw 1 of 1
10:23.0,R. Rubio makes 2-pt shot from 2 ft,2,51-44,,
10:15.0,,,51-44,,J. Brown misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by R. Rubio,,51-44,,
10:09.0,R. Rubio makes 2-pt shot from 11 ft,2,53-44,,
10:09.0,Shooting foul by K. Irving (drawn by R. Rubio),,53-44,,
10:09.0,,,53-44,,M. Smart enters the game for J. Brown
10:09.0,,,53-44,,T. Rozier enters the game for A. Baynes
10:09.0,R. Rubio makes free throw 1 of 1,1,54-44,,
9:58.0,,,54-44,,K. Irving misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by D. Mitchell,,54-44,,
9:39.0,J. Jerebko makes 2-pt shot from 4 ft (assist by J. Ingles),2,56-44,,
9:19.0,,,56-46,2,M. Smart makes 2-pt shot from 1 ft
9:00.0,R. Rubio makes 2-pt shot from 2 ft (assist by E. Udoh),2,58-46,,
8:49.0,,,58-48,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
8:36.0,Shooting foul by J. Tatum (drawn by J. Jerebko),,58-48,,
8:36.0,J. Jerebko makes free throw 1 of 3,1,59-48,,
8:36.0,J. Jerebko makes free throw 2 of 3,1,60-48,,
8:36.0,J. Jerebko makes free throw 3 of 3,1,61-48,,
8:20.0,,,61-48,,T. Rozier misses 2-pt shot from 13 ft
8:17.0,Defensive rebound by E. Udoh,,61-48,,
8:10.0,D. Mitchell misses 2-pt shot from 8 ft,,61-48,,
8:07.0,,,61-48,,Defensive rebound by A. Horford
8:00.0,,,61-48,,M. Smart misses 3-pt shot from 22 ft
7:55.0,Defensive rebound by J. Ingles,,61-48,,
7:47.0,R. Rubio makes 3-pt shot from 26 ft (assist by D. Mitchell),3,64-48,,
7:46.0,,,64-48,,Boston full timeout
7:46.0,,,64-48,,J. Brown enters the game for T. Rozier
7:46.0,J. Johnson enters the game for J. Jerebko,,64-48,,
7:24.0,,,64-50,2,M. Smart makes 2-pt shot from 1 ft (assist by J. Tatum)
7:08.0,E. Udoh makes 2-pt shot from 2 ft (assist by D. Mitchell),2,66-50,,
7:08.0,Shooting foul by J. Tatum (drawn by E. Udoh),,66-50,,
7:08.0,,,66-50,,S. Ojeleye enters the game for J. Tatum
7:08.0,E. Udoh makes free throw 1 of 1,1,67-50,,
6:51.0,,,67-50,,Shooting foul by R. Rubio (drawn by K. Irving)
6:51.0,,,67-51,1,K. Irving makes free throw 1 of 2
6:51.0,R. Hood enters the game for R. Rubio,,67-51,,
6:51.0,,,67-52,1,K. Irving makes free throw 2 of 2
6:29.0,R. Hood misses 3-pt shot from 24 ft,,67-52,,
6:25.0,,,67-52,,Defensive rebound by A. Horford
6:17.0,,,67-54,2,M. Smart makes 2-pt shot from 5 ft
5:54.0,J. Johnson makes 2-pt shot from 2 ft,2,69-54,,
5:48.0,,,69-57,3,K. Irving makes 3-pt shot from 29 ft
5:23.0,R. Hood misses 2-pt shot from 18 ft,,69-57,,
5:22.0,,,69-57,,Defensive rebound by Team
5:22.0,Loose ball foul by E. Udoh (drawn by J. Brown),,69-57,,
5:22.0,J. Jerebko enters the game for E. Udoh,,69-57,,
5:11.0,,,69-57,,K. Irving misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by D. Mitchell,,69-57,,
4:53.0,,,69-57,,Personal foul by M. Smart (drawn by J. Johnson)
4:53.0,J. Johnson misses free throw 1 of 2,,69-57,,
4:53.0,Offensive rebound by Team,,69-57,,
4:53.0,A. Burks enters the game for J. Ingles,,69-57,,
4:53.0,J. Johnson makes free throw 2 of 2,1,70-57,,
4:37.0,,,70-59,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
4:28.0,J. Jerebko makes 2-pt shot from 1 ft (assist by D. Mitchell),2,72-59,,
4:04.0,,,72-61,2,K. Irving makes 2-pt shot from 1 ft
3:50.0,Shooting foul by S. Ojeleye (drawn by A. Burks),,72-61,,
3:50.0,A. Burks makes free throw 1 of 2,1,73-61,,
3:50.0,,,73-61,,A. Baynes enters the game for A. Horford
3:50.0,A. Burks makes free throw 2 of 2,1,74-61,,
3:40.0,,,74-61,,K. Irving misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by A. Burks,,74-61,,
3:28.0,Turnover by A. Burks (traveling),,74-61,,
3:10.0,,,74-61,,M. Smart misses 2-pt shot from 5 ft
3:08.0,,,74-61,,Offensive rebound by M. Smart
3:05.0,,,74-63,2,K. Irving makes 2-pt shot from 2 ft (assist by M. Smart)
3:05.0,Utah full timeout,,74-63,,
3:05.0,E. Udoh enters the game for J. Jerebko,,74-63,,
2:49.0,R. Hood makes 3-pt shot from 26 ft,3,77-63,,
2:27.0,,,77-63,,Turnover by A. Baynes (bad pass; steal by A. Burks)
2:20.0,R. Hood misses 3-pt shot from 27 ft,,77-63,,
2:17.0,,,77-63,,Defensive rebound by A. Baynes
2:14.0,,,77-63,,Shooting foul by D. Mitchell (drawn by K. Irving)
2:14.0,,,77-64,1,K. Irving makes free throw 1 of 2
2:14.0,,,77-64,,S. Larkin enters the game for M. Smart
2:14.0,,,77-65,1,K. Irving makes free throw 2 of 2
1:58.0,D. Mitchell misses 3-pt shot from 25 ft,,77-65,,
1:53.0,,,77-65,,Defensive rebound by K. Irving
1:46.0,,,77-65,,S. Ojeleye misses 3-pt shot from 23 ft
1:43.0,Defensive rebound by A. Burks,,77-65,,
1:37.0,Shooting foul by J. Brown (drawn by A. Burks),,77-65,,
1:37.0,A. Burks makes free throw 1 of 2,1,78-65,,
1:37.0,,,78-65,,J. Tatum enters the game for K. Irving
1:37.0,,,78-65,,A. Horford enters the game for A. Baynes
1:37.0,A. Burks makes free throw 2 of 2,1,79-65,,
1:25.0,,,79-65,,A. Horford misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by J. Johnson,,79-65,,
1:19.0,Offensive charge foul by D. Mitchell (drawn by S. Larkin),,79-65,,
1:19.0,Turnover by D. Mitchell (offensive foul),,79-65,,
1:19.0,J. Ingles enters the game for D. Mitchell,,79-65,,
1:04.0,,,79-65,,A. Horford misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by A. Burks,,79-65,,
0:53.0,A. Burks misses 2-pt shot from 15 ft,,79-65,,
0:51.0,,,79-65,,Defensive rebound by J. Brown
0:40.0,,,79-67,2,A. Horford makes 2-pt shot at rim
0:21.0,J. Johnson misses 2-pt shot from 17 ft,,79-67,,
0:18.0,,,79-67,,Defensive rebound by J. Tatum
0:01.0,,,79-67,,J. Tatum misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by A. Burks,,79-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,R. Hood misses 2-pt shot from 2 ft,,79-67,,
11:44.0,Offensive rebound by E. Udoh,,79-67,,
11:44.0,E. Udoh makes 2-pt shot at rim,2,81-67,,
11:28.0,,,81-70,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Tatum)
11:07.0,R. Hood misses 3-pt shot from 26 ft,,81-70,,
11:07.0,,,81-70,,Defensive rebound by S. Ojeleye
10:59.0,,,81-72,2,S. Larkin makes 2-pt shot at rim
10:40.0,R. Rubio misses 2-pt shot from 13 ft,,81-72,,
10:37.0,,,81-72,,Defensive rebound by T. Rozier
10:33.0,,,81-72,,S. Ojeleye misses 3-pt shot from 28 ft
10:31.0,Defensive rebound by J. Jerebko,,81-72,,
10:31.0,,,81-72,,M. Smart enters the game for S. Ojeleye
10:13.0,Turnover by E. Udoh (bad pass; steal by M. Smart),,81-72,,
10:06.0,,,81-72,,M. Smart misses 2-pt shot from 3 ft
10:04.0,Defensive rebound by J. Ingles,,81-72,,
9:52.0,J. Ingles makes 3-pt shot from 25 ft,3,84-72,,
9:32.0,,,84-72,,Shooting foul by E. Udoh (drawn by J. Tatum)
9:32.0,,,84-73,1,J. Tatum makes free throw 1 of 2
9:32.0,A. Burks enters the game for E. Udoh,,84-73,,
9:32.0,,,84-74,1,J. Tatum makes free throw 2 of 2
9:09.0,A. Burks misses 2-pt shot from 2 ft,,84-74,,
9:06.0,Offensive rebound by J. Jerebko,,84-74,,
9:06.0,J. Jerebko makes 2-pt shot at rim,2,86-74,,
8:43.0,,,86-76,2,S. Larkin makes 2-pt shot from 3 ft
8:31.0,R. Rubio misses 2-pt shot from 2 ft,,86-76,,
8:29.0,,,86-76,,Defensive rebound by S. Larkin
8:17.0,Personal foul by J. Jerebko (drawn by A. Horford),,86-76,,
8:17.0,,,86-76,,S. Ojeleye enters the game for J. Tatum
8:17.0,,,86-76,,K. Irving enters the game for A. Horford
8:17.0,D. Mitchell enters the game for J. Ingles,,86-76,,
8:10.0,,,86-78,2,S. Ojeleye makes 2-pt shot from 2 ft (assist by M. Smart)
8:10.0,,,86-78,,Shooting foul by J. Jerebko (drawn by S. Ojeleye)
8:10.0,,,86-78,,S. Ojeleye misses free throw 1 of 1
8:08.0,Defensive rebound by D. Mitchell,,86-78,,
7:50.0,R. Rubio misses 2-pt shot from 19 ft,,86-78,,
7:46.0,,,86-78,,Defensive rebound by M. Smart
7:37.0,,,86-78,,S. Larkin misses 2-pt shot from 18 ft
7:34.0,Defensive rebound by A. Burks,,86-78,,
7:34.0,,,86-78,,Personal foul by K. Irving (drawn by A. Burks)
7:20.0,Shooting foul by M. Smart (drawn by D. Mitchell),,86-78,,
7:20.0,D. Mitchell makes free throw 1 of 2,1,87-78,,
7:20.0,J. Ingles enters the game for R. Hood,,87-78,,
7:20.0,D. Mitchell makes free throw 2 of 2,1,88-78,,
7:03.0,,,88-78,,K. Irving misses 2-pt shot from 13 ft
7:00.0,Defensive rebound by J. Jerebko,,88-78,,
6:48.0,A. Burks misses 3-pt shot from 26 ft,,88-78,,
6:46.0,,,88-78,,Defensive rebound by Team
6:46.0,,,88-78,,Boston full timeout
6:46.0,,,88-78,,J. Brown enters the game for S. Ojeleye
6:29.0,,,88-81,3,S. Larkin makes 3-pt shot from 26 ft (assist by K. Irving)
6:10.0,J. Ingles misses 3-pt shot from 23 ft,,88-81,,
6:06.0,Offensive rebound by J. Jerebko,,88-81,,
6:01.0,A. Burks makes 2-pt shot from 1 ft (assist by R. Rubio),2,90-81,,
5:43.0,,,90-81,,S. Larkin misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by A. Burks,,90-81,,
5:31.0,D. Mitchell makes 3-pt shot from 26 ft,3,93-81,,
5:13.0,,,93-81,,T. Rozier misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by J. Ingles,,93-81,,
5:07.0,,,93-81,,Personal foul by T. Rozier (drawn by A. Burks)
5:07.0,,,93-81,,A. Horford enters the game for S. Larkin
5:07.0,,,93-81,,J. Tatum enters the game for T. Rozier
5:07.0,E. Udoh enters the game for J. Jerebko,,93-81,,
5:07.0,R. Hood enters the game for A. Burks,,93-81,,
4:54.0,D. Mitchell makes 3-pt shot from 27 ft,3,96-81,,
4:32.0,,,96-81,,J. Brown misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by R. Hood,,96-81,,
4:12.0,Turnover by D. Mitchell (bad pass; steal by J. Brown),,96-81,,
4:07.0,,,96-81,,K. Irving misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by R. Hood,,96-81,,
3:55.0,R. Hood misses 2-pt shot from 3 ft,,96-81,,
3:52.0,Offensive rebound by E. Udoh,,96-81,,
3:52.0,E. Udoh misses 2-pt shot at rim,,96-81,,
3:52.0,,,96-81,,Defensive rebound by J. Brown
3:52.0,Personal foul by R. Rubio (drawn by J. Brown),,96-81,,
3:38.0,,,96-81,,Shooting foul by R. Hood (drawn by J. Tatum)
3:38.0,,,96-82,1,J. Tatum makes free throw 1 of 2
3:38.0,,,96-83,1,J. Tatum makes free throw 2 of 2
3:24.0,D. Mitchell makes 2-pt shot from 16 ft,2,98-83,,
3:10.0,,,98-86,3,J. Tatum makes 3-pt shot from 23 ft (assist by A. Horford)
2:54.0,,,98-86,,Personal foul by M. Smart (drawn by D. Mitchell)
2:54.0,Utah full timeout,,98-86,,
2:45.0,D. Mitchell misses 2-pt shot from 2 ft,,98-86,,
2:43.0,,,98-86,,Defensive rebound by J. Brown
