time,Miami,pts.away,score,pts.home,LA Clippers
5:04.0,T. Johnson makes 2-pt shot from 9 ft,2,18-12,,
4:42.0,,,18-12,,L. Williams misses 2-pt shot from 12 ft
4:38.0,,,18-12,,Offensive rebound by D. Jordan
4:34.0,,,18-12,,A. Rivers misses 2-pt shot from 3 ft
4:32.0,Defensive rebound by H. Whiteside,,18-12,,
4:27.0,O. White misses 3-pt shot from 23 ft,,18-12,,
4:23.0,,,18-12,,Defensive rebound by B. Griffin
4:20.0,,,18-14,2,L. Williams makes 2-pt shot from 5 ft
4:11.0,T. Johnson misses 3-pt shot from 25 ft,,18-14,,
4:07.0,Offensive rebound by O. White,,18-14,,
3:57.0,J. Richardson misses 2-pt shot from 4 ft,,18-14,,
3:53.0,,,18-14,,Defensive rebound by D. Jordan
3:37.0,,,18-14,,A. Rivers misses 3-pt shot from 23 ft
3:32.0,,,18-14,,Offensive rebound by D. Jordan
3:26.0,,,18-14,,D. Jordan misses 2-pt shot from 1 ft
3:26.0,Defensive rebound by Team,,18-14,,
3:26.0,J. Johnson enters the game for O. White,,18-14,,
3:25.0,Miami full timeout,,18-14,,
3:25.0,,,18-14,,S. Thornwell enters the game for D. Jordan
3:25.0,,,18-14,,W. Reed enters the game for A. Rivers
3:25.0,W. Ellington enters the game for J. Richardson,,18-14,,
3:11.0,W. Ellington misses 2-pt shot from 11 ft,,18-14,,
3:07.0,,,18-14,,Defensive rebound by B. Griffin
3:03.0,,,18-14,,Turnover by L. Williams (bad pass)
3:03.0,K. Olynyk enters the game for H. Whiteside,,18-14,,
2:53.0,J. Johnson makes 2-pt shot at rim,2,20-14,,
2:32.0,,,20-14,,Turnover by S. Thornwell (bad pass; steal by T. Johnson)
2:24.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Johnson),3,23-14,,
2:18.0,,,23-14,,Shooting foul by T. Johnson (drawn by L. Williams)
2:18.0,,,23-15,1,L. Williams makes free throw 1 of 2
2:18.0,J. Richardson enters the game for G. Dragic,,23-15,,
2:18.0,,,23-16,1,L. Williams makes free throw 2 of 2
2:06.0,J. Johnson makes 2-pt shot at rim,2,25-16,,
1:49.0,,,25-16,,S. Thornwell misses 2-pt shot from 2 ft
1:44.0,,,25-16,,Offensive rebound by W. Reed
1:44.0,,,25-18,2,W. Reed makes 2-pt shot at rim
1:36.0,,,25-18,,Def 3 sec tech foul by W. Reed
1:36.0,T. Johnson makes technical free throw,1,26-18,,
1:27.0,J. Johnson misses 2-pt shot from 1 ft,,26-18,,
1:23.0,,,26-18,,Defensive rebound by W. Reed
1:15.0,,,26-18,,Turnover by S. Thornwell (bad pass; steal by T. Johnson)
1:10.0,T. Johnson makes 3-pt shot from 22 ft (assist by J. Richardson),3,29-18,,
0:55.0,,,29-18,,Turnover by L. Williams (lost ball; steal by J. Richardson)
0:55.0,,,29-18,,Personal take foul by L. Williams (drawn by J. Johnson)
0:55.0,,,29-18,,D. Gallinari enters the game for B. Griffin
0:55.0,J. Johnson makes free throw 1 of 2,1,30-18,,
0:55.0,J. Johnson makes free throw 2 of 2,1,31-18,,
0:44.0,,,31-18,,Shooting foul by K. Olynyk (drawn by W. Reed)
0:44.0,,,31-19,1,W. Reed makes free throw 1 of 2
0:44.0,,,31-20,1,W. Reed makes free throw 2 of 2
0:30.0,W. Ellington misses 3-pt shot from 25 ft,,31-20,,
0:25.0,Offensive rebound by J. Richardson,,31-20,,
0:07.0,T. Johnson makes 3-pt shot from 22 ft (assist by W. Ellington),3,34-20,,
0:01.0,,,34-20,,L. Williams misses 3-pt shot from 25 ft
0:01.0,,,34-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,34-20,,Shooting foul by K. Olynyk (drawn by W. Reed)
11:41.0,,,34-20,,W. Reed misses free throw 1 of 2
11:41.0,,,34-20,,Offensive rebound by Team
11:41.0,,,34-21,1,W. Reed makes free throw 2 of 2
11:29.0,T. Johnson misses 3-pt shot from 25 ft,,34-21,,
11:27.0,,,34-21,,Defensive rebound by Team
11:18.0,,,34-21,,D. Gallinari misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by K. Olynyk,,34-21,,
11:07.0,T. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,36-21,,
10:50.0,,,36-21,,Turnover by P. Beverley (bad pass; steal by J. Richardson)
10:42.0,T. Johnson makes 3-pt shot from 23 ft (assist by J. Richardson),3,39-21,,
10:42.0,,,39-21,,LA Clippers full timeout
10:42.0,,,39-21,,A. Rivers enters the game for L. Williams
10:42.0,,,39-21,,S. Thornwell enters the game for W. Johnson
10:42.0,,,39-21,,D. Jordan enters the game for W. Reed
10:18.0,,,39-21,,P. Beverley misses 2-pt shot from 4 ft
10:13.0,,,39-21,,Offensive rebound by P. Beverley
10:02.0,,,39-21,,S. Thornwell misses 2-pt shot from 3 ft (block by K. Olynyk)
10:02.0,Defensive rebound by K. Olynyk,,39-21,,
9:51.0,J. Richardson misses 3-pt shot from 25 ft,,39-21,,
9:51.0,,,39-21,,Defensive rebound by D. Jordan
9:36.0,,,39-21,,Turnover by D. Gallinari (lost ball; steal by J. Richardson)
9:31.0,W. Ellington misses 3-pt shot from 23 ft,,39-21,,
9:26.0,,,39-21,,Defensive rebound by P. Beverley
9:23.0,,,39-21,,D. Gallinari misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by J. Johnson,,39-21,,
9:07.0,Turnover by J. Johnson (bad pass),,39-21,,
9:07.0,,,39-21,,B. Griffin enters the game for S. Thornwell
9:07.0,J. Winslow enters the game for T. Johnson,,39-21,,
8:48.0,,,39-21,,A. Rivers misses 2-pt shot from 4 ft
8:44.0,,,39-21,,Offensive rebound by D. Jordan
8:43.0,,,39-23,2,D. Jordan makes 2-pt shot at rim
8:34.0,Turnover by K. Olynyk (bad pass),,39-23,,
8:34.0,G. Dragic enters the game for J. Richardson,,39-23,,
8:15.0,,,39-26,3,B. Griffin makes 3-pt shot from 24 ft (assist by D. Gallinari)
8:08.0,Miami full timeout,,39-26,,
8:08.0,H. Whiteside enters the game for K. Olynyk,,39-26,,
7:59.0,G. Dragic misses 2-pt shot from 16 ft,,39-26,,
7:54.0,Offensive rebound by H. Whiteside,,39-26,,
7:53.0,H. Whiteside misses 2-pt shot at rim (block by P. Beverley),,39-26,,
7:53.0,Offensive rebound by H. Whiteside,,39-26,,
7:46.0,H. Whiteside makes 2-pt shot at rim,2,41-26,,
7:33.0,,,41-26,,P. Beverley misses 2-pt shot from 4 ft
7:33.0,Defensive rebound by W. Ellington,,41-26,,
7:23.0,Turnover by J. Johnson (bad pass; steal by B. Griffin),,41-26,,
7:14.0,Personal foul by J. Winslow (drawn by B. Griffin),,41-26,,
7:14.0,J. Richardson enters the game for J. Winslow,,41-26,,
7:06.0,,,41-26,,Turnover by A. Rivers (bad pass; steal by H. Whiteside)
7:02.0,W. Ellington makes 2-pt shot at rim (assist by G. Dragic),2,43-26,,
6:53.0,Personal foul by G. Dragic (drawn by P. Beverley),,43-26,,
6:53.0,,,43-26,,W. Johnson enters the game for D. Gallinari
6:53.0,O. White enters the game for J. Johnson,,43-26,,
6:44.0,,,43-28,2,W. Johnson makes 2-pt shot from 18 ft (assist by D. Jordan)
6:29.0,W. Ellington makes 3-pt shot from 23 ft (assist by G. Dragic),3,46-28,,
6:17.0,,,46-28,,Turnover by W. Johnson (bad pass; steal by G. Dragic)
6:12.0,Shooting foul by A. Rivers (drawn by G. Dragic),,46-28,,
6:12.0,G. Dragic misses free throw 1 of 2,,46-28,,
6:12.0,Offensive rebound by Team,,46-28,,
6:12.0,G. Dragic makes free throw 2 of 2,1,47-28,,
6:03.0,,,47-31,3,P. Beverley makes 3-pt shot from 25 ft
5:48.0,J. Richardson makes 3-pt shot from 26 ft (assist by G. Dragic),3,50-31,,
5:19.0,,,50-31,,B. Griffin misses 3-pt shot from 26 ft
5:19.0,,,50-31,,Offensive rebound by Team
5:19.0,,,50-31,,Turnover by Team (shot clock)
5:07.0,H. Whiteside misses 2-pt shot from 14 ft,,50-31,,
5:03.0,,,50-31,,Defensive rebound by D. Jordan
4:59.0,,,50-31,,Shooting foul by H. Whiteside (drawn by A. Rivers)
4:59.0,,,50-32,1,A. Rivers makes free throw 1 of 2
4:59.0,T. Johnson enters the game for J. Richardson,,50-32,,
4:59.0,,,50-33,1,A. Rivers makes free throw 2 of 2
4:53.0,Shooting foul by P. Beverley (drawn by G. Dragic),,50-33,,
4:53.0,G. Dragic makes free throw 1 of 2,1,51-33,,
4:53.0,,,51-33,,L. Williams enters the game for P. Beverley
4:53.0,G. Dragic misses free throw 2 of 2,,51-33,,
4:51.0,,,51-33,,Defensive rebound by D. Jordan
4:36.0,,,51-35,2,B. Griffin makes 2-pt shot from 1 ft
4:27.0,Offensive foul by H. Whiteside (drawn by A. Rivers),,51-35,,
4:27.0,Turnover by H. Whiteside (offensive foul),,51-35,,
4:10.0,,,51-35,,Turnover by L. Williams (bad pass; steal by H. Whiteside)
4:05.0,Turnover by H. Whiteside (bad pass; steal by A. Rivers),,51-35,,
3:59.0,,,51-37,2,W. Johnson makes 2-pt shot from 1 ft (assist by B. Griffin)
3:36.0,H. Whiteside makes 2-pt shot from 19 ft (assist by W. Ellington),2,53-37,,
3:26.0,,,53-39,2,B. Griffin makes 2-pt shot from 2 ft (assist by A. Rivers)
3:09.0,Shooting foul by B. Griffin (drawn by H. Whiteside),,53-39,,
3:09.0,H. Whiteside makes free throw 1 of 2,1,54-39,,
3:09.0,J. Johnson enters the game for O. White,,54-39,,
3:09.0,H. Whiteside makes free throw 2 of 2,1,55-39,,
2:53.0,,,55-39,,B. Griffin misses 2-pt shot from 3 ft (block by J. Johnson)
2:53.0,Defensive rebound by Team,,55-39,,
2:39.0,T. Johnson makes 2-pt shot from 7 ft (assist by H. Whiteside),2,57-39,,
2:22.0,,,57-39,,B. Griffin misses 3-pt shot from 25 ft
2:22.0,,,57-39,,Offensive rebound by D. Jordan
2:10.0,,,57-39,,B. Griffin misses 2-pt shot from 3 ft
2:06.0,,,57-39,,Offensive rebound by B. Griffin
2:06.0,,,57-41,2,B. Griffin makes 2-pt shot from 1 ft
1:50.0,H. Whiteside makes 2-pt shot from 4 ft,2,59-41,,
1:42.0,,,59-41,,L. Williams misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by H. Whiteside,,59-41,,
1:33.0,T. Johnson misses 3-pt shot from 23 ft,,59-41,,
1:33.0,Offensive rebound by G. Dragic,,59-41,,
1:20.0,,,59-41,,Personal foul by A. Rivers (drawn by G. Dragic)
1:20.0,,,59-41,,D. Gallinari enters the game for D. Jordan
1:20.0,K. Olynyk enters the game for H. Whiteside,,59-41,,
1:07.0,T. Johnson misses 3-pt shot from 25 ft,,59-41,,
1:07.0,,,59-41,,Defensive rebound by W. Johnson
1:00.0,J. Richardson enters the game for G. Dragic,,59-41,,
1:00.0,B. Adebayo enters the game for K. Olynyk,,59-41,,
0:44.0,,,59-44,3,A. Rivers makes 3-pt shot from 22 ft
0:35.0,Miami full timeout,,59-44,,
0:35.0,,,59-44,,W. Reed enters the game for D. Gallinari
0:25.0,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson),3,62-44,,
0:02.0,,,62-46,2,B. Griffin makes 2-pt shot at rim
0:02.0,,,62-46,,Shooting foul by B. Adebayo (drawn by B. Griffin)
0:02.0,,,62-46,,S. Thornwell enters the game for L. Williams
0:02.0,,,62-46,,B. Griffin misses free throw 1 of 1
0:01.0,Defensive rebound by Team,,62-46,,
0:00.0,,,62-49,3,W. Reed makes 3-pt shot from 24 ft
0:00.0,Turnover by J. Johnson (bad pass; steal by W. Reed),,62-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,62-49,,W. Johnson misses 3-pt shot from 23 ft
11:32.0,Defensive rebound by H. Whiteside,,62-49,,
11:16.0,H. Whiteside makes 2-pt shot from 19 ft,2,64-49,,
11:07.0,Personal foul by J. Winslow (drawn by P. Beverley),,64-49,,
10:57.0,,,64-49,,P. Beverley misses 2-pt shot from 2 ft (block by H. Whiteside)
10:53.0,Defensive rebound by O. White,,64-49,,
10:42.0,H. Whiteside misses 2-pt shot at rim,,64-49,,
10:42.0,Offensive rebound by H. Whiteside,,64-49,,
10:42.0,H. Whiteside makes 2-pt shot at rim,2,66-49,,
10:42.0,Shooting foul by B. Griffin (drawn by H. Whiteside),,66-49,,
10:42.0,H. Whiteside makes free throw 1 of 1,1,67-49,,
10:31.0,,,67-49,,A. Rivers misses 2-pt shot from 2 ft (block by H. Whiteside)
10:27.0,,,67-49,,Offensive rebound by D. Jordan
10:24.0,,,67-52,3,A. Rivers makes 3-pt shot from 22 ft (assist by D. Jordan)
10:11.0,,,67-52,,Personal block foul by W. Johnson (drawn by J. Richardson)
10:10.0,Turnover by J. Richardson (lost ball; steal by P. Beverley),,67-52,,
10:07.0,,,67-52,,Shooting foul by G. Dragic (drawn by P. Beverley)
10:07.0,,,67-53,1,P. Beverley makes free throw 1 of 2
10:07.0,,,67-54,1,P. Beverley makes free throw 2 of 2
9:48.0,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic),3,70-54,,
9:34.0,,,70-54,,A. Rivers misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by G. Dragic,,70-54,,
9:20.0,Shooting foul by D. Jordan (drawn by J. Richardson),,70-54,,
9:20.0,J. Richardson misses free throw 1 of 2,,70-54,,
9:20.0,Offensive rebound by Team,,70-54,,
9:20.0,J. Richardson makes free throw 2 of 2,1,71-54,,
9:12.0,,,71-54,,B. Griffin misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by H. Whiteside,,71-54,,
9:00.0,G. Dragic misses 2-pt shot from 2 ft,,71-54,,
8:59.0,Offensive rebound by Team,,71-54,,
8:48.0,G. Dragic misses 3-pt shot from 24 ft,,71-54,,
8:45.0,,,71-54,,Defensive rebound by B. Griffin
8:45.0,Personal foul by G. Dragic (drawn by W. Johnson),,71-54,,
8:45.0,T. Johnson enters the game for G. Dragic,,71-54,,
8:29.0,,,71-54,,Offensive charge foul by B. Griffin (drawn by O. White)
8:29.0,,,71-54,,Turnover by B. Griffin (offensive foul)
8:20.0,T. Johnson misses 2-pt shot from 6 ft,,71-54,,
8:17.0,,,71-54,,Defensive rebound by D. Jordan
8:08.0,,,71-54,,B. Griffin misses 2-pt shot from 8 ft
8:04.0,Defensive rebound by O. White,,71-54,,
7:54.0,,,71-54,,Personal foul by B. Griffin (drawn by H. Whiteside)
7:45.0,Turnover by J. Richardson (lost ball; steal by A. Rivers),,71-54,,
7:37.0,,,71-54,,W. Johnson misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by J. Winslow,,71-54,,
7:32.0,O. White makes 3-pt shot from 25 ft (assist by J. Richardson),3,74-54,,
7:18.0,Shooting block foul by O. White (drawn by B. Griffin),,74-54,,
7:18.0,,,74-55,1,B. Griffin makes free throw 2 of 2
7:18.0,,,74-55,,B. Griffin misses free throw 1 of 2
7:18.0,,,74-55,,Offensive rebound by Team
7:01.0,J. Winslow misses 2-pt shot from 15 ft,,74-55,,
6:56.0,,,74-55,,Defensive rebound by B. Griffin
6:53.0,,,74-57,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
6:42.0,T. Johnson misses 3-pt shot from 25 ft,,74-57,,
6:42.0,,,74-57,,Defensive rebound by W. Johnson
6:36.0,,,74-57,,W. Johnson misses 3-pt shot from 22 ft
6:35.0,Defensive rebound by Team,,74-57,,
6:35.0,,,74-57,,LA Clippers full timeout
6:35.0,J. Johnson enters the game for O. White,,74-57,,
6:14.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,76-57,,
5:57.0,,,76-57,,A. Rivers misses 2-pt shot from 7 ft
5:53.0,,,76-57,,Offensive rebound by A. Rivers
5:40.0,,,76-57,,A. Rivers misses 3-pt shot from 22 ft
5:35.0,Defensive rebound by J. Winslow,,76-57,,
5:20.0,J. Johnson makes 2-pt shot at rim (assist by T. Johnson),2,78-57,,
4:56.0,,,78-57,,Technical foul by B. Griffin
4:56.0,T. Johnson makes technical free throw,1,79-57,,
4:56.0,,,79-57,,L. Williams enters the game for W. Johnson
4:52.0,Jump ball: B. Griffin vs. J. Richardson (L. Williams gains possession),,,,Jump ball: B. Griffin vs. J. Richardson (L. Williams gains possession)
4:49.0,,,79-57,,L. Williams misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by H. Whiteside,,79-57,,
4:39.0,J. Winslow misses 3-pt shot from 22 ft,,79-57,,
4:36.0,,,79-57,,Defensive rebound by B. Griffin
4:17.0,,,79-59,2,A. Rivers makes 2-pt shot from 5 ft (assist by P. Beverley)
4:03.0,J. Richardson misses 2-pt shot from 13 ft,,79-59,,
4:00.0,,,79-59,,Defensive rebound by B. Griffin
3:54.0,,,79-62,3,L. Williams makes 3-pt shot from 23 ft (assist by A. Rivers)
3:53.0,Miami full timeout,,79-62,,
3:53.0,,,79-62,,S. Thornwell enters the game for B. Griffin
3:53.0,W. Ellington enters the game for J. Winslow,,79-62,,
3:36.0,J. Johnson misses 2-pt shot from 3 ft (block by D. Jordan),,79-62,,
3:36.0,Offensive rebound by Team,,79-62,,
3:27.0,J. Johnson misses 2-pt shot from 19 ft,,79-62,,
3:24.0,,,79-62,,Defensive rebound by P. Beverley
3:16.0,,,79-62,,P. Beverley misses 2-pt shot from 2 ft
3:09.0,Defensive rebound by H. Whiteside,,79-62,,
3:07.0,H. Whiteside misses 2-pt shot from 6 ft,,79-62,,
2:59.0,Offensive rebound by H. Whiteside,,79-62,,
2:58.0,T. Johnson misses 3-pt shot from 25 ft,,79-62,,
2:55.0,,,79-62,,Defensive rebound by D. Jordan
2:50.0,,,79-62,,S. Thornwell misses 3-pt shot from 26 ft
2:42.0,Defensive rebound by H. Whiteside,,79-62,,
2:32.0,J. Johnson makes 2-pt shot from 1 ft,2,81-62,,
2:11.0,,,81-62,,P. Beverley misses 2-pt shot from 8 ft
2:07.0,,,81-62,,Offensive rebound by D. Jordan
2:05.0,,,81-62,,Shooting foul by W. Ellington (drawn by L. Williams)
2:05.0,,,81-63,1,L. Williams makes free throw 1 of 2
2:05.0,,,81-63,,W. Reed enters the game for D. Jordan
2:05.0,,,81-63,,S. Dekker enters the game for P. Beverley
2:05.0,K. Olynyk enters the game for H. Whiteside,,81-63,,
2:05.0,,,81-64,1,L. Williams makes free throw 2 of 2
1:48.0,W. Ellington makes 3-pt shot from 26 ft (assist by T. Johnson),3,84-64,,
1:20.0,,,84-64,,S. Thornwell misses 3-pt shot from 27 ft
1:16.0,Defensive rebound by K. Olynyk,,84-64,,
1:05.0,Turnover by J. Johnson (bad pass; steal by S. Dekker),,84-64,,
1:00.0,,,84-64,,L. Williams misses 3-pt shot from 23 ft
0:56.0,Defensive rebound by K. Olynyk,,84-64,,
0:41.0,W. Ellington makes 3-pt shot from 22 ft (assist by J. Johnson),3,87-64,,
0:25.0,,,87-64,,Turnover by S. Thornwell (bad pass; steal by T. Johnson)
0:22.0,T. Johnson makes 2-pt shot at rim,2,89-64,,
0:02.0,,,89-64,,Shooting foul by W. Ellington (drawn by S. Thornwell)
0:02.0,,,89-65,1,S. Thornwell makes free throw 1 of 2
0:02.0,,,89-65,,W. Johnson enters the game for A. Rivers
0:02.0,,,89-66,1,S. Thornwell makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,W. Ellington misses 3-pt shot from 25 ft,,89-66,,
11:43.0,,,89-66,,Defensive rebound by W. Reed
11:37.0,,,89-68,2,L. Williams makes 2-pt shot from 5 ft
11:17.0,Turnover by G. Dragic (traveling),,89-68,,
11:10.0,,,89-70,2,L. Williams makes 2-pt shot from 19 ft
10:46.0,T. Johnson misses 3-pt shot from 23 ft,,89-70,,
10:43.0,,,89-70,,Defensive rebound by L. Williams
10:35.0,,,89-70,,S. Dekker misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by T. Johnson,,89-70,,
10:28.0,Turnover by T. Johnson (bad pass; steal by S. Dekker),,89-70,,
10:28.0,Loose ball foul by T. Johnson (drawn by S. Dekker),,89-70,,
10:20.0,,,89-73,3,L. Williams makes 3-pt shot from 26 ft
10:04.0,,,89-73,,Personal foul by S. Thornwell (drawn by K. Olynyk)
9:56.0,K. Olynyk misses 3-pt shot from 26 ft,,89-73,,
9:52.0,,,89-73,,Defensive rebound by S. Dekker
9:46.0,,,89-75,2,S. Dekker makes 2-pt shot at rim (assist by L. Williams)
9:45.0,Miami full timeout,,89-75,,
9:25.0,G. Dragic misses 2-pt shot from 9 ft,,89-75,,
9:25.0,Offensive rebound by Team,,89-75,,
9:25.0,,,89-75,,Loose ball foul by S. Thornwell (drawn by K. Olynyk)
9:25.0,,,89-75,,Violation by S. Dekker (kicked ball)
9:18.0,J. Johnson misses 2-pt shot from 2 ft (block by W. Johnson),,89-75,,
9:15.0,Jump ball: W. Johnson vs. J. Johnson (L. Williams gains possession),,,,Jump ball: W. Johnson vs. J. Johnson (L. Williams gains possession)
9:15.0,,,89-75,,Offensive rebound by W. Johnson
9:13.0,,,89-75,,Offensive charge foul by S. Thornwell (drawn by T. Johnson)
9:13.0,,,89-75,,Turnover by S. Thornwell (offensive foul)
9:00.0,W. Ellington misses 3-pt shot from 26 ft,,89-75,,
8:55.0,,,89-75,,Defensive rebound by W. Reed
8:51.0,,,89-75,,Turnover by W. Johnson (bad pass; steal by K. Olynyk)
8:47.0,,,89-75,,Personal foul by S. Dekker (drawn by T. Johnson)
8:47.0,,,89-75,,P. Beverley enters the game for S. Thornwell
8:36.0,,,89-75,,Personal foul by P. Beverley (drawn by J. Johnson)
8:36.0,,,89-75,,B. Griffin enters the game for S. Dekker
8:29.0,K. Olynyk misses 2-pt shot from 2 ft,,89-75,,
8:28.0,,,89-75,,Defensive rebound by Team
8:13.0,,,89-77,2,B. Griffin makes 2-pt shot from 1 ft
7:56.0,J. Johnson misses 3-pt shot from 23 ft,,89-77,,
7:52.0,,,89-77,,Defensive rebound by W. Johnson
7:42.0,,,89-80,3,P. Beverley makes 3-pt shot from 26 ft (assist by B. Griffin)
7:26.0,K. Olynyk misses 3-pt shot from 24 ft,,89-80,,
7:21.0,,,89-80,,Defensive rebound by W. Johnson
7:12.0,,,89-82,2,W. Reed makes 2-pt shot at rim (assist by L. Williams)
6:53.0,K. Olynyk misses 2-pt shot from 15 ft,,89-82,,
6:46.0,Offensive rebound by J. Johnson,,89-82,,
6:46.0,J. Johnson makes 2-pt shot at rim,2,91-82,,
6:38.0,,,91-82,,L. Williams misses 2-pt shot from 4 ft (block by K. Olynyk)
6:35.0,,,91-82,,Offensive rebound by L. Williams
6:31.0,,,91-85,3,B. Griffin makes 3-pt shot from 25 ft (assist by W. Johnson)
6:04.0,K. Olynyk makes 2-pt shot from 13 ft (assist by J. Johnson),2,93-85,,
5:47.0,,,93-85,,L. Williams misses 2-pt shot from 1 ft (block by W. Ellington)
5:47.0,Defensive rebound by Team,,93-85,,
5:47.0,,,93-85,,D. Jordan enters the game for W. Reed
