time,Orlando,pts.away,score,pts.home,Cleveland
5:22.0,,,18-4,,Defensive rebound by K. Korver
5:16.0,,,18-6,2,L. James makes 2-pt shot from 1 ft
4:58.0,T. Ross misses 3-pt shot from 24 ft,,18-6,,
4:54.0,Offensive rebound by N. Vucevic,,18-6,,
4:53.0,N. Vucevic makes 2-pt shot at rim,2,20-6,,
4:37.0,,,20-6,,J. Smith misses 3-pt shot from 23 ft
4:35.0,Defensive rebound by J. Isaac,,20-6,,
4:19.0,E. Fournier makes 2-pt shot from 21 ft (assist by D. Augustin),2,22-6,,
3:52.0,,,22-6,,J. Crowder misses 3-pt shot from 26 ft
3:51.0,,,22-6,,Offensive rebound by Team
3:51.0,Loose ball foul by N. Vucevic (drawn by K. Love),,22-6,,
3:51.0,,,22-6,,T. Thompson enters the game for K. Love
3:51.0,,,22-6,,J. Green enters the game for J. Crowder
3:51.0,J. Simmons enters the game for T. Ross,,22-6,,
3:47.0,,,22-6,,K. Korver misses 2-pt shot from 19 ft
3:47.0,,,22-6,,Offensive rebound by Team
3:47.0,Loose ball foul by J. Simmons (drawn by J. Green),,22-6,,
3:40.0,,,22-8,2,J. Green makes 2-pt shot from 7 ft
3:30.0,N. Vucevic misses 3-pt shot from 25 ft,,22-8,,
3:28.0,,,22-8,,Defensive rebound by L. James
3:21.0,,,22-8,,J. Smith misses 2-pt shot from 3 ft (block by N. Vucevic)
3:16.0,,,22-8,,Offensive rebound by T. Thompson
3:12.0,,,22-10,2,L. James makes 2-pt shot from 1 ft
3:10.0,Orlando full timeout,,22-10,,
3:10.0,S. Mack enters the game for J. Isaac,,22-10,,
3:10.0,M. Hezonja enters the game for D. Augustin,,22-10,,
3:00.0,,,22-10,,Personal foul by J. Smith (drawn by E. Fournier)
2:52.0,M. Hezonja makes 3-pt shot from 25 ft (assist by J. Simmons),3,25-10,,
2:38.0,,,25-10,,T. Thompson misses 2-pt shot from 3 ft
2:35.0,Defensive rebound by M. Hezonja,,25-10,,
2:33.0,E. Fournier misses 2-pt shot from 21 ft,,25-10,,
2:29.0,,,25-10,,Defensive rebound by T. Thompson
2:29.0,Personal foul by E. Fournier (drawn by J. Green),,25-10,,
2:20.0,,,25-10,,K. Korver misses 2-pt shot from 20 ft
2:16.0,Defensive rebound by M. Hezonja,,25-10,,
2:00.0,S. Mack makes 3-pt shot from 27 ft (assist by N. Vucevic),3,28-10,,
1:45.0,,,28-10,,L. James misses 3-pt shot from 26 ft
1:43.0,Defensive rebound by S. Mack,,28-10,,
1:35.0,N. Vucevic makes 2-pt shot from 19 ft (assist by S. Mack),2,30-10,,
1:14.0,,,30-12,2,L. James makes 2-pt shot from 9 ft
1:01.0,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic),3,33-12,,
0:48.0,,,33-14,2,L. James makes 2-pt shot from 1 ft
0:48.0,,,33-14,,Shooting foul by N. Vucevic (drawn by L. James)
0:48.0,B. Biyombo enters the game for N. Vucevic,,33-14,,
0:48.0,,,33-15,1,L. James makes free throw 1 of 1
0:30.0,Turnover by M. Hezonja (traveling),,33-15,,
0:23.0,,,33-17,2,L. James makes 2-pt shot from 1 ft
0:23.0,,,33-17,,Shooting foul by M. Hezonja (drawn by L. James)
0:23.0,,,33-18,1,L. James makes free throw 1 of 1
0:01.0,J. Simmons makes 3-pt shot from 25 ft (assist by S. Mack),3,36-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,36-18,,Turnover by D. Wade (bad pass)
11:18.0,M. Hezonja misses 2-pt shot from 7 ft,,36-18,,
11:15.0,,,36-18,,Defensive rebound by I. Shumpert
11:11.0,,,36-18,,Turnover by J. Green (lost ball; steal by S. Mack)
11:08.0,Shooting foul by I. Shumpert (drawn by A. Afflalo),,36-18,,
11:08.0,A. Afflalo makes free throw 1 of 2,1,37-18,,
11:08.0,A. Afflalo makes free throw 2 of 2,1,38-18,,
10:55.0,,,38-18,,I. Shumpert misses 2-pt shot from 19 ft
10:53.0,Defensive rebound by J. Simmons,,38-18,,
10:45.0,J. Simmons misses 2-pt shot from 13 ft,,38-18,,
10:42.0,,,38-18,,Defensive rebound by I. Shumpert
10:28.0,,,38-20,2,J. Green makes 2-pt shot from 18 ft (assist by I. Shumpert)
10:10.0,Shooting foul by D. Wade (drawn by J. Simmons),,38-20,,
10:10.0,J. Simmons makes free throw 1 of 2,1,39-20,,
10:10.0,J. Simmons makes free throw 2 of 2,1,40-20,,
9:54.0,,,40-20,,Turnover by J. Smith (bad pass; steal by M. Hezonja)
9:49.0,Turnover by M. Hezonja (lost ball; steal by J. Green),,40-20,,
9:41.0,,,40-20,,J. Green misses 2-pt shot from 1 ft
9:39.0,,,40-20,,Offensive rebound by J. Green
9:36.0,,,40-20,,J. Green misses 2-pt shot at rim
9:35.0,Defensive rebound by S. Mack,,40-20,,
9:33.0,S. Mack misses 2-pt shot from 16 ft,,40-20,,
9:33.0,Offensive rebound by B. Biyombo,,40-20,,
9:27.0,B. Biyombo makes 2-pt shot from 2 ft,2,42-20,,
9:11.0,Personal foul by J. Simmons (drawn by J. Smith),,42-20,,
9:02.0,,,42-22,2,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade)
8:49.0,Turnover by J. Simmons (bad pass),,42-22,,
8:49.0,,,42-22,,K. Love enters the game for J. Smith
8:37.0,,,42-22,,Shooting foul by A. Afflalo (drawn by J. Green)
8:37.0,,,42-23,1,J. Green makes free throw 1 of 2
8:37.0,,,42-24,1,J. Green makes free throw 2 of 2
8:16.0,S. Mack misses 2-pt shot from 5 ft (block by T. Thompson),,42-24,,
8:16.0,,,42-24,,Defensive rebound by K. Love
8:10.0,,,42-24,,D. Wade misses 2-pt shot from 4 ft (block by B. Biyombo)
8:10.0,,,42-24,,Offensive rebound by Team
8:02.0,,,42-26,2,I. Shumpert makes 2-pt shot from 19 ft
7:47.0,J. Simmons makes 3-pt shot from 25 ft,3,45-26,,
7:34.0,Personal foul by M. Hezonja (drawn by K. Love),,45-26,,
7:34.0,J. Isaac enters the game for M. Hezonja,,45-26,,
7:27.0,,,45-28,2,K. Love makes 2-pt shot at rim
7:10.0,J. Simmons misses 3-pt shot from 25 ft,,45-28,,
7:07.0,,,45-28,,Defensive rebound by K. Love
7:04.0,,,45-28,,D. Wade misses 2-pt shot from 19 ft
7:04.0,,,45-28,,Offensive rebound by K. Love
6:58.0,,,45-30,2,K. Love makes 2-pt shot from 9 ft
6:52.0,Orlando full timeout,,45-30,,
6:52.0,,,45-30,,L. James enters the game for D. Wade
6:52.0,N. Vucevic enters the game for A. Afflalo,,45-30,,
6:52.0,D. Augustin enters the game for S. Mack,,45-30,,
6:52.0,T. Ross enters the game for B. Biyombo,,45-30,,
6:52.0,M. Speights enters the game for J. Simmons,,45-30,,
6:30.0,N. Vucevic makes 2-pt shot from 20 ft (assist by D. Augustin),2,47-30,,
6:09.0,,,47-32,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
5:55.0,T. Ross misses 2-pt shot from 11 ft,,47-32,,
5:53.0,,,47-32,,Defensive rebound by T. Thompson
5:43.0,,,47-32,,I. Shumpert misses 2-pt shot from 11 ft
5:40.0,Defensive rebound by M. Speights,,47-32,,
5:34.0,N. Vucevic misses 3-pt shot from 25 ft,,47-32,,
5:31.0,,,47-32,,Defensive rebound by L. James
5:27.0,,,47-34,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:03.0,T. Ross misses 2-pt shot from 8 ft,,47-34,,
4:58.0,Offensive rebound by J. Isaac,,47-34,,
4:58.0,J. Isaac makes 2-pt shot at rim,2,49-34,,
4:58.0,,,49-34,,Shooting foul by J. Isaac (drawn by L. James)
4:58.0,,,49-35,1,L. James makes free throw 1 of 2
4:58.0,,,49-35,,J. Crowder enters the game for J. Green
4:58.0,,,49-36,1,L. James makes free throw 2 of 2
4:46.0,M. Speights makes 3-pt shot from 25 ft (assist by D. Augustin),3,52-36,,
4:28.0,,,52-36,,K. Love misses 3-pt shot from 25 ft
4:24.0,,,52-36,,Offensive rebound by I. Shumpert
4:21.0,,,52-36,,J. Crowder misses 3-pt shot from 26 ft
4:19.0,,,52-36,,Offensive rebound by T. Thompson
4:16.0,Shooting block foul by J. Isaac (drawn by L. James),,52-36,,
4:16.0,,,52-36,,L. James misses free throw 1 of 2
4:16.0,,,52-36,,Offensive rebound by Team
4:16.0,M. Hezonja enters the game for J. Isaac,,52-36,,
4:16.0,,,52-37,1,L. James makes free throw 2 of 2
3:57.0,M. Speights misses 2-pt shot from 5 ft (block by I. Shumpert),,52-37,,
3:53.0,,,52-37,,Defensive rebound by I. Shumpert
3:52.0,Violation by T. Ross (kicked ball),,52-37,,
3:52.0,E. Fournier enters the game for M. Speights,,52-37,,
3:47.0,,,52-39,2,K. Love makes 2-pt shot from 1 ft
3:33.0,T. Ross misses 3-pt shot from 21 ft,,52-39,,
3:30.0,,,52-39,,Defensive rebound by T. Thompson
3:20.0,,,52-41,2,L. James makes 2-pt shot at rim (assist by K. Love)
3:19.0,Orlando full timeout,,52-41,,
3:04.0,Turnover by E. Fournier (bad pass; steal by K. Love),,52-41,,
3:01.0,,,52-41,,Turnover by J. Crowder (bad pass)
2:48.0,E. Fournier misses 2-pt shot from 8 ft,,52-41,,
2:48.0,Offensive rebound by Team,,52-41,,
2:36.0,N. Vucevic misses 2-pt shot from 17 ft,,52-41,,
2:33.0,,,52-41,,Defensive rebound by J. Crowder
2:20.0,,,52-41,,K. Love misses 2-pt shot from 13 ft
2:18.0,Defensive rebound by N. Vucevic,,52-41,,
2:05.0,M. Hezonja makes 2-pt shot from 2 ft (assist by N. Vucevic),2,54-41,,
1:43.0,,,54-43,2,K. Love makes 2-pt shot from 1 ft (assist by T. Thompson)
1:27.0,,,54-43,,Shooting block foul by K. Love (drawn by T. Ross)
1:27.0,T. Ross misses free throw 1 of 2,,54-43,,
1:27.0,Offensive rebound by Team,,54-43,,
1:27.0,T. Ross makes free throw 2 of 2,1,55-43,,
1:20.0,Personal foul by D. Augustin (drawn by I. Shumpert),,55-43,,
1:20.0,,,55-44,1,I. Shumpert makes free throw 1 of 2
1:20.0,,,55-44,,I. Shumpert misses free throw 2 of 2
1:17.0,Defensive rebound by E. Fournier,,55-44,,
0:56.0,T. Ross misses 2-pt shot from 11 ft,,55-44,,
0:54.0,,,55-44,,Defensive rebound by K. Love
0:48.0,,,55-44,,L. James misses 2-pt shot from 2 ft
0:46.0,,,55-44,,Offensive rebound by T. Thompson
0:44.0,,,55-44,,T. Thompson misses 2-pt shot from 7 ft (block by E. Fournier)
0:40.0,Defensive rebound by M. Hezonja,,55-44,,
0:40.0,Shooting foul by J. Crowder (drawn by D. Augustin),,55-44,,
0:40.0,D. Augustin misses free throw 1 of 2,,55-44,,
0:40.0,Offensive rebound by Team,,55-44,,
0:40.0,,,55-44,,K. Korver enters the game for T. Thompson
0:40.0,,,55-44,,J. Smith enters the game for J. Crowder
0:40.0,B. Biyombo enters the game for N. Vucevic,,55-44,,
0:40.0,D. Augustin makes free throw 2 of 2,1,56-44,,
0:31.0,,,56-44,,Shooting foul by B. Biyombo (drawn by K. Love)
0:31.0,,,56-44,,K. Love misses free throw 1 of 2
0:31.0,,,56-44,,Offensive rebound by Team
0:31.0,,,56-44,,T. Thompson enters the game for K. Korver
0:31.0,M. Speights enters the game for B. Biyombo,,56-44,,
0:31.0,,,56-45,1,K. Love makes free throw 2 of 2
0:11.0,M. Speights misses 3-pt shot from 27 ft,,56-45,,
0:07.0,Offensive rebound by M. Hezonja,,56-45,,
0:03.0,T. Ross misses 3-pt shot from 25 ft,,56-45,,
0:01.0,,,56-45,,Defensive rebound by T. Thompson
0:00.0,,,56-45,,K. Love misses 3-pt shot from 36 ft
0:00.0,,,56-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-45,,L. James misses 2-pt shot from 3 ft
11:43.0,Defensive rebound by T. Ross,,56-45,,
11:40.0,Turnover by T. Ross (bad pass; steal by L. James),,56-45,,
11:34.0,,,56-45,,Loose ball foul by J. Crowder (drawn by D. Augustin)
11:34.0,,,56-45,,Turnover by J. Crowder (turnover)
11:18.0,N. Vucevic misses 2-pt shot from 13 ft,,56-45,,
11:15.0,,,56-45,,Defensive rebound by L. James
11:07.0,,,56-47,2,K. Love makes 2-pt shot from 20 ft (assist by D. Wade)
10:53.0,N. Vucevic makes 2-pt shot from 2 ft (assist by D. Augustin),2,58-47,,
10:32.0,,,58-47,,D. Wade misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by D. Augustin,,58-47,,
10:22.0,N. Vucevic makes 2-pt shot from 19 ft (assist by D. Augustin),2,60-47,,
9:59.0,,,60-47,,I. Shumpert misses 2-pt shot from 5 ft (block by E. Fournier)
9:55.0,Defensive rebound by J. Isaac,,60-47,,
9:44.0,E. Fournier misses 3-pt shot from 26 ft,,60-47,,
9:42.0,,,60-47,,Defensive rebound by K. Love
9:40.0,,,60-47,,Turnover by K. Love (bad pass)
9:25.0,J. Isaac makes 3-pt shot from 25 ft (assist by D. Augustin),3,63-47,,
8:58.0,,,63-50,3,I. Shumpert makes 3-pt shot from 25 ft (assist by D. Wade)
8:44.0,Turnover by D. Augustin (bad pass; steal by J. Crowder),,63-50,,
8:38.0,,,63-50,,I. Shumpert misses 3-pt shot from 24 ft (block by N. Vucevic)
8:36.0,Defensive rebound by E. Fournier,,63-50,,
8:24.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Fournier),2,65-50,,
8:12.0,,,65-50,,K. Love misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by J. Isaac,,65-50,,
8:00.0,T. Ross misses 2-pt shot from 14 ft,,65-50,,
8:00.0,Offensive rebound by T. Ross,,65-50,,
7:50.0,Turnover by J. Isaac (step out of bounds),,65-50,,
7:27.0,,,65-53,3,L. James makes 3-pt shot from 25 ft
7:08.0,N. Vucevic misses 2-pt shot from 18 ft,,65-53,,
7:06.0,,,65-53,,Defensive rebound by D. Wade
6:58.0,,,65-55,2,K. Love makes 2-pt shot from 10 ft (assist by D. Wade)
6:41.0,J. Isaac misses 3-pt shot from 25 ft,,65-55,,
6:38.0,,,65-55,,Defensive rebound by J. Crowder
6:28.0,,,65-55,,K. Love misses 3-pt shot from 22 ft
6:26.0,Defensive rebound by N. Vucevic,,65-55,,
6:22.0,D. Augustin misses 2-pt shot from 1 ft (block by L. James),,65-55,,
6:17.0,,,65-55,,Defensive rebound by I. Shumpert
6:14.0,,,65-58,3,D. Wade makes 3-pt shot from 25 ft (assist by I. Shumpert)
6:14.0,Orlando full timeout,,65-58,,
6:14.0,,,65-58,,T. Thompson enters the game for K. Love
6:14.0,,,65-58,,J. Smith enters the game for I. Shumpert
6:14.0,,,65-58,,K. Korver enters the game for D. Wade
6:02.0,N. Vucevic makes 2-pt shot from 9 ft (assist by T. Ross),2,67-58,,
5:51.0,,,67-58,,Offensive foul by J. Crowder (drawn by E. Fournier)
5:51.0,,,67-58,,Turnover by J. Crowder (offensive foul)
5:51.0,,,67-58,,K. Love enters the game for J. Crowder
5:42.0,J. Isaac misses 3-pt shot from 25 ft,,67-58,,
5:39.0,,,67-58,,Defensive rebound by K. Korver
5:31.0,Personal foul by T. Ross (drawn by K. Love),,67-58,,
5:23.0,,,67-58,,Turnover by T. Thompson (turnover)
5:12.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,70-58,,
4:52.0,,,70-58,,Turnover by K. Korver (lost ball; steal by E. Fournier)
4:48.0,Shooting foul by T. Thompson (drawn by E. Fournier),,70-58,,
4:48.0,E. Fournier makes free throw 1 of 2,1,71-58,,
4:48.0,,,71-58,,J. Green enters the game for K. Love
4:48.0,J. Simmons enters the game for T. Ross,,71-58,,
4:48.0,E. Fournier makes free throw 2 of 2,1,72-58,,
4:37.0,,,72-58,,Turnover by L. James (bad pass; steal by J. Isaac)
4:24.0,E. Fournier misses 3-pt shot from 25 ft,,72-58,,
4:24.0,,,72-58,,Defensive rebound by Team
4:11.0,,,72-58,,J. Smith misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by E. Fournier,,72-58,,
3:48.0,D. Augustin makes 3-pt shot from 30 ft (assist by E. Fournier),2,75-58,,
3:27.0,,,75-58,,J. Green misses 2-pt shot from 23 ft
3:24.0,Defensive rebound by J. Simmons,,75-58,,
3:19.0,J. Simmons makes 2-pt shot from 1 ft,2,77-58,,
3:19.0,,,77-58,,Cleveland full timeout
3:19.0,,,77-58,,K. Love enters the game for L. James
3:10.0,,,77-58,,Turnover by K. Love (bad pass)
3:00.0,N. Vucevic makes 2-pt shot from 17 ft (assist by D. Augustin),2,79-58,,
2:48.0,Personal foul by D. Augustin (drawn by K. Korver),,79-58,,
2:43.0,,,79-58,,K. Korver misses 3-pt shot from 25 ft
2:42.0,,,79-58,,Offensive rebound by Team
2:42.0,Loose ball foul by J. Isaac (drawn by K. Love),,79-58,,
2:42.0,M. Speights enters the game for J. Isaac,,79-58,,
2:34.0,,,79-60,2,K. Korver makes 2-pt shot from 15 ft (assist by J. Smith)
2:22.0,D. Augustin makes 2-pt shot from 2 ft,2,81-60,,
2:11.0,,,81-60,,K. Korver misses 3-pt shot from 23 ft
2:09.0,Defensive rebound by D. Augustin,,81-60,,
2:03.0,D. Augustin makes 3-pt shot from 26 ft,3,84-60,,
1:33.0,,,84-60,,J. Smith misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by N. Vucevic,,84-60,,
1:21.0,M. Speights misses 3-pt shot from 25 ft,,84-60,,
1:18.0,,,84-60,,Defensive rebound by K. Korver
1:12.0,,,84-60,,Turnover by J. Green (traveling)
1:12.0,M. Hezonja enters the game for N. Vucevic,,84-60,,
1:12.0,B. Biyombo enters the game for E. Fournier,,84-60,,
0:51.0,B. Biyombo misses 2-pt shot from 3 ft (block by K. Love),,84-60,,
0:46.0,,,84-60,,Defensive rebound by T. Thompson
0:44.0,,,84-60,,Shooting foul by B. Biyombo (drawn by K. Love)
0:44.0,,,84-61,1,K. Love makes free throw 1 of 2
0:44.0,S. Mack enters the game for D. Augustin,,84-61,,
0:44.0,,,84-62,1,K. Love makes free throw 2 of 2
0:37.0,J. Simmons makes 2-pt shot from 1 ft,2,86-62,,
0:29.0,,,86-64,2,J. Smith makes 2-pt shot from 11 ft
0:10.0,Shooting foul by K. Love (drawn by J. Simmons),,86-64,,
0:10.0,J. Simmons makes free throw 1 of 2,1,87-64,,
0:10.0,A. Afflalo enters the game for M. Speights,,87-64,,
0:10.0,J. Simmons makes free throw 2 of 2,1,88-64,,
0:02.0,,,88-64,,Shooting foul by B. Biyombo (drawn by J. Green)
0:02.0,,,88-65,1,J. Green makes free throw 1 of 2
0:02.0,M. Speights enters the game for M. Hezonja,,88-65,,
0:02.0,,,88-65,,J. Green misses free throw 2 of 2
0:00.0,Defensive rebound by B. Biyombo,,88-65,,
0:00.0,J. Simmons misses 3-pt shot from 49 ft,,88-65,,
0:00.0,Offensive rebound by Team,,88-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,Shooting foul by J. Smith (drawn by B. Biyombo),,88-65,,
11:48.0,B. Biyombo makes free throw 1 of 2,1,89-65,,
11:48.0,B. Biyombo makes free throw 2 of 2,1,90-65,,
11:27.0,,,90-65,,J. Green misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by M. Hezonja,,90-65,,
11:19.0,Turnover by S. Mack (bad pass),,90-65,,
11:02.0,,,90-65,,L. James misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by J. Simmons,,90-65,,
10:50.0,J. Simmons makes 2-pt shot from 9 ft,2,92-65,,
10:34.0,Personal foul by J. Simmons (drawn by J. Smith),,92-65,,
10:22.0,,,92-65,,L. James misses 2-pt shot from 12 ft
10:19.0,,,92-65,,Offensive rebound by T. Thompson
10:16.0,,,92-67,2,T. Thompson makes 2-pt shot from 9 ft (assist by J. Green)
10:06.0,B. Biyombo misses 2-pt shot from 2 ft,,92-67,,
10:06.0,Offensive rebound by M. Speights,,92-67,,
9:58.0,M. Speights makes 2-pt shot at rim,2,94-67,,
9:52.0,Personal foul by M. Hezonja (drawn by T. Thompson),,94-67,,
9:36.0,,,94-67,,I. Shumpert misses 2-pt shot from 20 ft
9:36.0,Defensive rebound by Team,,94-67,,
9:22.0,Offensive foul by B. Biyombo (drawn by I. Shumpert),,94-67,,
9:22.0,Turnover by B. Biyombo (offensive foul),,94-67,,
9:11.0,,,94-67,,J. Smith misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by J. Simmons,,94-67,,
9:00.0,J. Simmons misses 2-pt shot from 2 ft,,94-67,,
8:57.0,Offensive rebound by M. Speights,,94-67,,
8:55.0,M. Speights makes 2-pt shot from 1 ft,2,96-67,,
8:42.0,,,96-67,,L. James misses 2-pt shot from 15 ft
8:39.0,Defensive rebound by M. Speights,,96-67,,
8:23.0,J. Simmons makes 3-pt shot from 25 ft (assist by S. Mack),3,99-67,,
8:21.0,,,99-67,,Cleveland full timeout
8:21.0,,,99-67,,J. Calderon enters the game for J. Smith
8:21.0,,,99-67,,C. Osman enters the game for T. Thompson
8:21.0,,,99-67,,C. Frye enters the game for L. James
8:02.0,,,99-67,,Turnover by I. Shumpert (bad pass; steal by J. Simmons)
7:48.0,M. Speights misses 3-pt shot from 22 ft,,99-67,,
7:45.0,,,99-67,,Defensive rebound by I. Shumpert
7:39.0,,,99-67,,I. Shumpert misses 2-pt shot from 16 ft
7:35.0,Defensive rebound by M. Hezonja,,99-67,,
7:21.0,J. Simmons misses 2-pt shot from 12 ft,,99-67,,
7:15.0,Offensive rebound by B. Biyombo,,99-67,,
7:15.0,B. Biyombo makes 2-pt shot at rim,2,101-67,,
7:05.0,,,101-69,2,C. Frye makes 2-pt shot from 17 ft (assist by J. Calderon)
6:52.0,B. Biyombo misses 2-pt shot from 1 ft,,101-69,,
6:52.0,Offensive rebound by B. Biyombo,,101-69,,
6:52.0,Shooting foul by C. Frye (drawn by B. Biyombo),,101-69,,
6:52.0,B. Biyombo makes free throw 1 of 2,1,102-69,,
6:52.0,,,102-69,,A. Zizic enters the game for J. Green
6:52.0,B. Biyombo makes free throw 2 of 2,1,103-69,,
6:37.0,,,103-69,,C. Frye misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by S. Mack,,103-69,,
6:27.0,M. Speights makes 3-pt shot from 26 ft (assist by S. Mack),3,106-69,,
6:17.0,Away from play foul by M. Speights (drawn by A. Zizic),,106-69,,
6:17.0,,,106-71,2,J. Calderon makes 2-pt shot from 17 ft
6:17.0,,,106-71,,A. Zizic misses free throw 1 of 1
6:12.0,,,106-71,,Offensive rebound by C. Frye
6:09.0,,,106-74,3,I. Shumpert makes 3-pt shot from 24 ft (assist by J. Calderon)
5:52.0,M. Speights misses 3-pt shot from 28 ft,,106-74,,
5:45.0,Offensive rebound by B. Biyombo,,106-74,,
5:45.0,B. Biyombo misses 2-pt shot at rim,,106-74,,
5:44.0,,,106-74,,Defensive rebound by J. Calderon
5:36.0,,,106-77,3,I. Shumpert makes 3-pt shot from 25 ft
5:24.0,Offensive foul by J. Simmons (drawn by C. Osman),,106-77,,
5:24.0,Turnover by J. Simmons (offensive foul),,106-77,,
5:24.0,W. Iwundu enters the game for J. Simmons,,106-77,,
5:11.0,,,106-77,,I. Shumpert misses 2-pt shot from 19 ft
5:09.0,,,106-77,,Offensive rebound by A. Zizic
5:09.0,,,106-79,2,A. Zizic makes 2-pt shot at rim
5:09.0,Orlando full timeout,,106-79,,
5:09.0,K. Birch enters the game for B. Biyombo,,106-79,,
4:51.0,M. Speights misses 2-pt shot from 10 ft,,106-79,,
4:48.0,,,106-79,,Defensive rebound by A. Zizic
4:44.0,,,106-79,,Turnover by J. Calderon (out of bounds lost ball)
4:36.0,Turnover by W. Iwundu (traveling),,106-79,,
4:25.0,,,106-79,,C. Osman misses 2-pt shot from 17 ft
4:23.0,Defensive rebound by W. Iwundu,,106-79,,
