time,Chicago,pts.away,score,pts.home,Cleveland
2:46.0,,,85-88,,Offensive rebound by Team
2:46.0,,,85-88,,K. Love enters the game for T. Thompson
2:46.0,,,85-89,1,J. Green makes free throw 2 of 2
2:34.0,,,85-89,,Personal foul by I. Shumpert (drawn by R. Lopez)
2:26.0,D. Valentine makes 3-pt shot from 22 ft (assist by R. Lopez),3,88-89,,
2:08.0,,,88-91,2,D. Wade makes 2-pt shot from 17 ft
1:54.0,D. Valentine makes 2-pt shot from 15 ft,2,90-91,,
1:41.0,,,90-91,,K. Love misses 3-pt shot from 26 ft
1:37.0,Defensive rebound by D. Valentine,,90-91,,
1:32.0,D. Valentine misses 2-pt shot from 19 ft,,90-91,,
1:25.0,,,90-91,,Defensive rebound by K. Love
1:15.0,,,90-91,,D. Wade misses 2-pt shot from 9 ft
1:09.0,Defensive rebound by Q. Pondexter,,90-91,,
0:59.0,Q. Pondexter misses 2-pt shot from 15 ft,,90-91,,
0:58.0,,,90-91,,Defensive rebound by Team
0:58.0,C. Felicio enters the game for R. Lopez,,90-91,,
0:42.0,,,90-91,,Turnover by K. Love (bad pass; steal by K. Felder)
0:32.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by C. Felicio),2,92-91,,
0:13.0,,,92-91,,J. Green misses 2-pt shot from 21 ft
0:08.0,Defensive rebound by J. Holiday,,92-91,,
0:01.0,Turnover by K. Felder (bad pass; steal by D. Wade),,92-91,,
0:00.0,,,92-91,,K. Korver misses 3-pt shot from 48 ft
0:00.0,,,92-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Valentine misses 2-pt shot from 2 ft,,92-91,,
11:34.0,Offensive rebound by C. Felicio,,92-91,,
11:27.0,Turnover by K. Felder (traveling),,92-91,,
11:27.0,,,92-91,,L. James enters the game for I. Shumpert
11:18.0,,,92-94,3,K. Love makes 3-pt shot from 25 ft (assist by D. Wade)
11:07.0,K. Felder misses 2-pt shot from 3 ft (block by D. Wade),,92-94,,
10:54.0,,,92-94,,Defensive rebound by K. Love
10:53.0,,,92-96,2,J. Green makes 2-pt shot at rim (assist by L. James)
10:43.0,C. Felicio makes 2-pt shot from 3 ft (assist by K. Felder),2,94-96,,
10:30.0,,,94-99,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
10:10.0,P. Zipser makes 2-pt shot from 14 ft (assist by K. Felder),2,96-99,,
9:57.0,,,96-102,3,K. Korver makes 3-pt shot from 25 ft (assist by L. James)
9:43.0,K. Felder misses 2-pt shot from 3 ft,,96-102,,
9:35.0,Offensive rebound by C. Felicio,,96-102,,
9:35.0,C. Felicio misses 2-pt shot at rim,,96-102,,
9:34.0,,,96-102,,Defensive rebound by L. James
9:31.0,,,96-102,,K. Korver misses 3-pt shot from 24 ft
9:31.0,,,96-102,,Offensive rebound by K. Love
9:31.0,,,96-102,,Shooting foul by K. Felder (drawn by K. Love)
9:31.0,,,96-103,1,K. Love makes free throw 1 of 2
9:31.0,,,96-103,,J. Crowder enters the game for D. Wade
9:31.0,,,96-103,,J. Smith enters the game for J. Green
9:31.0,J. Grant enters the game for K. Felder,,96-103,,
9:31.0,,,96-104,1,K. Love makes free throw 2 of 2
9:13.0,D. Valentine makes 2-pt shot from 19 ft,2,98-104,,
8:56.0,,,98-104,,K. Love misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by P. Zipser,,98-104,,
8:48.0,Offensive foul by C. Felicio (drawn by L. James),,98-104,,
8:48.0,Turnover by C. Felicio (offensive foul),,98-104,,
8:37.0,,,98-106,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
8:37.0,Chicago full timeout,,98-106,,
8:37.0,D. Nwaba enters the game for Q. Pondexter,,98-106,,
8:26.0,C. Felicio misses 2-pt shot from 2 ft,,98-106,,
8:22.0,,,98-106,,Defensive rebound by K. Love
8:18.0,,,98-106,,J. Crowder misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by J. Grant,,98-106,,
8:13.0,Shooting foul by J. Smith (drawn by J. Grant),,98-106,,
8:13.0,J. Grant makes free throw 2 of 2,1,99-106,,
8:13.0,J. Grant makes free throw 1 of 2,1,100-106,,
8:03.0,,,100-106,,Turnover by L. James (bad pass)
7:54.0,D. Valentine makes 3-pt shot from 26 ft (assist by J. Grant),3,103-106,,
7:39.0,Violation by D. Valentine (kicked ball),,103-106,,
7:30.0,Personal foul by J. Grant (drawn by L. James),,103-106,,
7:19.0,,,103-109,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Smith)
6:59.0,D. Valentine misses 2-pt shot from 13 ft,,103-109,,
6:53.0,,,103-109,,Defensive rebound by K. Love
6:51.0,,,103-111,2,L. James makes 2-pt shot from 1 ft
6:35.0,J. Grant misses 3-pt shot from 25 ft,,103-111,,
6:31.0,,,103-111,,Defensive rebound by K. Love
6:15.0,,,103-111,,Shooting foul by P. Zipser (drawn by K. Love)
6:15.0,,,103-111,,K. Love misses free throw 1 of 2
6:15.0,,,103-111,,Offensive rebound by Team
6:15.0,J. Holiday enters the game for D. Valentine,,103-111,,
6:15.0,L. Markkanen enters the game for D. Nwaba,,103-111,,
6:15.0,,,103-112,1,K. Love makes free throw 2 of 2
6:05.0,J. Holiday makes 2-pt shot at rim (assist by C. Felicio),2,105-112,,
5:36.0,,,105-112,,J. Smith misses 3-pt shot from 26 ft
5:35.0,,,105-112,,Offensive rebound by Team
5:35.0,,,105-112,,Cleveland full timeout
5:28.0,,,105-112,,Turnover by K. Korver (bad pass)
5:14.0,Turnover by J. Grant (bad pass; steal by L. James),,105-112,,
5:12.0,,,105-112,,Shooting foul by L. Markkanen (drawn by L. James)
5:12.0,,,105-113,1,L. James makes free throw 1 of 2
5:12.0,R. Lopez enters the game for C. Felicio,,105-113,,
5:12.0,,,105-114,1,L. James makes free throw 2 of 2
4:51.0,P. Zipser misses 2-pt shot from 1 ft,,105-114,,
4:46.0,,,105-114,,Defensive rebound by K. Korver
4:43.0,,,105-114,,K. Love misses 3-pt shot from 24 ft
4:37.0,Defensive rebound by J. Grant,,105-114,,
4:29.0,J. Holiday misses 2-pt shot from 16 ft,,105-114,,
4:27.0,Offensive rebound by Team,,105-114,,
4:27.0,,,105-114,,Loose ball foul by K. Korver (drawn by R. Lopez)
4:27.0,,,105-114,,T. Thompson enters the game for K. Korver
4:06.0,Turnover by L. Markkanen (lost ball; steal by L. James),,105-114,,
4:00.0,,,105-116,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
4:00.0,Chicago full timeout,,105-116,,
4:00.0,,,105-116,,Cleveland full timeout
3:38.0,R. Lopez misses 2-pt shot from 2 ft,,105-116,,
3:28.0,Offensive rebound by R. Lopez,,105-116,,
3:28.0,R. Lopez makes 2-pt shot at rim,2,107-116,,
3:10.0,,,107-116,,L. James misses 2-pt shot from 20 ft
3:05.0,,,107-116,,Offensive rebound by K. Love
3:03.0,,,107-116,,K. Love misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by J. Holiday,,107-116,,
2:56.0,L. Markkanen misses 3-pt shot from 26 ft,,107-116,,
2:51.0,,,107-116,,Defensive rebound by T. Thompson
2:39.0,,,107-116,,Offensive foul by T. Thompson (drawn by P. Zipser)
2:39.0,,,107-116,,Turnover by T. Thompson (offensive foul)
2:15.0,J. Grant makes 3-pt shot from 29 ft (assist by R. Lopez),3,110-116,,
1:50.0,,,110-116,,L. James misses 3-pt shot from 25 ft
1:46.0,,,110-116,,Offensive rebound by J. Crowder
1:27.0,,,110-116,,K. Love misses 3-pt shot from 24 ft
1:22.0,,,110-116,,Offensive rebound by J. Smith
1:02.0,,,110-118,2,L. James makes 2-pt shot at rim
1:02.0,Chicago full timeout,,110-118,,
1:02.0,,,110-118,,J. Green enters the game for K. Love
0:59.0,P. Zipser makes 2-pt shot from 1 ft (assist by J. Grant),2,112-118,,
0:34.0,,,112-118,,L. James misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by J. Grant,,112-118,,
0:27.0,J. Holiday misses 3-pt shot from 23 ft,,112-118,,
0:25.0,,,112-118,,Defensive rebound by J. Smith
0:25.0,Personal foul by J. Grant (drawn by L. James),,112-118,,
0:25.0,,,112-119,1,L. James makes free throw 1 of 2
0:25.0,,,112-119,,L. James misses free throw 2 of 2
0:21.0,Defensive rebound by P. Zipser,,112-119,,
0:16.0,P. Zipser misses 2-pt shot from 5 ft,,112-119,,
0:11.0,,,112-119,,Defensive rebound by J. Smith
