time,Philadelphia,pts.away,score,pts.home,Washington
9:48.0,,,28-36,2,M. Scott makes 2-pt shot from 17 ft (assist by T. Frazier)
9:36.0,B. Simmons enters the game for J. Redick,,28-36,,
9:36.0,D. Saric enters the game for T. Booker,,28-36,,
9:20.0,J. Embiid misses 2-pt shot from 14 ft,,28-36,,
9:17.0,Offensive rebound by D. Saric,,28-36,,
9:16.0,B. Simmons makes 2-pt shot from 1 ft (assist by D. Saric),2,30-36,,
9:06.0,,,30-38,2,T. Frazier makes 2-pt shot from 19 ft (assist by K. Oubre)
8:57.0,J. Embiid misses 3-pt shot from 26 ft,,30-38,,
8:53.0,,,30-38,,Defensive rebound by K. Oubre
8:51.0,Personal foul by B. Simmons (drawn by K. Oubre),,30-38,,
8:51.0,M. Belinelli enters the game for T. McConnell,,30-38,,
8:37.0,,,30-38,,K. Oubre misses 2-pt shot from 13 ft
8:36.0,Defensive rebound by J. Embiid,,30-38,,
8:28.0,Shooting foul by I. Mahinmi (drawn by B. Simmons),,30-38,,
8:28.0,B. Simmons misses free throw 1 of 2,,30-38,,
8:28.0,Offensive rebound by Team,,30-38,,
8:28.0,B. Simmons misses free throw 2 of 2,,30-38,,
8:25.0,Offensive rebound by D. Saric,,30-38,,
8:24.0,D. Saric misses 2-pt shot from 1 ft,,30-38,,
8:23.0,Offensive rebound by D. Saric,,30-38,,
8:23.0,D. Saric misses 2-pt shot from 2 ft,,30-38,,
8:22.0,Offensive rebound by D. Saric,,30-38,,
8:22.0,D. Saric makes 2-pt shot from 2 ft,2,32-38,,
8:10.0,,,32-38,,J. Meeks misses 3-pt shot from 24 ft (block by B. Simmons)
8:10.0,Defensive rebound by J. Embiid,,32-38,,
8:00.0,D. Saric misses 3-pt shot from 25 ft,,32-38,,
7:57.0,,,32-38,,Defensive rebound by I. Mahinmi
7:47.0,,,32-38,,J. Meeks misses 2-pt shot from 19 ft
7:42.0,Defensive rebound by J. Embiid,,32-38,,
7:25.0,Offensive charge foul by B. Simmons (drawn by K. Oubre),,32-38,,
7:25.0,Turnover by B. Simmons (offensive foul),,32-38,,
7:25.0,,,32-38,,B. Beal enters the game for J. Meeks
7:25.0,,,32-38,,O. Porter enters the game for M. Scott
7:08.0,,,32-41,3,K. Oubre makes 3-pt shot from 25 ft (assist by B. Beal)
7:05.0,Philadelphia full timeout,,32-41,,
6:51.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,35-41,,
6:23.0,,,35-44,3,O. Porter makes 3-pt shot from 25 ft (assist by B. Beal)
6:13.0,J. Embiid misses 2-pt shot from 15 ft,,35-44,,
6:08.0,,,35-44,,Defensive rebound by K. Oubre
5:48.0,,,35-44,,K. Oubre misses 3-pt shot from 25 ft
5:45.0,,,35-44,,Offensive rebound by I. Mahinmi
5:41.0,,,35-44,,I. Mahinmi misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by M. Belinelli,,35-44,,
5:34.0,M. Belinelli misses 2-pt shot from 20 ft,,35-44,,
5:34.0,,,35-44,,Defensive rebound by B. Beal
5:27.0,,,35-44,,B. Beal misses 3-pt shot from 27 ft
5:27.0,,,35-44,,Offensive rebound by B. Beal
5:09.0,,,35-44,,Turnover by B. Beal (lost ball; steal by R. Covington)
5:04.0,J. Embiid makes 2-pt shot from 1 ft (assist by R. Covington),2,37-44,,
4:59.0,,,37-44,,Washington full timeout
4:59.0,,,37-44,,T. Satoransky enters the game for T. Frazier
4:59.0,,,37-44,,M. Morris enters the game for I. Mahinmi
4:59.0,A. Johnson enters the game for J. Embiid,,37-44,,
4:51.0,Personal foul by M. Belinelli (drawn by T. Satoransky),,37-44,,
4:41.0,J. Redick enters the game for R. Covington,,37-44,,
4:37.0,,,37-46,2,O. Porter makes 2-pt shot from 16 ft
4:13.0,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Saric),3,40-46,,
4:01.0,,,40-48,2,M. Morris makes 2-pt shot from 15 ft (assist by B. Beal)
3:51.0,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons),2,42-48,,
3:23.0,,,42-50,2,O. Porter makes 2-pt shot from 21 ft (assist by M. Morris)
3:11.0,M. Belinelli makes 2-pt shot from 1 ft (assist by B. Simmons),2,44-50,,
2:52.0,,,44-53,3,K. Oubre makes 3-pt shot from 26 ft (assist by T. Satoransky)
2:32.0,D. Saric misses 2-pt shot from 4 ft (block by K. Oubre),,44-53,,
2:31.0,Offensive rebound by A. Johnson,,44-53,,
2:19.0,Jump ball: B. Beal vs. A. Johnson,,,,Jump ball: B. Beal vs. A. Johnson
2:19.0,Turnover by A. Johnson (turnover; steal by B. Beal),,44-53,,
