time,Utah,pts.away,score,pts.home,Milwaukee
3:02.0,,,12-24,,E. Bledsoe misses 3-pt shot from 26 ft
3:02.0,Defensive rebound by A. Burks,,12-24,,
2:47.0,A. Burks makes 3-pt shot from 26 ft,3,15-24,,
2:47.0,,,15-24,,Milwaukee full timeout
2:47.0,,,15-24,,M. Brogdon enters the game for E. Bledsoe
2:47.0,R. Neto enters the game for J. Ingles,,15-24,,
2:47.0,R. O'Neale enters the game for D. Mitchell,,15-24,,
2:33.0,,,15-24,,T. Maker misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by J. Jerebko,,15-24,,
2:19.0,D. Favors makes 2-pt shot from 1 ft (assist by A. Burks),2,17-24,,
2:08.0,,,17-24,,G. Antetokounmpo misses 2-pt shot from 16 ft
2:05.0,Defensive rebound by D. Favors,,17-24,,
1:44.0,R. Neto misses 2-pt shot from 6 ft,,17-24,,
1:40.0,Offensive rebound by A. Burks,,17-24,,
1:23.0,D. Favors misses 2-pt shot from 2 ft,,17-24,,
1:20.0,Offensive rebound by D. Favors,,17-24,,
1:07.0,Turnover by A. Burks (bad pass; steal by M. Brogdon),,17-24,,
1:00.0,,,17-27,3,K. Middleton makes 3-pt shot from 28 ft (assist by R. Vaughn)
0:43.0,R. Neto misses 2-pt shot from 4 ft (block by T. Maker),,17-27,,
0:42.0,,,17-27,,Defensive rebound by Team
0:42.0,,,17-27,,D. Liggins enters the game for G. Antetokounmpo
0:42.0,R. Rubio enters the game for R. Neto,,17-27,,
0:32.0,,,17-29,2,K. Middleton makes 2-pt shot from 16 ft
0:16.0,J. Jerebko makes 2-pt shot at rim (assist by R. Rubio),2,19-29,,
0:00.0,,,19-29,,K. Middleton misses 2-pt shot from 18 ft
0:00.0,,,19-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive foul by R. O'Neale (drawn by G. Antetokounmpo),,19-29,,
11:49.0,Turnover by R. O'Neale (offensive foul),,19-29,,
11:26.0,,,19-29,,G. Antetokounmpo misses 2-pt shot from 18 ft
11:24.0,,,19-29,,Offensive rebound by D. Liggins
11:07.0,,,19-32,3,R. Vaughn makes 3-pt shot from 22 ft (assist by T. Maker)
10:49.0,,,19-32,,Personal block foul by D. Liggins (drawn by R. Rubio)
10:41.0,,,19-32,,Personal foul by G. Antetokounmpo (drawn by T. Sefolosha)
10:25.0,A. Burks misses 2-pt shot from 2 ft,,19-32,,
10:23.0,,,19-32,,Defensive rebound by M. Brogdon
10:18.0,,,19-34,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Brogdon)
10:18.0,,,19-34,,Shooting foul by D. Favors (drawn by G. Antetokounmpo)
10:18.0,R. Gobert enters the game for D. Favors,,19-34,,
10:18.0,,,19-35,1,G. Antetokounmpo makes free throw 1 of 1
10:10.0,Offensive charge foul by R. Rubio (drawn by D. Liggins),,19-35,,
10:10.0,Turnover by R. Rubio (offensive foul),,19-35,,
10:10.0,D. Mitchell enters the game for R. Rubio,,19-35,,
10:02.0,,,19-35,,M. Brogdon misses 2-pt shot from 1 ft (block by D. Mitchell)
9:59.0,Defensive rebound by T. Sefolosha,,19-35,,
9:48.0,Shooting foul by T. Maker (drawn by R. O'Neale),,19-35,,
9:48.0,R. O'Neale misses free throw 1 of 2,,19-35,,
9:48.0,Offensive rebound by Team,,19-35,,
9:48.0,R. O'Neale makes free throw 2 of 2,1,20-35,,
9:26.0,,,20-35,,T. Maker misses 2-pt shot from 18 ft
9:23.0,Defensive rebound by T. Sefolosha,,20-35,,
9:12.0,R. Gobert makes 2-pt shot at rim (assist by T. Sefolosha),2,22-35,,
8:51.0,,,22-37,2,M. Brogdon makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
8:44.0,Shooting foul by T. Maker (drawn by R. Gobert),,22-37,,
8:44.0,R. Gobert makes free throw 1 of 2,1,23-37,,
8:44.0,,,23-37,,E. Bledsoe enters the game for R. Vaughn
8:44.0,R. Gobert misses free throw 2 of 2,,23-37,,
8:41.0,,,23-37,,Defensive rebound by G. Antetokounmpo
8:24.0,,,23-39,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker)
8:17.0,A. Burks makes 2-pt shot from 1 ft,2,25-39,,
8:06.0,,,25-39,,Shooting foul by R. O'Neale (drawn by M. Brogdon)
8:06.0,,,25-39,,M. Brogdon misses free throw 1 of 2
8:06.0,,,25-39,,Offensive rebound by Team
8:06.0,,,25-39,,J. Henson enters the game for T. Maker
8:06.0,,,25-40,1,M. Brogdon makes free throw 2 of 2
7:57.0,Shooting foul by E. Bledsoe (drawn by D. Mitchell),,25-40,,
7:57.0,D. Mitchell makes free throw 1 of 2,1,26-40,,
7:57.0,D. Mitchell makes free throw 2 of 2,1,27-40,,
7:39.0,,,27-40,,J. Henson misses 2-pt shot from 10 ft
7:36.0,Defensive rebound by R. Gobert,,27-40,,
7:31.0,Shooting foul by J. Henson (drawn by R. Gobert),,27-40,,
7:31.0,R. Gobert makes free throw 1 of 2,1,28-40,,
7:31.0,J. Ingles enters the game for A. Burks,,28-40,,
7:31.0,R. Rubio enters the game for R. O'Neale,,28-40,,
7:31.0,R. Gobert makes free throw 2 of 2,1,29-40,,
7:12.0,,,29-40,,M. Brogdon misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by J. Ingles,,29-40,,
7:05.0,R. Rubio misses 3-pt shot from 23 ft,,29-40,,
7:01.0,,,29-40,,Defensive rebound by G. Antetokounmpo
6:46.0,,,29-40,,Turnover by J. Henson (traveling)
6:46.0,,,29-40,,Milwaukee full timeout
6:46.0,,,29-40,,K. Middleton enters the game for G. Antetokounmpo
6:46.0,J. Jerebko enters the game for T. Sefolosha,,29-40,,
6:32.0,R. Gobert misses 2-pt shot at rim,,29-40,,
6:29.0,,,29-40,,Defensive rebound by K. Middleton
6:15.0,,,29-40,,E. Bledsoe misses 2-pt shot from 14 ft
6:15.0,Defensive rebound by Team,,29-40,,
6:15.0,,,29-40,,Loose ball foul by J. Henson (drawn by R. Gobert)
6:15.0,R. Gobert makes free throw 1 of 2,1,30-40,,
6:15.0,,,30-40,,T. Maker enters the game for J. Henson
6:15.0,R. Gobert makes free throw 2 of 2,1,31-40,,
5:52.0,,,31-42,2,M. Brogdon makes 2-pt shot from 1 ft
5:43.0,,,31-42,,Personal block foul by D. Liggins (drawn by R. Rubio)
5:43.0,R. Rubio makes free throw 1 of 2,1,32-42,,
5:43.0,R. Rubio makes free throw 2 of 2,1,33-42,,
5:29.0,,,33-42,,M. Brogdon misses 2-pt shot from 1 ft (block by R. Gobert)
5:25.0,Defensive rebound by J. Ingles,,33-42,,
5:14.0,D. Mitchell misses 2-pt shot from 12 ft,,33-42,,
5:11.0,,,33-42,,Defensive rebound by T. Maker
5:03.0,,,33-42,,Turnover by E. Bledsoe (lost ball; steal by R. Rubio)
4:56.0,J. Jerebko misses 2-pt shot from 1 ft,,33-42,,
4:51.0,Offensive rebound by R. Gobert,,33-42,,
4:51.0,R. Gobert makes 2-pt shot at rim,2,35-42,,
4:29.0,,,35-42,,M. Brogdon misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by J. Ingles,,35-42,,
4:06.0,Turnover by R. Gobert (turnover),,35-42,,
3:46.0,,,35-44,2,K. Middleton makes 2-pt shot from 15 ft
3:33.0,,,35-44,,Personal foul by D. Liggins (drawn by R. Gobert)
3:33.0,R. Gobert misses free throw 1 of 2,,35-44,,
3:33.0,Offensive rebound by Team,,35-44,,
3:33.0,,,35-44,,G. Payton enters the game for M. Brogdon
3:33.0,,,35-44,,G. Antetokounmpo enters the game for D. Liggins
3:33.0,T. Sefolosha enters the game for J. Jerebko,,35-44,,
3:33.0,R. Gobert misses free throw 2 of 2,,35-44,,
3:27.0,,,35-44,,Defensive rebound by K. Middleton
3:21.0,Personal foul by J. Ingles (drawn by K. Middleton),,35-44,,
3:21.0,D. Favors enters the game for R. Gobert,,35-44,,
3:12.0,,,35-44,,T. Maker misses 3-pt shot from 22 ft
3:09.0,Defensive rebound by R. Rubio,,35-44,,
2:55.0,R. Rubio makes 2-pt shot from 17 ft,2,37-44,,
2:38.0,,,37-44,,G. Payton misses 3-pt shot from 27 ft
2:34.0,Defensive rebound by D. Mitchell,,37-44,,
2:17.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio),3,40-44,,
2:01.0,Personal foul by R. Rubio (drawn by K. Middleton),,40-44,,
2:01.0,Utah full timeout,,40-44,,
1:58.0,,,40-44,,Turnover by G. Antetokounmpo (bad pass; steal by T. Sefolosha)
1:50.0,,,40-44,,Personal block foul by T. Maker (drawn by R. Rubio)
1:50.0,R. Rubio makes free throw 1 of 2,1,41-44,,
1:50.0,R. Rubio makes free throw 2 of 2,1,42-44,,
1:35.0,,,42-46,2,G. Antetokounmpo makes 2-pt shot from 9 ft
1:25.0,Turnover by D. Mitchell (traveling),,42-46,,
1:05.0,,,42-49,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
0:43.0,Turnover by J. Ingles (bad pass; steal by E. Bledsoe),,42-49,,
0:33.0,,,42-49,,E. Bledsoe misses 3-pt shot from 28 ft
0:30.0,Defensive rebound by J. Ingles,,42-49,,
0:24.0,,,42-49,,Violation by K. Middleton (kicked ball)
0:24.0,A. Burks enters the game for R. Rubio,,42-49,,
0:15.0,D. Mitchell misses 2-pt shot from 2 ft (block by T. Maker),,42-49,,
0:15.0,Offensive rebound by Team,,42-49,,
0:12.0,A. Burks misses 3-pt shot from 22 ft,,42-49,,
0:09.0,,,42-49,,Defensive rebound by G. Antetokounmpo
0:02.0,,,42-51,2,G. Payton makes 2-pt shot from 1 ft (assist by K. Middleton)
0:00.0,J. Ingles misses 3-pt shot from 60 ft,,42-51,,
0:00.0,Offensive rebound by Team,,42-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,R. Gobert misses 2-pt shot from 6 ft,,42-51,,
11:38.0,,,42-51,,Defensive rebound by J. Henson
11:23.0,,,42-54,3,E. Bledsoe makes 3-pt shot from 27 ft (assist by K. Middleton)
11:09.0,D. Mitchell makes 3-pt shot from 23 ft (assist by J. Ingles),3,45-54,,
10:53.0,,,45-54,,G. Antetokounmpo misses 2-pt shot from 7 ft
10:51.0,,,45-54,,Offensive rebound by J. Henson
10:50.0,,,45-54,,J. Henson misses 2-pt shot from 5 ft
10:47.0,Defensive rebound by R. Gobert,,45-54,,
10:38.0,R. Rubio misses 2-pt shot from 17 ft,,45-54,,
10:33.0,,,45-54,,Defensive rebound by K. Middleton
10:24.0,,,45-54,,Turnover by K. Middleton (bad pass; steal by D. Mitchell)
10:15.0,J. Ingles misses 2-pt shot from 3 ft,,45-54,,
10:12.0,,,45-54,,Defensive rebound by J. Henson
9:54.0,,,45-54,,Turnover by G. Payton (bad pass; steal by J. Ingles)
9:42.0,R. Rubio misses 2-pt shot from 15 ft,,45-54,,
9:40.0,Offensive rebound by R. Gobert,,45-54,,
9:40.0,,,45-54,,Personal foul by K. Middleton (drawn by R. Gobert)
9:33.0,D. Favors misses 3-pt shot from 23 ft,,45-54,,
9:29.0,,,45-54,,Defensive rebound by G. Antetokounmpo
9:26.0,,,45-54,,Shooting foul by D. Favors (drawn by G. Antetokounmpo)
9:26.0,,,45-55,1,G. Antetokounmpo makes free throw 1 of 2
9:26.0,J. Jerebko enters the game for R. Gobert,,45-55,,
9:26.0,,,45-55,,G. Antetokounmpo misses free throw 2 of 2
9:24.0,Defensive rebound by J. Jerebko,,45-55,,
9:10.0,J. Jerebko misses 2-pt shot from 9 ft (block by J. Henson),,45-55,,
9:07.0,,,45-55,,Defensive rebound by E. Bledsoe
9:03.0,,,45-55,,E. Bledsoe misses 2-pt shot at rim
8:59.0,,,45-55,,Offensive rebound by G. Antetokounmpo
8:59.0,,,45-57,2,G. Antetokounmpo makes 2-pt shot at rim
8:53.0,D. Mitchell misses 2-pt shot from 1 ft,,45-57,,
8:49.0,Offensive rebound by D. Favors,,45-57,,
8:47.0,D. Favors misses 2-pt shot from 4 ft,,45-57,,
8:47.0,,,45-57,,Defensive rebound by G. Antetokounmpo
8:44.0,,,45-57,,G. Payton misses 2-pt shot from 2 ft
8:44.0,Defensive rebound by J. Jerebko,,45-57,,
8:38.0,R. Rubio misses 3-pt shot from 27 ft,,45-57,,
8:38.0,,,45-57,,Defensive rebound by E. Bledsoe
8:34.0,Personal foul by J. Jerebko (drawn by G. Antetokounmpo),,45-57,,
8:28.0,,,45-59,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:08.0,D. Mitchell misses 2-pt shot from 20 ft,,45-59,,
8:05.0,,,45-59,,Defensive rebound by G. Antetokounmpo
7:57.0,,,45-61,2,G. Antetokounmpo makes 2-pt shot from 4 ft
7:42.0,J. Ingles makes 2-pt shot from 1 ft,2,47-61,,
7:28.0,,,47-61,,Turnover by E. Bledsoe (bad pass; steal by D. Mitchell)
7:25.0,D. Mitchell makes 2-pt shot from 1 ft,2,49-61,,
7:08.0,,,49-63,2,G. Antetokounmpo makes 2-pt shot at rim
7:08.0,,,49-63,,Shooting foul by J. Jerebko (drawn by G. Antetokounmpo)
7:08.0,A. Burks enters the game for R. Rubio,,49-63,,
7:08.0,,,49-64,1,G. Antetokounmpo makes free throw 1 of 1
6:59.0,Shooting foul by J. Henson (drawn by D. Favors),,49-64,,
6:59.0,,,49-64,,Milwaukee full timeout
6:59.0,,,49-64,,T. Maker enters the game for J. Henson
6:59.0,D. Favors makes free throw 1 of 2,1,50-64,,
6:59.0,D. Favors makes free throw 2 of 2,1,51-64,,
6:45.0,,,51-64,,K. Middleton misses 2-pt shot from 19 ft
6:42.0,Defensive rebound by A. Burks,,51-64,,
6:37.0,Turnover by D. Favors (bad pass),,51-64,,
6:37.0,T. Sefolosha enters the game for J. Jerebko,,51-64,,
6:26.0,Violation by D. Mitchell (kicked ball),,51-64,,
6:13.0,,,51-66,2,E. Bledsoe makes 2-pt shot from 1 ft
6:02.0,A. Burks misses 2-pt shot from 9 ft,,51-66,,
5:59.0,,,51-66,,Defensive rebound by G. Payton
5:58.0,,,51-66,,Shooting foul by D. Mitchell (drawn by K. Middleton)
5:58.0,,,51-67,1,K. Middleton makes free throw 1 of 2
5:58.0,,,51-68,1,K. Middleton makes free throw 2 of 2
5:43.0,D. Favors misses 2-pt shot from 1 ft,,51-68,,
5:41.0,,,51-68,,Defensive rebound by G. Payton
5:31.0,,,51-68,,Shooting foul by D. Favors (drawn by G. Antetokounmpo)
5:31.0,,,51-69,1,G. Antetokounmpo makes free throw 1 of 2
5:31.0,,,51-70,1,G. Antetokounmpo makes free throw 2 of 2
5:17.0,J. Ingles makes 3-pt shot from 26 ft,3,54-70,,
5:04.0,,,54-70,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by D. Favors)
5:04.0,Defensive rebound by Team,,54-70,,
5:04.0,R. Gobert enters the game for D. Favors,,54-70,,
4:50.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,56-70,,
4:40.0,,,56-70,,Shooting foul by D. Mitchell (drawn by E. Bledsoe)
4:40.0,,,56-71,1,E. Bledsoe makes free throw 1 of 2
4:40.0,,,56-71,,R. Vaughn enters the game for G. Antetokounmpo
4:40.0,,,56-71,,E. Bledsoe misses free throw 2 of 2
4:33.0,Defensive rebound by R. Gobert,,56-71,,
4:28.0,,,56-71,,Personal foul by K. Middleton (drawn by T. Sefolosha)
4:19.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles),2,58-71,,
4:05.0,,,58-71,,Shooting foul by R. Gobert (drawn by T. Maker)
4:05.0,,,58-72,1,T. Maker makes free throw 1 of 2
4:05.0,,,58-73,1,T. Maker makes free throw 2 of 2
3:52.0,D. Mitchell misses 2-pt shot from 18 ft,,58-73,,
3:46.0,,,58-73,,Defensive rebound by R. Vaughn
3:40.0,,,58-75,2,K. Middleton makes 2-pt shot from 17 ft
3:21.0,Turnover by J. Ingles (bad pass),,58-75,,
3:21.0,,,58-75,,M. Brogdon enters the game for E. Bledsoe
3:10.0,,,58-75,,K. Middleton misses 2-pt shot from 14 ft
3:06.0,,,58-75,,Offensive rebound by T. Maker
2:57.0,,,58-77,2,K. Middleton makes 2-pt shot from 7 ft
2:43.0,,,58-77,,Violation by T. Maker (kicked ball)
2:43.0,Utah full timeout,,58-77,,
2:37.0,D. Mitchell makes 2-pt shot from 18 ft,2,60-77,,
2:17.0,,,60-79,2,M. Brogdon makes 2-pt shot from 18 ft
1:59.0,T. Sefolosha misses 3-pt shot from 22 ft,,60-79,,
1:58.0,,,60-79,,Defensive rebound by Team
1:58.0,R. Rubio enters the game for J. Ingles,,60-79,,
1:41.0,,,60-81,2,T. Maker makes 2-pt shot at rim (assist by K. Middleton)
1:27.0,A. Burks makes 2-pt shot from 16 ft (assist by R. Rubio),2,62-81,,
1:11.0,,,62-81,,Offensive foul by T. Maker (drawn by T. Sefolosha)
1:11.0,,,62-81,,Turnover by T. Maker (offensive foul)
0:55.0,R. Rubio makes 2-pt shot from 17 ft (assist by D. Mitchell),2,64-81,,
0:40.0,,,64-81,,K. Middleton misses 2-pt shot from 14 ft
0:38.0,,,64-81,,Offensive rebound by T. Maker
0:34.0,,,64-81,,M. Brogdon misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by A. Burks,,64-81,,
0:31.0,,,64-81,,Personal foul by T. Maker (drawn by A. Burks)
0:31.0,,,64-81,,D. Wilson enters the game for T. Maker
0:20.0,D. Mitchell misses 3-pt shot from 26 ft,,64-81,,
0:20.0,Offensive rebound by Team,,64-81,,
0:20.0,,,64-81,,Loose ball foul by G. Payton (drawn by R. Gobert)
0:20.0,R. Gobert makes free throw 1 of 2,1,65-81,,
0:20.0,R. Gobert makes free throw 2 of 2,1,66-81,,
0:02.0,,,66-83,2,M. Brogdon makes 2-pt shot from 12 ft
0:01.0,Turnover by R. Gobert (bad pass; steal by M. Brogdon),,66-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,66-83,,Turnover by M. Brogdon (bad pass; steal by T. Sefolosha)
11:44.0,Shooting foul by R. Vaughn (drawn by T. Sefolosha),,66-83,,
11:44.0,T. Sefolosha makes free throw 1 of 2,1,67-83,,
11:44.0,T. Sefolosha misses free throw 2 of 2,,67-83,,
11:38.0,,,67-83,,Defensive rebound by G. Antetokounmpo
11:30.0,,,67-83,,Shooting foul by T. Sefolosha (drawn by J. Henson)
11:30.0,Technical foul by T. Sefolosha,,67-83,,
11:30.0,,,67-84,1,M. Brogdon makes technical free throw
11:30.0,,,67-85,1,J. Henson makes free throw 1 of 2
11:30.0,,,67-86,1,J. Henson makes free throw 2 of 2
11:16.0,A. Burks misses 3-pt shot from 27 ft,,67-86,,
11:11.0,,,67-86,,Defensive rebound by R. Vaughn
11:05.0,,,67-88,2,M. Brogdon makes 2-pt shot at rim
10:52.0,Shooting foul by M. Brogdon (drawn by R. Gobert),,67-88,,
10:52.0,R. Gobert misses free throw 1 of 2,,67-88,,
10:52.0,Offensive rebound by Team,,67-88,,
10:52.0,R. Gobert makes free throw 2 of 2,1,68-88,,
10:43.0,,,68-88,,Turnover by J. Henson (turnover)
10:43.0,,,68-88,,Loose ball foul by J. Henson (drawn by R. Gobert)
10:29.0,R. O'Neale misses 3-pt shot from 25 ft,,68-88,,
10:25.0,,,68-88,,Defensive rebound by M. Brogdon
10:16.0,,,68-90,2,J. Henson makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
10:07.0,A. Burks makes 2-pt shot from 6 ft,2,70-90,,
10:07.0,Shooting foul by D. Liggins (drawn by A. Burks),,70-90,,
10:07.0,D. Favors enters the game for R. Gobert,,70-90,,
10:07.0,A. Burks makes free throw 1 of 1,1,71-90,,
9:56.0,,,71-90,,Shooting foul by T. Sefolosha (drawn by G. Antetokounmpo)
9:56.0,J. Jerebko enters the game for T. Sefolosha,,71-90,,
9:44.0,,,71-90,,Offensive charge foul by G. Antetokounmpo (drawn by R. Rubio)
9:44.0,,,71-90,,Turnover by G. Antetokounmpo (offensive foul)
9:30.0,,,71-90,,Personal foul by M. Brogdon (drawn by A. Burks)
9:30.0,A. Burks misses free throw 1 of 2,,71-90,,
9:30.0,Offensive rebound by Team,,71-90,,
9:30.0,A. Burks misses free throw 2 of 2,,71-90,,
9:26.0,,,71-90,,Defensive rebound by G. Antetokounmpo
9:19.0,,,71-90,,M. Brogdon misses 2-pt shot from 14 ft
9:15.0,,,71-90,,Offensive rebound by G. Antetokounmpo
9:12.0,,,71-90,,G. Antetokounmpo misses 2-pt shot from 9 ft
9:10.0,Defensive rebound by J. Jerebko,,71-90,,
9:04.0,D. Favors makes 2-pt shot at rim (assist by A. Burks),2,73-90,,
8:48.0,,,73-90,,D. Liggins misses 2-pt shot from 20 ft
8:44.0,Defensive rebound by A. Burks,,73-90,,
8:43.0,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Burks),2,75-90,,
8:43.0,,,75-90,,Milwaukee full timeout
8:43.0,,,75-90,,E. Bledsoe enters the game for R. Vaughn
8:33.0,Personal foul by A. Burks (drawn by E. Bledsoe),,75-90,,
8:20.0,,,75-90,,J. Henson misses 2-pt shot from 11 ft
8:18.0,Defensive rebound by R. O'Neale,,75-90,,
7:58.0,R. O'Neale misses 2-pt shot from 6 ft,,75-90,,
7:54.0,Offensive rebound by R. O'Neale,,75-90,,
7:51.0,A. Burks makes 2-pt shot from 1 ft,2,77-90,,
7:51.0,Shooting foul by E. Bledsoe (drawn by A. Burks),,77-90,,
7:51.0,A. Burks makes free throw 1 of 1,1,78-90,,
7:29.0,,,78-90,,E. Bledsoe misses 3-pt shot from 26 ft
7:27.0,,,78-90,,Offensive rebound by J. Henson
7:26.0,Personal foul by D. Favors (drawn by J. Henson),,78-90,,
7:19.0,,,78-90,,Shooting foul by R. Rubio (drawn by J. Henson)
7:19.0,,,78-90,,J. Henson misses free throw 1 of 2
7:19.0,,,78-90,,Offensive rebound by Team
7:19.0,,,78-91,1,J. Henson makes free throw 2 of 2
7:09.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Rubio),2,80-91,,
7:09.0,Shooting foul by G. Antetokounmpo (drawn by D. Favors),,80-91,,
7:09.0,,,80-91,,K. Middleton enters the game for D. Liggins
7:09.0,D. Mitchell enters the game for A. Burks,,80-91,,
7:09.0,D. Favors makes free throw 1 of 1,1,81-91,,
6:53.0,Personal foul by R. O'Neale (drawn by G. Antetokounmpo),,81-91,,
6:53.0,,,81-92,1,G. Antetokounmpo makes free throw 1 of 2
6:53.0,T. Sefolosha enters the game for J. Jerebko,,81-92,,
6:53.0,,,81-93,1,G. Antetokounmpo makes free throw 2 of 2
6:34.0,Shooting foul by K. Middleton (drawn by R. O'Neale),,81-93,,
6:34.0,R. O'Neale makes free throw 1 of 2,1,82-93,,
