time,LA Lakers,pts.away,score,pts.home,Minnesota
0:48.0,,,33-33,,T. Jones enters the game for J. Teague
0:48.0,K. Caldwell-Pope enters the game for J. Hart,,33-33,,
0:48.0,,,33-33,,N. Bjelica enters the game for T. Gibson
0:46.0,K. Kuzma makes 2-pt shot from 18 ft (assist by K. Caldwell-Pope),2,35-33,,
0:37.0,,,35-35,2,G. Dieng makes 2-pt shot at rim (assist by J. Crawford)
0:31.0,C. Brewer misses 2-pt shot from 1 ft,,35-35,,
0:30.0,Offensive rebound by I. Zubac,,35-35,,
0:30.0,I. Zubac makes 2-pt shot at rim,2,37-35,,
0:10.0,,,37-35,,Turnover by J. Crawford (bad pass)
0:04.0,I. Thomas makes 2-pt shot from 15 ft,2,39-35,,
0:00.0,,,39-35,,J. Crawford misses 3-pt shot from 31 ft
0:00.0,,,39-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,I. Thomas makes technical free throw,1,40-35,,
11:49.0,,,40-35,,J. Crawford misses 3-pt shot from 26 ft
11:49.0,Defensive rebound by K. Caldwell-Pope,,40-35,,
11:40.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,43-35,,
11:21.0,,,43-37,2,J. Butler makes 2-pt shot from 3 ft
11:10.0,I. Thomas misses 3-pt shot from 24 ft,,43-37,,
11:08.0,,,43-37,,Defensive rebound by N. Bjelica
11:03.0,Personal foul by I. Thomas (drawn by T. Jones),,43-37,,
10:55.0,,,43-37,,J. Crawford misses 3-pt shot from 24 ft
10:52.0,,,43-37,,Offensive rebound by G. Dieng
10:49.0,,,43-37,,N. Bjelica misses 3-pt shot from 22 ft
10:46.0,Defensive rebound by I. Zubac,,43-37,,
10:41.0,I. Thomas misses 2-pt shot from 2 ft (block by N. Bjelica),,43-37,,
10:40.0,Offensive rebound by I. Zubac,,43-37,,
10:40.0,I. Zubac makes 2-pt shot at rim,2,45-37,,
10:27.0,,,45-37,,G. Dieng misses 2-pt shot from 19 ft
10:27.0,Defensive rebound by I. Zubac,,45-37,,
10:18.0,,,45-37,,Personal foul by T. Jones (drawn by I. Thomas)
10:18.0,,,45-37,,K. Towns enters the game for G. Dieng
10:07.0,C. Brewer makes 2-pt shot from 1 ft (assist by I. Thomas),2,47-37,,
9:57.0,Personal foul by C. Brewer (drawn by J. Butler),,47-37,,
9:48.0,,,47-39,2,J. Crawford makes 2-pt shot from 16 ft (assist by N. Bjelica)
9:37.0,Shooting foul by K. Towns (drawn by I. Zubac),,47-39,,
9:37.0,I. Zubac makes free throw 1 of 2,1,48-39,,
9:37.0,I. Zubac misses free throw 2 of 2,,48-39,,
9:34.0,,,48-39,,Defensive rebound by K. Towns
9:22.0,,,48-39,,N. Bjelica misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by K. Caldwell-Pope,,48-39,,
9:15.0,I. Thomas misses 3-pt shot from 24 ft,,48-39,,
9:11.0,,,48-39,,Defensive rebound by K. Towns
8:59.0,,,48-42,3,T. Jones makes 3-pt shot from 22 ft (assist by N. Bjelica)
8:44.0,I. Zubac makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,50-42,,
8:31.0,,,50-42,,Turnover by K. Towns (bad pass; steal by K. Caldwell-Pope)
8:25.0,K. Caldwell-Pope makes 3-pt shot from 25 ft,3,53-42,,
8:11.0,,,53-42,,Minnesota full timeout
8:11.0,,,53-42,,J. Teague enters the game for T. Jones
8:11.0,,,53-42,,T. Gibson enters the game for N. Bjelica
8:03.0,,,53-42,,K. Towns misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by K. Kuzma,,53-42,,
7:45.0,I. Zubac makes 2-pt shot from 1 ft (assist by I. Thomas),2,55-42,,
7:32.0,,,55-42,,J. Butler misses 2-pt shot from 9 ft
7:29.0,Defensive rebound by C. Brewer,,55-42,,
7:20.0,I. Thomas misses 3-pt shot from 29 ft,,55-42,,
7:17.0,Offensive rebound by Team,,55-42,,
7:17.0,,,55-42,,A. Wiggins enters the game for J. Crawford
7:15.0,,,55-42,,Violation by J. Teague (kicked ball)
7:11.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by I. Thomas),2,57-42,,
6:56.0,,,57-42,,J. Teague misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by I. Zubac,,57-42,,
6:36.0,I. Thomas misses 2-pt shot from 2 ft (block by K. Towns),,57-42,,
6:36.0,Offensive rebound by Team,,57-42,,
6:33.0,K. Kuzma misses 3-pt shot from 23 ft,,57-42,,
6:31.0,,,57-42,,Defensive rebound by A. Wiggins
6:28.0,,,57-42,,Turnover by J. Teague (lost ball; steal by C. Brewer)
6:27.0,,,57-42,,Personal foul by T. Gibson (drawn by K. Kuzma)
6:08.0,C. Brewer misses 2-pt shot from 12 ft,,57-42,,
6:06.0,,,57-42,,Defensive rebound by K. Towns
5:55.0,Personal foul by C. Brewer (drawn by K. Towns),,57-42,,
5:55.0,B. Ingram enters the game for K. Kuzma,,57-42,,
5:55.0,J. Randle enters the game for C. Brewer,,57-42,,
5:40.0,,,57-44,2,K. Towns makes 2-pt shot from 6 ft
5:27.0,I. Thomas misses 3-pt shot from 25 ft,,57-44,,
5:24.0,,,57-44,,Defensive rebound by T. Gibson
5:14.0,,,57-46,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
4:57.0,LA Lakers full timeout,,57-46,,
4:57.0,B. Lopez enters the game for I. Zubac,,57-46,,
4:48.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,57-46,,
4:45.0,,,57-46,,Defensive rebound by T. Gibson
4:33.0,,,57-48,2,A. Wiggins makes 2-pt shot from 7 ft (assist by K. Towns)
4:27.0,,,57-48,,Personal foul by K. Towns (drawn by B. Lopez)
4:19.0,I. Thomas makes 2-pt shot from 1 ft,2,59-48,,
4:06.0,,,59-48,,K. Towns misses 2-pt shot from 2 ft
4:05.0,,,59-48,,Offensive rebound by K. Towns
4:05.0,,,59-48,,Shooting foul by B. Lopez (drawn by K. Towns)
4:05.0,,,59-49,1,K. Towns makes free throw 1 of 2
4:05.0,J. Hart enters the game for I. Thomas,,59-49,,
4:05.0,,,59-50,1,K. Towns makes free throw 2 of 2
3:45.0,J. Randle misses 2-pt shot from 6 ft (block by J. Butler),,59-50,,
3:45.0,,,59-50,,Defensive rebound by Team
3:45.0,Loose ball foul by J. Randle (drawn by J. Butler),,59-50,,
3:45.0,,,59-51,1,J. Butler makes free throw 1 of 2
3:45.0,,,59-52,1,J. Butler makes free throw 2 of 2
3:22.0,B. Ingram misses 2-pt shot from 5 ft,,59-52,,
3:20.0,,,59-52,,Defensive rebound by K. Towns
3:12.0,,,59-52,,A. Wiggins misses 3-pt shot from 23 ft
3:09.0,Defensive rebound by J. Hart,,59-52,,
3:02.0,,,59-52,,Personal foul by A. Wiggins (drawn by B. Ingram)
3:02.0,B. Ingram makes free throw 1 of 2,1,60-52,,
3:02.0,B. Ingram makes free throw 2 of 2,1,61-52,,
2:52.0,,,61-54,2,J. Teague makes 2-pt shot from 4 ft
2:52.0,,,61-54,,Shooting foul by B. Ingram (drawn by J. Teague)
2:52.0,,,61-55,1,J. Teague makes free throw 1 of 1
2:40.0,J. Hart makes 2-pt shot from 1 ft (assist by B. Ingram),2,63-55,,
2:27.0,,,63-55,,K. Towns misses 2-pt shot from 12 ft
2:25.0,Defensive rebound by J. Randle,,63-55,,
2:17.0,J. Hart misses 3-pt shot from 24 ft,,63-55,,
2:14.0,,,63-55,,Defensive rebound by T. Gibson
2:06.0,,,63-55,,Shooting foul by B. Lopez (drawn by K. Towns)
2:06.0,,,63-56,1,K. Towns makes free throw 1 of 2
2:06.0,,,63-57,1,K. Towns makes free throw 2 of 2
1:57.0,Turnover by B. Ingram (bad pass),,63-57,,
1:39.0,,,63-57,,J. Butler misses 3-pt shot from 22 ft
1:36.0,Defensive rebound by J. Randle,,63-57,,
1:24.0,B. Ingram misses 2-pt shot from 14 ft,,63-57,,
1:22.0,,,63-57,,Defensive rebound by K. Towns
1:18.0,,,63-60,3,J. Teague makes 3-pt shot from 25 ft
1:02.0,J. Randle misses 3-pt shot from 25 ft,,63-60,,
0:58.0,Offensive rebound by J. Hart,,63-60,,
0:58.0,J. Hart misses 2-pt shot from 2 ft,,63-60,,
0:58.0,,,63-60,,Defensive rebound by K. Towns
0:54.0,,,63-62,2,T. Gibson makes 2-pt shot from 2 ft (assist by K. Towns)
0:38.0,B. Lopez misses 3-pt shot from 24 ft,,63-62,,
0:37.0,Offensive rebound by K. Caldwell-Pope,,63-62,,
0:37.0,K. Caldwell-Pope makes 2-pt shot at rim,2,65-62,,
0:27.0,,,65-62,,Turnover by J. Teague (bad pass; steal by J. Randle)
0:03.0,Turnover by J. Randle (lost ball; steal by J. Butler),,65-62,,
0:00.0,,,65-62,,J. Butler misses 3-pt shot from 33 ft
0:00.0,,,65-62,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,65-64,2,T. Gibson makes 2-pt shot from 17 ft (assist by J. Butler)
11:26.0,J. Randle misses 2-pt shot from 7 ft,,65-64,,
11:23.0,,,65-64,,Defensive rebound by K. Towns
11:13.0,,,65-64,,T. Gibson misses 2-pt shot from 4 ft (block by B. Lopez)
11:10.0,,,65-64,,Offensive rebound by K. Towns
11:03.0,,,65-66,2,J. Teague makes 2-pt shot from 15 ft
10:50.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,67-66,,
10:35.0,,,67-66,,K. Towns misses 2-pt shot from 10 ft
10:32.0,Defensive rebound by J. Hart,,67-66,,
10:24.0,B. Ingram misses 2-pt shot from 17 ft,,67-66,,
10:21.0,,,67-66,,Defensive rebound by K. Towns
10:09.0,,,67-68,2,T. Gibson makes 2-pt shot from 5 ft (assist by J. Teague)
9:51.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Ingram),3,70-68,,
9:38.0,,,70-68,,A. Wiggins misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by B. Ingram,,70-68,,
9:31.0,Shooting foul by J. Butler (drawn by J. Randle),,70-68,,
9:31.0,J. Randle makes free throw 1 of 2,1,71-68,,
9:31.0,J. Randle makes free throw 2 of 2,1,72-68,,
9:20.0,,,72-68,,Shooting foul by J. Hart (drawn by J. Butler)
9:20.0,,,72-69,1,J. Butler makes free throw 1 of 2
9:20.0,,,72-70,1,J. Butler makes free throw 2 of 2
9:13.0,B. Ingram makes 2-pt shot from 2 ft,2,74-70,,
8:54.0,,,74-70,,Turnover by K. Towns (offensive goaltending)
8:43.0,J. Randle misses 2-pt shot from 7 ft,,74-70,,
8:41.0,,,74-70,,Defensive rebound by K. Towns
8:27.0,,,74-70,,Turnover by J. Teague (bad pass; steal by J. Hart)
8:23.0,J. Hart misses 2-pt shot from 2 ft (block by K. Towns),,74-70,,
8:18.0,Offensive rebound by B. Ingram,,74-70,,
8:18.0,B. Ingram makes 2-pt shot from 2 ft,2,76-70,,
8:08.0,,,76-70,,T. Gibson misses 2-pt shot from 4 ft
8:08.0,Defensive rebound by K. Caldwell-Pope,,76-70,,
8:01.0,J. Hart misses 3-pt shot from 26 ft,,76-70,,
7:58.0,,,76-70,,Defensive rebound by T. Gibson
7:49.0,,,76-72,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
7:36.0,Shooting foul by J. Teague (drawn by J. Randle),,76-72,,
7:36.0,J. Randle makes free throw 1 of 2,1,77-72,,
7:36.0,J. Randle makes free throw 2 of 2,1,78-72,,
7:24.0,,,78-74,2,J. Butler makes 2-pt shot from 15 ft
7:07.0,Turnover by K. Caldwell-Pope (bad pass),,78-74,,
6:52.0,,,78-74,,T. Gibson misses 2-pt shot from 1 ft (block by J. Randle)
6:49.0,Defensive rebound by J. Randle,,78-74,,
6:42.0,,,78-74,,Minnesota full timeout
6:40.0,J. Hart misses 2-pt shot from 2 ft (block by T. Gibson),,78-74,,
6:38.0,Offensive rebound by J. Randle,,78-74,,
6:37.0,J. Randle makes 2-pt shot from 2 ft,2,80-74,,
6:37.0,Shooting foul by T. Gibson (drawn by J. Randle),,80-74,,
6:37.0,J. Randle makes free throw 1 of 1,1,81-74,,
6:15.0,,,81-74,,J. Teague misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by K. Caldwell-Pope,,81-74,,
6:14.0,,,81-74,,Personal foul by T. Gibson (drawn by K. Caldwell-Pope)
6:01.0,B. Lopez misses 3-pt shot from 23 ft,,81-74,,
5:58.0,,,81-74,,Defensive rebound by T. Gibson
5:50.0,,,81-74,,A. Wiggins misses 2-pt shot from 15 ft
5:49.0,Defensive rebound by Team,,81-74,,
5:49.0,,,81-74,,Loose ball foul by K. Towns (drawn by J. Randle)
5:49.0,J. Randle misses free throw 1 of 2,,81-74,,
5:49.0,Offensive rebound by Team,,81-74,,
5:49.0,J. Randle makes free throw 2 of 2,1,82-74,,
5:37.0,,,82-74,,K. Towns misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by K. Caldwell-Pope,,82-74,,
5:24.0,J. Hart makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,84-74,,
5:06.0,,,84-74,,Shooting foul by J. Randle (drawn by K. Towns)
5:06.0,,,84-75,1,K. Towns makes free throw 1 of 2
5:06.0,,,84-76,1,K. Towns makes free throw 2 of 2
4:46.0,J. Randle makes 2-pt shot from 1 ft,2,86-76,,
4:27.0,,,86-76,,Offensive foul by K. Towns (drawn by B. Lopez)
4:27.0,,,86-76,,Turnover by K. Towns (offensive foul)
4:27.0,,,86-76,,G. Dieng enters the game for K. Towns
4:03.0,B. Ingram misses 3-pt shot from 25 ft,,86-76,,
4:03.0,,,86-76,,Defensive rebound by Team
4:03.0,Loose ball foul by B. Lopez (drawn by T. Gibson),,86-76,,
3:41.0,,,86-76,,J. Butler misses 2-pt shot from 9 ft
3:39.0,,,86-76,,Offensive rebound by J. Butler
3:35.0,,,86-76,,G. Dieng misses 2-pt shot from 5 ft
3:31.0,Defensive rebound by B. Lopez,,86-76,,
3:28.0,J. Hart makes 2-pt shot from 1 ft (assist by J. Randle),2,88-76,,
3:27.0,,,88-76,,Minnesota full timeout
3:27.0,K. Kuzma enters the game for J. Randle,,88-76,,
3:16.0,,,88-76,,A. Wiggins misses 2-pt shot from 5 ft
3:14.0,Defensive rebound by K. Caldwell-Pope,,88-76,,
3:07.0,J. Hart misses 3-pt shot from 24 ft,,88-76,,
3:05.0,,,88-76,,Defensive rebound by J. Teague
2:47.0,,,88-76,,J. Butler misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by K. Caldwell-Pope,,88-76,,
2:24.0,K. Kuzma misses 3-pt shot from 22 ft,,88-76,,
2:22.0,,,88-76,,Defensive rebound by Team
2:22.0,I. Thomas enters the game for B. Ingram,,88-76,,
2:12.0,,,88-76,,T. Gibson misses 2-pt shot from 2 ft
2:09.0,,,88-76,,Offensive rebound by T. Gibson
2:09.0,,,88-78,2,T. Gibson makes 2-pt shot at rim
1:58.0,Turnover by I. Thomas (step out of bounds),,88-78,,
1:58.0,,,88-78,,T. Jones enters the game for J. Teague
1:58.0,,,88-78,,J. Crawford enters the game for J. Butler
1:58.0,I. Zubac enters the game for B. Lopez,,88-78,,
1:43.0,,,88-78,,A. Wiggins misses 2-pt shot from 9 ft
1:40.0,,,88-78,,Offensive rebound by A. Wiggins
1:40.0,,,88-78,,A. Wiggins misses 2-pt shot at rim
1:39.0,Defensive rebound by I. Zubac,,88-78,,
1:35.0,Turnover by K. Kuzma (lost ball; steal by G. Dieng),,88-78,,
1:23.0,,,88-78,,T. Jones misses 3-pt shot from 25 ft
1:20.0,,,88-78,,Offensive rebound by T. Gibson
1:18.0,,,88-80,2,T. Gibson makes 2-pt shot from 2 ft
1:01.0,K. Kuzma misses 3-pt shot from 22 ft,,88-80,,
0:59.0,,,88-80,,Defensive rebound by A. Wiggins
0:46.0,,,88-82,2,J. Crawford makes 2-pt shot from 17 ft
0:46.0,LA Lakers full timeout,,88-82,,
0:46.0,C. Brewer enters the game for J. Hart,,88-82,,
0:31.0,I. Thomas misses 2-pt shot from 2 ft,,88-82,,
0:29.0,Offensive rebound by C. Brewer,,88-82,,
0:29.0,C. Brewer makes 2-pt shot at rim,2,90-82,,
0:16.0,,,90-84,2,J. Crawford makes 2-pt shot from 16 ft (assist by T. Jones)
0:01.0,Shooting foul by G. Dieng (drawn by I. Zubac),,90-84,,
0:01.0,I. Zubac makes free throw 1 of 2,1,91-84,,
0:01.0,,,91-84,,K. Towns enters the game for G. Dieng
0:01.0,I. Zubac misses free throw 2 of 2,,91-84,,
0:00.0,,,91-84,,Defensive rebound by K. Towns
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Turnover by I. Thomas (lost ball; steal by T. Jones),,91-84,,
11:37.0,,,91-87,3,J. Crawford makes 3-pt shot from 22 ft (assist by N. Bjelica)
11:24.0,I. Thomas misses 2-pt shot from 3 ft,,91-87,,
11:24.0,Offensive rebound by Team,,91-87,,
11:24.0,,,91-87,,Loose ball foul by T. Jones (drawn by I. Zubac)
11:13.0,C. Brewer misses 2-pt shot from 4 ft (block by G. Dieng),,91-87,,
11:11.0,,,91-87,,Defensive rebound by A. Wiggins
11:05.0,,,91-87,,G. Dieng misses 2-pt shot from 2 ft (block by I. Thomas)
11:05.0,Defensive rebound by I. Thomas,,91-87,,
11:05.0,,,91-87,,Personal foul by G. Dieng (drawn by I. Thomas)
10:55.0,K. Kuzma misses 3-pt shot from 25 ft,,91-87,,
10:53.0,,,91-87,,Defensive rebound by G. Dieng
10:41.0,,,91-87,,A. Wiggins misses 2-pt shot from 8 ft
10:39.0,Defensive rebound by I. Zubac,,91-87,,
10:35.0,Shooting foul by N. Bjelica (drawn by B. Ingram),,91-87,,
10:35.0,B. Ingram makes free throw 1 of 2,1,92-87,,
10:35.0,,,92-87,,J. Butler enters the game for A. Wiggins
10:35.0,B. Ingram makes free throw 2 of 2,1,93-87,,
10:17.0,Technical foul by C. Brewer (drawn by J. Crawford),,93-87,,
10:17.0,,,93-88,1,J. Crawford makes free throw 1 of 1
10:15.0,,,93-91,3,T. Jones makes 3-pt shot from 31 ft (assist by J. Butler)
9:50.0,B. Ingram misses 2-pt shot from 5 ft,,93-91,,
9:50.0,Offensive rebound by Team,,93-91,,
9:49.0,I. Zubac makes 2-pt shot from 15 ft (assist by C. Brewer),2,95-91,,
9:35.0,,,95-94,3,J. Crawford makes 3-pt shot from 25 ft
9:29.0,,,95-94,,Personal foul by N. Bjelica (drawn by I. Thomas)
9:20.0,K. Kuzma misses 2-pt shot from 3 ft,,95-94,,
9:19.0,,,95-94,,Defensive rebound by G. Dieng
9:14.0,,,95-94,,J. Crawford misses 3-pt shot from 26 ft
9:11.0,,,95-94,,Offensive rebound by T. Jones
9:07.0,,,95-94,,J. Butler misses 2-pt shot from 2 ft
9:07.0,,,95-94,,Offensive rebound by N. Bjelica
9:05.0,,,95-94,,N. Bjelica misses 2-pt shot from 2 ft (block by K. Kuzma)
9:05.0,Defensive rebound by I. Zubac,,95-94,,
8:53.0,I. Thomas makes 2-pt shot at rim,2,97-94,,
8:47.0,,,97-96,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Crawford)
8:47.0,LA Lakers full timeout,,97-96,,
8:47.0,K. Caldwell-Pope enters the game for K. Kuzma,,97-96,,
8:47.0,J. Hart enters the game for C. Brewer,,97-96,,
8:47.0,J. Randle enters the game for B. Ingram,,97-96,,
8:37.0,Offensive foul by I. Zubac (drawn by T. Jones),,97-96,,
8:37.0,Turnover by I. Zubac (offensive foul),,97-96,,
8:19.0,,,97-98,2,G. Dieng makes 2-pt shot from 14 ft (assist by T. Jones)
8:00.0,I. Zubac makes 2-pt shot from 1 ft (assist by J. Randle),2,99-98,,
7:41.0,,,99-98,,J. Crawford misses 2-pt shot from 15 ft
7:39.0,Defensive rebound by K. Caldwell-Pope,,99-98,,
7:32.0,Turnover by I. Thomas (bad pass),,99-98,,
7:32.0,,,99-98,,T. Gibson enters the game for N. Bjelica
7:11.0,,,99-98,,G. Dieng misses 2-pt shot from 15 ft
7:07.0,Defensive rebound by K. Caldwell-Pope,,99-98,,
6:58.0,Turnover by I. Thomas (bad pass; steal by T. Jones),,99-98,,
6:58.0,Personal foul by I. Thomas (drawn by J. Butler),,99-98,,
6:45.0,,,99-98,,J. Butler misses 3-pt shot from 23 ft
6:41.0,,,99-98,,Offensive rebound by G. Dieng
6:40.0,,,99-100,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Crawford)
6:18.0,Shooting foul by T. Gibson (drawn by K. Caldwell-Pope),,99-100,,
6:18.0,K. Caldwell-Pope makes free throw 1 of 3,1,100-100,,
6:18.0,K. Caldwell-Pope misses free throw 2 of 3,,100-100,,
6:18.0,Offensive rebound by Team,,100-100,,
6:18.0,,,100-100,,K. Towns enters the game for G. Dieng
6:18.0,B. Ingram enters the game for I. Thomas,,100-100,,
6:18.0,K. Caldwell-Pope makes free throw 3 of 3,1,101-100,,
6:00.0,,,101-102,2,J. Butler makes 2-pt shot from 19 ft
5:37.0,J. Randle makes 2-pt shot from 3 ft (assist by B. Ingram),2,103-102,,
5:25.0,,,103-102,,Shooting foul by J. Hart (drawn by J. Butler)
5:25.0,,,103-103,1,J. Butler makes free throw 1 of 3
5:25.0,,,103-104,1,J. Butler makes free throw 2 of 3
