time,Boston,pts.away,score,pts.home,New York
4:09.0,,,43-44,,Shooting foul by T. Rozier (drawn by E. Kanter)
4:09.0,M. Smart enters the game for T. Rozier,,43-44,,
4:09.0,M. Morris enters the game for D. Theis,,43-44,,
4:09.0,,,43-45,1,E. Kanter makes free throw 1 of 1
4:02.0,K. Irving makes 3-pt shot from 26 ft,3,46-45,,
3:41.0,,,46-45,,C. Lee misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by K. Irving,,46-45,,
3:34.0,K. Irving misses 3-pt shot from 26 ft,,46-45,,
3:31.0,Offensive rebound by A. Horford,,46-45,,
3:28.0,M. Smart makes 2-pt shot at rim (assist by M. Morris),2,48-45,,
3:28.0,,,48-45,,New York full timeout
3:15.0,,,48-47,2,T. Hardaway makes 2-pt shot from 20 ft
3:00.0,A. Horford misses 2-pt shot from 6 ft,,48-47,,
2:57.0,,,48-47,,Defensive rebound by M. Beasley
2:52.0,Personal foul by M. Smart (drawn by E. Mudiay),,48-47,,
2:52.0,,,48-48,1,E. Mudiay makes free throw 1 of 2
2:52.0,,,48-49,1,E. Mudiay makes free throw 2 of 2
2:41.0,Turnover by K. Irving (bad pass; steal by T. Hardaway),,48-49,,
2:32.0,,,48-49,,M. Beasley misses 2-pt shot from 22 ft
2:29.0,Defensive rebound by K. Irving,,48-49,,
2:19.0,K. Irving makes 2-pt shot from 14 ft,2,50-49,,
2:03.0,,,50-49,,E. Mudiay misses 2-pt shot from 14 ft
2:00.0,Defensive rebound by Team,,50-49,,
2:00.0,,,50-49,,T. Burke enters the game for C. Lee
2:00.0,,,50-49,,L. Thomas enters the game for M. Beasley
1:41.0,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart),3,53-49,,
1:27.0,,,53-51,2,T. Hardaway makes 2-pt shot from 19 ft (assist by T. Burke)
1:09.0,K. Irving makes 2-pt shot from 16 ft,2,55-51,,
1:02.0,,,55-51,,Turnover by E. Mudiay (bad pass; steal by M. Smart)
1:00.0,M. Smart makes 2-pt shot at rim,2,57-51,,
0:52.0,,,57-54,3,T. Hardaway makes 3-pt shot from 27 ft (assist by E. Mudiay)
0:40.0,K. Irving misses 3-pt shot from 25 ft,,57-54,,
0:40.0,,,57-54,,Defensive rebound by L. Thomas
0:27.0,,,57-54,,T. Hardaway misses 3-pt shot from 24 ft
0:24.0,Defensive rebound by M. Morris,,57-54,,
0:10.0,,,57-54,,Personal foul by L. Thomas (drawn by M. Morris)
0:10.0,M. Morris makes free throw 1 of 2,1,58-54,,
0:10.0,D. Theis enters the game for K. Irving,,58-54,,
0:10.0,S. Ojeleye enters the game for A. Horford,,58-54,,
0:10.0,M. Morris makes free throw 2 of 2,1,59-54,,
0:04.0,,,59-56,2,E. Mudiay makes 2-pt shot from 1 ft
0:00.0,M. Morris misses 3-pt shot from 33 ft,,59-56,,
0:00.0,Offensive rebound by Team,,59-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,59-56,,M. Beasley misses 2-pt shot from 23 ft
11:36.0,Defensive rebound by K. Irving,,59-56,,
11:32.0,Shooting foul by M. Beasley (drawn by K. Irving),,59-56,,
11:32.0,K. Irving misses free throw 1 of 2,,59-56,,
11:32.0,Offensive rebound by Team,,59-56,,
11:32.0,K. Irving makes free throw 2 of 2,1,60-56,,
11:14.0,,,60-58,2,E. Kanter makes 2-pt shot from 1 ft
10:55.0,J. Tatum misses 2-pt shot from 14 ft,,60-58,,
10:53.0,,,60-58,,Defensive rebound by E. Mudiay
10:49.0,,,60-61,3,T. Hardaway makes 3-pt shot from 26 ft (assist by E. Mudiay)
10:48.0,Boston full timeout,,60-61,,
10:32.0,J. Brown misses 2-pt shot from 1 ft,,60-61,,
10:30.0,,,60-61,,Defensive rebound by E. Kanter
10:24.0,,,60-61,,E. Kanter misses 2-pt shot at rim (block by D. Theis)
10:21.0,,,60-61,,Offensive rebound by E. Kanter
10:21.0,,,60-61,,E. Kanter misses 2-pt shot from 1 ft
10:21.0,,,60-61,,Offensive rebound by E. Kanter
10:17.0,,,60-61,,E. Kanter misses 2-pt shot at rim
10:17.0,Defensive rebound by A. Horford,,60-61,,
10:05.0,D. Theis makes 2-pt shot from 19 ft (assist by J. Brown),2,62-61,,
9:52.0,,,62-61,,Offensive foul by T. Hardaway (drawn by J. Brown)
9:52.0,,,62-61,,Turnover by T. Hardaway (offensive foul)
9:38.0,J. Brown makes 2-pt shot from 2 ft (assist by K. Irving),2,64-61,,
9:25.0,,,64-61,,E. Mudiay misses 2-pt shot from 21 ft
9:25.0,Defensive rebound by K. Irving,,64-61,,
9:20.0,,,64-61,,Personal foul by E. Mudiay (drawn by D. Theis)
9:14.0,A. Horford makes 3-pt shot from 25 ft (assist by K. Irving),3,67-61,,
8:57.0,,,67-61,,M. Beasley misses 2-pt shot from 13 ft
8:55.0,Defensive rebound by J. Tatum,,67-61,,
8:54.0,,,67-61,,Personal foul by M. Beasley (drawn by A. Horford)
8:42.0,Turnover by J. Tatum (bad pass; steal by C. Lee),,67-61,,
8:37.0,,,67-63,2,T. Hardaway makes 2-pt shot from 1 ft
8:23.0,K. Irving makes 3-pt shot from 25 ft,3,70-63,,
8:04.0,,,70-63,,T. Hardaway misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by D. Theis,,70-63,,
7:56.0,J. Brown misses 3-pt shot from 26 ft,,70-63,,
7:56.0,,,70-63,,Defensive rebound by E. Mudiay
7:39.0,,,70-66,3,M. Beasley makes 3-pt shot from 26 ft (assist by T. Hardaway)
7:24.0,A. Horford misses 3-pt shot from 25 ft,,70-66,,
7:22.0,,,70-66,,Defensive rebound by C. Lee
7:14.0,,,70-66,,C. Lee misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by D. Theis,,70-66,,
6:58.0,D. Theis misses 2-pt shot from 12 ft,,70-66,,
6:54.0,,,70-66,,Defensive rebound by E. Kanter
6:45.0,,,70-66,,E. Mudiay misses 3-pt shot from 22 ft
6:42.0,Defensive rebound by D. Theis,,70-66,,
6:37.0,A. Horford misses 2-pt shot from 1 ft,,70-66,,
6:37.0,,,70-66,,Defensive rebound by E. Mudiay
6:34.0,,,70-66,,Turnover by E. Mudiay (bad pass; steal by J. Tatum)
6:31.0,J. Tatum misses 2-pt shot from 1 ft,,70-66,,
6:31.0,,,70-66,,Defensive rebound by Team
6:31.0,M. Morris enters the game for J. Brown,,70-66,,
6:31.0,M. Smart enters the game for D. Theis,,70-66,,
6:17.0,,,70-68,2,E. Mudiay makes 2-pt shot at rim (assist by C. Lee)
6:17.0,,,70-68,,Shooting foul by J. Tatum (drawn by E. Mudiay)
6:17.0,,,70-69,1,E. Mudiay makes free throw 1 of 1
6:01.0,K. Irving makes 3-pt shot from 26 ft (assist by J. Tatum),3,73-69,,
5:50.0,,,73-69,,Turnover by E. Mudiay (bad pass; steal by K. Irving)
5:46.0,K. Irving makes 2-pt shot from 12 ft,2,75-69,,
5:44.0,,,75-69,,New York full timeout
5:44.0,,,75-69,,K. O'Quinn enters the game for E. Kanter
5:44.0,,,75-69,,F. Ntilikina enters the game for C. Lee
5:31.0,,,75-69,,Shooting foul by M. Morris (drawn by M. Beasley)
5:31.0,,,75-70,1,M. Beasley makes free throw 1 of 2
5:31.0,,,75-71,1,M. Beasley makes free throw 2 of 2
5:16.0,K. Irving makes 3-pt shot from 25 ft (assist by M. Smart),3,78-71,,
4:59.0,,,78-71,,T. Hardaway misses 2-pt shot from 21 ft
4:55.0,,,78-71,,Offensive rebound by F. Ntilikina
4:47.0,,,78-71,,E. Mudiay misses 2-pt shot from 12 ft
4:43.0,Defensive rebound by K. Irving,,78-71,,
4:40.0,K. Irving makes 3-pt shot from 24 ft,3,81-71,,
4:14.0,,,81-73,2,M. Beasley makes 2-pt shot from 8 ft (assist by E. Mudiay)
3:51.0,K. Irving misses 2-pt shot from 18 ft,,81-73,,
3:48.0,,,81-73,,Defensive rebound by M. Beasley
3:32.0,,,81-73,,Turnover by E. Mudiay (bad pass; steal by K. Irving)
3:27.0,J. Tatum makes 2-pt shot from 1 ft (assist by K. Irving),2,83-73,,
3:00.0,,,83-73,,E. Mudiay misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by K. Irving,,83-73,,
2:52.0,A. Horford misses 3-pt shot from 25 ft,,83-73,,
2:50.0,,,83-73,,Defensive rebound by M. Beasley
2:34.0,,,83-73,,F. Ntilikina misses 2-pt shot from 22 ft
2:29.0,,,83-73,,Offensive rebound by K. O'Quinn
2:29.0,,,83-75,2,K. O'Quinn makes 2-pt shot at rim
2:15.0,M. Morris misses 3-pt shot from 25 ft,,83-75,,
2:11.0,,,83-75,,Defensive rebound by K. O'Quinn
1:59.0,,,83-75,,Turnover by T. Hardaway (bad pass; steal by J. Tatum)
1:45.0,Turnover by A. Horford (bad pass; steal by E. Mudiay),,83-75,,
1:41.0,,,83-75,,T. Hardaway misses 2-pt shot at rim (block by A. Horford)
1:36.0,,,83-75,,Offensive rebound by F. Ntilikina
1:31.0,,,83-75,,Loose ball foul by K. O'Quinn (drawn by M. Smart)
1:31.0,,,83-75,,T. Burke enters the game for E. Mudiay
1:31.0,,,83-75,,L. Thomas enters the game for M. Beasley
1:31.0,S. Larkin enters the game for J. Tatum,,83-75,,
1:31.0,,,83-77,2,E. Mudiay makes 2-pt shot from 15 ft
1:31.0,T. Rozier enters the game for K. Irving,,83-77,,
1:18.0,,,83-77,,Personal foul by T. Burke (drawn by T. Rozier)
1:18.0,T. Rozier makes free throw 1 of 2,1,85-77,,
1:18.0,T. Rozier makes free throw 2 of 2,1,85-77,,
1:04.0,Personal foul by M. Morris (drawn by T. Burke),,85-77,,
1:04.0,,,85-78,1,T. Burke makes free throw 1 of 2
1:04.0,,,85-79,1,T. Burke makes free throw 2 of 2
1:04.0,G. Monroe enters the game for A. Horford,,85-79,,
0:47.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Smart),3,88-79,,
0:30.0,,,88-79,,T. Burke misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by G. Monroe,,88-79,,
0:21.0,G. Monroe misses 2-pt shot from 7 ft,,88-79,,
0:19.0,,,88-79,,Defensive rebound by K. O'Quinn
0:01.0,,,88-79,,T. Hardaway misses 2-pt shot from 15 ft
0:01.0,,,88-79,,Offensive rebound by F. Ntilikina
0:00.0,,,88-81,2,F. Ntilikina makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Shooting foul by F. Ntilikina (drawn by T. Rozier),,88-81,,
11:45.0,T. Rozier makes free throw 1 of 2,1,89-81,,
11:45.0,T. Rozier makes free throw 2 of 2,1,90-81,,
11:29.0,,,90-81,,T. Williams misses 3-pt shot from 25 ft
11:29.0,Defensive rebound by Team,,90-81,,
11:11.0,G. Monroe misses 2-pt shot from 1 ft,,90-81,,
11:08.0,Offensive rebound by T. Rozier,,90-81,,
11:06.0,S. Larkin misses 3-pt shot from 25 ft,,90-81,,
11:06.0,,,90-81,,Defensive rebound by T. Williams
10:56.0,,,90-83,2,L. Thomas makes 2-pt shot from 18 ft
10:38.0,Shooting foul by K. O'Quinn (drawn by G. Monroe),,90-83,,
10:38.0,G. Monroe makes free throw 1 of 2,1,91-83,,
10:38.0,G. Monroe makes free throw 2 of 2,1,92-83,,
10:24.0,,,92-83,,F. Ntilikina misses 2-pt shot from 16 ft
10:24.0,,,92-83,,Offensive rebound by Team
10:24.0,Loose ball foul by G. Monroe (drawn by K. O'Quinn),,92-83,,
10:17.0,,,92-86,3,T. Burke makes 3-pt shot from 26 ft
10:04.0,Turnover by S. Larkin (bad pass; steal by T. Williams),,92-86,,
10:01.0,,,92-86,,Shooting foul by M. Smart (drawn by T. Williams)
10:01.0,,,92-87,1,T. Williams makes free throw 1 of 2
10:01.0,,,92-88,1,T. Williams makes free throw 2 of 2
9:43.0,M. Morris misses 2-pt shot from 2 ft (block by K. O'Quinn),,92-88,,
9:40.0,,,92-88,,Defensive rebound by F. Ntilikina
9:39.0,,,92-88,,Turnover by F. Ntilikina (bad pass; steal by S. Larkin)
9:26.0,G. Monroe makes 2-pt shot from 1 ft,2,94-88,,
9:07.0,,,94-90,2,T. Williams makes 2-pt shot from 1 ft (assist by T. Burke)
8:52.0,,,94-90,,Personal foul by F. Ntilikina (drawn by M. Smart)
8:44.0,Turnover by M. Smart (bad pass; steal by F. Ntilikina),,94-90,,
8:38.0,,,94-92,2,T. Burke makes 2-pt shot from 1 ft
8:38.0,Boston full timeout,,94-92,,
8:38.0,J. Brown enters the game for M. Smart,,94-92,,
8:34.0,Turnover by G. Monroe (bad pass; steal by T. Burke),,94-92,,
8:19.0,,,94-92,,Turnover by K. O'Quinn (bad pass; steal by M. Morris)
8:14.0,T. Rozier misses 3-pt shot from 26 ft,,94-92,,
8:14.0,Offensive rebound by G. Monroe,,94-92,,
8:14.0,K. Irving enters the game for S. Larkin,,94-92,,
7:59.0,J. Brown makes 2-pt shot from 8 ft (assist by T. Rozier),2,96-92,,
7:43.0,,,96-94,2,T. Burke makes 2-pt shot from 22 ft
7:20.0,G. Monroe misses 2-pt shot from 1 ft,,96-94,,
7:20.0,Offensive rebound by M. Morris,,96-94,,
7:08.0,K. Irving makes 3-pt shot from 25 ft,3,99-94,,
6:53.0,,,99-94,,T. Burke misses 2-pt shot from 16 ft
6:52.0,,,99-94,,Offensive rebound by K. O'Quinn
6:52.0,Personal foul by T. Rozier (drawn by K. O'Quinn),,99-94,,
6:52.0,,,99-94,,E. Kanter enters the game for K. O'Quinn
6:52.0,A. Horford enters the game for G. Monroe,,99-94,,
6:45.0,,,99-94,,T. Burke misses 2-pt shot from 20 ft
6:41.0,,,99-94,,Offensive rebound by T. Williams
6:41.0,,,99-96,2,T. Williams makes 2-pt shot at rim
6:25.0,Shooting foul by T. Williams (drawn by J. Brown),,99-96,,
6:25.0,J. Brown makes free throw 1 of 2,1,100-96,,
6:25.0,J. Brown makes free throw 2 of 2,1,101-96,,
6:01.0,,,101-96,,T. Williams misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by K. Irving,,101-96,,
