time,Milwaukee,pts.away,score,pts.home,Portland
3:25.0,,,48-38,,D. Lillard misses 3-pt shot from 24 ft
3:23.0,,,48-38,,Offensive rebound by D. Lillard
3:23.0,,,48-38,,Turnover by D. Lillard (step out of bounds)
3:23.0,T. Snell enters the game for M. Brogdon,,48-38,,
3:23.0,K. Middleton enters the game for D. Liggins,,48-38,,
3:23.0,,,48-38,,P. Connaughton enters the game for E. Turner
3:13.0,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton),2,50-38,,
2:54.0,,,50-38,,D. Lillard misses 2-pt shot from 1 ft
2:53.0,Defensive rebound by G. Antetokounmpo,,50-38,,
2:48.0,E. Bledsoe makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,52-38,,
2:47.0,,,52-38,,Portland full timeout
2:32.0,,,52-38,,C. McCollum misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by T. Snell,,52-38,,
2:18.0,Turnover by K. Middleton (bad pass; steal by J. Nurkic),,52-38,,
2:08.0,,,52-41,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
1:52.0,E. Bledsoe makes 2-pt shot from 15 ft,2,54-41,,
1:34.0,,,54-43,2,N. Vonleh makes 2-pt shot at rim
1:21.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,56-43,,
1:11.0,,,56-45,2,C. McCollum makes 2-pt shot from 1 ft
0:57.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,58-45,,
0:40.0,,,58-45,,C. McCollum misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by K. Middleton,,58-45,,
0:32.0,K. Middleton misses 2-pt shot from 7 ft (block by C. McCollum),,58-45,,
0:29.0,,,58-45,,Defensive rebound by C. McCollum
0:27.0,,,58-45,,C. McCollum misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
0:24.0,Defensive rebound by K. Middleton,,58-45,,
0:03.0,E. Bledsoe makes 2-pt shot from 5 ft,2,60-45,,
0:00.0,,,60-45,,D. Lillard misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
0:00.0,,,60-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,60-45,,Turnover by J. Nurkic (lost ball; steal by G. Antetokounmpo)
11:43.0,,,60-45,,Personal foul by C. McCollum (drawn by G. Antetokounmpo)
11:34.0,J. Henson makes 2-pt shot from 9 ft (assist by K. Middleton),2,62-45,,
11:19.0,,,62-45,,P. Connaughton misses 3-pt shot from 27 ft
11:16.0,,,62-45,,Offensive rebound by P. Connaughton
11:07.0,,,62-47,2,P. Connaughton makes 2-pt shot from 15 ft (assist by D. Lillard)
10:48.0,E. Bledsoe misses 2-pt shot from 10 ft,,62-47,,
10:45.0,,,62-47,,Defensive rebound by D. Lillard
10:42.0,,,62-47,,P. Connaughton misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by G. Antetokounmpo,,62-47,,
10:34.0,E. Bledsoe misses 3-pt shot from 23 ft,,62-47,,
10:34.0,Offensive rebound by Team,,62-47,,
10:31.0,,,62-47,,Personal foul by N. Vonleh (drawn by T. Snell)
10:24.0,T. Snell misses 2-pt shot from 1 ft,,62-47,,
10:20.0,,,62-47,,Defensive rebound by C. McCollum
10:18.0,,,62-49,2,P. Connaughton makes 2-pt shot from 1 ft (assist by J. Nurkic)
10:05.0,,,62-49,,Shooting block foul by N. Vonleh (drawn by G. Antetokounmpo)
10:05.0,G. Antetokounmpo makes free throw 1 of 2,1,63-49,,
10:05.0,G. Antetokounmpo makes free throw 2 of 2,1,64-49,,
9:55.0,,,64-49,,Turnover by D. Lillard (bad pass; steal by J. Henson)
9:55.0,,,64-49,,Personal foul by J. Nurkic (drawn by J. Henson)
9:42.0,K. Middleton makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,67-49,,
9:14.0,,,67-49,,Turnover by P. Connaughton (bad pass; steal by T. Snell)
9:13.0,Turnover by E. Bledsoe (bad pass),,67-49,,
9:04.0,,,67-49,,J. Nurkic misses 2-pt shot from 11 ft
9:01.0,Defensive rebound by J. Henson,,67-49,,
8:54.0,E. Bledsoe makes 2-pt shot from 16 ft,2,69-49,,
8:53.0,,,69-49,,Portland full timeout
8:53.0,,,69-49,,A. Aminu enters the game for N. Vonleh
8:53.0,,,69-49,,S. Napier enters the game for P. Connaughton
8:42.0,,,69-49,,Turnover by J. Nurkic (lost ball; steal by E. Bledsoe)
8:21.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,71-49,,
8:11.0,Personal foul by G. Antetokounmpo (drawn by J. Nurkic),,71-49,,
7:55.0,,,71-51,2,D. Lillard makes 2-pt shot from 11 ft
7:55.0,,,71-51,,Shooting foul by E. Bledsoe (drawn by D. Lillard)
7:55.0,,,71-51,,D. Lillard misses free throw 1 of 1
7:55.0,Defensive rebound by G. Antetokounmpo,,71-51,,
7:39.0,G. Antetokounmpo misses 2-pt shot from 11 ft,,71-51,,
7:37.0,,,71-51,,Defensive rebound by C. McCollum
7:31.0,,,71-53,2,C. McCollum makes 2-pt shot from 11 ft
7:12.0,G. Antetokounmpo misses 2-pt shot at rim,,71-53,,
7:06.0,,,71-53,,Defensive rebound by A. Aminu
6:59.0,,,71-55,2,C. McCollum makes 2-pt shot from 16 ft
6:58.0,Milwaukee full timeout,,71-55,,
6:38.0,K. Middleton misses 2-pt shot from 15 ft,,71-55,,
6:35.0,Offensive rebound by J. Henson,,71-55,,
6:26.0,Shooting foul by A. Aminu (drawn by G. Antetokounmpo),,71-55,,
6:26.0,G. Antetokounmpo makes free throw 1 of 2,1,72-55,,
6:26.0,G. Antetokounmpo misses free throw 2 of 2,,72-55,,
6:24.0,,,72-55,,Defensive rebound by J. Nurkic
6:11.0,,,72-55,,C. McCollum misses 3-pt shot from 27 ft
6:07.0,Defensive rebound by G. Antetokounmpo,,72-55,,
5:57.0,J. Henson makes 2-pt shot from 18 ft (assist by K. Middleton),2,74-55,,
5:42.0,,,74-55,,D. Lillard misses 3-pt shot from 30 ft
5:37.0,,,74-55,,Offensive rebound by C. McCollum
5:33.0,,,74-57,2,C. McCollum makes 2-pt shot from 15 ft
5:16.0,Offensive foul by E. Bledsoe (drawn by S. Napier),,74-57,,
5:16.0,Turnover by E. Bledsoe (offensive foul),,74-57,,
4:59.0,,,74-57,,C. McCollum misses 3-pt shot from 26 ft
4:56.0,Defensive rebound by Team,,74-57,,
4:47.0,,,74-57,,Personal foul by S. Napier (drawn by E. Bledsoe)
4:47.0,E. Bledsoe makes free throw 1 of 2,1,75-57,,
4:47.0,,,75-57,,M. Leonard enters the game for J. Nurkic
4:47.0,T. Maker enters the game for J. Henson,,75-57,,
4:47.0,E. Bledsoe makes free throw 2 of 2,1,76-57,,
4:32.0,,,76-57,,Turnover by A. Aminu (bad pass; steal by E. Bledsoe)
4:27.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,78-57,,
4:02.0,,,78-59,2,D. Lillard makes 2-pt shot from 8 ft
3:47.0,E. Bledsoe misses 3-pt shot from 24 ft,,78-59,,
3:47.0,,,78-59,,Defensive rebound by M. Leonard
3:23.0,,,78-59,,Turnover by C. McCollum (bad pass)
3:07.0,K. Middleton makes 3-pt shot from 25 ft,3,81-59,,
2:48.0,,,81-59,,Turnover by D. Lillard (lost ball; steal by G. Antetokounmpo)
2:44.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,83-59,,
2:43.0,,,83-59,,Portland full timeout
2:43.0,,,83-59,,E. Turner enters the game for C. McCollum
2:35.0,,,83-61,2,D. Lillard makes 2-pt shot from 1 ft
2:25.0,,,83-61,,Personal foul by S. Napier (drawn by E. Bledsoe)
2:25.0,E. Bledsoe makes free throw 1 of 2,1,84-61,,
2:25.0,,,84-61,,N. Vonleh enters the game for A. Aminu
2:25.0,E. Bledsoe makes free throw 2 of 2,1,85-61,,
2:16.0,Personal foul by E. Bledsoe (drawn by M. Leonard),,85-61,,
2:16.0,D. Liggins enters the game for E. Bledsoe,,85-61,,
2:09.0,,,85-61,,M. Leonard misses 3-pt shot from 26 ft
2:08.0,,,85-61,,Offensive rebound by Team
2:08.0,Loose ball foul by G. Antetokounmpo (drawn by N. Vonleh),,85-61,,
2:00.0,,,85-64,3,D. Lillard makes 3-pt shot from 26 ft (assist by S. Napier)
1:31.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,85-64,,
1:28.0,,,85-64,,Defensive rebound by N. Vonleh
1:15.0,,,85-64,,D. Lillard misses 3-pt shot from 30 ft
1:11.0,Defensive rebound by K. Middleton,,85-64,,
1:03.0,K. Middleton makes 2-pt shot from 16 ft,2,87-64,,
0:47.0,Personal foul by K. Middleton (drawn by S. Napier),,87-64,,
0:47.0,,,87-65,1,S. Napier makes free throw 1 of 2
0:47.0,,,87-65,,C. McCollum enters the game for D. Lillard
0:47.0,M. Brogdon enters the game for T. Snell,,87-65,,
0:47.0,,,87-66,1,S. Napier makes free throw 2 of 2
0:37.0,G. Antetokounmpo misses 2-pt shot from 12 ft,,87-66,,
0:34.0,,,87-66,,Defensive rebound by N. Vonleh
0:26.0,,,87-66,,S. Napier misses 2-pt shot from 12 ft
0:23.0,Defensive rebound by G. Antetokounmpo,,87-66,,
0:03.0,K. Middleton misses 3-pt shot from 25 ft,,87-66,,
0:03.0,,,87-66,,Defensive rebound by M. Leonard
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,M. Brogdon makes 2-pt shot from 12 ft,2,89-66,,
11:24.0,,,89-68,2,C. McCollum makes 2-pt shot from 1 ft
11:10.0,M. Brogdon misses 2-pt shot from 12 ft,,89-68,,
11:08.0,,,89-68,,Defensive rebound by N. Vonleh
11:01.0,Personal foul by D. Liggins (drawn by D. Lillard),,89-68,,
10:52.0,,,89-68,,M. Leonard misses 2-pt shot from 22 ft
10:52.0,Defensive rebound by Team,,89-68,,
10:31.0,D. Liggins makes 3-pt shot from 25 ft (assist by M. Brogdon),3,92-68,,
10:08.0,,,92-70,2,C. McCollum makes 2-pt shot from 19 ft
9:47.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,92-70,,
9:44.0,,,92-70,,Defensive rebound by D. Lillard
9:41.0,Personal foul by D. Liggins (drawn by D. Lillard),,92-70,,
9:41.0,,,92-70,,J. Nurkic enters the game for M. Leonard
9:34.0,,,92-72,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
9:19.0,T. Maker misses 2-pt shot from 18 ft,,92-72,,
9:16.0,,,92-72,,Defensive rebound by E. Turner
9:03.0,,,92-72,,Turnover by N. Vonleh (lost ball; steal by D. Liggins)
8:58.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,92-72,,
8:56.0,,,92-72,,Defensive rebound by E. Turner
8:54.0,,,92-72,,A. Aminu enters the game for N. Vonleh
8:52.0,,,92-72,,J. Nurkic misses 2-pt shot from 20 ft
8:50.0,Defensive rebound by Team,,92-72,,
8:37.0,D. Liggins misses 3-pt shot from 22 ft,,92-72,,
8:32.0,,,92-72,,Defensive rebound by A. Aminu
8:31.0,Personal foul by M. Brogdon (drawn by E. Turner),,92-72,,
8:23.0,,,92-74,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
8:03.0,G. Antetokounmpo misses 2-pt shot from 18 ft,,92-74,,
8:00.0,,,92-74,,Defensive rebound by J. Nurkic
7:52.0,,,92-74,,Turnover by J. Nurkic (bad pass)
7:52.0,Milwaukee full timeout,,92-74,,
7:52.0,J. Henson enters the game for T. Maker,,92-74,,
7:52.0,K. Middleton enters the game for G. Antetokounmpo,,92-74,,
7:30.0,K. Middleton misses 2-pt shot from 13 ft,,92-74,,
7:28.0,,,92-74,,Defensive rebound by E. Turner
7:19.0,,,92-74,,Shooting foul by M. Brogdon (drawn by D. Lillard)
7:19.0,,,92-75,1,D. Lillard makes free throw 1 of 2
7:19.0,,,92-76,1,D. Lillard makes free throw 2 of 2
7:01.0,Turnover by M. Brogdon (bad pass; steal by J. Nurkic),,92-76,,
6:54.0,,,92-78,2,J. Nurkic makes 2-pt shot from 2 ft
6:54.0,,,92-78,,Shooting foul by J. Henson (drawn by J. Nurkic)
6:54.0,,,92-79,1,J. Nurkic makes free throw 1 of 1
6:33.0,M. Brogdon makes 2-pt shot from 1 ft,2,94-79,,
6:20.0,,,94-79,,C. McCollum misses 2-pt shot from 15 ft
6:18.0,Defensive rebound by J. Terry,,94-79,,
6:04.0,K. Middleton misses 3-pt shot from 26 ft,,94-79,,
6:00.0,,,94-79,,Defensive rebound by C. McCollum
5:52.0,,,94-81,2,D. Lillard makes 2-pt shot from 1 ft (assist by C. McCollum)
5:22.0,K. Middleton makes 2-pt shot from 10 ft,2,96-81,,
5:09.0,,,96-81,,C. McCollum misses 3-pt shot from 23 ft
5:07.0,Defensive rebound by J. Terry,,96-81,,
4:46.0,D. Liggins misses 3-pt shot from 25 ft,,96-81,,
4:43.0,,,96-81,,Defensive rebound by E. Turner
4:29.0,,,96-81,,J. Nurkic misses 2-pt shot from 22 ft
4:25.0,Defensive rebound by K. Middleton,,96-81,,
4:04.0,Turnover by J. Henson (bad pass),,96-81,,
4:04.0,Personal foul by M. Brogdon (drawn by J. Nurkic),,96-81,,
4:04.0,,,96-82,1,J. Nurkic makes free throw 1 of 2
4:04.0,E. Bledsoe enters the game for J. Terry,,96-82,,
4:04.0,G. Antetokounmpo enters the game for M. Brogdon,,96-82,,
4:04.0,T. Snell enters the game for D. Liggins,,96-82,,
4:04.0,,,96-83,1,J. Nurkic makes free throw 2 of 2
3:51.0,Shooting foul by J. Nurkic,,96-83,,
3:51.0,,,96-83,,Technical foul by Team
3:51.0,,,96-83,,Technical foul by J. Nurkic
3:51.0,K. Middleton makes technical free throw,1,97-83,,
3:51.0,K. Middleton makes technical free throw,1,98-83,,
3:51.0,G. Antetokounmpo misses free throw 2 of 2,,98-83,,
3:51.0,,,98-83,,Defensive rebound by J. Nurkic
3:51.0,G. Antetokounmpo makes free throw 1 of 2,1,99-83,,
3:43.0,,,99-83,,D. Lillard misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by G. Antetokounmpo,,99-83,,
3:39.0,E. Bledsoe misses 2-pt shot from 18 ft,,99-83,,
3:39.0,Offensive rebound by J. Henson,,99-83,,
3:39.0,J. Henson misses 2-pt shot from 18 ft,,99-83,,
3:39.0,,,99-83,,Defensive rebound by D. Lillard
3:16.0,Personal foul by J. Henson (drawn by J. Nurkic),,99-83,,
3:16.0,Turnover by J. Henson (turnover),,99-83,,
3:16.0,,,99-84,1,J. Nurkic makes free throw 1 of 2
3:16.0,,,99-85,1,J. Nurkic makes free throw 2 of 2
3:02.0,,,99-85,,Personal foul by E. Turner (drawn by J. Henson)
3:02.0,,,99-85,,Portland full timeout
3:02.0,,,99-85,,P. Connaughton enters the game for A. Aminu
2:51.0,G. Antetokounmpo misses 2-pt shot from 3 ft (block by J. Nurkic),,99-85,,
2:47.0,,,99-85,,Defensive rebound by E. Turner
2:43.0,,,99-85,,P. Connaughton misses 3-pt shot from 23 ft
2:43.0,,,99-85,,Offensive rebound by P. Connaughton
