time,Charlotte,pts.away,score,pts.home,Chicago
6:51.0,,,10-9,,J. Holiday misses 3-pt shot from 26 ft
6:48.0,Defensive rebound by N. Batum,,10-9,,
6:42.0,M. Williams makes 2-pt shot from 7 ft (assist by N. Batum),2,12-9,,
6:19.0,,,12-9,,C. Payne misses 2-pt shot from 8 ft
6:14.0,,,12-9,,Offensive rebound by L. Markkanen
6:14.0,,,12-9,,L. Markkanen misses 2-pt shot at rim
6:13.0,Defensive rebound by M. Kidd-Gilchrist,,12-9,,
6:12.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by J. Holiday),,12-9,,
6:12.0,,,12-9,,Turnover by J. Holiday (bad pass)
6:12.0,,,12-9,,Chicago full timeout
5:54.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,12-9,,
5:49.0,Offensive rebound by M. Williams,,12-9,,
5:47.0,M. Williams misses 3-pt shot from 23 ft,,12-9,,
5:45.0,,,12-9,,Defensive rebound by C. Felicio
5:37.0,,,12-11,2,J. Holiday makes 2-pt shot from 17 ft (assist by C. Felicio)
5:12.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,15-11,,
5:01.0,,,15-11,,C. Felicio misses 2-pt shot from 6 ft (block by D. Howard)
4:58.0,,,15-11,,Offensive rebound by C. Payne
4:56.0,,,15-13,2,C. Payne makes 2-pt shot at rim
4:44.0,N. Batum misses 3-pt shot from 24 ft,,15-13,,
4:42.0,,,15-13,,Defensive rebound by L. Markkanen
4:33.0,,,15-16,3,L. Markkanen makes 3-pt shot from 25 ft (assist by C. Payne)
4:09.0,,,15-16,,S. Kilpatrick enters the game for J. Holiday
4:05.0,D. Howard misses 2-pt shot from 20 ft,,15-16,,
4:01.0,,,15-16,,Defensive rebound by L. Markkanen
3:53.0,,,15-16,,Shooting foul by M. Williams (drawn by L. Markkanen)
3:53.0,,,15-17,1,L. Markkanen makes free throw 1 of 2
3:53.0,J. Lamb enters the game for M. Williams,,15-17,,
3:53.0,F. Kaminsky enters the game for N. Batum,,15-17,,
3:53.0,,,15-18,1,L. Markkanen makes free throw 2 of 2
3:44.0,K. Walker makes 2-pt shot from 7 ft,2,17-18,,
3:26.0,,,17-18,,S. Kilpatrick misses 2-pt shot from 13 ft
3:25.0,Defensive rebound by Team,,17-18,,
3:25.0,,,17-18,,Loose ball foul by C. Felicio (drawn by D. Howard)
3:25.0,,,17-18,,B. Portis enters the game for C. Felicio
3:04.0,K. Walker makes 2-pt shot at rim (assist by J. Lamb),2,19-18,,
2:57.0,,,19-18,,Turnover by D. Nwaba (traveling)
2:57.0,Charlotte full timeout,,19-18,,
2:57.0,,,19-18,,J. Grant enters the game for D. Nwaba
2:57.0,,,19-18,,N. Vonleh enters the game for C. Payne
2:57.0,,,19-18,,R. Arcidiacono enters the game for L. Markkanen
2:57.0,M. Monk enters the game for M. Kidd-Gilchrist,,19-18,,
2:57.0,J. Stone enters the game for K. Walker,,19-18,,
2:41.0,Turnover by J. Lamb (lost ball; steal by J. Grant),,19-18,,
2:36.0,Personal foul by D. Howard (drawn by S. Kilpatrick),,19-18,,
2:24.0,,,19-18,,Turnover by B. Portis (turnover)
2:11.0,F. Kaminsky misses 3-pt shot from 22 ft,,19-18,,
2:09.0,Offensive rebound by D. Howard,,19-18,,
2:09.0,D. Howard makes 2-pt shot from 1 ft,2,21-18,,
2:09.0,Shooting foul by B. Portis (drawn by D. Howard),,21-18,,
2:09.0,D. Howard makes free throw 1 of 1,1,22-18,,
1:58.0,W. Hernangomez enters the game for D. Howard,,22-18,,
1:54.0,,,22-18,,B. Portis misses 3-pt shot from 25 ft
1:52.0,Defensive rebound by J. Stone,,22-18,,
1:48.0,Turnover by J. Stone (step out of bounds),,22-18,,
1:33.0,,,22-18,,Turnover by J. Grant (bad pass)
1:13.0,M. Monk misses 2-pt shot from 18 ft,,22-18,,
1:11.0,,,22-18,,Defensive rebound by J. Grant
1:07.0,Shooting block foul by W. Hernangomez (drawn by J. Grant),,22-18,,
1:07.0,,,22-18,,J. Grant misses free throw 1 of 2
1:07.0,,,22-18,,Offensive rebound by Team
1:07.0,,,22-19,1,J. Grant makes free throw 2 of 2
0:49.0,Turnover by W. Hernangomez (bad pass),,22-19,,
0:33.0,,,22-19,,S. Kilpatrick misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by J. Stone,,22-19,,
0:22.0,M. Monk misses 2-pt shot from 17 ft,,22-19,,
0:19.0,,,22-19,,Defensive rebound by N. Vonleh
0:00.0,,,22-19,,N. Vonleh misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by F. Kaminsky,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Lamb misses 2-pt shot from 21 ft (block by S. Kilpatrick),,22-19,,
11:42.0,,,22-19,,Defensive rebound by N. Vonleh
11:29.0,,,22-21,2,B. Portis makes 2-pt shot from 5 ft
11:12.0,W. Hernangomez makes 2-pt shot from 1 ft (assist by F. Kaminsky),2,24-21,,
11:02.0,,,24-21,,Shooting foul by J. Stone (drawn by N. Vonleh)
11:02.0,,,24-21,,N. Vonleh misses free throw 1 of 2
11:02.0,,,24-21,,Offensive rebound by Team
11:02.0,,,24-21,,N. Vonleh misses free throw 2 of 2
11:00.0,,,24-21,,Offensive rebound by R. Arcidiacono
10:58.0,,,24-24,3,J. Grant makes 3-pt shot from 26 ft (assist by R. Arcidiacono)
10:45.0,Shooting foul by J. Grant (drawn by W. Hernangomez),,24-24,,
10:45.0,W. Hernangomez makes free throw 1 of 2,1,25-24,,
10:45.0,W. Hernangomez makes free throw 2 of 2,1,26-24,,
10:40.0,,,26-24,,Shooting foul by F. Kaminsky (drawn by R. Arcidiacono)
10:40.0,,,26-25,1,R. Arcidiacono makes free throw 1 of 2
10:40.0,,,26-25,,R. Arcidiacono misses free throw 2 of 2
10:35.0,Defensive rebound by W. Hernangomez,,26-25,,
10:22.0,W. Hernangomez misses 2-pt shot from 2 ft,,26-25,,
10:19.0,Offensive rebound by W. Hernangomez,,26-25,,
10:17.0,W. Hernangomez makes 2-pt shot from 2 ft,2,28-25,,
10:06.0,,,28-25,,B. Portis misses 2-pt shot from 15 ft
10:06.0,Defensive rebound by J. Lamb,,28-25,,
9:51.0,M. Monk misses 3-pt shot from 22 ft (block by S. Kilpatrick),,28-25,,
9:51.0,Offensive rebound by Team,,28-25,,
9:45.0,J. Stone makes 3-pt shot from 24 ft (assist by W. Hernangomez),3,31-25,,
9:32.0,,,31-25,,N. Vonleh misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Stone,,31-25,,
9:21.0,F. Kaminsky misses 3-pt shot from 26 ft,,31-25,,
9:18.0,,,31-25,,Defensive rebound by N. Vonleh
9:10.0,,,31-27,2,J. Grant makes 2-pt shot from 20 ft
9:10.0,,,31-27,,Shooting foul by F. Kaminsky (drawn by J. Grant)
9:10.0,,,31-28,1,J. Grant makes free throw 1 of 1
9:02.0,Turnover by M. Monk (lost ball; steal by R. Arcidiacono),,31-28,,
8:57.0,,,31-30,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by R. Arcidiacono)
8:34.0,F. Kaminsky misses 2-pt shot from 8 ft,,31-30,,
8:31.0,,,31-30,,Defensive rebound by B. Portis
8:24.0,,,31-32,2,B. Portis makes 2-pt shot from 14 ft (assist by S. Kilpatrick)
8:14.0,,,31-32,,Personal foul by S. Kilpatrick (drawn by J. Lamb)
8:07.0,J. Stone misses 3-pt shot from 23 ft,,31-32,,
8:04.0,,,31-32,,Defensive rebound by R. Arcidiacono
8:02.0,,,31-32,,S. Kilpatrick misses 2-pt shot from 1 ft
7:56.0,,,31-32,,Offensive rebound by B. Portis
7:56.0,,,31-32,,B. Portis misses 2-pt shot at rim
7:56.0,Defensive rebound by W. Hernangomez,,31-32,,
7:50.0,Turnover by J. Lamb (bad pass; steal by R. Arcidiacono),,31-32,,
7:44.0,,,31-34,2,B. Portis makes 2-pt shot at rim (assist by S. Kilpatrick)
7:35.0,Charlotte full timeout,,31-34,,
7:35.0,,,31-34,,J. Holiday enters the game for J. Grant
7:35.0,,,31-34,,L. Markkanen enters the game for N. Vonleh
7:29.0,M. Monk makes 2-pt shot from 1 ft,2,33-34,,
7:16.0,,,33-34,,S. Kilpatrick misses 3-pt shot from 23 ft
7:13.0,Defensive rebound by M. Monk,,33-34,,
7:07.0,W. Hernangomez makes 2-pt shot at rim (assist by M. Monk),2,35-34,,
6:47.0,,,35-34,,J. Holiday misses 2-pt shot from 12 ft
6:45.0,Defensive rebound by J. Lamb,,35-34,,
6:40.0,J. Lamb makes 2-pt shot from 20 ft,2,37-34,,
6:16.0,,,37-34,,Turnover by R. Arcidiacono (lost ball; steal by W. Hernangomez)
6:10.0,W. Hernangomez misses 2-pt shot from 2 ft (block by B. Portis),,37-34,,
6:05.0,,,37-34,,Defensive rebound by B. Portis
5:55.0,,,37-37,3,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Arcidiacono)
5:39.0,J. Lamb makes 2-pt shot from 3 ft (assist by M. Monk),2,39-37,,
5:14.0,,,39-37,,J. Holiday misses 2-pt shot from 20 ft
5:13.0,Defensive rebound by W. Hernangomez,,39-37,,
5:13.0,J. Lamb misses 2-pt shot from 2 ft,,39-37,,
5:13.0,Offensive rebound by Team,,39-37,,
5:13.0,,,39-37,,C. Felicio enters the game for B. Portis
5:13.0,,,39-37,,C. Payne enters the game for R. Arcidiacono
5:13.0,M. Kidd-Gilchrist enters the game for J. Lamb,,39-37,,
5:13.0,K. Walker enters the game for J. Stone,,39-37,,
5:13.0,D. Howard enters the game for W. Hernangomez,,39-37,,
5:06.0,Turnover by M. Monk (bad pass; steal by J. Holiday),,39-37,,
5:04.0,,,39-39,2,L. Markkanen makes 2-pt shot at rim (assist by C. Payne)
5:04.0,,,39-39,,Shooting foul by M. Monk (drawn by L. Markkanen)
5:04.0,,,39-40,1,L. Markkanen makes free throw 1 of 1
4:52.0,Turnover by F. Kaminsky (bad pass),,39-40,,
4:52.0,N. Batum enters the game for M. Monk,,39-40,,
4:52.0,M. Williams enters the game for F. Kaminsky,,39-40,,
4:35.0,,,39-40,,C. Payne misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by N. Batum,,39-40,,
4:23.0,D. Howard makes 2-pt shot from 5 ft (assist by M. Kidd-Gilchrist),2,41-40,,
4:04.0,,,41-40,,J. Holiday misses 3-pt shot from 24 ft
4:02.0,Defensive rebound by D. Howard,,41-40,,
3:58.0,Shooting foul by S. Kilpatrick (drawn by N. Batum),,41-40,,
3:58.0,N. Batum makes free throw 1 of 2,1,42-40,,
3:58.0,,,42-40,,D. Nwaba enters the game for J. Holiday
3:58.0,N. Batum makes free throw 2 of 2,1,43-40,,
3:36.0,,,43-40,,J. Grant enters the game for S. Kilpatrick
3:34.0,,,43-40,,J. Grant misses 2-pt shot from 16 ft
3:34.0,,,43-40,,Offensive rebound by Team
3:34.0,,,43-40,,Turnover by Team (shot clock)
3:21.0,Shooting foul by C. Felicio (drawn by D. Howard),,43-40,,
3:21.0,D. Howard misses free throw 1 of 2,,43-40,,
3:21.0,Offensive rebound by Team,,43-40,,
3:21.0,D. Howard misses free throw 2 of 2,,43-40,,
3:17.0,,,43-40,,Defensive rebound by L. Markkanen
3:05.0,,,43-40,,J. Grant misses 3-pt shot from 25 ft
2:58.0,Jump ball: C. Felicio vs. D. Howard (J. Grant gains possession),,,,Jump ball: C. Felicio vs. D. Howard (J. Grant gains possession)
2:58.0,,,43-40,,Offensive rebound by Team
2:44.0,,,43-40,,L. Markkanen misses 2-pt shot from 20 ft (block by M. Williams)
2:41.0,Defensive rebound by M. Williams,,43-40,,
2:23.0,N. Batum misses 2-pt shot from 21 ft,,43-40,,
2:22.0,Offensive rebound by D. Howard,,43-40,,
2:22.0,Turnover by D. Howard (out of bounds lost ball),,43-40,,
2:22.0,,,43-40,,Chicago full timeout
2:22.0,,,43-40,,J. Holiday enters the game for J. Grant
2:12.0,,,43-42,2,L. Markkanen makes 2-pt shot from 3 ft (assist by D. Nwaba)
1:52.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,43-42,,
1:48.0,,,43-42,,Defensive rebound by C. Felicio
1:43.0,,,43-45,3,J. Holiday makes 3-pt shot from 25 ft (assist by C. Payne)
1:26.0,Turnover by K. Walker (lost ball; steal by D. Nwaba),,43-45,,
1:22.0,,,43-47,2,D. Nwaba makes 2-pt shot from 1 ft
1:12.0,,,43-47,,Personal foul by C. Felicio (drawn by D. Howard)
1:12.0,D. Howard makes free throw 1 of 2,1,44-47,,
1:12.0,,,44-47,,B. Portis enters the game for C. Felicio
1:12.0,D. Howard makes free throw 2 of 2,1,45-47,,
1:02.0,,,45-47,,L. Markkanen misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by K. Walker,,45-47,,
0:56.0,K. Walker misses 3-pt shot from 25 ft,,45-47,,
0:56.0,Offensive rebound by D. Howard,,45-47,,
0:54.0,D. Howard makes 2-pt shot at rim,2,47-47,,
0:43.0,,,47-50,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Nwaba)
0:24.0,K. Walker misses 3-pt shot from 26 ft,,47-50,,
0:24.0,,,47-50,,Defensive rebound by B. Portis
0:01.0,,,47-53,3,B. Portis makes 3-pt shot from 25 ft (assist by C. Payne)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:54.0,Shooting foul by D. Nwaba (drawn by N. Batum),,47-53,,
11:54.0,N. Batum makes free throw 1 of 2,1,48-53,,
11:54.0,N. Batum makes free throw 2 of 2,1,49-53,,
11:32.0,,,49-55,2,C. Felicio makes 2-pt shot from 14 ft
11:06.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,51-55,,
10:49.0,,,51-55,,C. Payne misses 2-pt shot from 6 ft (block by D. Howard)
10:45.0,,,51-55,,Offensive rebound by C. Payne
10:41.0,,,51-55,,C. Payne misses 3-pt shot from 26 ft
10:39.0,Defensive rebound by M. Kidd-Gilchrist,,51-55,,
10:33.0,N. Batum misses 3-pt shot from 24 ft,,51-55,,
10:29.0,Offensive rebound by M. Kidd-Gilchrist,,51-55,,
10:22.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams),2,53-55,,
10:11.0,,,53-55,,J. Holiday misses 3-pt shot from 25 ft
10:08.0,Defensive rebound by D. Howard,,53-55,,
10:03.0,Turnover by M. Kidd-Gilchrist (out of bounds lost ball),,53-55,,
9:57.0,,,53-57,2,J. Holiday makes 2-pt shot at rim (assist by C. Payne)
9:42.0,D. Howard misses 2-pt shot from 1 ft (block by L. Markkanen),,53-57,,
9:42.0,,,53-57,,Defensive rebound by J. Holiday
9:27.0,,,53-57,,J. Holiday misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by M. Williams,,53-57,,
9:18.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,53-57,,
9:15.0,,,53-57,,Defensive rebound by L. Markkanen
9:07.0,,,53-59,2,C. Payne makes 2-pt shot from 3 ft
8:55.0,,,53-59,,Personal foul by C. Felicio (drawn by K. Walker)
8:55.0,,,53-59,,B. Portis enters the game for C. Felicio
8:50.0,N. Batum misses 3-pt shot from 24 ft,,53-59,,
8:47.0,,,53-59,,Defensive rebound by L. Markkanen
8:42.0,Personal foul by M. Williams (drawn by L. Markkanen),,53-59,,
8:29.0,,,53-59,,B. Portis misses 2-pt shot from 22 ft
8:26.0,Defensive rebound by D. Howard,,53-59,,
8:22.0,N. Batum makes 2-pt shot at rim,2,55-59,,
8:22.0,Shooting foul by D. Nwaba (drawn by N. Batum),,55-59,,
8:22.0,N. Batum makes free throw 1 of 1,1,56-59,,
8:13.0,,,56-61,2,D. Nwaba makes 2-pt shot from 1 ft
7:52.0,Turnover by N. Batum (bad pass; steal by J. Holiday),,56-61,,
7:47.0,,,56-61,,L. Markkanen misses 2-pt shot from 1 ft
7:41.0,,,56-61,,Offensive rebound by B. Portis
7:41.0,,,56-63,2,B. Portis makes 2-pt shot at rim
7:26.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,59-63,,
7:14.0,,,59-66,3,L. Markkanen makes 3-pt shot from 24 ft (assist by B. Portis)
6:58.0,Shooting foul by B. Portis (drawn by D. Howard),,59-66,,
6:58.0,,,59-66,,Chicago full timeout
6:58.0,D. Howard misses free throw 1 of 2,,59-66,,
6:58.0,Offensive rebound by Team,,59-66,,
6:58.0,D. Howard makes free throw 2 of 2,1,60-66,,
6:43.0,,,60-69,3,L. Markkanen makes 3-pt shot from 25 ft (assist by C. Payne)
6:27.0,,,60-69,,Personal block foul by L. Markkanen (drawn by M. Williams)
6:27.0,M. Williams makes free throw 1 of 2,1,61-69,,
6:27.0,M. Williams makes free throw 2 of 2,1,62-69,,
6:15.0,,,62-69,,C. Payne misses 3-pt shot from 24 ft
6:12.0,,,62-69,,Offensive rebound by D. Nwaba
6:07.0,,,62-71,2,C. Payne makes 2-pt shot at rim (assist by L. Markkanen)
5:47.0,K. Walker misses 2-pt shot from 2 ft,,62-71,,
5:47.0,Offensive rebound by M. Williams,,62-71,,
5:42.0,M. Williams makes 2-pt shot at rim,2,64-71,,
5:30.0,,,64-71,,B. Portis misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by M. Williams,,64-71,,
5:16.0,,,64-71,,Personal foul by J. Holiday (drawn by D. Howard)
5:16.0,D. Howard makes free throw 1 of 2,1,65-71,,
5:16.0,D. Howard makes free throw 2 of 2,1,66-71,,
5:09.0,,,66-71,,D. Nwaba misses 2-pt shot from 1 ft
5:07.0,Defensive rebound by D. Howard,,66-71,,
4:50.0,M. Kidd-Gilchrist misses 2-pt shot from 13 ft,,66-71,,
4:48.0,,,66-71,,Defensive rebound by D. Nwaba
4:30.0,,,66-71,,L. Markkanen misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by D. Howard,,66-71,,
4:22.0,K. Walker misses 3-pt shot from 24 ft,,66-71,,
4:18.0,,,66-71,,Defensive rebound by D. Nwaba
4:17.0,,,66-73,2,J. Holiday makes 2-pt shot from 6 ft
4:17.0,,,66-73,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Holiday)
4:17.0,,,66-74,1,J. Holiday makes free throw 1 of 1
4:17.0,,,66-74,,S. Kilpatrick enters the game for L. Markkanen
4:00.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,69-74,,
3:41.0,,,69-77,3,J. Holiday makes 3-pt shot from 24 ft (assist by D. Nwaba)
3:31.0,,,69-77,,Personal foul by J. Holiday (drawn by N. Batum)
3:31.0,N. Batum makes free throw 1 of 2,1,70-77,,
3:31.0,,,70-77,,J. Grant enters the game for J. Holiday
3:31.0,F. Kaminsky enters the game for M. Williams,,70-77,,
3:31.0,N. Batum misses free throw 2 of 2,,70-77,,
3:29.0,,,70-77,,Defensive rebound by B. Portis
3:13.0,,,70-79,2,B. Portis makes 2-pt shot from 4 ft
3:13.0,Violation by D. Howard (def goaltending),,70-79,,
2:53.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by D. Howard),2,72-79,,
2:38.0,,,72-81,2,D. Nwaba makes 2-pt shot from 3 ft (assist by C. Payne)
2:19.0,D. Howard makes 2-pt shot at rim,2,74-81,,
2:12.0,,,74-83,2,D. Nwaba makes 2-pt shot from 6 ft
2:11.0,Charlotte full timeout,,74-83,,
2:11.0,,,74-83,,R. Arcidiacono enters the game for C. Payne
2:11.0,J. Lamb enters the game for N. Batum,,74-83,,
2:11.0,M. Monk enters the game for K. Walker,,74-83,,
1:55.0,Turnover by D. Howard (traveling),,74-83,,
1:42.0,,,74-86,3,B. Portis makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
1:15.0,D. Howard makes 2-pt shot from 4 ft (assist by M. Kidd-Gilchrist),2,76-86,,
1:02.0,,,76-86,,D. Nwaba misses 2-pt shot from 10 ft
0:59.0,Defensive rebound by D. Howard,,76-86,,
0:51.0,J. Lamb misses 3-pt shot from 22 ft,,76-86,,
0:47.0,Offensive rebound by D. Howard,,76-86,,
0:45.0,M. Monk makes 3-pt shot from 25 ft (assist by D. Howard),3,79-86,,
0:30.0,,,79-86,,B. Portis misses 2-pt shot from 4 ft
0:26.0,,,79-86,,Offensive rebound by D. Nwaba
0:26.0,,,79-86,,D. Nwaba misses 2-pt shot at rim
0:25.0,Defensive rebound by D. Howard,,79-86,,
0:09.0,Turnover by D. Howard (bad pass),,79-86,,
0:09.0,,,79-86,,J. Holiday enters the game for D. Nwaba
0:09.0,J. Stone enters the game for F. Kaminsky,,79-86,,
0:00.0,,,79-86,,J. Holiday misses 2-pt shot from 5 ft
0:00.0,,,79-86,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-86,,J. Holiday misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by W. Hernangomez,,79-86,,
11:31.0,,,79-86,,Violation by J. Grant (kicked ball)
11:25.0,Turnover by J. Stone (step out of bounds),,79-86,,
11:03.0,,,79-88,2,J. Grant makes 2-pt shot from 20 ft
10:51.0,Shooting foul by J. Grant (drawn by F. Kaminsky),,79-88,,
10:51.0,F. Kaminsky makes free throw 1 of 2,1,80-88,,
10:51.0,F. Kaminsky makes free throw 2 of 2,1,81-88,,
10:34.0,,,81-91,3,S. Kilpatrick makes 3-pt shot from 25 ft (assist by J. Grant)
10:23.0,M. Monk makes 3-pt shot from 25 ft,3,84-91,,
10:01.0,,,84-91,,S. Kilpatrick misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by W. Hernangomez,,84-91,,
9:50.0,M. Monk makes 3-pt shot from 25 ft,3,87-91,,
9:36.0,,,87-91,,Turnover by R. Arcidiacono (lost ball; steal by M. Monk)
9:31.0,M. Monk makes 3-pt shot from 25 ft,3,90-91,,
9:31.0,,,90-91,,Chicago full timeout
9:31.0,,,90-91,,C. Felicio enters the game for B. Portis
9:18.0,,,90-91,,S. Kilpatrick misses 2-pt shot from 6 ft
9:15.0,Defensive rebound by W. Hernangomez,,90-91,,
9:08.0,Turnover by M. Monk (bad pass; steal by J. Grant),,90-91,,
9:05.0,,,90-93,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by J. Holiday)
8:47.0,M. Monk makes 3-pt shot from 24 ft,3,93-93,,
8:29.0,,,93-93,,R. Arcidiacono misses 2-pt shot from 8 ft
8:29.0,Defensive rebound by Team,,93-93,,
8:20.0,M. Monk misses 3-pt shot from 24 ft,,93-93,,
8:18.0,,,93-93,,Defensive rebound by R. Arcidiacono
8:11.0,,,93-93,,Shooting foul by F. Kaminsky (drawn by S. Kilpatrick)
8:11.0,,,93-94,1,S. Kilpatrick makes free throw 1 of 2
8:11.0,,,93-95,1,S. Kilpatrick makes free throw 2 of 2
7:55.0,Turnover by M. Monk (turnover),,93-95,,
7:48.0,,,93-97,2,S. Kilpatrick makes 2-pt shot from 17 ft
7:48.0,,,93-97,,Shooting foul by J. Lamb (drawn by S. Kilpatrick)
7:48.0,,,93-98,1,S. Kilpatrick makes free throw 1 of 1
7:31.0,W. Hernangomez makes 3-pt shot from 23 ft (assist by J. Stone),3,96-98,,
7:22.0,,,96-100,2,J. Grant makes 2-pt shot from 14 ft
7:08.0,J. Lamb makes 2-pt shot from 8 ft,2,98-100,,
7:02.0,,,98-100,,Turnover by C. Felicio (bad pass; steal by J. Lamb)
7:02.0,Offensive foul by J. Lamb (drawn by R. Arcidiacono),,98-100,,
7:02.0,Turnover by J. Lamb (bad pass),,98-100,,
6:48.0,,,98-100,,J. Grant misses 3-pt shot from 26 ft
6:45.0,,,98-100,,Offensive rebound by C. Felicio
6:43.0,,,98-103,3,J. Holiday makes 3-pt shot from 25 ft (assist by C. Felicio)
6:42.0,Charlotte full timeout,,98-103,,
6:42.0,,,98-103,,D. Nwaba enters the game for J. Holiday
6:42.0,M. Williams enters the game for J. Stone,,98-103,,
6:42.0,K. Walker enters the game for F. Kaminsky,,98-103,,
6:25.0,W. Hernangomez misses 2-pt shot from 5 ft,,98-103,,
6:23.0,,,98-103,,Defensive rebound by D. Nwaba
6:08.0,,,98-105,2,C. Felicio makes 2-pt shot from 1 ft
5:42.0,M. Monk makes 2-pt shot from 6 ft (assist by K. Walker),2,100-105,,
5:25.0,,,100-105,,S. Kilpatrick misses 2-pt shot from 18 ft
