time,Atlanta,pts.away,score,pts.home,Washington
2:03.0,,,16-14,,Defensive rebound by J. Smith
2:02.0,,,16-16,2,B. Beal makes 2-pt shot from 1 ft (assist by T. Frazier)
1:44.0,D. Lee makes 2-pt shot from 19 ft (assist by M. Plumlee),2,18-16,,
1:30.0,,,18-18,2,J. Smith makes 2-pt shot from 19 ft (assist by K. Oubre)
1:18.0,D. Lee misses 3-pt shot from 26 ft,,18-18,,
1:14.0,,,18-18,,Defensive rebound by M. Scott
1:09.0,,,18-20,2,J. Smith makes 2-pt shot from 16 ft (assist by B. Beal)
0:51.0,Turnover by M. Muscala (bad pass),,18-20,,
0:51.0,,,18-20,,J. Meeks enters the game for B. Beal
0:51.0,A. Cleveland enters the game for T. Dorsey,,18-20,,
0:51.0,I. Taylor enters the game for T. Waller-Prince,,18-20,,
0:35.0,,,18-20,,K. Oubre misses 2-pt shot from 11 ft
0:35.0,Defensive rebound by M. Plumlee,,18-20,,
0:28.0,A. Cleveland makes 3-pt shot from 25 ft (assist by I. Taylor),3,21-20,,
0:08.0,,,21-22,2,T. Frazier makes 2-pt shot from 17 ft
0:02.0,I. Taylor misses 3-pt shot from 29 ft,,21-22,,
0:02.0,,,21-22,,Defensive rebound by K. Oubre
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Lee misses 3-pt shot from 25 ft,,21-22,,
11:35.0,,,21-22,,Defensive rebound by K. Oubre
11:33.0,,,21-22,,Shooting foul by A. Cleveland (drawn by J. Meeks)
11:33.0,,,21-22,,J. Meeks misses free throw 1 of 2
11:33.0,,,21-22,,Offensive rebound by Team
11:33.0,,,21-23,1,J. Meeks makes free throw 2 of 2
11:23.0,Shooting foul by T. Frazier (drawn by I. Taylor),,21-23,,
11:23.0,I. Taylor makes free throw 1 of 2,1,22-23,,
11:23.0,I. Taylor makes free throw 2 of 2,1,23-23,,
11:10.0,,,23-23,,M. Scott misses 2-pt shot from 13 ft
11:08.0,Defensive rebound by J. Collins,,23-23,,
10:57.0,I. Taylor misses 2-pt shot from 9 ft,,23-23,,
10:54.0,,,23-23,,Defensive rebound by M. Scott
10:49.0,,,23-26,3,M. Scott makes 3-pt shot from 26 ft (assist by T. Frazier)
10:37.0,,,23-26,,Personal foul by J. Smith (drawn by M. Muscala)
10:37.0,T. Dorsey enters the game for D. Lee,,23-26,,
10:37.0,D. Dedmon enters the game for M. Muscala,,23-26,,
10:35.0,Turnover by A. Cleveland (step out of bounds),,23-26,,
10:30.0,,,23-26,,K. Oubre misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by I. Taylor,,23-26,,
10:25.0,,,23-26,,Personal foul by M. Scott (drawn by J. Collins)
10:25.0,,,23-26,,Technical foul by K. Oubre
10:25.0,I. Taylor misses technical free throw,,23-26,,
10:25.0,Offensive rebound by Team,,23-26,,
10:25.0,J. Collins misses free throw 1 of 2,,23-26,,
10:25.0,Offensive rebound by Team,,23-26,,
10:25.0,J. Collins misses free throw 2 of 2,,23-26,,
10:25.0,,,23-26,,Defensive rebound by K. Oubre
10:09.0,,,23-26,,Turnover by K. Oubre (traveling)
9:47.0,J. Collins misses 2-pt shot from 4 ft,,23-26,,
9:46.0,Offensive rebound by J. Collins,,23-26,,
9:46.0,J. Collins makes 2-pt shot from 4 ft,2,25-26,,
9:46.0,Shooting foul by M. Scott (drawn by J. Collins),,25-26,,
9:46.0,J. Collins misses free throw 1 of 1,,25-26,,
9:44.0,,,25-26,,Defensive rebound by K. Oubre
9:29.0,,,25-26,,Shooting foul by A. Cleveland (drawn by K. Oubre)
9:29.0,,,25-27,1,K. Oubre makes free throw 1 of 2
9:29.0,,,25-28,1,K. Oubre makes free throw 2 of 2
9:18.0,I. Taylor makes 3-pt shot from 25 ft,3,28-28,,
9:00.0,,,28-28,,J. Smith misses 3-pt shot from 26 ft
8:56.0,Defensive rebound by J. Collins,,28-28,,
8:43.0,T. Dorsey makes 3-pt shot from 24 ft (assist by I. Taylor),3,31-28,,
8:41.0,,,31-28,,Washington full timeout
8:41.0,D. Bembry enters the game for A. Cleveland,,31-28,,
8:24.0,,,31-28,,T. Frazier misses 2-pt shot from 19 ft
8:20.0,Defensive rebound by D. Dedmon,,31-28,,
8:09.0,D. Bembry makes 2-pt shot from 1 ft,2,33-28,,
7:54.0,,,33-28,,K. Oubre misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by D. Dedmon,,33-28,,
7:46.0,Turnover by D. Bembry (lost ball; steal by T. Frazier),,33-28,,
7:44.0,,,33-28,,Turnover by K. Oubre (bad pass; steal by D. Dedmon)
7:43.0,D. Dedmon makes 2-pt shot from 6 ft (assist by J. Collins),2,35-28,,
7:43.0,Shooting foul by T. Frazier (drawn by D. Dedmon),,35-28,,
7:43.0,,,35-28,,B. Beal enters the game for T. Frazier
7:43.0,,,35-28,,T. Satoransky enters the game for J. Meeks
7:43.0,,,35-28,,O. Porter enters the game for M. Scott
7:43.0,D. Dedmon makes free throw 1 of 1,1,36-28,,
7:31.0,Personal foul by I. Taylor (drawn by T. Satoransky),,36-28,,
7:31.0,,,36-28,,M. Gortat enters the game for J. Smith
7:25.0,,,36-28,,Turnover by B. Beal (traveling)
7:09.0,I. Taylor misses 2-pt shot from 2 ft,,36-28,,
7:07.0,,,36-28,,Defensive rebound by K. Oubre
6:57.0,,,36-28,,Turnover by M. Gortat (bad pass)
6:41.0,J. Collins makes 2-pt shot from 1 ft (assist by I. Taylor),2,38-28,,
6:32.0,,,38-28,,B. Beal misses 3-pt shot from 27 ft
6:29.0,,,38-28,,Offensive rebound by T. Satoransky
6:28.0,,,38-31,3,K. Oubre makes 3-pt shot from 26 ft (assist by T. Satoransky)
6:08.0,J. Collins makes 2-pt shot from 1 ft (assist by D. Bembry),2,40-31,,
6:07.0,,,40-31,,Washington full timeout
6:07.0,D. Lee enters the game for I. Taylor,,40-31,,
5:52.0,,,40-31,,O. Porter misses 2-pt shot from 10 ft
5:50.0,,,40-31,,Offensive rebound by O. Porter
5:50.0,,,40-31,,Shooting foul by D. Dedmon (drawn by O. Porter)
5:50.0,,,40-31,,O. Porter misses free throw 1 of 2
5:50.0,,,40-31,,Offensive rebound by Team
5:50.0,,,40-32,1,O. Porter makes free throw 2 of 2
5:40.0,Offensive charge foul by J. Collins (drawn by T. Satoransky),,40-32,,
5:40.0,Turnover by J. Collins (offensive foul),,40-32,,
5:29.0,,,40-34,2,B. Beal makes 2-pt shot from 2 ft
5:04.0,T. Dorsey makes 2-pt shot from 18 ft,2,42-34,,
4:50.0,,,42-34,,O. Porter misses 3-pt shot from 25 ft
4:47.0,,,42-34,,Offensive rebound by M. Gortat
4:42.0,,,42-34,,K. Oubre misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by D. Lee,,42-34,,
4:35.0,,,42-34,,Personal foul by O. Porter (drawn by T. Dorsey)
4:35.0,T. Dorsey makes free throw 1 of 2,1,43-34,,
4:35.0,T. Waller-Prince enters the game for D. Dedmon,,43-34,,
4:35.0,M. Muscala enters the game for D. Bembry,,43-34,,
4:35.0,T. Dorsey makes free throw 2 of 2,1,44-34,,
4:27.0,,,44-36,2,T. Satoransky makes 2-pt shot from 16 ft
4:15.0,J. Collins makes 2-pt shot from 2 ft,2,46-36,,
4:08.0,,,46-38,2,B. Beal makes 2-pt shot from 1 ft
4:08.0,,,46-38,,Shooting foul by T. Dorsey (drawn by B. Beal)
4:08.0,,,46-39,1,B. Beal makes free throw 1 of 1
3:46.0,D. Lee makes 2-pt shot from 2 ft,2,48-39,,
3:35.0,,,48-39,,Offensive foul by M. Gortat (drawn by J. Collins)
3:35.0,,,48-39,,Turnover by M. Gortat (offensive foul)
3:22.0,T. Waller-Prince makes 2-pt shot at rim (assist by J. Collins),2,50-39,,
3:21.0,,,50-39,,Washington full timeout
3:11.0,,,50-41,2,B. Beal makes 2-pt shot from 12 ft
2:52.0,J. Collins misses 2-pt shot from 2 ft (block by B. Beal),,50-41,,
2:49.0,Offensive rebound by J. Collins,,50-41,,
2:48.0,M. Muscala misses 3-pt shot from 26 ft,,50-41,,
2:46.0,,,50-41,,Defensive rebound by O. Porter
2:31.0,,,50-41,,M. Gortat misses 2-pt shot from 10 ft
2:29.0,Defensive rebound by J. Collins,,50-41,,
2:25.0,T. Dorsey misses 3-pt shot from 24 ft,,50-41,,
2:22.0,Offensive rebound by T. Waller-Prince,,50-41,,
2:09.0,T. Waller-Prince misses 2-pt shot from 14 ft,,50-41,,
2:06.0,Offensive rebound by J. Collins,,50-41,,
2:00.0,T. Dorsey makes 2-pt shot from 1 ft (assist by M. Muscala),2,52-41,,
1:40.0,,,52-43,2,M. Gortat makes 2-pt shot from 10 ft (assist by B. Beal)
1:16.0,T. Dorsey misses 2-pt shot from 18 ft,,52-43,,
1:13.0,,,52-43,,Defensive rebound by M. Gortat
1:03.0,,,52-46,3,K. Oubre makes 3-pt shot from 26 ft (assist by M. Gortat)
0:55.0,Atlanta full timeout,,52-46,,
0:55.0,,,52-46,,M. Scott enters the game for M. Gortat
0:55.0,D. Dedmon enters the game for T. Dorsey,,52-46,,
0:55.0,I. Taylor enters the game for J. Collins,,52-46,,
0:44.0,D. Lee misses 2-pt shot from 20 ft,,52-46,,
0:40.0,,,52-46,,Defensive rebound by B. Beal
0:28.0,,,52-46,,B. Beal misses 2-pt shot from 3 ft
0:25.0,,,52-46,,Offensive rebound by T. Satoransky
0:25.0,,,52-46,,T. Satoransky misses 2-pt shot at rim
0:24.0,Defensive rebound by D. Dedmon,,52-46,,
0:08.0,Offensive charge foul by I. Taylor (drawn by T. Satoransky),,52-46,,
0:08.0,Turnover by I. Taylor (offensive foul),,52-46,,
0:02.0,,,52-48,2,B. Beal makes 2-pt shot from 17 ft
0:00.0,I. Taylor misses 3-pt shot from 56 ft,,52-48,,
0:00.0,Offensive rebound by Team,,52-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Dedmon misses 2-pt shot from 16 ft,,52-48,,
11:36.0,,,52-48,,Defensive rebound by T. Satoransky
11:27.0,Personal foul by D. Dedmon (drawn by T. Satoransky),,52-48,,
11:17.0,,,52-48,,T. Satoransky misses 2-pt shot from 17 ft
11:14.0,Defensive rebound by D. Dedmon,,52-48,,
10:56.0,D. Bembry makes 3-pt shot from 25 ft (assist by I. Taylor),3,55-48,,
10:40.0,,,55-50,2,O. Porter makes 2-pt shot from 19 ft
10:24.0,Turnover by T. Waller-Prince (lost ball; steal by K. Oubre),,55-50,,
10:23.0,Personal foul by T. Waller-Prince (drawn by K. Oubre),,55-50,,
10:17.0,,,55-53,3,K. Oubre makes 3-pt shot from 25 ft (assist by T. Satoransky)
9:54.0,Turnover by I. Taylor (bad pass),,55-53,,
9:45.0,,,55-55,2,B. Beal makes 2-pt shot from 3 ft
9:33.0,I. Taylor makes 3-pt shot from 25 ft,3,58-55,,
9:14.0,,,58-57,2,M. Gortat makes 2-pt shot from 8 ft
9:05.0,J. Collins misses 2-pt shot from 7 ft,,58-57,,
9:02.0,,,58-57,,Defensive rebound by O. Porter
8:59.0,,,58-57,,K. Oubre misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by J. Collins,,58-57,,
8:47.0,T. Waller-Prince misses 3-pt shot from 25 ft,,58-57,,
8:43.0,Offensive rebound by D. Dedmon,,58-57,,
8:33.0,Shooting foul by O. Porter (drawn by D. Dedmon),,58-57,,
8:33.0,D. Dedmon misses free throw 1 of 2,,58-57,,
8:33.0,Offensive rebound by Team,,58-57,,
8:33.0,D. Dedmon makes free throw 2 of 2,1,59-57,,
8:22.0,,,59-59,2,B. Beal makes 2-pt shot from 21 ft (assist by K. Oubre)
8:05.0,Turnover by D. Bembry (bad pass; steal by K. Oubre),,59-59,,
7:59.0,,,59-59,,Turnover by B. Beal (lost ball; steal by T. Waller-Prince)
7:53.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Dedmon),2,61-59,,
7:43.0,Personal foul by I. Taylor (drawn by T. Satoransky),,61-59,,
7:43.0,T. Dorsey enters the game for D. Bembry,,61-59,,
7:38.0,,,61-61,2,T. Satoransky makes 2-pt shot at rim (assist by M. Gortat)
7:19.0,T. Waller-Prince misses 3-pt shot from 26 ft,,61-61,,
7:16.0,,,61-61,,Defensive rebound by M. Gortat
7:03.0,Personal foul by T. Waller-Prince (drawn by M. Gortat),,61-61,,
6:56.0,,,61-63,2,O. Porter makes 2-pt shot from 11 ft (assist by B. Beal)
6:35.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by J. Collins),2,63-63,,
6:21.0,,,63-63,,K. Oubre misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by D. Dedmon,,63-63,,
6:16.0,,,63-63,,Personal foul by M. Gortat (drawn by J. Collins)
6:16.0,,,63-63,,Washington full timeout
6:16.0,M. Muscala enters the game for J. Collins,,63-63,,
6:16.0,D. Lee enters the game for I. Taylor,,63-63,,
6:04.0,T. Waller-Prince misses 2-pt shot from 17 ft (block by K. Oubre),,63-63,,
5:58.0,,,63-63,,Defensive rebound by M. Gortat
5:56.0,,,63-63,,Turnover by K. Oubre (bad pass)
5:49.0,T. Dorsey makes 3-pt shot from 27 ft (assist by D. Lee),3,66-63,,
5:30.0,,,66-63,,Turnover by K. Oubre (lost ball; steal by T. Waller-Prince)
5:27.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,68-63,,
5:09.0,Personal foul by T. Waller-Prince (drawn by B. Beal),,68-63,,
5:09.0,,,68-64,1,B. Beal makes free throw 1 of 2
5:09.0,A. Cleveland enters the game for T. Waller-Prince,,68-64,,
5:09.0,,,68-64,,B. Beal misses free throw 2 of 2
5:06.0,Defensive rebound by D. Dedmon,,68-64,,
4:53.0,D. Dedmon misses 2-pt shot from 8 ft,,68-64,,
4:51.0,,,68-64,,Defensive rebound by M. Gortat
4:47.0,,,68-66,2,B. Beal makes 2-pt shot from 3 ft
4:47.0,Violation by D. Dedmon (def goaltending),,68-66,,
4:47.0,,,68-66,,Shooting foul by D. Lee (drawn by B. Beal)
4:47.0,,,68-67,1,B. Beal makes free throw 1 of 1
4:33.0,Shooting foul by M. Gortat (drawn by D. Lee),,68-67,,
4:33.0,D. Lee makes free throw 1 of 2,1,69-67,,
4:33.0,,,69-67,,M. Scott enters the game for O. Porter
4:33.0,M. Plumlee enters the game for D. Dedmon,,69-67,,
4:33.0,D. Lee makes free throw 2 of 2,1,70-67,,
4:21.0,,,70-67,,M. Scott misses 2-pt shot from 14 ft
4:18.0,,,70-67,,Offensive rebound by B. Beal
4:07.0,,,70-67,,K. Oubre misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by M. Muscala,,70-67,,
3:58.0,Turnover by D. Lee (lost ball; steal by M. Scott),,70-67,,
3:53.0,,,70-67,,B. Beal misses 3-pt shot from 26 ft
3:49.0,Defensive rebound by M. Muscala,,70-67,,
3:46.0,T. Dorsey makes 3-pt shot from 26 ft,3,73-67,,
3:20.0,,,73-67,,T. Satoransky misses 2-pt shot from 4 ft
3:14.0,Defensive rebound by M. Muscala,,73-67,,
3:10.0,T. Dorsey misses 3-pt shot from 27 ft,,73-67,,
3:01.0,,,73-67,,Defensive rebound by M. Scott
2:55.0,,,73-67,,T. Satoransky misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by T. Dorsey,,73-67,,
2:50.0,T. Dorsey misses 2-pt shot from 3 ft,,73-67,,
2:50.0,Offensive rebound by M. Muscala,,73-67,,
2:45.0,M. Muscala makes 2-pt shot at rim,2,75-67,,
2:33.0,,,75-67,,K. Oubre misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by D. Lee,,75-67,,
2:19.0,Turnover by M. Muscala (bad pass; steal by K. Oubre),,75-67,,
2:16.0,,,75-67,,K. Oubre misses 2-pt shot from 2 ft (block by T. Dorsey)
2:16.0,,,75-67,,Offensive rebound by Team
2:16.0,Atlanta full timeout,,75-67,,
2:16.0,,,75-67,,T. Frazier enters the game for K. Oubre
2:16.0,,,75-67,,J. Meeks enters the game for T. Satoransky
2:06.0,,,75-67,,M. Scott misses 3-pt shot from 24 ft
2:03.0,Defensive rebound by D. Lee,,75-67,,
2:01.0,M. Muscala makes 2-pt shot from 2 ft (assist by D. Lee),2,77-67,,
1:44.0,,,77-70,3,J. Meeks makes 3-pt shot from 23 ft (assist by T. Frazier)
1:16.0,D. Lee makes 2-pt shot from 6 ft (assist by T. Dorsey),2,79-70,,
1:02.0,,,79-72,2,T. Frazier makes 2-pt shot from 12 ft (assist by M. Gortat)
0:49.0,T. Dorsey makes 2-pt shot from 10 ft,2,81-72,,
0:39.0,,,81-75,3,T. Frazier makes 3-pt shot from 25 ft
0:23.0,Turnover by D. Lee (bad pass; steal by B. Beal),,81-75,,
0:03.0,,,81-77,2,B. Beal makes 2-pt shot from 15 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,81-79,2,M. Scott makes 2-pt shot from 14 ft (assist by O. Porter)
11:20.0,Shooting foul by M. Gortat (drawn by T. Waller-Prince),,81-79,,
11:20.0,T. Waller-Prince makes free throw 1 of 2,1,82-79,,
11:20.0,T. Waller-Prince makes free throw 2 of 2,1,83-79,,
11:06.0,,,83-79,,J. Meeks misses 2-pt shot from 19 ft (block by D. Bembry)
11:03.0,Defensive rebound by D. Bembry,,83-79,,
10:56.0,Turnover by D. Bembry (bad pass),,83-79,,
10:42.0,,,83-79,,M. Scott misses 2-pt shot from 4 ft
10:38.0,,,83-79,,Offensive rebound by M. Gortat
10:38.0,,,83-79,,M. Gortat misses 2-pt shot at rim
10:37.0,Defensive rebound by M. Muscala,,83-79,,
10:33.0,M. Muscala misses 3-pt shot from 25 ft,,83-79,,
10:30.0,,,83-79,,Defensive rebound by T. Frazier
10:24.0,,,83-79,,Turnover by O. Porter (lost ball; steal by I. Taylor)
10:19.0,,,83-79,,Shooting block foul by T. Frazier (drawn by D. Bembry)
10:19.0,D. Bembry misses free throw 1 of 2,,83-79,,
10:19.0,Offensive rebound by Team,,83-79,,
10:19.0,D. Dedmon enters the game for M. Muscala,,83-79,,
10:19.0,D. Bembry misses free throw 2 of 2,,83-79,,
10:17.0,,,83-79,,Defensive rebound by T. Frazier
10:02.0,,,83-82,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Meeks)
9:45.0,I. Taylor misses 3-pt shot from 25 ft,,83-82,,
9:43.0,,,83-82,,Defensive rebound by M. Gortat
9:33.0,,,83-82,,B. Beal enters the game for J. Meeks
9:31.0,,,83-82,,B. Beal misses 2-pt shot from 14 ft
9:27.0,Defensive rebound by T. Waller-Prince,,83-82,,
9:16.0,T. Waller-Prince misses 3-pt shot from 25 ft,,83-82,,
9:14.0,,,83-82,,Defensive rebound by T. Frazier
8:56.0,,,83-84,2,M. Gortat makes 2-pt shot from 7 ft
8:56.0,Atlanta full timeout,,83-84,,
8:33.0,D. Dedmon makes 2-pt shot from 1 ft (assist by J. Collins),2,85-84,,
8:17.0,,,85-84,,M. Gortat misses 2-pt shot from 4 ft (block by D. Dedmon)
8:13.0,,,85-84,,Offensive rebound by B. Beal
8:13.0,,,85-84,,Shooting foul by D. Dedmon (drawn by M. Scott)
8:13.0,,,85-85,1,M. Scott makes free throw 1 of 2
8:13.0,T. Dorsey enters the game for D. Bembry,,85-85,,
8:13.0,,,85-86,1,M. Scott makes free throw 2 of 2
8:00.0,T. Waller-Prince makes 2-pt shot from 1 ft (assist by J. Collins),2,87-86,,
7:38.0,,,87-86,,M. Scott misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by T. Dorsey,,87-86,,
7:21.0,Offensive charge foul by I. Taylor (drawn by T. Frazier),,87-86,,
7:21.0,Turnover by I. Taylor (offensive foul),,87-86,,
7:09.0,,,87-89,3,B. Beal makes 3-pt shot from 24 ft
6:47.0,I. Taylor misses 3-pt shot from 26 ft,,87-89,,
6:45.0,,,87-89,,Defensive rebound by T. Frazier
6:42.0,,,87-89,,Turnover by T. Frazier (out of bounds lost ball)
6:42.0,D. Lee enters the game for I. Taylor,,87-89,,
6:32.0,Turnover by D. Lee (lost ball; steal by T. Frazier),,87-89,,
6:27.0,,,87-89,,T. Frazier misses 2-pt shot from 3 ft
6:24.0,Defensive rebound by J. Collins,,87-89,,
6:17.0,T. Waller-Prince misses 3-pt shot from 26 ft,,87-89,,
6:14.0,,,87-89,,Defensive rebound by T. Frazier
6:03.0,,,87-91,2,B. Beal makes 2-pt shot from 2 ft (assist by M. Gortat)
5:45.0,D. Lee misses 3-pt shot from 24 ft,,87-91,,
5:42.0,,,87-91,,Defensive rebound by M. Scott
5:28.0,,,87-91,,Shooting foul by D. Lee (drawn by B. Beal)
5:28.0,Atlanta full timeout,,87-91,,
5:28.0,M. Muscala enters the game for J. Collins,,87-91,,
5:28.0,,,87-92,1,B. Beal makes free throw 1 of 3
5:28.0,,,87-93,1,B. Beal makes free throw 2 of 3
5:28.0,,,87-93,,B. Beal misses free throw 3 of 3
5:26.0,Defensive rebound by M. Muscala,,87-93,,
5:08.0,Turnover by T. Waller-Prince (lost ball; steal by T. Frazier),,87-93,,
4:49.0,,,87-93,,M. Scott misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by M. Muscala,,87-93,,
4:38.0,D. Lee misses 3-pt shot from 24 ft,,87-93,,
4:33.0,Offensive rebound by D. Dedmon,,87-93,,
4:26.0,,,87-93,,K. Oubre enters the game for M. Scott
4:16.0,T. Dorsey makes 3-pt shot from 29 ft,3,90-93,,
