time,Sacramento,pts.away,score,pts.home,San Antonio
10:48.0,Defensive rebound by V. Carter,,25-32,,
10:38.0,V. Carter makes 2-pt shot from 9 ft,2,27-32,,
10:17.0,,,27-32,,T. Parker misses 2-pt shot from 2 ft
10:15.0,Defensive rebound by K. Koufos,,27-32,,
10:03.0,V. Carter misses 3-pt shot from 25 ft,,27-32,,
10:00.0,,,27-32,,Defensive rebound by J. Lauvergne
9:50.0,,,27-32,,D. Green misses 3-pt shot from 25 ft
9:47.0,,,27-32,,Offensive rebound by J. Lauvergne
9:45.0,,,27-32,,J. Lauvergne misses 2-pt shot at rim (block by V. Carter)
9:45.0,Defensive rebound by V. Carter,,27-32,,
9:32.0,V. Carter makes 3-pt shot from 25 ft (assist by G. Hill),3,30-32,,
9:30.0,,,30-32,,San Antonio full timeout
9:30.0,,,30-32,,D. Murray enters the game for P. Mills
9:30.0,,,30-32,,B. Forbes enters the game for T. Parker
9:30.0,,,30-32,,L. Aldridge enters the game for D. Bertans
9:30.0,,,30-32,,P. Gasol enters the game for J. Lauvergne
9:30.0,,,30-32,,M. Ginobili enters the game for D. Green
9:15.0,,,30-34,2,M. Ginobili makes 2-pt shot from 2 ft
8:58.0,G. Hill misses 3-pt shot from 25 ft,,30-34,,
8:55.0,,,30-34,,Defensive rebound by L. Aldridge
8:46.0,,,30-34,,M. Ginobili misses 2-pt shot from 22 ft
8:46.0,,,30-34,,Offensive rebound by Team
8:46.0,Loose ball foul by J. Sampson (drawn by P. Gasol),,30-34,,
8:39.0,,,30-34,,P. Gasol misses 2-pt shot from 23 ft
8:37.0,Defensive rebound by K. Koufos,,30-34,,
8:30.0,Shooting foul by D. Murray (drawn by G. Hill),,30-34,,
8:30.0,G. Hill makes free throw 1 of 2,1,31-34,,
8:30.0,G. Hill makes free throw 2 of 2,1,32-34,,
8:15.0,,,32-34,,M. Ginobili misses 2-pt shot from 18 ft
8:09.0,,,32-34,,Offensive rebound by L. Aldridge
8:09.0,,,32-36,2,L. Aldridge makes 2-pt shot at rim
7:59.0,B. Hield misses 3-pt shot from 25 ft,,32-36,,
7:57.0,,,32-36,,Defensive rebound by L. Aldridge
7:49.0,,,32-38,2,B. Forbes makes 2-pt shot from 10 ft (assist by L. Aldridge)
7:27.0,V. Carter makes 2-pt shot from 19 ft,2,34-38,,
7:09.0,,,34-40,2,B. Forbes makes 2-pt shot from 6 ft (assist by P. Gasol)
6:49.0,B. Hield misses 2-pt shot from 9 ft,,34-40,,
6:46.0,Offensive rebound by K. Koufos,,34-40,,
6:35.0,G. Hill makes 2-pt shot from 16 ft,2,36-40,,
6:14.0,,,36-40,,L. Aldridge misses 2-pt shot from 15 ft
6:13.0,Defensive rebound by J. Sampson,,36-40,,
5:58.0,J. Sampson misses 2-pt shot from 11 ft (block by L. Aldridge),,36-40,,
5:58.0,,,36-40,,Defensive rebound by D. Murray
5:58.0,Personal foul by J. Sampson (drawn by D. Murray),,36-40,,
5:58.0,Z. Randolph enters the game for J. Sampson,,36-40,,
5:44.0,Personal foul by K. Koufos (drawn by L. Aldridge),,36-40,,
5:33.0,,,36-43,3,B. Forbes makes 3-pt shot from 25 ft (assist by M. Ginobili)
5:23.0,Sacramento full timeout,,36-43,,
5:23.0,,,36-43,,K. Anderson enters the game for M. Ginobili
5:23.0,D. Fox enters the game for V. Carter,,36-43,,
5:04.0,Z. Randolph misses 3-pt shot from 23 ft,,36-43,,
5:01.0,,,36-43,,Defensive rebound by P. Gasol
4:45.0,,,36-43,,L. Aldridge misses 2-pt shot from 15 ft
4:42.0,Defensive rebound by K. Koufos,,36-43,,
4:26.0,K. Koufos makes 2-pt shot from 8 ft (assist by G. Hill),2,38-43,,
4:11.0,,,38-43,,B. Forbes misses 3-pt shot from 22 ft
4:09.0,Defensive rebound by K. Koufos,,38-43,,
4:02.0,,,38-43,,Personal foul by K. Anderson (drawn by G. Hill)
3:51.0,K. Koufos misses 2-pt shot from 9 ft,,38-43,,
3:50.0,,,38-43,,Defensive rebound by P. Gasol
3:36.0,,,38-43,,B. Forbes misses 2-pt shot from 18 ft
3:36.0,,,38-43,,Offensive rebound by P. Gasol
3:36.0,,,38-43,,Shooting foul by B. Hield (drawn by P. Gasol)
3:36.0,,,38-44,1,P. Gasol makes free throw 1 of 2
3:36.0,,,38-44,,D. Bertans enters the game for D. Murray
3:36.0,,,38-44,,T. Parker enters the game for B. Forbes
3:36.0,,,38-44,,M. Ginobili enters the game for L. Aldridge
3:36.0,V. Carter enters the game for B. Hield,,38-44,,
3:36.0,B. Bogdanovic enters the game for K. Koufos,,38-44,,
3:36.0,,,38-44,,P. Gasol misses free throw 2 of 2
3:34.0,Defensive rebound by V. Carter,,38-44,,
3:24.0,Z. Randolph misses 2-pt shot from 17 ft,,38-44,,
3:22.0,,,38-44,,Defensive rebound by T. Parker
3:18.0,,,38-44,,Shooting foul by V. Carter (drawn by T. Parker)
3:18.0,,,38-44,,T. Parker misses free throw 1 of 2
3:18.0,,,38-44,,Offensive rebound by Team
3:18.0,J. Jackson enters the game for G. Hill,,38-44,,
3:18.0,,,38-45,1,T. Parker makes free throw 2 of 2
2:58.0,J. Jackson misses 2-pt shot from 15 ft,,38-45,,
2:56.0,,,38-45,,Defensive rebound by P. Gasol
2:54.0,,,38-45,,Turnover by P. Gasol (bad pass; steal by B. Bogdanovic)
2:49.0,B. Bogdanovic misses 2-pt shot from 17 ft,,38-45,,
2:46.0,,,38-45,,Defensive rebound by P. Gasol
2:39.0,,,38-45,,San Antonio full timeout
2:39.0,,,38-45,,P. Mills enters the game for D. Bertans
2:29.0,,,38-45,,Turnover by T. Parker (bad pass; steal by Z. Randolph)
2:28.0,,,38-45,,Personal foul by M. Ginobili (drawn by D. Fox)
2:18.0,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph),3,41-45,,
1:58.0,,,41-45,,M. Ginobili misses 2-pt shot from 2 ft
1:58.0,,,41-45,,Offensive rebound by M. Ginobili
1:56.0,,,41-45,,Shooting foul by J. Jackson (drawn by P. Gasol)
1:56.0,,,41-45,,P. Gasol misses free throw 1 of 2
1:56.0,,,41-45,,Offensive rebound by Team
1:56.0,,,41-46,1,P. Gasol makes free throw 2 of 2
1:44.0,D. Fox misses 2-pt shot from 14 ft,,41-46,,
1:41.0,,,41-46,,Defensive rebound by T. Parker
1:36.0,,,41-46,,Turnover by P. Mills (out of bounds lost ball)
1:23.0,J. Jackson makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,44-46,,
1:08.0,,,44-46,,Turnover by M. Ginobili (bad pass; steal by Z. Randolph)
1:08.0,,,44-46,,Personal foul by P. Gasol (drawn by D. Fox)
0:51.0,J. Jackson makes 2-pt shot from 9 ft (assist by Z. Randolph),2,46-46,,
0:32.0,,,46-46,,T. Parker misses 2-pt shot from 1 ft (block by D. Fox)
0:29.0,Defensive rebound by Z. Randolph,,46-46,,
0:27.0,D. Fox makes 2-pt shot from 1 ft (assist by Z. Randolph),2,48-46,,
0:06.0,,,48-49,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker)
0:01.0,Shooting foul by M. Ginobili (drawn by D. Fox),,48-49,,
0:01.0,D. Fox makes free throw 1 of 2,1,49-49,,
0:01.0,G. Hill enters the game for Z. Randolph,,49-49,,
0:01.0,D. Fox makes free throw 2 of 2,1,50-49,,
0:00.0,,,50-49,,M. Ginobili misses 2-pt shot from 15 ft (block by B. Bogdanovic)
0:00.0,,,50-49,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Fox makes 3-pt shot from 24 ft (assist by J. Jackson),3,53-49,,
11:22.0,,,53-52,3,D. Bertans makes 3-pt shot from 22 ft (assist by B. Forbes)
10:59.0,Z. Randolph misses 2-pt shot from 14 ft,,53-52,,
10:57.0,,,53-52,,Defensive rebound by D. Murray
10:53.0,,,53-52,,D. Bertans misses 3-pt shot from 27 ft
10:51.0,Defensive rebound by Team,,53-52,,
10:37.0,B. Bogdanovic misses 3-pt shot from 25 ft,,53-52,,
10:30.0,,,53-52,,Defensive rebound by D. Bertans
10:27.0,,,53-55,3,B. Forbes makes 3-pt shot from 24 ft (assist by D. Murray)
10:13.0,K. Koufos makes 2-pt shot from 1 ft (assist by D. Fox),2,55-55,,
9:58.0,,,55-55,,L. Aldridge misses 2-pt shot from 16 ft
9:56.0,Defensive rebound by J. Jackson,,55-55,,
9:45.0,Z. Randolph misses 3-pt shot from 27 ft,,55-55,,
9:39.0,,,55-55,,Defensive rebound by B. Forbes
9:25.0,,,55-55,,B. Forbes misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by K. Koufos,,55-55,,
9:16.0,B. Bogdanovic misses 3-pt shot from 26 ft,,55-55,,
9:12.0,,,55-55,,Defensive rebound by D. Murray
9:00.0,,,55-55,,L. Aldridge misses 2-pt shot from 9 ft
8:59.0,Defensive rebound by J. Jackson,,55-55,,
8:46.0,K. Koufos makes 2-pt shot from 5 ft (assist by D. Fox),2,57-55,,
8:23.0,,,57-58,3,B. Forbes makes 3-pt shot from 26 ft (assist by L. Aldridge)
7:56.0,B. Bogdanovic misses 2-pt shot from 12 ft,,57-58,,
7:53.0,Offensive rebound by J. Jackson,,57-58,,
7:52.0,J. Jackson makes 2-pt shot from 1 ft,2,59-58,,
7:39.0,,,59-60,2,D. Murray makes 2-pt shot from 2 ft
7:27.0,,,59-60,,Personal foul by L. Aldridge (drawn by Z. Randolph)
7:27.0,,,59-60,,M. Ginobili enters the game for D. Bertans
7:27.0,V. Carter enters the game for K. Koufos,,59-60,,
7:18.0,,,59-60,,Personal foul by B. Forbes (drawn by B. Bogdanovic)
7:06.0,D. Fox makes 3-pt shot from 26 ft,3,62-60,,
6:40.0,,,62-62,2,M. Ginobili makes 2-pt shot from 2 ft (assist by L. Aldridge)
6:18.0,V. Carter misses 2-pt shot from 5 ft,,62-62,,
6:17.0,,,62-62,,Defensive rebound by M. Ginobili
6:09.0,,,62-64,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Murray)
6:08.0,Sacramento full timeout,,62-64,,
6:08.0,,,62-64,,K. Anderson enters the game for D. Hilliard
5:47.0,Z. Randolph misses 2-pt shot from 5 ft,,62-64,,
5:45.0,,,62-64,,Defensive rebound by D. Murray
5:33.0,,,62-64,,B. Forbes misses 2-pt shot from 4 ft
5:32.0,Defensive rebound by B. Bogdanovic,,62-64,,
5:23.0,Shooting foul by B. Forbes (drawn by V. Carter),,62-64,,
5:23.0,V. Carter misses free throw 1 of 3,,62-64,,
5:23.0,Offensive rebound by Team,,62-64,,
5:23.0,V. Carter makes free throw 2 of 3,1,63-64,,
5:23.0,V. Carter makes free throw 3 of 3,1,64-64,,
5:04.0,,,64-64,,L. Aldridge misses 2-pt shot from 17 ft
4:59.0,,,64-64,,Offensive rebound by D. Murray
4:59.0,,,64-66,2,D. Murray makes 2-pt shot at rim
4:50.0,Turnover by Z. Randolph (bad pass; steal by M. Ginobili),,64-66,,
4:48.0,Personal foul by B. Bogdanovic (drawn by M. Ginobili),,64-66,,
4:43.0,,,64-69,3,B. Forbes makes 3-pt shot from 25 ft (assist by D. Murray)
4:23.0,D. Fox makes 3-pt shot from 25 ft,3,67-69,,
4:22.0,,,67-69,,San Antonio full timeout
4:22.0,,,67-69,,T. Parker enters the game for D. Murray
4:22.0,,,67-69,,P. Mills enters the game for B. Forbes
4:08.0,,,67-69,,Turnover by M. Ginobili (bad pass; steal by Z. Randolph)
3:43.0,Z. Randolph makes 2-pt shot from 4 ft,2,69-69,,
3:27.0,,,69-69,,P. Gasol enters the game for L. Aldridge
3:27.0,J. Sampson enters the game for V. Carter,,69-69,,
3:27.0,K. Koufos enters the game for Z. Randolph,,69-69,,
3:19.0,,,69-71,2,K. Anderson makes 2-pt shot from 20 ft (assist by P. Gasol)
3:10.0,D. Fox misses 2-pt shot from 17 ft,,69-71,,
3:06.0,,,69-71,,Defensive rebound by K. Anderson
2:58.0,,,69-73,2,T. Parker makes 2-pt shot from 5 ft (assist by K. Anderson)
2:34.0,B. Bogdanovic misses 3-pt shot from 25 ft,,69-73,,
2:31.0,,,69-73,,Defensive rebound by P. Mills
2:19.0,,,69-73,,Shooting foul by J. Sampson (drawn by P. Gasol)
2:19.0,,,69-74,1,P. Gasol makes free throw 1 of 2
2:19.0,,,69-74,,D. Bertans enters the game for M. Ginobili
2:19.0,,,69-75,1,P. Gasol makes free throw 2 of 2
2:03.0,Offensive foul by K. Koufos (drawn by P. Mills),,69-75,,
2:03.0,Turnover by K. Koufos (offensive foul),,69-75,,
2:03.0,,,69-75,,B. Forbes enters the game for D. Bertans
2:03.0,G. Hill enters the game for D. Fox,,69-75,,
2:03.0,B. Hield enters the game for J. Jackson,,69-75,,
2:03.0,V. Carter enters the game for J. Sampson,,69-75,,
1:51.0,,,69-75,,T. Parker misses 2-pt shot from 1 ft
1:49.0,Defensive rebound by V. Carter,,69-75,,
1:42.0,Turnover by G. Hill (bad pass),,69-75,,
1:20.0,,,69-75,,T. Parker misses 3-pt shot from 23 ft
1:17.0,Defensive rebound by K. Koufos,,69-75,,
1:00.0,B. Hield misses 2-pt shot from 12 ft,,69-75,,
0:58.0,,,69-75,,Defensive rebound by T. Parker
0:52.0,,,69-77,2,P. Mills makes 2-pt shot from 2 ft (assist by T. Parker)
0:43.0,,,69-77,,Personal foul by T. Parker (drawn by B. Hield)
0:29.0,V. Carter misses 2-pt shot from 21 ft,,69-77,,
0:27.0,,,69-77,,Defensive rebound by P. Gasol
0:07.0,,,69-79,2,B. Forbes makes 2-pt shot from 18 ft (assist by T. Parker)
0:00.0,B. Hield misses 3-pt shot from 24 ft,,69-79,,
0:00.0,Offensive rebound by Team,,69-79,,
0:00.0,Jump ball: P. Gasol vs. K. Koufos,,,,Jump ball: P. Gasol vs. K. Koufos
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,69-79,,Offensive foul by P. Mills (drawn by K. Koufos)
11:46.0,,,69-79,,Turnover by P. Mills (offensive foul)
11:34.0,G. Hill misses 2-pt shot from 10 ft,,69-79,,
11:32.0,,,69-79,,Defensive rebound by P. Gasol
11:18.0,,,69-79,,T. Parker misses 2-pt shot from 1 ft
11:16.0,Defensive rebound by V. Carter,,69-79,,
11:11.0,G. Hill misses 3-pt shot from 26 ft,,69-79,,
11:06.0,,,69-79,,Defensive rebound by P. Gasol
10:58.0,,,69-81,2,B. Forbes makes 2-pt shot from 1 ft (assist by P. Gasol)
10:41.0,B. Hield misses 3-pt shot from 25 ft,,69-81,,
10:37.0,,,69-81,,Defensive rebound by K. Anderson
10:28.0,,,69-83,2,P. Gasol makes 2-pt shot from 1 ft (assist by K. Anderson)
10:28.0,,,69-83,,Shooting foul by B. Hield (drawn by P. Gasol)
10:28.0,,,69-83,,D. Murray enters the game for T. Parker
10:28.0,,,69-83,,P. Gasol misses free throw 1 of 1
10:26.0,Defensive rebound by K. Koufos,,69-83,,
10:08.0,G. Hill makes 3-pt shot from 25 ft (assist by B. Hield),3,72-83,,
9:48.0,,,72-83,,Turnover by P. Mills (lost ball; steal by V. Carter)
9:41.0,V. Carter makes 3-pt shot from 25 ft (assist by B. Hield),3,75-83,,
9:40.0,,,75-83,,San Antonio full timeout
9:40.0,,,75-83,,D. Bertans enters the game for K. Anderson
9:40.0,,,75-83,,M. Ginobili enters the game for P. Mills
9:28.0,,,75-86,3,B. Forbes makes 3-pt shot from 25 ft (assist by D. Bertans)
9:11.0,D. Fox misses 2-pt shot from 3 ft,,75-86,,
9:11.0,,,75-86,,Defensive rebound by Team
9:11.0,Personal foul by K. Koufos (drawn by D. Murray),,75-86,,
8:48.0,,,75-86,,D. Bertans misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by Team,,75-86,,
8:44.0,Shooting foul by D. Murray (drawn by D. Fox),,75-86,,
8:44.0,D. Fox makes free throw 1 of 2,1,76-86,,
8:44.0,D. Fox makes free throw 2 of 2,1,77-86,,
8:29.0,,,77-88,2,D. Murray makes 2-pt shot from 3 ft (assist by D. Bertans)
8:10.0,D. Fox makes 3-pt shot from 24 ft,3,80-88,,
7:52.0,,,80-90,2,P. Gasol makes 2-pt shot from 19 ft (assist by M. Ginobili)
7:42.0,D. Fox makes 3-pt shot from 25 ft,3,83-90,,
7:32.0,Personal foul by D. Fox (drawn by D. Bertans),,83-90,,
7:23.0,,,83-90,,M. Ginobili misses 2-pt shot from 9 ft
7:22.0,,,83-90,,Offensive rebound by P. Gasol
7:11.0,,,83-90,,B. Forbes misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by K. Koufos,,83-90,,
6:55.0,D. Fox misses 2-pt shot from 13 ft,,83-90,,
6:51.0,,,83-90,,Defensive rebound by P. Gasol
6:42.0,,,83-90,,Shooting foul by V. Carter (drawn by D. Murray)
6:42.0,,,83-91,1,D. Murray makes free throw 1 of 2
6:42.0,,,83-91,,L. Aldridge enters the game for P. Gasol
6:42.0,,,83-92,1,D. Murray makes free throw 2 of 2
6:28.0,K. Koufos misses 2-pt shot from 9 ft,,83-92,,
6:26.0,,,83-92,,Defensive rebound by D. Murray
6:17.0,Personal foul by V. Carter (drawn by L. Aldridge),,83-92,,
6:17.0,,,83-92,,L. Aldridge misses free throw 1 of 2
6:17.0,,,83-92,,Offensive rebound by Team
6:17.0,Z. Randolph enters the game for D. Fox,,83-92,,
6:17.0,J. Jackson enters the game for V. Carter,,83-92,,
6:17.0,B. Bogdanovic enters the game for K. Koufos,,83-92,,
6:17.0,,,83-93,1,L. Aldridge makes free throw 2 of 2
6:02.0,G. Hill makes 3-pt shot from 24 ft (assist by Z. Randolph),3,86-93,,
5:44.0,,,86-95,2,M. Ginobili makes 2-pt shot from 3 ft
5:31.0,J. Jackson misses 3-pt shot from 25 ft,,86-95,,
5:29.0,,,86-95,,Defensive rebound by M. Ginobili
5:14.0,,,86-97,2,D. Murray makes 2-pt shot at rim (assist by B. Forbes)
5:13.0,Sacramento full timeout,,86-97,,
4:57.0,Z. Randolph misses 2-pt shot from 13 ft,,86-97,,
4:55.0,,,86-97,,Defensive rebound by D. Bertans
4:42.0,,,86-99,2,D. Bertans makes 2-pt shot from 1 ft (assist by D. Murray)
4:25.0,G. Hill makes 3-pt shot from 26 ft,3,89-99,,
4:09.0,,,89-99,,L. Aldridge misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by Team,,89-99,,
4:08.0,,,89-99,,P. Mills enters the game for D. Murray
4:08.0,,,89-99,,T. Parker enters the game for M. Ginobili
3:54.0,Z. Randolph misses 2-pt shot from 18 ft,,89-99,,
3:54.0,,,89-99,,Defensive rebound by B. Forbes
3:42.0,,,89-102,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Bertans)
3:40.0,Sacramento full timeout,,89-102,,
3:40.0,D. Fox enters the game for B. Hield,,89-102,,
3:31.0,G. Hill makes 2-pt shot from 1 ft,2,91-102,,
3:22.0,,,91-105,3,P. Mills makes 3-pt shot from 25 ft (assist by L. Aldridge)
3:05.0,Shooting foul by T. Parker (drawn by G. Hill),,91-105,,
3:05.0,G. Hill makes free throw 1 of 2,1,92-105,,
3:05.0,G. Hill makes free throw 2 of 2,1,93-105,,
2:49.0,,,93-105,,P. Mills misses 3-pt shot from 25 ft
2:45.0,Defensive rebound by Z. Randolph,,93-105,,
2:36.0,D. Fox misses 2-pt shot from 23 ft,,93-105,,
2:34.0,,,93-105,,Defensive rebound by B. Forbes
2:28.0,,,93-105,,D. Bertans misses 3-pt shot from 22 ft
2:25.0,,,93-105,,Offensive rebound by L. Aldridge
2:23.0,Personal foul by Z. Randolph (drawn by L. Aldridge),,93-105,,
2:23.0,,,93-106,1,L. Aldridge makes free throw 1 of 2
2:23.0,,,93-106,,M. Ginobili enters the game for D. Bertans
2:23.0,V. Carter enters the game for J. Jackson,,93-106,,
2:23.0,,,93-107,1,L. Aldridge makes free throw 2 of 2
1:58.0,G. Hill misses 2-pt shot from 2 ft,,93-107,,
1:57.0,Offensive rebound by Z. Randolph,,93-107,,
1:57.0,Z. Randolph makes 2-pt shot at rim,2,95-107,,
1:42.0,,,95-109,2,M. Ginobili makes 2-pt shot from 8 ft (assist by T. Parker)
1:33.0,V. Carter makes 3-pt shot from 27 ft (assist by Z. Randolph),3,98-109,,
1:18.0,,,98-109,,T. Parker misses 2-pt shot from 19 ft
1:15.0,,,98-109,,Offensive rebound by M. Ginobili
1:00.0,,,98-109,,B. Forbes misses 3-pt shot from 25 ft
0:59.0,,,98-109,,Offensive rebound by L. Aldridge
0:59.0,,,98-111,2,L. Aldridge makes 2-pt shot at rim
0:50.0,Z. Randolph misses 3-pt shot from 25 ft,,98-111,,
