time,Miami,pts.away,score,pts.home,Milwaukee
8:44.0,Turnover by G. Dragic (out of bounds lost ball),,7-4,,
8:28.0,,,7-4,,J. Henson misses 2-pt shot from 4 ft (block by H. Whiteside)
8:24.0,Defensive rebound by J. Johnson,,7-4,,
8:18.0,J. Richardson makes 2-pt shot from 18 ft (assist by D. Jones),2,9-4,,
8:04.0,Personal foul by J. Richardson (drawn by G. Antetokounmpo),,9-4,,
7:59.0,,,9-7,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by K. Middleton)
7:41.0,G. Dragic misses 2-pt shot from 7 ft,,9-7,,
7:38.0,,,9-7,,Defensive rebound by J. Henson
7:30.0,,,9-9,2,K. Middleton makes 2-pt shot from 17 ft
7:17.0,J. Johnson misses 3-pt shot from 27 ft,,9-9,,
7:15.0,,,9-9,,Defensive rebound by J. Henson
7:07.0,,,9-9,,E. Bledsoe misses 2-pt shot from 4 ft
7:05.0,Defensive rebound by H. Whiteside,,9-9,,
7:02.0,J. Richardson misses 3-pt shot from 26 ft,,9-9,,
6:59.0,,,9-9,,Defensive rebound by K. Middleton
6:54.0,,,9-9,,Turnover by E. Bledsoe (bad pass; steal by J. Richardson)
6:36.0,Shooting foul by J. Henson (drawn by H. Whiteside),,9-9,,
6:36.0,,,9-9,,Milwaukee full timeout
6:36.0,,,9-9,,T. Maker enters the game for J. Henson
6:36.0,W. Ellington enters the game for G. Dragic,,9-9,,
6:36.0,H. Whiteside makes free throw 1 of 2,1,10-9,,
6:36.0,H. Whiteside makes free throw 2 of 2,1,11-9,,
6:18.0,,,11-9,,Offensive foul by M. Brogdon (drawn by J. Richardson)
6:18.0,,,11-9,,Turnover by M. Brogdon (offensive foul)
6:07.0,J. Richardson misses 2-pt shot from 17 ft,,11-9,,
6:05.0,,,11-9,,Defensive rebound by K. Middleton
5:58.0,,,11-11,2,T. Maker makes 2-pt shot from 16 ft (assist by K. Middleton)
5:41.0,Shooting foul by M. Brogdon (drawn by D. Jones),,11-11,,
5:41.0,D. Jones misses free throw 1 of 2,,11-11,,
5:41.0,Offensive rebound by Team,,11-11,,
5:41.0,,,11-11,,T. Snell enters the game for M. Brogdon
5:41.0,D. Jones makes free throw 2 of 2,1,12-11,,
5:20.0,,,12-11,,E. Bledsoe misses 3-pt shot from 25 ft
5:18.0,,,12-11,,Offensive rebound by T. Maker
5:12.0,Personal foul by W. Ellington (drawn by T. Snell),,12-11,,
5:02.0,,,12-11,,Turnover by G. Antetokounmpo (lost ball; steal by D. Jones)
4:56.0,Shooting foul by G. Antetokounmpo (drawn by D. Jones),,12-11,,
4:56.0,D. Jones makes free throw 1 of 2,1,13-11,,
4:56.0,D. Jones makes free throw 2 of 2,1,14-11,,
4:44.0,,,14-11,,T. Snell misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by H. Whiteside,,14-11,,
4:35.0,,,14-11,,Personal foul by T. Snell (drawn by W. Ellington)
4:28.0,H. Whiteside makes 2-pt shot from 7 ft (assist by W. Ellington),2,16-11,,
4:28.0,Shooting foul by K. Middleton (drawn by H. Whiteside),,16-11,,
4:28.0,,,16-11,,S. Brown enters the game for K. Middleton
4:28.0,H. Whiteside makes free throw 1 of 1,1,17-11,,
4:10.0,,,17-11,,E. Bledsoe misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by H. Whiteside,,17-11,,
3:56.0,,,17-11,,M. Dellavedova enters the game for E. Bledsoe
3:52.0,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson),3,20-11,,
3:52.0,,,20-11,,Milwaukee full timeout
3:52.0,G. Dragic enters the game for J. Richardson,,20-11,,
3:52.0,J. Winslow enters the game for D. Jones,,20-11,,
3:28.0,,,20-11,,G. Antetokounmpo misses 2-pt shot from 15 ft
3:28.0,,,20-11,,Offensive rebound by Team
3:28.0,,,20-11,,Turnover by Team (shot clock)
3:15.0,H. Whiteside makes 2-pt shot from 1 ft (assist by W. Ellington),2,22-11,,
3:15.0,Shooting foul by T. Maker (drawn by H. Whiteside),,22-11,,
3:15.0,H. Whiteside makes free throw 1 of 1,1,23-11,,
3:03.0,,,23-14,3,T. Snell makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
2:45.0,J. Johnson misses 2-pt shot from 4 ft (block by G. Antetokounmpo),,23-14,,
2:44.0,,,23-14,,Defensive rebound by G. Antetokounmpo
2:37.0,,,23-17,3,T. Snell makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
2:31.0,Miami full timeout,,23-17,,
2:31.0,,,23-17,,J. Henson enters the game for T. Maker
2:31.0,B. Adebayo enters the game for J. Johnson,,23-17,,
2:11.0,B. Adebayo makes 2-pt shot from 7 ft (assist by G. Dragic),2,25-17,,
1:57.0,,,25-19,2,S. Brown makes 2-pt shot from 1 ft (assist by M. Dellavedova)
1:57.0,,,25-19,,Shooting foul by J. Winslow (drawn by S. Brown)
1:57.0,K. Olynyk enters the game for H. Whiteside,,25-19,,
1:57.0,,,25-20,1,S. Brown makes free throw 1 of 1
1:41.0,B. Adebayo misses 2-pt shot from 13 ft,,25-20,,
1:38.0,,,25-20,,Defensive rebound by J. Henson
1:25.0,,,25-23,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
1:14.0,G. Dragic makes 2-pt shot from 20 ft,2,27-23,,
1:14.0,Shooting foul by M. Dellavedova (drawn by G. Dragic),,27-23,,
1:14.0,,,27-23,,K. Middleton enters the game for G. Antetokounmpo
1:14.0,G. Dragic misses free throw 1 of 1,,27-23,,
1:06.0,,,27-23,,Defensive rebound by T. Snell
1:01.0,,,27-25,2,J. Henson makes 2-pt shot at rim (assist by M. Dellavedova)
0:50.0,Offensive foul by K. Olynyk (drawn by M. Dellavedova),,27-25,,
0:50.0,Turnover by K. Olynyk (offensive foul),,27-25,,
0:26.0,,,27-25,,S. Brown misses 3-pt shot from 23 ft
0:23.0,Defensive rebound by W. Ellington,,27-25,,
0:06.0,J. Winslow makes 3-pt shot from 23 ft (assist by B. Adebayo),3,30-25,,
0:00.0,,,30-25,,K. Middleton misses 3-pt shot from 27 ft
0:00.0,,,30-25,,Offensive rebound by J. Henson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,30-25,,Personal foul by M. Dellavedova (drawn by G. Dragic)
11:39.0,Turnover by W. Ellington (bad pass; steal by K. Middleton),,30-25,,
11:34.0,,,30-27,2,K. Middleton makes 2-pt shot from 1 ft
11:25.0,G. Dragic makes 2-pt shot from 1 ft (assist by K. Olynyk),2,32-27,,
11:07.0,,,32-29,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:53.0,G. Dragic misses 2-pt shot from 14 ft,,32-29,,
10:53.0,,,32-29,,Defensive rebound by S. Brown
10:44.0,,,32-29,,K. Middleton misses 2-pt shot from 12 ft
10:41.0,Defensive rebound by B. Adebayo,,32-29,,
10:28.0,J. Winslow misses 2-pt shot from 14 ft,,32-29,,
10:26.0,,,32-29,,Defensive rebound by K. Middleton
10:13.0,,,32-32,3,T. Snell makes 3-pt shot from 25 ft (assist by M. Dellavedova)
9:56.0,Turnover by K. Olynyk (traveling),,32-32,,
9:40.0,,,32-34,2,K. Middleton makes 2-pt shot from 15 ft
9:15.0,K. Olynyk makes 2-pt shot from 1 ft (assist by G. Dragic),2,34-34,,
9:15.0,Shooting foul by S. Brown (drawn by K. Olynyk),,34-34,,
9:15.0,K. Olynyk misses free throw 1 of 1,,34-34,,
9:12.0,,,34-34,,Defensive rebound by S. Brown
9:01.0,,,34-36,2,K. Middleton makes 2-pt shot from 1 ft (assist by T. Snell)
8:46.0,K. Olynyk makes 3-pt shot from 27 ft (assist by G. Dragic),3,37-36,,
8:32.0,Personal foul by K. Olynyk (drawn by J. Henson),,37-36,,
8:27.0,,,37-36,,K. Middleton misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by J. Winslow,,37-36,,
8:17.0,G. Dragic misses 2-pt shot from 2 ft,,37-36,,
8:15.0,,,37-36,,Defensive rebound by S. Brown
8:10.0,,,37-39,3,T. Snell makes 3-pt shot from 26 ft (assist by S. Brown)
7:59.0,G. Dragic makes 2-pt shot from 1 ft,2,39-39,,
7:52.0,,,39-39,,Turnover by J. Henson (bad pass; steal by B. Adebayo)
7:47.0,K. Olynyk misses 3-pt shot from 26 ft,,39-39,,
7:43.0,Offensive rebound by W. Ellington,,39-39,,
7:27.0,J. Winslow misses 2-pt shot from 2 ft,,39-39,,
7:26.0,Offensive rebound by B. Adebayo,,39-39,,
7:26.0,Turnover by B. Adebayo (out of bounds lost ball),,39-39,,
7:26.0,,,39-39,,M. Brogdon enters the game for S. Brown
7:14.0,,,39-41,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
7:01.0,Miami full timeout,,39-41,,
7:01.0,,,39-41,,G. Antetokounmpo enters the game for M. Dellavedova
7:01.0,,,39-41,,E. Bledsoe enters the game for K. Middleton
7:01.0,H. Whiteside enters the game for G. Dragic,,39-41,,
7:01.0,J. Richardson enters the game for K. Olynyk,,39-41,,
6:49.0,B. Adebayo misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,39-41,,
6:49.0,Offensive rebound by Team,,39-41,,
6:47.0,W. Ellington makes 3-pt shot from 22 ft (assist by J. Richardson),3,42-41,,
6:32.0,,,42-41,,Shooting foul by B. Adebayo (drawn by G. Antetokounmpo)
6:32.0,,,42-41,,G. Antetokounmpo misses free throw 1 of 2
6:32.0,,,42-41,,Offensive rebound by Team
6:32.0,,,42-41,,K. Middleton enters the game for T. Snell
6:32.0,J. Johnson enters the game for B. Adebayo,,42-41,,
6:32.0,,,42-42,1,G. Antetokounmpo makes free throw 2 of 2
6:18.0,J. Richardson misses 2-pt shot from 19 ft,,42-42,,
6:15.0,,,42-42,,Defensive rebound by G. Antetokounmpo
6:12.0,,,42-42,,Shooting foul by J. Richardson (drawn by E. Bledsoe)
6:12.0,,,42-43,1,E. Bledsoe makes free throw 1 of 2
6:12.0,,,42-44,1,E. Bledsoe makes free throw 2 of 2
5:52.0,J. Richardson makes 3-pt shot from 26 ft (assist by J. Winslow),3,45-44,,
5:40.0,,,45-44,,Shooting foul by W. Ellington (drawn by M. Brogdon)
5:40.0,,,45-45,1,M. Brogdon makes free throw 1 of 2
5:40.0,,,45-46,1,M. Brogdon makes free throw 2 of 2
5:27.0,J. Richardson misses 2-pt shot from 21 ft,,45-46,,
5:27.0,,,45-46,,Defensive rebound by Team
5:16.0,,,45-48,2,M. Brogdon makes 2-pt shot from 9 ft
4:58.0,Shooting foul by J. Henson (drawn by H. Whiteside),,45-48,,
4:58.0,H. Whiteside misses free throw 1 of 2,,45-48,,
4:58.0,Offensive rebound by Team,,45-48,,
4:58.0,D. Jones enters the game for J. Winslow,,45-48,,
4:58.0,H. Whiteside misses free throw 2 of 2,,45-48,,
4:55.0,,,45-48,,Defensive rebound by J. Henson
4:49.0,,,45-48,,Offensive charge foul by J. Henson (drawn by W. Ellington)
4:49.0,,,45-48,,Turnover by J. Henson (offensive foul)
4:49.0,,,45-48,,T. Maker enters the game for J. Henson
4:33.0,H. Whiteside misses 2-pt shot from 2 ft,,45-48,,
4:29.0,Offensive rebound by J. Johnson,,45-48,,
4:29.0,Shooting foul by G. Antetokounmpo (drawn by H. Whiteside),,45-48,,
4:29.0,H. Whiteside makes free throw 1 of 2,1,46-48,,
4:29.0,H. Whiteside makes free throw 2 of 2,1,47-48,,
4:16.0,,,47-48,,M. Brogdon misses 2-pt shot from 1 ft (block by H. Whiteside)
4:14.0,Defensive rebound by W. Ellington,,47-48,,
4:06.0,D. Jones misses 2-pt shot from 8 ft,,47-48,,
4:04.0,Offensive rebound by H. Whiteside,,47-48,,
4:03.0,H. Whiteside makes 2-pt shot from 1 ft,2,49-48,,
3:53.0,Personal foul by W. Ellington (drawn by M. Brogdon),,49-48,,
3:53.0,,,49-49,1,M. Brogdon makes free throw 1 of 2
3:53.0,G. Dragic enters the game for W. Ellington,,49-49,,
3:53.0,,,49-50,1,M. Brogdon makes free throw 2 of 2
3:28.0,G. Dragic misses 2-pt shot from 11 ft,,49-50,,
3:24.0,,,49-50,,Defensive rebound by K. Middleton
3:21.0,,,49-52,2,K. Middleton makes 2-pt shot from 1 ft (assist by E. Bledsoe)
3:01.0,Offensive charge foul by G. Dragic (drawn by E. Bledsoe),,49-52,,
3:01.0,Turnover by G. Dragic (offensive foul),,49-52,,
2:45.0,,,49-52,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
2:45.0,,,49-52,,Milwaukee full timeout
2:45.0,,,49-53,1,G. Antetokounmpo makes free throw 1 of 2
2:45.0,,,49-54,1,G. Antetokounmpo makes free throw 2 of 2
2:25.0,J. Johnson misses 2-pt shot from 3 ft,,49-54,,
2:23.0,,,49-54,,Defensive rebound by G. Antetokounmpo
2:18.0,,,49-54,,M. Brogdon misses 3-pt shot from 23 ft
2:16.0,,,49-54,,Offensive rebound by E. Bledsoe
2:14.0,,,49-54,,K. Middleton misses 3-pt shot from 26 ft
2:14.0,Defensive rebound by H. Whiteside,,49-54,,
2:02.0,G. Dragic makes 3-pt shot from 27 ft (assist by J. Johnson),3,52-54,,
1:46.0,Personal foul by D. Jones (drawn by E. Bledsoe),,52-54,,
1:46.0,,,52-54,,E. Bledsoe misses free throw 1 of 2
1:46.0,,,52-54,,Offensive rebound by Team
1:46.0,J. Winslow enters the game for J. Richardson,,52-54,,
1:46.0,,,52-55,1,E. Bledsoe makes free throw 2 of 2
1:30.0,G. Dragic misses 3-pt shot from 27 ft,,52-55,,
1:27.0,,,52-55,,Defensive rebound by M. Brogdon
1:14.0,,,52-55,,E. Bledsoe misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by J. Johnson,,52-55,,
1:06.0,Turnover by J. Johnson (bad pass; steal by G. Antetokounmpo),,52-55,,
1:00.0,,,52-57,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:43.0,Turnover by G. Dragic (bad pass),,52-57,,
0:34.0,,,52-57,,M. Brogdon misses 2-pt shot at rim (block by H. Whiteside)
0:30.0,Defensive rebound by H. Whiteside,,52-57,,
0:29.0,Turnover by H. Whiteside (bad pass; steal by E. Bledsoe),,52-57,,
0:24.0,,,52-57,,M. Brogdon misses 3-pt shot from 22 ft
0:22.0,Defensive rebound by J. Johnson,,52-57,,
0:06.0,Shooting foul by T. Maker (drawn by J. Johnson),,52-57,,
0:06.0,J. Johnson misses free throw 1 of 2,,52-57,,
0:06.0,Offensive rebound by Team,,52-57,,
0:06.0,B. Adebayo enters the game for H. Whiteside,,52-57,,
0:06.0,J. Johnson misses free throw 2 of 2,,52-57,,
0:03.0,,,52-57,,Defensive rebound by T. Maker
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,J. Richardson misses 3-pt shot from 26 ft,,52-57,,
11:33.0,,,52-57,,Defensive rebound by G. Antetokounmpo
11:21.0,,,52-57,,K. Middleton misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by J. Richardson,,52-57,,
11:15.0,,,52-57,,Personal foul by G. Antetokounmpo (drawn by J. Richardson)
11:04.0,D. Jones misses 3-pt shot from 23 ft,,52-57,,
11:01.0,,,52-57,,Defensive rebound by M. Brogdon
10:48.0,,,52-57,,E. Bledsoe misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by J. Johnson,,52-57,,
10:29.0,H. Whiteside makes 2-pt shot from 3 ft,2,54-57,,
10:12.0,,,54-59,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
9:43.0,J. Johnson misses 3-pt shot from 23 ft,,54-59,,
9:38.0,Offensive rebound by J. Richardson,,54-59,,
9:37.0,J. Richardson misses 2-pt shot at rim,,54-59,,
9:34.0,,,54-59,,Defensive rebound by M. Brogdon
9:32.0,,,54-61,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:32.0,,,54-61,,Shooting foul by G. Dragic (drawn by G. Antetokounmpo)
9:32.0,,,54-62,1,G. Antetokounmpo makes free throw 1 of 1
9:04.0,J. Johnson makes 2-pt shot at rim,2,56-62,,
8:53.0,Personal foul by J. Richardson (drawn by E. Bledsoe),,56-62,,
8:48.0,,,56-64,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Bledsoe)
8:26.0,J. Johnson misses 2-pt shot from 15 ft,,56-64,,
8:24.0,,,56-64,,Defensive rebound by G. Antetokounmpo
8:19.0,,,56-64,,E. Bledsoe misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by J. Richardson,,56-64,,
8:15.0,Turnover by G. Dragic (out of bounds lost ball),,56-64,,
7:59.0,,,56-64,,J. Henson misses 2-pt shot from 2 ft (block by D. Jones)
7:59.0,,,56-64,,Offensive rebound by Team
7:50.0,,,56-64,,G. Antetokounmpo misses 2-pt shot from 9 ft
7:48.0,Defensive rebound by H. Whiteside,,56-64,,
7:44.0,J. Richardson makes 2-pt shot at rim (assist by J. Johnson),2,58-64,,
7:30.0,,,58-64,,K. Middleton misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by H. Whiteside,,58-64,,
7:21.0,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson),2,60-64,,
6:56.0,,,60-64,,Shooting foul by H. Whiteside (drawn by J. Henson)
6:56.0,,,60-64,,Milwaukee full timeout
6:56.0,,,60-65,1,J. Henson makes free throw 1 of 2
6:56.0,,,60-66,1,J. Henson makes free throw 2 of 2
6:31.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,62-66,,
6:09.0,,,62-68,2,M. Brogdon makes 2-pt shot at rim
5:50.0,H. Whiteside misses 2-pt shot from 1 ft,,62-68,,
5:48.0,Offensive rebound by J. Johnson,,62-68,,
5:47.0,H. Whiteside makes 2-pt shot from 1 ft (assist by J. Johnson),2,64-68,,
5:47.0,Shooting foul by J. Henson (drawn by H. Whiteside),,64-68,,
5:47.0,W. Ellington enters the game for J. Richardson,,64-68,,
5:47.0,H. Whiteside makes free throw 1 of 1,1,65-68,,
5:36.0,,,65-68,,E. Bledsoe misses 2-pt shot from 11 ft (block by H. Whiteside)
5:36.0,Defensive rebound by Team,,65-68,,
5:36.0,,,65-68,,Loose ball foul by E. Bledsoe (drawn by H. Whiteside)
5:36.0,,,65-68,,M. Dellavedova enters the game for E. Bledsoe
5:24.0,G. Dragic misses 2-pt shot from 3 ft,,65-68,,
5:22.0,,,65-68,,Defensive rebound by J. Henson
5:14.0,,,65-70,2,K. Middleton makes 2-pt shot from 15 ft
4:59.0,J. Johnson makes 2-pt shot from 2 ft,2,67-70,,
4:50.0,Personal foul by J. Johnson (drawn by M. Brogdon),,67-70,,
4:43.0,,,67-70,,M. Dellavedova misses 2-pt shot from 13 ft
4:40.0,,,67-70,,Offensive rebound by M. Dellavedova
4:40.0,,,67-70,,Shooting foul by H. Whiteside (drawn by G. Antetokounmpo)
4:40.0,,,67-71,1,G. Antetokounmpo makes free throw 1 of 2
4:40.0,,,67-72,1,G. Antetokounmpo makes free throw 2 of 2
4:25.0,J. Johnson misses 2-pt shot from 2 ft,,67-72,,
4:18.0,Offensive rebound by D. Jones,,67-72,,
4:18.0,D. Jones makes 2-pt shot at rim,2,69-72,,
3:59.0,,,69-72,,K. Middleton misses 2-pt shot from 8 ft
3:57.0,Defensive rebound by H. Whiteside,,69-72,,
3:45.0,W. Ellington misses 2-pt shot at rim,,69-72,,
3:43.0,,,69-72,,Defensive rebound by K. Middleton
3:42.0,,,69-72,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
3:42.0,,,69-73,1,G. Antetokounmpo makes free throw 1 of 2
3:42.0,,,69-73,,T. Snell enters the game for K. Middleton
3:42.0,B. Adebayo enters the game for J. Johnson,,69-73,,
3:42.0,,,69-73,,G. Antetokounmpo misses free throw 2 of 2
3:38.0,Defensive rebound by B. Adebayo,,69-73,,
3:17.0,B. Adebayo misses 2-pt shot from 3 ft,,69-73,,
3:15.0,,,69-73,,Defensive rebound by G. Antetokounmpo
3:11.0,,,69-76,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
3:11.0,Miami full timeout,,69-76,,
3:11.0,J. Richardson enters the game for D. Jones,,69-76,,
2:46.0,H. Whiteside makes 2-pt shot at rim (assist by W. Ellington),2,71-76,,
2:23.0,,,71-76,,G. Antetokounmpo misses 2-pt shot from 21 ft
2:21.0,Defensive rebound by J. Richardson,,71-76,,
2:12.0,W. Ellington misses 3-pt shot from 28 ft,,71-76,,
2:08.0,,,71-76,,Defensive rebound by J. Henson
2:06.0,Personal foul by B. Adebayo (drawn by G. Antetokounmpo),,71-76,,
2:06.0,,,71-76,,G. Antetokounmpo misses free throw 1 of 2
2:06.0,,,71-76,,Offensive rebound by Team
2:06.0,,,71-76,,T. Maker enters the game for J. Henson
2:06.0,K. Olynyk enters the game for G. Dragic,,71-76,,
2:06.0,J. Winslow enters the game for H. Whiteside,,71-76,,
2:06.0,,,71-77,1,G. Antetokounmpo makes free throw 2 of 2
1:42.0,J. Richardson makes 2-pt shot from 20 ft (assist by B. Adebayo),2,73-77,,
1:25.0,,,73-77,,Shooting foul by B. Adebayo (drawn by G. Antetokounmpo)
1:25.0,,,73-77,,G. Antetokounmpo misses free throw 1 of 2
1:25.0,,,73-77,,Offensive rebound by Team
1:25.0,,,73-77,,G. Antetokounmpo misses free throw 2 of 2
1:22.0,Defensive rebound by B. Adebayo,,73-77,,
1:00.0,B. Adebayo makes 2-pt shot from 1 ft (assist by W. Ellington),2,75-77,,
0:52.0,,,75-77,,Turnover by M. Dellavedova (bad pass)
0:32.0,W. Ellington makes 3-pt shot from 26 ft (assist by B. Adebayo),3,78-77,,
0:26.0,Personal foul by B. Adebayo (drawn by M. Dellavedova),,78-77,,
0:26.0,,,78-78,1,M. Dellavedova makes free throw 2 of 2
0:26.0,,,78-79,1,M. Dellavedova makes free throw 1 of 2
0:04.0,J. Richardson misses 2-pt shot from 1 ft,,78-79,,
0:04.0,Offensive rebound by B. Adebayo,,78-79,,
0:01.0,B. Adebayo misses 2-pt shot at rim,,78-79,,
0:01.0,Offensive rebound by Team,,78-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,78-81,2,K. Middleton makes 2-pt shot from 16 ft
11:28.0,,,78-81,,Personal foul by T. Snell (drawn by W. Ellington)
11:15.0,J. Richardson misses 2-pt shot from 18 ft,,78-81,,
11:15.0,Offensive rebound by Team,,78-81,,
11:11.0,Offensive charge foul by K. Olynyk (drawn by M. Dellavedova),,78-81,,
11:11.0,Turnover by K. Olynyk (offensive foul),,78-81,,
10:56.0,,,78-83,2,K. Middleton makes 2-pt shot from 14 ft
10:34.0,Turnover by B. Adebayo (bad pass),,78-83,,
10:22.0,,,78-83,,Turnover by M. Dellavedova (bad pass)
10:09.0,K. Olynyk makes 2-pt shot from 5 ft (assist by J. Winslow),2,80-83,,
9:42.0,,,80-83,,K. Middleton misses 2-pt shot from 14 ft
9:39.0,Defensive rebound by W. Ellington,,80-83,,
9:20.0,Shooting foul by T. Maker (drawn by K. Olynyk),,80-83,,
9:20.0,K. Olynyk makes free throw 1 of 2,1,81-83,,
9:20.0,K. Olynyk makes free throw 2 of 2,1,82-83,,
9:00.0,,,82-83,,S. Brown misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by K. Olynyk,,82-83,,
8:42.0,K. Olynyk misses 2-pt shot from 17 ft,,82-83,,
8:42.0,Offensive rebound by B. Adebayo,,82-83,,
8:35.0,K. Olynyk makes 2-pt shot at rim (assist by B. Adebayo),2,84-83,,
8:35.0,,,84-83,,Milwaukee full timeout
8:35.0,,,84-83,,G. Antetokounmpo enters the game for T. Maker
8:35.0,,,84-83,,J. Henson enters the game for M. Dellavedova
8:35.0,,,84-83,,E. Bledsoe enters the game for S. Brown
8:25.0,,,84-85,2,E. Bledsoe makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:07.0,W. Ellington misses 3-pt shot from 26 ft (block by T. Snell),,84-85,,
8:05.0,Offensive rebound by B. Adebayo,,84-85,,
7:58.0,K. Olynyk makes 2-pt shot from 1 ft,2,86-85,,
7:41.0,,,86-85,,Offensive foul by E. Bledsoe (drawn by B. Adebayo)
7:41.0,,,86-85,,Turnover by E. Bledsoe (offensive foul)
7:25.0,K. Olynyk misses 2-pt shot from 2 ft (block by J. Henson),,86-85,,
7:25.0,,,86-85,,Defensive rebound by G. Antetokounmpo
7:21.0,,,86-85,,Shooting foul by W. Ellington (drawn by E. Bledsoe)
7:21.0,,,86-86,1,E. Bledsoe makes free throw 1 of 2
7:21.0,,,86-87,1,E. Bledsoe makes free throw 2 of 2
6:57.0,J. Richardson makes 2-pt shot from 1 ft (assist by B. Adebayo),2,88-87,,
6:33.0,,,88-90,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Henson)
6:26.0,,,88-90,,Technical foul by E. Bledsoe (drawn by K. Olynyk)
6:26.0,K. Olynyk makes free throw 1 of 2,1,89-90,,
6:26.0,K. Olynyk makes free throw 2 of 2,1,90-90,,
6:19.0,K. Olynyk misses 3-pt shot from 27 ft,,90-90,,
6:16.0,,,90-90,,Defensive rebound by J. Henson
5:58.0,,,90-90,,G. Antetokounmpo misses 2-pt shot from 15 ft
5:55.0,Defensive rebound by J. Richardson,,90-90,,
5:39.0,W. Ellington misses 3-pt shot from 28 ft,,90-90,,
5:34.0,,,90-90,,Defensive rebound by T. Snell
5:29.0,,,90-90,,Turnover by K. Middleton (lost ball; steal by J. Richardson)
5:18.0,J. Richardson misses 3-pt shot from 29 ft,,90-90,,
5:13.0,,,90-90,,Defensive rebound by J. Henson
